蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智能制造、增强现实,中兴通讯,https://www.zte.com.cn,2024-09-11,,,,,,,,,,,
TETRA,专用网络,28.8 kbps,最长50公里,中,公共安全、交通管理,国际电信联盟,https://www.itu.int/en/ITU-T/Pages/default.aspx,2024-09-11,,,,,,,,,,,
4G LTE-A,4.5G,1 Gbps,最长80公里,中,高质量视频、实时游戏,德州仪器,https://www.ti.com.cn,2024-09-11,,,,,,,,,,,
Sigfox,LPWAN,600 bps,最长50公里,低,物联网、智能城市,Sigfox官方,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
eSIM,虚拟SIM,基于4G/5G,不适用,中,智能手表、智能手机,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
WiMAX,4G,1 Gbps,最长50公里,中,宽带接入、通讯网络,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,,,
Satellite 5G,5G,100 Mbps,全球覆盖,高,偏远地区通信、灾难恢复,业务全球服务,https://www.globalservice.com,2024-09-11,,,,,,,,,,,
UMTS,3G,384 kbps - 2 Mbps,最长30公里,中,视频通话、社交网络,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,,,
CDMA,2G/3G,153 kbps - 3.1 Mbps,最长20公里,中,移动电话、数据传输,运营商技术解读,http://www.operatortech.com/,2024-09-11,,,,,,,,,,,
LTE-M,LPWA,1 Mbps,最长15公里,低,智能城市、远程监控,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
WiMAX,4G,1 Mbps - 10 Mbps,最长50公里,中,宽带接入、移动互联网,IEEE,https://www.ieee.org/,2024-09-11,,,,,,,,,,,
5G NR,5G,10 Gbps - 20 Gbps,最长500米,高,智能家居、实时业务,华为技术有限公司,https://www.huawei.com/,2024-09-11,,,,,,,,,,,
SATCOM,卫星通信,512 kbps - 25 Mbps,全球覆盖,高,远程通信、航海导航,国际卫星通信组织,http://www.isc.org/,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,2 Mbps,最长25公里,中,移动视频、数据服务,中国通信研究院,http://www.ctr.org.cn/,2024-09-11,,,,,,,,,,,
NB-IoT-EU,LPWA,250 kbps,最长30公里,低,智能计量、环境监测,欧洲电信标准协会,https://www.etsi.org/,2024-09-11,,,,,,,,,,,
C-V2X,5G,1 Gbps,最长300米,高,车联网、智能交通,车用技术协会,https://www.autotechassociation.org/,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长10公里,低,物联网设备、监测系统,世界移动通信大会,https://www.mwc.com/,2024-09-11,,,,,,,,,,,
UMTS,3G,384 kbps - 2 Mbps,最长30公里,中,移动宽带、视频通话,中国移动通信集团有限公司,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,144 kbps - 5.5 Mbps,最长20公里,中,中小城市通信、数据服务,中国电信,https://www.chinatelecom-h.com,2024-09-11,,,,,,,,,,,
LTE-A,4G,1 Gbps,最长80公里,中,高质量视频流、增强现实,华为技术有限公司,https://www.huawei.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长750米,高,智慧城市、工业自动化,高通公司,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
CAT-M1,LPWA,300 kbps,最长15公里,低,物联网设备、远程监控,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
5G Pro,5G,10 Gbps,最长1.2公里,高,无人驾驶、云游戏,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,5 kbps - 50 kbps,最长30公里,低,环境监测、智能农业,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
FutureNet,未知,高达50 Gbps,未知,极高,超高速连接、未来网络,未来通信研究院,https://www.futurecommunications.org,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,1.5 Gbps,最长50公里,中,企业通信、大数据传输,全球移动通信系统协会,https://www.gsma.com,2024-09-11,,,,,,,,,,,
Satellite 5G,5G,1-5 Gbps,全球覆盖,高,偏远地区通信、应急服务,卫星通信协会,https://www.satellitelink.com,2024-09-11,,,,,,,,,,,
CDMA,3G,2 Mbps,最长70公里,中,移动电话、无线数据,中国电子信息产业发展研究院,https://www.ccidgroup.com,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,智能手机、移动互联网,全球移动通信系统协会 (GSMA),https://www.gsma.com,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,300 Mbps,最长50公里,中,高清直播、视频监控,中国信息通信研究院,https://www.cnitq.gov.cn,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,边缘计算、智能制造,国际电信联盟 (ITU),https://www.itu.int,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,智能农业、环境监测,LoRa联盟,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
TMN,5G,1 Gbps,最长1公里,高,无缝漫游、车联网,Cisco Systems,https://www.cisco.com,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,600 Mbps,最长80公里,中,快速数据下载、流媒体,福布斯,https://www.forbes.com,2024-09-11,,,,,,,,,,,
5G NR-U,5G,3 Gbps,最长800米,高,无线局域网、家庭网络,移动通信技术研究院,https://www.mttc.org,2024-09-11,,,,,,,,,,,
Sigfox,LPWA,0.01 kbps - 0.1 kbps,最长50公里,低,物联网、资产追踪,Sigfox官网,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
赤道卫星通信,卫星通信,512 kbps,全球覆盖,高,远程通信、紧急救援,国际航空通讯协会 (IATA),https://www.iata.org,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,2 Mbps,最长20公里,中,移动电话、无线宽带,中国信息通信研究院,https://www.cai.gov.cn/,2024-09-11,,,,,,,,,,,
IMT-2020,5G NR,20 Gbps,最长1.5公里,高,物联网、智能交通,IEEE Communications Society,https://www.comsoc.org/,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,21 Mbps,最长30公里,中,视频通话、社交媒体,Telecoms.com,https://telecoms.com/,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,远程监控、城市管理,IoT Analytics,https://iot-analytics.com/,2024-09-11,,,,,,,,,,,
DAS,分布式天线系统,可变,最多几百米,中,体育场馆、商业中心,MobiMedia,https://www.mobimedia.com/,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4.5G,900 Mbps,最长90公里,高,高清视频、云计算,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
4G WiMAX,4G,128 Mbps,最长50公里,中,宽带接入、高清视频流,IEEE WiMAX Forum,https://www.wimaxforum.org/,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长5公里,低,智能家居、资产管理,GSMA IoT,https://www.gsma.com/iot/,2024-09-11,,,,,,,,,,,
5G mmWave,5G,up to 10 Gbps,最长500米,高,移动AR或VR、工业自动化,Ericsson Research,https://www.ericsson.com/en/reports-and-papers,2024-09-11,,,,,,,,,,,
2G EDGE,2G,200 kbps,最长40公里,低,短信、物联网设备,Telecoms Regulatory Authority,https://www.trai.gov.in/,2024-09-11,,,,,,,,,,,
CDMA,3G,2 Mbps,最长45公里,中,移动电话、无线互联网,中国电信,https://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智慧农业、环境监测,IoT Analytics,https://iot-analytics.com/,2024-09-11,,,,,,,,,,,
4G LTE-A,4.5G,1 Gbps,最长80公里,高,高带宽媒体传输、远程医疗,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智能工厂、无人机,Counterpoint Research,https://www.counterpointresearch.com/,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,384 kbps,最长30公里,中,移动互联网、视频聊天,中国移动,https://www.chinamobileltd.com/,2024-09-11,,,,,,,,,,,
Satellite 5G,5G,300 Mbps,全球覆盖,高,偏远地区通信、交通监控,Satellite Industry Association,https://www.sia.org/,2024-09-11,,,,,,,,,,,
5G mmWave,5G,4 Gbps,最长200米,高,城市公共WiFi、跨设备互联,Qualcomm,https://www.qualcomm.com/,2024-09-11,,,,,,,,,,,
GPRS,2.5G,56 kbps - 114 kbps,最长40公里,低,短信服务、移动邮件,中国联通,https://www.chinaunicom.com/,2024-09-11,,,,,,,,,,,
Enhanced LEO,LPWAN,200 kbps,全球覆盖,中,智能交通、环境监测,NASA,https://www.nasa.gov/,2024-09-11,,,,,,,,,,,
UHF Cellular,2G/3G混合,80 kbps,最长50公里,中,遥感设备、车载通信,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,,,
CDMA,3G,2 Mbps - 3 Mbps,最长30公里,中,移动电话、无线互联网,通信行业协会,https://www.ctia.org/,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,1.8 Mbps - 2.5 Mbps,最长20公里,低,移动设备、数据传输,中国信息通信研究院,https://www.caiant.com/,2024-09-11,,,,,,,,,,,
4.5G,LTE-Advanced,1 Gbps,最长80公里,中,高清直播、AR应用,中国移动官方网站,https://www.chinamobileltd.com/,2024-09-11,,,,,,,,,,,
6G,6G,100 Gbps,最长2公里,高,全息通信、超高清影像,Future Networks Research,https://www.future-networks.org/,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,5 kbps - 50 kbps,最长15公里,低,物联网、智能农业,LoRa Alliance,https://lora-alliance.org/,2024-09-11,,,,,,,,,,,
伪卫星通信网络,非地面网络,10 Mbps,全球覆盖,高,偏远地区通信、应急救援,Space Industry News,https://www.spaceindustrynews.com/,2024-09-11,,,,,,,,,,,
GSM-R,GSM,9.6 kbps,最长50公里,中,铁路通信、交通管理,铁路通信技术研究中心,https://www.railwaytechnology.com/,2024-09-11,,,,,,,,,,,
Fifth Generation Node,5G NR,20 Gbps,最长500米,高,工业自动化、智慧工厂,IEEE Communications Society,https://www.comsoc.org/,2024-09-11,,,,,,,,,,,
WiMAX,4G,70 Mbps,最长50公里,中,城市宽带连接、公共设施,WiMAX Forum,https://www.wimaxforum.org/,2024-09-11,,,,,,,,,,,
CDMA,2G,64 kbps,最长30公里,低,移动电话、数据通讯,中国科学技术协会,https://www.cstec.org,2024-09-11,,,,,,,,,,,
HSPA+,3G,42 Mbps,最长70公里,中,高清视频通话、移动宽带,GSMA Intelligence,https://www.gsma.com,2024-09-11,,,,,,,,,,,
Edge,2.5G,384 kbps,最长50公里,低,短信、多媒体信息,ITU,https://www.itu.int,2024-09-11,,,,,,,,,,,
WiMAX,4G,1 Gbps,最长50公里,中,宽带互联网、城市联网,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
LAA,LTE增强,1.2 Gbps,最长30公里,中,密集城区、商业网络,Qualcomm Insights,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,边缘计算、智能制造,Ericsson Mobility Report,https://www.ericsson.com/en/mobility-report,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
6G,未来网络,超过100 Gbps,最长800米,高,虚拟现实、全息通讯,NIST,https://www.nist.gov,2024-09-11,,,,,,,,,,,
TETRA,专业功能网络,7.2 kbps,最长20公里,中,公共安全、应急服务,ETSI,https://www.etsi.org,2024-09-11,,,,,,,,,,,
SIGFOX,LPWAN,600 bps,最长50公里,低,物联网设备、资产追踪,SIGFOX,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
CDMA,2G,64 kbps,最长50公里,低,移动电话、无线数据,全球移动通信系统协会,https://www.gsma.com,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长30公里,中,数据服务、社交媒体,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长2公里,高,增强现实、智慧城市,IHS Markit,https://ihsmarkit.com,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,150 Mbps,最长80公里,中,移动视频、在线教育,中国电信,https://www.chinatelecom-h.com,2024-09-11,,,,,,,,,,,
GPRS,2.5G,40 kbps,最长25公里,低,即时通讯、邮箱服务,中国联通,https://www.chinaunicom.com,2024-09-11,,,,,,,,,,,
NFC,近场通信,424 kbps,最长0.1米,中,移动支付、智能标签,NFC Forum,https://nfc-forum.org,2024-09-11,,,,,,,,,,,
VoLTE,4G,高于24 Mbps,不限,中,高清语音、视频通话,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
WiMAX,4G,1 Gbps,最长50公里,中,城市宽带、公共互联网接入,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,,,
Satellite LTE,卫星技术,30 Mbps,无限制,高,偏远地区通信、紧急救援,SpaceX Starlink,https://www.starlink.com,2024-09-11,,,,,,,,,,,
TD-SCDMA,3G,2 Mbps - 3.6 Mbps,最长30公里,中,手机上网、移动视频,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,21 Mbps,最长50公里,中,高速互联网接入，流媒体,GSM Association,https://www.gsma.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
4G LTE Advanced,4G,1 Gbps,最长80公里,高,视频会议、智能城市,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长2公里,高,物联网、增强现实,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
5G Small Cells,5G,1-2 Gbps,最长300米,高,城市基站、室内覆盖,Frost & Sullivan,https://www.frost.com,2024-09-11,,,,,,,,,,,
QGen 5G,5G,10 Gbps,最长1 km,中,无人机通信、紧急服务,TechCrunch,https://techcrunch.com,2024-09-11,,,,,,,,,,,
5G Fixed Wireless Access,5G,500 Mbps,最长2公里,中,家庭宽带、企业网络,Statista,https://www.statista.com,2024-09-11,,,,,,,,,,,
4G LTE-M,4G,375 kbps,最长20公里,低,远程监控、资产跟踪,Ericsson,https://www.ericsson.com,2024-09-11,,,,,,,,,,,
Sigfox,LPWAN,100 bps,最长50公里,低,低功耗物联网设备,Sigfox,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
CDMA,3G,2 Mbps - 3 Mbps,最长30公里,中,移动电话、互联网接入,中国通信学会,https://www.cac.gov.cn,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长15公里,中,手机通话、移动宽带,ITU,https://www.itu.int,2024-09-11,,,,,,,,,,,
LTE-A,4G,1 Gbps,最长100公里,高,高清视频、云计算,GSM Association,https://www.gsma.com,2024-09-11,,,,,,,,,,,
5G NR,5G,10 Gbps - 20 Gbps,最长500米,高,智慧城市、物联网,市场研究公司,https://www.statista.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,物联网、环境监测,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
irai,4G,100 Mbps,最长10公里,中,农业传感器、远程监控,科学技术部,https://www.most.gov.cn,2024-09-11,,,,,,,,,,,
GPRS,2.5G,40 kbps - 50 kbps,最长25公里,低,移动数据、短信服务,中国信息通信研究院,https://www.caict.ac.cn,2024-09-11,,,,,,,,,,,
5G MEC,边缘计算,高达10 Gbps,最长500米,高,实时数据处理、智能制造,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
UMTS,3G,384 kbps,最长20公里,中,手机数据、网络游戏,世界电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
NB-Fi,低功耗广域网,1 kbps - 10 kbps,最长8公里,低,智能农业、城市管理,中国农业大学,https://www.angau.edu.cn,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,21 Mbps,最长30公里,中,视频通话、移动游戏,GSMA Intelligence,https://www.gsma.com,2024-09-11,,,,,,,,,,,
CDMA2000,3G,144 kbps - 3 Mbps,最长100公里,中,无线路由、物联网,ITU-T,https://www.itu.int,2024-09-11,,,,,,,,,,,
IoT-MC,NB-IoT,200 kbps,最长20公里,低,智能农业、城市管理,中国通信研究院,http://www.cri-ii.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,增强现实、无人机,Qualcomm,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
TETRA,专业无线,7.2 kbps,最远25公里,中,应急响应、公共安全,ETSI,https://www.etsi.org,2024-09-11,,,,,,,,,,,
LTE-M,4G,1 Mbps,最长15公里,低,资产追踪、智能电表,华为技术有限公司,https://www.huawei.com,2024-09-11,,,,,,,,,,,
Fifth Generation Aerospace Network (5GAN),5G,下载高达50 Gbps,最长1公里,高,航空管理、智能交通,NASA,https://www.nasa.gov,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 3.6 Mbps,最长80公里,中,移动网络、数据服务,Nokia,https://www.nokia.com,2024-09-11,,,,,,,,,,,
LPWA,LPWA,50 kbps,最长30公里,低,智能家居、资产监控,远端IoT论坛,https://www.iotforum.org,2024-09-11,,,,,,,,,,,
C-V2X,5G,高达1 Gbps,最长2公里,高,车联网、交通优化,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
CDMA,2G,64 kbps,最长50公里,低,移动电话、安全通信,中国电信,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,,,
HSPA+,3.5G,42 Mbps,最长70公里,中,移动互联网、社交媒体,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
WiMAX,4G,1 Gbps,最长50公里,中,宽带接入、视频会议,IEEE Communications Society,https://www.comsoc.org,2024-09-11,,,,,,,,,,,
LTE-M,LPWA,1 Mbps,最长15公里,低,物联网、智能穿戴设备,GSMA Intelligence,https://www.gsma.com,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智能工厂、远程医疗,Counterpoint Research,https://www.counterpointresearch.com,2024-09-11,,,,,,,,,,,
TD-SCDMA,3G,2 Mbps,最长30公里,中,数据业务、即时通讯,中国科学技术协会,https://www.cast.org.cn,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,50 kbps,最长40公里,低,农业监测、城市管理,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
UWB,短距离无线,480 Mbps,最长100米,中,室内定位、近场通信,Ultra-Wideband Alliance,https://www.uwb.org,2024-09-11,,,,,,,,,,,
eMTC,LTE,375 kbps,最长20公里,低,智慧城市、远程监控,ITU,https://www.itu.int,2024-09-11,,,,,,,,,,,
6G,未来技术,100 Gbps,预计可扩展数公里,待定,全息通话、空间网络,MIT Technology Review,https://www.technologyreview.com,2024-09-11,,,,,,,,,,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动互联网、视频通话,中国通信研究院,https://www.cri.cn,2024-09-11,,,,,,,,,,,
CDMA2000,3G,144 kbps - 3.1 Mbps,最长25公里,中,数据传输、快速上网,中国信息通信研究院,https://www.cistc.org.cn,2024-09-11,,,,,,,,,,,
LTE-M,LPWA,375 kbps,最长15公里,低,物联网、智能家居,中国物联网产业发展联盟,http://www.iot.org.cn,2024-09-11,,,,,,,,,,,
5G NR,5G,20 Gbps,最长500米,高,智慧城市、远程医疗,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
Edge Computing 5G,5G,10 Gbps,最长1公里,中,云游戏、工业互联网,思科系统公司,https://www.cisco.com,2024-09-11,,,,,,,,,,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长30公里,低,环境监测、智慧农业,LoRa Alliance,https://lora-alliance.org,2024-09-11,,,,,,,,,,,
Satellite 5G,5G,100 Mbps,不限,高,偏远地区通信、灾后恢复,全球卫星通信组织,https://www.gsma.com,2024-09-11,,,,,,,,,,,
TDD,4G,120 Mbps,最长10公里,中,"高速互联网接入, 视频监控",中国网络通信公司,https://www.chinatel.com.cn,2024-09-11,,,,,,,,,,,
FDD,4G,150 Mbps,最长15公里,中,移动音频流、在线教育,国家广播电视总局,http://www.nsar.gov.cn,2024-09-11,,,,,,,,,,,
V2X,5G,1 Gbps,最长3公里,高,车辆通信、智能交通,中国智能交通协会,http://www.chinatianjin.com,2024-09-11,,,,,,,,,,,
UMTS,3G,384 kbps - 2 Mbps,最长50公里,中,移动互联网、视频通话,中国移动,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,,,
CDMA2000,3G,1 Mbps,最长35公里,中,语音、宽带上网,中国电信,https://www.chinatelecom-h.com,2024-09-11,,,,,,,,,,,
eMTC,LPWA,1 Mbps,最长15公里,低,物联网应用、智能城市,中国信息通信研究院,https://www.cait.gov.cn,2024-09-11,,,,,,,,,,,
6G,6G,最大达到1 Tbps,预计5公里,高,全息通信、超高精度定位,IEEE Spectrum,https://spectrum.ieee.org,2024-09-11,,,,,,,,,,,
IMT-2020,5G NR,20 Gbps,最多1.5公里,高,增强现实、远程医疗,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
TDD-LTE,4G,100 Mbps,最长20公里,中,数据传输、移动应用,华为技术有限公司,https://www.huawei.com,2024-09-11,,,,,,,,,,,
SCP,N/A,依赖于各网络,无固定距离,中,多网络互联,中国广电媒,https://www.chinazgb.com,2024-09-11,,,,,,,,,,,
Private LTE,4G,150 Mbps,最长30公里,中,企业内网、工业应用,Gartner Research,https://www.gartner.com,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,300 Mbps,最长25公里,中,移动视频、快速下载,Statista,https://www.statista.com,2024-09-11,,,,,,,,,,,
TDSCDMA,3G,2 Mbps,最长30公里,中,手机上网、移动视频通话,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,,,
LTE-M,IoT,1 Mbps,最长15公里,中,智能交通、环境监测,GSMA,https://www.gsma.com,2024-09-11,,,,,,,,,,,
IMT-2020,5G,20 Gbps,最长2公里,高,全息显示、增强现实,IEEE,https://ieeexplore.ieee.org,2024-09-11,,,,,,,,,,,
CDMA2000,3G,153 kbps,最长25公里,中,网络游戏、数据通讯,中国通信工业协会,http://www.ccia.org.cn,2024-09-11,,,,,,,,,,,
Sigfox,LPWA,100 bps,最长50公里,低,智能家居、物联网设备,Sigfox 官方网站,https://www.sigfox.com,2024-09-11,,,,,,,,,,,
eMTC,4G,1 Mbps,最长20公里,中,可穿戴设备、远程健康监测,TechCrunch,https://techcrunch.com,2024-09-11,,,,,,,,,,,
FDD-LTE,4G,100 Mbps,最长80公里,中,视频监控、在线教育,中兴通讯,http://www.zte.com.cn,2024-09-11,,,,,,,,,,,
5G NR,5G,1 Gbps,最长2公里,高,智慧城市、远程维护,华为,https://www.huawei.com,2024-09-11,,,,,,,,,,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带、公共Wi-Fi,思科公司,https://www.cisco.com,2024-09-11,,,,,,,,,,,
HSPA+,3G,42 Mbps,最长40公里,中,快速上网、移动办公,Qualcomm,https://www.qualcomm.com,2024-09-11,,,,,,,,,,,
