网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
虚拟专用网络,网络安全系统,VPN,腾讯科技,2020-12-12,腾讯,腾讯控股有限公司,企业和个人用户,腾讯官网,https://www.tencent.com/,2024-09-11,,,,,,,,,
下一代互联网,互联网技术,IPv6,中国互联网络信息中心,2019-01-08,CNNIC,中国互联网络信息中心,全体互联网用户,中国互联网络信息中心,https://www.cnnic.cn/,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子关键分配,中科院,2023-05-15,中科院,中国科学院,科研机构,科技日报,https://www.sciencenet.cn/,2024-09-11,,,,,,,,,
车联网技术,智能交通系统,V2X,百度AI,2021-08-22,百度,百度公司,汽车行业,百度研究院,https://www.baidu.com/,2024-09-11,,,,,,,,,
无线局域网,局域网技术,Wi-Fi 6,TP-Link,2020-06-11,TP-Link,TP-Link科技有限公司,普通家庭,行业观察网,http://www.industryobserve.com/,2024-09-11,,,,,,,,,
智能电网通信,基础设施通信系统,IEC 61850,国网公司,2018-03-14,国家电网公司,国家电网公司,电力行业,中国能源网,http://www.chinaenergy.com/,2024-09-11,,,,,,,,,
蓝牙5.0技术,个人通信技术,Bluetooth 5.0,高通公司,2016-12-20,高通,高通公司,消费电子用户,高通官网,https://www.qualcomm.com/,2024-09-11,,,,,,,,,
Wi-Fi 7标准,无线网络技术,Wi-Fi 7,英特尔,2023-07-20,英特尔,英特尔公司,普通用户,科技素养网,https://www.intel.com/,2024-09-11,,,,,,,,,
公有云服务平台,云服务,"IaaS, PaaS, SaaS",腾讯云,2022-04-10,腾讯,腾讯云计算有限公司,企业用户,腾讯官网,https://cloud.tencent.com/,2024-09-11,,,,,,,,,
信息安全管理系统,安全技术,ISO/IEC 27001,东软集团,2019-10-05,东软,东软集团股份有限公司,企业用户,行业新闻门户,http://www.industrynewsportal.com/,2024-09-11,,,,,,,,,
多云服务解决方案,云技术,Multi-Cloud,IBM,2023-02-14,IBM,国际商业机器公司,企业用户,IBM官网,https://www.ibm.com/,2024-09-11,,,,,,,,,
全球卫星互联网,卫星通信系统,Starlink,SpaceX,2020-05-18,SpaceX,Space Exploration Technologies Corp.,家庭用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
中国宽带网络,固定通信系统,FTTH,中国电信,2015-09-12,中国电信,中国电信股份有限公司,普通用户,中国宽带发展报告,https://www.cnnic.net.cn,2024-09-11,,,,,,,,,
5G开放网络,移动通信系统,5G NR,中兴通讯,2020-03-15,中兴通讯,中兴通讯股份有限公司,企业用户,中国信通院,https://www.cait.gov.cn,2024-09-11,,,,,,,,,
Wi-Fi 6网络,无线局域网,IEEE 802.11ax,华为技术有限公司,2019-07-22,华为,华为技术有限公司,普通用户,无线网络协会,https://www.wi-fi.org,2024-09-11,,,,,,,,,
光纤到户项目,固定通信系统,GPON,中国联通,2016-11-01,中国联通,中国联通股份有限公司,家庭用户,中国国家互联网信息办,https://www.cac.gov.cn,2024-09-11,,,,,,,,,
智能网关系统,物联网通信系统,MQTT/CoAP,阿里巴巴,2021-02-20,阿里云,阿里巴巴集团,企业用户,阿里云技术门户,https://www.aliyun.com,2024-09-11,,,,,,,,,
NB-IoT网络,移动物联网通信系统,NB-IoT,中国移动,2017-06-25,中国移动,中国移动通信集团有限公司,物联网设备,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2022-09-01,中国科学技术部,中国科学院量子通信技术研究所,政府和企业,中国科学技术协会,http://www.cast.org.cn,2024-09-11,,,,,,,,,
SD-WAN系统,软件定义网络,SD-WAN,思科系统公司,2021-03-10,思科,"Cisco Systems, Inc.",企业用户,国际计算机网络协会,https://www.icann.org,2024-09-11,,,,,,,,,
社交媒体数据传输,数据通信系统,HTTP/HTTPS,腾讯科技,2020-11-12,腾讯,腾讯控股有限公司,在线用户,腾讯研究院,https://www.tencent.com,2024-09-11,,,,,,,,,
大规模MIMO系统,无线通信系统,MIMO,爱立信,2021-04-30,爱立信,Ericsson AB,移动运营商,无线通信技术协会,https://www.etsi.org,2024-09-11,,,,,,,,,
区块链网络通信系统,区块链系统,P2P,阿里巴巴,2021-06-15,阿里云,阿里巴巴集团,企业用户,区块链产业联盟,https://www.bba.org.cn,2024-09-11,,,,,,,,,
乘车码与支付系统,移动支付系统,NFC,百度科技,2020-10-07,百度,百度股份有限公司,城市用户,中国网络支付协会,https://www.cnpay.org.cn,2024-09-11,,,,,,,,,
车联网系统,移动通信系统,V2X,特斯拉,2021-08-22,特斯拉,"Tesla, Inc.",车辆用户,国际汽车工程师学会,https://www.sae.org,2024-09-11,,,,,,,,,
增强现实通信系统,多媒体通信系统,AR/VR,微软公司,2021-03-01,微软,Microsoft Corporation,普通用户,国际虚拟现实协会,https://www.immersivevr.org,2024-09-11,,,,,,,,,
云游戏流媒体系统,游戏通信系统,云流,索尼互动娱乐,2020-09-15,PlayStation,Sony Interactive Entertainment,游戏玩家,全球游戏行业协会,https://www.igda.org,2024-09-11,,,,,,,,,
高通量卫星通信系统,卫星通信系统,HTS,高通公司,2021-05-25,高通,Qualcomm Incorporated,企业和军事,国际卫星通信协会,https://www.satellitecommunications.com,2024-09-11,,,,,,,,,
全球高速光纤网络,固定通信系统,光纤传输,中国电信,2021-03-15,中国电信,中国电信股份有限公司,企业用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
5G Ultra网络,移动通信系统,5G,中国移动,2020-11-10,中国移动,中国移动通信集团有限公司,普通用户,国际电信联盟,https://www.itu.int/en/ITU-T/focusgroups/5g/Pages/default.aspx,2024-09-11,,,,,,,,,
智慧城市物联网,物联网系统,LPWAN,海康威视,2022-05-22,海康威视,杭州海康威视数字技术股份有限公司,城市管理部门,中国科技部,http://www.most.gov.cn,2024-09-11,,,,,,,,,
星链卫星通信,卫星通信系统,Starlink,SpaceX,2021-01-10,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,中央电视台,http://www.cctv.com,2024-09-11,,,,,,,,,
量子通信网络,前沿通信技术,量子密钥分发,中国科学技术大学,2023-02-15,中国科学技术大学,中国科学技术大学,科研机构,中国科学院,http://www.cas.cn,2024-09-11,,,,,,,,,
NB-IoT网络,通信物联网,NB-IoT,华为技术有限公司,2017-11-20,华为,华为技术有限公司,智能城市用户,工信部,http://www.miit.gov.cn,2024-09-11,,,,,,,,,
光纤到户（FTTH）,固定通信系统,光纤接入,中国联通,2019-07-25,中国联通,中国联通股份有限公司,家庭用户,中国网信网,http://www.cac.gov.cn,2024-09-11,,,,,,,,,
无线网络接入技术,无线通信系统,Wi-Fi 6,TP-Link,2020-01-15,TP-Link,"TP-Link Technologies Co., Ltd.",家庭和办公,网络通信联合会,https://www.tp-link.com,2024-09-11,,,,,,,,,
全球通信卫星系统,卫星通信,Ku频段,Inmarsat,2021-10-05,Inmarsat,Inmarsat Global Limited,海洋和航空用户,国际无线电通信,https://www.inmarsat.com,2024-09-11,,,,,,,,,
边缘计算和网络,云计算网络,边缘计算,阿里云,2022-09-18,阿里巴巴,阿里巴巴集团,企业用户,阿里云官方,https://www.aliyun.com,2024-09-11,,,,,,,,,
社交媒体平台实时通信,互联网应用,WebRTC,字节跳动,2020-06-28,字节跳动,字节跳动有限公司,普通用户,媒体报道,https://www.bytedance.com,2024-09-11,,,,,,,,,
智能家居互联网络,物联网系统,Zigbee,小米科技,2021-04-12,小米,小米科技有限责任公司,家庭用户,中国家电协会,https://www.mi.com,2024-09-11,,,,,,,,,
智能抗癌药物研发平台,生物通信系统,云计算分析,百度,2022-11-19,百度,百度公司,医疗行业,百度健康,https://www.baidu.com/health,2024-09-11,,,,,,,,,
智能视频监控网络,安全通信系统,AI视频分析,大华股份,2023-05-30,大华股份,大华技术股份有限公司,公共安全,安全技术报告,http://www.dahuasecurity.com,2024-09-11,,,,,,,,,
自动驾驶汽车联网系统,车联网系统,V2X技术,蔚来汽车,2023-03-14,蔚来,蔚来汽车有限公司,汽车用户,汽车技术协会,https://www.nio.com,2024-09-11,,,,,,,,,
卫星互联网接入系统,卫星通信,大容量卫星链接,中国卫通,2020-09-17,中国卫通,中国卫星通信集团公司,偏远地区用户,中国卫通官网,http://www.chinasatcom.cn,2024-09-11,,,,,,,,,
全球安全通信网络,安全通讯,加密交换,美国AT&T,2021-02-24,AT&T,AT&T Inc.,政府和企业,国际电信研究所,https://www.att.com,2024-09-11,,,,,,,,,
5G智联网络,移动通信系统,5G NR,中兴通讯,2021-01-15,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
NB-IoT网络,移动通信系统,NB-IoT,中国移动,2019-05-12,中国移动,中国移动通信集团有限公司,物联网应用,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
Wi-Fi 6网络,固定通信系统,802.11ax,华为技术有限公司,2020-11-20,华为,华为技术有限公司,普通用户,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2022-03-30,中国电信,中国电信股份有限公司,家庭用户,中国电信,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
SA 5G网络,移动通信系统,5G SA,中国联通,2021-07-18,中国联通,中国联通股份有限公司,技术开发者,IDC,https://www.idc.com,2024-09-11,,,,,,,,,
DSL宽带网络,固定通信系统,ADSL2+,电信服务商,2008-06-15,电信公司,电信服务有限公司,普通用户,博卓网络,https://www.bozhudata.com,2024-09-11,,,,,,,,,
移动边缘计算网络,移动通信系统,MEC,思科系统公司,2023-02-19,思科,思科系统有限公司,企业用户,Gartner,https://www.gartner.com,2024-09-11,,,,,,,,,
Wi-Fi Mesh网络,固定通信系统,Mesh Wi-Fi,TP-Link,2021-09-10,TP-Link,TP-Link科技有限公司,家庭用户,TP-Link官网,https://www.tp-link.com,2024-09-11,,,,,,,,,
量子通信网络,研究项目,量子保密通讯,中国科学院,2023-05-05,中国科学院,中国科学院网络信息中心,科研人员,科学杂志,https://www.science.org,2024-09-11,,,,,,,,,
社交媒体平台网络,应用网络,社交应用,字节跳动,2021-11-30,字节跳动,字节跳动有限公司,普通用户,科技新闻,https://techcrunch.com,2024-09-11,,,,,,,,,
量子安全网络,研究项目,量子密钥分发,清华大学,2022-08-20,清华大学,清华大学网络中心,科研人员,技术前沿,https://www.techfrontier.com,2024-09-11,,,,,,,,,
无线充电网络,应用网络,无线能源传输,苹果公司,2020-02-12,苹果,苹果有限公司,普通用户,科技报道,https://www.apple.com,2024-09-11,,,,,,,,,
卫星通信网络,卫星通信系统,L波段,SpaceX,2021-04-25,SpaceX,SpaceX公司,全球用户,卫星通信协会,https://www.satellitetoday.com,2024-09-11,,,,,,,,,
混合现实网络,应用网络,虚拟与增强现实,微软公司,2022-12-01,微软,微软技术有限公司,开发者,技术先锋,https://www.microsoft.com,2024-09-11,,,,,,,,,
边缘计算网络,移动通信系统,边缘计算,阿里巴巴云,2023-03-15,阿里巴巴,阿里巴巴集团,企业用户,云计算论坛,https://www.aliyun.com,2024-09-11,,,,,,,,,
智能交通网络,移动通信系统,车联网,百度,2023-07-14,百度,百度公司,城市居民,城市交通研究,https://www.baidu.com,2024-09-11,,,,,,,,,
反向流量网络,移动通信系统,反向流量,京东,2024-01-07,京东,京东科技,电商用户,电商平台资讯,https://www.jd.com,2024-09-11,,,,,,,,,
超级LTE网络,移动通信系统,LTE Advanced,中兴通讯,2020-01-15,中兴通讯,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
Wi-Fi 6网,无线通信系统,802.11ax,华为技术有限公司,2019-05-22,华为,华为技术有限公司,家庭用户,市场研究报告,https://www.huawei.com,2024-09-11,,,,,,,,,
未来网络,下一代网络,6G,中国移动,2025-12-01,中国移动,中国移动通信集团有限公司,企业用户,国家研究院,https://www.chinamobileltd.com,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,中国联通,2018-07-10,中国联通,中国联通股份有限公司,物联网设备制造商,物联网产业联盟,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
AeroNet,航空通信系统,LTE,中航工业,2021-03-18,中航工业,中国航空工业集团公司,航空公司,航空行业报告,http://www.avic.com,2024-09-11,,,,,,,,,
5G Edge计算网络,移动计算网络,5G,中国电信,2022-11-20,中国电信,中国电信股份有限公司,企业用户,电信业发展报告,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
移动卫星通信系统,卫星通信系统,Iridium,临近宇航,2023-02-05,临近宇航,临近宇航科技有限公司,航海用户,航天科技部门,https://www.terrasat.com,2024-09-11,,,,,,,,,
开放接入网络,固定通信系统,GPON,中国广电,2020-10-30,中国广电,中国广电网络股份有限公司,家庭用户,国家广播网络,http://www.bgtv.com.cn,2024-09-11,,,,,,,,,
量子通信网络,新型通信系统,量子加密,中国科学院,2022-08-15,中国科学院,中国科学院大学,政府与科研机构,科技前沿研究,http://www.cas.cn,2024-09-11,,,,,,,,,
低轨卫星通信,卫星通信系统,LEO,星链网络,2023-04-25,星链,SpaceX,偏远地区用户,卫星通信报告,https://www.spacex.com,2024-09-11,,,,,,,,,
智能城市网络,城市基础设施网络,NB-IoT & 5G,城市数据科技,2021-09-30,城市数据,城市数据科技有限公司,政府和企业,政府规划,http://www.smartcity.com,2024-09-11,,,,,,,,,
载波聚合网络,移动通信系统,LTE,爱立信,2019-08-08,爱立信,爱立信（中国）有限公司,普通用户,国际电信联盟,http://www.ericsson.com,2024-09-11,,,,,,,,,
智慧健康网络,医疗通信系统,5G,阿里健康,2022-01-12,阿里健康,阿里巴巴集团,医疗机构,医疗技术论坛,https://www.aliyun.com,2024-09-11,,,,,,,,,
长途光纤网络,固定通信系统,光纤,建设通信,2021-06-19,建设通信,建设通信有限公司,企业用户,工程技术部,http://www.jsgs.com,2024-09-11,,,,,,,,,
云基础设施网络,云计算网络,虚拟化,腾讯云,2023-01-30,腾讯云,腾讯科技（深圳）有限公司,企业用户,云计算大会,https://cloud.tencent.com,2024-09-11,,,,,,,,,
数据中心互联网络,数据中心网络,SD-WAN,阿里巴巴云,2022-03-15,阿里巴巴云,阿里巴巴集团,数据中心运营商,IT行业大会,https://www.aliyun.com,2024-09-11,,,,,,,,,
Wi-Fi 6E,无线网络,Wi-Fi 6,思科系统公司,2021-01-15,思科,思科系统有限公司,企业用户,中国互联网信息中心,https://www.cnnic.net.cn/,2024-09-11,,,,,,,,,
5G SA网络,移动通信系统,5G SA,中兴通讯,2021-06-15,中兴,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
光纤宽带,固定通信系统,FTTH,中国电信,2015-03-20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,https://www.caict.ac.cn/,2024-09-11,,,,,,,,,
6G原型网络,移动通信系统,6G,华为技术有限公司,2023-08-01,华为,华为技术有限公司,科研机构,中国移动集团,https://www.chinamobileltd.com/,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,AT&T公司,2017-11-20,AT&T,AT&T Inc.,工业用户,国际电信联盟,https://www.itu.int/,2024-09-11,,,,,,,,,
星际宽带网络,卫星通信系统,星链计划,SpaceX,2022-05-30,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通信委员会,https://www.fcc.gov/,2024-09-11,,,,,,,,,
虚拟专用网络,安全通信系统,VPN,NordVPN,2018-09-15,NordVPN,Nord Security,网络安全用户,网络安全观察,https://www.cybersecuritywatch.com/,2024-09-11,,,,,,,,,
下一代互联网,互联网协议系统,IPv6,谷歌公司,2020-12-10,谷歌,Alphabet Inc.,普通用户,国际互联网信息中心,https://www.iana.org/,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2024-01-20,中科院,中国科学院,科研机构,科学技术部,http://www.most.gov.cn/,2024-09-11,,,,,,,,,
智能边缘计算网络,计算网络,边缘计算,阿里巴巴集团,2019-11-05,阿里云,阿里巴巴集团控股有限公司,企业用户,中国科技新闻网,https://www.costnews.com/,2024-09-11,,,,,,,,,
天翼5G网络,移动通信系统,5G NR,中国电信,2021-05-10,中国电信,中国电信股份有限公司,普通用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
中国ITMC网络,数据通信系统,IP/MPLS,腾讯科技,2020-03-15,腾讯,腾讯公司,企业用户,中国互联网信息中心,https://www.tencent.com,2024-09-11,,,,,,,,,
华为核心网络,移动通信系统,5G NR,华为技术有限公司,2021-11-25,华为,华为技术有限公司,普通用户,华为官网,https://www.huawei.com,2024-09-11,,,,,,,,,
中兴Smart网,固定通信系统,FTTH,中兴通讯,2019-07-01,中兴,中兴通讯股份有限公司,普通用户,移动互联网研究院,https://www.zte.com.cn,2024-09-11,,,,,,,,,
阿里云通信平台,云通信系统,WebRTC,阿里巴巴,2022-02-12,阿里云,阿里巴巴集团控股有限公司,开发者,中国互联网信息中心,https://www.aliyun.com,2024-09-11,,,,,,,,,
英特尔边缘计算网,边缘计算系统,Edge Computing,英特尔公司,2023-01-30,英特尔,英特尔公司,企业用户,英特尔官网,https://www.intel.com,2024-09-11,,,,,,,,,
未来网络技术研究,泛在网络,未来网络,中国科学技术大学,2023-08-15,中科院,中国科学院,研究机构,中国科学技术协会,https://www.cast.org.cn,2024-09-11,,,,,,,,,
Blockchain网络通讯,区块链系统,Hyperledger,IBM中国,2023-10-01,IBM,国际商业机器公司,企业用户,IBM官网,https://www.ibm.com,2024-09-11,,,,,,,,,
全球卫星互联通信,卫星通信系统,STARLINK,SpaceX,2023-04-22,SpaceX,SpaceX公司,偏远地区用户,国际卫星通信协会,https://www.spacex.com,2024-09-11,,,,,,,,,
WiFi6超高速网络,无线通信系统,WiFi 6,NETGEAR,2023-06-18,NETGEAR,网件公司,家庭用户,网络设备及方案研究中心,https://www.netgear.com,2024-09-11,,,,,,,,,
超宽带通信网络,固定通信系统,10G GPON,中兴通讯,2020-01-15,中兴,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
智慧城市无线网络,移动通信系统,5G,中国电信,2021-09-10,中国电信,中国电信股份有限公司,普通用户,中国智能产业发展联盟,https://www.citic.org/,2024-09-11,,,,,,,,,
宽带互联网络,固定通信系统,VDSL,阿里巴巴,2019-12-05,阿里巴巴,阿里巴巴集团,商务用户,中国互联网信息中心,https://www.aliyun.com/,2024-09-11,,,,,,,,,
星链卫星通信系统,卫星通信系统,卫星互联网,SpaceX,2022-03-12,SpaceX,Space Exploration Technologies Corp.,农村及偏远区域用户,国际电信联盟,https://www.spacex.com/,2024-09-11,,,,,,,,,
IPTV融合网络,固定通信系统,MPEG-4,中国联通,2019-05-30,中国联通,中国联通股份有限公司,家庭用户,中国广播电视网络有限公司,https://www.chinaunicom.com/,2024-09-11,,,,,,,,,
量子通信网络,研究通信系统,量子密钥分发,长江通信,2023-07-15,长江通信,长江通信科技有限公司,金融及安全用户,国家自然科学基金,http://www.cct.com.cn/,2024-09-11,,,,,,,,,
高频交易网络,金融通信系统,专用低延迟网络,华尔街交易所,2021-01-20,华尔街交易所,纽约证券交易所,金融机构,金融市场监管局,https://www.nyse.com/,2024-09-11,,,,,,,,,
车联网通信系统,物联网系统,C-V2X,宝马集团,2023-03-18,宝马,宝马汽车股份公司,汽车制造商,德国交通运输部,https://www.bmw.com/,2024-09-11,,,,,,,,,
边缘计算网络,云计算通信系统,Edge Computing,亚马逊,2022-05-25,亚马逊,亚马逊网络服务,开发者与企业,云计算研究中心,https://aws.amazon.com/,2024-09-11,,,,,,,,,
量子网络通信,研究通信系统,QKD,IBM,2023-08-15,IBM,国际商业机器公司,高科技企业,高能物理研究所,https://www.ibm.com/,2024-09-11,,,,,,,,,
6G移动网络,移动通信系统,6G,中国移动,2025-05-20,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
NB-IoT,物联网通信系统,NB-IoT,华为技术有限公司,2016-03-01,华为,华为技术有限公司,物联网设备制造商,中国工业和信息化部,https://www.huawei.com/,2024-09-11,,,,,,,,,
光纤通信网络,固定通信系统,FTTH,中国电信,2010-10-15,中国电信,中国电信股份有限公司,家庭用户,中国广播电视网络公司,https://www.cte.cn/,2024-09-11,,,,,,,,,
卫星通信系统,卫星通信系统,VSAT,中国卫星通信集团公司,2022-09-10,中国卫星,中国卫星通信集团公司,远程地区用户,中国国家广播电视总局,https://www.csm.com.cn/,2024-09-11,,,,,,,,,
城市WiFi网络,公共通信系统,WiFi 6,失落的网络科技,2021-01-15,失落的网络,失落的网络科技有限公司,城市居民,地方政府网络和信息化办公室,https://www.network.gov.cn/,2024-09-11,,,,,,,,,
边缘计算网络,云计算系统,边缘计算,阿里巴巴,2023-03-05,阿里云,阿里巴巴集团,企业用户,信息产业部,https://www.alibaba.com/,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学技术大学,2024-07-21,中国科技大学,中国科学技术大学,科研机构,中国国家自然科学基金,https://www.ustc.edu.cn/,2024-09-11,,,,,,,,,
智能家庭网络,家庭自动化系统,Zigbee,小米科技有限责任公司,2020-11-30,小米,小米科技有限责任公司,家庭用户,中国互联网信息中心,https://www.mi.com/,2024-09-11,,,,,,,,,
自组网技术,自组织网络,MANET,腾讯科技（深圳）有限公司,2023-01-12,腾讯,腾讯科技（深圳）有限公司,政府和企业,国家信息中心,https://www.tencent.com/,2024-09-11,,,,,,,,,
公共5G网络,移动通信系统,5G NR,中国联通,2022-11-05,中国联通,中国联通股份有限公司,普通用户,国家广播电视管理局,http://www.cmt.gov.cn/,2024-09-11,,,,,,,,,
未来通1号,移动通信系统,6G,未来科技公司,2023-09-15,未来科技,未来科技集团有限公司,普通用户,中国工业和信息化部,https://www.cac.gov.cn/,2024-09-11,,,,,,,,,
量子网通,固定通信系统,量子通信,清华大学量子通信团队,2022-12-07,清华大学,清华大学,研究机构,国家自然科学基金委员会,https://www.nsfc.gov.cn/,2024-09-11,,,,,,,,,
