机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
超精密切割机,0.004,±0.005 μm,Ra < 0.01 μm,高,8.5,g,中国精密机械协会,http://www.cmtia.org.cn,,
干法激光切割机,0.008,±0.005 μm,Ra < 0.012 μm,中,4.0,g,中国材料研究学会,http://www.cams.org.cn,,
微米级电火花机,0.007,±0.003 μm,Ra < 0.002 μm,高,5.5,g,中国高科技产业化研究会,http://www.chinatech.org.cn,,
超精密3D打印机,0.001,±0.001 μm,Ra < 0.003 μm,高,9.0,g,中国3D打印技术产业协作网,http://www.china3d.com,,
超精密组合机床,0.005,±0.002 μm,Ra < 0.008 μm,中,6.8,g,全国先进制造技术创新研究院,http://www.camti.org.cn,,
运输机械专用切割机,0.02,±0.01 μm,Ra < 0.015 μm,低,3.0,g,中国智能物流协会,http://www.chinazl.org.cn,,
智能化多功能加工中心,0.004,±0.002 μm,Ra < 0.007 μm,高,8.0,g,全国智能制造技术协会,http://www.cimt.org.cn,,
超精密离子束雕刻机,0.001,±0.0005 μm,Ra < 0.001 μm,高,10.0,g,国家纳米技术平台,http://www.nanotech.org.cn,,
微铣削机,0.002,±0.001 μm,Ra < 0.005 μm,高,7.5,g,国际微加工技术协会,https://www.imta.org,,
光刻机,0.003,±0.001 μm,Ra < 0.008 μm,高,8.2,g,中国半导体行业协会,http://www.csia.net.cn,,
等离子切割机,0.009,±0.007 μm,Ra < 0.011 μm,中,5.5,g,中国等离子技术研究协会,http://www.plasmascience.org.cn,,
超精密水射流加工机,0.005,±0.003 μm,Ra < 0.009 μm,高,4.0,g,中国水射流加工协会,http://www.waterjet.org.cn,,
超精密卧式铣床,0.005,±0.002 μm,Ra < 0.007 μm,高,7.0,g,中国智能制造与自动化协会,https://www.cimta.org.cn,,
超精密多轴机床,0.002,±0.005 μm,Ra < 0.003 μm,高,9.0,g,中国机床工业协会,https://www.cmtia.org.cn,,
超精密线切割机,0.01,±0.01 μm,Ra < 0.005 μm,中,4.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密激光切割机,0.007,±0.012 μm,Ra < 0.006 μm,高,6.5,g,中国光学学会,http://www.cos.org.cn,,
超精密显微镜机床,0.003,±0.002 μm,Ra < 0.004 μm,中,5.5,g,中国制造业科技促进会,http://www.cmsti.org.cn,,
超精密电火花成形机,0.009,±0.005 μm,Ra < 0.005 μm,高,8.0,g,国家智能制造标准化技术委员会,http://www.nss.org.cn,,
超精密超声波加工机,0.004,±0.01 μm,Ra < 0.007 μm,低,3.0,g,中国机械研究院,http://www.cmeic.org.cn,,
精密数控车床,0.013,±0.008 μm,Ra < 0.012 μm,高,7.5,g,中国数控技术协会,http://www.cntc.org.cn,,
超精密磨光机,0.0015,±0.001 μm,Ra < 0.003 μm,中,4.5,g,中国材料研究学会,http://www.cmse.org.cn,,
超精密纳米磨床,0.0025,±0.002 μm,Ra < 0.002 μm,高,8.5,g,中国纳米科技协会,http://www.cnsa.cn,,
超精密电加工机,0.006,±0.004 μm,Ra < 0.009 μm,高,6.0,g,深圳市先进制造产业协会,http://www.szaim.org.cn,,
超精密坐标测量机,0.002,±0.003 μm,Ra < 0.001 μm,中,2.0,g,中国机械检测研究院,http://www.cmi.org.cn,,
超精密三维打印机,0.008,±0.005 μm,Ra < 0.011 μm,高,6.0,g,中国新材料产业协会,http://www.cma.org.cn,,
超精密组合机床,0.0025,±0.001 μm,Ra < 0.003 μm,中,5.0,g,中国机电工程学会,http://www.cme.org.cn,,
超精密切削机床,0.003,±0.007 μm,Ra < 0.006 μm,高,7.0,g,中国制造业创新大会,http://www.innovationchina.org.cn,,
光束束流机床,0.004,±0.006 μm,Ra < 0.008 μm,中,3.5,g,国家光电产业技术创新战略联盟,http://www.npi.org.cn,,
超精密金属加工机,0.005,±0.002 μm,Ra < 0.005 μm,高,9.0,g,中国工程院,http://www.cae.cn,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.006 μm,高,7.0,g,中国半导体产业协会,https://www.csia.net.cn,,
激光切割机,0.003,±0.008 μm,Ra < 0.007 μm,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密磨床,0.007,±0.004 μm,Ra < 0.012 μm,中,5.5,g,中国机械工程协会,https://www.cmes.org,,
超精密五轴加工中心,0.005,±0.01 μm,Ra < 0.009 μm,高,8.0,g,中国机床工具行业协会,https://www.cmtia.org.cn,,
电火花加工机,0.003,±0.001 μm,Ra < 0.002 μm,高,4.5,g,中国电机工程学会,https://www.cee.org.cn,,
超精密CNC车床,0.004,±0.005 μm,Ra < 0.003 μm,高,9.0,g,中国数控机床行业协会,https://www.cnc.org.cn,,
超大规模激光切割机,0.01,±0.02 μm,Ra < 0.015 μm,中,6.0,g,中国激光产业研究院,https://www.clir.org.cn,,
超精密铣削机,0.004,±0.008 μm,Ra < 0.005 μm,中,5.0,g,国家智能制造标准化技术委员会,https://www.nsm.org.cn,,
超精密液压机,0.004,±0.02 μm,Ra < 0.010 μm,高,8.5,g,中国液压气动密封件工业协会,https://www.china-hydraulics.org.cn,,
激光打标机,0.002,±0.007 μm,Ra < 0.004 μm,高,5.0,g,中国激光打标行业协会,https://www.clbm.org.cn,,
超精密切割机,0.003,±0.006 μm,Ra < 0.005 μm,高,7.0,g,中国切割设备行业协会,https://www.ccia.org.cn,,
超精密成形机,0.001,±0.003 μm,Ra < 0.009 μm,高,6.0,g,中国成形设备行业协会,https://www.cfa.org.cn,,
超精密精加工机,0.005,±0.002 μm,Ra < 0.008 μm,中,5.5,g,中国机械设备工程学会,https://www.ceme.org.cn,,
超精密半导体设备,0.002,±0.004 μm,Ra < 0.003 μm,高,6.5,g,国家半导体局,https://www.semiview.org.cn,,
高精度模板加工机,0.002,±0.005 μm,Ra < 0.007 μm,高,8.0,g,中国模具工业协会,https://www.china-mould.org.cn,,
超精密模具加工机,0.005,±0.005 μm,Ra < 0.004 μm,中,7.5,g,中国模具标准化技术委员会,https://www.cmsc.org.cn,,
超精密焊接机,0.003,±0.002 μm,Ra < 0.006 μm,高,6.5,g,中国焊接学会,http://www.cws.org.cn,,
超精密铸造机,0.006,±0.01 μm,Ra < 0.008 μm,中,5.5,g,中国铸造协会,http://www.china-foundry.org,,
超精密光刻机,0.005,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国半导体设备工业协会,https://www.semi.org.cn,,
超精密雕铣复合机,0.007,±0.01 μm,Ra < 0.006 μm,高,5.5,g,全国金属加工技术研究中心,https://www.metalworking.org.cn,,
超精密探测机,0.002,±0.001 μm,Ra < 0.002 μm,中,4.0,g,中国科研院所机械中心,http://www.cams.org.cn,,
超精密线切割机,0.01,±0.004 μm,Ra < 0.007 μm,中,3.5,g,中国机床及工具工业协会,http://www.cmtia.org.cn,,
超精密表面磨削机,0.005,±0.002 μm,Ra < 0.001 μm,高,6.0,g,中国制造业创新中心,https://www.manufacturinginnovation.org.cn,,
超精密电喷涂机,0.012,±0.01 μm,Ra < 0.009 μm,高,5.0,g,中国喷涂行业协会,https://www.coating.org.cn,,
超精密无线切割机,0.008,±0.005 μm,Ra < 0.004 μm,中,4.5,g,中国智能制造技术协会,https://www.smartmanufacturing.org.cn,,
超精密激光焊接机,0.003,±0.003 μm,Ra < 0.006 μm,高,6.5,g,中国激光技术协会,http://www.clta.org.cn,,
超精密数控车床,0.009,±0.004 μm,Ra < 0.011 μm,中,5.0,g,中国数控机床协会,https://www.cnca.org.cn,,
超精密激光切割机,0.01,±0.005 μm,Ra < 0.005 μm,高,6.0,g,中国激光设备产业公司,https://www.laserequipment.org.cn,,
超精密水刀机,0.014,±0.015 μm,Ra < 0.012 μm,低,2.0,g,中国机械研究院,http://www.cma.org.cn,,
超精密数控磨床,0.007,±0.002 μm,Ra < 0.008 μm,中,4.0,g,中国精密工程协会,https://www.cpe.org.cn,,
超精密碳化机,0.006,±0.009 μm,Ra < 0.003 μm,高,6.3,g,中国高端装备产业技术创新战略联盟,http://www.hdqiichina.org,,
超精密精度测试机,0.004,±0.002 μm,Ra < 0.005 μm,中,3.5,g,中国计量科学研究院,http://www.cmsi.cn,,
超精密激光焦点仪,0.003,±0.001 μm,Ra < 0.002 μm,低,5.5,g,中国高精尖设备产业协会,http://www.gpjq.org.cn,,
超精密直线电机驱动机床,0.005,±0.003 μm,Ra < 0.001 μm,高,7.2,g,中国工程机械协会,https://www.cea.org.cn,,
超精密陶瓷切割机,0.012,±0.006 μm,Ra < 0.002 μm,中,5.8,g,中国新能源业协会,http://www.cnea.org.cn,,
超精密超声波加工机,0.006,±0.002 μm,Ra < 0.004 μm,高,4.0,g,中国声学学会,https://www.acoustics.org.cn,,
超精密光刻机,0.005,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国半导体行业协会,http://www.csia.net.cn,,
五轴加工中心,0.012,±0.005 μm,Ra < 0.007 μm,高,6.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密电铣机,0.007,±0.004 μm,Ra < 0.009 μm,中,5.5,g,中国机械工程学会,https://www.cmes.org,,
超精密水刀切割机,0.014,±0.02 μm,Ra < 0.006 μm,高,4.5,g,国家机械标准化中心,http://www.nbs.org.cn,,
超精密贴合机,0.002,±0.001 μm,Ra < 0.002 μm,高,8.0,g,中国电子学会,http://www.cie-china.org,,
超精密光纤激光切割机,0.009,±0.003 μm,Ra < 0.005 μm,中,5.0,g,中国激光行业协会,http://www.clia.org.cn,,
超精密动车床,0.006,±0.002 μm,Ra < 0.012 μm,高,6.0,g,中国机床与工具协会,http://www.cmtia.org.cn,,
超精密测量机,0.001,±0.0005 μm,Ra < 0.001 μm,高,3.0,g,中国计量科学研究院,http://www.nim.ac.cn,,
精密电子测量机,0.003,±0.001 μm,Ra < 0.003 μm,中,4.0,g,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密铣削机,0.004,±0.006 μm,Ra < 0.017 μm,中,5.5,g,中国制造业创新中心,http://www.cmii.org.cn,,
超精密打标机,0.001,±0.001 μm,Ra < 0.006 μm,高,6.0,g,国际激光网,http://www.laser.cn,,
超精密车削中心,0.007,±0.02 μm,Ra < 0.009 μm,高,5.5,g,中国航天科技集团,https://www.casic.cn,,
超精密立体车床,0.005,±0.003 μm,Ra < 0.011 μm,高,4.5,g,中国生产力促进中心,http://www.cpc.org.cn,,
超精密三维打印机,0.002,±0.0005 μm,Ra < 0.008 μm,高,7.0,g,中国3D打印技术协会,https://www.c3d.org.cn,,
超精密铣削激光机,0.008,±0.006 μm,Ra < 0.010 μm,中,5.0,g,国家信息中心,http://www.nic.gov.cn,,
超精密模具机,0.015,±0.008 μm,Ra < 0.015 μm,高,6.0,g,中国模具工业协会,https://www.cmia.org.cn,,
超精密加工机器人,0.001,±0.0002 μm,Ra < 0.004 μm,高,8.0,g,国家工业和信息化部,http://www.miit.gov.cn,,
超精密清洗机,0.003,±0.002 μm,Ra < 0.018 μm,中,4.0,g,中国环境科学研究院,http://www.cneri.org.cn,,
超精密锯床,0.007,±0.012 μm,Ra < 0.006 μm,高,7.0,g,中国制造2025战略研究中心,https://www.cm2025.gov.cn,,
超精密磨床,0.005,±0.008 μm,Ra < 0.007 μm,高,6.5,g,北京机床科技研究院,https://www.bimri.ac.cn,,
超精密切割机,0.009,±0.004 μm,Ra < 0.005 μm,中,4.0,g,深圳智能制造创新中心,https://www.szimic.org,,
超精密激光加工机,0.002,±0.001 μm,Ra < 0.003 μm,高,8.5,g,中国科学院合肥物质科学研究院,http://www.hf.cas.cn,,
超精密切割激光机,0.003,±0.006 μm,Ra < 0.004 μm,中,5.3,g,中科院激光技术中心,http://www.cltc.cas.cn,,
超精密数控车床,0.004,±0.002 μm,Ra < 0.009 μm,高,7.8,g,国家机电产品检验中心,https://www.ccmec.org.cn,,
超精密加工中心,0.005,±0.009 μm,Ra < 0.006 μm,中,6.0,g,福建省机械工业协会,https://www.fjmia.org.cn,,
超精密电火花加工机,0.01,±0.007 μm,Ra < 0.003 μm,高,5.8,g,哈尔滨工程大学精密制造研究所,https://www.hrbeu.edu.cn,,
超精密光刻机,0.001,±0.002 μm,Ra < 0.002 μm,高,10.0,g,清华大学微纳加工中心,https://www.tsinghua.edu.cn,,
超精密数控铣床,0.004,±0.012 μm,Ra < 0.007 μm,中,5.6,g,西安交通大学机械工程学院,https://www.xjtu.edu.cn,,
超精密开槽机,0.006,±0.005 μm,Ra < 0.008 μm,低,3.5,g,南方科技大学高端制造研究所,https://www.sustech.edu.cn,,
超精密电镀机,0.002,±0.004 μm,Ra < 0.005 μm,中,4.5,g,中国电镀协会,http://www.cda.org.cn,,
超精密组合机床,0.009,±0.003 μm,Ra < 0.012 μm,高,6.2,g,上海机械电子工业协会,http://www.smeia.org.cn,,
超精密管加工中心,0.008,±0.006 μm,Ra < 0.001 μm,高,7.5,g,辽宁省机械制造研究院,https://www.lnmmri.cn,,
超精密激光表面处理机,0.004,±0.002 μm,Ra < 0.003 μm,中,3.8,g,浙江数字化制造研究院,https://www.zjdmri.cn,,
超精密临床医用设备加工机,0.003,±0.007 μm,Ra < 0.002 μm,高,9.0,g,中南大学机械与控制工程学院,https://www.csu.edu.cn,,
超精密多功能加工机,0.002,±0.005 μm,Ra < 0.007 μm,高,8.0,g,上海交通大学机械与动力工程学院,https://www.sjtu.edu.cn,,
超精密焊接机,0.005,±0.001 μm,Ra < 0.004 μm,中,4.2,g,武汉大学先进制造技术研究中心,https://www.whu.edu.cn,,
超精密激光切割机,0.005,±0.008 μm,Ra < 0.007 μm,高,7.0,g,中国激光行业协会,https://www.clia.org.cn,,
超精密水磨床,0.012,±0.02 μm,Ra < 0.009 μm,中,4.5,g,中国机械科学研究总院,https://www.camsc.cn,,
超精密立加工中心,0.007,±0.01 μm,Ra < 0.019 μm,高,5.5,g,深圳市工业技术研究院,http://www.szitri.cn,,
超精密深孔加工机,0.004,±0.003 μm,Ra < 0.006 μm,高,6.5,g,中国制造业发展报告,http://www.cmr.gov.cn,,
超精密激光焊接机,0.009,±0.012 μm,Ra < 0.013 μm,中,4.0,g,中国焊接协会,https://www.cwa.org.cn,,
超精密转台机床,0.002,±0.005 μm,Ra < 0.007 μm,高,9.0,g,北京机电工程研究院,http://www.biee.org,,
超精密线切割机,0.011,±0.017 μm,Ra < 0.012 μm,中,3.5,g,中国金属加工协会,http://www.cmma.org.cn,,
超精密数控车床,0.003,±0.002 μm,Ra < 0.003 μm,高,8.0,g,中国数控机床行业协会,https://www.cnc.org.cn,,
超精密铣削机,0.005,±0.007 μm,Ra < 0.011 μm,高,5.0,g,中国工业技术协会,http://www.citri.org.cn,,
超精密造型机,0.006,±0.04 μm,Ra < 0.008 μm,中,4.0,g,中国机电工程协会,https://www.cmeea.org.cn,,
超精密精磨机,0.001,±0.005 μm,Ra < 0.002 μm,高,7.0,g,国家质量监督检验中心,http://www.quality.gov.cn,,
超精密多轴加工机,0.003,±0.009 μm,Ra < 0.010 μm,高,6.0,g,中国智能装备产业技术创新战略联盟,http://www.ciaia.org.cn,,
超精密激光添加制造机,0.002,±0.001 μm,Ra < 0.005 μm,高,8.0,g,中国增材制造协会,http://www.cama.org.cn,,
超精密铣刀机,0.007,±0.018 μm,Ra < 0.014 μm,中,4.5,g,中国机械研究总院,https://www.cemri.net,,
超精密切割机,0.01,±0.011 μm,Ra < 0.012 μm,中,5.5,g,中国电力机具研究院,https://www.cerpi.cn,,
超精密五轴加工中心,0.008,±0.013 μm,Ra < 0.015 μm,高,9.5,g,中国机器人产业链联盟,http://www.cria.org.cn,,
超精密精细磨床,0.004,±0.019 μm,Ra < 0.007 μm,中,3.0,g,中国精密仪器制造协会,http://www.cpaima.org.cn,,
超精密复合加工中心,0.002,±0.007 μm,Ra < 0.007 μm,高,6.0,g,中国自动化学会,http://www.caa.org.cn,,
超精密切削机,0.005,±0.01 μm,Ra < 0.007 μm,高,6.5,g,中国先进制造技术协会,https://www.camta.org.cn,,
超精密石材切割机,0.01,±0.02 μm,Ra < 0.015 μm,中,4.5,g,中国石材加工协会,https://www.csmta.org.cn,,
超精密3D打印机,0.002,±0.005 μm,Ra < 0.004 μm,高,3.0,g,中国3D打印技术协会,https://www.china3d.org,,
超精密电铣机,0.007,±0.008 μm,Ra < 0.012 μm,高,5.5,g,中国精密仪器制造协会,https://www.cpmma.org.cn,,
超精密电火花线切割机,0.009,±0.007 μm,Ra < 0.011 μm,高,4.8,g,国家电力设备管理中心,https://www.spdes.org.cn,,
超精密超声波加工机,0.003,±0.002 μm,Ra < 0.006 μm,高,7.0,g,中国超声波技术协会,https://www.chinatsonic.org,,
超精密等离子切割机,0.004,±0.015 μm,Ra < 0.009 μm,中,5.1,g,中国金属切割机器制造协会,https://www.cmcma.org,,
超精密线激光打标机,0.001,±0.002 μm,Ra < 0.003 μm,高,6.0,g,中国激光技术协会,https://www.clta.org.cn,,
超精密激光切割机,0.008,±0.026 μm,Ra < 0.013 μm,高,5.2,g,全国激光设备标准化技术委员会,https://www.nlsst.org.cn,,
超精密模具加工中心,0.002,±0.009 μm,Ra < 0.008 μm,高,6.8,g,中国模具工业协会,https://www.cimta.org.cn,,
超精密凿铣机,0.006,±0.014 μm,Ra < 0.005 μm,中,5.0,g,中国机床工具行业协会,https://www.cmtia.org.cn,,
超精密行星铣床,0.007,±0.010 μm,Ra < 0.016 μm,高,4.3,g,中国机械科技与工业研究所,https://www.cmr.org.cn,,
超精密化学机械抛光机,0.012,±0.006 μm,Ra < 0.003 μm,高,4.7,g,中国表面工程协会,https://www.cnlm.org.cn,,
超精密高频焊接机,0.003,±0.019 μm,Ra < 0.002 μm,高,5.9,g,中国焊接协会,https://www.cwa.org.cn,,
