机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
激光水刀切割机,0.02,mm,±0.018 mm,Ra 1.4,高,3.6,g,中国材料科研院,https://www.materialsres.in,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 3.1,中,4.2,g,中国激光行业协会,https://www.clia.org.cn,,
YAG激光切割机,0.026,mm,±0.032 mm,Ra 2.1,中,5.5,g,中国激光与光电研究院,https://www.clp.org.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,4.8,g,中国机械设备工程公司,https://www.cmec.com.cn,,
数控水切割机,0.012,mm,±0.01 mm,Ra 0.6,高,8.5,g,中国机械行业信息中心,https://www.cmii.org.cn,,
等离子切割机,0.05,mm,±0.15 mm,Ra 3.5,中,3.5,g,中国先进制造技术协会,https://www.camta.org,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.5,极高,9.0,g,中国激光制造技术协会,https://www.clmt.org.cn,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 1.8,中,6.0,g,中国激光加工协会,https://www.clpa.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.0,中,4.0,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.2,中,2.8,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
数控氧气切割机,0.04,mm,±0.1 mm,Ra 3.0,低,3.0,g,中国机械工程协会,https://www.cme.org.cn,,
数控火焰切割机,0.1,mm,±0.2 mm,Ra 5.0,低,2.5,g,中国特种设备协会,https://www.csei.org.cn,,
激光水刀切割机,0.015,mm,±0.01 mm,Ra 1.0,高,7.0,g,中国水污染防治协会,https://www.cwpaa.org.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.4,极高,5.5,g,中国激光技术应用研究中心,https://www.clar.org.cn,,
光纤激光切割机,0.015,mm,±0.01 mm,Ra 0.7,高,6.5,g,中国产品质量监督检验中心,https://www.sgs.com.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 4.2,中,3.8,g,中国金属切割技术研究院,https://www.cmtc.org.cn,,
CO2激光切割机,0.04,mm,±0.07 mm,Ra 2.6,高,4.2,g,中国科技工业联合会,https://www.casti.org.cn,,
数控火焰切割机,0.15,mm,±0.3 mm,Ra 4.5,中,2.2,g,中国机械工业联合会,https://www.cmei.org.cn,,
电火花切割机,0.08,mm,±0.12 mm,Ra 3.1,中,3.2,g,中国电气机械协会,https://www.cemca.org.cn,,
等离子切割机,0.055,mm,±0.15 mm,Ra 3.3,中,3.6,g,中国焊接协会,https://www.cws.org.cn,,
数控激光切割机,0.035,mm,±0.04 mm,Ra 1.2,高,6.8,g,国家标准化管理委员会,https://www.sac.gov.cn,,
超音频切割机,0.03,mm,±0.02 mm,Ra 1.5,高,6.2,g,中国机械市场研究院,https://www.cmri.org.cn,,
激光切割机,0.02,mm,±0.01 mm,Ra 1.0,极高,8.5,g,全国激光行业协会,https://www.nila.org.cn,,
水刀切割机,0.07,mm,±0.05 mm,Ra 2.0,中,3.8,g,中国现代制造业联合会,https://www.cmmf.org.cn,,
电弧切割机,0.1,mm,±0.15 mm,Ra 3.5,中,4.0,g,中国焊接学会,https://www.cws.org.cn,,
数控激光切割机,0.012,mm,±0.005 mm,Ra 0.5,高,9.0,g,中国数控机床协会,https://www.cnc.org.cn,,
激光合金切割机,0.04,mm,±0.1 mm,Ra 2.5,中,5.0,g,华东科技大学,https://www.seu.edu.cn,,
等离子管切割机,0.15,mm,±0.35 mm,Ra 4.0,低,2.5,g,中关村科技园区,https://www.zgc.gov.cn,,
桁架激光切割机,0.018,mm,±0.02 mm,Ra 1.1,高,6.8,g,中国工业和信息化部,https://www.miit.gov.cn,,
数控火焰切割机,0.1,mm,±0.25 mm,Ra 3.2,中,4.0,g,中国机械工程学会,https://www.cmes.org.cn,,
反应堆切割机,0.05,mm,±0.04 mm,Ra 1.8,高,7.2,g,核能协会,https://www.nea.org.cn,,
电控激光切割机,0.022,mm,±0.012 mm,Ra 0.9,极高,9.4,g,国际激光技术研究中心,https://www.ilrc.org.cn,,
光纤等离子切割机,0.06,mm,±0.2 mm,Ra 3.5,中,4.2,g,中国激光技术咨询中心,https://www.cltc.org.cn,,
直流平台切割机,0.07,mm,±0.15 mm,Ra 2.6,中,3.6,g,深圳市工业科技交流会,https://www.szygj.org.cn,,
多功能激光切割机,0.003,mm,±0.001 mm,Ra 0.4,极高,10.0,g,中国工业协会,https://www.cia.org.cn,,
自动化激光切割机,0.01,mm,±0.008 mm,Ra 1.0,高,8.0,g,中国科技信息研究所,https://www.csti.org.cn,,
电化学切割机,0.04,mm,±0.05 mm,Ra 3.0,中,4.5,g,中国电机工程学会,https://www.cees.org.cn,,
便携激光切割机,0.02,mm,±0.02 mm,Ra 1.6,高,5.5,g,中国工程院,https://www.cae.cn,,
激光铣削切割机,0.008,mm,±0.005 mm,Ra 0.7,高,7.5,g,国家标准化管理委员会,https://www.sac.gov.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国机械设备工程股份有限公司,https://www.cmec.com,,
水刀切割机,0.012,mm,±0.01 mm,Ra 1.5,中,4.0,g,中国机械行业协会,https://www.cmia.org.cn,,
等离子焊接机,0.1,mm,±0.5 mm,Ra 5.0,低,2.0,g,中国焊接学会,https://www.cws.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.1,中,3.8,g,国家科技部,https://www.most.gov.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.8,高,5.5,g,工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.7,极高,9.0,g,国际光纤激光协会,https://www.ifla.org,,
数控火焰切割机,0.08,mm,±0.12 mm,Ra 3.6,中,3.2,g,中国机械工程学会,https://www.cmes.org.cn,,
激光切割机,0.018,mm,±0.015 mm,Ra 1.9,高,5.2,g,国家标准化管理委员会,https://www.sac.gov.cn,,
激光冲孔机,0.04,mm,±0.02 mm,Ra 2.5,中,4.8,g,中国工具工业协会,https://www.ctiis.org.cn,,
聚焦激光切割机,0.015,mm,±0.01 mm,Ra 1.4,高,6.7,g,中国激光行业协会,https://www.clia.org.cn,,
大型数控切割机,0.035,mm,±0.06 mm,Ra 3.4,中,3.6,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
手工激光切割机,0.05,mm,±0.1 mm,Ra 2.9,较低,2.5,g,中国科技协会,https://www.cast.org.cn,,
自动化激光切割设备,0.02,mm,±0.02 mm,Ra 1.6,高,7.2,g,中国机械标准化研究院,https://www.cmsri.ac.cn,,
高压水切割机,0.01,mm,±0.005 mm,Ra 1.3,高,8.3,g,中国水切割技术协会,https://www.wjcta.org.cn,,
激光切割系统,0.009,mm,±0.006 mm,Ra 0.9,极高,9.5,g,国际激光应用协会,https://www.ila.org,,
隐形激光切割机,0.05,mm,±0.04 mm,Ra 2.4,中,4.3,g,中国隐形技术协会,https://www.hidden-tech.org.cn,,
精密激光切割机,0.003,mm,±0.002 mm,Ra 0.5,高,10.0,g,中国高精度切割设备协会,https://www.hpca.org.cn,,
激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,全球激光技术研究所,https://www.gltr.org,,
数控等离子切割机,0.08,mm,±0.15 mm,Ra 3.2,中,4.0,g,中国机械工程协会,https://www.cme.org.cn,,
水刀切割机,0.02,mm,±0.01 mm,Ra 0.9,高,7.2,g,中国水刀协会,https://www.wjha.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 1.5,中,3.0,g,中国激光研究中心,https://www.clrc.org.cn,,
YAG激光切割机,0.017,mm,±0.02 mm,Ra 1.8,高,5.5,g,中国激光与光电子技术联盟,https://www.clptea.org.cn,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 4.5,中,2.2,g,中国机械工业联合会,https://www.cmiu.org.cn,,
激光切割机,0.04,mm,±0.06 mm,Ra 1.4,较高,6.0,g,科技部装备司,https://www.most.gov.cn,,
电火花切割机,0.07,mm,±0.12 mm,Ra 3.5,中,3.8,g,中国电气工程学会,https://www.cees.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.7,非常高,8.5,g,国际光电技术协会,https://www.opteur.org,,
等离子切割机,0.1,mm,±0.2 mm,Ra 4.1,低,2.5,g,中国机械产品质量协会,https://www.cmqao.org.cn,,
激光水刀切割机,0.015,mm,±0.014 mm,Ra 1.1,高,9.0,g,中国现代制造技术研究院,https://www.cmtri.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.1,中,4.0,g,中国激光行业论坛,https://www.clif.org.cn,,
数控火焰切割机,0.09,mm,±0.18 mm,Ra 3.3,中,3.0,g,中国机械工具协会,https://www.cmta.org.cn,,
激光切割机,0.022,mm,±0.025 mm,Ra 1.4,高,5.2,g,中国金属加工协会,https://www.cmwa.org.cn,,
光纤激光切割机,0.006,mm,±0.008 mm,Ra 0.5,非常高,10.0,g,国家激光及光电技术研究中心,https://www.nlpt.org.cn,,
电火花切割机,0.055,mm,±0.1 mm,Ra 3.8,中,4.3,g,中国机床工具协会,https://www.cmta.org.cn,,
等离子切割机,0.07,mm,±0.12 mm,Ra 4.0,低,2.8,g,中国切割技术研究院,https://www.cuttingtech.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.8,高,6.5,g,中国激光应用产业协会,https://www.clia-application.org.cn,,
等离子切割机,0.1,mm,±0.3 mm,Ra 4.2,中,2.8,g,亚洲智能制造协会,https://www.asiaim.org,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.5,中,4.0,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.12,mm,±0.4 mm,Ra 5.0,较低,1.7,g,中国数控协会,https://www.cncc.org.cn,,
光纤激光切割机,0.004,mm,±0.005 mm,Ra 0.5,高,9.0,g,国际光纤技术讨论组,https://www.iftdg.org,,
激光水刀切割机,0.012,mm,±0.016 mm,Ra 1.0,高,8.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 2.0,高,6.0,g,中国激光行业协会,https://www.clia.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 3.5,中,3.0,g,中国电器工程学会,https://www.cees.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 4.0,中,3.5,g,中国表面工程协会,https://www.surface-engineering.org.cn,,
光纤激光切割机,0.006,mm,±0.02 mm,Ra 0.6,高,7.2,g,国际激光科技创新中心,https://www.iltc.org,,
激光水刀切割机,0.015,mm,±0.02 mm,Ra 1.1,高,8.0,g,中国水射流技术学会,https://www.wjcta.org.cn,,
数控火焰切割机,0.09,mm,±0.35 mm,Ra 4.6,中,2.5,g,中国机械科学研究院,https://www.camsm.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.9,中,3.8,g,中国激光技术研究院,https://www.clti.org.cn,,
YAG激光切割机,0.024,mm,±0.025 mm,Ra 1.9,高,5.8,g,中国数控技术协会,https://www.cnc.org.cn,,
电火花切割机,0.055,mm,±0.1 mm,Ra 3.2,中,3.2,g,国家能源局,https://www.nea.gov.cn,,
等离子切割机,0.095,mm,±0.28 mm,Ra 4.1,较低,2.0,g,中国机械工业协会,https://www.cmi.org.cn,,
光纤激光切割机,0.007,mm,±0.015 mm,Ra 0.7,高,8.2,g,中国高技术产业协会,https://www.chita.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.9,高,6.5,g,国家级高新技术企业,https://www.nationalhightech.gov.cn,,
电火花切割机,0.055,mm,±0.12 mm,Ra 3.5,较低,2.8,g,中国机电产品进出口商会,https://www.cccme.org.cn,,
等离子切割机,0.09,mm,±0.15 mm,Ra 4.0,中,4.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.7,高,9.0,g,中国激光技术研究院,https://www.cltir.com,,
激光水刀切割机,0.012,mm,±0.010 mm,Ra 1.1,高,7.5,g,中国机械设计研究院,https://www.mdi.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 2.0,高,6.2,g,中国激光器件协会,https://www.cloa.org.cn,,
数控火焰切割机,0.095,mm,±0.35 mm,Ra 4.1,中,2.5,g,中国重型机械有限公司,https://www.chinajhm.com,,
光纤激光切割机,0.013,mm,±0.02 mm,Ra 1.4,高,8.1,g,国际机械工程师学会,https://www.imeche.org,,
激光水刀切割机,0.017,mm,±0.018 mm,Ra 1.0,高,5.5,g,中国水射流工程技术研究中心,https://www.wjetc.cn,,
CO2激光切割机,0.045,mm,±0.095 mm,Ra 2.5,中,3.0,g,中国机械制造科技发展中心,https://www.cmmtdc.org.cn,,
YAG激光切割机,0.021,mm,±0.013 mm,Ra 2.1,高,6.8,g,中国进出口银行科技成果转化部,https://www.eximbank.gov.cn,,
电火花切割机,0.04,mm,±0.09 mm,Ra 3.2,低,3.2,g,中国机床及工具协会,https://www.chinatools.org.cn,,
等离子切割机,0.07,mm,±0.20 mm,Ra 4.3,中,5.0,g,中国机械制造工业协会,https://www.cmmi.org.cn,,
光纤激光切割机,0.006,mm,±0.003 mm,Ra 0.6,高,10.0,g,中国激光行业技术协会,https://www.clita.org.cn,,
激光水刀切割机,0.014,mm,±0.012 mm,Ra 1.5,高,4.8,g,中国水刀行业协会,https://www.wdinfo.cn,,
CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.4,中,4.0,g,中国科学院机械科学研究所,https://www.imech.cas.cn,,
水刀切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,国际机械制造协会,https://www.ima.org,,
电火花切割机,0.05,mm,±0.09 mm,Ra 3.2,中,4.5,g,美国家具制造商协会,https://www.ahma.org,,
等离子切割机,0.12,mm,±0.28 mm,Ra 5.0,较低,2.5,g,欧洲焊接协会,https://www.euwelding.com,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 1.9,高,5.5,g,德国机械工程协会,https://www.vdma.org,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.7,高,8.5,g,中国激光行业协会,https://www.clia.org.cn,,
光纤激光切割机,0.002,mm,±0.002 mm,Ra 0.5,极高,10.0,g,软件和信息技术服务协会,https://www.csia.org,,
激光水刀切割机,0.009,mm,±0.012 mm,Ra 1.0,高,7.0,g,中国水刀行业协会,https://www.wjia.org.cn,,
数控火焰切割机,0.07,mm,±0.2 mm,Ra 3.8,中,3.0,g,亚洲机械工程学会,https://www.asiame.org,,
电火花切割机,0.04,mm,±0.07 mm,Ra 2.5,较低,3.8,g,国际电气与电子工程师学会,https://www.ieee.org,,
CO2激光切割机,0.06,mm,±0.05 mm,Ra 2.0,中,4.0,g,中国激光技术中心,https://www.cltc.org.cn,,
等离子切割机,0.15,mm,±0.3 mm,Ra 4.2,较低,1.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
光纤激光切割机,0.004,mm,±0.001 mm,Ra 0.3,高,9.0,g,国际展望科技中心,https://www.pi.org,,
水刀切割机,0.018,mm,±0.018 mm,Ra 1.1,高,3.9,g,中国切割技术协会,https://www.cta.org.cn,,
YAG激光切割机,0.026,mm,±0.035 mm,Ra 2.7,中,4.3,g,中国工程院,https://www.cae.cn,,
CO2激光切割机,0.035,mm,±0.04 mm,Ra 2.4,中,4.8,g,中国工业经济运行研究所,https://www.cier.org.cn,,
电火花切割机,0.03,mm,±0.05 mm,Ra 3.5,中,3.2,g,国际定制制造协会,https://www.custommanufacturing.com,,
YAG激光切割机,0.023,mm,±0.025 mm,Ra 1.9,高,6.0,g,江苏省科学技术厅,https://www.jiangsust.gov.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 4.8,中,2.5,g,广东省机械制造协会,https://www.gdmm.org.cn,,
光纤激光切割机,0.006,mm,±0.015 mm,Ra 0.6,高,8.5,g,中国激光行业标准化技术委员会,https://www.clia.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 3.0,中,3.2,g,中国激光产业协会,https://www.cilias.org.cn,,
电火花切割机,0.055,mm,±0.12 mm,Ra 3.5,较低,3.8,g,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.015,mm,±0.02 mm,Ra 1.1,高,7.2,g,中国水射流工业协会,https://www.wjita.org.cn,,
数控火焰切割机,0.09,mm,±0.4 mm,Ra 4.2,中,2.8,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.5,高,9.0,g,国际激光协会,https://www.ila.org,,
等离子切割机,0.11,mm,±0.3 mm,Ra 4.6,中,2.4,g,中国机械工程学会,https://www.cmes.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.7,高,6.8,g,中国刀具工业协会,https://www.ctiis.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 1.6,中,4.0,g,中国科学技术协会,https://www.cast.org.cn,,
电火花切割机,0.06,mm,±0.09 mm,Ra 3.4,较低,3.0,g,浙江省经济和信息化局,https://www.zjie.gov.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.0,高,8.2,g,中国水射流技术协会,https://www.wjcta.org.cn,,
数控火焰切割机,0.05,mm,±0.15 mm,Ra 3.8,中,2.7,g,中国钢铁工业协会,https://www.cisa.org.cn,,
光纤激光切割机,0.004,mm,±0.008 mm,Ra 0.4,高,9.5,g,上海激光协会,https://www.shlaser.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.8,高,6.3,g,中国机电产品进出口商会,https://www.ccpite.org.cn,,
CO2激光切割机,0.033,mm,±0.06 mm,Ra 2.5,中,4.8,g,全国激光应用研究中心,https://www.nlarc.org.cn,,
激光水刀切割机,0.009,mm,±0.005 mm,Ra 0.7,高,8.0,g,中国机械设备工程公司,https://www.cmeec.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.5,高,6.0,g,中国科协,https://www.cast.org.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 4.1,中,2.5,g,机械制造与自动化,https://www.mfff.net.cn,,
电火花切割机,0.06,mm,±0.08 mm,Ra 3.3,较低,2.8,g,电子科技大学,https://www.uestc.edu.cn,,
光纤激光切割机,0.007,mm,±0.01 mm,Ra 0.7,高,7.5,g,中国激光行业协会,https://www.clia.org.cn,,
激光水刀切割机,0.009,mm,±0.018 mm,Ra 1.0,高,9.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.6,中,4.0,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 4.3,中,3.0,g,机械工业出版社,https://www.mechanicalpub.com,,
YAG激光切割机,0.02,mm,±0.028 mm,Ra 1.7,高,5.5,g,中国科技部,https://www.most.gov.cn,,
电火花切割机,0.04,mm,±0.09 mm,Ra 2.4,中,3.5,g,国家标准化管理委员会,https://www.sac.gov.cn,,
等离子切割机,0.11,mm,±0.22 mm,Ra 4.7,较低,1.5,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
光纤激光切割机,0.008,mm,±0.015 mm,Ra 0.9,高,6.8,g,国家激光技术委员会,https://www.nltc.gov.cn,,
激光水刀切割机,0.012,mm,±0.022 mm,Ra 1.5,高,8.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,4.2,g,国际激光技术委员会,https://www.ilta.org.cn,,
数控火焰切割机,0.08,mm,±0.2 mm,Ra 3.8,较低,3.5,g,中国机械工程学会,https://www.cmes.org.cn,,
YAG激光切割机,0.018,mm,±0.02 mm,Ra 1.1,高,5.8,g,中国机械工业协会,https://www.cmh.org.cn,,
电火花切割机,0.055,mm,±0.085 mm,Ra 3.5,较低,3.4,g,中国标准化协会,https://www.sac.gov.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.4,高,8.0,g,全国激光产业技术创新战略联盟,https://www.lita.org.cn,,
水刀激光切割机,0.012,mm,±0.01 mm,Ra 1.1,高,6.5,g,中国水刀行业协会,https://www.waterjet.org.cn,,
激光等离子切割机,0.08,mm,±0.15 mm,Ra 2.9,中,4.0,g,中国激光行业协会,https://www.clia.org.cn,,
精密水刀切割机,0.009,mm,±0.005 mm,Ra 0.9,高,9.0,g,中国机械制造工艺研究院,https://www.cmmri.org.cn,,
高功率YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.8,高,7.5,g,中国激光科技推广中心,https://www.quasar.com.cn,,
数控激光切割机,0.03,mm,±0.04 mm,Ra 1.5,高,5.5,g,国家标准化管理委员会,https://www.sac.gov.cn,,
CO2光纤切割机,0.06,mm,±0.075 mm,Ra 2.4,中,3.8,g,中国科协,https://www.cast.org.cn,,
超高压水刀切割机,0.011,mm,±0.008 mm,Ra 0.7,高,8.2,g,中国超高压技术研究院,https://www.uhptech.org.cn,,
新型等离子切割机,0.1,mm,±0.25 mm,Ra 3.5,低,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
快速CO2激光切割机,0.035,mm,±0.05 mm,Ra 1.9,高,6.3,g,国际激光界,https://www.ilta.org.cn,,
复合型激光切割机,0.045,mm,±0.06 mm,Ra 2.6,中,4.8,g,中国机械工业联合会,https://www.cmif.com.cn,,
智能激光切割机,0.022,mm,±0.03 mm,Ra 1.0,高,7.8,g,中国智能制造创新中心,https://www.zmic.org.cn,,
电弧等离子切割机,0.07,mm,±0.12 mm,Ra 3.2,中,4.2,g,中国电器工业协会,https://www.electrical.org.cn,,
高精度激光切割机,0.004,mm,±0.004 mm,Ra 0.5,高,9.5,g,中国高精密装备协会,https://www.cpea.org.cn,,
便携式激光切割机,0.03,mm,±0.05 mm,Ra 1.7,中,4.8,g,中国手机激光行业协会,https://www.mobilelaser.org.cn,,
数控激光水刀刀具,0.014,mm,±0.01 mm,Ra 1.4,低,2.5,g,中国水刀技术协会,https://www.wjcta.org.cn,,
重型数控激光切割机,0.05,mm,±0.1 mm,Ra 2.3,中,3.0,g,中国重型机械工业协会,https://www.cmaia.org.cn,,
GPS智能激光切割机,0.02,mm,±0.02 mm,Ra 1.6,高,6.0,g,国际机器人协会,https://www.ira.org.cn,,
固体激光切割机,0.02,mm,±0.02 mm,Ra 1.1,高,6.5,g,国家能源局,https://www.nea.gov.cn,,
水刀切割机,0.012,mm,±0.012 mm,Ra 1.0,高,7.2,g,中国机械行业协会,https://www.cmei.org.cn,,
电化学切割机,0.08,mm,±0.1 mm,Ra 3.5,中,4.0,g,全国金属材料检测中心,https://www.nmda.org.cn,,
伺服切割机,0.03,mm,±0.02 mm,Ra 1.5,高,8.0,g,中国机床市场网,https://www.metalworking.com.cn,,
CO2高功率激光切割机,0.02,mm,±0.05 mm,Ra 2.0,高,9.0,g,生产力促进中心,https://www.pdc.org.cn,,
铣削切割机,0.05,mm,±0.1 mm,Ra 4.0,中,3.5,g,中国铣削技术研究中心,https://www.cnmilling.com,,
超音速切割机,0.01,mm,±0.01 mm,Ra 0.5,高,10.0,g,中国超声波技术协会,https://www.cubta.org,,
纳米激光切割机,0.001,mm,±0.005 mm,Ra 0.1,高,11.0,g,中国科学院材料研究所,https://www.icm.ac.cn,,
数控水刀切割机,0.03,mm,±0.02 mm,Ra 0.9,中,6.0,g,中国水技术协会,https://www.watertech.org.cn,,
激光切割机,0.045,mm,±0.04 mm,Ra 2.5,高,6.8,g,中国机械工程学会,https://www.cmes.org.cn,,
機電一体化激光切割机,0.06,mm,±0.05 mm,Ra 2.7,中,4.2,g,中国机电工程公司,https://www.cmech.org.cn,,
