产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注
数控激光切割机,武汉激光科技有限公司,10000,2000,±0.008,±0.004,±0.015,±0.005,湖北省激光技术协会,https://www.hblaser.org.cn,,
数控车床,广州割削机床有限公司,12000,1100,±0.018,±0.009,±0.022,±0.011,广东省机床行业协会,https://www.guangdongmachines.org,,
数控磨床,天津中富机械制造公司,7500,800,±0.015,±0.008,±0.020,±0.010,天津市机械工业协会,http://www.tianjinmachinery.org,,
数控折弯机,佛山金属加工有限公司,4000,1200,±0.022,±0.012,±0.030,±0.017,广东省金属加工技术协会,https://www.gdmetals.org,,
数控木工机械,南京木工机械有限公司,5500,1500,±0.020,±0.010,±0.028,±0.013,江苏省木材加工协会,http://www.jsmcm.org,,
数控冲床,沈阳冲压科技有限公司,650,1000,±0.035,±0.018,±0.042,±0.019,东北机械工程协会,http://www.dongbeimachine.org,,
数控水刀,重庆水刀精密有限公司,9500,1800,±0.017,±0.009,±0.021,±0.008,重庆市机电设备协会,http://www.cqmda.org,,
数控铣床,常州高级机床有限公司,4800,1050,±0.014,±0.007,±0.025,±0.013,江苏省高新技术企业协会,http://www.jshightech.org,,
智能数控磨床,合肥智能制造有限公司,9000,920,±0.012,±0.005,±0.018,±0.009,安徽省机电一体化协会,http://www.ahmecha.org.cn,,
数控卧式车床,厦门机械制造有限公司,7200,1350,±0.022,±0.011,±0.025,±0.018,福建省机械工程学会,https://www.fujianmachines.org,,
精密数控磨床,绍兴高端机床有限公司,8200,1400,±0.015,±0.006,±0.020,±0.011,浙江省精密机械协会,http://www.zjprecision.org,,
数控光纤激光切割机,青岛高新科技有限公司,15000,2200,±0.009,±0.004,±0.015,±0.007,青岛市特殊设备协会,http://www.qdtech.org,,
数控车床,哈尔滨数控设备有限公司,8500,1250,±0.020,±0.009,±0.024,±0.013,黑龙江省机电设备协会,http://www.hljmachines.org.cn,,
数控线切割机,兰州切割科技有限公司,7000,1600,±0.016,±0.008,±0.021,±0.012,甘肃省机械工程协会,https://www.gsmachines.org.cn,,
数控冲床,南宁数字制造有限公司,800,950,±0.031,±0.014,±0.032,±0.022,广西省机械工程协会,http://www.gxme.org.cn,,
数控车床,南京机械设备有限公司,7200,1500,±0.012,±0.005,±0.02,±0.01,江苏省机械工业协会,https://www.jsmachinery.org,,
数控铣床,杭州精密机床股份有限公司,12000,1000,±0.008,±0.004,±0.015,±0.008,浙江省机械制造行业协会,http://www.zjma.org,,
数控激光切割机,上海激光技术有限公司,2500,2000,±0.02,±0.01,±0.03,±0.017,上海市高科技产业协会,https://www.shtechnology.org,,
数控电火花机,济南电加工设备有限公司,3000,800,±0.025,±0.012,±0.035,±0.018,山东省机械制造工会,http://www.sdmm.org,,
数控磨床,成都磨具科技有限公司,6000,1300,±0.014,±0.006,±0.022,±0.010,四川省经济和信息化厅,https://www.scinfo.gov.cn,,
数控冲床,武汉激光科技有限公司,800,900,±0.022,±0.012,±0.05,±0.025,湖北省智能制造协会,http://www.hbznh.org,,
数控折弯机,合肥创新机械有限公司,4000,1200,±0.018,±0.009,±0.027,±0.013,安徽省机械行业协会,https://www.ahmachinery.com,,
数控木工机械,宁波木工设备有限公司,5200,1500,±0.020,±0.010,±0.028,±0.015,全国木材加工协会,http://www.woodassociation.org.cn,,
高速切削机,佛山精密工具公司,15000,950,±0.005,±0.002,±0.016,±0.007,广东省工业和信息化厅,https://www.gdii.gov.cn,,
数控车床,沈阳机床股份有限公司,7000,1200,±0.011,±0.006,±0.019,±0.009,东北机械工业协会,http://www.dbmachine.org,,
数控铣床,天津机械科技发展有限公司,13500,1100,±0.007,±0.003,±0.014,±0.006,天津市机电工程协会,https://www.tjmachine.org,,
数控激光切割机,西安激光设备有限公司,2000,2400,±0.019,±0.011,±0.032,±0.014,陕西省机械设备行业协会,http://www.sxmachine.org,,
数控冲床,南昌制造机械有限公司,900,1000,±0.027,±0.015,±0.048,±0.022,江西省工业协会,http://www.jxindustry.org,,
数控磨床,重庆市金属加工有限公司,7600,1400,±0.015,±0.007,±0.028,±0.012,重庆市机械工业协会,http://www.cqmi.org,,
数控折弯机,长沙机床有限公司,4700,1300,±0.023,±0.011,±0.024,±0.012,湖南省机械行业协会,http://www.hunanmachinery.org,,
数控木工机械,银川木材机械有限公司,5600,1300,±0.021,±0.010,±0.026,±0.013,宁夏木工机械协会,http://www.nxwood.org,,
高速切削机,大连数控设备有限公司,18000,750,±0.006,±0.002,±0.015,±0.008,辽宁省机械行业协会,http://www.lnindustry.org,,
数控铣床,青岛机床集团有限公司,11000,1000,±0.009,±0.004,±0.018,±0.010,山东省机电产品协会,http://www.qdme.org,,
数控车床,太原机械有限公司,7200,1600,±0.017,±0.010,±0.027,±0.014,山西省机械工业协会,http://www.shanximachine.org,,
数控车床,南京科技机械有限公司,7500,1500,±0.012,±0.006,±0.02,±0.010,江苏省机械设备行业协会,https://www.jsmachinery.org,,
数控激光切割机,北京激光科技有限公司,10000,2000,±0.005,±0.002,±0.01,±0.005,中国激光工业协会,https://www.clia.org.cn,,
数控铣床,天津市精密机械厂,6000,1000,±0.015,±0.007,±0.03,±0.013,天津机械工程学会,http://www.tjme.org,,
数控折弯机,上海雕刻机具有限公司,4000,800,±0.022,±0.009,±0.028,±0.014,上海市机械制造协会,http://www.smmia.org.cn,,
数控冲孔机,绍兴金属制品有限公司,800,950,±0.035,±0.017,±0.045,±0.021,浙江省机械工业协会,https://www.zjmia.org,,
数控水刀机,成都水切科技有限公司,8500,1600,±0.019,±0.006,±0.015,±0.008,四川省机械行业协会,http://www.scme.org,,
数控磨床,合肥自动化设备有限公司,7500,1100,±0.018,±0.007,±0.021,±0.009,安徽省机电工程和自动化协会,http://www.ahmachine.org,,
数控立车,墓地机械制造有限公司,3000,1200,±0.020,±0.010,±0.025,±0.013,家居装饰机械技术协会,http://www.furnituremachinery.org,,
数控木工机械,厦门木作机械有限公司,6000,1500,±0.016,±0.008,±0.027,±0.012,福建木材工业协会,http://www.fjwoodindustry.org,,
数控校正机,上海精密数控有限公司,7000,850,±0.023,±0.011,±0.019,±0.008,上海市数控机床研究院,http://www.scnr.org,,
数控激光打标机,武汉禾田科技有限公司,12000,500,±0.007,±0.003,±0.009,±0.004,湖北省科技厅,http://www.hubeiscience.gov.cn,,
机器人焊接机,济南机器人制造有限公司,4000,1000,±0.013,±0.006,±0.024,±0.011,山东省机器人技术研究中心,http://www.sdrobotics.org,,
数控铣齿机,东莞铣床制造有限公司,6500,900,±0.015,±0.008,±0.027,±0.014,广东省机械工程学会,http://www.gdmen.org,,
数控冲压机,福州冲床制造公司,500,1100,±0.033,±0.015,±0.042,±0.020,福建省机械设备行业协会,http://www.fjmachinery.org,,
数控切片机,广州科技切割机厂,7200,1300,±0.014,±0.007,±0.023,±0.009,广东省切割行业协会,http://www.gdcutting.org,,
数控锯床,沈阳工具机械有限公司,4000,900,±0.017,±0.008,±0.015,±0.007,辽宁省机械与电子工程协会,http://www.lnme.org,,
数控抛光机,重庆精密抛光设备有限公司,9500,1200,±0.011,±0.005,±0.022,±0.010,重庆市工业和信息化委员会,https://www.cqinfo.gov.cn,,
高精度数控机床,西安高精度机床有限公司,11000,1600,±0.008,±0.004,±0.018,±0.006,陕西省机械工程学会,http://www.sxmachinery.org,,
数控铣床,南京高精机械有限公司,4000,1200,±0.012,±0.006,±0.018,±0.01,江苏省制造业协会,https://www.jiangsumanufacturing.org,,
数控火焰切割机,西安切割设备有限公司,2000,3000,±0.03,±0.015,±0.04,±0.02,陕西省冶金行业协会,http://www.sxmetals.org,,
精密数控中心,上海瑞益机械有限公司,12000,1000,±0.008,±0.004,±0.015,±0.007,上海市机电行业协会,https://www.shmech.org,,
数控剪板机,天津工程机床有限公司,1500,2500,±0.035,±0.017,±0.045,±0.018,天津市工业协会,http://www.tianjinindustry.org,,
数控激光切割机,成都激光科技有限公司,10000,1600,±0.02,±0.01,±0.03,±0.015,四川省机械工程协会,http://www.scmech.org,,
数控铣床,武汉精密加工有限公司,9000,800,±0.009,±0.005,±0.014,±0.007,湖北省机电行业协会,http://www.hbmechanics.com,,
数控抛光机,郑州石材机械厂,3000,1400,±0.018,±0.009,±0.022,±0.012,郑州市石材协会,http://www.zzstone.org,,
数控折弯机,哈尔滨机械制造有限公司,2500,900,±0.02,±0.011,±0.028,±0.014,黑龙江省机械工程协会,http://www.hlme.org,,
数控车床,沈阳机床股份有限公司,7000,1200,±0.01,±0.004,±0.022,±0.009,辽宁省机电行业协会,http://www.lnme.org,,
数控冲床,福州冲压设备有限公司,1200,1000,±0.025,±0.012,±0.037,±0.015,福建省机械制造协会,http://www.fujianmachining.com,,
数控激光雕刻机,南昌光电设备有限公司,4000,600,±0.005,±0.003,±0.012,±0.004,江西省光电行业协会,http://www.jxoptronics.org,,
数控水刀切割机,广州水刀科技有限公司,8000,1500,±0.015,±0.007,±0.02,±0.01,广东省特种设备协会,http://www.gdte.org,,
立式数控加工中心,沈阳数控机床有限公司,8000,1250,±0.008,±0.004,±0.015,±0.006,东北机床行业协作,http://www.dnmachine.org,,
多轴数控铣床,杭州数控机床有限公司,10000,1600,±0.012,±0.005,±0.022,±0.009,浙江省机械行业协会,http://www.zjmachinery.org,,
数控围油纸切割机,昆明环保机械有限公司,2500,1200,±0.02,±0.008,±0.035,±0.014,云南省环保机械协会,http://www.ynmechanic.org,,
数控镭雕机,重庆激光设备股份有限公司,6000,700,±0.003,±0.001,±0.007,±0.002,重庆市激光行业协会,http://www.cqlaser.org,,
数控铣床,南京数控科技有限公司,10000,900,±0.008,±0.004,±0.020,±0.010,江苏省机械装备协会,https://www.jsmachinetools.org,,
数控激光切割机,杭州激光科技有限公司,7000,2400,±0.015,±0.005,±0.022,±0.012,浙江省激光行业协会,https://www.zjlaser.org.cn,,
数控电火花机,深圳电火花机械有限公司,1800,600,±0.020,±0.010,±0.030,±0.015,深圳电子技术协会,http://www.szetech.org,,
数控折弯机,合肥精密制造有限公司,3500,1200,±0.025,±0.015,±0.035,±0.020,安徽省机械协作网,http://www.ahmachinery.org,,
数控线切割机,天津线切割设备有限公司,5000,1000,±0.018,±0.009,±0.024,±0.013,天津市特种设备协会,https://www.tjqh.org.cn,,
五轴联动机床,北京五轴机床科技有限公司,12000,750,±0.007,±0.003,±0.019,±0.008,北京市机电产品协会,http://www.bjmachinery.com,,
数控龙门铣床,重庆大型机床制造有限公司,4000,2000,±0.035,±0.025,±0.045,±0.030,重庆市机械行业协会,http://www.cqmachinery.com,,
数控车铣复合机床,上海车铣复合设备有限公司,6000,800,±0.012,±0.005,±0.015,±0.009,上海机械制造业协会,http://www.shmfg.org.cn,,
数控木工雕刻机,成都木工机械有限公司,8000,1800,±0.022,±0.011,±0.020,±0.014,全国木工行业协会,http://www.woodmachinery.org,,
数控水刀切割机,广州水刀科技有限公司,9500,1500,±0.016,±0.008,±0.023,±0.010,广东省水处理协会,https://www.guangzhouwatercutting.org,,
数控指数头,无锡精密工业有限公司,4000,600,±0.030,±0.018,±0.025,±0.013,江苏省机械设计协会,https://www.wxdesign.org,,
柱塞泵数控机床,福州流体机械有限公司,3000,800,±0.012,±0.007,±0.025,±0.016,福州市机械行业协会,http://www.fzma.com.cn,,
数控火焰切割机,青岛钢铁机械有限公司,3500,3000,±0.027,±0.015,±0.023,±0.011,全国金属加工协会,https://www.metalworking.org,,
数控转台,佛山数控设备有限公司,5500,1000,±0.014,±0.006,±0.015,±0.008,广东省机床行业协会,https://www.foshanmachinery.org,,
自动化装配机,沈阳自动化设备有限公司,5000,1200,±0.020,±0.010,±0.022,±0.014,辽宁省自动化协会,http://www.lnzdh.com,,
数控点焊机,珠海焊接科技有限公司,4500,900,±0.010,±0.005,±0.013,±0.007,广东省焊接协会,https://www.zjhj.org,,
全自动激光打标机,临沂智能设备有限公司,8000,600,±0.018,±0.009,±0.020,±0.012,山东省自动化及激光协会,http://www.shandonglasergroup.org,,
数控镗床,哈尔滨机械工具厂,5000,800,±0.012,±0.005,±0.02,±0.009,黑龙江省机械行业协会,https://www.hljmachinery.org.cn,,
数控激光切割机,宁波激光科技有限公司,10000,1200,±0.015,±0.007,±0.018,±0.010,浙江省激光协会,http://www.zjlasers.org,,
数控铣床,南京市精刀技术有限公司,7500,1500,±0.01,±0.003,±0.015,±0.006,江苏省机电工程协会,https://www.jseaa.org,,
数控折弯机,长沙自动化设备有限公司,4000,1200,±0.020,±0.010,±0.022,±0.015,湖南省先进制造业协会,https://www.hnamm.org,,
数控车床,大连数控机床有限公司,9000,800,±0.005,±0.002,±0.018,±0.007,辽宁省机械行业联合会,http://www.lnmi.org,,
数控水刀切割机,福州水刀科技股份有限公司,12000,1800,±0.012,±0.006,±0.020,±0.011,全国水切割设备协会,http://www.wedcut.org,,
数控磨床,天津数控机床制造有限公司,6500,950,±0.017,±0.008,±0.025,±0.013,天津市机械工程协会,http://www.tjmech.org,,
数控粉末冶金机床,重庆粉末设备有限公司,4000,1100,±0.022,±0.009,±0.03,±0.015,重庆高新技术协会,http://www.cqht.org,,
数控铣床,厦门数控技术有限公司,8500,1300,±0.013,±0.004,±0.016,±0.008,福建省机械工程学会,http://www.fjmes.org,,
数控齿轮加工机,南昌齿轮制造有限公司,7000,900,±0.011,±0.005,±0.019,±0.007,江西省机械协会,http://www.jxmachinery.org,,
数控激光雕刻机,上海激光智能科技有限公司,9500,600,±0.004,±0.001,±0.014,±0.006,上海智能制造协会,https://www.shsmart.org,,
数控冲床,杭州金属加工厂,550,1400,±0.030,±0.017,±0.045,±0.025,浙江省机械工业学会,http://www.zjmi.org,,
数控木工机械,深圳木业设备制造有限公司,4800,1300,±0.021,±0.013,±0.027,±0.018,全国木工机械联盟,http://www.woodmachinery.org,,
数控切管机,北京高能切割技术有限公司,6000,950,±0.009,±0.003,±0.015,±0.008,北京市机械设备协会,https://www.bjme.org,,
数控调速机,烟台数控技术开发有限公司,3000,1000,±0.020,±0.012,±0.017,±0.009,山东省数控机械行业协会,http://www.shandongkn.org,,
数控切削机,廊坊切削工具制造有限公司,9500,1100,±0.012,±0.006,±0.019,±0.014,河北省机械行业协会,http://www.hebeimech.org,,
数控电火花加工机,郑州电火花设备有限公司,7200,800,±0.022,±0.011,±0.028,±0.017,河南省特种设备协会,http://www.hntes.org,,
数控车床,哈尔滨数控设备公司,7500,1500,±0.012,±0.004,±0.02,±0.008,黑龙江省机械行业协会,https://www.hljmac.org,,
数控铣床,南京数控机床有限公司,12000,1000,±0.009,±0.003,±0.015,±0.007,江苏省制造业协会,http://www.jiangsumachinery.org,,
数控激光切割机,成都激光技术有限公司,15000,1200,±0.015,±0.007,±0.02,±0.01,四川省高新技术协会,https://www.scgxa.org,,
精密耗材,杭州精工机电有限公司,6000,800,±0.008,±0.004,±0.01,±0.005,浙江省机械制造协会,https://www.zjmachinery.org,,
数控冲床,西安科技机床厂,1200,1000,±0.02,±0.009,±0.03,±0.016,陕西省高新产业协会,https://www.sxhitech.org,,
数控折弯机,天津数控产业有限公司,4000,900,±0.022,±0.01,±0.028,±0.014,天津市机械工程学会,https://www.tianjinmachinery.org,,
数控电火花机,福州数控设备有限公司,2500,700,±0.015,±0.005,±0.035,±0.012,全国电火花行业协会,http://www.edm.org.cn,,
数控工作台,沈阳数控机床装备公司,3500,1400,±0.018,±0.008,±0.022,±0.01,辽宁省机械工程协会,http://www.lnmea.org,,
数控水刀,合肥水刀科技有限公司,8000,1500,±0.012,±0.006,±0.015,±0.009,安徽省科技创新中心,http://www.ahsti.org,,
数控砂带磨床,昆明磨具磨料公司,9200,1300,±0.027,±0.013,±0.022,±0.012,云南省机械行业协会,http://www.ynmachinery.org,,
数控齿轮加工机,厦门精密机械有限公司,5000,1100,±0.02,±0.011,±0.03,±0.014,福建省机械工程学会,http://www.fujianmachine.com,,
数控切割机,桂林市自动化技术公司,7200,1000,±0.019,±0.009,±0.021,±0.014,广西省机械行业协会,http://www.gxmachinery.org,,
数控火焰切割机,无锡切割设备有限责任公司,4000,1600,±0.017,±0.007,±0.030,±0.015,无锡市机械行业协会,https://www.wuximech.org,,
数控液压机,太原液压机械 南方工厂,3000,900,±0.025,±0.012,±0.035,±0.017,山西省机械设备协会,http://www.sxmech.org,,
数控拼板机,福州木工机械有限公司,8500,1350,±0.014,±0.006,±0.028,±0.013,全国木工行业协会,http://www.woodindustry.org.cn,,
数控电子切割机,深圳市科技发展公司,9500,1450,±0.016,±0.008,±0.024,±0.012,广东省高新技术开发区,https://www.gdht.org,,
数控纺织机,织布机械厂,2800,1300,±0.013,±0.007,±0.027,±0.009,全国纺织机械协会,http://www.textilemachinery.org,,
数控树脂切割机,济南数控切割公司,4900,1100,±0.021,±0.010,±0.023,±0.014,山东省机械制造协会,https://www.sdmachine.org,,
数控铣床,南京数控设备有限公司,12000,1000,±0.008,±0.004,±0.02,±0.009,江苏省机械工业协会,https://www.jiangsu-machinery.org,,
数控激光切割机,成都激光科技有限公司,15000,2000,±0.015,±0.007,±0.022,±0.011,四川省激光行业协会,http://www.sc-laser.org,,
数控放电加工机,长沙电导机械有限公司,7500,900,±0.020,±0.009,±0.05,±0.025,湖南省工业机械学会,http://www.hn-machinery.org,,
数控雕刻机,杭州精工机械有限公司,24000,600,±0.005,±0.002,±0.012,±0.006,浙江省机械工程协会,https://www.zjme.org,,
数控带锯床,大连机械工具厂,5000,1500,±0.022,±0.010,±0.030,±0.015,辽宁省制造业协会,http://www.lnma.org.cn,,
数控电加工机,天津电器机械有限公司,8500,800,±0.012,±0.005,±0.025,±0.010,天津市工业研究院,http://www.tji.org.cn,,
数控滚齿机,北京数控机床制造有限公司,6000,700,±0.018,±0.007,±0.028,±0.013,北京市机械与电子工程协会,https://www.bjme.org,,
数控搓丝机,沈阳金属加工厂,4000,950,±0.02,±0.008,±0.042,±0.020,沈阳市加工机械协会,http://www.shenyangmachinery.org,,
数控车床,宁波精密制造有限公司,10000,1200,±0.015,±0.007,±0.015,±0.008,浙江省机械制造协会,http://www.zjmech.org,,
数控激光切割机,上海光电技术有限公司,18000,1600,±0.010,±0.005,±0.020,±0.010,上海市光电产业联会,https://www.shgdi.org,,
数控磨床,福州高精工业公司,3000,1100,±0.013,±0.006,±0.024,±0.012,福建省机器与设备行业协会,http://www.fujianmachinery.com,,
数控冲床,昆明冲压设备厂,500,950,±0.038,±0.017,±0.045,±0.020,云南省工业信息中心,http://www.yn-iiac.com,,
数控折弯机,武汉钣金机械有限公司,4200,1500,±0.020,±0.010,±0.036,±0.018,湖北省机械工具协会,http://www.hubeimachine.com,,
次世代数控铣床,无锡智能制造有限公司,14000,900,±0.009,±0.004,±0.019,±0.008,江苏智能机器制造协会,https://www.wxsmartmachinery.org,,
高效数控车床,南昌数控技术有限公司,8000,1300,±0.017,±0.008,±0.027,±0.013,江西省机械行业协会,https://www.jxme.org,,
数控激光清洗机,东莞激光科技有限公司,15000,1000,±0.005,±0.003,±0.015,±0.006,广东省激光协会,http://www.guangdonglaser.org,,
数控车削中心,西宁机床有限公司,9500,1050,±0.012,±0.008,±0.023,±0.011,青海省机械制造协会,http://www.qinghai-machine.org,,
数控铣床,南京数控设备有限公司,7500,900,±0.008,±0.004,±0.02,±0.009,江苏省机械设备行业协会,https://www.jiangsu-machinery.org,,
数控车床,大连机床制造厂,6000,1500,±0.012,±0.005,±0.027,±0.013,大连机械工业网,http://www.dalianmachinery.com,,
数控激光切割机,成都激光科技有限公司,12000,1000,±0.007,±0.003,±0.015,±0.008,四川省激光行业协会,https://www.sc-laser.org,,
数控折弯机,福州机械设备有限公司,1500,1200,±0.020,±0.011,±0.022,±0.014,福建省机械工业信息网,http://www.fujianmachinery.org.cn,,
数控线切割机,广州电线电缆设备有限公司,7000,800,±0.009,±0.005,±0.018,±0.008,广东省工业自动化协会,https://www.guangdongautomation.org,,
数控木工机械,南京木工机械制造有限公司,5000,1300,±0.020,±0.010,±0.030,±0.015,全国木工行业网站,http://www.woodworkind.com,,
