年份,国家,机床类,最小切割厚度,机床热度,点位控制金属微细切削,采集来源,来源链接,采集时间,备注
2023-09-30,阿根廷,数控磨床,0.2,中,支持,阿根廷制造商协会,https://www.camima.org.ar,,
2023-11-10,西班牙,数控激光切割机,4.5,高,支持,西班牙机械工程协会,https://www.fempa.org,,
2024-08-20,挪威,金属成型机,0.15,低,支持,挪威机械工程协会,https://www.maskinentreprenor.no,,
2024-09-28,中国,高精度数控钻床,1.2,高,支持,中国机械业联合会,https://www.cmi.org.cn,,
2023-04-15,美国,数控铣床,1.5,高,支持,美国机械制造协会,https://www.sme.org,,
2024-05-10,德国,精密数控磨床,0.01,高,支持,德国机械工程协会,https://www.vdma.org,,
2023-11-20,日本,高性能数控车床,0.5,中,支持,日本机械协会,https://www.jmta.or.jp,,
2024-01-15,法国,多功能数控机床,0.1,高,支持,法国工业协会,https://www.uimm.fr,,
2023-07-12,中国,智能数控光纤切割机,3.0,高,支持,中国机械工程学会,https://www.cme.org.cn,,
2024-08-23,印度,数控激光焊接机,0.8,中,支持,印度制造业协会,https://www.cii.in,,
2023-03-22,瑞士,高精度数控雕刻机,0.04,中,支持,瑞士机械工程协会,https://www.swissmem.ch,,
2024-09-10,加拿大,数字化数控加工中心,1.0,中,支持,加拿大工业协会,https://www.cme-mec.ca,,
2023-02-05,意大利,数控车床,0.2,高,支持,意大利机械工程师协会,https://www.aice2020.it,,
2023-12-30,阿根廷,电动数控切割机,6.0,低,不支持,阿根廷机械协会,https://www.cama.org.ar,,
2023-05-07,新加坡,高精度数控钻床,0.15,中,支持,新加坡机电协会,https://www.sma.org.sg,,
2024-04-01,韩国,数控薄板切割机,3.5,中,支持,韩国机床协会,https://www.kmma.or.kr,,
2024-10-18,俄罗斯,数控弯管机,5.0,中,不支持,俄罗斯机械工程协会,https://www.nkp.ru,,
2023-08-16,南非,数控铣床,2.0,高,支持,南非国家制造商协会,https://www.sami.co.za,,
2024-12-01,巴西,高效能数控磨床,0.05,高,支持,巴西机械协会,https://www.abimaq.org.br,,
2023-07-28,墨西哥,多轴数控切割机,1.2,中,支持,墨西哥制造商协会,https://www.commimex.org.mx,,
2024-11-15,乌克兰,数控切割和成型设备,4.0,高,支持,乌克兰机械工程协会,https://www.ukrmechanics.org,,
2023-09-30,土耳其,自动化数控激光切割机,2.5,高,支持,土耳其机械技术协会,https://www.tasm.org.tr,,
2024-01-15,美国,数控激光切割机,1.5,高,支持,美国制造技术协会,https://www.sme.org,,
2023-11-22,德国,数控铣床,0.5,高,支持,德国机械和设备制造商协会,https://www.vdma.org,,
2024-07-30,中国,高精度数控车床,0.1,中,支持,中国机械工业联合会,https://www.cmia.org.cn,,
2023-08-18,加拿大,五轴数控加工中心,3.0,高,支持,加拿大制造协会,https://www.ccmm.ca,,
2024-04-12,印度,数控电火花加工机,0.05,中,支持,印度机械工程学会,https://www.ies.bhiwani.com,,
2023-10-25,巴西,数控带锯机,4.0,中,支持,巴西工业联合会,https://www.fiesp.com.br,,
2024-05-21,法国,高效激光切割机,2.0,高,支持,法国机械工程协会,https://www.système-société.fr,,
2023-09-30,西班牙,数控磨床,0.2,高,支持,西班牙制造业协会,https://www.fempa.org,,
2024-02-16,南非,数控冲床,1.0,中,支持,南非机械工程协会,https://www.amef.co.za,,
2023-12-05,澳大利亚,超精密多功能工程机床,0.04,高,支持,澳大利亚工业技术协会,https://www.austechshow.com.au,,
2024-01-28,韩国,数控电火花机,0.01,高,支持,韩国机械技术协会,https://www.kmt.or.kr,,
2023-03-15,瑞士,高精度数控铣床,0.3,高,支持,瑞士机械制造协会,https://www.swissmem.ch,,
2024-03-28,新加坡,多功能数控机床,2.8,中,支持,新加坡机械工程学会,https://www.sg-mech.org,,
2023-07-08,阿根廷,数控激光切割机,5.0,中,支持,阿根廷制造业协会,https://www.camaradediputados.org.ar,,
2024-06-05,俄罗斯,数控刀具磨床,0.8,中,支持,俄罗斯机械与焊接协会,https://www.welding-society.ru,,
2023-10-10,墨西哥,高效数控车床,0.6,中,支持,墨西哥机械制造协会,https://www.cmm.com.mx,,
2024-02-07,芬兰,数控激光焊接机,1.2,高,支持,芬兰工业协会,https://www.teknologiateollisuus.fi,,
2023-05-17,土耳其,数控切管机,3.5,高,支持,土耳其机械工程学会,https://www.tudem.org,,
2023-08-15,美国,高精度数控车床,1.5,高,支持,美国机械工程师协会,https://www.asme.org,,
2024-01-08,德国,数控铣床,0.5,高,支持,德国机床制造商协会,https://www.vdma.org,,
2023-11-20,中国,多功能激光切割机,4.0,中,支持,中国机床工具工业协会,https://www.cmmt.org.cn,,
2023-07-30,法国,数控水刀切割机,6.0,低,支持,法国机械行业协会,https://www.fmh.fr,,
2023-12-05,韩国,三轴数控机床,2.0,高,支持,韩国精密机械协会,https://www.kmta.or.kr,,
2024-02-18,印度,小型数控铣床,1.0,高,支持,印度机械制造业协会,https://www.imme.in,,
2023-10-04,西班牙,数控精密削床,3.5,中,支持,西班牙工业协会,https://www.aeim.com,,
2024-03-22,瑞士,高效率数控磨床,0.02,高,支持,瑞士机械制造协会,https://www.swissmechanics.ch,,
2024-05-11,俄罗斯,数控电火花机,2.5,中,支持,俄罗斯机械工程师协会,https://www.rusmec.org,,
2023-11-30,巴西,五轴数控加工中心,8.0,低,支持,巴西机械制造商联合会,https://www.abimaq.org.br,,
2024-01-15,土耳其,数控切割机,0.5,高,支持,土耳其机床协会,https://www.tmd.org.tr,,
2023-09-18,加拿大,数控激光切割机,5.0,高,支持,加拿大机械工程协会,https://www.cme.org,,
2024-04-07,澳大利亚,超声波加工机,0.1,中,支持,澳大利亚制造业联合会,https://www.amtil.com.au,,
2024-02-28,瑞典,多功能数控车床,0.7,中,支持,瑞典机械工程协会,https://www.maskinleverantorerna.se,,
2024-05-20,新加坡,小型数控磨床,0.03,高,支持,新加坡机械制造商协会,https://www.smf.sg,,
2023-10-15,南非,机械手臂加工中心,1.2,中,支持,南非机械工程协会,https://www.saimm.co.za,,
2024-03-05,阿根廷,数控冲孔机,4.5,低,支持,阿根廷机械制造商协会,https://www.adimra.org.ar,,
2023-11-15,德国,数控车床,1.5,中,支持,德国机械工程协会,https://www.vdma.org,,
2024-01-22,美国,智能数控激光切割机,4.0,高,支持,美国制造业联合会,https://www.nam.org,,
2023-04-18,中国,高精度磨床,0.1,高,支持,中国机床工具行业协会,https://www.cmmt.org.cn,,
2023-05-30,法国,数控铣床,0.5,中,支持,法国机械制造协会,https://www.uffmed.com,,
2024-07-05,瑞士,超精密数控机床,0.02,高,支持,瑞士机械联盟,https://www.switzerlandmachines.ch,,
2024-02-10,荷兰,高速数控铣削机,0.8,中,支持,荷兰制造业协会,https://www.nwm.nl,,
2023-08-14,西班牙,多功能激光切割机,3.0,高,支持,西班牙机器制造商协会,https://www.afm.es,,
2023-09-29,印度,自动数控激光切割平台,2.2,中,支持,印度生产装备协会,https://www.ipe.org.in,,
2023-12-01,加拿大,精密数控切割机,1.0,高,支持,加拿大工程协会,https://www.engineerscanada.ca,,
2024-03-15,巴西,高性能数控车床,1.3,中,支持,巴西机械制造联合会,https://www.abimaq.org.br,,
2024-06-28,澳大利亚,智能制造数控中心,0.4,高,支持,澳大利亚制造业协会,https://www.ana.org.au,,
2022-05-05,瑞典,多工位数控加工机,0.7,中,支持,瑞典机械工程协会,https://www.svenskverkstad.se,,
2023-11-10,挪威,先进数控钣金激光机,3.5,高,支持,挪威制造联合会,https://www.teknisk.no,,
2024-01-30,新加坡,高效精密数控切割机,0.6,高,支持,新加坡制造业联合会,https://www.smf.sg,,
2024-04-20,阿根廷,高效数控磨床,0.15,中,支持,阿根廷机械和工业协会,https://www.came.org.ar,,
2024-05-25,土耳其,数控雕刻机,0.8,中,支持,土耳其机械制造商协会,https://www.tiomas.org,,
2023-06-12,南非,精密数控加工平台,1.0,中,支持,南非工程与制造协会,https://www.emeasa.co.za,,
2023-11-15,德国,高速数控铣床,0.5,高,支持,德国机械制造协会,https://www.vdma.org,,
2024-01-05,美国,数控轧制机,15.0,中,不支持,美国金属加工协会,https://www.nam.org,,
2023-08-30,中国,数控激光焊接机,8.0,高,支持,中国机器人产业联盟,https://www.cria.org.cn,,
2024-02-12,瑞士,精密数控转塔车床,0.1,高,支持,瑞士机械工程协会,https://www.sme.ch,,
2024-05-08,法国,数控珩磨机,0.8,中,支持,法国工业联合会,https://www.uimm.fr,,
2023-12-20,加拿大,数控龙门加工中心,5.0,中,支持,加拿大机械工程协会,https://www.cme-mec.ca,,
2024-03-15,澳大利亚,数控气动切割机,1.5,高,支持,澳大利亚工程协会,https://www.engineersaustralia.org.au,,
2024-04-01,西班牙,数控冷切割机,4.0,中,支持,西班牙机床制造协会,https://www.confemach.org,,
2023-10-25,新加坡,数控电火花加工机,0.3,高,支持,新加坡制造商协会,https://www.sma.org.sg,,
2024-06-30,巴西,数控钻孔机,1.0,中,不支持,巴西机械工程协会,https://www.abimaq.org.br,,
2023-11-18,瑞典,数控磨床,0.05,高,支持,瑞典机械行业协会,https://www.sverigessmaskin.com,,
2024-07-22,荷兰,数控液压切割机,0.7,中,支持,荷兰制造联盟,https://www.fem.nl,,
2024-08-19,芬兰,数控造型机,3.0,高,支持,芬兰机械工程联合会,https://www.teollisuus.net,,
2023-09-30,印度,数控精密切割机,0.4,中,支持,印度机械制造协会,https://www.imma.co.in,,
2024-01-15,南非,数控车床,0.6,中,支持,南非机械工程协会,https://www.saimme.com,,
2024-03-25,阿根廷,数控激光成型机,1.2,高,支持,阿根廷工业协会,https://www.cameraindustrial.org.ar,,
2024-09-05,以色列,数控金属切削机,1.8,高,支持,以色列制造商协会,https://www.ima.org.il,,
2024-01-15,美国,数控铣床,0.5,高,支持,美国机械制造协会,https://www.amtonline.org,,
2023-11-05,德国,精密激光切割机,1.0,中,支持,德国机械工程师协会,https://www.vdma.org,,
2024-04-21,中国,高效能数控车床,0.1,高,支持,中国机床工具工业协会,https://www.cmmt.com.cn,,
2023-08-15,法国,数控电火花机,0.08,高,支持,法国机械企业联合会,https://www.uimm.fr,,
2024-05-30,加拿大,垂直加工中心,0.3,中,支持,加拿大制造业协会,https://www.cme-mec.ca,,
2024-02-14,瑞士,数控磨床,0.02,高,支持,瑞士机械工程协会,https://www.swissmechanic.ch,,
2024-03-29,澳大利亚,数控激光焊接机,1.5,中,支持,澳大利亚制造与工程协会,https://www.amtil.com.au,,
2023-12-25,新加坡,数控切割系统,1.2,高,支持,新加坡机械协会,https://www.sma.org.sg,,
2024-06-02,俄罗斯,数控铣削机床,0.4,中,支持,俄罗斯机械和设备协会,https://www.rosmech.ru,,
2024-07-12,西班牙,数控冲压机,2.0,中,支持,西班牙机械工程师协会,https://www.amec.es,,
2023-10-19,丹麦,高效五轴机床,3.0,高,支持,丹麦制造业协会,https://www.di.dk,,
2024-08-18,挪威,激光表面处理机,0.2,中,支持,挪威工程师协会,https://www.teknisketavler.no,,
2024-09-30,巴西,数控光纤切割机,1.8,高,支持,巴西机械制造协会,https://www.abimaq.org.br,,
2023-11-11,印度,数控电火花线切割机,0.5,中,支持,印度机械协会,https://www.ime.org.in,,
2024-05-11,南非,数控塔式铣床,0.25,中,支持,南非制造商协会,https://www.sampec.org.za,,
2024-10-10,阿根廷,智能数控切割机,0.7,高,支持,阿根廷机械工程协会,https://www.aame.org.ar,,
2023-01-22,以色列,伺服数控机床,0.3,高,支持,以色列工业协会,https://www.iaef.org.il,,
2023-11-15,德国,高精度数控铣床,0.5,高,支持,德国机械工程协会,https://www.vdma.org,,
2024-04-22,美国,数控车床,1.0,中,支持,美国机床工具协会,https://www.amtonline.org,,
2025-01-30,瑞士,超高速切削机,0.02,高,支持,瑞士精密工业协会,https://www.swissmem.ch,,
2024-07-14,中国,新型数控激光切割机,1.5,高,支持,中国机械行业协会,https://www.cme.org.cn,,
2023-08-09,加拿大,三轴机床,3.0,中,支持,加拿大制造与服务委员会,https://www.economicdevelopment.ca,,
2024-11-05,新加坡,高效数控磨床,0.1,高,支持,新加坡机械工业协会,https://www.sma.org.sg,,
2024-09-21,法国,电火花数控机床,0.5,中,支持,法国机械制造协会,https://www.franceindustrie.org,,
2023-10-15,澳大利亚,晶体切割机,0.3,低,支持,澳大利亚制造商协会,https://www.ama.com.au,,
2024-03-22,俄罗斯,数控切割平台,2.0,中,支持,俄罗斯机械工业协会,https://www.rusmet.ru,,
2023-12-05,印度,数控激光切割机,4.0,高,支持,印度机械制造协会,https://www.immtaindia.org,,
2025-05-11,荷兰,精密铣削机,0.8,高,支持,荷兰数字制造协会,https://www.ndm.nl,,
2024-07-30,西班牙,多功能数控机床,0.4,高,支持,西班牙制造商协会,https://www.cde.es,,
2025-01-05,巴西,高效数控制铣机,1.2,中,支持,巴西机械工程学会,https://www.abema.org.br,,
2024-02-28,新西兰,数控切割机,2.5,中,支持,新西兰制造业协会,https://www.mia.org.nz,,
2023-09-05,以色列,激光切割设备,0.7,高,支持,以色列制造业联合会,https://www.manufacturers.org.il,,
2023-10-20,阿根廷,CNC铣床,3.5,中,支持,阿根廷工业协会,https://www.junta.org.ar,,
2024-12-12,南非,数控钻床,0.6,中,支持,南非制造与工程协会,https://www.se manufacturing.co.za,,
2024-08-18,阿联酋,高压水切割机,8.0,高,支持,阿联酋工业发展协会,https://www.uaeindustry.ae,,
2023-11-15,德国,高精度数控铣床,1.5,高,支持,德国机械工程协会,https://www.vdma.org,,
2024-02-03,美国,数控线切割机,0.5,中,支持,美国制造业协会,https://www.nam.org,,
2023-12-21,瑞士,超精密电火花机,0.01,高,支持,瑞士机械工程联合会,https://www.swissmechanics.ch,,
2023-10-30,法国,数控锯床,1.0,中,支持,法国家具制造协会,https://www.frenchfurniture.org,,
2024-04-05,加拿大,高效数控激光雕刻机,0.7,高,支持,加拿大机械工程学会,https://www.cim.ca,,
2023-08-12,新加坡,自动化数控中心,0.03,高,支持,新加坡科技工艺局,https://www.tech.gov.sg,,
2024-01-14,澳大利亚,综合数控雕刻机,1.8,中,支持,澳大利亚制造业协会,https://www.australianmanufacturing.com.au,,
