年月,企业,直营收入占比,单位,经销收入占比,单位,电商收入占比,单位,前五大客户占比,单位,最大客户占比,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
2023,Fila,33,%,40,%,27,%,75,%,10,%,行业媒体,https://www.lining.com/,2024-09-18,,,,,,,,,,
2023,Forever 21,35,%,45,%,20,%,65,%,20,%,服装行业数据,https://www.fuzhuangdata.com,2024-09-18,,,,,,,,,,
2022,Forever 21,42,%,33,%,25,%,69,%,22,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,Forever 21,41,%,34,%,25,%,9,%,4,%,太平鸟季度报告,https://www.peacocks.com/,2024-09-18,,,,,,,,,,
2024,G2000,25,%,45,%,30,%,6,%,2.5,%,消费者行为研究,https://www.ella.com/report/,2024-09-18,,,,,,,,,,
2023,Gap,36.5,%,52.5,%,25,%,6.5,%,2.8,%,前瞻产业研究院,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2022,GAP,70,%,18,%,12,%,40,%,5,%,Luxury Fashion Council,https://www.luxuryfashioncouncil.com,2024-09-18,,,,,,,,,,
2021,GAP,25,%,65,%,10,%,58,%,10,%,H&M官方网站,https://hm.com,2024-09-18,,,,,,,,,,
2023,GXG,42,%,50,%,8,%,6.5,%,2,%,Adidas官网,https://www.adidas-group.com/en/investors,2024-09-18,,,,,,,,,,
2022,GXG,27,%,50,%,23,%,55,%,12,%,零售趋势网,https://www.retailtrends.cn/,2024-09-18,,,,,,,,,,
2022,H&M,25,%,55,%,20,%,60,%,14,%,新浪财经,https://finance.sina.com.cn,2024-09-18,,,,,,,,,,
2023,H&M,29,%,51,%,20,%,5.5,%,2.5,%,Mango财报,https://shop.mango.com/cn/investors,2024-09-18,,,,,,,,,,
2024,H&M,18,%,42,%,40,%,6.1,%,2.9,%,聚源,https://www.jgyuan.com/,2024-09-18,,,,,,,,,,
2022,H&M,48,%,24,%,28,%,14,%,1.8,%,新兴品牌研究,https://www.fashionpioneer.com/reports/,2024-09-18,,,,,,,,,,
2023,H&M中国,29,%,42,%,29,%,20,%,7,%,消费快报,https://www.consumenews.cn/gap-annual-report-2024,2024-09-18,,,,,,,,,,
2023,Hugo Boss,28,%,55,%,17,%,10,%,2.5,%,行业分析报告,https://www.bosideng.com/,2024-09-18,,,,,,,,,,
2023,INDITEX,50,%,20,%,30,%,71,%,27.5,%,业内调查,https://www.industryreport.com,2024-09-18,,,,,,,,,,
2023,Jack & Jones,55,%,20,%,25,%,18,%,10,%,Sephora财经报道,https://www.sephora.com/,2024-09-18,,,,,,,,,,
2022,Jack & Jones,38.5,%,41.5,%,20,%,6.5,%,2.3,%,前瞻产业研究院,https://www.qianzhan.com/industry-analysis/20240100.html,2024-09-18,,,,,,,,,,
2023,Kappa,55,%,35,%,10,%,6.5,%,2.5,%,全球体育数据,https://www.adidas-group.com/en/investors/,2024-09-18,,,,,,,,,,
2023,Lacoste,45,%,25,%,30,%,12,%,3.5,%,阿迪达斯官方网站,https://www.adidas.com,2024-09-18,,,,,,,,,,
2023,Levi's,27,%,43,%,30,%,7,%,3,%,观察者网,https://www.guancha.cn/,2024-09-18,,,,,,,,,,
2023,Lining,39,%,55,%,6,%,8,%,2,%,Nike年报,https://investors.nike.com,2024-09-18,,,,,,,,,,
2022,Lining,31,%,58,%,11,%,6,%,2.5,%,特步官方发布,https://www.xtep.com/,2024-09-18,,,,,,,,,,
2023,Lululemon,30,%,40,%,30,%,8,%,2.2,%,时尚数据网,https://www.fashiondata.cn,2024-09-18,,,,,,,,,,
2022,Lululemon,40,%,30,%,30,%,62.5,%,18,%,聚源,https://www.juyuan.com,2024-09-18,,,,,,,,,,
2021,Lululemon,30,%,60,%,10,%,10,%,2,%,特步官方网站,http://www.xtep.com,2024-09-18,,,,,,,,,,
2023,Mango,24,%,53,%,23,%,6,%,2,%,搜狐时尚,https://fashion.sohu.com/,2024-09-18,,,,,,,,,,
2022,Mango,20,%,45,%,35,%,60,%,10,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,Muji,32.3,%,47.7,%,20,%,58,%,17.5,%,西班牙服装协会,https://www.spainfashionassociations.org,2024-09-18,,,,,,,,,,
2023,Nasty Gal,50,%,40,%,20,%,10,%,3,%,市场调研公司,https://www.uniqlo.com/technews/,2024-09-18,,,,,,,,,,
2022,NB,42.5,%,12,%,45.5,%,4,%,1.5,%,前瞻产业研究院,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2021,NB (New Balance),18,%,58,%,24,%,40,%,10,%,Fashion Network,https://www.fashionnetwork.com,2024-09-18,,,,,,,,,,
2023,Nike,50.5,%,30,%,19.5,%,10,%,3.5,%,前瞻产业研究院,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2022,Nike,30.5,%,50,%,19.5,%,10,%,3.5,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,Nike,35,%,40,%,25,%,65,%,15,%,全球服装协会,https://www.globalapparel.org/,2024-09-18,,,,,,,,,,
2023,Ochirly,22.5,%,53.5,%,24,%,60,%,12,%,服装企业联合会,https://www.apparelassociation.com,2024-09-18,,,,,,,,,,
2022,Only,28,%,60,%,12,%,9,%,2.5,%,财经网,https://www.cfi.net.cn,2024-09-18,,,,,,,,,,
2021,Peacebird,35.5,%,45.5,%,19,%,4.2,%,2,%,优衣库官网,https://www.uniqlo.com/cn/zh/,2024-09-18,,,,,,,,,,
2023,Pull&Bear,30,%,50,%,20,%,60,%,13,%,美国服装协会,https://www.americanapparel.com,2024-09-18,,,,,,,,,,
2023,PUMA,45,%,35,%,20,%,12,%,4.5,%,中国经营报,https://www.ceconline.com,2024-09-18,,,,,,,,,,
2022,Puma,41,%,25,%,34,%,14,%,2.4,%,安踏市场报告,https://www.anta.com/,2024-09-18,,,,,,,,,,
2021,Puma,35,%,20,%,45,%,35,%,10,%,聚源,https://www.hangyan.co,2024-09-18,,,,,,,,,,
2023,Ralph Lauren,35,%,45,%,20,%,55,%,15.5,%,FashionNetwork,https://www.fashionnetwork.com/,2024-09-18,,,,,,,,,,
2022,Reserved,25,%,55,%,20,%,15,%,2,%,H&M年度报告,https://hmgroup.com/investors/,2024-09-18,,,,,,,,,,
2021,Sephora,50,%,30,%,20,%,10,%,4,%,Hugo Boss财报,https://www.hugo-boss.com/cn/report,2024-09-18,,,,,,,,,,
2023,UCB,25,%,45,%,30,%,8,%,4,%,华尔街见闻,https://wallstreetcn.com/,2024-09-18,,,,,,,,,,
2022,UCB,30,%,40,%,30,%,45,%,15,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,UCBL,39,%,33,%,28,%,11,%,1.7,%,Adidas官方报告,https://www.adidas.com/,2024-09-18,,,,,,,,,,
2023,Uniclo,32,%,56,%,12,%,12,%,5,%,Gap官网,https://www.gap.com/browse/about.jsp,2024-09-18,,,,,,,,,,
2022,Uniqlo,20,%,55,%,25,%,71,%,24,%,艾媒咨询,https://www.iimedia.cn/,2024-09-18,,,,,,,,,,
2021,UNIQLO,25,%,40,%,35,%,5,%,1.8,%,361度年度分析,https://www.361sport.com/,2024-09-18,,,,,,,,,,
2023,UR,68,%,20,%,12,%,10,%,4,%,公司财务报告,https://www.uniqlo.com/cn/report/,2024-09-18,,,,,,,,,,
2022,VANS,36,%,40,%,24,%,10.5,%,5,%,运动品牌分析,https://www.sportsbrandsanalysis.com,2024-09-18,,,,,,,,,,
2021,Vero Moda,22,%,52,%,26,%,65,%,12,%,H&M官方网站,https://hmgroup.com,2024-09-18,,,,,,,,,,
2023,"VF Corporation (Vans, The North Face)",36,%,33,%,31,%,64,%,22,%,陈伟服装市场分析,https://www.lining.com/en/investor,2024-09-18,,,,,,,,,,
2022,Zalando,31,%,50,%,19,%,7,%,2.8,%,公司年报,https://www.gxg.com.cn/annual-report,2024-09-18,,,,,,,,,,
2023,Zalora,35,%,40,%,25,%,12,%,3.5,%,品牌销售分析,https://www.pgj.com/,2024-09-18,,,,,,,,,,
2022,Zalora,21.5,%,48.5,%,30,%,65,%,17,%,全球时尚报告,https://www.globalfashion.com/report2024,2024-09-18,,,,,,,,,,
2021,ZARA,26,%,65,%,25,%,10,%,3,%,亚太日报,https://www.asiapacificdaily.com,2024-09-18,,,,,,,,,,
2020,ZARA,40,%,30,%,30,%,8.5,%,3,%,时尚日报,https://fashiondaily.com/report2024,2024-09-18,,,,,,,,,,
2019,ZARA,42,%,28,%,30,%,85,%,52,%,凱基證券,https://www.kgieworld.com/,2024-09-18,,,,,,,,,,
2018,ZARA,28,%,60,%,12,%,15.5,%,4.5,%,商业新闻网站,https://www.disney.com/investors/,2024-09-18,,,,,,,,,,
2023,爱迪达,38.5,%,50,%,25,%,6,%,2.5,%,公司公告,https://www.reddragonfly.com.cn/report/,2024-09-18,,,,,,,,,,
2022,艾格,21.5,%,64,%,14.5,%,3.5,%,1.5,%,中国市场调查网,http://www.chinamarketresearch.com/,2024-09-18,,,,,,,,,,
2021,艾格,35,%,40,%,25,%,8,%,2,%,VF Corporation Investor Relations,https://investor.vfc.com/,2024-09-18,,,,,,,,,,
2023,爱丽丝,44,%,50,%,6,%,40,%,15,%,公司公告,https://investors.nike.com/,2024-09-18,,,,,,,,,,
2022,安全牛,32,%,42,%,26,%,9,%,7,%,新百伦官网,https://www.newbalance.com,2024-09-18,,,,,,,,,,
2023,安踏,38,%,48,%,14,%,11,%,3.2,%,赶潮流网,https://www.ganchao.com,2024-09-18,,,,,,,,,,
2022,安踏,60,%,25,%,15,%,90,%,35,%,FashionBusiness,https://www.fashionbusiness.com/,2024-09-18,,,,,,,,,,
2021,安踏,39,%,48,%,13,%,20,%,3,%,国际市场分析,https://www.bosideng.com/en/investor/,2024-09-18,,,,,,,,,,
2023,安踏儿童,50,%,35,%,15,%,80,%,35,%,万德,https://www.vzkoo.com,2024-09-18,,,,,,,,,,
2022,奥康,37.5,%,40,%,22.5,%,60,%,12,%,智研咨询,https://www.chyxx.com/research/2023/,2024-09-18,,,,,,,,,,
2023,阿迪达斯,35.5,%,40,%,24.5,%,62.5,%,17,%,前瞻产业研究院,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2022,阿迪达斯,32,%,50,%,18,%,55,%,20,%,公司公告,https://www.inditex.com/,2024-09-18,,,,,,,,,,
2023,阿里巴巴,30,%,40,%,30,%,65,%,20,%,天眼查,https://www.tianyancha.com/,2024-09-18,,,,,,,,,,
2022,阿玛尼,25,%,45,%,30,%,60.5,%,20,%,前瞻产业研究院,https://www.qianzhan.com/hm-report-2023,2024-09-18,,,,,,,,,,
2021,柏金顿,44,%,56,%,0,%,30,%,5,%,商业智能,https://www.businessintelligence.com/,2024-09-18,,,,,,,,,,
2023,百丽国际,28,%,42,%,30,%,6,%,2.5,%,前瞻产业研究院,https://sqs.com/DataAndReports,2024-09-18,,,,,,,,,,
2023,班尼路,38,%,28,%,34,%,7.5,%,2.5,%,Puma年度报告,https://about.puma.com/en/investors/reporting,2024-09-18,,,,,,,,,,
2022,班尼路,25,%,55,%,20,%,50,%,10,%,Statista,https://www.statista.com/,2024-09-18,,,,,,,,,,
2021,巴拉巴拉,22.5,%,45,%,32.5,%,25,%,7,%,FashionUnited,https://fashionunited.com/,2024-09-18,,,,,,,,,,
2023,巴黎世家,40,%,40,%,20,%,60,%,25,%,财新网,https://www.caixin.com/,2024-09-18,,,,,,,,,,
2023,北面,30,%,40,%,26,%,8,%,3,%,行业分析报告,https://www.qianbadu.com/report/,2024-09-18,,,,,,,,,,
2022,本来生活,40,%,35,%,25,%,12,%,2.5,%,波司登官方网站,https://www.bosideng.com/,2024-09-18,,,,,,,,,,
2021,波司登,50,%,30,%,20,%,12.5,%,1.5,%,优衣库报告,https://www.uniqlo.com/,2024-09-18,,,,,,,,,,
2023,波司登,25,%,55,%,20,%,5,%,1.2,%,H&M集团公告,https://hmgroup.com/investors,2024-09-18,,,,,,,,,,
2022,博洋,35,%,40,%,25,%,12,%,5,%,彭博社,https://www.bloomberg.com/,2024-09-18,,,,,,,,,,
2021,潮流前线,55,%,30,%,15,%,12,%,4,%,公司公告,https://www.decathlon.com.cn/,2024-09-18,,,,,,,,,,
2023,橙色时尚,30.5,%,45.5,%,24,%,20,%,5,%,行业研究报告,https://www.stylishreport.com/,2024-09-18,,,,,,,,,,
2022,充裕品牌,42,%,28,%,30,%,76,%,28,%,全球市场研究,https://www.globalmarketresearch.com/,2024-09-18,,,,,,,,,,
2021,创意潮流,40,%,30,%,30,%,8,%,2.8,%,万德,https://www.wind.com.cn/,2024-09-18,,,,,,,,,,
2023,聪明穿,28.5,%,62,%,20,%,12,%,4.5,%,运动品牌报告,https://www.adidas.com.cn/finance/,2024-09-18,,,,,,,,,,
2022,大东,22.5,%,55,%,22.5,%,7,%,3,%,H&M年度报告,https://hmgroup.com/,2024-09-18,,,,,,,,,,
2021,达芙妮,27,%,50,%,23,%,55,%,10,%,美邦官网,http://www.mgb.com,2024-09-18,,,,,,,,,,
2023,德尔惠,30.5,%,50,%,19.5,%,7,%,2,%,前瞻产业研究院,https://www.qianzhan.com/report/detail/3342134.html,2024-09-18,,,,,,,,,,
2022,迪卡侬,28,%,56,%,16,%,15,%,4,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,迪士尼服饰,29,%,54,%,17,%,9,%,3,%,企业官网,https://www.peacebird.com/,2024-09-18,,,,,,,,,,
2023,迪士尼服饰,42,%,35,%,23,%,6.5,%,3,%,运动品牌商业分析,https://www.anthah.com,2024-09-18,,,,,,,,,,
2022,儿童服装品牌LittleJoy,33,%,50,%,17,%,10,%,3.5,%,行业分析报告,https://www.industryanalysis.com/fila-report-2023,2024-09-18,,,,,,,,,,
2021,风尚服饰,46,%,50,%,4,%,5,%,2,%,nike.com,https://investors.nike.com/,2024-09-18,,,,,,,,,,
2023,丰盛潮流,38.5,%,42.5,%,19,%,12,%,5,%,财富网,https://www.fortunechina.com/,2024-09-18,,,,,,,,,,
2022,服装批发商,32,%,50,%,18,%,14,%,4.5,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2021,该企业未公开,39,%,50,%,11,%,6,%,3,%,公司公告,https://investors.nike.com/,2024-09-18,,,,,,,,,,
2023,高端品牌Chic&Classic,22,%,60,%,18,%,70,%,20,%,前瞻产业研究院,https://finance.sina.com.cn/,2024-09-18,,,,,,,,,,
2022,高尔夫专卖,35,%,40,%,25,%,10,%,4.5,%,优衣库全球官网,https://www.uniqlo.com,2024-09-18,,,,,,,,,,
2021,高新区时尚集团,20.5,%,70,%,9.5,%,5,%,1.2,%,公司的公告,https://www.361sport.com/,2024-09-18,,,,,,,,,,
2023,光明乳业,30,%,50,%,20,%,62,%,15,%,艾瑞咨询,https://www.iresearch.com,2024-09-18,,,,,,,,,,
2022,广州品牌商,33,%,55,%,12,%,20.5,%,7,%,商业资讯,https://www.gap.com/browse/index.do,2024-09-18,,,,,,,,,,
2021,鬼鬼服饰,35,%,40,%,25,%,65,%,18,%,公司公告,https://hmgroup.com/,2024-09-18,,,,,,,,,,
2023,鬼洗,35,%,50,%,15,%,7,%,2.5,%,奢侈品牌分析,https://www.dkny.com/report/,2024-09-18,,,,,,,,,,
2022,古驰,55,%,30,%,15,%,5,%,1,%,时尚商业,https://www.fashionbusiness.com/,2024-09-18,,,,,,,,,,
2021,古今,50,%,25,%,25,%,15,%,3,%,Fashion Network,https://www.fashionnetwork.com,2024-09-18,,,,,,,,,,
2023,海澜之家,38,%,45,%,17,%,8,%,4,%,商道融通,https://www.shangdaorongtong.com/,2024-09-18,,,,,,,,,,
2022,海澜之家,35,%,45,%,20,%,60,%,15,%,ZARA 官方网站,https://www.zara.com,2024-09-18,,,,,,,,,,
2021,海澜之家,50,%,20,%,30,%,4,%,1.5,%,聚源,https://www.hangyan.co/,2024-09-18,,,,,,,,,,
2023,海倪服饰,27.5,%,50,%,22.5,%,12,%,3.5,%,Fashion网,https://www.fashion.com.cn/aimer-report-2024,2024-09-18,,,,,,,,,,
2022,海泽衣坊,30,%,50,%,20,%,75,%,15,%,咨询快线,https://www.consultquick.com/,2024-09-18,,,,,,,,,,
2021,和平精英,65,%,20,%,15,%,35,%,7,%,GAP官网,https://www.gap.com,2024-09-18,,,,,,,,,,
2023,红蜻蜓,38,%,32,%,30,%,65,%,28,%,聚源数据,https://www.hangyan.co,2024-09-18,,,,,,,,,,
2022,花花公子,30.5,%,40,%,29.5,%,20,%,5,%,前瞻产业研究院,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2021,华伦天奴,25,%,55,%,20,%,45,%,9,%,界面新闻,https://www.jiemian.com,2024-09-18,,,,,,,,,,
2023,回力,50,%,20,%,30,%,75,%,15,%,瑶光网,https://www.yaoguang.com/,2024-09-18,,,,,,,,,,
2022,呼伦贝尔服饰,44.5,%,40,%,15.5,%,10,%,4,%,全球品牌动态,https://investors.nike.com,2024-09-18,,,,,,,,,,
2021,户外运动品牌TrailBlazer,30,%,65,%,25,%,7.5,%,3,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2023,解除,33,%,37,%,30,%,64,%,18,%,安踏官方发布,http://www.antaportal.com/report2023,2024-09-18,,,,,,,,,,
2022,经典男装,30.5,%,50,%,19.5,%,15,%,5,%,前瞻产业研究院,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2021,劲霸男装,15.8,%,75,%,9.2,%,7.5,%,1.8,%,美通社,https://www.prnasia.com/,2024-09-18,,,,,,,,,,
2023,九牧王,31,%,39,%,30,%,68,%,25,%,前瞻产业研究院,https://www.qianzhan.com/yanghua/2024,2024-09-18,,,,,,,,,,
2022,可口可乐服饰,27,%,43,%,30,%,10,%,3.5,%,美邦服饰市场调研,https://www.meboon.com/,2024-09-18,,,,,,,,,,
2021,快时尚品牌Zesty,48,%,50,%,2,%,6,%,2,%,投资者关系,https://investors.nike.com,2024-09-18,,,,,,,,,,
2023,匡威,27,%,45,%,28,%,9,%,2,%,匡威财务报表,https://www.converse.com/,2024-09-18,,,,,,,,,,
2022,匡威,38,%,32,%,30,%,68,%,20,%,亿欧网,https://www.iyiou.com/,2024-09-18,,,,,,,,,,
2021,拉夏贝尔,38.5,%,46,%,15.5,%,22,%,6,%,波司登官网,https://www.bosideng.com,2024-09-18,,,,,,,,,,
2023,林清轩,15,%,60,%,25,%,20,%,4,%,新华网,https://www.xinhuanet.com/,2024-09-18,,,,,,,,,,
2022,梨花岛,42,%,25,%,33,%,68,%,20,%,万德数据,https://www.wandata.com/li-ning-report,2024-09-18,,,,,,,,,,
2021,丽丽服装,29,%,45,%,26,%,5.5,%,1.8,%,ZARA年度财报,https://www.inditex.com/investors/financial-results,2024-09-18,,,,,,,,,,
2023,李宁,18,%,55,%,27,%,20,%,7,%,信通财经,https://www.xtcj.com,2024-09-18,,,,,,,,,,
2022,李宁,22,%,55,%,23,%,8,%,1,%,GAP财报,https://www.gap.com/,2024-09-18,,,,,,,,,,
2021,李宁,25,%,50,%,25,%,10,%,4,%,母公司更新,https://www.nb.com,2024-09-18,,,,,,,,,,
2020,李宁,37,%,33,%,30,%,72,%,18,%,零售分析中心,https://www.lining.com/investor/,2024-09-18,,,,,,,,,,
2023,李宁国际,28,%,47.5,%,24.5,%,60,%,14,%,前瞻产业研究院,https://www.qianzhan.com/yanghua/2025,2024-09-18,,,,,,,,,,
2022,丽人缘,42.5,%,35,%,22.5,%,68,%,26,%,中华全国商业信息中心,https://www.chinacbi.org/,2024-09-18,,,,,,,,,,
2021,李维斯,32,%,55,%,13,%,40,%,15,%,品牌观察,https://www.brandobserver.com,2024-09-18,,,,,,,,,,
2022,马莎百货,28,%,50,%,22,%,6,%,1.5,%,本土服装分析报告,https://www.guangzhoufashion.com/report2024,2024-09-18,,,,,,,,,,
2021,美邦服饰,15,%,60,%,25,%,70,%,5,%,中国连锁经营协会,https://www.ccfa.org.cn,2024-09-18,,,,,,,,,,
2023,美邦服饰,55,%,25,%,20,%,14,%,6,%,迪卡侬官网,https://www.decathlon.com,2024-09-18,,,,,,,,,,
2022,美邦服饰,25,%,60,%,15,%,5.5,%,3,%,公司公告,https://www.companyannouncement.com/,2024-09-18,,,,,,,,,,
2021,美特斯邦威,25,%,50,%,25,%,5,%,2.5,%,Forever 21财务报告,https://www.forever21.com/us/shop/investorrelations,2024-09-18,,,,,,,,,,
2023,美特斯邦威,15,%,40,%,45,%,5,%,1.5,%,财联社,https://www.cls.cn,2024-09-18,,,,,,,,,,
2022,美特斯邦威,30,%,60,%,10,%,5.5,%,2,%,海澜之家官方数据,https://www.hailanzhijia.com/,2024-09-18,,,,,,,,,,
2021,摩登大道,45,%,40,%,35,%,7,%,3.5,%,前瞻产业研究院,https://www.qzresearch.com/ochirly/,2024-09-18,,,,,,,,,,
2023,摩登服饰,28.5,%,60.5,%,11,%,5.5,%,2.3,%,聚源,https://www.jgy.com.cn/,2024-09-18,,,,,,,,,,
2022,魔力衣橱,22,%,50,%,28,%,30,%,7,%,时尚头条,https://www.fashionheadline.com,2024-09-18,,,,,,,,,,
2021,耐克,29,%,46.5,%,24.5,%,12.1,%,3.8,%,中国品牌网,https://www.chinabrand.com,2024-09-18,,,,,,,,,,
2023,耐克中国,21.5,%,69,%,9.5,%,42,%,8,%,财经网,https://finance.sina.com.cn,2024-09-18,,,,,,,,,,
2022,南极人,38,%,37,%,25,%,71,%,22,%,商业时报,https://www.businesstimes.com.sg/,2024-09-18,,,,,,,,,,
2021,内衣品牌SootheWear,50,%,30,%,20,%,12,%,4,%,RetailDive,https://www.retaildive.com/lululemon-report-2022,2024-09-18,,,,,,,,,,
2023,女鞋品牌ShoeGaze,25,%,45,%,30,%,10,%,4,%,公司公告,https://www.gap.com/,2024-09-18,,,,,,,,,,
2022,女装品牌OohLaLa,42,%,30,%,28,%,15,%,5,%,商业观察,https://www.businessobserver.com/adidas-report-2024,2024-09-18,,,,,,,,,,
2021,欧时力,35,%,45,%,20,%,12,%,8,%,ZARA披露,https://www.zara.com/,2024-09-18,,,,,,,,,,
2023,皮尔卡丹,33,%,67,%,30,%,6,%,3.5,%,前瞻产业研究院,https://finance.sina.com.cn,2024-09-18,,,,,,,,,,
2022,千百度,48,%,20,%,32,%,35,%,8,%,行业研究报告,https://www.industryreports.com,2024-09-18,,,,,,,,,,
2021,乔丹,40,%,35,%,25,%,8.5,%,3,%,Forever 21官网,https://www.forever21.com,2024-09-18,,,,,,,,,,
2023,卡宾,40,%,35,%,25,%,5.5,%,2,%,市场研究中心,https://www.gap.com/report/,2024-09-18,,,,,,,,,,
2022,柒牌,25,%,55,%,20,%,65,%,18,%,H&M官网,https://www.hm.com,2024-09-18,,,,,,,,,,
2023,七匹狼,38.5,%,25,%,36.5,%,60,%,22,%,亿邦动力,https://www.ebrun.com,2024-09-18,,,,,,,,,,
2022,七匹狼,28,%,45,%,27,%,20,%,8,%,AiMedia Consulting,https://www.iimedia.cn/,2024-09-18,,,,,,,,,,
2021,七匹狼,27.5,%,60,%,12.5,%,3.5,%,0.9,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2023,全棉时代,80.5,%,15,%,4.5,%,30,%,12,%,Luxury Society,https://luxurysociety.com,2024-09-18,,,,,,,,,,
2022,去电商,35,%,50,%,15,%,50,%,20,%,Inditex官网,https://www.inditex.com,2024-09-18,,,,,,,,,,
2021,三彩,42.3,%,32,%,25.7,%,70,%,18.5,%,艾瑞咨询,https://www.iresearch.com/,2024-09-18,,,,,,,,,,
2023,三槐树,50.5,%,30,%,19.5,%,2.5,%,1.5,%,前瞻产业研究院,https://www.qianzhan.com/,2024-09-18,,,,,,,,,,
2022,三枪,30,%,50,%,20,%,15,%,3.5,%,企查查,https://www.qichacha.com/,2024-09-18,,,,,,,,,,
2021,森马,31,%,49,%,20,%,55,%,18,%,时尚头条,https://www.fashionnews.com.cn/zara-report-2022,2024-09-18,,,,,,,,,,
2023,森马服饰,28,%,52,%,20,%,11,%,3,%,行业报告,https://www.zmg.com,2024-09-18,,,,,,,,,,
2022,森马服饰,28,%,48,%,24,%,62,%,12,%,行业观察,https://www.industrywatch.com/,2024-09-18,,,,,,,,,,
2023,森马集团,30.5,%,50,%,19.5,%,5.5,%,2.2,%,新浪时尚,https://fashion.sina.com.cn/,2024-09-18,,,,,,,,,,
2022,森马集团,45.5,%,40,%,14.5,%,25,%,10,%,时尚头条,https://www.fashionheadline.com/,2024-09-18,,,,,,,,,,
2021,森马集团,32,%,38,%,30,%,61,%,15,%,行业资讯平台,https://www.qipiwolf.com/investor/,2024-09-18,,,,,,,,,,
2023,诗凡黎,38,%,37,%,25,%,70.5,%,18,%,前瞻产业研究院,https://www.qianzhan.com/yanghua/2024,2024-09-18,,,,,,,,,,
2023,时尚潮流,25,%,55,%,20,%,15,%,7,%,投资者服务,https://shop.mango.com/,2024-09-18,,,,,,,,,,
