可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
基于光的智能医疗系统,光计算,2,2023-11-15,青岛生物科技有限公司,审核中,2023-11-16,待定,青岛生物科技有限公司,医疗实时数据监控模块,青岛生物科技有限公司,VLC-022-2024,医疗技术,无,高级型,V2.0,山东省科技厅,http://zjenergy.gov.cn/,2024-10-17,,,,,,,,,,
新一代智能光通信系统,光通信,3,2023-12-01,重庆科技创新有限公司,已完成,2023-12-02,合格,重庆科技创新有限公司,光通信链路监测模块,重庆科技创新有限公司,VLC-027-2024,通信网络,无,标准型,V1.0,重庆市科技局,http://njtech.gov.cn/,2024-10-17,,,,,,,,,,
超高速可见光通信系统,光通信,1,2023-09-01,武汉光电科技有限公司,已完成,2023-09-02,合格,武汉光电科技有限公司,高速发射与接收模块,武汉光电科技有限公司,VLC-033-2024,交通管理,无,标准型,V1.0,武汉市科技局,http://wuhan.gov.cn/,2024-10-17,,,,,,,,,,
智能光照通信系统,光计算,2,2023-09-08,南京智能网络科技有限公司,审核中,2023-09-09,待定,南京智能网络科技有限公司,智能处理单元,南京智能网络科技有限公司,VLC-038-2024,远程通信,无,高级型,V2.0,南京市科技管理平台,http://nanjing.gov.cn/,2024-10-17,,,,,,,,,,
城市智慧交通光通信系统,光通信,1,2023-09-15,北京交通技术发展有限公司,已完成,2023-09-16,合格,北京交通技术发展有限公司,交通信号模块,北京交通技术发展有限公司,VLC-042-2024,电子教育,无,标准型,V1.0,北京市交通管理局,http://beijing.gov.cn/,2024-10-17,,,,,,,,,,
光频域传感系统,光计算,2,2023-08-25,深圳光电设备有限公司,已完成,2023-08-26,合格,深圳光电设备有限公司,传感器模块,深圳光电设备有限公司,VLC-003-2024,计算机技术,无,高级型,V2.0,深圳市光电产业管理局,http://shenzhen.gov.cn/,2024-10-17,,,,,,,,,,
智能环境监测光通信系统,光通信,1,2023-09-20,成都市环境科技有限公司,审核中,2023-09-21,待定,成都市环境科技有限公司,环境监测模块,成都市环境科技有限公司,VLC-007-2024,网络通信,无,标准型,V1.0,成都市科技局,http://chengdu.gov.cn/,2024-10-17,,,,,,,,,,
光网络资源管理系统,光网络,3,2023-09-25,广州光网络有限公司,已完成,2023-09-26,合格,广州光网络有限公司,资源调度模块,广州光网络有限公司,VLC-015-2024,企业服务,无,高级型,V2.1,广州市科技局,http://guangzhou.gov.cn/,2024-10-17,,,,,,,,,,
光存储计算服务器,光计算,2,2023-09-30,上海光电存储公司,审核中,2023-10-01,待定,上海光电存储公司,存储管理模块,上海光电存储公司,VLC-021-2024,教育研究,无,高级型,V3.0,上海市科技服务中心,http://shanghai.gov.cn/,2024-10-17,,,,,,,,,,
全光纤传输网络系统,光网络,3,2023-10-05,西安光纤技术研究所,已完成,2023-10-06,合格,西安光纤技术研究所,光纤调度模块,西安光纤技术研究所,VLC-005-2024,交通监控,无,标准型,V1.0,西安市科技局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
智能健康监测光通信系统,光通信,1,2023-10-12,杭州健康科技有限公司,审核中,2023-10-13,待定,杭州健康科技有限公司,健康监测模块,杭州健康科技有限公司,VLC-010-2024,计算机视觉,无,高级型,V2.2,杭州市科技局,http://hangzhou.gov.cn/,2024-10-17,,,,,,,,,,
未来光网络系统,光网络,2,2023-09-01,天津未来科技有限公司,已完成,2023-09-02,合格,天津未来科技有限公司,网络传输模块,天津未来科技有限公司,VLC-013-2024,物联网技术,无,标准型,V1.0,天津市科技局,http://guangzhou.gov.cn/,2024-10-17,,,,,,,,,,
智能信号处理系统,光计算,1,2023-09-10,杭州数据科技有限公司,审核中,2023-09-11,待定,杭州数据科技有限公司,信号解码模块,杭州数据科技有限公司,VLC-019-2024,监控技术,无,高级型,V2.0,杭州科技创新中心,http://shanghai.gov.cn/,2024-10-17,,,,,,,,,,
高效光信道系统,光通信,2,2023-09-20,苏州迅捷技术有限公司,已完成,2023-09-21,合格,苏州迅捷技术有限公司,多信道模块,苏州迅捷技术有限公司,VLC-025-2024,云计算,无,标准型,V1.0,苏州市科技局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
动态光环境监测系统,光通信,3,2023-09-25,西安创新科技有限公司,审核中,2023-09-26,待定,西安创新科技有限公司,环境监测模块,西安创新科技有限公司,VLC-008-2024,绿色科技,无,高级型,V2.1,西安科技管理局,http://hangzhou.gov.cn/,2024-10-17,,,,,,,,,,
光数据信息传输平台,光计算,1,2023-10-01,成都信通科技有限公司,已完成,2023-10-02,合格,成都信通科技有限公司,光数据信息模块,成都信通科技有限公司,VLC-003-2024,资料传输,无,标准型,V1.0,成都市信息技术局,http://guangzhou.gov.cn/,2024-10-17,,,,,,,,,,
增强现实光通信系统,光通信,1,2023-10-05,南京虚拟技术有限公司,审核中,2023-10-06,待定,南京虚拟技术有限公司,增强现实模块,南京虚拟技术有限公司,VLC-007-2024,交互技术,无,高级型,V2.0,南京市科技局,http://shanghai.gov.cn/,2024-10-17,,,,,,,,,,
智能光谱分析系统,光计算,2,2023-10-10,武汉智谱科技有限公司,已完成,2023-10-11,合格,武汉智谱科技有限公司,光谱分析模块,武汉智谱科技有限公司,VLC-012-2024,科学研究,无,标准型,V1.0,武汉市科技局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
智能化光控制系统,光通信,3,2023-10-15,郑州创新科技公司,审核中,2023-10-16,待定,郑州创新科技公司,控制管理模块,郑州创新科技公司,VLC-018-2024,电子工程,无,高级型,V2.0,郑州市科技局,http://hangzhou.gov.cn/,2024-10-17,,,,,,,,,,
光电导波系统,光计算,1,2023-10-20,长沙光电科技有限公司,已完成,2023-10-21,合格,长沙光电科技有限公司,光电导波模块,长沙光电科技有限公司,VLC-022-2024,光电通信,无,标准型,V1.0,长沙市科技局,http://guangzhou.gov.cn/,2024-10-17,,,,,,,,,,
智能城市光联网系统,光网络,1,2023-09-01,武汉未来科技有限公司,审核中,2023-09-02,待定,武汉未来科技有限公司,网络接口模块,武汉未来科技有限公司,VLC-029-2024,交通管理,无,标准型,V1.0,武汉市科技局信息平台,http://whstj.gov.cn/,2024-10-17,,,,,,,,,,
光学信息加密传输系统,光通信,2,2023-09-10,杭州光电技术有限公司,已完成,2023-09-11,合格,杭州光电技术有限公司,加密单元,杭州光电技术有限公司,VLC-034-2024,远程通信,无,高级型,V2.0,杭州市科技经济委员会,http://hzsti.gov.cn/,2024-10-17,,,,,,,,,,
医院智能可见光导航系统,光计算,1,2023-08-20,南京健康科技有限公司,已完成,2023-08-21,合格,南京健康科技有限公司,定位模块,南京健康科技有限公司,VLC-041-2024,电子教育,无,标准型,V1.0,南京市医疗信息系统,http://njhealth.gov.cn/,2024-10-17,,,,,,,,,,
光纤数据中心管理系统,光计算,3,2023-07-30,成都数据科技有限公司,审核中,2023-08-01,待定,成都数据科技有限公司,数据管理模块,成都数据科技有限公司,VLC-048-2024,计算机技术,无,标准型,V1.0,成都市大数据局,http://cddata.gov.cn/,2024-10-17,,,,,,,,,,
高效节能光通信系统,光通信,1,2023-06-25,天津市光电设备有限公司,已完成,2023-06-26,合格,天津市光电设备有限公司,光电模块,天津市光电设备有限公司,VLC-056-2024,网络通信,无,标准型,V1.0,天津市科技局,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
城市公共安全监控系统,光网络,3,2023-08-15,郑州智监科技有限公司,审核中,2023-08-16,待定,郑州智监科技有限公司,监控模块,郑州智监科技有限公司,VLC-063-2024,企业服务,无,高级型,V2.0,郑州市公共安全管理中心,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
智能农业可见光监测系统,光通信,1,2023-09-15,广州未来农业技术公司,已完成,2023-09-16,合格,广州未来农业技术公司,环境监测模块,广州未来农业技术公司,VLC-072-2024,教育研究,无,标准型,V1.0,广州农业科技局,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
光学智能交通管理系统,光计算,2,2023-09-20,西安智慧交通科技有限公司,审核中,2023-09-21,待定,西安智慧交通科技有限公司,交通监测模块,西安智慧交通科技有限公司,VLC-081-2024,交通监控,无,高级型,V2.0,西安市交通管理局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
基于光学的智能家居系统,光网络,3,2023-09-05,贵阳智能家居科技有限公司,已完成,2023-09-06,合格,贵阳智能家居科技有限公司,家居控制模块,贵阳智能家居科技有限公司,VLC-094-2024,计算机视觉,无,高级型,V2.1,贵阳地方政府科技局,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
微型光通信模块,光通信,1,2023-09-01,杭州光电技术有限公司,已完成,2023-09-02,合格,杭州光电技术有限公司,接收与发射单元,杭州光电技术有限公司,VLC-107-2024,物联网技术,无,标准型,V1.0,浙江省科技管理平台,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信系统,光通信,2,2023-06-22,北京智慧家居科技有限公司,审核中,2023-06-23,待定,北京智慧家居科技有限公司,家居联接设备,北京智慧家居科技有限公司,VLC-002-2024,监控技术,无,高级型,V2.0,国家智能家居产业技术创新战略联盟,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
移动光计量系统,光计算,3,2023-08-05,上海移动科技有限公司,已完成,2023-08-06,合格,上海移动科技有限公司,流量分析核心模块,上海移动科技有限公司,VLC-005-2024,云计算,无,标准型,V1.0,上海市交通管理局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
光导纤维传输系统,光通信,1,2023-09-15,天津光电有限公司,待审,2023-09-16,待定,天津光电有限公司,光导纤维模块,天津光电有限公司,VLC-007-2024,远程通信,无,高级型,V2.0,天津市工业和信息化局,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
教育可见光通信系统,光通信,1,2023-07-12,武汉教育科技集团,已完成,2023-07-13,合格,武汉教育科技集团,教育信息传递模块,武汉教育科技集团,VLC-010-2024,电子教育,无,标准型,V1.0,武汉市教育局,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
高效光计算系统,光计算,2,2023-08-25,南京光电科技有限公司,审核中,2023-08-26,待定,南京光电科技有限公司,计算处理平台,南京光电科技有限公司,VLC-013-2024,计算机技术,无,高级型,V2.1,南京市智慧城市建设办公室,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
光传输网络系统,光网络,3,2023-09-05,广州网络科技有限公司,已完成,2023-09-06,合格,广州网络科技有限公司,网络架构模块,广州网络科技有限公司,VLC-015-2024,网络通信,无,标准型,V1.0,广州信息科技局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
企业光通信解决方案,光通信,2,2023-06-30,重庆创新科技有限公司,待审,2023-07-01,待定,重庆创新科技有限公司,企业网络解决方案,重庆创新科技有限公司,VLC-018-2024,企业服务,无,高级型,V2.0,重庆市科技委员会,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
高速光数据传输系统,光计算,3,2023-07-25,西安光电科技大学,审核中,2023-07-26,待定,西安光电科技大学,数据传输核心模块,西安光电科技大学,VLC-020-2024,教育研究,无,标准型,V1.0,国家科技部,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
长距离可见光传输系统,光通信,1,2023-09-01,南京光网络科技有限公司,已完成,2023-09-02,合格,南京光网络科技有限公司,长距离信号发射器,南京光网络科技有限公司,VLC-023-2024,交通监控,无,标准型,V1.0,南京市网络信息管理中心,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
智能取证光计算系统,光计算,2,2023-09-15,京东方科技集团,审核中,2023-09-16,待定,京东方科技集团,数据处理算法模块,京东方科技集团,VLC-027-2024,计算机视觉,无,高级型,V2.0,北京市科技创新局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
可见光物联网系统,光网络,3,2023-10-01,杭州物联网设计公司,已完成,2023-10-02,合格,杭州物联网设计公司,传感器网络模块,杭州物联网设计公司,VLC-007-2024,物联网技术,无,标准型,V1.0,杭州市科技局,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
高频可见光监控系统,光通信,1,2023-10-10,苏州视讯科技有限公司,审核中,2023-10-11,待定,苏州视讯科技有限公司,视频监控模块,苏州视讯科技有限公司,VLC-012-2024,监控技术,无,高级型,V2.2,江苏省科技创新网,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
可见光数据传输解决方案,光计算,2,2023-10-20,福州光讯科技有限公司,已完成,2023-10-21,合格,福州光讯科技有限公司,数据传输模块,福州光讯科技有限公司,VLC-019-2024,云计算,无,标准型,V1.1,福州市科技局,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
可见光情报收集系统,光网络,3,2023-10-25,成都智能科技有限公司,审核中,2023-10-26,待定,成都智能科技有限公司,情报数据分析模块,成都智能科技有限公司,VLC-025-2024,安防技术,无,高级型,V2.1,成都市科技局,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
光通信智能决策系统,光计算,2,2023-11-02,西安智科科技有限公司,已完成,2023-11-03,合格,西安智科科技有限公司,智能算法模块,西安智科科技有限公司,VLC-033-2024,人工智能,无,标准型,V1.0,西安市科技局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
高效能光网络监测系统,光网络,3,2023-11-15,武汉网络科技公司,审核中,2023-11-16,待定,武汉网络科技公司,网络监测设备,武汉网络科技公司,VLC-046-2024,网络技术,有,高级型,V2.0,湖北省科技厅,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
可见光智能家庭系统,光通信,1,2023-11-20,南宁未来科技有限公司,已完成,2023-11-21,合格,南宁未来科技有限公司,智能控制模块,南宁未来科技有限公司,VLC-052-2024,家庭自动化,无,标准型,V1.0,南宁市科学技术局,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
未来光网络系统,光通信,1,2023-09-01,武汉光电科技发展有限公司,已完成,2023-09-02,合格,武汉光电科技发展有限公司,智能光发射器,武汉光电科技发展有限公司,VLC-060-2024,未来通信技术,无,创新型,V1.0,武汉市科技创新平台,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
超高速光计算平台,光计算,2,2023-09-15,杭州信息技术有限公司,审查中,2023-09-16,待定,杭州信息技术有限公司,光子处理器,杭州信息技术有限公司,VLC-078-2024,计算科学,无,高级型,V3.0,杭州市科技局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
智能家庭光通信系统,光通信,1,2023-09-20,成都智能家居有限公司,已完成,2023-09-21,合格,成都智能家居有限公司,光信号接收器,成都智能家居有限公司,VLC-085-2024,生活科技,无,标准型,V1.5,成都市科技局,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
企业级光计算服务系统,光计算,2,2023-10-01,天津商用科技有限公司,审核中,2023-10-02,待定,天津商用科技有限公司,企业数据光处理单元,天津商用科技有限公司,VLC-003-2024,业务管理,无,高级型,V2.5,天津市科技人才网,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
个人健康监测光系统,光应用,1,2023-10-10,南京生命科技公司,已完成,2023-10-11,合格,南京生命科技公司,健康监测设备,南京生命科技公司,VLC-007-2024,生命科学,无,标准型,V2.0,南京科技发展平台,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
城市智能交通光系统,智能交通,3,2023-10-15,郑州智能交通有限公司,审查中,2023-10-16,待定,郑州智能交通有限公司,交通信号控制模块,郑州智能交通有限公司,VLC-012-2024,交通管理,无,高级型,V1.3,郑州市交通科技局,http://xajgj.gov.cn/,2024-10-17,,,,,,,,,,
工业生产光通信监控系统,光通信,1,2023-10-20,苏州智能制造科技有限公司,已完成,2023-10-21,合格,苏州智能制造科技有限公司,生产监控光传输单元,苏州智能制造科技有限公司,VLC-019-2024,制造业,无,标准型,V1.0,苏州市科技创新平台,http://gy.gov.cn/,2024-10-17,,,,,,,,,,
多媒体光通信整合系统,光通信,1,2023-10-25,厦门多媒体技术有限公司,已完成,2023-10-26,合格,厦门多媒体技术有限公司,多媒体传输单元,厦门多媒体技术有限公司,VLC-024-2024,媒体传播,无,标准型,V1.1,厦门市科技发展局,http://zzgongan.gov.cn/,2024-10-17,,,,,,,,,,
高度集成光网络系统,光网络,3,2023-10-30,青岛网络科技有限公司,审核中,2023-10-31,待定,青岛网络科技有限公司,网络数据传输模块,青岛网络科技有限公司,VLC-031-2024,网络服务,无,高级型,V2.2,青岛市科技局,http://gzny.gov.cn/,2024-10-17,,,,,,,,,,
新一代光通信系统,光通信,1,2023-09-05,杭州光技术有限公司,已完成,2023-09-06,合格,杭州光技术有限公司,光信号放大模块,杭州光技术有限公司,VLC-037-2024,运输技术,无,高级型,V3.0,浙江省科技局,http://zjkjt.zj.gov.cn/,2024-10-17,,,,,,,,,,
城市光环境数据系统,光计算,2,2023-08-25,南京智能科技有限公司,审核中,2023-08-26,待定,南京智能科技有限公司,数据采集与分析单元,南京智能科技有限公司,VLC-045-2024,交通管理,无,标准型,V1.0,江苏省科学技术信息网,http://www.jskj.gov.cn/,2024-10-17,,,,,,,,,,
智能家居可见光控制系统,光通信,1,2023-09-10,天津智能家居有限公司,已完成,2023-09-11,合格,天津智能家居有限公司,智能控制模块,天津智能家居有限公司,VLC-052-2024,生活科技,无,标准型,V1.2,天津市科技委员会,http://www.tjkw.gov.cn/,2024-10-17,,,,,,,,,,
高效光数据传输系统,光网络,3,2023-09-17,西安先进通信技术研究院,审核中,2023-09-18,待定,西安先进通信技术研究院,数据传输链路,西安先进通信技术研究院,VLC-060-2024,通信技术,无,高级型,V2.0,陕西省科技信息网,http://www.sxtkw.gov.cn/,2024-10-17,,,,,,,,,,
光网络智能监控系统,光网络,3,2023-09-25,武汉数据安全公司,已完成,2023-09-26,合格,武汉数据安全公司,安全监控模块,武汉数据安全公司,VLC-007-2024,网络安全,无,标准型,V1.5,湖北省安全技术管理局,http://www.hbsafe.gov.cn/,2024-10-17,,,,,,,,,,
农业光监测系统,光计算,2,2023-10-02,成都农业科技研究院,审核中,2023-10-03,待定,成都农业科技研究院,农业监测模块,成都农业科技研究院,VLC-012-2024,农业监测,无,标准型,V1.1,四川省农业厅,http://www.scagri.gov.cn/,2024-10-17,,,,,,,,,,
光通信与计算联合平台,光通信,1,2023-10-05,长春光电技术公司,已完成,2023-10-06,合格,长春光电技术公司,光电转换单元,长春光电技术公司,VLC-019-2024,通信技术,无,高级型,V2.2,吉林省科技局,http://www.jilink.gov.cn/,2024-10-17,,,,,,,,,,
智能运输光通信系统,光通信,1,2023-10-15,贵阳智能交通科技有限公司,已完成,2023-10-16,合格,贵阳智能交通科技有限公司,实时数据传输模块,贵阳智能交通科技有限公司,VLC-024-2024,交通管理,无,高级型,V2.0,贵州省交通运输厅,http://www.gzjt.gov.cn/,2024-10-17,,,,,,,,,,
城市智慧照明系统,光计算,2,2023-10-20,青岛智能灯具有限公司,审核中,2023-10-21,待定,青岛智能灯具有限公司,照明控制模块,青岛智能灯具有限公司,VLC-035-2024,城市管理,无,标准型,V1.0,山东省科技厅,http://www.sdst.gov.cn/,2024-10-17,,,,,,,,,,
下一代可见光通信系统,光通信,1,2023-09-01,杭州未来科技有限公司,已完成,2023-09-02,合格,杭州未来科技有限公司,高速光发射与接收模块,杭州未来科技有限公司,VLC-041-2024,网络安全,无,标准型,V1.0,浙江省科技局,http://www.zj.gov.cn/,2024-10-17,,,,,,,,,,
智能光计算云平台,光计算,2,2023-09-12,南京光电科技有限公司,审核中,2023-09-13,待定,南京光电科技有限公司,光数据处理模块,南京光电科技有限公司,VLC-056-2024,农业监测,无,高级型,V2.0,江苏省科技厅,http://www.js.gov.cn/,2024-10-17,,,,,,,,,,
