批准文号/注册证号（字符型）,可见光通信系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称（字符型）,是否通过一致性（字符型）,可见光通信系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
2023-010,无人机通信系统,120Mbps,西安飞行器有限公司,2023-09-15,西安市市场监督管理局,西安飞行器有限公司,是,无人机通信系统,航空科技网,http://www.aerospace.cn/,2023-10-18,,,,,,,,
2023-011,室内光网系统,250Mbps,杭州光电技术有限公司,2023-06-01,杭州市市场监督管理局,杭州光电技术有限公司,是,室内网络系统,光电产业网,http://www.photonics.com/,2023-10-18,,,,,,,,
2023-012,智能农业光通信,80Mbps,南京农业科技有限公司,2023-05-20,南京市市场监督管理局,南京农业科技有限公司,是,农业应用系统,农业科技网,http://www.agri-cn.com/,2023-10-18,,,,,,,,
2023-013,智能交通系统,220Mbps,上海交通科技有限公司,2023-04-28,上海市市场监督管理局,上海交通科技有限公司,否,交通监控系统,交通运输部,http://www.mot.gov.cn/,2023-10-18,,,,,,,,
2023-014,光基站通信系统,300Mbps,福州光通信技术公司,2023-03-10,福州市市场监督管理局,福州光通信技术公司,是,基地台系统,光电工程师,http://www.lightengineer.com/,2023-10-18,,,,,,,,
2023-015,多模式LIFI系统,90Mbps,昆明智慧科技有限公司,2023-02-14,昆明市市场监督管理局,昆明智慧科技有限公司,是,多模式应用系统,科技资讯网,http://www.technews.cn/,2023-10-18,,,,,,,,
2023-006,未来光网F1,250Mbps,未来科技（成都）有限公司,2023-10-10,成都市市场监督管理局,未来科技（成都）有限公司,是,综合商业系统,中国科技网,https://www.cast.cn/,2023-10-18,,,,,,,,
2023-007,医院专用LIFI系统,120Mbps,医信科技有限公司,2023-09-18,北京市市场监督管理局,医信科技有限公司,是,医疗通信系统,健康时报,https://www.jksb.com.cn/,2023-10-18,,,,,,,,
2023-008,智能交通光通信系统,180Mbps,北京智慧交通科技有限公司,2023-08-30,北京市市场监督管理局,北京智慧交通科技有限公司,是,交通管理系统,中国智能交通网,http://www.chinaits.org/,2023-10-18,,,,,,,,
2023-009,LIFI教育互动系统,300Mbps,杭州未来教育技术有限公司,2023-07-25,杭州市市场监督管理局,杭州未来教育技术有限公司,是,教育互动系统,教育观察网,https://www.jiuyuexue.com/,2023-10-18,,,,,,,,
2023-010,家庭智能光通信系统,160Mbps,苏州家居科技有限公司,2023-10-02,苏州市市场监督管理局,苏州家居科技有限公司,是,家庭通信系统,家居网,http://www.homecn.com/,2023-10-18,,,,,,,,
2023-011,光基因专用通信系统,400Mbps,武汉光基因科技有限公司,2023-09-10,武汉市市场监督管理局,武汉光基因科技有限公司,是,科研通信系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-012,农业高效光通信系统,220Mbps,农业科学院光通信部,2023-08-15,北京市市场监督管理局,农业科学院光通信部,是,农业监测系统,农业科技报,http://www.agri-tech.net/,2023-10-18,,,,,,,,
2023-013,城市光网络系统,350Mbps,广州城市光网科技有限公司,2023-06-20,广州市市场监督管理局,广州城市光网科技有限公司,是,城市基础设施系统,城市规划网,http://www.urbanplannings.com/,2023-10-18,,,,,,,,
2023-014,智慧园区光通信系统,175Mbps,沈阳智慧园区建设有限公司,2023-09-05,沈阳市市场监督管理局,沈阳智慧园区建设有限公司,是,智慧园区系统,沈阳日报,http://www.shenyangnews.com/,2023-10-18,,,,,,,,
2023-015,公共场所LIFI网络,280Mbps,西安公共安全科技有限公司,2023-08-25,西安市市场监督管理局,西安公共安全科技有限公司,是,公共服务系统,公共安全网,http://www.publicsafety.org.cn/,2023-10-18,,,,,,,,
2023-006,智慧校园LIFI系统,250Mbps,北京教育科技有限公司,2023-09-10,北京市市场监督管理局,北京教育科技有限公司,是,校园通信系统,教育技术杂志,https://www.educationtechjournal.cn,2023-10-18,,,,,,,,
2023-007,工业LIFI网络系统,500Mbps,深圳南方光电有限公司,2023-08-05,深圳市市场监督管理局,深圳南方光电有限公司,是,工业通信系统,光电产业观察,https://www.lightsindustrywatch.cn,2023-10-18,,,,,,,,
2023-008,海洋探测光通信系统,75Mbps,青岛海洋技术有限公司,2023-06-25,青岛市市场监督管理局,青岛海洋技术有限公司,否,海洋通信系统,海洋与生态期刊,https://www.oceanecojournal.cn,2023-10-18,,,,,,,,
2023-009,智能交通LIFI系统,350Mbps,上海智能交通科技有限公司,2023-07-18,上海市市场监督管理局,上海智能交通科技有限公司,是,交通管理系统,交通技术发展报告,https://www.transporttechreport.cn,2023-10-18,,,,,,,,
2023-010,农业智能光通信系统,120Mbps,杭州农业高新技术有限公司,2023-05-30,杭州市市场监督管理局,杭州农业高新技术有限公司,是,农业应用系统,农业与科技观察,https://www.agriandtechwatch.cn,2023-10-18,,,,,,,,
2023-011,家庭可见光网络系统,80Mbps,成都智慧家居有限公司,2023-04-25,成都市市场监督管理局,成都智慧家居有限公司,是,家庭通信系统,家居科技趋势,https://www.homeandtechtrends.cn,2023-10-18,,,,,,,,
2023-012,智能零售LIFI系统,400Mbps,北京零售科技股份有限公司,2023-03-20,北京市市场监督管理局,北京零售科技股份有限公司,是,零售应用系统,零售行业观察,https://www.retailindustrywatch.cn,2023-10-18,,,,,,,,
2023-013,跨境电商光通信系统,600Mbps,广州跨境贸易有限公司,2023-02-15,广州市市场监督管理局,广州跨境贸易有限公司,是,电商应用系统,电商科技报告,https://www.ecommerceandtechreport.cn,2023-10-18,,,,,,,,
2023-014,智慧医疗LIFI系统,90Mbps,武汉医疗科技有限公司,2023-01-10,武汉市市场监督管理局,武汉医疗科技有限公司,是,医疗应用系统,健康科技周刊,https://www.healthandtechweekly.cn,2023-10-18,,,,,,,,
2023-015,酒店LIFI服务系统,160Mbps,厦门旅游科技有限公司,2023-02-28,厦门市市场监督管理局,厦门旅游科技有限公司,是,酒店应用系统,旅游产业趋势,https://www.tourismindustrytrend.cn,2023-10-18,,,,,,,,
2023-006,工业4.0视觉通信系统,250Mbps,成都大众光电科技有限公司,2023-10-01,成都市市场监督管理局,成都大众光电科技有限公司,是,工业应用系统,创新科技报,https://www.chuangxinkeji.com,2023-10-18,,,,,,,,
2023-007,智能医院可见光通信系统,70Mbps,武汉现代医疗科技有限公司,2023-09-20,武汉市市场监督管理局,武汉现代医疗科技有限公司,是,医疗行业系统,健康科技前沿,https://www.jiankangkeji.com,2023-10-18,,,,,,,,
2023-008,城市公共安全监测系统,500Mbps,杭州安全科技有限公司,2023-08-15,杭州市市场监督管理局,杭州安全科技有限公司,否,公共安全系统,中国网安,https://www.cnnweixian.com,2023-10-18,,,,,,,,
2023-009,无人机光通信系统,150Mbps,深圳飞越科技有限公司,2023-11-05,深圳市市场监督管理局,深圳飞越科技有限公司,是,无人机应用,科技日报,https://www.kejid.com,2023-10-18,,,,,,,,
2023-010,生态农业光通信系统,120Mbps,云南生态农业科技公司,2023-10-10,云南省市场监督管理局,云南生态农业科技公司,是,农业智能系统,农业科技网,https://www.nongyekeji.com,2023-10-18,,,,,,,,
2023-011,智能交通光通信系统,200Mbps,上海智通科技有限公司,2023-09-28,上海市市场监督管理局,上海智通科技有限公司,是,交通领域应用,交通运输部官网,http://www.mot.gov.cn,2023-10-18,,,,,,,,
2023-012,城市光网络通信系统,300Mbps,广州光通网络科技有限公司,2023-10-22,广州市市场监督管理局,广州光通网络科技有限公司,是,城市网络系统,全国光电协会,http://www.gdled.org,2023-10-18,,,,,,,,
2023-013,智能办公LIFI系统,90Mbps,重庆智远科技有限公司,2023-08-30,重庆市市场监督管理局,重庆智远科技有限公司,是,办公环境应用,OfficeTech新闻,https://www.officetechnews.com,2023-10-18,,,,,,,,
2023-014,光纤混合通信系统,400Mbps,天津华光科技有限公司,2023-11-15,天津市市场监督管理局,天津华光科技有限公司,是,综合通信系统,电子技术应用,https://www.electronapp.com,2023-10-18,,,,,,,,
2023-015,智能零售LIFI系统,130Mbps,上海新零售科技有限公司,2023-12-01,上海市市场监督管理局,上海新零售科技有限公司,是,零售行业应用,零售科技网,https://www.retailtechnews.com,2023-10-18,,,,,,,,
2023-006,商用LIFI解决方案,400Mbps,杭州网络科技有限公司,2023-10-05,浙江省市场监督管理局,杭州网络科技有限公司,是,商用通信系统,光谷信息网,https://www.guanggu.com,2023-10-18,,,,,,,,
2023-007,车载光通信系统,250Mbps,北京汽车科技股份有限公司,2023-10-12,北京市市场监督管理局,北京汽车科技股份有限公司,是,车载应用系统,汽车电子资讯,https://www.autoelectronics.com,2023-10-18,,,,,,,,
2023-008,LIFI远程医疗系统,300Mbps,上海医疗科技有限公司,2023-09-30,上海市市场监督管理局,上海医疗科技有限公司,是,医疗技术系统,医学前沿论坛,https://www.medforum.com,2023-10-18,,,,,,,,
2023-009,校园光通信系统,600Mbps,广州校园科技有限公司,2023-08-15,广州市市场监督管理局,广州校园科技有限公司,是,教育领域应用,教育科技观察,https://www.edutechwatch.com,2023-10-18,,,,,,,,
2023-010,室外LIFI网络方案,500Mbps,郑州城市互联网有限公司,2023-10-20,河南省市场监督管理局,郑州城市互联网有限公司,否,室外通信系统,城市网络周刊,https://www.citynetweekly.com,2023-10-18,,,,,,,,
2023-011,蓝牙LIFI集成系统,350Mbps,深圳创新科技有限公司,2023-09-05,深圳市市场监督管理局,深圳创新科技有限公司,是,混合通信系统,智能通讯网,https://www.smartcomms.com,2023-10-18,,,,,,,,
2023-012,LIFI家庭娱乐系统,400Mbps,武汉娱乐科技发展有限公司,2023-09-18,湖北省市场监督管理局,武汉娱乐科技发展有限公司,是,家庭娱乐系统,科技创新资源,https://www.techinnovation.com,2023-10-18,,,,,,,,
2023-013,高速光通信系统,800Mbps,西安光电科技有限公司,2023-10-01,陕西省市场监督管理局,西安光电科技有限公司,是,高频通信系统,光电时代,https://www.opticalage.com,2023-10-18,,,,,,,,
2023-014,工业自动化光通信系统,900Mbps,沈阳工业科技有限公司,2023-10-15,辽宁省市场监督管理局,沈阳工业科技有限公司,是,工业通信系统,制造业动态,https://www.manufacturingnews.com,2023-10-18,,,,,,,,
2023-015,LIFI城市交通管理系统,450Mbps,长沙城市科技有限公司,2023-09-28,湖南省市场监督管理局,长沙城市科技有限公司,否,城市管理系统,智慧城市发展论坛,https://www.smartcityforum.com,2023-10-18,,,,,,,,
2023-006,城市交通LIFI系统,250Mbps,重庆智能交通科技有限公司,2023-10-01,重庆市市场监督管理局,重庆智能交通科技有限公司,是,交通系统,智通财经,https://www.zhitongcaijing.com/,2023-10-18,,,,,,,,
2023-007,智能零售LIFI系统,180Mbps,杭州未来科技有限公司,2023-09-10,杭州市市场监督管理局,杭州未来科技有限公司,是,零售应用,电商观察,https://www.dengshanggu.com/,2023-10-18,,,,,,,,
2023-008,企业园区LIFI系统,450Mbps,武汉云联技术有限公司,2023-08-25,武汉市市场监督管理局,武汉云联技术有限公司,是,园区通信系统,中国信息产业网,http://www.cnii.com/,2023-10-18,,,,,,,,
2023-009,高频水下通信系统,70Mbps,厦门海洋科技股份有限公司,2023-07-12,厦门市市场监督管理局,厦门海洋科技股份有限公司,否,水下通信系统,水下科技论坛,http://www.underwatertechforum.com/,2023-10-18,,,,,,,,
2023-010,智慧校园LIFI方案,500Mbps,北京智慧教育科技有限公司,2023-06-30,北京市市场监督管理局,北京智慧教育科技有限公司,是,教育通信系统,教育技术新闻网,http://www.edutechnologynews.com/,2023-10-18,,,,,,,,
2023-011,工业4.0光通信系统,350Mbps,南京自动化科技有限公司,2023-05-05,南京市市场监督管理局,南京自动化科技有限公司,是,工业应用,智能制造网,http://www.intelligentmanufacturing.com/,2023-10-18,,,,,,,,
2023-012,家庭智能LIFI系统,300Mbps,成都智能家居有限公司,2023-04-15,成都市市场监督管理局,成都智能家居有限公司,是,家庭通信系统,家庭与生活网,http://www.homeandlifestyle.com/,2023-10-18,,,,,,,,
2023-013,未来智慧医疗系统,400Mbps,天津健康科技有限公司,2023-03-22,天津市市场监督管理局,天津健康科技有限公司,是,医疗应用,中国医疗网,https://www.chinamedical.com/,2023-10-18,,,,,,,,
2023-014,智能制造光计算系统,600Mbps,西安科技有限公司,2023-02-20,西安市市场监督管理局,西安科技有限公司,是,制造系统,中国制造网,http://www.chinamfg.com/,2023-10-18,,,,,,,,
2023-015,农业智能LIFI系统,240Mbps,湖南农业科技有限公司,2023-01-18,湖南省市场监督管理局,湖南农业科技有限公司,是,农业应用,农业科技网,https://www.agritech.com/,2023-10-18,,,,,,,,
2023-006,高效透光通信系统,250Mbps,杭州晨曦科技有限公司,2023-09-01,杭州市市场监督管理局,杭州晨曦科技有限公司,是,办公环境系统,科技日报,https://www.stdaily.com,2023-10-18,,,,,,,,
2023-007,城市安全监控LIFI系统,400Mbps,天津市光电科技股份有限公司,2023-08-15,天津市市场监督管理局,天津市光电科技股份有限公司,是,城市安全系统,城市科技观察,https://www.ustechwatch.com,2023-10-18,,,,,,,,
2023-008,移动教育光通信设备,350Mbps,武汉海智科技有限公司,2023-07-20,武汉市市场监督管理局,武汉海智科技有限公司,是,教育信息系统,教育部科技成果网,http://www.moe.edu.cn,2023-10-18,,,,,,,,
2023-009,农业光通信监测系统,300Mbps,重庆农业信息科技有限公司,2023-06-12,重庆市市场监督管理局,重庆农业信息科技有限公司,否,农业监测系统,中国农业发展网,http://www.caid.gov.cn,2023-10-18,,,,,,,,
2023-010,智能工业LIFI系统,450Mbps,苏州智慧科技有限公司,2023-05-30,苏州市市场监督管理局,苏州智慧科技有限公司,是,工业应用系统,工业与信息化部,http://www.miit.gov.cn,2023-10-18,,,,,,,,
2023-011,智能交通LIFI系统,500Mbps,南京智能交通科技有限公司,2023-04-25,南京市市场监督管理局,南京智能交通科技有限公司,是,交通管理系统,交通运输部,http://www.mot.gov.cn,2023-10-18,,,,,,,,
2023-012,医院可见光通信系统,350Mbps,广州医疗科技有限公司,2023-03-15,广州市市场监督管理局,广州医疗科技有限公司,是,医疗机构应用,医学科技促进中心,http://www.nhsa.gov.cn,2023-10-18,,,,,,,,
2023-013,无线家庭LIFI系统,200Mbps,沈阳家庭科技股份有限公司,2023-02-20,沈阳市市场监督管理局,沈阳家庭科技股份有限公司,否,家庭通信系统,家居科技论坛,https://www.home-techf.com,2023-10-18,,,,,,,,
2023-014,环境监控光通信系统,150Mbps,青岛环境科技有限公司,2023-01-05,青岛市市场监督管理局,青岛环境科技有限公司,是,环保监测系统,中国环境保护网,http://www.epa.gov.cn,2023-10-18,,,,,,,,
2023-015,室外光通信网络系统,600Mbps,西安光电技术有限公司,2023-10-10,西安市市场监督管理局,西安光电技术有限公司,是,户外通信系统,光通信发展研究院,http://www.ocean-light.com,2023-10-18,,,,,,,,
2023-006,车载LIFI通信系统,250Mbps,天津车联科技有限公司,2023-10-12,天津市市场监督管理局,天津车联科技有限公司,是,车载通信系统,电子商务杂志,https://www.ecommagazine.com,2023-10-18,,,,,,,,
2023-007,医疗可见光通信系统,100Mbps,上海医疗科技有限公司,2023-09-05,上海市市场监督管理局,上海医疗科技有限公司,是,医疗场景应用,医学创新期刊,https://www.medicalinnovationjournal.com,2023-10-18,,,,,,,,
2023-008,工业4.0光通信系统,400Mbps,苏州智能制造科技有限公司,2023-06-30,苏州市市场监督管理局,苏州智能制造科技有限公司,是,工业自动化系统,智能制造网,https://www.smart-manufacturing.com,2023-10-18,,,,,,,,
