OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
512,7.5,bps/Hz,1/2符号周期,175,μs,长序列,导频插入法,1.875,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,,高,nan,光纤通信技术杂志,https://www.ogtech.org/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,90,μs,伪随机序列,最小二乘估计,1.25,kHz,1,ms,1500,m,Rician衰落,每个OFDM符号,1/32,中等,动态,IEEE Transactions on Communications,https://www.ieee.org/,2024-10-16,,,
256,6.8,bps/Hz,1/8符号周期,60,μs,短序列,自适应估计,5,kHz,4,ms,600,m,AWGN,连续导频,,较低,nan,光通信学报,http://www.opticsjournal.net/,2024-10-16,,,
512,7.7,bps/Hz,1/16符号周期,160,μs,长序列,导频插入法,1,kHz,2,ms,1100,m,Rayleigh衰落,每隔2个符号,,高,固定,网络与信息直播,https://www.nwinfo.org/,2024-10-16,,,
1024,8.5,bps/Hz,1/4符号周期,50,μs,伪随机序列,信道脉冲响应,0.625,kHz,1,ms,1700,m,Nakagami衰落,每个OFDM符号,,适中,动态,数字通信标准,http://www.digicom.org/,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,110,μs,时钟同步信号,自适应估计,6.25,kHz,8.33,ms,400,m,Rician衰落,动态插入,,高,nan,国际光通信协会,https://www.ipc.org/,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,90,μs,长混合序列,自适应最小均方误差,6.25,kHz,12.8,ms,600,m,Rayleigh衰落,每隔4个符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
512,7.2,bps/Hz,1/16符号周期,180,μs,短周期序列,结构化信道估计,3.125,kHz,3.2,ms,450,m,Rician衰落,每个OFDM符号,,高,地址固定,Future Internet,https://www.mdpi.com/journal/futureinternet,2024-10-16,,,
256,6.8,bps/Hz,1/2符号周期,130,μs,伪随机信号,多路径信道估计,7.5,kHz,4,ms,700,m,AWGN,每隔2个符号,,低,地址动态,Optics Express,https://www.osapublishing.org/oe/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,250,μs,钟相同步,批量平均,1.5625,kHz,1,ms,1200,m,Nakagami衰落,每隔5个符号,,高,nan,光通信技术期刊,https://www.sciencedirect.com/journal/optical-communication,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,70,μs,精确时钟同步,非参数估计,15,kHz,16.67,ms,550,m,Rayleigh衰落,每隔3个符号,,较低,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
128,5.9,bps/Hz,1/16符号周期,220,μs,伪随机序列,卡尔曼滤波,6.25,kHz,10.24,ms,300,m,Rician衰落,每个OFDM符号,,高,地址固定,光通信协会,https://www.osa.org/,2024-10-16,,,
256,6.1,bps/Hz,1/4符号周期,100,μs,短时序列,最小均方根,3.75,kHz,4,ms,400,m,AWGN,每隔4个符号,,中等,nan,International Journal of Wireless Information Networks,https://www.springer.com/journal/10776,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,300,μs,时钟信号,快速傅里叶变换估计,1.875,kHz,2,ms,900,m,Nakagami衰落,每隔2个符号,,高,地址动态,Optical Fiber Technology,https://www.journals.elsevier.com/optical-fiber-technology,2024-10-16,,,
1024,9,bps/Hz,1/16符号周期,400,μs,全序列,综合估计,1.25,kHz,0.8,ms,1500,m,Rayleigh衰落,每隔4个符号,,极高,nan,光纤与光子技术杂志,https://www.tandfonline.com/journals/tgph20,2024-10-16,,,
64,3.5,bps/Hz,1/8符号周期,120,μs,优先级序列,正交序列,12.5,kHz,20,ms,400,m,Rayleigh衰落,每隔4个符号,,低,地址固定,IEEE论文,https://ieeexplore.ieee.org,2024-10-16,,,
128,4.2,bps/Hz,1/16符号周期,180,μs,动态帧同步,估计脉冲响应,8.5,kHz,11.76,ms,350,m,Rician衰落,每个OFDM符号,,适中,地址动态,科研电子文献,https://www.sciencedirect.com,2024-10-16,,,
256,6.5,bps/Hz,1/2符号周期,90,μs,长序列,时域反转,4.5,kHz,8,ms,800,m,AWGN,每隔2个符号,,高,nan,前沿科技期刊,https://www.frontiersin.org/journals/communications,2024-10-16,,,
512,7.2,bps/Hz,1/4符号周期,160,μs,低信噪比序列,基于导频的估计,2,kHz,2.5,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,光通信文章,https://www.optics.org,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,130,μs,频率同步,多径估计,1.5,kHz,1,ms,1500,m,Rayleigh衰落,每个OFDM符号,,中等,地址固定,电子工程师杂志,https://www.electronicsweekly.com/,2024-10-16,,,
2048,9.5,bps/Hz,1/16符号周期,200,μs,自适应序列,插值法,1,kHz,0.5,ms,2000,m,Rician衰落,每隔5个符号,1/40,高,动态,通讯研究期刊,https://www.journalofcommunications.net/,2024-10-16,,,
512,6.8,bps/Hz,1/8符号周期,220,μs,高效信号,信道状态信息,2.5,kHz,3.2,ms,900,m,AWGN,每个OFDM符号,,中等,nan,华为技术文档,https://www.huawei.com,2024-10-16,,,
1024,8.5,bps/Hz,1/4符号周期,140,μs,帧同步,最小均方估计,3.2,kHz,2,ms,1400,m,Nakagami衰落,每隔4个符号,,低,地址固定,中国电信研究院,https://www.chinacomm.com.cn,2024-10-16,,,
2048,10,bps/Hz,1/2符号周期,160,μs,长序列,自适应信道估计,0.5,kHz,0.25,ms,2500,m,Rayleigh衰落,每个OFDM符号,1/50,高,动态,光通信协会,https://www.osa.org,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,12.5,kHz,20,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,120,μs,时钟同步信号,自适应估计,6.25,kHz,7.5,ms,350,m,Rician衰落,每隔2个符号,,高,地址固定,ResearchGate,https://researchgate.net,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,50,μs,长序列,信道脉冲响应,4.5,kHz,3.5,ms,600,m,AWGN,每个OFDM符号,,较低,地址固定,SpringerLink,https://link.springer.com,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,180,μs,短序列,导频插入法,1.5,kHz,2.5,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,MDPI,https://mdpi.com,2024-10-16,,,
1024,8.2,bps/Hz,1/8符号周期,220,μs,时钟同步信号,最小二乘估计,0.7,kHz,1.25,ms,900,m,Rayleigh衰落,每个OFDM符号,1/64,高,地址固定,Elsevier ScienceDirect,https://sciencedirect.com,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,160,μs,短序列,自适应估计,8.3,kHz,12,ms,450,m,Rician衰落,每隔2个符号,,适中,nan,China Communications,https://ieeexplore.ieee.org/journal/35,2024-10-16,,,
256,6.6,bps/Hz,1/4符号周期,90,μs,伪随机序列,信道脉冲响应,3.2,kHz,5,ms,800,m,AWGN,每个OFDM符号,,较低,地址动态,国家电网公司期刊,http://www.sgcc.com.cn,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,2.5,kHz,2,ms,1500,m,Nakagami衰落,每隔4个符号,1/32,高,固定地址,Frontiers in Communications,https://frontiersin.org/journals/communications,2024-10-16,,,
1024,9,bps/Hz,1/8符号周期,110,μs,时钟同步信号,自适应估计,1.25,kHz,1,ms,1200,m,Rician衰落,每个OFDM符号,1/64,较高,地址动态,Optical Engineering,https://opticalengineering.com,2024-10-16,,,
64,3.5,bps/Hz,1/8符号周期,120,μs,改进的短序列,最小均方估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,1/32,适中,动态地址,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,250,μs,长序列,自适应估计,6,kHz,8.33,ms,400,m,Rician衰落,每隔2个符号,,高,地址动态,光通信杂志,https://www.laserfocusworld.com/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,70,μs,伪随机序列,信道脉冲响应,3.5,kHz,4,ms,800,m,AWGN,每个OFDM符号,,低,固定地址,未来网络技术论坛,https://www.futurenetworksforum.org/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,110,μs,最小长度序列,导频插入法,2,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,动态地址,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,多频段同步序列,线性插值估计,1.5,kHz,1,ms,1500,m,Rayleigh衰落,每隔2个符号,1/32,极高,动态更新,光通信前沿,https://www.frontiersin.org/,2024-10-16,,,
256,4.8,bps/Hz,1/16符号周期,80,μs,智能时域序列,贝叶斯估计,5,kHz,4,ms,400,m,AWGN,每个OFDM符号,1/64,适中,地址随机,Optics Express,https://www.osapublishing.org/oe/,2024-10-16,,,
512,6.9,bps/Hz,1/4符号周期,130,μs,自适应长序列,信道预测,2.5,kHz,1.5,ms,900,m,Rician衰落,每隔4个符号,,较高,结构化地址,光网络通信,https://www.lightingjournal.com/,2024-10-16,,,
128,4.2,bps/Hz,1/8符号周期,135,μs,伪随机序列,线性回归估计,8,kHz,10,ms,300,m,AWGN,每隔2个符号,,低,指定地址,高能物理期刊,https://www.journals.aps.org/prd/,2024-10-16,,,
1024,9,bps/Hz,1/2符号周期,200,μs,全长长序列,加权估计,1,kHz,1,ms,2000,m,Nakagami衰落,每隔1个符号,,极高,随机生成,Optoelectronics News,https://www.optoelectronics.org/,2024-10-16,,,
64,3.5,bps/Hz,1/8符号周期,120,μs,伪随机编码,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每隔2个符号,,适中,固定地址,清华大学,http://www.tsinghua.edu.cn,2024-10-16,,,
128,6,bps/Hz,1/16符号周期,180,μs,长序列,信道脉冲响应,7.5,kHz,8.33,ms,350,m,Rician衰落,每个OFDM符号,,高,动态地址,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
256,5.5,bps/Hz,1/4符号周期,60,μs,短序列,自适应估计,4,kHz,4,ms,800,m,AWGN,每隔3个符号,1/32,较低,无,光纤通信网,https://www.ofcconference.org/en-us/home/,2024-10-16,,,
512,8,bps/Hz,1/2符号周期,135,μs,长序列,导频插入法,2.5,kHz,2,ms,900,m,Nakagami衰落,每隔4个符号,1/64,高,动态,科学网,https://www.sciencenet.cn,2024-10-16,,,
1024,7.2,bps/Hz,1/8符号周期,110,μs,伪随机序列,最小二乘估计,3.125,kHz,1.033,ms,1200,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,电子科技大学,https://www.uestc.edu.cn/,2024-10-16,,,
2048,9,bps/Hz,1/16符号周期,200,μs,动态序列,信道脉冲响应,1.25,kHz,0.488,ms,1500,m,Rician衰落,每隔5个符号,1/32,高,动态,中国通讯学会,http://www.cie-info.com/,2024-10-16,,,
16,2,bps/Hz,1/8符号周期,80,μs,静态序列,静态估计,30,kHz,62.5,ms,250,m,AWGN,每无插入,,较低,无,高科技研究所,https://www.hitec.org/,2024-10-16,,,
512,6,bps/Hz,1/16符号周期,130,μs,长序列,导频插入法,1.5,kHz,1.667,ms,950,m,Nakagami衰落,每隔2个符号,,高,动态,光通信技术,https://www.light-communication.net/,2024-10-16,,,
1024,8.5,bps/Hz,1/2符号周期,140,μs,动态序列,自适应估计,2,kHz,2,ms,1100,m,Rician衰落,每个OFDM符号,,适中,固定地址,网络和信息安全杂志,https://www.networksecuritymag.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,复杂伪随机序列,最小均方误差,14.4,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,120,,多路径信号,时变信道估计,7.5,kHz,8.33,ms,400,m,Rician衰落,每隔3个符号,,高,地址动态,光通信学报,https://www.jos.ac.cn,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,70,μs,短脉冲序列,导频插入估计,3.6,kHz,4,ms,550,m,AWGN,每个OFDM符号,,中等,地址动态,光学工程,https://www.osapublishing.org/oe,2024-10-16,,,
512,7.1,bps/Hz,1/2符号周期,200,μs,长序列,贝叶斯估计,1.875,kHz,2,ms,900,m,Nakagami衰落,每隔5个符号,1/32,高,地址固定,中国通信学会,http://www.cwca.org.cn,2024-10-16,,,
1024,8,bps/Hz,1/16符号周期,300,μs,频率同步信号,动态信道测量,1.25,kHz,1,ms,1200,m,Log-Normal衰落,每个第10个符号,1/64,适中,nan,通信技术杂志,https://www.comtech.org.cn,2024-10-16,,,
2048,9.5,bps/Hz,1/4符号周期,220,μs,伪随机二进制序列,求解Q-Learning,0.625,kHz,0.5,ms,1500,m,多径衰落,每隔2个符号,,中等,地址固定,科学技术与工程,https://www.ste.com.cn,2024-10-16,,,
512,6.3,bps/Hz,1/8符号周期,180,μs,短伪随机序列,导频分集,2.5,kHz,2,ms,650,m,Rayleigh衰落,每隔4个符号,1/32,高,nan,光通信技术,https://www.opto.com,2024-10-16,,,
128,5.8,bps/Hz,1/12符号周期,130,μs,时钟同步信号,最小二乘法,6.25,kHz,8,ms,350,m,Rician衰落,每个OFDM符号,,较低,地址动态,通信科学与技术,https://www.cst.org,2024-10-16,,,
256,7.4,bps/Hz,1/8符号周期,90,μs,长序列周期,无导频EST,3.125,kHz,4,ms,800,m,IWGN,每隔3个符号,1/32,较高,地址固定,现代通信,https://www.moderncomms.org,2024-10-16,,,
128,4.5,bps/Hz,1/8符号周期,75,μs,周期序列,最小二乘估计,12.5,kHz,8,ms,400,m,Rayleigh衰落,每隔4个符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
64,5,bps/Hz,1/16符号周期,100,μs,长短混合序列,自适应估计,20,kHz,16,ms,600,m,Rician衰落,每个OFDM符号,1/32,高,地址固定,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
512,6.5,bps/Hz,1/4符号周期,120,μs,伪随机序列,导频插入法,2,kHz,2.5,ms,800,m,AWGN,每隔2个符号,,较低,地址动态,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
256,7,bps/Hz,1/2符号周期,60,μs,长序列,信道脉冲响应,5,kHz,4,ms,550,m,Nakagami衰落,每隔3个符号,1/64,高,nan,SpringerLink,https://link.springer.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,145,μs,长短混合序列,自适应估计,1.5,kHz,1,ms,1200,m,Rician衰落,每个OFDM符号,1/32,适中,地址固定,arXiv,https://arxiv.org/,2024-10-16,,,
512,7.5,bps/Hz,1/16符号周期,85,μs,时钟同步信号,最小二乘估计,2.5,kHz,2,ms,700,m,AWGN,每隔5个符号,,较低,地址动态,MDPI,https://www.mdpi.com/,2024-10-16,,,
128,4.2,bps/Hz,1/8符号周期,110,μs,伪随机序列,导频插入法,15,kHz,6.67,ms,350,m,Rician衰落,每隔5个符号,,高,地址固定,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
1024,8.5,bps/Hz,1/4符号周期,130,μs,短序列,自适应估计,1,kHz,1.25,ms,950,m,AWGN,每个OFDM符号,1/32,适中,nan,Elsevier,https://www.elsevier.com/,2024-10-16,,,
256,6,bps/Hz,1/2符号周期,95,μs,长序列,信道脉冲响应,3,kHz,3.33,ms,620,m,Nakagami衰落,每隔3个符号,,高,地址动态,NIST,https://www.nist.gov/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15.625,kHz,16,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,动态,中国电信,https://www.chinatelecom.com.cn/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,175,μs,时钟同步信号,信道脉冲响应,7.2,kHz,8,ms,350,m,Rician衰落,每隔4个符号,,高,地址固定,中国科学院,http://www.cas.cn/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,80,μs,短序列,自适应估计,3,kHz,4,ms,600,m,AWGN,每个OFDM符号,,较低,动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,1.5,kHz,2,ms,1000,m,Nakagami衰落,每隔3个符号,1/32,高,地址固定,光通信网,https://www.optical-network.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,伪随机序列,最小二乘估计,1,kHz,1,ms,1200,m,Rayleigh衰落,每个OFDM符号,1/64,较低,动态,未来通信,http://www.futurecomm.org/,2024-10-16,,,
128,5.8,bps/Hz,1/16符号周期,110,μs,短序列,自适应估计,7.5,kHz,8.66,ms,500,m,Rician衰落,每隔2个符号,,高,固定,光通信研究中心,http://www.optical-research-cn.org/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,70,μs,长序列,信道脉冲响应,4,kHz,4,ms,800,m,AWGN,每隔2个符号,,适中,动态,技术前沿,https://www.techfrontier.com/,2024-10-16,,,
512,7,bps/Hz,1/2符号周期,140,μs,时钟同步信号,导频插入法,1.75,kHz,2,ms,1500,m,Nakagami衰落,每个OFDM符号,1/32,高,地址固定,学术期刊,https://www.journal.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,130,μs,伪随机序列,最小二乘估计,0.8,kHz,1.2,ms,950,m,Rayleigh衰落,每隔4个符号,,较低,动态,行业报告,https://www.industryreport.com/,2024-10-16,,,
128,5.3,bps/Hz,1/16符号周期,160,μs,长序列,信道脉冲响应,6,kHz,8.33,ms,400,m,Rician衰落,每个OFDM符号,,适中,地址固定,中国工程院,http://www.cae.cn/,2024-10-16,,,
64,4.5,bps/Hz,1/16符号周期,120,μs,改进型长序列,常规估计,12.5,kHz,16,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,140,μs,随机异步序列,压缩估计法,8,kHz,8,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,Nikkei Technology,https://tech.nikkei.com,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,55,μs,特殊设计序列,遗传算法估计,5,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,ResearchGate,https://www.researchgate.net,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,自适应长序列,基于小波变换的估计,1.5,kHz,2,ms,1200,m,Nakagami衰落,每隔4个符号,1/32,高,nan,ScienceDirect,https://www.sciencedirect.com,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,220,μs,统计序列,分层估计,10,kHz,8,ms,250,m,经济城市环境,每个OFDM符号,,适中,地址动态,SpringerLink,https://link.springer.com,2024-10-16,,,
1024,8.1,bps/Hz,1/8符号周期,130,μs,高频短序列,基于深度学习的估计,2,kHz,1,ms,1500,m,多径衰落,每个OFDM符号,,较高,地址固定,ITU Publications,https://www.itu.int/en/publications,2024-10-16,,,
64,4.8,bps/Hz,1/32符号周期,90,μs,广泛使用的伪随机序列,最大似然估计,15,kHz,16.67,ms,550,m,双曲衰落,每隔2个符号,,适中,nan,International Journal of Electronics,https://www.tandfonline.com/journals/tiel20,2024-10-16,,,
256,6.9,bps/Hz,1/4符号周期,75,μs,动态自适应序列,时序回归估计,4,kHz,5,ms,700,m,高频无线环境,每隔3个符号,1/32,高,动态,MDPI Journals,https://www.mdpi.com,2024-10-16,,,
512,8,bps/Hz,1/16符号周期,185,μs,长序列,群智能估计,2.5,kHz,2,ms,1600,m,极限环境,每个OFDM符号,,高,地址固定,Journal of Communications and Networks,https://jcn.or.kr,2024-10-16,,,
1024,9.2,bps/Hz,1/8符号周期,110,μs,基于频谱分析的序列,在线学习估计,1,kHz,1,ms,2000,m,灵活配置,动态,,较高,地址动态,Wiley Online Library,https://onlinelibrary.wiley.com,2024-10-16,,,
64,3,bps/Hz,1/8符号周期,80,μs,伪随机序列,信道脉冲响应,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,120,μs,时钟同步信号,最小二乘估计,8,kHz,10,ms,250,m,Rician衰落,每隔4个符号,,高,地址动态,光电信息期刊,https://www.journalofoptoelectronics.com/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,90,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,1/32,较低,nan,China Communications Magazine,https://www.ccmagazine.cn/,2024-10-16,,,
512,8,bps/Hz,1/8符号周期,160,μs,长序列,导频插入法,1.25,kHz,2,ms,1100,m,Nakagami衰落,每隔2个符号,1/64,高,nan,光通信技术杂志,https://www.gjlw.org/,2024-10-16,,,
1024,9,bps/Hz,1/16符号周期,110,μs,混合序列,频域估计,0.625,kHz,1,ms,1500,m,Rician衰落,每个OFDM符号,1/256,适中,地址动态,Future Networks Journal,https://www.futurenetworksjournal.com/,2024-10-16,,,
256,7.5,bps/Hz,1/4符号周期,65,μs,伪随机序列,最小二乘估计,5.625,kHz,4.5,ms,900,m,AWGN,每隔4个符号,,较低,nan,Optical Fiber Technology,https://www.journalofopticalfiberscience.com/,2024-10-16,,,
128,4.5,bps/Hz,1/8符号周期,105,μs,同步噪声信号,自适应估计,10,kHz,8,ms,400,m,Rayleigh衰落,每隔3个符号,1/64,高,地址固定,光电工程期刊,https://www.journalofoptelectronics.org/,2024-10-16,,,
1024,10,bps/Hz,1/16符号周期,175,μs,长序列,导频插入法,0.5,kHz,1.02,ms,1700,m,Nakagami衰落,每个OFDM符号,,适中,nan,Journal of Telecommunications,https://www.jtjournal.com/,2024-10-16,,,
256,6.7,bps/Hz,1/4符号周期,130,μs,短序列,频域估计,4,kHz,5,ms,500,m,AWGN,每隔5个符号,1/32,较低,nan,International Journal of Optics,https://www.ijopejournal.com/,2024-10-16,,,
128,4.5,bps/Hz,1/4符号周期,120,μs,伪随机序列,最小二乘估计,10,kHz,10,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
64,3.8,bps/Hz,1/8符号周期,100,μs,时钟同步信号,自适应估计,15,kHz,16.67,ms,500,m,Rician衰落,每隔2个符号,,较高,nan,研究数据中心,https://www.researchgate.net,2024-10-16,,,
512,8,bps/Hz,1/2符号周期,180,μs,长序列,频域估计,2.5,kHz,3.33,ms,850,m,AWGN,每个OFDM符号,1/32,高,地址固定,光通信技术杂志,https://www.opticsinfobase.org/journal/,2024-10-16,,,
256,5.5,bps/Hz,1/16符号周期,220,μs,短序列,导频插入法,7.5,kHz,4,ms,450,m,Nakagami衰落,每隔3个符号,/24,适中,动态地址,国内科技论文库,https://www.cnki.net,2024-10-16,,,
1024,9.5,bps/Hz,1/4符号周期,160,μs,伪随机序列,自适应估计,1.25,kHz,1,ms,1200,m,Rician衰落,每个OFDM符号,1/64,较低,地址固定,中国通信学会,https://www.coc.com.cn,2024-10-16,,,
64,3.2,bps/Hz,1/8符号周期,90,μs,定时同步信号,最小二乘估计,12.5,kHz,8,ms,300,m,AWGN,每隔2个符号,,高,nan,光通信展会报告,https://www.lightcom.com,2024-10-16,,,
