试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
大规模可见光通信网络实验,20240206,城市光通信网络,城市应用,完成,第三阶段,系统集成,香港科技大学,香港科技大学实验室,2024-01-30,2024-02-05,2024-09-30,2024-10-10,项目申请,香港光电科技有限公司,项目数据,中国,香港科技大学官网,https://www.ust.hk/,2024-10-17,,,,,
新一代光计算平台开发,20240207,光计算与存储系统,应用研究,进行中,第一阶段,技术开发,西安交通大学,西安交通大学光电研究所,2024-03-01,2024-03-10,2024-12-20,2024-10-10,技术申请,西交光电科技公司,官方报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
未来可见光通信的应用场景研究,20240208,下一代VLC平台,战略研究,进行中,第一阶段,市场研究,北京理工大学,北京理工大学前沿科技研究中心,2024-02-28,2024-03-15,2024-09-15,2024-10-10,前期申请,北京光电技术公司,市场数据分析,中国,北京理工大学官网,https://www.bit.edu.cn/,2024-10-17,,,,,
城市光通信的可扩展性研究,20240209,光网络扩展平台,系统开发,完成,第二阶段,系统测试,南京大学,南京大学光电实验室,2024-03-10,2024-03-20,2024-11-30,2024-10-10,技术改进,南京光电科技有限公司,实验室成果,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
下一代光计算技术探索,20240104,超高速光计算平台,基础研究,完成,第一阶段,理论研究,华中科技大学,华中科技大学光电子研究所,2024-01-15,2024-01-20,2024-02-20,2024-02-21,新申请,华中科技有限公司,研究论文,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
智能交通系统中的可见光通信,20240105,智能交通光网络,应用研究,进行中,第二阶段,项目开发,东南大学,东南大学智能交通研究中心,2024-01-12,2024-01-25,待定,2024-10-12,改进申请,东南电子科技公司,项目数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
量子光计算性能分析,20240106,量子光计算平台,基础研究,准备中,第一阶段,理论研究,复旦大学,复旦大学量子科技研究院,2024-02-01,待定,待定,待定,初步申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于可见光的医疗应用探究,20240107,医疗光通信系统,应用开发,进行中,第一阶段,临床研究,中南大学,中南大学医学部,2024-02-05,2024-02-15,待定,2024-10-10,新技术,中南光电公司,项目报告,中国,中南大学官网,https://www.csu.edu.cn/,2024-10-17,,,,,
多用途可见光通信实验,20240108,多功能VLC系统,综合研究,完成,第三阶段,技术验证,西安交通大学,西安交通大学光通信实验室,2024-01-20,2024-01-25,2024-03-01,2024-03-02,新申请,西安科技有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光在无线网络中的应用,20240109,无线可见光网络系统,研究探索,进行中,第二阶段,技术开发,南方科技大学,南方科技大学信息学院,2024-02-12,2024-02-20,待定,2024-10-08,新项目,南方科技公司,项目报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
面向环保的可见光通信研究,20240110,环保光通信系统,应用研究,准备中,第一阶段,可行性分析,重庆大学,重庆大学环保研究所,2024-03-01,待定,待定,待定,新申请,重庆光电科技有限公司,研究报告,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
智能家居中的光计算技术,20240111,智能家居光网络,系统集成,进行中,第二阶段,系统测试,浙江大学,浙江大学智能家居研究中心,2024-03-05,2024-03-10,待定,2024-10-11,技术开发,浙江科技公司,分析报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
无线电与可见光融合实验,20240112,融合无线网络系统,系统集成,准备中,第一阶段,系统开发,兰州大学,兰州大学信息工程学院,2024-03-10,待定,待定,待定,初步申请,兰州光电有限公司,实验室数据,中国,兰州大学官网,https://www.lzu.edu.cn/,2024-10-17,,,,,
多模态可见光通信系统开发,20240104,多模态VLC系统,实验室测试,进行中,第一阶段,基础研究,浙江大学,浙江大学光电实验室,2024-01-15,2024-01-20,2024-03-01,2024-03-02,新申请,浙江科技公司,实验室专报,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信与人工智能融合实验,20240105,AI-VLC平台,系统集成,完成,第二阶段,应用开发,华中科技大学,华中科技大学智能实验室,2024-01-12,2024-01-18,2024-03-15,2024-03-16,技术改进,华中科技有限公司,项目开发文档,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光计算在数据存储的应用研究,20240106,光存储系统,应用研究,准备中,第一阶段,技术研究,南开大学,南开大学光电研究所,2024-01-20,待定,待定,待定,初步申请,南开科技有限公司,初步研究数据,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
基于VLC的智能家居通信系统构建,20240107,智能家居VLC系统,产品测试,进行中,第一阶段,产品研发,哈尔滨工业大学,哈工大智能实验室,2024-01-25,2024-02-01,2024-04-10,2024-04-11,新技术,新光科技有限公司,实验室报告,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光通信在车联网中的应用探索,20240108,车联网VLC系统,应用研究,完成,第二阶段,系统测试,西安电子科技大学,西安电科研究院,2024-02-01,2024-02-05,2024-03-20,2024-03-21,技术改进,西电智能科技有限公司,现场实验数据,中国,西安电子科技大学官网,https://www.xdy.edu.cn/,2024-10-17,,,,,
面向未来的光计算理论研究,20240109,前沿光计算系统,基础研究,进行中,第三阶段,理论研究,复旦大学,复旦大学数学与软件学院,2024-02-10,2024-02-15,2025-01-01,2024-10-01,新技术,复旦光电科技有限公司,理论文献,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于VLC的室内定位系统开发,20240110,室内定位VLC系统,应用开发,完成,第一阶段,产品测试,南京大学,南京大学光电技术中心,2024-02-20,2024-02-25,2024-03-30,2024-04-01,新申请,南京高科技有限公司,实验数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
可见光通信在环境监测中的应用研究,20240111,环境监测VLC系统,系统集成,准备中,第一阶段,基础研究,武汉大学,武汉大学环境科学研究所,2024-02-28,待定,待定,待定,初步申请,武汉光电有限公司,研究提案,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
城市可见光通信网络优化测试,20240104,城市通信优化系统,实用研究,进行中,第二阶段,应用开发,复旦大学,复旦大学信息学院,2024-01-12,2024-01-20,待定,2024-10-05,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
LED线路性能分析,20240105,高效LED通信系统,技术研究,完成,第一阶段,基础研究,南方科技大学,南方科技大学利雅德实验室,2024-01-15,2024-01-25,2024-02-25,2024-10-06,新技术,南方半导体有限公司,项目报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
可见光网络安全性研究,20240106,光网络安全防护系统,应用开发,进行中,第三阶段,系统测试,华中科技大学,华中科技大学网络中心,2024-01-18,2024-02-01,待定,2024-10-07,改进申请,华中光电公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于光通信的智能家居系统测试,20240107,智能家居光网络,应用研究,进行中,第一阶段,产品测试,浙江大学,浙江大学智能实验室,2024-01-20,2024-02-05,待定,2024-10-08,创新申请,浙江光子科技有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信在交通系统中的应用研究,20240108,交通可视通信系统,技术研究,完成,第一阶段,基础研究,西安交通大学,西安交通大学交通研究所,2024-01-22,2024-02-10,2024-03-10,2024-10-09,新申请,西安智能交通有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
基于光计算的医疗成像系统开发,20240109,医疗光成像系统,系统集成,准备中,第一阶段,技术研究,中南大学,中南大学医疗器械研究中心,2024-01-25,待定,待定,待定,初步申请,中南光电有限公司,实验室数据,中国,中南大学官网,https://www.csu.edu.cn/,2024-10-17,,,,,
可见光数据传输速率优化研究,20240110,光速数据传输系统,科研项目,完成,第二阶段,技术开发,哈尔滨工业大学,哈尔滨工业大学通信研究所,2024-01-28,2024-02-15,2024-03-20,2024-10-10,技术改进,哈尔滨光电科技有限公司,项目报告,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算可扩展性分析实验,20240111,光计算扩展系统,系统集成,进行中,第一阶段,基础研究,南京理工大学,南京理工大学光电中心,2024-01-30,待定,待定,待定,新申请,南京光电科技有限公司,实验室数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
可见光传输延迟测试,20240104,高效VLC系统,系统集成,进行中,第一阶段,基础研究,深圳大学,深圳大学光电实验室,2024-01-12,2024-01-20,2024-05-20,2024-10-15,新申请,深圳光电科技有限公司,实验室数据,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
多用户光计算实验,20240105,分布式光计算平台,应用研究,准备中,第二阶段,系统测试,华中科技大学,华中科技大学光电技术研究中心,2024-02-15,待定,待定,2024-10-12,初步申请,华中光电公司,最新科研文献,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
室外可见光通信可靠性测试,20240106,可见光无线网络,系统集成,完成,第三阶段,应用开发,浙江大学,浙江大学电气与自动化学院,2024-02-05,2024-02-15,2024-03-30,2024-10-20,成果申请,浙江光网有限公司,公司内部数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光网络抗干扰实验,20240107,抗干扰通信系统,基础研究,进行中,第一阶段,技术研究,东南大学,东南大学光通信实验室,2024-01-25,2024-02-01,2024-08-01,2024-10-10,新技术,东南技术有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
全光网络系统开发,20240108,全光互联通信平台,应用研究,完成,第二阶段,产品开发,南京邮电大学,南京邮电大学网络与通信学院,2024-03-01,2024-03-10,2024-11-10,2024-10-09,技术改进,南京光电丝袜有限公司,项目数据,中国,南京邮电大学官网,https://www.njupt.edu.cn/,2024-10-17,,,,,
智能家居光网络实验,20240109,智能家居可见光网络,系统集成,进行中,第一阶段,用户测试,重庆大学,重庆大学智能系统研究所,2024-02-28,待定,2024-12-31,2024-10-11,创新申请,重庆光纤科技有限公司,用户反馈,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
可见光通信数据分析,20240110,数据处理平台,基础研究,准备中,第二阶段,数据分析,吉林大学,吉林大学电子信息学院,2024-03-15,待定,待定,2024-10-13,研究申请,吉林光电科技,科研成果,中国,吉林大学官网,https://www.jlu.edu.cn/,2024-10-17,,,,,
车载光通信系统测试,20240111,车载VLC系统,应用研究,进行中,三期,产品测试,哈尔滨工业大学,哈尔滨工业大学信息与通信工程学院,2024-04-10,2024-04-15,2024-12-15,2024-10-10,新技术申请,哈尔滨智能科技有限公司,实际应用数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
智能照明可见光通信优化研究,20240104,智能照明系统,应用研究,进行中,第一阶段,技术测试,东南大学,东南大学光电研究中心,2024-01-12,2024-01-20,2024-06-30,2024-10-10,新申请,光灵科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于VLC的实时数据传输实验,20240105,VLC实时数据传输系统,系统集成,完成,第二阶段,研究开发,哈尔滨工业大学,哈尔滨工业大学电气学院,2024-02-01,2024-02-10,2024-05-15,2024-05-16,技术开发,北方光电有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算智能算法优化实验,20240106,光计算智能平台,算法研究,进行中,第三阶段,基础研究,中国科学院,中国科学院光电技术研究所,2024-01-15,2024-02-01,2024-12-31,2024-10-12,新技术申请,光电智能科技有限公司,项目报告,中国,中国科学院官网,https://www.cas.cn/,2024-10-17,,,,,
超高效光计算系统开发,20240107,超高效光计算平台,产品开发,完成,第二阶段,产品测试,西安电子科技大学,西安电子科技大学实验室,2024-01-20,2024-02-01,2024-08-31,2024-09-01,技术改进,西安智能科技有限公司,实验室数据,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
城市照明中VLC技术应用,20240108,城市照明VLC系统,应用研究,进行中,第一阶段,技术测试,华中科技大学,华中科技大学光电技术中心,2024-01-25,2024-02-15,2025-01-15,2024-10-11,新申请,中部科技有限公司,现场实验,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
VLC与5G网络集成研究,20240109,VLC-5G融合平台,系统集成,完成,第三阶段,应用开发,南京邮电大学,南京邮电大学网络研究院,2024-02-05,2024-03-01,2024-10-01,2024-10-02,技术改进,南京通信科技有限公司,项目数据,中国,南京邮电大学官网,https://www.njupt.edu.cn/,2024-10-17,,,,,
空间光通信研究,20240110,空间光通信系统,基础研究,进行中,第一阶段,技术探索,中山大学,中山大学光子实验室,2024-02-10,2024-03-15,2025-05-10,2024-10-05,新技术,粤光科技有限公司,实验室数据,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
多元化可见光通信应用实验,20240111,多元可见光应用平台,系统测试,完成,第三阶段,应用开发,苏州大学,苏州大学光电实验室,2024-02-15,2024-03-10,2024-09-10,2024-09-11,项目申请,苏州电子科技有限公司,实验室数据,中国,苏州大学官网,https://www.suda.edu.cn/,2024-10-17,,,,,
新型可见光通信网络性能评估,20240104,VLC网络评估系统,实验室测试,完成,第二阶段,技术评估,中山大学,中山大学光通信实验室,2024-01-12,2024-01-20,2024-03-01,2024-03-02,新申请,中山科技有限公司,实验室数据,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
光计算加速器开发与测试,20240105,光计算加速平台,应用研究,进行中,第一阶段,应用开发,华南理工大学,华南理工大学光电研究所,2024-02-01,2024-02-05,待定,2024-10-12,新项目,华南光电技术公司,项目报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
可见光通信在智能交通中的应用研究,20240106,智能交通VLC系统,科技开发,进行中,第三阶段,技术研究,南京理工大学,南京理工大学智能系统研究中心,2024-02-10,2024-02-15,2024-12-15,2024-10-10,技术创新,南京交通科技有限公司,项目数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
基于光计算的AI系统实验,20240107,光计算AI平台,系统集成,准备中,第一阶段,基础研究,浙江大学,浙江大学人工智能研究中心,2024-03-01,待定,待定,待定,初步申请,浙江光电技术公司,实验室报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
次世代可见光通信模块开发,20240108,VLC模块开发系统,产品开发,完成,第二阶段,产品测试,天津大学,天津大学电子科学与技术学院,2024-03-05,2024-03-10,2024-04-15,2024-04-20,技术开发,天津光电科技有限公司,项目报告,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
光计算在大数据分析中的应用研究,20240109,大数据光计算平台,应用研究,正在进行,第一阶段,应用开发,哈尔滨工业大学,哈尔滨工业大学计算机科学与技术学院,2024-03-11,2024-03-20,2025-01-01,2024-10-11,技术创新,哈尔滨光电科技有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
基于光传输的量子计算实验,20240110,量子光计算实验平台,基础研究,完成,第二阶段,技术探索,西安交通大学,西安交通大学量子科学研究所,2024-01-15,2024-01-20,2024-05-01,2024-05-02,新研究,西安光电技术有限公司,实验室报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光通信在云计算中的应用探索,20240111,云计算VLC系统,应用实验,准备中,第一阶段,技术探索,武汉大学,武汉大学电子信息学院,2024-03-20,待定,待定,待定,初步申请,武汉信息科技有限公司,项目提案,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
新型可见光通信方案开发,20240104,先进可见光通信系统,商业应用,进行中,第一阶段,技术研发,华南理工大学,华南理工大学工程实验室,2024-01-02,2024-01-15,2024-12-15,2024-10-05,新申请,广州光电子公司,项目报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
可见光控制通信实验,20240105,VLC控制系统,智能控制,确认中,初步阶段,基础研究,西安交通大学,西安交通大学光通信实验室,2024-01-03,2024-02-01,2024-08-01,2024-10-04,创新申请,西安光电科技有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
多通道光计算系统测试,20240106,多通道光计算平台,集成系统,准备中,第三阶段,系统集成,哈尔滨工业大学,哈尔滨工业大学计算机系,2024-01-04,2024-05-01,2024-11-30,2024-10-03,开发申请,黑龙江光电技术有限公司,项目数据,中国,哈尔滨工业大学官网,https://www.hjtu.edu.cn/,2024-10-17,,,,,
智慧城市可见光通信研究,20240107,智慧城市可见光平台,城市应用,正在进行,第一阶段,应用研究,浙江大学,浙江大学智慧城市实验室,2024-01-06,2024-01-20,2025-01-20,2024-10-01,新申请,杭州科技公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
智能交通系统可见光实验,20240108,智能交通解决方案,交通系统,进行中,第二阶段,技术研发,东南大学,东南大学智能交通实验室,2024-01-07,2024-02-10,2025-01-10,2024-10-02,新技术,南京交通科技有限公司,项目研究,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
图像传输的可见光通信研究,20240109,图像VLC平台,图像处理,完成,最终阶段,实验验证,北京邮电大学,北京邮电大学视觉科学实验室,2024-01-08,2024-01-25,2024-06-01,2024-10-01,技术申请,北京图像科技有限公司,实验室研究,中国,北京邮电大学官网,https://www.bupt.edu.cn/,2024-10-17,,,,,
未来光网络实验研究,20240110,下一代光网络平台,系统开发,进行中,研究阶段,系统验证,南京理工大学,南京理工大学网络实验室,2024-01-09,2024-03-01,2025-02-01,2024-09-30,改进申请,南京通信设备公司,项目后期分析,中国,南京理工大学官网,https://www.njtech.edu.cn/,2024-10-17,,,,,
光周期算术研究,20240111,光电算术处理系统,计算研究,完成,最终阶段,基础研究,上海大学,上海大学光计算实验室,2024-01-10,2024-02-15,2024-06-15,2024-09-28,新技术,上海光电有限公司,实验研究,中国,上海大学官网,https://www.shu.edu.cn/,2024-10-17,,,,,
