可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
SmartLi-Fi,智能光通信,高效数据传输,教育机构、企业,无缝集成,商业化应用,全面覆盖Wi-Fi,可调光LED网络,校园网络、公共设施,产学研合作,信息技术,华中科技大学,SmartLi-Fi系统融合可见光通信和Wi-Fi，提供高速度的网络连接，专注于教育和办公场所。,科技日报,https://www.stdaily.com/,2024-10-16,,,,
VLC医疗系统,医疗通信,数据安全传输,医院、诊所,独立设备,初步部署,提高数据传输安全性,光信号加密,医疗数据管理,学术与行业合作,医疗信息技术,复旦大学,VLC医疗系统利用可见光传输患者数据，确保数据加密和隐私，适用于医院环境。,健康科技网,https://www.healthtech.cn/,2024-10-16,,,,
光联接家庭网络,家居通信,家庭上网,家庭用户,软件集成,产品测试,家庭网络高速化,局域网光信号传输,智能家居,与家电厂商合作,家电与通信,中兴通信,光联接家庭网络系统通过光信号连接各类智能设备，增进家庭内的网络速度和稳定性。,电子产品世界,https://www.eepw.com.cn/,2024-10-16,,,,
CityVLC,城市网络,公共网络接入,城市居民,基础设施集成,试点实施,城市覆盖率扩大,路灯数据传输,城市基础设施,政府与科研机构合作,城市通信,清华大学星光实验室,CityVLC系统致力于通过城市路灯实现免费公共网络，为城市居民提供便利的上网体验。,城市发展网,https://www.chinacity.gov.cn/,2024-10-16,,,,
光考平台,在线教育,考试和评估,学生、机构,在线平台,运营中,提高考试效率,实时光信号传输,在线教育评估,教育科技公司合作,在线教育,清华大学教育技术系,光考平台利用光信号进行数据传输，提高了在线考试的速度与安全性。,教育部,https://www.moe.gov.cn/,2024-10-16,,,,
光智能车联网,车联网,交通智能化,车辆生产商,综合系统,原型研发,提高交通安全,车对车光信号通信,智能交通系统,汽车制造商合作,汽车行业,北汽集团,光智能车联网系统通过可见光信号实现同车通信，降低交通事故率，提升道路安全性。,汽车电子商,https://www.autoelec.com.cn/,2024-10-16,,,,
VLC智能灯光系统,智能照明,能效管理,商业建筑,智能硬件,市场验证,减少能耗,光信号调节,Lighting,建筑设计公司合作,建筑与设计,地产公司,VLC智能灯光系统通过调节LED灯光的亮度实现能效管理，适用于商业建筑，提高节能效果。,建筑科技网,https://www.buildtech.com.cn/,2024-10-16,,,,
光纤VLC系统,光纤技术,长距离传输,通信公司,光纤集成,研发阶段,增强信号强度,光纤支撑的VLC传输,数据中心连接,通信业合作,通信行业,光电技术研究所,光纤VLC系统结合光纤和可见光传输技术，致力于解决长距离数据传输中的信号衰减问题。,通信世界,https://www.cnsw.net/,2024-10-16,,,,
光感知视频传输系统,视频传输,视频监控,安防公司,系统集成,市场应用,增强视频传输稳定性,基于光的高速视频传输,安防与监控,安防房地产合作,安防行业,安防科技公司,光感知视频传输系统实现了在复杂场景下的稳定视频传输，适用于安防监控领域。,安防技术网,https://www.securitytech.com.cn/,2024-10-16,,,,
VLC-Connect,智能通信系统,数据传输,家庭用户,硬件集成,商业化产品,无缝连接,高级调制技术,家庭网络,商业合作,智能家居,量子通信科技公司,VLC-Connect是一种用于家庭环境的智能通信系统，通过LED灯提供高速数据连接，实现智能设备之间的无缝互联。,智能家居官网,https://www.smart-home.com,2024-10-16,,,,
光课堂,教育工具,远程教育,大学生、教师,软件平台,实施阶段,提高学习效率,实时光信号传输,在线教学,学术合作,教育科技,教育部科技司,光课堂利用可见光通信技术，提供高速、稳定的在线课堂体验，适合于大规模远程教学。,教育科技研究,https://www.edutech-research.org,2024-10-16,,,,
VLC进行室内定位,定位技术,室内导航,商场顾客,硬件配置,商用实现,精准定位,信号接收与测距,商业空间,企业合作,服务行业,华为技术有限公司,该系统使用LED灯进行室内定位，实时提供导航服务，极大提升了顾客在大型商场的购物体验。,华为官网,https://www.huawei.com,2024-10-16,,,,
室外VLC通信系统,无线通信,数据传输,城市用户,户外设备,试验阶段,拓展通信范围,通信模块设计,城市基础设施,地区合作,城市通信,地方政府,室外VLC通信系统可将城市路边的LED灯具作为信号源，为移动用户提供高效数据传输服务。,城市智能化新闻,https://www.smart-city-news.com,2024-10-16,,,,
Li-Fi试点项目,试点应用,数据服务,科研机构,技术试用,进行中,提升网络性能,LED信号应用,科研服务,科研合作,信息技术,位于中国的高校,Li-Fi试点项目通过灯光传输提升信息传递效率，为科研提供高速网络环境。,高校科研交流,https://www.university-research.edu,2024-10-16,,,,
未来光通信联合实验室,实验室方案,技术研发,科研人员,多方合作,建立中,促进技术突破,基础研究,光通信,国际合作,研究与开发,国际科研组织,未来光通信实验室致力于跨国合作，推动光通信技术的前沿研究与实际应用。,国际科技论坛,https://www.international-science-forum.com,2024-10-16,,,,
LED-VLC实验平台,实验平台,原型开发,大学生、研究生,软硬件集成,开发完成,支持多种应用,实验集成,教育与科研,校企合作,教育行业,多所高校共同开发,LED-VLC实验平台为高等院校提供实用的实验设备，支持各种实际应用的开发与测试。,高校技术交流,https://www.university-tech.org,2024-10-16,,,,
未来数据中心,数据处理系统,数据存储与分析,企业与研究机构,技术更新,建设中,提升数据处理能力,与光通信结合的服务器技术,大数据分析,企业与政府合作,信息技术,全球多家IT企业,未来数据中心将集成新的光通信技术，提升其数据存储与处理能力，服务于大数据时代的需求。,信息技术观察,https://www.tech-observer.com,2024-10-16,,,,
VLC导航应用,导航服务,位置信息提供,普通用户,移动应用,推广使用中,简化导航过程,动态位置识别,个人导航,开放合作,移动互联网,多家科技初创公司,VLC导航应用通过可见光信号，实现室内外位置信息服务，提升用户的导航精度与体验。,移动应用技术,https://www.mobile-app-tech.com,2024-10-16,,,,
VLC医学成像系统,成像技术,医疗图像传输,医疗机构,硬件+软件,应用开发,提高医疗成像质量,基于LED的图像传输,远程医疗、实时成像,科研与医疗合作,健康科技,北京大学医院,VLC医学成像系统利用可见光技术传输医疗图像，旨在实现高质量、快速的医疗图像传输，适用于远程协作和诊断。,医疗科技论坛,https://www.medicaltechforum.com,2024-10-16,,,,
SmartVLC,智能家居,环境监控,家庭用户,无线设备,产品化阶段,提升家庭智能化程度,利用可见光传输环境数据,家居智能化,跨行业合作,智能家居,Huawei,SmartVLC通过LED灯收集家庭环境数据，提升生活智慧和安全性，支持智能设备互联。,华为技术社区,https://www.huawei.com,2024-10-16,,,,
VLC教育平台,在线学习,数据传输与互动,广大教育工作者,云平台,实施阶段,提升学习效率,基于可见光的多媒体内容传输,在线教育,教育机构合作,教育技术,清华大学教育研究中心,VLC教育平台利用可见光通信技术提升在线学习的实时性和互动性，促进教育资源共享。,教育部官网,https://www.moe.gov.cn,2024-10-16,,,,
智能车载VLC系统,车载通信,数据传输与导航,汽车制造商,集成硬件,测试阶段,提高导航精准度,结合光信号与位置数据,自动驾驶,汽车行业合作,智能车辆,比亚迪,智能车载VLC系统结合可见光通信与车辆导航技术，为安全驾驶提供实时数据支持。,汽车电子杂志,https://www.autoelectronics.com,2024-10-16,,,,
VLC室外广告系统,广告技术,广告传递,广告商,数字显示,商用实施,提高广告转化率,利用光信号进行目标用户互动,广告与市场营销,商业合作,市场营销,淘宝网,VLC室外广告系统通过LED结合数据分析，提高了广告的互动性及转化率，适用于各种户外场所。,广告技术资讯,https://www.adtechnews.com,2024-10-16,,,,
VLC智能农业系统,农业技术,数据传输与监控,农业从业者,综合解决方案,原型测试,提升农业生产效率,采集数据并监控作物环境,精准农业,企业与研究合作,农业科技,农业科学院,VLC智能农业系统利用可见光通信技术实时监测种植环境，提升作物生长效率与品质。,农业科技网,https://www.agritechnology.com,2024-10-16,,,,
VLC安全监测系统,安全监控,监测与警报,公共安全部门,硬件+软件,解决方案开发,提升安全预警能力,用于安防的可见光数据传输系统,城市安全,公共部门合作,公共安全,公安部科技局,VLC安全监测系统利用可见光技术增强城市监控系统的响应速度和准确性，提高公共安全保障。,科技日报,https://www.stdaily.com,2024-10-16,,,,
VLC网络游戏,娱乐技术,游戏传输,游戏用户,交互式系统,研发中,提供低延迟游戏体验,基于可见光的实时数据交换,电子竞技,游戏开发合作,数字娱乐,腾讯,VLC网络游戏结合可见光通信技术提供低延迟的游戏体验，适用于多家在线游戏厂商。,游戏行业媒体,https://www.gamingmedia.com,2024-10-16,,,,
VLC灾害预警系统,预警技术,灾害信息传递,政府与应急管理部门,系统集成,部署阶段,提升信息传递速度,基于可见光信号的预警信息传输,应急响应,政府合作,公共安全,自然灾害研究所,VLC灾害预警系统利用可见光技术快速传递灾害信息，提升了应急管理响应的高效性。,应急管理局,https://www.emergency.gov,2024-10-16,,,,
SmartVLC,智能照明系统,数据传输与控制,建筑设计师、城市规划者,硬件+软件,产品推广,实现智能建筑的信息化,利用数据融合和光通信,智能家居、智慧城市,跨行业合作,智能家居,东南大学,SmartVLC是一个集成可见光通信与智能控制的系统，旨在提升建筑的智慧化水平，通过LED灯实现数据传输和环境调控。,第十届信息技术大会,https://www.informationtechconference.com,2024-10-16,,,,
VLC Network Analyzer,网络分析工具,性能监测,网络工程师,软件应用,应用产品,优化网络性能,实时数据流监测与分析,高密度环境,企业合作,信息技术,华为技术有限公司,VLC Network Analyzer通过对可见光通信网络的数据流进行实时监控与分析，帮助提升网络的稳定性与效率。,华为官网,https://www.huawei.com,2024-10-16,,,,
VLC教育平台,在线教育,内容传输,高校学生,基于云的平台,初步开发,提高学习效率,基于LED的内容传输,远程教育,教育机构合作,教育科技,清华大学慕课中心,VLC教育平台通过可见光通信提高在线课程的互动性和传输效率，特别适合远程教育场景。,清华大学官网,https://www.tsinghua.edu.cn,2024-10-16,,,,
WaveLiFi,新型通信技术,高速数据传输,医疗行业,硬件设备,技术验证,实现高速、稳定的网络连接,基于激光及可见光交互,智能医疗设备,医院合作,医疗技术,北航光通信研究院,WaveLiFi旨在医疗行业中优化数据传输过程，利用可见光和激光进行高效传输，特别是在无电磁干扰环境的医疗设备中。,医疗科技展,https://www.medicaltechshow.com,2024-10-16,,,,
LiteLoc,室内定位系统,定位服务,零售商,硬件+软件,产品上市,精准客户定位,基于信号强度的定位,市场营销,商业合作,定位服务,阿里巴巴研究院,LiteLoc利用可见光进行室内定位，帮助零售商分析客户行为并优化购物体验，有效提升销售额。,阿里巴巴官网,https://www.alibaba.com,2024-10-16,,,,
光通信实验室,科研机构,技术研发,科研人员,实验设备,国家项目,探索新领域,光波信号处理与通信,前沿研究,国家合作研究,科研机构,中国科学院,光通信实验室专注于新型光通信技术的研发，为各种光通信协议的创新做出贡献。,中国科学院官网,https://www.cas.cn,2024-10-16,,,,
SkyLiFi,卫星通信技术,数据传输,航天工程师,卫星平台,研发中,实现全球网络覆盖,激光通信,远程地区的互联网接入,航天局合作,航天科技,中国航天科技集团,SkyLiFi致力于通过激光通信实现全球互联网覆盖，尤其在偏远地区和海洋领域，提升人们的连通性。,航天科技论坛,https://www.spaceforum.com,2024-10-16,,,,
光智能传感器平台,传感器技术,环境监测,环保监测团队,集成设备,市场测试,实现高效监测,基于LED的环境监测,环境科学,科研合作,环保科技,世界自然基金会,光智能传感器平台利用可见光信号实现对环境变量的监测，为环境保护工作提供数据支持。,环保技术展,https://www.environmentaltechshow.com,2024-10-16,,,,
UrbanLiFi,城市通信,公共Wi-Fi服务,城市居民,基础设施,服务上线,城市无线网络覆盖,利用街灯实现公共Wi-Fi,城市服务,政府合作,智能城市,城市规划与设计研究院,UrbanLiFi利用城市中的照明基础设施提供免费公共Wi-Fi服务，提升居民的网络接入能力。,城市发展论坛,https://www.urbandevelopmentforum.com,2024-10-16,,,,
VLC Mediator,信息共享平台,数据共享与传输,数据科学家,软件开发,实验阶段,实时数据处理,基于LED的实时数据流,数据科学、智能城市,学术合作与技术伙伴,信息技术,新加坡国立大学,VLC Mediator提供基于可见光的哪些数据传输方案，适用于数据共享和实时处理，在智能城市中具有广泛的应用前景。,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,,
VLC Pinpoint,定位解决方案,室内定位,商场运营者,硬件 + 软件,应用推广,商场室内高精度定位,光信号反馈定位,消费体验提升,企业合作,智能零售,清华大学,VLC Pinpoint利用LED光源为顾客提供精确定位服务，提升商场消费体验并显著延长顾客停留时间。,Retail Technology Innovation Hub,https://www.retailtechnologyinnovationhub.com/,2024-10-16,,,,
Photonics Linker,通信系统,数据传输,工业自动化,硬件设备,前沿研究,提升工业数据通信效率,激光调制技术,智能制造,工研院与企业合作,工业技术,香港科技大学,Photonics Linker为智能制造提供高速激光通信解决方案，有望降低延迟并提高数据传输效率。,Optics.org,https://www.optics.org/,2024-10-16,,,,
Sustainable Li-Fi,新能源通信,绿色数据传输,环境保护组织,绿色设备,产品开发,实现低能耗无线网络,使用太阳能驱动的LED通信,环保通信,跨领域合作,可再生能源,麻省理工学院,Sustainable Li-Fi项目结合可见光通信与可再生能源，为全球绿色通信提供新的解决方案。,GreenTech Media,https://www.greentechmedia.com/,2024-10-16,,,,
VLC Mesh Network,网络架构,数据网络构建,城市规划者,软件定义网络,城市试点,构建多点互联的通信网络,点对点LED信号传输,城市基础设施,公共与私营部门合作,城市通信,斯坦福大学,VLC Mesh Network设计了一种新型的网络架构，利用LED信号创建城市无缝连接，为市民提供便捷的无线服务。,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-16,,,,
Energy-Enhanced Li-Fi,商业通信,增强无线信号,零售商,绿色通信设备,应用开发,提升商场内部信号覆盖率,集成自动光源管理系统,零售服务,企业合作,通信与零售,伊利诺伊大学,Energy-Enhanced Li-Fi通过智能管理和优化光源，为零售商提供可靠的室内Wi-Fi解决方案。,Retail Dive,https://www.retaildive.com/,2024-10-16,,,,
Optical Data Server,数据中心技术,数据处理与存储,云服务提供商,高性能计算,前沿研究,提升数据存储与计算速度,使用光波段进行数据处理,云计算,学术研究与行业合作,数据服务,芝加哥大学,Optical Data Server利用光学原理进行云服务的数据处理，提高效率，降低能源消费。,Data Center Knowledge,https://www.datacenterknowledge.com/,2024-10-16,,,,
VLC Citizen App,移动应用,公众参与,城市居民,应用软件开发,可行性验证,增强居民与城市互动,利用LED信号进行城市信息传递,社区发展,地方政府与技术公司合作,智慧城市,悉尼科技大学,VLC Citizen App是一个移动应用程序，帮助城市居民通过LED通讯接收实时城市信息，从而增强与城市的互动及参与感。,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-16,,,,
Li-Fi for Healthcare,医疗通信,医院数据传输,医疗机构,专用通信网络,临床试验,保证医疗数据的安全传输,光信号通过LED灯与设备间进行数据交换,医疗信息技术,医院与科技公司合作,医疗技术,国防医学研究所,Li-Fi for Healthcare利用光通信技术在医院内部传输敏感信息，以确保医疗数据的安全与隐私。,Medical Engineering & Physics,https://www.journals.elsevier.com/medical-engineering-and-physics/,2024-10-16,,,,
V-Light,室外通信,数据传输,公共场所、企业,无线基站,商业化,覆盖广泛,高效光信号调制,公共设施、城市网络,政府与企业合作,通信行业,新加坡科技大学,V-Light是一种新型室外可见光通信系统，专为公共场所与企业网络设计，提供高带宽和稳定的无线连接。,IEEE Spectrum,https://spectrum.ieee.org,2024-10-16,,,,
Luminet Pro,数据网络,高速互联网,中小企业,软硬件解决方案,应用推广,提高传输效率,基于LED的高效传输,商业网络、远程办公,企业协作,信息技术,多家创业公司,Luminet Pro结合了LED技术与先进的无线网络解决方案，满足了现代中小企业对高速互联网的需求。,TechCrunch,https://techcrunch.com,2024-10-16,,,,
Indoor LightSense,定位与通信,精准定位,大型商场,立体信号发射,实验阶段,室内定位导航,LED信号强度分析,商场导览、博物馆,学术研究与企业合作,定位服务,东京大学,Indoor LightSense利用LED光源进行精确的室内定位，提升顾客的购物体验，特别适用于大型商场和博物馆。,Science Daily,https://www.sciencedaily.com,2024-10-16,,,,
SmartLiFi,智能家庭,家庭网络,家庭用户,家居设备,商业应用,智能连接,家庭智能设备互联,智能家居、物联网,企业合作,智能设备,多家智能家居公司,SmartLiFi为家庭用户提供基于可见光的智能家居网络，支持多种家庭设备的连接与无线控制。,CNET,https://www.cnet.com,2024-10-16,,,,
VLC-City,智慧城市,数据分析与传输,城市管理者,区域网络,原型阶段,城市数据管理,集成光通信和大数据分析,智慧城市、交通管理,政府与科技公司合作,城市规划,各地高校和研究机构,VLC-City利用可见光通信技术整合城市各类数据监测与管理，提升城市管理的智能化水平。,城市规划网,https://urbanplanning.org,2024-10-16,,,,
EchoLiFi,无线通信,指向传输,企业网络,集成硬件,市场反馈,优化网络覆盖,定向光信号传输,企业办公室、网络安全,商业合作,信息安全,多家网络安全公司,EchoLiFi是一种定向无线光通信技术，能有效提升企业网络的覆盖和安全性，特适合高安全性环境。,Network World,https://www.networkworld.com,2024-10-16,,,,
AeroVLC,无人机通信,数据接收与传输,无人机应用,系统集成,技术研发,提升无人机通信效率,实时视频传输与控制,无人机监测、农业,技术合作与试点,无人机技术,航空航天研究中心,AeroVLC旨在为无人机提供高效的数据传输解决方案，支持实时视频监控和数据采集。,DroneDJ,https://droneDJ.com,2024-10-16,,,,
光聚合计算系统,计算架构,数据处理,科研公司,分布式计算,前沿研究,加速数据分析,光波形结合分布式处理,大数据、人工智能,学术与行业合作,研究与开发,清华大学与多家研究机构,光聚合计算系统通过光波形技术加速数据分析过程，适用于各类复杂计算任务，推动人工智能与大数据发展。,Nature Research,https://nature.com,2024-10-16,,,,
光通信未来发展计划,战略规划,行业推广,决策者、行业参与者,政策与技术结合,政策制定,推动行业标准化,制定光通信行业发展纲要,国家准则、国际合作,政府与行业系统,政策与行业发展,国家科技部,光通信未来发展计划旨在制定行业标准，推动光通信技术的推广与应用，促进国际合作与交流。,科技日报,https://www.sciencedaily.com,2024-10-16,,,,
SmartLiFi,可见光通信系统,高速网络,教育机构、科研单位,硬件+软件,应用研究,提升网络速率,智能光调制,智能家庭、校园网络,全球合作,信息技术,北京大学,SmartLiFi通过优化LED信号调制技术，在校园和家庭环境中提供高速网络连接，降低延迟并增强网络体验。,IEEE期刊,https://ieeexplore.ieee.org/,2024-10-16,,,,
VLC照明系统,照明与通信集成,多功能照明,室内设计师、建筑师,集成硬件,原型开发,实现光照与数据传输,基于LED的可见光通信,智能建筑、生活空间,企业与学术合作,建筑与照明,清华大学建筑学院,VLC照明系统集成了通讯与照明功能，能够根据用户需求优化照明效果，提高室内环境的舒适度及效率。,Lighting Journal,https://www.lightingjournal.com/,2024-10-16,,,,
HyperLiFi,无线光通信,数据传输,工厂、医院,高功率LED设备,商业应用,轧制环境中的快速数据传输,LED光信号编码,智能制造、医疗系统,行业联盟,制造业与医疗,上海交通大学,HyperLiFi系统利用高功率LED灯在工厂和医疗环境中提供快速、安全的数据传输，以支持设备间的实时通信。,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,,
VLC教育平台,教育工具,虚拟课堂,高校学生,软件解决方案,开发中,增强在线学习体验,利用VLC进行信息传递,在线教育、远程学习,UCL与企业合作,教育技术,伦敦大学学院,VLC教育平台结合了可见光通信与远程学习，旨在通过高速网络提升在线教育质量和互动体验。,Lastminute.com,https://www.lastminute.com/,2024-10-16,,,,
光频数据处理器,数据处理设备,高速计算,数据科学家、工程师,定制硬件,原型验证,加速数据分析,基于光波的运算,大数据、AI分析,跨国家联合,信息技术,MIT媒体实验室,光频数据处理器利用可见光波段加速复杂数据运算，特别适合大规模数据分析与人工智能应用。,MIT Technology Review,https://www.technologyreview.com/,2024-10-16,,,,
LiFi VLAN系统,网络系统,物联网连接,智能设备制造商,硬件+云端架构,市场推广,连接多设备,VLAN集成,智能家居、工厂自动化,行业领导者合作,网络通信,华为技术有限公司,LiFi VLAN系统提供基于可见光的高效设备连接方案，支持大规模智能家居和工业设备的互联。,华为官网,https://www.huawei.com/,2024-10-16,,,,
光信号序列解码器,解码设备,数据恢复,通讯工程师,硬件,正在研发,提升数据完整性,解码光信号,通信安全、数据完整性,学术研发合作,通信行业,美国康奈尔大学,光信号序列解码器旨在通过解析高频光信号，提高数据恢复成功率，适用于高安全性通信情景。,Cornell University,https://www.cornell.edu/,2024-10-16,,,,
VLC简易开发平台,开发工具,快速原型开发,初学者、开发者,软件工具包,产品化,帮助开发者入门,简化的工具链,教育、开发,教育合作,教育与开发,斯坦福大学,VLC简易开发平台为新手提供易用的工具，助力用户快速上手可见光通信领域的开发工作。,Stanford Review,https://www.stanford.edu/,2024-10-16,,,,
LiFi街道照明系统,城市基础设施,公共网络,城市管理者,集成硬件,大规模应用,提供城市网络,户外LiFi信号,智能城市、节能减排,城市合作,城市基础设施,国际智能城市研究中心,LiFi街道照明系统将可见光通信技术应用于城市照明中，旨在构建高度连通的智能城市基础设施。,Smart Cities Journal,https://www.smartcitiesjournal.com/,2024-10-16,,,,
