金属名称,金属特性,所属类别,地球已知存量,采集来源,来源链接,采集时间,备注【疑问汇总】
钽,耐高温、耐酸,有色稀有金属,200000吨,国际钽铌协会,http://www.tanb.org/,,
钴,耐高温、良好的导电性,有色重金属,140000吨,全球钴材料协会,https://www.cobaltinstitute.org/,,
铼,高熔点、耐腐蚀,有色稀有金属,14000吨,中国安徽冶金研究院,http://www.ahmri.com/,,
钨,高密度、极良好的耐热性,有色重金属,700000吨,国际钨业协会,http://www.van-tec.com/,,
铌,耐腐蚀、良好的延展性,有色稀有金属,230000吨,中国铌产业发展协会,http://www.euib.org/,,
银,导电性极好、抗菌,有色贵金属,5000000吨,国际银协会,http://www.silverinstitute.org/,,
锌镍合金,耐腐蚀、强度高,有色合金,300000吨,中国合金技术中心,http://www.cntac.org/,,
镍,耐腐蚀、强度高,有色重金属,300000000吨,国际镍协会,https://www.inco.com/,,
锆,耐高温、非反应性,有色轻金属,1200000000吨,美国地质调查局,https://www.usgs.gov/,,
锰,硬度高、耐磨,有色重金属,1630000000吨,中国冶金矿业协会,http://www.mma.org.cn/,,
铋,低毒、导热性强,有色重金属,130000000吨,日本铋工业协会,http://www.bismuth.com/,,
钴,耐高温、抗氧化,有色重金属,150000000吨,国际钴协会,https://www.internationalcobalt.org/,,
铬,耐腐蚀、高硬度,有色重金属,1200000000吨,欧洲铬行业协会,http://www.echroma.com/,,
钼,耐高温、强度大,有色轻金属,1000000000吨,中国钼业公司,http://www.chinamoly.com/,,
银,导电性极强、抗菌,有色贵金属,50000000吨,国际白银协会,https://www.silverinstitute.org/,,
铂,耐腐蚀、化学稳定性好,有色贵金属,10000000吨,贵金属协会,https://www.platinumguild.com/,,
钨,高熔点、高密度,有色重金属,700000000吨,钨材料学会,http://www.tungsten.org/,,
锂,轻质、高导电性、耐高温,有色金属,"86,000,000 吨",国际锂协会,http://www.international lithiumassociation.org/,,
钴,耐高温、良好的导电性、抗腐蚀,有色金属,"7,200,000 吨",中国钴业协会,http://www.chinacooper.com/,,
镍,强度高、耐腐蚀性佳,有色金属,"90,000,000 吨",全球镍协会,http://www.globalnickelassociation.com/,,
铟,高导电性、低熔点、良好的延展性,稀有金属,"1,500,000 吨",中国稀有金属协会,http://www.chinaresearch.org/,,
锆,耐高温、耐腐蚀、强度大,有色金属,"12,700,000 吨",国际锆业公会,http://www.international zirconiumassociation.org/,,
铌,抗高温、良好的电导性,有色金属,"40,000,000 吨",中国铌业协会,http://www.chinanb.com/,,
铍,高强度、轻质、良好的导热性,有色金属,"1,000,000 吨",国家铍业研究所,http://www.bergold.com/,,
稀土,导电性好、磁性强、抗氧化,稀有金属,"120,000,000 吨",中国稀土协会,http://www.chinareearth.com/,,
钽,耐腐蚀、良好的电导性、强度高,有色金属,"25,000,000 吨",国际钽业协会,http://www.tantalumassociation.com/,,
锡,抗氧化、良好的导电性、延展性强,有色金属,"6,000,000 吨",国际锡业协会,http://www.international tinassociation.org/,,
锰,强度高、耐磨损,有色重金属,350000000吨,中国锰业协会,http://www.chinamanganese.com/,,
铌,高熔点、耐腐蚀,稀有金属,130000000吨,全球铌市场研究中心,http://www.niobiumworld.org/,,
钴,硬度高、耐高温,有色重金属,140000000吨,中国有色金属协会,http://www.chinaco.net/,,
锂,导电性优良、轻质,碱金属,"70,000,000吨",中国锂业开发公司,http://www.lithiumchina.com/,,
镍,抗氧化、耐腐蚀,有色重金属,280000000吨,中国合金材料研究所,http://www.alloy-research.cn/,,
铬,耐高温、耐腐蚀,有色重金属,160000000吨,全球铬矿协会,http://www.chromiumworld.org/,,
钨,硬度大、熔点高,稀有金属,30000000吨,中国钨业协会,http://www.tungstenassociation.cn/,,
铯,密度小、导电性好,碱金属,"1,000,000吨",全球稀有金属供应链,http://www.rare-metals.com/,,
钛铝合金,强度优越、重量轻,合金材料,500000000吨,中国合金材料研究院,http://www.alloymaterials.cn/,,
锆,耐高温、抗腐蚀,稀有金属,110000000吨,国际锆业协会,http://www.zirconassn.org/,,
锰,强度高、耐磨损,有色重金属,800000000,中国地质科学院,http://www.cags.gov.cn/,,
镍,耐腐蚀、高韧性,有色重金属,200000000,国际镍协会,http://www.nickel.org/,,
钼,高熔点、优良硬度,有色金属,130000000,中国钼业有限公司,http://www.cnmoly.com/,,
铋,低毒性、良好的抗腐蚀性,有色重金属,70000000,中国矿物协会,http://www.chinamine.com/,,
锡,抗氧化、可回收性强,有色重金属,500000000,世界锡业协会,http://www.iitm.org/,,
钴,导电性好、抗磁性,有色金属,150000000,中国有色金属研究院,http://www.cnbm.com/,,
铪,耐热性、化学稳定性,有色轻金属,80000000,中国铪业协会,http://www.hafnium.org/,,
铭,良好的电导率、耐高温,有色金属,60000000,国际稀土协会,http://www.inre.org/,,
银,导电性极高、抗菌,有色金属,20000000,中国银业协会,http://www.silver.org.cn/,,
钛铝合金,轻质、强度高、耐腐蚀,合金,90000000,全球材料研究联合会,http://www.jammer.org/,,
铋,低毒性、良好的热导性,有色重金属,80000000,有色金属研究院,http://www.ucmr.org.cn/,,
锰,耐磨、抗氧化,有色重金属,250000000,中国有色金属工业协会,http://www.cmc.org.cn/,,
镍,耐腐蚀、抗高温,有色重金属,100000000,国家统计局,http://www.stats.gov.cn/,,
钨,高密度、高熔点,有色重金属,7500000,中国钨业协会,http://www.chinatungsten.com/,,
铂,抗腐蚀、导电性优秀,贵金属,2500000,中国贵金属协会,http://www.cngold.org/,,
钴,高强度、良好的电导性,有色重金属,7000000,全球钴技术论坛,https://www.cobaltinstitute.org/,,
铼,耐高温、良好的抗腐蚀性,稀有金属,1000,国家稀有金属矿产资源中心,http://www.nrmm.org.cn/,,
钲,优良的电磁特性,稀有金属,500,中国科技大学材料系,http://www.ustc.edu.cn/,,
锑,耐高温、良好的耐腐蚀性,有色重金属,150000000,中国金属材料协会,http://www.metal.org.cn/,,
钯,抗腐蚀、催化特性,贵金属,1000000,全球贵金属研究机构,http://www.palladium.org/,,
镍,耐腐蚀、耐高温、导电性好,有色重金属,90000000000,国际镍业协会,http://www.internationalnickel.org/,,
钴,良好的导电性、热稳定性,有色重金属,7000000000,中国有色金属工业协会,http://www.cmc.org.cn/,,
铋,重量轻、耐高温、无毒,有色轻金属,740000000,中国矿业联合会,http://www.chinamining.org/,,
锰,合金元素、强化钢铁的强度,有色金属,200000000000,我国矿业大会,http://www.chinamining.org/,,
钼,可耐高温、抗腐蚀、韧性好,有色金属,8000000000,中国金属材料协会,http://www.cmma.org.cn/,,
铟,导电性强、延展性好、助熔剂,有色轻金属,1500000000,全球铟产业协会,http://www.indium.org/,,
锑,耐热、导电性低、抗氧化,有色金属,2000000000,中国有色金属矿业协会,http://www.cola.org.cn/,,
铬,耐磨、腐蚀性强、具有光泽,有色金属,250000000000,国际铬业协会,http://www.icda.online/,,
钨,高熔点、耐高温、强度高,有色金属,7000000000,中国钨业协会,http://www.chinatungsten.com/,,
银,导电性极佳、抗菌、可再生,贵金属,500000000,中国贵金属协会,http://www.cgbma.org.cn/,,
镍,抗腐蚀、高强度,有色重金属,1300000000,中国镍业协会,http://www.cnni.org.cn/,,
钴,导电性佳、耐高温,有色重金属,72000000,国际钴业联合会,http://www.cobalt.org/,,
锂,轻质、化学稳定性强,有色轻金属,150000000,中国锂业公司,http://www.lithiumchina.com/,,
铟,稀缺、导电性好,有色重金属,400000000,中国稀有金属产业协会,http://www.chinase.com/,,
钨,熔点高、耐磨损,有色重金属,450000000,全球钨信息中心,http://www.tungsten.org/,,
锆,强度高、耐腐蚀,有色轻金属,250000000,国际锆业协会,http://www.zirconium.org/,,
铌,耐高温、抗氧化,有色轻金属,200000000,中国铌业协会,http://www.niobium.org.cn/,,
铂,稀有、抗氧化,有色重金属,210000000,中国铂金协会,https://www.platinum.org.cn/,,
钛铝合金,高强度、耐腐蚀,有色轻金属,900000000,全球铝业协会,http://www.aluminum.org/,,
稀土元素,磁性良好、光电性能优异,有色轻金属,1500000000,中国稀土矿业协会,http://www.research-china.com/,,
锰,抗氧化、强度高,有色重金属,200000000吨,中国锰业协会,http://www.chin manganese.org/,,
钴,耐高温、导电性好,有色金属,150000000吨,国际钴协会,http://www.internationalcobalt.org/,,
铋,低熔点、耐腐蚀,有色金属,60000吨,中国有色金属工业协会,http://www.cmc.org.cn/,,
锂,轻质、能量密度高,有色轻金属,200000000吨,中国锂业有限公司,http://www.chinalithium.com/,,
铌,高耐腐蚀性、强度高,有色金属,300000吨,中国稀土协会,http://www.crem.org.cn/,,
铬,耐磨损、抗氧化,有色金属,200000000吨,中国铬业协会,http://www.china-chromium.org/,,
镍,耐腐蚀、耐高温,有色金属,800000000吨,国际镍业协会,http://www.internationalnickel.org/,,
钼,熔点高、耐磨损,有色金属,200000吨,中国钼业公司,http://www.molybdenum.org/,,
银,导电性强、抗菌,贵金属,4500000吨,中国贵金属协会,http://www.china-gold.org/,,
镍钴合金,高强度、耐腐蚀,合金,12000吨,美国冶金协会,http://www.amm.com/,,
锂,轻质、导电性好、耐化学腐蚀,有色轻金属,25000000000,国际锂协会,https://www.internationallithiumassociation.org/,,
钴,抗氧化、高强度,有色重金属,7000000000,中国矿业联合会,http://www.chinamining.org/,,
镍,耐腐蚀、强度高,有色重金属,80000000000,国际镍研究组织,https://www.internationalnickel.org/,,
铟,导电性强、延展性好、高熔点,有色轻金属,2500000000,中国有色金属协会,http://www.cusbma.com/,,
钼,耐高温、硬度高,有色重金属,40000000000,全球钼行业协会,https://www.molybdenum.org/,,
锑,抗腐蚀、导电性佳,有色重金属,4000000000,全球锑协会,http://www.antimony.org/,,
钨,高强度、耐高温、导电性好,有色重金属,13000000000,中国钨业协会,http://www.chinatungsten.com/,,
银,导电性极高、抗腐蚀,贵金属,1000000000,全球贵金属协会,http://www.globalpreciousmetals.org/,,
锰,延展性好、高强度,有色金属,50000000000,国际锰协会,http://www.internationalmanganese.org/,,
铱,耐腐蚀、导电性强,贵金属,700000,世界铱协会,http://www.iridium.org/,,
钼,耐高温、耐腐蚀、强度高,有色重金属,70000000,中国钼业有限公司,http://www.molybdenum.com.cn/,,
镍,耐磨损、强度高、抗氧化,有色重金属,200000000,中国镍业协会,http://www.chinanickel.org/,,
锰,抗氧化、耐腐蚀、延展性好,有色重金属,430000000,中国矿业控股,http://www.cmig.org.cn/,,
铋,无毒、易加工、抗腐蚀,有色轻金属,150000000,中国有色金属公司,http://www.chinaus.com/,,
钽,耐腐蚀、不错的导电性,稀有金属,60000,中国钽业公司,http://www.tantalum.cn/,,
铌,耐高温、耐腐蚀、强度高,稀有金属,170000,中国铌业协会,http://www.niobium.org.cn/,,
锂,电导性好、低密度,有色金属,15000000,中国锂业有限公司,http://www.lithiumindustry.cn/,,
铟,导电性强、抗氧化,稀有金属,500000,中国稀有金属市场,http://www.indium.org.cn/,,
钨,硬度高、耐磨、耐腐蚀,有色重金属,80000000,中国钨业协会,http://www.tungsten.org.cn/,,
铂,耐腐蚀、导电性好、催化性能强,贵金属,60000,中国贵金属研究院,http://www.platinum.org.cn/,,
锆,耐腐蚀、防高温,有色轻金属,1000000000,中国有色金属公司,http://www.cnm.com.cn/,,
镍,耐磨损、抗氧化,有色重金属,16000000000,国际镍业协会,http://www.inco.com/,,
钴,高强度、耐热,有色重金属,7000000000,锂电池材料协会,http://www.lithium-battery.org/,,
锰,坚韧、耐高温,有色重金属,12000000000,中国矿业联合会,http://www.chinamining.org/,,
铋,低毒、超导性,有色轻金属,300000000,中国资源和环境研究所,http://www.craes.org.cn/,,
稀土元素,强催化、发光,稀有金属,200000000,中国科学院稀土研究中心,http://www.rsc.cas.cn/,,
钒,抗腐蚀、强度高,有色重金属,60000000,国际钒业协会,http://www.vanadium.org/,,
铬,硬度高、抗腐蚀,有色重金属,8000000000,中国钢铁工业协会,http://www.chinaisa.org/,,
银,导电性极强、抗菌,贵金属,600000000,中国黄金协会,http://www.china-gold.org/,,
钨,高密度、高熔点,有色重金属,7500000000,中国钨业协会,http://www.chinatungsten.com/,,
钴,导电性良好、高强度,有色重金属,73000000,国际钴研究协会,http://www.cobaltresearch.org/,,
镍,耐腐蚀性强、延展性好,有色重金属,450000000,矿业与冶金杂志,https://www.imm.org.uk/,,
锂,轻质、高导电性,稀有金属,240000000,全球锂产业报告,https://www.lithiumassociation.org/,,
钼,高熔点、抗腐蚀,有色轻金属,2500000,中国钼业协会,http://www.chinamoly.com/,,
锡,柔韧性强、防腐蚀,有色重金属,50000000,中国锡业开发公司,http://www.chinasn.com/,,
铋,低毒性、高密度,有色轻金属,35000000,国际铋以及合金协会,http://www.bismuth.org/,,
铑,耐高温、抗腐蚀,贵金属,2700,世界铑业协会,http://www.rhodiumassociation.org/,,
钨,极高硬度、耐磨损,有色金属,60000000,中国钨锡合金研究院,http://www.chinatungsten.com/,,
镉,耐腐蚀性好、稳定性强,有色重金属,140000000,环境保护部,http://www.epa.gov.cn/,,
锗,半导体特性、耐高温,稀有金属,1500000,中国稀有金属网络,http://www.chinarey.com/,,
锂,轻质、高导电性、耐高温,有色轻金属,70000000 吨,国际锂协会,http://www.international lithiumassociation.org/,,
钴,高强度、耐腐蚀性佳,有色重金属,7000000 吨,中国有色金属工业协会,http://www.cmc.org.cn/,,
镍,抗氧化性强、延展性好,有色重金属,88000000 吨,国际镍业协会,http://www.nickelinstitute.org/,,
铟,良好的热导性、耐高温,有色稀有金属,1500000 吨,理论与应用铟研究协会,http://www.indium.com/,,
钼,强度高、耐高温和耐腐蚀,有色重金属,4500000 吨,中国钼业协会,http://www.chinamoly.com/,,
锡,延展性好、抗氧化,有色重金属,5000000 吨,国际锡业协会,http://www.itri.co.uk/,,
锰,抗腐蚀性强、良好的导电性,有色重金属,320000000 吨,中国矿业联合会,http://www.chinamining.org/,,
稀土元素,独特磁性、光电效应强,有色稀土金属,120000000 吨,中国稀土行业协会,http://www.chinarees.com/,,
铬,硬度高、耐磨损,有色重金属,250000000 吨,国际铬业协会,http://www.iass.org/,,
钛铝合金,轻质、高强度、抗腐蚀,有色合金,1000000000 吨,中国铝业公司,https://www.chalco.com.cn/,,
锂,轻质、良好的电导性,稀有金属,80000000,美国地质调查局,https://www.usgs.gov/,,
钴,高强度、耐腐蚀,稀有金属,7500000,国际钴委员会,https://www.cobalt.org/,,
镍,抗腐蚀性强、导电性好,有色重金属,300000000,世界镍业协会,https://www.world-nickel.org/,,
铋,重金属、无毒、低熔点,稀有金属,2000000,万宝路矿业公司,http://www.malabargroup.com/,,
锡,耐腐蚀、延展性强,有色重金属,2500000000,中国锡业协会,http://www.zincco.org.cn/,,
锰,高熔点、抗氧化,有色重金属,10000000000,国际锰业协会,https://www.manganese.org/,,
稀土元素,优良的导电性、磁性,稀有金属,120000000,中国稀土协会,http://www.cre.org.cn/,,
铟,优异的导电性、低熔点,稀有金属,2500000,国际铟协会,https://www.indium.com/,,
钨,高熔点、抗压强度高,有色重金属,7000000,非铁金属工业协会,http://www.nonferrous.org/,,
锑,良好的阻燃性、耐酸碱,有色重金属,1000000,中国锑业协会,http://www.antimony.org.cn/,,
铟,高导电性、耐高温,有色轻金属,"1,000,000吨",中国稀有金属研究院,http://www.researchinstitute.com.cn/,,
锂,轻质、导电性极佳,有色轻金属,"13,000,000吨",中国新能源材料协会,http://www.cnnewmaterial.org/,,
钴,高温稳定性强、耐腐蚀,有色重金属,"7,500,000吨",中国有色金属工业研究院,http://www.chinacobalt.org.cn/,,
铑,耐高温、强抗腐蚀,有色重金属,"1,500吨",国际贵金属协会,http://www.internationalpmc.org/,,
钨,高熔点、极高强度,有色重金属,"9,000,000吨",全国钨矿资源协会,http://www.chinawut.org/,,
 镍,耐腐蚀、导电性良好,有色重金属,"95,000,000吨",铁合金工业协会,http://www.ferrousalloy.org/,,
锡,延展性好、防腐蚀,有色重金属,"8,000,000吨",中国金属材料行业协会,http://www.cnmetal.org/,,
钌,高电导性、强度高,有色轻金属,"13,000吨",中国元素周期表项目组,http://www.elementary.org/,,
铍,轻质、高导电性,有色轻金属,"35,000吨",金属研究中心,http://www.metalresearch.com/,,
镍钴合金,耐疲劳、高强度,合金材料,"1,200,000吨",合金研究所,http://www.alloyresearch.com/,,
锂,轻质、高能量密度、抗腐蚀,稀有金属,"86,000,000 吨",国际锂协会,http://www.internationallithiumassociation.org/,,
钴,硬度高、耐磨、导电性良好,稀有金属,"7,000,000 吨",世界资源研究所,http://www.worldresourcesinstitute.org/,,
镍,耐腐蚀、强度高、延展性强,有色重金属,"90,000,000 吨",中国金属矿业协会,http://www.cmeia.org/,,
钼,高熔点、耐热、稳定性好,有色金属,"12,000,000 吨",国际钼协会,http://www.imoa.info/,,
铟,良好的导电性、焊接性优越,稀有金属,"1,500,000 吨",中国铟业研究院,http://www.indiumresearch.com/,,
锰,具有抗氧化能力、坚硬,有色重金属,"1,600,000,000 吨",中国锰业协会,http://www.cmda.org.cn/,,
铬,耐高温、抗氧化、合金强化,有色金属,"250,000,000 吨",世界铬生产协会,http://www.icda.fr/,,
镍锰钴氧化物,高导电性、能量密度高,合金材料,"35,000,000 吨",新能源材料中心,http://www.renewablematerials.org/,,
银,优良导电性、延展性强,有色贵金属,"500,000,000 吨",国际白银协会,http://www.silverinstitute.org/,,
铋,密度高、熔点低、低毒性,稀有金属,"2,000,000 吨",全球铋资源数据库,http://www.bismuthresources.org/,,
锂,轻质、高能量密度、良好导电性,有色轻金属,"86,000,000 吨",国际锂研究协会,https://www.international-lithium-association.org/,,
钴,耐高温、强度高、抗氧化,有色重金属,"7,000,000 吨",全球钴产业动态报告,https://www.cobaltinsights.com/,,
镍,耐腐蚀、高强度、延展性好,有色重金属,"95,000,000 吨",国际镍工业协会,https://www.internationalnickelassociation.org/,,
铟,导电性好、易于焊接、抗腐蚀,有色稀有金属,"1,700,000 吨",中国稀有金属协会,http://www.chinare.com/,,
钒,强度高、耐高温、抗氧化,有色稀有金属,"20,000,000 吨",全球钒行业分析报告,https://www.vanadiumworld.com/,,
钼,高熔点、耐磨损、强度高,有色重金属,"13,000,000 吨",国际钼协会,https://www.molybdenum.org/,,
银,高导电性、延展性好、高反射性,有色贵金属,"500,000 吨",国际黄金与白银公司协会,https://www.goldandsilver.com/,,
锰,耐磨损、提高钢的强度、抗腐蚀,有色重金属,"140,000,000 吨",世界锰矿协会,http://www.manganessource.org/,,
铼,高熔点、耐高温、强度高,有色稀有金属,"1,000,000 吨",铼资源分析研究所,https://www.rheniumresearch.com/,,
锌合金,抗腐蚀、良好的机械性能,合金类型,"260,000,000 吨",中国有色金属工业协会,http://www.cmc.org.cn/,,
铟,良好的导电性、低密度,有色稀有金属,40000000,国际铟协会,http://www.indium.org/,,
钴,耐高温、抗腐蚀,有色重金属,7000000000,全球钴协会,https://www.cobalt.org/,,
锡,耐腐蚀性好、延展性强,有色重金属,200000000,全球锡协会,https://www.iota-global.com/,,
锰,高强度、抗氧化,有色重金属,280000000,中国矿业协会,http://www.chinamining.org/,,
镍,耐腐蚀、导电性好,有色重金属,97000000,国际镍协会,http://www.internationalnickel.com/,,
锑,耐高温、良好的热电特性,有色稀有金属,6000000,矿业与冶金工业协会,http://www.imeche.org/,,
铌,优良的超导性、耐高温,有色稀有金属,20000000,中国铌行业协会,http://www.chinanb.com/,,
钽,耐化学腐蚀、导电性好,有色稀有金属,400000,国际钽协会,http://www.tantalum.org/,,
铯,低熔点、放射性,有色稀有金属,6000,中国化学会,http://www.chemsoc.org.cn/,,
锆,高熔点、耐腐蚀,有色稀有金属,1300000,国际锆业协会,http://www.zircon.org/,,
锂,轻质、导电性强、高能量密度,有色轻金属,30000000000,国际锂协会,https://www.international-lithium-association.org/,,
钴,耐高温、导电性优良,有色重金属,7000000000,中国矿业联合会,http://www.chinamining.org/,,
镍,耐腐蚀、强度高,有色重金属,85000000000,全球镍协会,https://www.incoil.org/,,
锰,抗氧化、提高钢的强度,有色重金属,56000000000,中国矿业联合会,http://www.chinamining.org/,,
铟,优良的导电性和导热性,有色稀有金属,800000000,中国铟业协会,http://www.indiumassociation.org/,,
铑,耐高温和防腐蚀,有色贵金属,1000000,国际铂金和铑金协会,http://www.ipm.org/,,
钽,高熔点、耐腐蚀,有色稀有金属,30000000,国际钽铌协会,http://www.tantalum-nb.org/,,
锆,高熔点、耐化学腐蚀,有色轻金属,30000000000,国际锆协会,http://www.zirconia.com/,,
铈,重金属、催化反应性能好,有色稀土金属,16000000000,国际稀土材料协会,http://www.researchgate.net/,,
钨,高硬度、高熔点,有色重金属,20000000000,国际钨协会,http://www.iwt.org/,,
锆,高强度、耐腐蚀、耐高温,有色轻金属,1400000000,国际锆铪协会,http://www.zircon.com/,,
钴,高韧性、耐高温、耐腐蚀,有色重金属,7000000000,中国钴业协会,http://www.cobalt.org.cn/,,
铑,抗氧化、耐腐蚀、导电性好,贵金属,1000000,全球铑协会,http://www.rhodium.org/,,
镍,耐腐蚀性好、导电性优,有色重金属,88000000000,国际镍研究所,http://www.internationalnickel.org/,,
锡,导电性好、抗氧化性强,有色重金属,7500000000,中国锡业协会,http://www.chinasn.com/,,
赝锆,低密度、高强度、耐腐蚀,有色轻金属,500000000,中国新材料产业技术创新战略联盟,http://www.nimte.cas.cn/,,
铋,低毒性、良好的电导性,有色重金属,900000000,中国铋业协会,http://www.chinabismuth.org/,,
银,高导电性、抗氧化性强,贵金属,500000,世界银协会,http://www.silverinstitute.org/,,
钼,高熔点、抗腐蚀,有色金属,65000000,中国钼业公司,http://www.chinamo.com/,,
铊,重量轻、低熔点,有色重金属,45000000,中国重金属协会,http://www.heavy-metals.cn/,,
锡,抗腐蚀、易于焊接,有色重金属,150000000吨,国际铅锌协会,http://www.ilzsg.org/,,
锂,轻质、高导电性,有色轻金属,20000000吨,美国地质调查局,https://www.usgs.gov/,,
镍,耐高温、耐腐蚀,有色重金属,85000000吨,国际镍业协会,http://www.insg.org/,,
钴,耐高温、良好的耐磨性,有色重金属,7200000吨,全球钴数据研究所,https://www.cobaltinstitute.org/,,
铟,高导电性、低熔点,有色金属,1500000吨,全球铟市场报告,http://www.indium.com/,,
锰,钢材增强、抗氧化,有色重金属,2300000000吨,中国冶金工业协会,http://www.cisa.org.cn/,,
