年份,月份,市场模式,市场化机制,电量偏差处理,调峰机制,可再生能源配额,单位,交易规则,价格机制,电量结算方式,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,10,边际定价,政府指导,市场补偿,有,22,百分比,定期交易,政府定价,按月结算,国家能源局,https://www.nea.gov.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按季度结算,上市公司财报,http://www.sse.com.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,现货市场,自由定价,固定补偿,有,30,百分比,定期交易,市场价格,按小时结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,1,边际定价,政府指导,由市场调节,有,10,百分比,按需交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,2,长期合同,固定价格,双方协商,无,17,百分比,合同交易,固定价格,按季度结算,国家气候变化事务中心,http://www.cccc.org.cn/,,
2024,3,混合模式,混合定价,按比例分配,有,19,百分比,灵活交易,市场与政府结合,按年结算,中国新能源网,http://www.newenergy.org.cn/,,
2024,4,现货市场,自由定价,由市场调节,有,12,百分比,按需交易,市场价格,按小时结算,中国行业研究院,http://www.chinaiir.com/,,
2024,5,边际定价,政府指导,固定补偿,无,16,百分比,定期交易,政府定价,按月结算,国家环境保护局,http://www.epa.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国电力市场网,http://www.cem.com.cn/,,
2025,2,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,国家能源局,https://www.nea.gov.cn/,,
2025,3,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,9,混合模式,混合定价,按比例分配,无,15,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,10,现货市场,自由定价,由市场调节,有,20,百分比,定期交易,市场价格,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,4,边际定价,政府指导,固定补偿,有,30,百分比,合同交易,政府定价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,长期合同,固定价格,双方协商,有,35,百分比,按需交易,固定价格,按年结算,国家能源局,https://www.nea.gov.cn/,,
2025,5,现货市场,自由定价,由市场调节,有,40,百分比,灵活交易,市场价格,按小时结算,中国电力市场网,http://www.cem.com.cn/,,
2025,6,混合模式,混合定价,按比例分配,无,45,百分比,定期交易,市场与政府结合,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按月结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按季度结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,30,百分比,灵活交易,市场与政府结合,按小时结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,35,百分比,按需交易,市场价格,按月结算,国际能源机构,https://www.iea.org/,,
2025,2,边际定价,政府指导,固定补偿,有,28,百分比,定期交易,政府定价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,3,长期合同,固定价格,双方协商,无,40,百分比,合同交易,固定价格,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,4,混合模式,混合定价,按比例分配,有,32,百分比,灵活交易,市场与政府结合,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2025,5,现货市场,自由定价,由市场调节,有,37,百分比,按需交易,市场价格,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,9,现货市场,完全自由定价,市场动态调节,有,18,百分比,按需交易,市场价格,按小时结算,中国太阳能产业协会,http://www.csia.org.cn/,,
2024,10,边际定价,政府指导,预算补偿,无,5,百分比,固定流量交易,政府审定价格,按月结算,国家气候中心,http://www.ncc-cma.gov.cn/,,
2024,11,长期合同,市场竞争定价,协商解决,有,25,百分比,合同交易,市场价格,按季度结算,中国新能源网,http://www.china-nengyuan.com/,,
2024,12,混合模式,混合定价,动态分配,有,12,百分比,灵活交易,跨市场结合,按年结算,国家电网公司,http://www.sgcc.com.cn/,,
2025,1,现货市场,市场自律,按市场规则,有,30,百分比,实时交易,市场实时价格,按分钟结算,中国电力价格监测平台,http://www.cec.org.cn/,,
2025,2,边际定价,政府协商,预设协议,无,8,百分比,定期竞标交易,政府支持价格,按月结算,中国可再生能源投资公司,http://www.crein.com/,,
2025,3,长期合同,固定价格,物理调整,有,22,百分比,合同签订,固定价格协议,按季度结算,中国绿色电力发展中心,http://www.cgde.org.cn/,,
2025,4,混合模式,浮动定价,弹性调整,有,10,百分比,灵活竞价,组合定价,按年结算,中国电力市场管理中心,http://www.cpmc.org.cn/,,
2025,5,现货市场,市场运营,市场价格解决,无,14,百分比,点对点交易,实时市场定价,按小时结算,中国电力监测中心,http://www.cpmc.gov.cn/,,
2024,9,现货市场,动态定价,自动调节,有,18,百分比,按需交易,市场价格,按小时结算,中国电力市场监管机构,https://www.spb.gov.cn/,,
2024,10,边际定价,市场指导,基于市场机制,有,14,百分比,定期交易,动态定价,按季结算,国家发改委,https://www.ndrc.gov.cn/,,
2024,11,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按年结算,中国新能源研究中心,http://www.cnrec.org.cn/,,
2023,11,混合模式,市场和政策结合,按比例分配,有,16,百分比,灵活交易,混合定价,按月结算,中国电力设计院,http://www.cepdi.com/,,
2024,12,现货市场,自由定价,由市场调节,有,30,百分比,定期交易,市场价格,按小时结算,国际可再生能源机构,https://www.irena.org/,,
2025,1,边际定价,政府指导,定额补偿,有,22,百分比,合同交易,动态定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,2,长期合同,市场导向,手动调整,有,17,百分比,按需交易,政府定价,按季度结算,中国能源互联网发展研究中心,http://www.cier.edu.cn/,,
2025,3,混合模式,灵活定价,按比例分配,无,23,百分比,灵活交易,市场与政府结合,按年结算,全球可再生能源平台,https://www.renewableenergyworld.com/,,
2025,4,现货市场,完全自由,即时补偿,有,20,百分比,按需交易,市场价格,按小时结算,能源信息中心,https://www.eia.gov/,,
2025,5,边际定价,政策制定,补偿机制,有,27,百分比,定期交易,固定价格,按季度结算,世界银行能源部,https://www.worldbank.org/en/topic/energy,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,17,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,1,长期合同,固定价格,双方协商,无,22,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,2,现货市场,自由定价,由市场调节,无,19,百分比,按需交易,市场价格,按小时结算,电力市场监测中心,http://www.emsc.gov.cn/,,
2024,12,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按月结算,中国电力发展报告,http://www.chinaelectricity.com/,,
2025,3,长期合同,固定价格,双方协商,无,23,百分比,合同交易,固定价格,按季度结算,国际可再生能源署,https://www.irena.org/,,
2024,8,混合模式,混合定价,按比例分配,有,21,百分比,灵活交易,市场与政府结合,按年结算,可再生能源地方协作组织,http://www.localrenewables.org/,,
2025,4,现货市场,自由定价,由市场调节,有,24,百分比,按需交易,市场价格,按小时结算,中国生态环境部,http://www.mee.gov.cn/,,
2024,5,边际定价,政府指导,固定补偿,有,25,百分比,定期交易,政府定价,按月结算,中国电网公司,http://www.sgcc.com.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,11,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,无,18,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,20,百分比,按需交易,市场价格,按小时结算,中国电力发展促进中心,http://www.cdmc.org.cn/,,
2025,2,边际定价,政府指导,固定补偿,无,22,百分比,定期交易,政府定价,按月结算,中国电力工程顾问集团,http://www.cpecc.com.cn/,,
2025,3,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,10,混合模式,混合定价,固定补偿,无,14,百分比,灵活交易,市场与政府结合,按年结算,国家能源局,https://www.nea.gov.cn/,,
2024,5,现货市场,自主定价,由市场调节,有,13,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,4,边际定价,政府指导,固定补偿,有,19,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,按比例分配,有,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,25,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,有,22,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,12,混合模式,混合定价,由市场调节,有,30,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,1,现货市场,自由定价,固定补偿,有,16,百分比,按需交易,市场价格,按小时结算,中国电力新闻网,http://www.chinaelectrical.com/,,
2025,2,边际定价,政府指导,按比例分配,无,19,百分比,定期交易,政府定价,按月结算,电力市场监测中心,http://www.emp.gov.cn/,,
2025,3,长期合同,固定价格,由市场调节,有,21,百分比,合同交易,固定价格,按年度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,4,混合模式,混合定价,固定补偿,有,28,百分比,灵活交易,市场与政府结合,按季度结算,全球能源互联网发展合作组织,http://www.geidco.org/,,
2025,5,现货市场,自由定价,双方协商,无,35,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2025,6,边际定价,政府指导,按比例分配,有,40,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国电力市场监管委员会,https://www.cer.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,25,百分比,定期交易,政府定价,按月结算,国家能源局,https://www.nea.gov.cn/,,
2024,11,长期合同,固定价格,双方协商,无,22,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,28,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,1,现货市场,自由定价,由市场调节,有,30,百分比,按需交易,市场价格,按小时结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,2,边际定价,政府指导,固定补偿,有,14,百分比,定期交易,政府定价,按月结算,中国电力市场调度中心,https://www.cepb.gov.cn/,,
2025,3,长期合同,固定价格,双方协商,无,19,百分比,合同交易,固定价格,按季度结算,中国绿色电力发展联盟,https://www.cgreenpower.com/,,
2025,4,混合模式,混合定价,按比例分配,有,27,百分比,灵活交易,市场与政府结合,按年结算,国际可再生能源机构,https://www.irena.org/,,
2025,5,现货市场,自由定价,由市场调节,有,23,百分比,按需交易,市场价格,按小时结算,中国能源监管委员会,https://www.nerc.gov.cn/,,
2024,5,现货市场,自由定价,市场调节,有,8,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,8,边际定价,政府指导,固定补偿,有,18,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,长期合同,固定价格,双方协商,无,25,百分比,合同交易,固定价格,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,10,混合模式,市场与政府结合,按比例分配,有,10,百分比,灵活交易,市场定价,按季度结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,11,现货市场,自由定价,市场调节,无,15,百分比,按需交易,市场价格,按月结算,国家电网公司,http://www.sgcc.com.cn/,,
2023,12,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按季结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,1,长期合同,固定价格,双方协商,无,30,百分比,合同交易,固定价格,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,2,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按季度结算,国家能源局,https://www.nea.gov.cn/,,
2024,3,现货市场,自由定价,由市场调节,有,12,百分比,按需交易,市场价格,按月结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,4,边际定价,政府指导,固定补偿,无,16,百分比,定期交易,政府定价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,5,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,9,边际定价,政府指导,固定补偿,有,22,百分比,定期交易,政府定价,按月结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,10,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国能源研究会,http://www.cer.org.cn/,,
2023,11,混合模式,混合定价,按比例分配,无,14,百分比,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,,
2023,8,现货市场,自主定价,由市场调节,有,19,百分比,竞价交易,市场价格,按日结算,可再生能源信息网,http://www.reinfo.gov.cn/,,
2024,1,边际定价,政府指导,固定补偿,无,17,百分比,定期交易,政府定价,按月结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,4,长期合同,固定价格,双方协商,有,21,百分比,合同交易,固定价格,按季度结算,全国电力调度控制中心,http://www.sdpc.gov.cn/,,
2024,2,混合模式,混合定价,按比例分配,无,16,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,6,现货市场,自由定价,由市场调节,有,23,百分比,按需交易,市场价格,按小时结算,中国电力传媒集团,http://www.electricitymedia.com/,,
2024,3,边际定价,政府指导,固定补偿,有,24,百分比,定期交易,政府定价,按月结算,中国电力供需预测中心,http://www.cpfgc.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,22,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,9,混合模式,市场定价,按比例分配,有,14,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,8,现货市场,自由定价,由市场调节,有,16,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,1,边际定价,政府指导,固定补偿,无,20,百分比,定期交易,政府定价,按月结算,中国能源研究院,http://www.ceri.com.cn/,,
2025,2,长期合同,固定价格,双方协商,有,30,百分比,合同交易,固定价格,按季度结算,中国可再生能源网,http://www.ctsi.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,无,13,百分比,灵活交易,市场与政府结合,按年结算,国家电网公司,http://www.sgcc.com.cn/,,
2025,3,现货市场,自由定价,由市场调节,有,28,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2025,4,边际定价,政府指导,固定补偿,有,35,百分比,定期交易,政府定价,按月结算,国家能源局,https://www.nea.gov.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国电力监测中心,http://www.cpma.org.cn/,,
2024,10,边际定价,政府指导,固定补偿,无,22,百分比,定期交易,政府定价,按月结算,国家可再生能源中心,http://www.nrec.gov.cn/,,
2023,11,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源投资协会,http://www.creia.org.cn/,,
2024,12,混合模式,混合定价,按比例分配,有,8,百分比,灵活交易,市场与政府结合,按年结算,中电联,http://www.cec.org.cn/,,
2025,1,现货市场,自有价格,由市场调节,有,30,百分比,按需交易,市场价格,按小时结算,中国电力公司,http://www.sgcc.com.cn/,,
2024,3,长期合同,固定价格,双边协商,有,17,百分比,合同交易,固定价格,按季度结算,可再生能源中国,http://www.renewableenergy.org.cn/,,
2025,2,边际定价,政府指导,固定补偿,无,20,百分比,定期交易,政府定价,按月结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,5,混合模式,混合定价,按比例分配,无,11,百分比,灵活交易,市场与政府结合,按年结算,中国国际经济交流中心,http://www.ciae.org.cn/,,
2024,4,现货市场,自由定价,由市场调节,有,19,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,9,现货市场,市场主导,市场调节,无,18,百分比,按需交易,市场价格,按实时结算,中国电力市场发展研究院,https://www.cspm.org.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,12,百分比,灵活交易,政府与市场结合,按半月结算,能源基金会,https://www.efchina.org/,,
2024,11,长期合同,平衡定价,双方协商,无,25,百分比,合同交易,固定价格,按月结算,中国清洁能源发展协会,http://www.cleangreen.org.cn/,,
2023,11,混合模式,动态定价,比例分配,有,22,百分比,定期交易,市场价格,按季度结算,中国电力监测中心,http://www.cepp.org.cn/,,
2024,12,现货市场,自我调节,市场调节,有,10,百分比,灵活交易,市场价格,按小时结算,中国能源研究院,https://www.ceri.org.cn/,,
2025,1,边际定价,政府引导,固定补偿,无,17,百分比,按需交易,政府定价,按年结算,中国环境保护部,http://www.sepb.gov.cn/,,
2025,2,长期合同,自我管理,双方协商,有,20,百分比,合同交易,固定价格,按季度结算,国际可再生能源署,https://www.irena.org/,,
2025,3,现货市场,自由市场,按比例分配,无,19,百分比,灵活交易,市场与政府结合,按半月结算,中国风能协会,http://www.cwea.org.cn/,,
2025,4,混合模式,多元定价,市场调节,有,15,百分比,定期交易,市场价格,按季度结算,中国电力发展公司,http://www.cedc.com.cn/,,
2025,5,边际定价,政府监管,固定补偿,有,14,百分比,按需交易,政府与市场结合,按月结算,中国电力网,http://www.chinaelectricity.com.cn/,,
2024,9,现货市场,自由定价,由市场调节,有,18,百分比,按需交易,市场价格,按小时结算,中国能源研究院,https://www.ceri.cn/,,
2024,10,长协模式,固定价格,双边协商,无,22,百分比,合同交易,固定价格,按季度结算,全国电力监控中心,http://www.sgcc.com.cn/,,
2024,11,混合模式,混合定价,根据需求分配,有,14,百分比,灵活交易,市场与政府结合,按月结算,中国绿色开发基金,http://www.cgdf.org.cn/,,
2024,12,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按年结算,中国能源局,https://www.nea.gov.cn/,,
2023,11,现货市场,自由定价,由市场调节,无,17,百分比,按需交易,市场价格,按小时结算,中国新能源技术推广办公室,http://www.neatech.gov.cn/,,
2023,10,长期合同,固定价格,双方协商,有,19,百分比,合同交易,固定价格,按季度结算,全国能源大数据中心,https://www.energydatacenter.cn/,,
2024,1,混合模式,混合定价,按比例分配,无,15,百分比,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,2,现货市场,自由定价,由市场调节,有,20,百分比,按需交易,市场价格,按小时结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,3,边际定价,政府指导,固定补偿,有,23,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2024,9,现货市场,市场定价,动态调整,有,18,百分比,灵活交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
2024,10,边际定价,政府指导,容量补偿,无,22,百分比,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,,
2025,1,长期合同,固定价格,双方协商,有,25,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2023,11,混合模式,混合定价,依据市场反馈,有,14,百分比,按需交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,12,现货市场,动态定价,实时调整,有,17,百分比,灵活交易,市场价格,按小时结算,中国电力基础设施网,http://www.ceapower.com/,,
2025,2,边际定价,政策引导,成本补偿,无,30,百分比,定期交易,政府定价,按月结算,中国社会科学院,http://www.cssn.cn/,,
2025,3,长期合同,合同定价,协商解决,有,20,百分比,合同交易,固定价格,按季结算,中国电力市场管理中心,http://www.pecc.org.cn/,,
2024,1,混合模式,混合定价,比例调整,有,11,百分比,灵活交易,市场与政府结合,按年结算,国家电网公司,http://www.sgcc.com.cn/,,
2024,5,现货市场,市场调整,按需调整,无,19,百分比,按需交易,市场价格,按小时结算,可再生能源协会,http://www.a-rea.org/,,
2025,4,边际定价,政府调控,至少补偿,有,27,百分比,定期交易,政府定价,按月结算,能源指引网,http://www.energyguidance.com/,,
2024,9,现货市场,自由定价,按需交易,有,14,百分比,灵活交易,市场价格,按小时结算,中国电力规划设计总院,http://www.chinaep.com,,
2024,10,边际定价,政府指导,固定补偿,有,18,百分比,定期交易,政府定价,按月结算,中国能源统计年鉴,http://www.chinapower.com.cn,,
2023,11,长期合同,固定价格,双方协商,无,22,百分比,合同交易,固定价格,按季度结算,全球风能理事会,http://www.gwec.net,,
2024,1,混合模式,混合定价,按比例分配,有,13,百分比,灵活交易,市场与政府结合,按年结算,中国可再生能源发展中心,http://www.credec.org.cn,,
2024,2,现货市场,自由定价,由市场调节,无,25,百分比,按需交易,市场价格,按小时结算,中国环境保护部,http://www.mee.gov.cn,,
2024,3,边际定价,政府指导,固定补偿,有,16,百分比,定期交易,政府定价,按月结算,国家可再生能源实验室,http://www.nrel.gov,,
2023,8,长期合同,固定价格,双方协商,有,19,百分比,合同交易,固定价格,按季度结算,国际可再生能源机构,http://www.irena.org,,
2024,4,混合模式,混合定价,按比例分配,有,20,百分比,灵活交易,市场与政府结合,按年结算,清华大学可再生能源研究所,http://www.trust.org,,
2024,5,现货市场,自由定价,由市场调节,无,21,百分比,按需交易,市场价格,按小时结算,中国电力投资集团公司,http://www.cpipc.com,,
2024,9,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,中国电力新闻网,http://www.cpe.com.cn/,,
2024,10,边际定价,政府指导,固定补偿,有,25,百分比,定期交易,政府定价,按月结算,国家电网公司,http://www.sgcc.com.cn/,,
2025,1,长期合同,固定价格,双方协商,有,20,百分比,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,,
2024,11,混合模式,混合定价,按比例分配,有,22,百分比,灵活交易,市场与政府结合,按半年结算,中国能源报,http://www.energynews.com.cn/,,
2025,6,现货市场,自由定价,由市场调节,无,30,百分比,依需交易,市场价格,按小时结算,中国电力企业联合会,http://www.cec.org.cn/,,
2026,3,边际定价,政府指导,固定补偿,有,35,百分比,定期交易,政府定价,按年结算,国家能源局,http://www.nea.gov.cn/,,
2024,12,长期合同,固定价格,双方协商,有,28,百分比,合同交易,固定价格,按季度结算,清洁能源促进中心,http://www.cea-cc.org/,,
2025,5,混合模式,混合定价,按比例分配,无,16,百分比,灵活交易,市场与政府结合,按月结算,中国能源发展研究中心,http://www.chinaenergy.org.cn/,,
2026,4,现货市场,自由定价,由市场调节,有,10,百分比,按需交易,市场价格,按小时结算,可再生能源网,http://www.renewableenergyweb.com/,,
2025,2,边际定价,政府指导,固定补偿,无,24,百分比,定期交易,政府定价,按年结算,中国可再生能源协会,http://www.creia.org.cn/,,
2024,9,现货市场,自由定价,由市场调节,无,18,百分比,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,,
