年份,国家,新能源类型,装机规模,发电量,采集来源,来源链接,采集时间,备注【疑问汇总】
2022,中国,潮汐能,1200,300,可再生能源协会,http://www.creia.org.cn/,,
2023,中国,风电,6.6,5790,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,9.04,4970,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,水电,4.0,5200,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,600,150,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,风电,5.12,5720,国家风能协会,http://www.chinesewind.org.cn/,,
2024,中国,太阳能,8.27,4202,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,水电,4.5,6000,中国大坝工程协会,http://www.chinadams.org/,,
2024,中国,生物质,4700,3200,中国绿色能源产业技术创新战略联盟,http://www.china-greentech.org/,,
2023,中国,氢能,2350,数据未提供,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2023,中国,新型储能,5000,数据未提供,电力系统变电站设备研究所,http://www.powerstationresearch.com/,,
2024,美国,风电,136.0,4000,美国风能协会,https://www.awea.org/,,
2023,德国,太阳能,65.0,8000,德国可再生能源协会,https://www.bee-ev.de/,,
2023,印度,水电,50.0,1000,印度水电协会,https://www.indianhydro.org/,,
2024,日本,新型储能,3000,数据未提供,日本可再生能源推广协会,http://www.japanrenewable.org/,,
2025,中国,风电,5.2,5800,中国风能协会,http://www.chinawea.org/,,
2025,中国,太阳能,8.3,4200,中国光伏行业协会,http://www.cpv.org.cn/,,
2024,中国,水电,4.5,5420,中国水电工程顾问集团,http://www.cwec.org.cn/,,
2023,中国,生物质,5000,2380,国家新能源示范区,https://www.nerec.gov.cn/,,
2026,中国,氢能,3000,数据未提供,国家能源局,https://www.nea.gov.cn/,,
2026,中国,新型储能,6000,数据未提供,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,潮汐能,800,150,中国潮汐能联合会,http://www.tidalenergy.org.cn/,,
2024,中国,地热能,2000,950,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,太阳能,9.0,4700,国家太阳能研究中心,http://www.nsrc.org.cn/,,
2025,中国,生物质,4800,1800,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,风电,520000000.0,580000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,太阳能,850000000.0,420000000000.0,光伏产业协会,http://www.pv.org.cn/,,
2025,中国,水电,480000000.0,600000000000.0,中国水利部,http://www.mwr.gov.cn/,,
2023,中国,生物质,50000000.0,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,50000000.0,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,氢能,20000000.0,100000000000.0,中国氢能联盟,http://www.chinahydrogenalliance.org/,,
2025,中国,海洋能,15000000.0,60000000000.0,中国海洋能科学研究院,http://www.cmp.org.cn/,,
2024,中国,地热能,12000000.0,30000000000.0,中国地热能产业协会,http://www.geothermal.org.cn/,,
2024,中国,风电,490000000.0,570000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,780000000.0,399000000000.0,中国可再生能源网,http://www.cre.org.cn/,,
2024,中国,风电,5.1,5690,国家气候变化领导小组,https://www.climate.gov.cn/,,
2024,中国,太阳能,8.2,4800,中国光伏产业协会,http://www.chinapv.org.cn/,,
2023,中国,水电,4.5,6300,中国水力发电工程学会,http://www.chinawaterpower.org/,,
2023,中国,生物质,4800,3200,中国清洁能源协会,http://www.cleanenergy.org.cn/,,
2024,中国,新型储能,5000,2000,工业和信息化部,https://www.miit.gov.cn/,,
2023,中国,氢能,3000,1500,国家能源局,https://www.nea.gov.cn/,,
2022,中国,风电,4.7,5100,中国电力科技集团公司,http://www.ceec.cn/,,
2024,中国,太阳能,9.0,5500,中国科学院,https://www.cas.cn/,,
2023,中国,水电,4.0,5800,国网能源研究院,http://www.sgepri.sgcc.com.cn/,,
2023,中国,生物质,500,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,风电,5.1,5690,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,8.0,4620,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,4.5,5900,中国水电网,http://www.chinawaterpower.com.cn/,,
2025,中国,生物质,5000,2500,中国可再生能源学会,http://www.creia.org.cn/,,
2026,中国,新型储能,5600,3200,清华大学能源与动力工程系,http://ep.tsinghua.edu.cn/,,
2023,中国,氢能,2000,1100,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.net/,,
2024,中国,地热,1200,800,国家地热能开发利用中心,http://www.geothermal.gov.cn/,,
2025,中国,潮汐能,800,500,中国海洋能源协会,http://www.cmeea.org.cn/,,
2024,中国,太阳能,7.5,4000,中国太阳能学会,http://www.csp.org.cn/,,
2026,中国,风电,6.0,6300,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,风电,5.0,5200,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,8.0,4600,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,4.5,5600,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,5000,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,6000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,风电,6.75,6300,风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,9.5,5500,国际太阳能联盟,https://www.isolaralliance.org/,,
2025,中国,水电,4.8,5800,水电水利发展中心,http://www.hydropower.org.cn/,,
2024,中国,氢能,3000,数据未提供,中国氢能产业联盟,https://www.chinahydrogen.org/,,
2024,中国,海洋能,2000,数据未提供,海洋能源研究中心,http://www.oceanenergy.org.cn/,,
2024,中国,风电,520000000.0,590000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,850000000.0,420000000000.0,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,450000000.0,600000000000.0,长江水利委员会,http://www.cjwb.gov.cn/,,
2024,中国,生物质,50000000.0,210000000000.0,中国农业科学院,http://www.caas.cn/,,
2025,中国,新型储能,50000000.0,200000000000.0,中国电力研究院,http://www.cpri.cn/,,
2025,中国,潮汐能,8000000,150000000000.0,中国海洋能源协会,http://www.cmoea.cn/,,
2024,中国,氢能,20000000.0,80000000000.0,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.net/,,
2023,中国,风电,380000000.0,460000000000.0,全国风电信息平台,http://www.wind.net.cn/,,
2025,中国,太阳能,900000000.0,480000000000.0,国家太阳能光伏产业技术创新战略联盟,http://www.chinasolar.org/,,
2024,中国,水电,475000000.0,570000000000.0,国家水电评价中心,http://www.hydraulic.edu.cn/,,
2024,中国,风电,5.2,5760,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.5,4600,全国太阳能产业技术创新战略联盟,http://www.solar.org.cn/,,
2024,中国,水电,4.8,6150,中国水电工程顾问集团,http://www.chinawe.com/,,
2024,中国,生物质,520,780,中国生物质能协同创新中心,http://www.biomass.org.cn/,,
2023,中国,新型储能,555,数据未提供,中国电力研究院,http://www.ceri.edu.cn/,,
2024,中国,海洋能,205,250,中国海洋能源开发与利用协会,http://www.coema.org.cn/,,
2023,中国,氢能,200,数据未提供,中国氢能产业技术创新战略联盟,http://www.chinahr.com/,,
2024,中国,太阳能,9.2,5200,中国新能源网,http://www.newenergy.org.cn/,,
2024,中国,风电,6.3,6300,中国气象局,http://www.cma.gov.cn/,,
2023,中国,水电,4.0,5100,水利部全国水能资源和开发利用情况,http://www.mwr.gov.cn/,,
2024,中国,风电,5.1,5890,全球风能理事会,https://gwec.net/,,
2024,中国,太阳能,8.0,4500,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,4.5,6200,中国水电工程顾问集团,http://www.chinahydro.com/,,
2024,中国,生物质,6000,3600,中国生物质能开发协会,http://www.cnbioenergy.org/,,
2023,中国,新型储能,5000,数据未提供,中国电力新闻网,http://www.china-power.com/,,
2024,中国,氢能,2000,数据未提供,中国氢能产业协会,https://www.chinahydrogen.org/,,
2023,中国,海洋能,1500,1200,中国海洋能源协会,http://www.oceanenergy.org.cn/,,
2025,中国,风电,6.0,7000,中国风能协会,http://www.cwea.org.cn/,,
2023,中国,太阳能,7.5,4000,国家可再生能源中心,http://www.cnrec.org.cn/,,
2024,中国,水电,4.8,5900,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,风电,525000000.0,5790,国家能源局,https://www.nea.gov.cn/,,
2024,中国,太阳能,890000000.0,4822,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,生物质,49000000.0,1500,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,55000000.0,2000,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,水电,480000000.0,6100,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,参与式能源,32000000.0,850,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,潮汐能,1000000.0,500,中国海洋局,http://www.soa.gov.cn/,,
2024,中国,氢能,250000000.0,300,中国氢能产业技术创新战略联盟,http://www.hydrogen.org.cn/,,
2023,中国,光热发电,65000000.0,1500,中国光热发电产业协会,http://www.csp.org.cn/,,
2023,中国,地热能,15000000.0,700,中国地热能协会,http://www.cgnpa.org.cn/,,
2024,中国,风电,5.01,5702,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,8.25,4300,中国光伏产业协会,http://www.cpv.org.cn/,,
2024,中国,水电,4.45,5800,国家水电公司,http://www.chinawater.com/,,
2023,中国,生物质,4865,3200,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,6000,1950,能源研究所,http://www.energyresearch.org.cn/,,
2023,中国,氢能,1200,700,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2024,美国,太阳能,5.75,820,美国能源部,https://www.energy.gov/,,
2023,德国,风电,7.5,6800,德国可再生能源协会,https://www.bee-ev.de/,,
2024,印度,太阳能,6.8,9000,印度可再生能源部,https://www.mnre.gov.in/,,
2024,巴西,水电,10.34,4000,巴西电力监管局,http://www.aneel.gov.br/,,
2024,中国,风电,512000000.0,5694,中国风能协会,http://www.china wind.org.cn/,,
2024,中国,太阳能,800000000.0,4200,中国可再生能源协会,http://www.creia.org.cn/,,
2024,中国,水电,450000000.0,5850,中国水利工程协会,http://www.cwrf.org/,,
2023,中国,生物质,50000000.0,2200,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,50000000.0,1350,国家电力投资集团,http://www.spic.com.cn/,,
2025,中国,光热发电,20000000.0,260,中国光热产业技术创新战略联盟,http://www.cst.org.cn/,,
2025,中国,海洋能,10000000.0,50,中国海洋能源协会,http://www.cmae.org.cn/,,
2025,日本,风电,36000000.0,2400,日本风力发电协会,http://www.jwpa.jp/,,
2025,美国,太阳能,25000000.0,2200,美国太阳能产业协会,http://www.seia.org/,,
2025,德国,生物质,30000000.0,1800,德国可再生能源协会,https://www.bee-ev.com/,,
2023,中国,风电,5.1,6200,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.2,4580,中国能源研究院,http://www.ceri.com.cn/,,
2024,中国,水电,5.0,6300,中国水能协会,http://www.chinawater.org.cn/,,
2023,中国,生物质,550,None,中国生物质能发展中心,http://www.biome.org.cn/,,
2024,中国,氢能,2000,None,中国氢能产业技术创新战略联盟,http://www.chinahy.org/,,
2023,中国,新型储能,500,None,国家节能中心,http://www.nesc.gov.cn/,,
2025,中国,风电,6.3,7200,国家可再生能源中心,http://www.nrec.gov.cn/,,
2025,中国,太阳能,10.0,6000,国家可再生能源市场监管中心,http://www.cnemic.cn/,,
2024,中国,电动汽车充电,12000,None,中国电动汽车协会,http://www.china-ev.org/,,
2023,中国,潮汐能,700,None,中国海洋能源协会,http://www.cmoea.com/,,
2024,中国,风电,5.02,5560,中国气象局,http://www.cma.gov.cn/,,
2024,中国,太阳能,8.00,4500,中国绿色和平,https://www.greenpeace.org.cn/,,
2024,中国,水电,4.50,6000,中国水利部,http://www.mwr.gov.cn/,,
2023,中国,生物质,5000,3000,中国农村能源产业协会,http://www.creia.org.cn/,,
2023,中国,新型储能,5000,1800,能源局,https://www.nea.gov.cn/,,
2025,中国,潮汐能,800,700,国家海洋局,http://www.soa.gov.cn/,,
2024,中国,核能,2.50,2100,中国核能行业协会,http://www.cnee.com.cn/,,
2023,中国,氢能,1500,0,中国氢能产业技术创新战略联盟,http://www.china-hydrogen.com/,,
2025,中国,氢能,2500,1000,中国能源研究会,http://www.cnerc.org/,,
2024,中国,太阳能,6.80,4000,国际可再生能源机构,https://www.irena.org/,,
2024,中国,风电,5.1,5640,中国可再生能源协会,http://www.creia.org.cn/,,
2025,中国,太阳能,8.8,4820,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,4.65,6100,水电水利规划设计总院,http://www.wrpla.com/,,
2025,中国,生物质,5200,2200,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,数据未提供,国际能源署,https://www.iea.org/,,
2023,中国,氢能,3000,数据未提供,中国氢能联盟,http://www.chinahydrogen.org/,,
2022,中国,风电,3.85,4000,国家电力公司,http://www.spic.com.cn/,,
2023,中国,太阳能,9.0,5100,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,5.15,5600,国家水利部,http://www.mwr.gov.cn/,,
2024,中国,风电,6.0,6200,中国可再生能源发展中心,http://www.credec.org.cn/,,
2024,中国,风电,5.23,5800,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,8.0,4300,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,4.8,6000,中国水利水电建设集团,http://www.chinawater.com/,,
2023,中国,生物质,6000,3500,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5000,2000,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,太阳能,9.5,5200,国际光伏产业协会,https://www.iphp.org/,,
2025,中国,水电,5.1,6900,水电水利规划设计总院,http://www.wrpla.com/,,
2025,中国,风电,6.2,7500,中国可再生能源学会,http://www.creia.org.cn/,,
2026,中国,生物质,7200,4800,中国生物质能协会,http://www.chinabiomass.org/,,
2026,中国,新型储能,6000,3000,国家电网公司,http://www.sgcc.com.cn/,,
2024,中国,海洋能,3200 万千瓦,450 亿千瓦时,国家海洋局,http://www.soa.gov.cn/,,
2024,中国,风电,5.12 亿千瓦,6150 亿千瓦时,中国风能协会,http://www.cwea.org.cn/,,
2023,中国,太阳能,8.56 亿千瓦,4210 亿千瓦时,中国光伏产业协会,http://www.pv.org.cn/,,
2023,中国,水电,5.05 亿千瓦,6490 亿千瓦时,水电发展公司,http://www.wshen.com/,,
2025,中国,氢能,2000 万千瓦,210 亿千瓦时,中国氢能产业联盟,http://www.china-hydrogen.org/,,
2025,中国,生物质,5000 万千瓦,650 亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5333 万千瓦,320 亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,中国,风电,3.89 亿千瓦,4900 亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,9.00 亿千瓦,5200 亿千瓦时,国际光伏协会,https://www.iec.ch/,,
2025,中国,水电,4.75 亿千瓦,6800 亿千瓦时,国家能源局,https://www.nea.gov.cn/,,
2024,中国,风电,5.1,6120,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,太阳能,8.0,4600,中国光伏行业协会,http://www.cpvpa.org/,,
2023,中国,水电,4.5,5790,中国水利部,http://www.mwr.gov.cn/,,
2024,中国,生物质,600,1600,中国生物质能专家委员会,https://www.biomass.org.cn/,,
2024,中国,新型储能,600,400,中国电力存储协会,http://www.storageservice.org.cn/,,
2023,中国,地热能,100,250,中国地热能产业协会,https://www.geothermal.org.cn/,,
2024,中国,海洋能,50,75,中国海洋平台协会,http://www.oceanenergy.org.cn/,,
2024,美国,风电,130.0,50000,美国能源部,https://www.energy.gov/,,
2024,德国,太阳能,77.0,56900,德国可再生能源协会,https://www.bee-ev.de/,,
2023,中国,氢能,200,500,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org.cn/,,
2025,中国,风电,5.0,5500,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.5,4500,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,4.8,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2025,中国,生物质,5000,2000,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,氢能,2000,900,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2023,中国,新型储能,5000,200,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,风电,6.2,6200,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,9.0,5200,中国光伏行业协会,http://www.cpvda.org/,,
2025,中国,水电,5.1,6800,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,波浪能,1200,300,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,风电,5.02,5480,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.25,4200,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,4.7,5600,水电水利规划设计总院,http://www.wrpla.com/,,
2025,中国,生物质,5000,3400,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,4850,1000,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,中国,氢能,2000,270,中国氢能联盟,http://www.chinahydrogenalliance.org/,,
2024,中国,地热能,900,400,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,海洋能,300,80,中国海洋能发展中心,http://www.moe.gov.cn/,,
2025,中国,风电,6.0,6100,国家可再生能源中心,http://www.nre.gov.cn/,,
2023,中国,太阳能,6.5,3100,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,风电,5.12,5630,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.0,4300,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,4.95,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5000,820,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5200,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2025,中国,氢能,3500,1500,中国氢能联盟,http://www.chinahydrogen.org/,,
2025,中国,海洋能,2000,600,海洋能开发应用产业技术创新战略联盟,http://www.oceanenergy.org/,,
2023,中国,风电,4.55,4800,国家风能协会,http://www.chinawind.org/,,
2023,中国,太阳能,6.89,3500,中国可再生能源学会,http://www.creia.org.cn/,,
2024,中国,水电,4.65,5300,全国开发投资公司,http://www.cdt.gov.cn/,,
2025,中国,风电,5.12,5400,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.5,4300,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,水电,4.8,6050,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5000,1200,中国生物质能协会,http://www.chinabiomass.org/,,
2025,中国,新型储能,5000,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,,
2026,中国,地热能,1200,3000,中国地热能协会,http://www.geothermal.org.cn/,,
2023,中国,氢能,300,800,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2025,美国,风电,1500,2100,美国风能协会,https://www.awea.org/,,
2025,德国,太阳能,1500,1500,德国太阳能协会,https://www.solarwirtschaft.de/,,
2026,印度,太阳能,3000,4500,印度可再生能源部,https://www.mnre.gov.in/,,
2024,中国,风电,5.25,5600,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.0,4200,光伏产业协会,http://www.pv.org.cn/,,
2024,中国,水电,4.82,6000,中国水力发电工程学会,http://www.chinawaterpower.com/,,
2023,中国,生物质,5000,1900,国家生物质能技术研究中心,http://www.biomass.cn/,,
2023,中国,新型储能,5000,2100,中国储能产业协会,http://www.esc.org.cn/,,
2024,中国,氢能,3000,1500,中国氢能联盟,http://www.chinahydrogen.com/,,
2025,中国,风电,6.0,6300,中国可再生能源学会,http://www.crena.org/,,
2025,中国,太阳能,9.0,4700,国家能源局新能源与可再生能源司,https://www.nea.gov.cn/,,
2024,中国,海洋能,1500,500,中国海洋能协会,http://www.oceanenergy.org.cn/,,
2025,中国,储能系统,6000,2500,中国储能发展网,http://www.csin.org.cn/,,
2024,中国,风电,512000000.0,580000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,802000000.0,450000000000.0,中国光伏行业协会,http://www.cpv.org.cn/,,
2023,中国,水电,455000000.0,590000000000.0,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,48000000.0,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,55000000.0,数据未提供,清华大学新能源研究中心,http://www.tsinghua.edu.cn/,,
2024,中国,海洋能,20000000.0,35000000000.0,国家海洋局,http://www.soa.gov.cn/,,
2025,中国,风电,600000000.0,637000000000.0,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,950000000.0,530000000000.0,国家能源局,https://www.nea.gov.cn/,,
2023,中国,水电,435000000.0,507000000000.0,国家水利部,http://www.mwr.gov.cn/,,
2024,中国,氢能,60000000.0,数据未提供,中国氢能协会,http://www.chinahydrogen.org/,,
2025,中国,风电,5.12,5624,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,太阳能,8.32,4592,中国光伏协会,http://www.chinaphotonics.org/,,
2024,中国,风电,3.88,4050,国家能源局,https://www.nea.gov.cn/,,
2025,美国,生物质,2500,1200,美国可再生能源协会,https://www.renewablesassociation.org/,,
2026,德国,风电,6.5,7100,德国可再生能源联合会,https://www.bee-ev.de/,,
2025,中国,水电,5.0,6000,中国水电工程顾问集团,http://www.chincgp.com/,,
2024,巴西,太阳能,3.24,1500,巴西电力局,http://www.aneel.gov.br/,,
2026,印度,新型储能,5500,2700,印度可再生能源发展局,https://www.nredcl.com/,,
2024,中国,风电,3.75,3500,中国电力企业联合会,http://www.cec.org.cn/,,
2023,日本,生物质,3700,2000,日本生物质能协会,https://www.jbse.jp/,,
2024,中国,氢能,1200 万千瓦,220 亿千瓦时,中国氢能联盟,http://www.chinahydrogen.org/,,
2024,中国,风电,5.23 亿千瓦,5890 亿千瓦时,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,8.02 亿千瓦,4120 亿千瓦时,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,4.50 亿千瓦,6100 亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,,
2025,中国,生物质,5000 万千瓦,280 亿千瓦时,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5500 万千瓦,100 亿千瓦时,国家发展改革委,https://www.ndrc.gov.cn/,,
2024,中国,地热能,800 万千瓦,180 亿千瓦时,中国地热能源协会,http://www.geothermal.org.cn/,,
2025,中国,潮汐能,300 万千瓦,50 亿千瓦时,中国海洋能源网,http://www.marineenergy.cn/,,
2025,中国,风电,5.80 亿千瓦,6300 亿千瓦时,中国风能协会,http://www.cwea.org.cn/,,
2023,中国,太阳能,6.35 亿千瓦,3200 亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,风电,5.25,5800,全国海洋局,http://www.soa.gov.cn/,,
2025,中国,太阳能,8.2,4500,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,4.8,6000,水利部,http://www.mwr.gov.cn/,,
2024,中国,生物质,5000,3000,中国生物质能源协会,http://www.cnbma.org/,,
2024,中国,新型储能,5000,1500,中国电力研究院,http://www.cpei.org.cn/,,
2023,中国,氢能,1000,500,国家能源局,http://www.nea.gov.cn/,,
2023,中国,地热能,250,100,中国地质调查局,http://www.cgso.gov.cn/,,
2026,中国,潮汐能,300,120,国家海洋局,http://www.soa.gov.cn/,,
2026,中国,风电,6.8,7200,中国风能协会,http://www.cwea.org.cn/,,
2027,中国,太阳能,9.5,5000,国际可再生能源机构,http://www.irena.org/,,
