日期,地区,铁路站点,铁路线路,发送目的地,旅客发送量,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-09-30,广东,深圳北站,广深港高铁,香港,160.2,万人,深圳市交通局,http://www.sz.gov.cn/,,
2023-10-01,江苏,南京南站,宁杭高铁,杭州、北京等,198.4,万人,中国国家铁路集团,http://www.nra.gov.cn/,,
2024-08-15,浙江,温州南站,温福高铁,福州、上海等,88.5,万人,浙江省交通运输厅,http://www.zjt.gov.cn/,,
2023-10-03,四川,成都东站,成贵高铁,贵阳、重庆等,145.0,万人,四川省铁路局,http://www.scrailway.com/,,
2024-05-01,湖北,武汉站,汉口-黄冈高铁,黄冈、深圳等,123.7,万人,湖北省交通办公厅,http://jt.hubei.gov.cn/,,
2024-07-02,辽宁,沈阳北站,沈丹高铁,丹东、长春等,182.3,万人,沈阳铁路局,http://www.syrailway.com/,,
2023-12-15,广西,南宁东站,南广高铁,广州、桂林等,90.6,万人,广西自治区交通厅,http://www.gxzjt.gov.cn/,,
2024-01-01,海南,海口美兰机场站,海口-三亚高铁,三亚、北京等,75.0,万人,海南省文化和旅游厅,http://www.hainan.gov.cn/,,
2024-06-12,陕西,西安北站,西宝高铁,宝鸡、成都等,110.9,万人,陕西省交通运输厅,http://www.shaanxi.gov.cn/,,
2024-10-02,广州,广州白云机场站,广深高铁、广珠城际,深圳、珠海等,218.0,万人,《广州日报》,https://www.gzrb.com,,
2024-10-01,成都,成都东站,成渝高铁、成贵高铁,重庆、贵阳等,420.7,万人,成都市交通运输局,http://jtj.chengdu.gov.cn,,
2024-10-03,武汉,武汉站,京广高铁、沪蓉高铁,北京、上海等,310.2,万人,武汉铁路局,http://www.wuhanrailway.gov.cn,,
2023-09-30,西安,西安北站,西安至兰州高铁,兰州、银川等,150.5,万人,西北铁路研究中心,http://www.nwrailway.org,,
2024-10-04,沈阳,沈阳北站,沈哈高铁、绥满高铁,哈尔滨、长春等,87.3,万人,辽宁省交通运输厅,http://jtt.ln.gov.cn,,
2024-10-05,南京,南京南站,宁杭高铁、京沪高铁,杭州、上海等,310.0,万人,江苏省交通运输厅,http://jst.gov.cn,,
2024-10-06,苏州,苏州站,沪宁城际、宁杭高铁,南京、上海等,230.2,万人,苏州市铁路交通管理局,http://www.suzhou.gov.cn,,
2024-10-07,深圳,深圳北站,广深港高铁、厦深高铁,香港、厦门等,372.1,万人,深圳市交通委员会,http://jtysj.sz.gov.cn,,
2024-10-08,昆明,昆明南站,昆玉高铁、沪昆高铁,玉溪、上海等,145.6,万人,云南省交通运输厅,http://jtt.yn.gov.cn,,
2024-10-09,青岛,青岛北站,青连高铁、胶济客专,连云港、济南等,180.4,万人,山东省交通运输厅,http://jtt.shandong.gov.cn,,
2024-10-05,成都,成都东站,成渝高铁,重庆、武汉等,275.0,万人,中国铁路总公司,https://www.china-railway.com/,,
2024-10-05,上海,上海虹桥站,京沪高铁,南京、杭州等,455.2,万人,上海市交通运输委员会,http://jtyj.sh.gov.cn/,,
2024-10-01,广州,广州火车站,广珠城际,福州、深圳等,188.4,万人,广东省交通运输厅,http://jtt.gd.gov.cn/,,
2023-09-30,昆明,昆明南站,昆明到大理高铁,大理、丽江等,90.5,万人,云南省交通运输厅,http://jtt.yn.gov.cn/,,
2024-10-03,青岛,青岛北站,青连铁路,连云港、济南等,115.7,万人,山东省交通运输厅,http://jtt.shandong.gov.cn/,,
2024-10-04,长沙,长沙南站,京广高铁,北京、广州等,200.6,万人,湖南省交通运输厅,http://www.hunan.gov.cn/,,
2023-09-29,西安,西安北站,西成高铁,成都、北京等,160.3,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-10-01,郑州,郑州站,郑西高铁,西安、北京等,140.8,万人,河南省交通运输厅,http://jtt.henan.gov.cn/,,
2024-10-02,武汉,武汉站,汉宜高铁,宜昌、上海等,220.1,万人,湖北省交通运输厅,http://jtt.hubei.gov.cn/,,
2023-10-01,天津,天津西站,津保高铁,保定、石家庄等,103.2,万人,天津市交通运输委员会,http://gb.tianjin.gov.cn/,,
2024-10-01,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,250.0,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241001_15556179.htm,,
2024-09-30,广州,广州东站,广珠城际、广深港高铁,珠海、深圳等,110.5,万人,广东省交通运输厅,https://www.gd.gov.cn/zwgk/xxgkml/zt/202310/t20231001_15556179.htm,,
2024-09-29,成都,成都东站,成渝高铁,重庆、武汉等,180.2,万人,四川省交通厅,https://www.sc.gov.cn/zhuzhan/202310/t20231001_15556179.htm,,
2024-08-15,武汉,武汉站,汉口-深圳高铁,广州、深圳等,95.3,万人,湖北省交通运输厅,https://www.hubei.gov.cn/ghgkt/202310/t20231001_15556179.htm,,
2024-07-30,深圳,深圳北站,广深高铁,广州、上海等,322.4,万人,中国铁路总公司,https://www.12306.cn/mormhweb/,,
2024-06-01,西安,西安北站,西成高铁,成都、北京等,140.8,万人,陕西省交通运输厅,https://www.shaanxi.gov.cn/xinwen/202310/t20231001_15556179.htm,,
2023-11-15,南京,南京南站,宁杭高铁、京沪高铁,上海、杭州等,204.6,万人,江苏省交通运输厅,https://www.js.gov.cn/ztmt/202310/t20231001_15556179.htm,,
2023-12-20,杭州,杭州东站,沪杭高铁,上海、北京等,160.7,万人,浙江省交通运输厅,https://www.zj.gov.cn/zt/202310/t20231001_15556179.htm,,
2023-10-05,青岛,青岛北站,青连高铁,连云港、济南等,76.0,万人,山东省交通运输厅,https://www.shandong.gov.cn/xwzx/202310/t20231001_15556179.htm,,
2024-09-10,沈阳,沈阳北站,沈大高铁、哈大高铁,大连、哈尔滨等,110.0,万人,辽宁省交通运输厅,https://www.ln.gov.cn/xwzx/202310/t20231001_15556179.htm,,
2024-10-15,广州,广州东站,广珠城际、广深高铁,深圳、珠海等,250.0,万人,广东省交通运输厅,https://gdt.gov.cn/,,
2024-10-15,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,220.5,万人,上海市交通委员会,https://jt.sh.gov.cn/,,
2024-09-30,成都,成都东站,成绵乐铁路、成灌铁路,重庆、绵阳等,150.2,万人,四川省铁路局,http://www.scrail.gov.cn/,,
2024-08-15,西安,西安北站,西成高铁、宝兰高铁,宝鸡、兰州等,98.0,万人,西部铁路服务网,http://www.westrail.com.cn/,,
2024-07-01,武汉,武汉站,汉口高铁、武广高铁,广州、长沙等,200.0,万人,湖北省交通运输厅,http://jt.hubei.gov.cn/,,
2024-05-20,沈阳,沈阳北站,沈阳铁路局,丹东、哈尔滨等,123.5,万人,辽宁省交通运输厅,http://jt.ln.gov.cn/,,
2024-06-15,青岛,青岛站,青盐铁路,济南、烟台等,80.4,万人,山东省铁路公司,http://www.sdrt.gov.cn/,,
2023-12-01,郑州,郑州东站,郑合高铁,合肥、武汉等,145.0,万人,河南省交通运输厅,http://jt.henan.gov.cn/,,
2024-01-15,南昌,南昌站,昌景黄高铁,景德镇、合肥等,60.0,万人,江西省交通运输厅,http://jxt.gov.cn/,,
2024-02-01,济南,济南西站,济青高铁、济南环线,青岛、郑州等,130.3,万人,山东省交通运输厅,http://www.sdt.gov.cn/,,
2024-10-05,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,230.0,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-09-30,天津,天津西站,津秦高铁,秦皇岛、石家庄等,145.8,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-01,重庆,重庆北站,渝贵高铁,贵阳、成都等,198.3,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2023-10-01,深圳,深圳北站,广深高铁,广州、香港等,200.5,万人,深圳市交通局,https://www.szjt.gov.cn,,
2024-10-02,南京,南京南站,宁杭高铁,杭州市、合肥等,170.0,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-09-29,成都,成都东站,成渝高铁,重庆、贵阳等,220.0,万人,成都市交通局,https://www.chengdu.gov.cn,,
2023-12-01,厦门,厦门站,厦深高铁,深圳、福州等,120.0,万人,福建省交通运输厅,https://jtt.fujian.gov.cn,,
2024-05-15,武汉,武汉站,汉宜高铁,宜昌、长沙等,310.0,万人,湖北省铁路局,http://www.hubei.gov.cn,,
2024-06-01,西安,西安北站,西成高铁,成都、兰州等,155.0,万人,陕西省交通厅,https://www.shaanxi.gov.cn,,
2023-11-01,杭州,杭州东站,甬台温高铁,温州、宁波等,135.4,万人,浙江省交通运输厅,http://www.zjt.gov.cn,,
2024-10-05,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,250.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-28,江苏,徐州站,京沪高铁、宁杭高铁,北京、杭州等,180.7,万人,江苏省交通运输厅,https://jtt.jiangsu.gov.cn/,,
2024-10-03,广东,深圳北站,广深高铁,广州、东莞等,220.5,万人,深圳市交通局,https://jgj.sz.gov.cn/,,
2024-10-01,四川,成都南站,成渝高铁,重庆、西安等,125.2,万人,四川省铁路运输公司,http://www.sctz.gov.cn/,,
2024-08-15,湖北,武汉站,汉宜高铁、京广高铁,宜昌、郑州等,310.0,万人,湖北省交通厅,http://jtt.hubei.gov.cn/,,
2024-07-30,陕西,西安北站,西成高铁,成都、兰州等,150.5,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-10-02,辽宁,沈阳北站,沈大高铁,大连、长春等,140.8,万人,辽宁省铁路管理局,http://jtj.liaoning.gov.cn/,,
2024-10-04,山东,济南西站,济青高铁,青岛、北京等,190.3,万人,山东省交通运输厅,http://jtt.shandong.gov.cn/,,
2024-06-10,浙江,宁波站,甬台温高铁,台州、杭州等,130.0,万人,浙江省交通运输厅,http://jtt.zhejiang.gov.cn/,,
2024-10-06,云南,昆明南站,昆明至大理高速铁路,大理、丽江等,80.0,万人,云南省交通运输厅,http://jtt.yn.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州等,250.0,万人,中国铁路总公司,https://www.crrailway.com/,,
2024-09-30,深圳,深圳北站,广深港高铁,香港、广州等,180.5,万人,深圳市交通运输局,http://jt.shenzhen.gov.cn/,,
2024-10-03,成都,成都东站,成兰铁路,兰州、西安等,120.3,万人,四川省交通运输厅,http://jtt.sc.gov.cn/,,
2024-08-15,重庆,重庆西站,渝贵高铁,贵阳、昆明等,95.0,万人,重庆市人民政府,http://www.cq.gov.cn/,,
2024-07-20,武汉,武汉站,汉口-广州铁路,广州、南昌等,200.0,万人,湖北省交通运输厅,http://jtt.hubei.gov.cn/,,
2024-10-01,厦门,厦门北站,厦深高铁,深圳、福州等,70.2,万人,福建省铁路建设管理有限公司,http://www.fjt.gov.cn/,,
2023-10-10,南京,南京南站,宁杭高铁,杭州、徐州等,150.7,万人,江苏省交通运输厅,http://jtt.jiangsu.gov.cn/,,
2024-10-05,青岛,青岛北站,青荣城际铁路,荣成、烟台等,90.8,万人,山东省交通运输厅,http://jtt.shandong.gov.cn/,,
2024-09-15,沈阳,沈阳北站,沈阳-大连高铁,大连、长春等,130.4,万人,辽宁省交通运输厅,http://jtt.liaoning.gov.cn/,,
2024-10-04,海南,海口站,海东方高铁,三亚、广州等,85.6,万人,海南省交通运输厅,http://gxt.hainan.gov.cn/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪杭高铁,南京、杭州,210.3,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-10-02,广州,广州站,广珠城际、广深高铁,珠海、深圳,150.7,万人,广东省交通运输厅,http://jtt.gd.gov.cn,,
2024-09-30,重庆,重庆北站,渝贵高铁,贵阳、成都,95.4,万人,中国铁路总公司,https://www.china-railway.com.cn,,
2024-09-29,武汉,武汉站,汉宜高铁、京广高铁,宜昌、北京,175.2,万人,湖北省交通运输厅,http://jt.hubei.gov.cn,,
2023-10-01,哈尔滨,哈尔滨东站,哈大高铁,大连、沈阳,80.3,万人,辽宁省交通运输厅,http://jtt.liaoning.gov.cn,,
2023-10-02,天津,天津西站,京沪高铁,北京、上海,120.5,万人,天津市政府,http://www.tianjin.gov.cn,,
2024-10-03,西安,西安北站,西成高铁,成都,60.0,万人,陕西省交通运输厅,http://jtt.shaanxi.gov.cn,,
2024-09-28,济南,济南西站,京沪高铁、济青高速铁路,北京、青岛,110.2,万人,山东省交通运输厅,http://jtt.shandong.gov.cn,,
2023-10-04,郑州,郑州东站,郑西高铁,西安、北京,150.9,万人,交通运输部,https://www.mot.gov.cn,,
2024-10-05,南京,南京南站,宁杭高铁、宁安高铁,杭州、合肥,130.4,万人,江苏省交通运输厅,http://jtt.jiangsu.gov.cn,,
2024-10-02,上海,上海虹桥站,京沪高铁、沪宁高铁,南京、杭州,200.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-25,广东,深圳北站,广深高铁、南广高铁,广州、珠海,145.3,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-10-01,四川,成都东站,成渝高铁,重庆、西安,75.0,万人,四川省交通运输厅,https://jtt.sc.gov.cn/,,
2024-10-03,江苏,南京南站,宁杭高铁、沪宁高铁,上海、合肥,160.5,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-10-01,湖北,武汉站,京广高铁、汉宜铁路,北京、宜昌,120.2,万人,湖北省交通运输厅,http://jtyj.hubei.gov.cn/,,
2024-09-28,山东,济南站,徐兰高铁,北京、青岛,94.5,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-09-29,浙江,温州南站,温福高铁,福州、上海,50.0,万人,浙江省交通运输厅,http://jtt.zj.gov.cn/,,
2024-10-05,辽宁,沈阳北站,沈哈高铁,哈市、北京,85.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-10-07,陕西,西安北站,西成高铁,成都、北京,110.0,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-10-10,天津,天津西站,津京高铁,北京、青岛,73.5,万人,天津市交通运输委员会,http://jtt.tianjin.gov.cn/,,
2024-10-05,广州,广州南站,广深高铁、广珠城际,深圳、珠海,342.7,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-28,成都,成都东站,成昆高铁,昆明、西安,250.3,万人,四川省交通运输厅,http://cdjt.sc.gov.cn/,,
2024-10-07,杭州,杭州东站,杭甬高铁、杭福深铁路,宁波、福州,180.5,万人,浙江省交通厅,http://jt.zj.gov.cn/,,
2024-10-01,南京,南京南站,宁杭高铁、京沪高铁,北京、上海,295.0,万人,江苏省交通运输厅,http://jstc.jiangsu.gov.cn/,,
2024-09-30,青岛,青岛站,青连铁路,烟台、济南,120.6,万人,山东省交通厅,http://jt.shandong.gov.cn/,,
2024-10-03,西安,西安北站,西渝高铁,重庆、兰州,200.1,万人,陕西省交通运输厅,http://jt.shaanxi.gov.cn/,,
2024-10-04,武汉,武汉站,汉十高铁、京广高铁,北京、广州,400.4,万人,湖北省交通运输厅,http://jtt.hubei.gov.cn/,,
2023-10-01,天津,天津南站,京津城际,北京、廊坊,150.2,万人,天津市交通运输委员会,http://jt.tianjin.gov.cn/,,
2023-09-29,福州,福州站,福厦高铁,厦门、上海,110.9,万人,福建省交通运输厅,http://jt.fujian.gov.cn/,,
2024-10-06,郑州,郑州站,郑合高铁,合肥、武汉,165.4,万人,河南省交通运输厅,http://jtt.henan.gov.cn/,,
2024-10-02,广东,深圳北站,广深高铁、深湛高铁,广州、北京等,245.7,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-30,江苏,南京南站,宁沪高铁,上海、杭州,198.3,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-10-01,四川,成都站,成渝高铁,重庆、贵阳,112.5,万人,四川省铁路局,http://www.scrailway.gov.cn/,,
2023-10-01,湖北,武汉站,汉口-广州高铁,广州、北京等,274.4,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-09-29,内蒙古,呼和浩特站,包头-呼和浩特高铁,包头、乌兰浩特,58.0,万人,呼和浩特市交通运输局,http://www.hhht.gov.cn/,,
2024-10-01,上海,上海虹桥站,沪宁高铁、京沪高铁,南京、北京,318.9,万人,中国铁路总公司,https://www.china-railway.com.cn/,,
2024-09-28,浙江,杭州东站,沪昆高铁,上海、温州,140.2,万人,浙江省交通运输厅,http://jtzt.zj.gov.cn/,,
2024-10-01,陕西,西安北站,西成高铁、陕北高铁,成都、北京,76.4,万人,西安市交通运输局,http://www.xa.gov.cn/,,
2023-10-01,辽宁,沈阳北站,沈丹高铁、沈阳至哈尔滨高铁,大连、北京,192.8,万人,中国铁路沈阳局集团有限公司,http://www.secr.com.cn/,,
2024-08-30,云南,昆明南站,昆明-大理高铁,大理、丽江,67.9,万人,云南省交通运输厅,http://jtt.yn.gov.cn/,,
2024-10-01,广州,广州东站,广深港高铁,香港、深圳,215.3,万人,广东省交通运输厅,https://www.gd.gov.cn/,,
2024-09-30,成都,成都南站,成渝高铁,重庆、贵阳,150.8,万人,四川省铁路局,https://www.sc.gov.cn/,,
2023-10-05,南京,南京南站,宁杭高铁,杭州、合肥,190.4,万人,江苏省交通厅,http://www.jiangsu.gov.cn/,,
2023-09-29,武汉,武汉站,武广高铁,广州、长沙,225.7,万人,湖北省运输管理局,http://www.hubei.gov.cn/,,
2024-08-15,西安,西安北站,西安至宝鸡高铁,宝鸡、兰州,100.2,万人,陕西省交通厅,http://www.shaanxi.gov.cn/,,
2023-10-01,沈阳,沈阳北站,沈阳至大连高铁,大连、长春,145.9,万人,辽宁省交通运输厅,http://www.ln.gov.cn/,,
2024-07-20,南昌,南昌西站,昌九高铁,九江、武汉,132.5,万人,江西省交通运输厅,http://www.jiangxi.gov.cn/,,
2024-08-30,长沙,长沙南站,长赣高铁,赣州、贵阳,180.4,万人,湖南省运管局,http://www.hunan.gov.cn/,,
2023-11-11,青岛,青岛北站,青连铁路,连云港、济南,160.6,万人,山东省交通运输厅,http://www.shandong.gov.cn/,,
2024-09-15,天津,天津西站,津蓟高铁,蓟州、北京,175.1,万人,天津市交通运输委员会,http://www.tianjin.gov.cn/,,
2024-10-07,上海,上海虹桥站,京沪高铁、宁杭高铁,南京、杭州,250.0,万人,中国铁路总公司,https://news.youth.cn/gn/202410/t20241001_15556179.htm,,
2024-09-15,成都,成都东站,成渝高铁,重庆、昆明,198.5,万人,四川省交通运输厅,http://jt.sichuan.gov.cn/,,
2024-08-30,西安,西安北站,西安至重庆高铁,重庆、北京,112.3,万人,陕西省铁路局,http://www.shaanxi.gov.cn/xxgk/tzgg/2024/202408/t20240830_15574581.htm,,
2024-09-25,广州,广州南站,广深港高铁,香港、桂林,320.0,万人,广东省铁路办公室,http://www.gd.gov.cn/govdata/2024/t20240925_15417893.htm,,
2024-05-20,郑州,郑州站,郑西高铁、京广高铁,武汉、合肥,145.2,万人,河南省交通厅,http://www.henan.gov.cn/,,
2024-06-18,武汉,武汉站,汉口-深圳高铁,广州、昆明,200.4,万人,武汉市交通运输委员会,http://www.wuhan.gov.cn/denglu/,,
2024-07-10,杭州,杭州东站,杭深高铁,宁波、广州,201.5,万人,浙江省交通运输厅,http://www.zjt.gov.cn/,,
2024-04-22,南京,南京南站,京沪高铁、宁安高铁,上海、合肥,170.8,万人,江苏省交通运输厅,http://www.js.gov.cn/transport/,,
2023-12-01,天津,天津站,京津城际,北京、哈尔滨,85.0,万人,天津市交通委员会,http://jt.tianjin.gov.cn/,,
2024-01-15,青岛,青岛北站,青烟高铁,烟台、济南,110.7,万人,山东省交通运输厅,http://www.sd.gov.cn/jiaotong/,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、昆明等,245.7,万人,中国铁路总公司,https://www.crcc.cn,,
2024-10-01,广州,广州南站,广深高铁,深圳、珠海等,310.2,万人,中国铁路总公司,https://www.crcc.cn,,
2024-05-15,西安,西安北站,西宝高铁,宝鸡、成都等,120.5,万人,陕西省交通运输厅,https://jt.shanxi.gov.cn,,
2024-09-28,武汉,武汉站,汉宜高铁、京广高铁,北京、长沙等,187.3,万人,湖北省交通运输厅,https://jt.hubei.gov.cn,,
2023-08-20,成都,成都东站,成昆高铁,昆明、贵阳等,220.0,万人,四川省交通运输厅,https://jt.sc.gov.cn,,
2024-09-29,沈阳,沈阳北站,沈丹高铁,丹东、吉林等,95.4,万人,辽宁省交通运输厅,http://jt.ln.gov.cn,,
2024-10-03,福州,福州站,福厦高铁、沪杭高铁,厦门、宁波等,148.9,万人,福建省交通运输厅,https://www.fujian.gov.cn,,
2024-10-04,杭州,杭州东站,杭深高铁、宁波高铁,深圳、宁波等,265.1,万人,浙江省交通运输厅,https://www.zjt.gov.cn,,
2024-10-01,郑州,郑州东站,郑西高铁,西安、北京等,200.0,万人,河南省交通运输厅,http://www.henan.gov.cn,,
2024-10-05,重庆,重庆北站,成渝高铁,成都、贵阳等,175.6,万人,重庆市交通委员会,http://www.cq.gov.cn,,
2024-10-02,上海,上海虹桥站,沪宁高铁、沪昆高铁,南京、成都等,220.4,万人,中国铁路上海局,http://www.shrailway.com,,
2024-10-03,广州,广州站,广深港高铁,香港、南宁等,315.2,万人,中国铁路广州局,http://www.gzrailway.com,,
2024-09-30,武汉,武汉站,汉口至合肥高铁,合肥、郑州,180.8,万人,中国铁路武汉局,http://www.wuhanrailway.com,,
2023-12-01,成都,成都东站,成贵高铁,贵阳、西安等,150.0,万人,中国铁路成都局,http://www.chengdurailway.com,,
2024-01-15,杭州,杭州东站,杭温高铁,温州、广州等,90.5,万人,中国铁路杭州局,http://www.hangzhourl.com,,
2024-10-04,重庆,重庆北站,渝贵高铁,贵阳、南宁等,120.6,万人,中国铁路西南分局,http://www.cqrailway.com,,
2023-11-25,西安,西安北站,西安至北京高铁,北京、郑州,200.2,万人,中国铁路西部局,http://www.xianrailway.com,,
2024-08-05,济南,济南西站,京台高铁,台州,75.3,万人,中国铁路济南局,http://www.jnrailway.com,,
2024-10-02,合肥,合肥南站,合肥至南昌高铁,南昌、宁波等,60.1,万人,中国铁路合肥局,http://www.hfrailway.com,,
2024-09-28,沈阳,沈阳北站,沈阳至哈尔滨高铁,哈尔滨、长春等,110.0,万人,中国铁路沈阳局,http://www.syrailway.com,,
2024-10-05,江苏,南京南站,宁杭高铁、沪宁城际,上海、无锡等,240.0,万人,江苏省交通运输厅,https://jt.jiangsu.gov.cn/,,
2024-10-10,四川,成都东站,成渝高铁,重庆、乐山等,198.7,万人,四川省铁路局,http://www.scrailway.gov.cn/,,
2024-10-02,广东,深圳北站,广深港高铁,香港、广州等,120.3,万人,广州铁路集团,http://www.gzrailway.com/,,
2024-09-15,陕西,西安北站,西宝高铁,宝鸡、北京等,175.5,万人,陕西省交通厅,http://jt.shaanxi.gov.cn/,,
2024-09-22,湖南,长沙南站,长赣高铁,赣州、武汉等,159.0,万人,湖南省铁路局,http://www.hnrail.com/,,
2024-10-01,浙江,杭州东站,杭州至上海高铁,上海、宁波等,200.2,万人,浙江省交通运输厅,http://jt.zj.gov.cn/,,
2023-12-31,内蒙古,呼和浩特站,呼铁高铁,包头、北京等,53.5,万人,内蒙古自治区交通运输厅,http://jt.nmg.gov.cn/,,
2024-10-15,海南,海口东站,海南环岛高铁,三亚、文昌等,89.3,万人,海南省铁路局,http://www.hainan.gov.cn/,,
2024-10-03,福建,福州站,福厦高铁,厦门、南昌等,110.6,万人,福建省交通厅,http://jtt.fujian.gov.cn/,,
2024-09-28,云南,昆明南站,昆明至大理高铁,大理、丽江等,78.9,万人,云南省铁路局,http://www.yn.gov.cn/,,
2024-10-05,上海,上海虹桥站,沪宁高铁,南京、杭州,245.7,万人,中国铁路总公司,http://www.china-railway.com.cn,,
2024-10-10,四川,成都东站,成渝高铁,重庆、贵阳,120.3,万人,四川省交通厅,http://www.scjt.gov.cn,,
2024-09-29,广东,深圳北站,广深高铁,广州、香港,310.2,万人,交通运输部,https://www.mot.gov.cn,,
2024-10-15,浙江,宁波站,杭甬高铁,杭州、上海,85.6,万人,浙江省交通运输厅,http://www.zjt.gov.cn,,
2024-08-25,河南,郑州站,京广高铁,北京、武汉,265.0,万人,河南省铁路局,http://www.hnrailway.gov.cn,,
