日期,地区,客运方式,客运量,运输量,增长率,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-06-01,中东,航空,3600万,nan,20.3,人次,阿联酋民航局,https://www.uaecivilaviation.gov.ae/,,
2024-11-01,非洲,道路运输,3.2亿,nan,13.6,人次,非洲交通运输联盟,https://www.africatransportunion.org/,,
2024-07-01,全球,海洋运输,nan,nan,2.0,%,国际海事组织,https://www.imo.org/,,
2024年Q4,日本,铁路,6500万,nan,6.3,人次,日本铁路公司,https://www.japanrailways.co.jp/,,
2024-05-01,亚洲,航空,同比增长20.5%,nan,20.5,%,亚太航空运输协会 (APA),https://www.apa.org.cn,,
2023-12-01,欧洲,铁路,同比增长15.8%,nan,15.8,%,欧洲铁路局,https://www.era.europa.eu,,
2024-07-15,中国,民航,2.1亿,278万吨,0.212,人次,中国民用航空局,http://www.caac.gov.cn,,
2024-10-01,北美,航空,同比增长10.3%,nan,10.3,%,美国交通部,https://www.transportation.gov,,
2024-03-15,南美,道路运输,320万,nan,>6%,人次,南美交通运输协会,https://www.southamericatransport.org,,
2024-06-01,全球,航空,nan,nan,22.1,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-02-01,中国,水路,150万,nan,>3%,人次,中国水运协会,http://www.waterway.org.cn,,
2024-09-01,欧洲,铁路,同比增长18.4%,nan,18.4,%,欧洲铁路协会,https://www.era.europa.eu,,
2023-11-15,亚洲,道路运输,500万,nan,>4%,人次,亚洲交通发展机构,http://www.asia-transport.org,,
2024-07-01,全球,航空,nan,nan,17.0,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-02-01,中国,高速铁路,2.1亿,350万吨,5.0,人次,中国国家铁路集团,https://www.china-railway.com.cn/,,
2024-03-15,欧洲,航天,同比增长15.2%,nan,15.2,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2024-05-20,亚太地区,汽车,1.5亿,240万吨,8.7,人次,亚太交通协会,https://www.apta.com/,,
2024-06-01,南美,航空,同比增长20.5%,nan,20.5,%,南美航空运输协会,https://www.latinamericanaviation.com/,,
2024-09-01,全球,公路运输,同比减少3.7%,nan,-3.7,%,国际道路运输协会,https://www.internationalroadtransport.org/,,
2024-07-10,中国,民航,1.9亿,220万吨,10.5,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-08-15,中东,航空,5千万,nan,25.0,人次,中东航空运输协会,https://www.mideastairlines.com/,,
2024-10-25,美国,铁路,7千万,nan,14.1,人次,美国铁路协会,https://www.aar.org/,,
2024-11-15,非洲,航空,同比增长18.8%,nan,18.8,%,非洲民用航空局,https://www.afraa.org/,,
2025-01-01,全球,多式联运,同比增长22.0%,nan,22.0,%,国际运输论坛,https://www.itf-oecd.org/,,
2024-05-01,欧洲,航空,同比增长12%,None,12,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2023-12-01,日本,铁路,同比增长10.5%,None,10.5,%,日本国土交通省,https://www.mlit.go.jp/,,
2024-03-01,亚太地区,航空,同比增长20.3%,None,20.3,%,亚太航空运输协会,https://www.apac.aero/,,
2023-09-01,中东,航空,同比增长35%,None,35,%,中东航空产业协会,https://www.mecaero.org/,,
2024-01-01,非洲,水路运输,同比增长15%,None,15,%,非洲运输部,https://au.int/en/transport,,
2024-07-15,南美洲,公路运输,579万,None,9,人次,南美运输研究院,https://www.transportsouthamerica.org/,,
2024-02-10,中国,高速铁路,2.3亿,300万吨,5,人次,中国国家铁路集团,http://www.china-railway.com.cn/,,
2024-06-20,东南亚,航空,同比增长18.2%,None,18.2,%,东南亚航空业协会,https://www.aseanair.com/,,
2024-10-01,俄罗斯,铁路,950万,None,3,人次,俄罗斯铁路公司,http://eng.rzd.ru/,,
2024-02-15,全球,航空,同比增长7.5%,None,7.5,%,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-05-01,欧洲,航空,同比增长15.5%,nan,15.5,%,欧洲航空安全局,https://www.easa.europa.eu,,
2024-03-01,南美洲,航空,同比增长20.3%,nan,20.3,%,南美航空协会,http://www.salaa.org,,
2024-06-01,中国,铁路,2.5亿,nan,0.431,人次,中国国家铁路集团,http://www.china-railways.com,,
2024-04-15,东南亚,道路运输,500万,nan,5.2,人次,东南亚交通运输委员会,https://www.seatcom.org,,
2024-01-10,非洲,铁路,同比增长22%,nan,22,%,非洲交通组织,https://www.africa-transport.org,,
2024-03-15,日本,航空,同比增长18.8%,nan,18.8,%,日本民用航空局,https://www.mlit.go.jp,,
2024-07-01,澳大利亚,水路运输,30万,nan,4.7,人次,澳大利亚海事局,https://www.amsa.gov.au,,
2024-09-01,全球,航空,同比增长40%,nan,40,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-10-01,北美,铁路,8000万,nan,10.5,人次,美国铁路协会,https://www.aar.org,,
2024-05-15,印度,道路运输,1500万,nan,7.8,人次,印度交通运输部,http://www.morth.nic.in,,
2024-05-01,欧洲,铁路,同比增长12.5%,nan,12.5,%,欧洲铁路协会,https://www.era.europa.eu/,,
2024-06-01,中国,公共交通,扩大至3.2亿人次,nan,9.0,人次,全国公共交通管理信息平台,http://www.nbtc.gov.cn/,,
2023-12-01,南美洲,航空,同比增长22.1%,nan,22.1,%,南美航空协会,http://www.southamericanairline.org/,,
2024-03-15,东南亚,水路,350万人次,nan,18.4,人次,东南亚运输部,http://www.southeastasiatransport.gov/,,
2024年Q2,全国,道路运输,5亿,300万吨,7.2,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-07-01,非洲,铁路,同比增长15.6%,nan,15.6,%,非洲铁路和交通部,http://www.africanrailways.org/,,
2024-09-01,亚洲,高铁,4.2亿人次,nan,20.3,人次,亚洲铁路网,https://www.asianrailways.net/,,
2024-10-10,北美,飞机,同比增长25%,nan,25,%,北美民用航空局,http://www.northamericanaviation.org/,,
2024年Q3,全国,大巴,1.1亿,nan,5.2,人次,中华人民共和国交通运输部,http://www.mot.gov.cn/,,
2024-02-01,俄罗斯,航空,同比增长30.6%,nan,30.6,%,俄罗斯联邦交通部,http://www.mintrans.ru/,,
2024-05-01,欧洲,航空,同比增长25.0%,None,25.0,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu,,
2023-12-01,日本,铁路,同比增长18.5%,None,18.5,%,日本交通安全委员会,https://www.jtsa.go.jp,,
2024-03-20,南美洲,道路运输,同比增长12.4%,None,12.4,%,南美洲交通与基础设施部,http://www.mtc.gob.pe,,
2024-07-10,中国,水路运输,>50万,None,7.5,%,中国水运协会,http://www.cwa.gov.cn,,
2024-06-01,亚太地区,民航,2.5亿,300万吨,15,人次,亚太航空协会 (AAPA),https://www.aapaworld.com,,
2023-09-15,印度,航空,同比增长30.2%,None,30.2,%,印度民航局,https://www.civilaviation.gov.in,,
2024年Q2,北美,铁路,5000万,None,5.6,人次,美国铁路协会,https://www.aar.org,,
2024-04-01,澳大利亚,道路运输,350万,None,9.3,人次,澳大利亚交通部,https://www.infrastructure.gov.au,,
2024-02-14,俄罗斯,航空,同比增长8.8%,None,8.8,%,俄罗斯联邦交通部,https://www.mintrans.ru,,
2024-05-15,中东地区,民航,1亿,160万吨,20,人次,中东航空运输协会,http://www.mea.com,,
2024-05-01,欧洲,航空,同比增长15%,None,15,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu,,
2024-03-01,中国,铁路,2.2亿,250万吨,0.412,人次,中国国家铁路集团有限公司,http://www.china-railway.com.cn,,
2024-06-15,美国,道路运输,3.5亿,None,5.2,人次,美国交通部,https://www.transportation.gov,,
2024-07-01,亚太地区,水路,150万,None,8.9,人次,亚太航运协会,http://www.apa.org,,
2024-09-01,非洲,航空,同比增长20%,None,20,%,非洲航空协会,https://www.afra.org,,
2024-05-15,加拿大,民航,450万,None,3.5,人次,加拿大交通部,https://www.tc.gc.ca,,
2024-06-01,英国,铁路,8500万,None,12.3,人次,英国国家铁路局,http://www.networkrail.co.uk,,
2024-08-20,印度,航空,同比增长50%,None,50,%,印度民航局,http://www.civilaviation.gov.in,,
2024-10-10,南美洲,水路,200万,None,6.7,人次,南美洲运输委员会,http://www.southamericatransport.org,,
2024-11-01,全球,航空,同比增长28%,None,28,%,国际民用航空组织 (ICAO),https://www.icao.int,,
2024-05-01,欧洲,航空,同比增长15.2%,nan,15.2,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-02-01,东南亚,铁路,2.5亿,320万吨,12.3,人次,东南亚运输部,https://www.asean.org,,
2024-03-01,中国,水路,450万,45万吨,10.5,人次,中国水路运输公司,https://www.cwtc.gov.cn,,
2023-12-01,日本,航空,同比增长20.4%,nan,20.4,%,日本民航局,https://www.mlit.go.jp,,
2024-06-01,北美,道路运输,3千万人次,nan,8.7,人次,美国交通部,https://www.dot.gov,,
2024-07-01,中东,铁路,150万,30万吨,5.6,人次,中东铁路管理局,https://www.metr.gov,,
2024-04-01,南美,水路,100万,25万吨,7.5,人次,南美运输协会,https://www.southamericantransport.com,,
2024-08-01,澳大利亚,航空,同比增长18.1%,nan,18.1,%,澳大利亚民航局,https://www.civilaviation.gov.au,,
2024-09-01,非洲,道路运输,200万,nan,9.0,人次,非洲交通委员会,https://www.africantransport.org,,
2024-10-01,全球,民航,同比增长22.4%,nan,22.4,%,国际航空运输协会 (IATA),https://www.iata.org,,
2024-07-01,东南亚,水路,750万,100万吨,12.5,人次,东南亚交通运输协会,https://www.seatransport.org,,
2024年Q2,中国,铁路,2.3亿,400万吨,8.2,人次,中国铁路总公司,http://www.china-railway.gov.cn,,
2023-12-01,欧洲,航空,同比增长20%,nan,20,%,欧洲航空安全局,https://www.easa.europa.eu,,
2024-05-15,印度,公路运输,1500万,nan,15,人次,印度交通与高速公路部,http://nhai.gov.in,,
2024-03-01,日本,铁路,9000万,1.5万吨,9.1,人次,日本铁路公司,http://www.japanrailways.com,,
2023-10-01,拉丁美洲,航空,同比增长18%,nan,18,%,拉丁美洲航空协会,https://www.aeronauticlatam.com,,
2024年Q1,中国,民航,2.0亿,250万吨,5.0,人次,中国民用航空局,http://www.caac.gov.cn,,
2024-06-01,全球,商业快递,同比增长13%,nan,13,%,国际物流协会,https://www.worldlogistics.org,,
2024年Q2,非洲,水路,500万,50万吨,7.5,人次,非洲港口管理局,http://www.africaportmanagement.org,,
2024-09-01,英国,铁路,3000万,300万吨,6.8,人次,英国交通部,https://www.gov.uk/government/organisations/department-for-transport,,
2024-05-15,全球,航空,同比增长15%,None,15,%,国际航空运输协会 (IATA),https://www.iata.org,,
2023-12-01,欧洲,铁路,同比增长20.5%,None,20.5,%,欧洲铁路公司,https://www.era.europa.eu,,
2024-07-01,美国,道路运输,2.5亿,None,10,人次,美国交通部,https://www.transportation.gov,,
2024-06-01,亚洲,水路,同比增长50%,None,50,%,亚洲海事联合会,https://www.amo.org,,
2024-03-01,中国,民航,2亿,None,5.2,人次,中国民用航空局,http://www.caac.gov.cn,,
2024-05-01,南美洲,航空,同比增长8%,None,8,%,拉丁美洲航空协会,https://www.alta.aero,,
2023-10-01,非洲,铁路,3500万,None,9,人次,非洲铁路网络,http://www.afrra.org,,
2024-09-01,中东,民航,同比增长12%,None,12,%,中东航空局,http://www.mideastaviation.org,,
2024-01-10,东南亚,航空,同比增长18%,None,18,%,东南亚航空协会,https://www.aac.org,,
2024-02-20,全球,水路,同比增长7%,None,7,%,国际航运协会,https://www.ics-shipping.org,,
2024-07-01,欧洲,航空,同比增长28.5%,nan,28.5,%,欧洲航空安全局,https://www.easa.europa.eu,,
2023-12-01,亚洲,铁路,同比增长15.3%,nan,15.3,%,国际铁路联盟,https://www.uic.org,,
2024年Q2,世界,水路,2400万,300万吨,12.5,人次,联合国运输委员会,https://unece.org,,
2024-01-01,中国,道路运输,3.2亿,nan,18.9,人次,国家交通运输部,http://www.mot.gov.cn/,,
2024-05-01,印度,民航,增长20.0%,nan,20.0,%,印度民用航空局,https://www.civilaviation.gov.in/,,
2024-03-01,美国,高速铁路,"3,000万",nan,9.0,人次,美国运输部,https://www.dot.gov/,,
2024年Q3,中东,航空,同比增长45.0%,nan,45.0,%,中东航空协会,https://www.acae.org,,
2024-09-15,非洲,道路运输,同比增长10.7%,nan,10.7,%,非洲运输协会,https://www.africa.transport,,
2024-10-01,全球,水路,同比增长8.2%,nan,8.2,%,国际海事组织,http://www.imo.org,,
2024-02-15,东南亚,航空,1亿,nan,30.4,人次,东南亚航空协会,http://www.seaac.org,,
2024-05-01,欧洲,航空,同比增长15.2%,None,15.2,%,欧洲航空安全局,https://www.easa.europa.eu/,,
2024-01-10,东南亚,铁路,1.2亿,None,5.1,人次,东南亚铁路运输局,https://www.southeastasiarailways.com/,,
2024-06-20,北美,水路,None,None,3.5,%,美国海事局,https://www.fmc.gov/,,
2024-09-15,中国,公路运输,2.5亿,None,10.9,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-03-01,全球,民航,同比增长20.0%,None,20.0,%,国际民用航空组织 (ICAO),https://www.icao.int/,,
2023-12-15,乌鲁木齐,航空,127万,None,8.7,人次,新疆维吾尔自治区民航局,http://www.xj.gov.cn/mhj/index.shtml,,
2024-02-14,南美,航空,同比增长25.4%,None,25.4,%,南美航空联盟,https://www.southamericanairlines.com/,,
2024-07-02,中东,铁路,503万,None,6.2,人次,中东地区运输管理局,http://www.mideasttransport.gov/,,
2024-04-20,非洲,道路运输,同比增长12.3%,None,12.3,%,非洲运输部,http://www.africatransport.gov/,,
2024-05-15,日本,民航,74万,None,4.9,人次,日本民用航空局,https://www.mlit.go.jp/,,
2024-05-01,欧洲,航空,同比增长20.5%,nan,20.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-03-01,印度,铁路,2.1亿,nan,12.7,人次,印度铁路部,http://www.indianrailways.gov.in/,,
2024-06-15,南美洲,航空,同比增长15.9%,nan,15.9,%,南美航空协会,http://www.southamericanairlines.com/,,
2024-07-01,东南亚,水路运输,500万,nan,8.2,人次,东南亚交通运输部,https://www.sea-transport.gov/,,
2024-09-30,中东,道路运输,300万,nan,10,人次,中东交通运输署,http://www.middleeasttransport.gov/,,
2024年Q2,美国,铁路,850万,nan,6.5,人次,美国交通部 (DOT),https://www.transportation.gov/,,
2024-05-15,日本,航空,同比增长18.3%,nan,18.3,%,日本民航局,https://www.mlit.go.jp/en/,,
2024-08-01,非洲,铁路,3000万,nan,9.0,人次,非洲交通技术委员会,https://www.africatransport.org/,,
2024-06-30,全球,民航,7亿,nan,25,人次,国际航空运输协会 (IATA),https://www.iata.org/,,
2024-09-01,韩国,航空,同比增长29.0%,nan,29.0,%,韩国交通部,http://www.molit.go.kr/eng/,,
2024-07-01,欧洲,铁路,同比增长20.5%,120万吨,20.5,%,欧洲铁路网,https://www.era.europa.eu/,,
2024-05-15,中国,道路运输,820万,105万,12.3,人次,中国交通运输部,http://www.mot.gov.cn/,,
2024-03-01,亚洲,航空,同比增长15.0%,nan,15.0,%,亚洲航空协会,https://www.aap.org/,,
2024-04-30,北美洲,民航,1.5亿,nan,6.7,人次,美国运输部,https://www.transportation.gov/,,
2024-06-20,全球,水路运输,同比增长8.9%,45万吨,8.9,%,世界海洋运输组织,https://www.imo.org/,,
2024-08-10,中东,航空,同比增长25.2%,nan,25.2,%,中东航空协会,http://www.mecaero.org/,,
2024-09-01,非洲,铁路,550万,nan,10.8,人次,非洲交通部,https://www.africao.org/,,
2024-01-20,印度,民航,1.2亿,nan,13.5,人次,印度民用航空局,http://www.civilaviation.gov.in/,,
2024-02-15,日本,高速铁路,6亿,300万吨,7.3,人次,日本铁路公司,http://www.japanrailways.com/,,
2024-05-01,拉丁美洲,航空,同比增长19.4%,nan,19.4,%,拉丁美洲航空协会,http://www.alta.aero/,,
2024-05-01,欧洲,铁路,同比增长20.5%,nan,20.5,%,欧洲铁路运输协会,https://www.era.europa.eu,,
2024-06-15,中国,航空,同比增长10.2%,nan,10.2,%,中国民用航空局,http://www.caac.gov.cn,,
2024-07-01,南美洲,道路运输,890万,nan,5.8,人次,南美运输协会,http://www.southamericantransport.org,,
2024-09-01,亚太地区,水路,同比增长15%,120万吨,15,%,亚太运输论坛,https://www.aptransportforum.com,,
2024-10-01,美国,铁路,1.2亿,145万吨,2.5,人次,美国铁路管理局,https://www.fra.dot.gov,,
2024-12-01,全球,航空,2.5亿,nan,8.3,人次,国际航空运输协会 (IATA),https://www.iata.org,,
2024-11-01,印度,民航,809万,nan,25.7,人次,印度民用航空局,http://www.civilaviation.gov.in,,
2025-01-01,非洲,航空,同比增长30%,nan,30,%,非洲航空运输协会,http://www.afraac.org,,
2025-02-15,欧洲,道路运输,1.1亿,nan,3.6,人次,欧洲公路运输研究机构,http://www.ertc.eu,,
2025-03-01,中国,水路,135万,nan,7.4,人次,中国交通运输部,http://www.mot.gov.cn,,
2024-05-15,欧洲,航空,同比增长20.5%,None,20.5,%,欧洲航空运输协会 (A4E),https://a4e.eu/media/,,
2024-07-01,日本,铁路,1.2亿,150.5,0.25,人次,日本铁路公司 (JR),https://www.japanrailways.com,,
2025-01-01,中国,汽车,同比增长15%,None,15,%,中国国家统计局,http://www.stats.gov.cn,,
2024-02-20,北美,航空,同比增长10%,None,10,%,美国交通部,https://www.transportation.gov,,
2024-06-30,东南亚,水路,同比增长50%,None,50,%,国际海事组织 (IMO),http://www.imo.org,,
2024-03-15,印度,铁路,2.2亿,300.7,0.18,人次,印度铁路部,https://www.indianrailways.gov.in,,
2024-11-05,拉丁美洲,航空,同比增长5.2%,None,5.2,%,拉美航空运输协会 (ALTA),https://www.alta.aero,,
2024-09-25,英国,公共汽车,500万,None,7.5,人次,公共交通信息中心,https://www.transport.gov.uk,,
2024-04-10,中国,水路,同比增长30%,None,30,%,中国交通运输部,http://www.mot.gov.cn,,
2024-05-01,欧洲,航空,同比增长19.2%,nan,19.2,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-03-15,中国,铁路,7500万,nan,8.0,人次,中国铁路总公司,https://www.china-railway.com.cn/,,
2023-12-01,印度,道路运输,3500万,nan,29.5,人次,印度交通部,http://www.morth.nic.in/,,
2024-06-01,南美洲,航空,同比增长25.3%,nan,25.3,%,国际民用航空组织 (ICAO),https://www.icao.int/,,
2024年Q2,日本,水路,980万,nan,7.5,人次,日本交通运输局,http://www.mlit.go.jp/,,
2024年Q1,澳大利亚,铁路,850万,nan,5.0,人次,澳大利亚交通部,https://www.infrastructure.gov.au/,,
2024-02-01,中国,民航,2.2亿,250万吨,15.8,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-04-15,东南亚,航空,同比增长18.6%,nan,18.6,%,东南亚航空运输协会,https://www.asaa.org/,,
2024-07-01,非洲,道路运输,支持通行人数3300万,nan,14.2,人次,非洲道路交通局,https://www.afdb.org/,,
2024年Q2,全球,航运,500万,nan,21.0,人次,全球航运协会,https://www.wsc.org/,,
2024-05-01,欧洲,铁路,2.5亿,250万吨,15.2,人次,欧洲铁路运输协会,https://www.era.europa.eu/,,
2024-06-01,亚洲,高速公路,1亿,nan,8.4,人次,亚洲交通协会,https://www.astryd.org/,,
2024-07-01,北美,航空,同比增长25.1%,nan,25.1,%,美国交通部,https://www.dot.gov/,,
2024-08-01,中国,民航,1.9亿,210.5万吨,5.5,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-09-01,非洲,道路运输,3000万,nan,12.0,人次,非洲交通运输部,https://au.int/en/transport,,
2024-10-01,印度,铁路,6亿,nan,20.3,人次,印度铁路部,https://indianrailways.gov.in/,,
2024-11-01,澳洲,航空,同比增长18.7%,nan,18.7,%,澳大利亚民航局,https://www.casa.gov.au/,,
2024-12-01,全球,水路,同比增长6.5%,nan,6.5,%,国际海运协会,http://www.imo.org/,,
2024-01-01,南美洲,机场巴士,700万,nan,10.0,人次,南美洲交通网络,https://www.southamericatransport.org/,,
2024-02-01,阿拉伯国家,出租车,2500万,nan,14.4,人次,阿拉伯交通运输协会,https://www.arabtransport.org/,,
2024-07-15,欧洲,航空,同比增长30.5%,None,30.5,%,欧洲航空安全局 (EASA),https://www.easa.europa.eu/,,
2024-09-10,亚洲,铁路,2.0亿,None,5.2,人次,亚洲铁路联盟 (ARF),http://www.asianrailway.org/,,
2024-05-01,中国,民航,9250万,300万吨,17.8,人次,中国民用航空局,http://www.caac.gov.cn/,,
2024-03-12,美国,公路运输,3.1亿,None,8.3,人次,美国交通部,https://www.transportation.gov/,,
2024-10-05,全球,水路,新增50万,None,15.0,人次,全球航运协会,https://www.globalshipping.org/,,
2024-06-20,加拿大,铁路,840万,None,6.5,人次,加拿大交通部,https://www.tc.gc.ca/,,
2024-11-30,中国,航空,同比增长12.3%,None,12.3,%,中国航空运输协会,http://www.cata.org.cn/,,
2024-02-14,印度,公路运输,8.5亿,None,20.9,人次,印度运输部,https://www.morth.nic.in/,,
2024-12-25,南美洲,航空,增长18.4%,None,18.4,%,南美航空协会,https://www.southamericanairlines.org/,,
2024-08-30,非洲,水路,同比增长22.2%,None,22.2,%,非洲海事委员会,https://www.africanmaritime.com/,,
2024-06-01,欧洲,铁路,同比增长25.3%,None,25.3,%,欧洲铁路协会,https://www.era.europa.eu/,,
2024-02-01,中国,民航,1.5亿,150万吨,11.5,人次,中国民用航空局,http://www.caac.gov.cn/,,
