应用行业,碳纤维使用总量,单位,国产碳纤维占比,单位.1,采集来源,来源链接,采集时间,备注【疑问汇总】
船舶制造,0.8,万吨,38,%,中国船舶工业协会,http://www.csna.org.cn/,,
电子器件,0.15,万吨,20,%,中国电子信息产业发展研究院,http://www.cided.org.cn/,,
医疗设备,0.2,万吨,45,%,中国医疗器械协会,http://www.cmeia.org.cn/,,
运动器材,1.5,万吨,55,%,中国体育用品联合会,http://www.csia.org.cn/,,
环境保护设备,0.9,万吨,30,%,中国环境保护产业协会,http://www.cepi.org.cn/,,
耐火材料,0.3,万吨,28,%,中国冶金工业协会,http://www.cmet.org.cn/,,
机器人,0.22,万吨,40,%,中国机器人产业发展联盟,http://www.cria.org.cn/,,
航空航天,2.5,万吨,32,%,中国航空工业集团,http://www.avic.com/,,
建筑,3.2,万吨,45,%,中国建筑材料联合会,http://www.cbmda.org.cn/,,
电子产品,0.76,万吨,30,%,中国电子新闻网,http://www.cena.org.cn/,,
卫星技术,1.14,万吨,20,%,中国航天科工集团,http://www.spacechina.com/,,
船舶制造,2.9,万吨,35,%,中国船舶工业协会,http://www.csia.org.cn/,,
风力涡轮机,6.5,万吨,40,%,中国风能协会,http://www.weixinw.com/,,
医疗器械,0.25,万吨,30,%,中国医学科学研究院,http://www.cams.ac.cn/,,
运动器材,1.5,万吨,50,%,中国国家体育总局,http://www.sport.gov.cn/,,
高性能航天器,4.3,万吨,10,%,中国航天科技集团,http://www.casc.cn/,,
机器人制造,0.93,万吨,25,%,中国机器人产业联盟,http://www.cria.org.cn/,,
舞台艺术设备,0.12,万吨,55,%,中国舞台设备制造协会,http://www.csema.org.cn/,,
