材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注【疑问汇总】
合成氟化锂材料,LiF,立方体晶体结构,2.6,g/cm³,1.4,g/cm³,1.9,g/cm³,120.0,mAh/g,100.0,mAh/g,110.0,Wh/kg,3.5,V,2.5-4.0 V,中等,环保性较佳,安全性强,0°C至55°C,较低,成本低、导电能力强,理论容量有限,小型电子设备、传感器,中国国家电池研究中心,http://www.cnbcc.org/,,
镍钴铬材料,LiNiCoCrO₂,层状晶体结构,5.0,g/cm³,3.0,g/cm³,3.8,g/cm³,180.0,mAh/g,170.0,mAh/g,210.0,Wh/kg,3.6,V,3.0-4.5 V,良好,较环保,安全性中等,-10°C至50°C,较高,优良的高温性能、高能量密度,生产过程复杂、资源稀缺,高性能电动车、航空航天,中国材料研究学会,http://www.cmas.org.cn/,,
锰酸锂材料,LiMn₂O₄,立方晶体结构,4.3,g/cm³,2.7,g/cm³,3.4,g/cm³,120.0,mAh/g,110.0,mAh/g,100.0,Wh/kg,4.0,V,3.0-4.3 V,优秀,环保性强,安全性高,-20°C至65°C,较低,资源丰富、环境友好,能量密度偏低、循环性能不足,医疗设备、消费电子,国际电池协会,http://www.internationalbattery.org/,,
锂铁氟化物,LiFeF₃,单斜晶体结构,4.1,g/cm³,2.6,g/cm³,3.2,g/cm³,90.0,mAh/g,85.0,mAh/g,75.0,Wh/kg,3.1,V,2.8-4.0 V,中等,环保性强,安全性能高,-30°C至50°C,中等,良好的热稳定性、长循环寿命,能量转换效率较低,固定储能系统、可再生能源,清华大学材料系,http://www.materials.tsinghua.edu.cn/,,
钴酸锂材料,LiCoO₂,层状晶体结构,5.1,g/cm³,2.9,g/cm³,3.6,g/cm³,140.0,mAh/g,135.0,mAh/g,160.0,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,安全性中等,-20°C至60°C,中等,高能量密度、较成熟的生产技术,原材料供应不稳定、价格波动大,移动设备、高速铁路电源,中国电池协会,http://www.cba.com.cn/,,
钛酸锂材料,Li₄Ti₅O₁₂,立方晶体结构,4.0,g/cm³,2.2,g/cm³,3.0,g/cm³,170.0,mAh/g,150.0,mAh/g,80.0,Wh/kg,2.4,V,1.5-3.0 V,优秀,环保性强,安全性高,-30°C至70°C,较高,安全性极高、快速充放电特性,能量密度较低、较贵,电动轿车、快速充电站,国家材料实验室,http://www.nml.gov.cn/,,
固态电池材料,Li₁.3Nb₀.3Ti₆.7O₁₂,立方晶体结构,4.5,g/cm³,3.2,g/cm³,3.9,g/cm³,220.0,mAh/g,200.0,mAh/g,300.0,Wh/kg,4.2,V,3.5-4.5 V,尚待验证,环保性好,极高安全,-20°C至80°C,非常高,超高能量密度、长寿命,生产技术难度大、成本高昂,未来电动车、便携式储能,中科院电池研究所,http://www.cib.org.cn/,,
氟化锂材料,LiF,立方晶体结构,2.6,g/cm³,1.5,g/cm³,2.0,g/cm³,150.0,mAh/g,145.0,mAh/g,70.0,Wh/kg,3.0,V,2.0-3.7 V,中等,环境友好,安全性中等,-10°C至55°C,较低,原材料获取简单、价格稳定,较低的能量密度和功率性能,小型电子产品、务必类充电装置,电子科技大学材料系,http://www.electronicust.edu.cn/,,
氧化铝锂材料,LiAlO₂,六边形晶体结构,3.8,g/cm³,2.4,g/cm³,2.9,g/cm³,125.0,mAh/g,120.0,mAh/g,85.0,Wh/kg,3.5,V,2.5-4.0 V,良好,较环保,安全性中等,-20°C至60°C,中等,良好的化学稳定性、介电性能,相对较低的功率性能,消费电子、汽车电池,材料科学与工程学会,http://www.msei.org.cn/,,
锂矿材料,Li₂CO₃,立方晶体结构,2.1,g/cm³,1.9,g/cm³,2.0,g/cm³,60.0,mAh/g,58.0,mAh/g,50.0,Wh/kg,2.5,V,1.5-3.0 V,中等,较环保,安全性高,-20°C至50°C,较低,资源丰富、成本低,能量密度和功率性能较低,低端电池、非电池应用,中国地质大学,http://www.cug.edu.cn/,,
