年份,国家,重点城市,万元GDP能耗,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2019,中国,沈阳,1.02,吨标准煤/万元GDP,沈阳市统计局,https://www.shenyang.gov.cn/statistics/,,
2023,中国,南京,0.81,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,,
2022,中国,武汉,0.86,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,,
2021,中国,重庆,0.94,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2023,中国,济南,0.79,吨标准煤/万元GDP,山东省统计局,https://www.sd.gov.cn/statistics/,,
2023,中国,天津,0.83,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,,
2022,中国,青岛,0.89,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,,
2021,中国,厦门,0.8,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,,
2023,中国,合肥,0.76,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,,
2022,中国,西安,0.92,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,,
2021,中国,哈尔滨,0.98,吨标准煤/万元GDP,黑龙江省统计局,https://www.hlj.gov.cn/statistics/,,
2023,中国,重庆,0.85,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2022,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,,
2023,中国,南京,0.81,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,,
2022,中国,西安,0.92,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,,
2021,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,,
2021,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,,
2020,中国,厦门,0.75,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,,
2021,中国,大连,0.86,吨标准煤/万元GDP,大连市统计局,https://www.dl.gov.cn/statistics/,,
2022,中国,合肥,0.9,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,,
2023,中国,郑州,0.83,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,,
2023,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,,
2023,中国,武汉,0.87,吨标准煤/万元GDP,湖北省统计局,https://www.hbstats.gov.cn/,,
2022,中国,西安,0.91,吨标准煤/万元GDP,陕西省统计局,https://tjj.shaanxi.gov.cn/,,
2022,中国,重庆,0.84,吨标准煤/万元GDP,重庆市统计局,http://tjj.cq.gov.cn/,,
2021,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,http://tjj.tianjin.gov.cn/,,
2021,中国,青岛,0.8,吨标准煤/万元GDP,山东省统计局,http://www.sdpc.gov.cn/,,
2023,中国,郑州,0.76,吨标准煤/万元GDP,河南省统计局,http://tjj.henan.gov.cn/,,
2023,中国,厦门,0.75,吨标准煤/万元GDP,福建省统计局,http://tjj.fujian.gov.cn/,,
2022,中国,合肥,0.85,吨标准煤/万元GDP,安徽省统计局,http://www.ah.gov.cn/,,
2021,中国,济南,0.81,吨标准煤/万元GDP,山东省统计局,http://www.sdpc.gov.cn/,,
2023,中国,天津,0.83,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,,
2023,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2022,中国,南京,0.79,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,,
2022,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,,
2021,中国,西安,0.92,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,,
2021,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,,
2023,中国,沈阳,0.87,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,,
2023,中国,哈尔滨,0.94,吨标准煤/万元GDP,黑龙江省统计局,https://www.hlj.gov.cn/statistics/,,
2022,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,,
2021,中国,济南,0.81,吨标准煤/万元GDP,山东省统计局,https://www.shandong.gov.cn/statistics/,,
2023,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,,
2022,中国,南京,0.83,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,,
2022,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,,
2021,中国,西安,0.94,吨标准煤/万元GDP,西安市统计局,https://www.xi'an.gov.cn/statistics/,,
2021,中国,青岛,0.85,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,,
2023,中国,合肥,0.77,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,,
2022,中国,长沙,0.91,吨标准煤/万元GDP,长沙市统计局,https://www.changsha.gov.cn/statistics/,,
2021,中国,大连,0.84,吨标准煤/万元GDP,大连市统计局,https://www.dalian.gov.cn/statistics/,,
2023,中国,苏州,0.76,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,,
2022,中国,厦门,0.86,吨标准煤/万元GDP,厦门市统计局,https://www.xiamen.gov.cn/statistics/,,
2023,中国,重庆,0.86,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2023,中国,南京,0.81,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,,
2022,中国,武汉,0.84,吨标准煤/万元GDP,湖北省统计局,https://www.hbstats.gov.cn/,,
2022,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,,
2021,中国,苏州,0.79,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,,
2021,中国,青岛,0.83,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,,
2020,中国,沈阳,0.91,吨标准煤/万元GDP,辽宁省统计局,http://tjj.ln.gov.cn/,,
2020,中国,合肥,0.87,吨标准煤/万元GDP,安徽省统计局,http://tjj.ah.gov.cn/,,
2023,中国,哈尔滨,0.93,吨标准煤/万元GDP,黑龙江省统计局,http://tjj.hlj.gov.cn/,,
2022,中国,郑州,0.89,吨标准煤/万元GDP,河南省统计局,http://tjj.henan.gov.cn/,,
2023,中国,武汉,0.8,吨标准煤/万元GDP,湖北省统计局,https://www.hb.gov.cn/statistics/,,
2022,中国,南京,0.76,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,,
2023,中国,青岛,0.84,吨标准煤/万元GDP,山东省统计局,https://www.sd.gov.cn/statistics/,,
2021,中国,厦门,0.92,吨标准煤/万元GDP,福建省统计局,https://www.fj.gov.cn/statistics/,,
2022,中国,沈阳,0.87,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,,
2023,中国,长沙,0.81,吨标准煤/万元GDP,湖南省统计局,https://www.hunan.gov.cn/statistics/,,
2021,中国,合肥,0.91,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2023,中国,郑州,0.82,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,,
2021,中国,西安,0.94,吨标准煤/万元GDP,陕西省统计局,https://www.sn.gov.cn/statistics/,,
