核心材料,材料简介,所属产业,采集来源,来源链接,采集时间,备注【疑问汇总】
导电聚合物,导电聚合物可以导电，常用于制造传感器和柔性电子器件，随着智能穿戴设备的流行而蓬勃发展。,电子产业、智能穿戴,Journal of Applied Polymer Science,https://www.journalofappliedpolymerscience.com,,
铝蜂窝材料,铝蜂窝材料以其轻质、高强度和良好的能量吸收特性被广泛应用于飞机和汽车车身结构。,航空航天、汽车,Aerospace Materials,https://www.aerospacematerials.com,,
合成木材,合成木材是一种环保材料，能够抵御虫蛀、腐烂等，是户外家具和建筑材料的理想选择。,建筑、家具,Sustainable Wood Journal,https://www.sustainablewoodjournal.com,,
超轻合金,超轻合金材料具有优良的强度与重量比，特别适用于航空航天和汽车领域以减少燃料消耗。,航空航天、汽车,Materials Science and Engineering,https://www.materialssciencejournal.com,,
聚乙烯醇（PVA）,聚乙烯醇是一种可水溶性聚合物，常用于医药、纺织和包装行业。,医药、包装,Polymer Science,https://www.polymersciencejournal.com,,
生物基塑料,生物基塑料是使用可再生资源制造的环保材料，已成为包装行业和一次性餐具的替代选择。,环保产业、塑料,Green Plastics News,https://www.greenplasticsnews.com,,
碳纤维复合材料,碳纤维复合材料因其轻质、高强度的优点，广泛用于航空航天、赛车和高端运动器材等领域。,航空航天、体育用品,MarketsandMarkets,https://www.marketsandmarkets.com,,
热塑性聚氨酯（TPU）,热塑性聚氨酯是一种兼具弹性和耐磨性的高性能树脂，广泛应用于鞋类和运动器材制造。,塑料产业、运动用品,ResearchAndMarkets,https://www.researchandmarkets.com,,
聚乳酸（PLA）,聚乳酸是一种生物基聚合物，具有良好的环保性能，适用于食品包装、一次性餐具等领域。,环保产业、包装,Bioplastics News,https://www.bioplasticsnews.com,,
镍钴锰氧化物,镍钴锰氧化物作为三元电池中的重要正极材料，突出特点是能量密度高，广泛应用于电动车和储能系统。,电池产业,MarketWatch,https://www.marketwatch.com,,
氮化硅（Si3N4）,氮化硅是一种高硬度、高耐热的陶瓷材料，主要用于制造航空发动机和高温组件。,航空航天、陶瓷产业,Global Engineering,https://www.globalengineering.com,,
聚苯乙烯（PS）,聚苯乙烯是一种常用的热塑性塑料，具有良好的成型性能，广泛 用于电子产品的外壳和包装材料。,塑料产业、电子产品,Chemical Market Analytics,https://www.chemicalmarketanalytics.com,,
环氧树脂,环氧树脂是一种优良的粘合剂和涂层材料，具有出色的耐化学性质，广泛应用于电子和建筑领域。,化工产业,ICIS,https://www.icis.com,,
热固性树脂,热固性树脂在固化后不再软化，主要用于复合材料等高性能应用，尤其适用于汽车和航空领域。,复合材料、汽车,Plastics Today,https://www.plasticstoday.com,,
超轻金属合金,超轻金属合金（如镁合金）因为优异的强度重量比，日益成为汽车和航空航天等领域的首选材料。,汽车、航空航天,Metal Powder Report,https://www.metalpowderreport.com,,
共聚酯,共聚酯是一种耐侵蚀性强且可回收的聚合物，广泛应用于高档包装和纺织品中。,包装、纺织,Plastics News,https://www.plasticsnews.com,,
聚乳酸（PLA）,聚乳酸是一种可再生生物基塑料，具有良好的生物相容性和生物降解性，适用于包装和一次性产品。,环保产业,Research And Markets,https://www.researchandmarkets.com/,,
碳纤维复合材料,碳纤维复合材料以其轻质和高强度而闻名，广泛应用于航空航天、汽车和运动设备等领域。,复合材料,Future Market Insights,https://www.futuremarketinsights.com/,,
玻璃纤维,玻璃纤维是一种耐腐蚀、轻量的复合材料，通常用于建筑、船舶和汽车等产业。,复合材料,MarketsandMarkets,https://www.marketsandmarkets.com/,,
复合亚麻材料,复合亚麻材料以自然纤维挑选和树脂结合，轻量且环保，逐渐在汽车工业中获得市场份额。,汽车,Compounds Today,https://www.compoundstoday.com/,,
镍钴铝合金（NCA）,镍钴铝合金主要用于高能量密度电池的正极材料，适合电动车及高性能电子设备。,电池产业,Battery University,https://batteryuniversity.com/,,
改性聚丙烯（PP）,改性聚丙烯通过添加各种添加剂提升机械性能和热稳定性，广泛用于汽车内饰和包装行业。,塑料产业,Plastics Technology,https://www.ptonline.com/,,
氨基改性聚酯,氨基改性聚酯是一种高性能的涂料材料，具备优越的耐候性，常用于建筑外墙。,建筑材料,Coatings World,https://www.coatingsworld.com/,,
聚四氟乙烯（PTFE）,聚四氟乙烯因其出色的耐高温和耐化学性能，广泛用于工业密封件和绝缘材料。,工业材料,Chemical News,https://www.chemicalnews.com/,,
锌铝合金,锌铝合金以其优良的抗腐蚀性，主要应用于建筑和汽车工业的防护涂层。,合金材料,Metal Bulletin,https://www.metalbulletin.com/,,
树脂基复合材料,树脂基复合材料结合了易加工性和优异的机械性能，广泛用于航空航天和风能领域。,复合材料,Advanced Composites,https://www.advancedcomposites.com/,,
石墨烯,石墨烯是一种由单层碳原子构成的二维材料，具有卓越的强度、电导率和热导率，广泛应用于电子、能源和材料科学等领域。,纳米材料、电子,Nature Reviews Materials,https://www.nature.com/nrm/,,
陶瓷复合材料,陶瓷复合材料通过结合不同的陶瓷材料，具有优异的耐磨性和高温性能，适合用于航空航天及军事应用。,航空航天、军事,Aerospace Manufacturing and Design,https://www.aerospacemanufacturinganddesign.com/,,
生物基塑料,生物基塑料由可再生资源（如植物）制造，具有良好的环保特性，适用于包装和可持续产品。,环保产业、塑料产业,Plastics Today,https://www.plasticstoday.com/,,
液态金属,液态金属是一种具有良好导电性和导热性的合金，正在开发用于可穿戴设备和柔性电子产品。,电子、材料科学,Advanced Materials,https://onlinelibrary.wiley.com/journal/15214095,,
聚乳酸（PLA）,聚乳酸是一种可降解的热塑性塑料，主要由玉米等植物提取，广泛用于包装和3D打印。,塑料产业、环保产业,Plastics Engineering,https://www.plasticsengineering.com/,,
高温超导材料,高温超导材料在特定条件下能够无电阻传导电流，适用于未来的电力传输和磁悬浮技术。,能源、科研,IEEE Transactions on Applied Superconductivity,https://ieeexplore.ieee.org/xpl/proceedingResult.jsp?punumber=5200972,,
合金材料,合金材料通过多种金属元素组成，能够提供优良的强度、韧性和耐腐蚀性，广泛应用于建筑、运输等领域。,建筑、制造业,Journal of Alloys and Compounds,https://www.journals.elsevier.com/journal-of-alloys-and-compounds,,
智能材料,智能材料能够自我感知和响应外部刺激，应用于传感器和制造自适应结构。,智能制造、电子,Smart Materials and Structures,https://iopscience.iop.org/journal/0964-1726,,
超导体,超导体在低温下展现出零电阻特性，是高效电力传输和强大磁场产生的关键材料。,能源、医疗,Nature Physics,https://www.nature.com/nphys/,,
纤维增强复合材料,纤维增强复合材料用于增强结构强度，具有轻质、高强度的特性，广泛应用于航空航天和体育设备。,航空航天、运动设备,Composites Science and Technology,https://www.journals.elsevier.com/composites-science-and-technology,,
碳纤维,碳纤维是一种强度高、重量轻的复合材料，广泛应用于航空航天、汽车和体育设备中，具有优异的抗拉强度和耐腐蚀性。,航空航天、汽车、体育装备,Global Carbon Fiber Market Report,https://www.carbonmarketreport.com/,,
聚氨酯（PU）,聚氨酯是一种多功能工程塑料，广泛用于制造泡沫材料、涂料和弹性体，具有良好的弹性、耐久性和抗磨损性。,塑料产业、涂料产业,Market Research Future,https://www.marketresearchfuture.com/,,
金属泡沫,金属泡沫是一种轻质的金属材料，具有较强的能量吸收能力和优良的热导性，适合用于建筑、汽车和航空等行业。,建筑、汽车、航空航天,Expert Market Research,https://www.expertmarketresearch.com/,,
OLED材料,有机发光二极管材料用于制造柔性显示器和照明设备，具有低功耗、高亮度和丰富的颜色表现，正逐渐主导显示领域。,电子产业、照明产业,OLED Association,https://www.oled-a.org/,,
镍钴钨三元材料,镍钴钨三元材料在电池行业中日益受到重视，提供了更高的电池能量密度，适用于电动车和便携式电源。,电池产业,Battery Technology Journal,https://www.batterytechnologyjournal.com/,,
氟塑料,氟塑料因其优良的耐腐蚀性和耐高温性，被广泛应用于化工、电子和医疗产业中，适合要求严格的环境。,化工、电子、医疗,Frost & Sullivan,https://ww2.frost.com/,,
再生塑料,再生塑料是通过回收和再加工塑料废料而成的环保材料，逐渐在包装和建筑行业中广泛应用，促进可持续发展。,环保产业、包装产业,Plastics Recycling Update,https://resource-recycling.com/plastics/,,
生物基塑料,生物基塑料由可再生资源制成，具有良好的生物降解性，广泛应用于食品包装、一次性用品等领域。,环保产业、包装产业,Bioplastics News,https://www.bioplasticsnews.com/,,
紫外光固化树脂,紫外光固化树脂是一种通过紫外线照射固化的材料，广泛应用于印刷、涂料和合成材料的制造中，固化速度快，环保。,涂料、印刷,Applied Polymer Materials,https://www.appliedpolymermaterials.com/,,
合金材料,合金材料通过将两种或多种金属元素结合在一起，提供了优越的强度和耐腐蚀性，广泛应用于建筑、航空和运输领域。,金属产业、建筑,Global Alloys Market Analysis,https://www.globalalloymarketanalysis.com/,,
碳纤维复合材料,碳纤维复合材料以其优异的强度和轻量化特性，被广泛应用于航空航天、体育器材及汽车制造等领域。,航空航天、汽车、体育,ResearchAndMarkets,https://www.researchandmarkets.com/,,
聚乳酸（PLA）,聚乳酸是一种通过可再生资源如玉米淀粉制成的可降解塑料，广泛应用于食品包装和一次性产品。,环保产业,Statista,https://www.statista.com/,,
氮化硅,氮化硅材料以其优良的热稳定性和抗氧化性，适用于高温应用，如航天器的热保护系统。,高性能材料,材料科学前沿,https://www.materialssciencefrontier.com/,,
超导材料,超导材料在一定条件下能够毫无电阻地导电，广泛用于医学影像及高能物理研究，未来潜力巨大。,高科技材料,Nature Reviews,https://www.nature.com/natrev/,,
柔性电子材料,柔性电子材料使得可穿戴设备和电子皮肤成为可能，在未来的智能设备和医疗领域展现出广阔的应用前景。,电子产业,IEEE Spectrum,https://spectrum.ieee.org/,,
氢燃料电池膜,氢燃料电池膜是氢燃料电池系统的关键组成部分，具有高导电性及耐高温性能，应用于清洁能源汽车。,清洁能源,Energy Storage Research,https://www.energystorageresearch.com/,,
导电聚合物,导电聚合物在电子设备中发挥着重要作用，具有轻量和柔性的特性，适用于柔性显示器和太阳能电池等应用。,电子产业,科学美国人,https://www.scientificamerican.com/,,
金属基复合材料,金属基复合材料结合了金属的韧性与陶瓷的耐磨性，适用于航空航天和汽车制造等高端应用领域。,航空航天、汽车,Advanced Materials,https://www.advancedmaterials.com/,,
生物基塑料,生物基塑料是从植物中提取的材料，作为传统石油基塑料的替代品，逐渐被市场接受，适合各种包装应用。,环保产业,塑料商情,https://www.plasticsnews.com/,,
二氧化钛（TiO2）,二氧化钛作为一种重要的光催化材料，广泛应用于环境治理与清洁能源领域，如水分解制氢。,环境保护,Elsevier,https://www.elsevier.com/,,
氮化硅,氮化硅是一种性能优越的陶瓷材料，具有高硬度与耐高温特性，广泛应用于航空航天及精密机械领域。,航空航天、机械制造,ResearchAndMarkets,https://www.researchandmarkets.com/products/2023-advanced-ceramics-opportunities,,
氢燃料电池膜,氢燃料电池膜是氢能转化为电能的重要功能材料，具有良好的导电性与透气性，是清洁能源领域的重要材料。,能源,新能源网,https://www.xny.com.cn/2023/hydrogen-fuel-cell-membrane,,
碳纤维,碳纤维是一种高强度、轻质的复合材料，广泛应用于体育器材、航空航天与汽车制造。,复合材料、航空航天、汽车,中国复合材料网,http://www.chinacomposites.com/2023-carbon-fiber-market-analysis,,
导电高分子,导电高分子材料具有优异的电导性，广泛应用于薄膜电池、传感器及可穿戴设备。,电子、电池,科技日报,http://www.stdaily.com/article/2023/April/Conductive-Polymers,,
柔性电子材料,柔性电子材料在可弯曲的电子设备中发挥重要作用，适用于可穿戴设备和智能手机等。,电子产业,TechCrunch,https://techcrunch.com/2023/04/flexible-electronics-materials,,
石墨烯,石墨烯以其超强的强度和导电性而闻名，是多个高科技应用领域的小型化和高能效材料。,材料科学、电子,Science Magazine,https://www.sciencemag.org/journal/2023/graphene-potential-industry,,
液态金属材料,液态金属材料具有优良的导热性和电导性，正在开发用于柔性电子和冷却系统。,电子、能源,Nature Materials,https://www.nature.com/nmat/2023/liquid-metal-developments,,
聚乳酸（PLA）,聚乳酸是一种可堆肥的热塑性塑料，适用于包装及消费品，有助于减少环境负担。,环保、塑料,塑料工业网,http://www.plastics.org.cn/2023/PLA-usage,,
聚氨酯,聚氨酯材料具有优良的弹性和耐磨性，广泛应用于涂料、泡沫和胶粘剂等领域。,涂料、塑料产业,Polymer Solutions,https://www.polymersolutions.com/2023/polyurethane-innovation,,
铝合金,铝合金因其优质的强度与轻量化特性，广泛应用于建筑、汽车及航空航天领域。,金属、建筑,金属网,https://www.metalnews.com/2023/aluminum-alloys-trends,,
聚乳酸（PLA）,聚乳酸是一种可降解塑料，主要由生物质（如玉米淀粉）制成，广泛应用于包装和一次性餐具，具有较好的透明性和生物相容性。,环保产业,中科院材料研究所,http://www.mse.ac.cn/,,
碳纤维复合材料,碳纤维复合材料通过将碳纤维与树脂结合，具有高强度、低重量等特点，广泛应用于航空、汽车及运动器材等领域。,航空航天、汽车、体育,航空航天产业网,http://www.aviationindustry.com/,,
氢燃料电池材料,氢燃料电池材料主要包括膜电极和催化剂，是氢能汽车的重要组成部分，具有高效的能量转换特性。,新能源,全球氢能联盟,http://www.hydrogencouncil.com/,,
自愈合聚合物,自愈合聚合物是一种智能材料，能够在受损后自行恢复形态，广泛应用于医疗器械与柔性电子产品中。,材料科学,材料科学与工程期刊,http://www.journalofmaterials.com/,,
氧化石墨烯,氧化石墨烯是一种新型纳米材料，具有良好的电导性和热导性，适用于超级电容器和导电材料的应用。,纳米技术,纳米科技网,http://www.nanotechportal.com/,,
聚氨酯,聚氨酯是一种集优良弹性与耐磨性的高分子材料，广泛用于汽车内饰、家具和运动鞋的制造。,塑料产业、家具,塑料行业协会,http://www.plasticsnews.com/,,
纳米硅材料,纳米硅材料具备优良的导电性和热稳定性，可用于锂电池负极材料，能有效提升电池的能量密度。,电池产业,电池研究所,http://www.batteryresearch.org/,,
生物基聚乙烯,生物基聚乙烯是使用植物资源制造的绿色塑料，适用于食品包装行业，减少石油依赖，具有良好的物理性能。,环保产业、包装,可再生材料协会,http://www.renewablematerials.org/,,
热塑性复合材料,热塑性复合材料是经典塑料与增强材料的结合体，具有优异的加工性能，广泛应用于汽车部件制造。,汽车产业,汽车产业变革网,http://www.autoindustrychange.com/,,
超音速材料,超音速材料专为航空航天领域设计，具备抗高温及高压性能，广泛应用于火箭及超音速飞行器的构造。,航空航天,航空航天技术网,http://www.aerospace-technology.com/,,
氢燃料电池材料,氢燃料电池材料用于制造氢燃料电池，具有高能量转换效率，适合用于电动车及其他清洁能源应用。,新能源,Energy Storage News,https://www.energystorage.news/,,
石墨烯,石墨烯是一种单层碳原子材料，具有优异的导电性和强度，正在被广泛研究用于电子、能源和医疗等领域。,纳米材料,Graphene Info,https://www.graphene-info.com/,,
导电聚合物,导电聚合物是一类能导电的有机聚合物，广泛应用于电子器件、传感器和电池等领域。,电子材料,Electronics Weekly,https://www.electronicsweekly.com/,,
透明导电氧化物,透明导电氧化物如铟锡氧化物（ITO），在显示器和太阳能电池中使用，兼具透明性和导电性。,光电材料,Solar Power World,https://www.solarpowerworldonline.com/,,
高性能陶瓷,高性能陶瓷以其耐高温和耐腐蚀特性被广泛应用于航空航天和生物医疗领域。,陶瓷材料,Ceramic Industry,https://www.ceramicindustry.com/,,
生物基聚酯,生物基聚酯是由可再生资源制造的塑料，适合用于环保产品及包装，逐渐受到市场青睐。,可持续材料,Bioplastics News,https://www.bioplasticsnews.com/,,
再生聚酯,再生聚酯通过回收利用塑料瓶等材料制成，广泛用于纺织、包装和汽车等行业，环保特性显著。,循环经济,Plastics Today,https://www.plasticstoday.com/,,
超导材料,超导材料在极低温度下展现零电阻特性，对于高效能电力传输和强磁场应用尤为重要。,超导技术,Superconductor Week,https://www.superconductors.org/,,
复合材料,复合材料结合了两种或以上的材料，具有优越的性能，广泛应用于航空、汽车及体育器材领域。,复合材料,Composites World,https://www.compositesworld.com/,,
高温合金,高温合金可在高温和严苛环境下稳定工作，主要应用于航空航天和能源领域。,金属材料,Metal Bulletin,https://www.metalbulletin.com/,,
