可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
低,100 Mbps,120 ms,35 ms,9,400 ms,25%,网络技术与研究中心,https://www.nwtechrc.org,,
高,5 Gbps,8 ms,2 ms,1,70 ms,1%,核心网络技术协会,https://www.cnttc.org,,
中,800 Mbps,28 ms,15 ms,1,200 ms,4%,IEEE网络研究中心,https://www.ieee.org,,
低,20 Mbps,95 ms,30 ms,6,350 ms,15%,网络时代杂志,https://www.cyberspacemagazine.com,,
高,2.5 Gbps,11 ms,3 ms,0,80 ms,2%,国家网络局,https://www.ncn.gov.cn,,
中,650 Mbps,18 ms,8 ms,4,180 ms,3%,中国信息网络发展报告,https://www.cnnic.cn,,
低,45 Mbps,100 ms,25 ms,5,300 ms,10%,数据通讯与网络存储,https://www.data-comm.com,,
高,4.5 Gbps,10 ms,4 ms,0,65 ms,1%,通信行业协会,https://www.ica.gov.cn,,
中,400 Mbps,30 ms,10 ms,3,170 ms,6%,移动网络与技术研究,https://www.mtnresearch.org,,
高,3.2 Gbps,14 ms,5 ms,0,85 ms,2%,网络未来研究中心,https://www.networkfuture.com,,
低,60 Mbps,88 ms,18 ms,6,300 ms,12%,科技创新与网络发展动态,https://www.techinnovation.com,,
高,7 Gbps,7 ms,1 ms,0,55 ms,0%,全球网路通讯研究,https://www.globalnetwork.com,,
中,500 Mbps,40 ms,12 ms,2,200 ms,5%,前沿网络技术论坛,https://www.frontiertechforum.com,,
低,30 Mbps,110 ms,20 ms,8,320 ms,22%,信息技术与社会发展,https://www.itandsd.org,,
高,1.8 Gbps,13 ms,4 ms,0,75 ms,2%,网络策略与分析,https://www.networkstrategy.com,,
高,1.5 Gbps,14 ms,5 ms,1,90 ms,2%,亚洲通信协会,https://www.asianicta.org,,
中,400 Mbps,30 ms,10 ms,4,180 ms,8%,无线路由器时代,https://www.wirelessroutermag.com,,
低,75 Mbps,95 ms,35 ms,6,320 ms,15%,网络安全与技术,https://www.netsecuritytech.com,,
高,2.5 Gbps,8 ms,3 ms,0,70 ms,1%,全球互联网报告,https://www.globalinternetreport.com,,
中,300 Mbps,28 ms,8 ms,2,150 ms,4%,网络设备市场,https://www.networkmarket.com,,
高,3 Gbps,10 ms,4 ms,1,50 ms,2%,科技与通信中心,http://www.technologyandcom.com,,
低,20 Mbps,100 ms,40 ms,8,350 ms,25%,技术探索杂志,https://www.techdiscovery.com,,
高,5 Gbps,6 ms,1 ms,0,40 ms,1%,现代通信杂志,https://www.moderncommsjournal.com,,
中,150 Mbps,35 ms,15 ms,3,200 ms,5%,IEEE 802.11标准组织,https://www.ieee80211.org,,
低,10 Mbps,120 ms,50 ms,10,400 ms,30%,网络问题观察,https://www.networkissues.com,,
高,1.2 Gbps,11 ms,2 ms,1,75 ms,1%,流媒体用户协会,https://www.streaminguserassociation.com,,
中,250 Mbps,40 ms,20 ms,2,160 ms,6%,网络通信博客,https://www.networkcommunicationblog.com,,
高,2 Gbps,15 ms,4 ms,1,90 ms,2%,未来技术论坛,https://www.futuretechforum.com,,
低,35 Mbps,110 ms,30 ms,9,360 ms,20%,科技政策分析,https://www.techpolicyanalysis.com,,
高,1.8 Gbps,12 ms,3 ms,0,80 ms,1%,智能网络研究院,http://www.smartnetworkinstitute.com,,
中,600 Mbps,20 ms,5 ms,3,150 ms,5%,网络科学研究,https://www.networkscienceresearch.com,,
高,2.2 Gbps,9 ms,2 ms,1,65 ms,1%,下一代网络技术,https://www.nextgennetworktech.com,,
中,350 Mbps,32 ms,11 ms,2,175 ms,7%,全球通信论坛,https://www.globaltelecomforum.com,,
高,1.5 Gbps,14 ms,5 ms,0,100 ms,2%,国际网络标准委员会,https://www.ietf.org,,
中,500 Mbps,35 ms,10 ms,2,150 ms,5%,网络技术研究所,https://www.ntr.org,,
低,75 Mbps,100 ms,20 ms,8,350 ms,25%,科技日报,http://www.stdaily.com,,
高,2.5 Gbps,11 ms,3 ms,0,50 ms,1%,网络安全技术论坛,https://www.cybersecurityforum.org,,
中,300 Mbps,29 ms,7 ms,4,200 ms,4%,中国电子学会,http://www.cecc.org.cn,,
高,5 Gbps,8 ms,1 ms,1,30 ms,0%,CNET,https://www.cnet.com,,
低,20 Mbps,120 ms,40 ms,9,400 ms,30%,互联网观察,https://www.internetwatch.com,,
中,400 Mbps,55 ms,15 ms,3,175 ms,6%,华为技术有限公司,https://www.huawei.com,,
高,3 Gbps,16 ms,4 ms,0,90 ms,1%,亚洲网络新闻,https://www.asianetworknews.com,,
中,250 Mbps,48 ms,14 ms,3,160 ms,4%,通信工程师协会,https://www.cea.org,,
低,30 Mbps,115 ms,35 ms,6,300 ms,15%,技术经济研究,http://www.techeconresearch.com,,
高,7 Gbps,7 ms,1 ms,0,20 ms,0%,网络行业协会,https://www.networkindustry.org,,
中,650 Mbps,40 ms,11 ms,2,200 ms,5%,信息技术和通信部,https://www.miit.gov.cn,,
低,10 Mbps,150 ms,50 ms,10,500 ms,35%,数字时代,https://www.digital-age.com,,
高,4 Gbps,9 ms,2 ms,1,60 ms,1%,科学技术部,http://www.most.gov.cn/,,
中,800 Mbps,33 ms,13 ms,3,170 ms,7%,国家信息中心,https://www.nic.gov.cn,,
低,40 Mbps,130 ms,35 ms,9,400 ms,28%,前沿科技,http://www.frontiertech.com,,
高,1.5 Gbps,14 ms,5 ms,2,150 ms,3%,国际电信联盟,https://www.itu.int/,,
中,300 Mbps,38 ms,15 ms,4,200 ms,8%,电子技术杂志,https://www.electronicdesign.com/,,
高,5 Gbps,11 ms,3 ms,1,70 ms,2%,网络世界周刊,https://www.networkworld.com/,,
低,20 Mbps,120 ms,40 ms,10,400 ms,25%,硬件技术评论,https://www.hardwarecanucks.com/,,
高,3 Gbps,9 ms,4 ms,0,50 ms,1%,TechCrunch,https://techcrunch.com/,,
中,750 Mbps,30 ms,10 ms,5,175 ms,5%,网络技术协会,https://www.nationalnetworkassociation.org/,,
低,10 Mbps,95 ms,20 ms,8,350 ms,15%,信息技术与网络,https://www.iti.org/,,
高,2.5 Gbps,8 ms,2 ms,1,90 ms,2%,光纤通信技术,http://www.fibercomms.com/,,
中,500 Mbps,28 ms,8 ms,3,130 ms,4%,计算机网络研究,https://www.cna.org/,,
高,4 Gbps,12 ms,6 ms,2,100 ms,3%,高性能计算技术,http://www.hpc.org/,,
低,1 Mbps,160 ms,35 ms,12,500 ms,30%,信息技术财团,https://www.itis.org/,,
高,6 Gbps,10 ms,3 ms,0,40 ms,1%,计算机技术协会,https://www.computer.org/,,
中,400 Mbps,33 ms,7 ms,4,150 ms,6%,网络安全杂志,https://www.cybersecuritymagazine.com/,,
高,2 Gbps,15 ms,5 ms,2,85 ms,3%,技术前沿,https://www.technologyreview.com/,,
低,30 Mbps,100 ms,30 ms,6,400 ms,25%,现代网络技术,https://www.modernnetworktech.com/,,
中,800 Mbps,21 ms,10 ms,3,140 ms,5%,数字通信论坛,https://www.digitalcommunicationforum.com/,,
高,7 Gbps,8 ms,4 ms,1,60 ms,2%,量子通讯技术研讨会,http://www.quantumcommunication.org/,,
高,1.5 Gbps,25 ms,5 ms,0,90 ms,2%,电信研究院,https://www.chinaunicom.com,,
中,250 Mbps,35 ms,10 ms,4,200 ms,4%,亚洲通信网络大会,http://www.asta-asia.org,,
高,2.5 Gbps,8 ms,1 ms,0,70 ms,1%,IEEE Communications Society,https://www.comsoc.org,,
低,100 Mbps,120 ms,30 ms,8,400 ms,18%,国家网络信息中心,https://www.cyber.gov.cn,,
高,1 Gbps,15 ms,4 ms,1,100 ms,3%,互联网信息中心,http://www.cnnic.net.cn,,
中,700 Mbps,20 ms,6 ms,3,150 ms,5%,华为技术有限公司,https://www.huawei.com,,
高,3 Gbps,10 ms,2 ms,1,80 ms,1%,网络技术论坛,https://www.networkforum.com,,
低,20 Mbps,130 ms,40 ms,6,350 ms,25%,科技时报,http://www.sciencenews.com,,
高,500 Mbps,13 ms,2 ms,2,110 ms,2%,国家计算机网络应急技术处理协调中心,http://www.cert.org.cn,,
中,300 Mbps,50 ms,8 ms,3,200 ms,10%,Cisco Blog,https://blogs.cisco.com,,
高,4 Gbps,6 ms,1 ms,0,60 ms,1%,国际电信联盟,https://www.itu.int,,
低,15 Mbps,160 ms,45 ms,9,500 ms,30%,网络安全与隐私保护周刊,http://www.securityweekly.com,,
高,1.2 Gbps,17 ms,3 ms,1,85 ms,2%,国家信息技术研究院,https://www.nitri.gov.cn,,
中,450 Mbps,25 ms,5 ms,3,125 ms,7%,信息产业部,http://www.miit.gov.cn,,
高,3.5 Gbps,14 ms,4 ms,2,95 ms,3%,通信世界网,https://www.cww.net.cn,,
中,200 Mbps,40 ms,11 ms,5,220 ms,9%,科技创新与应用,http://www.techinnovation.org,,
低,30 Mbps,95 ms,30 ms,7,350 ms,19%,网络观察者,http://www.internetobserver.com,,
低,20 Mbps,110 ms,30 ms,9,320 ms,25%,中国网络安全中心,https://www.cncert.cn/,,
高,600 Mbps,10 ms,2 ms,0,80 ms,1%,国际电信联盟,https://www.itu.int/,,
中,400 Mbps,55 ms,15 ms,2,200 ms,5%,电子与电气工程师协会,https://www.ieee.org/,,
高,1.5 Gbps,18 ms,7 ms,1,90 ms,2%,网络计算机,https://www.networkcomputing.com/,,
低,15 Mbps,115 ms,40 ms,10,400 ms,35%,央视财经,https://news.cctv.com/,,
高,5 Gbps,8 ms,2 ms,0,50 ms,1%,光通讯技术协会,http://www.lsr.org/,,
中,750 Mbps,30 ms,10 ms,3,150 ms,4%,电信研究院,http://www.ict.ac.cn/,,
高,2.3 Gbps,13 ms,5 ms,2,70 ms,2%,国际移动通信协会,https://www.ims.org/,,
低,30 Mbps,100 ms,35 ms,6,350 ms,20%,中国科技论文在线,https://www.paper.edu.cn/,,
高,1.2 Gbps,25 ms,6 ms,1,120 ms,3%,研究与发展,http://www.rndmagazine.com/,,
高,900 Mbps,11 ms,3 ms,0,85 ms,2%,中国互联网协会,http://www.cnnic.cn/,,
中,500 Mbps,35 ms,10 ms,4,160 ms,8%,信息产业部,http://www.miit.gov.cn/,,
高,3 Gbps,15 ms,5 ms,0,70 ms,1%,世界经济论坛,https://www.weforum.org/,,
低,40 Mbps,120 ms,20 ms,8,450 ms,30%,科技日报,http://www.stdaily.com/,,
高,700 Mbps,14 ms,4 ms,1,90 ms,2%,科学网,http://www.sciencenet.cn/,,
中,350 Mbps,50 ms,12 ms,3,175 ms,6%,现代海洋研究,http://www.modernmarine.com/,,
高,1.9 Gbps,19 ms,8 ms,1,95 ms,2%,电信管理局,http://www.miit.gov.cn/,,
中,300 Mbps,60 ms,15 ms,5,180 ms,7%,全球宽带报告,https://www.broadbandreport.com/,,
高,2.5 Gbps,16 ms,3 ms,0,75 ms,1%,网络基础设施观察,http://www.networkinfrastructurewatch.org/,,
高,1.5 Gbps,14 ms,5 ms,0,110 ms,2%,网络设备研究院,http://www.networkinstitute.org,,
中,250 Mbps,38 ms,15 ms,2,150 ms,5%,电信世界,https://www.techtimes.com,,
高,2.5 Gbps,8 ms,2 ms,1,70 ms,3%,信息技术出版,http://www.infotechpub.com,,
低,30 Mbps,100 ms,30 ms,6,300 ms,18%,网络科技杂志,https://www.networktechmagazine.com,,
高,3.2 Gbps,6 ms,2 ms,0,50 ms,1%,数字通信期刊,http://www.digitalcommunicationjournal.com,,
中,700 Mbps,20 ms,8 ms,4,160 ms,7%,信息通信研究中心,http://www.icresearch.org,,
高,900 Mbps,10 ms,3 ms,1,75 ms,2%,新兴网络技术,https://www.emergingnetworktech.com,,
中,500 Mbps,35 ms,12 ms,2,140 ms,8%,国际网络发展论坛,http://www.globalnetworkforum.com,,
低,45 Mbps,95 ms,22 ms,5,280 ms,15%,网络安全与通信,http://www.nwsecuritycomm.com,,
高,1.8 Gbps,11 ms,3 ms,0,90 ms,1%,中国网络信息中心,https://www.cnnic.net.cn,,
高,4 Gbps,5 ms,1 ms,0,40 ms,0%,5G网络技术论坛,http://www.5gforum.com,,
中,350 Mbps,50 ms,20 ms,3,200 ms,9%,国际网络标准组织,http://www.iso.org,,
低,20 Mbps,120 ms,35 ms,8,350 ms,25%,网络发展观察,http://www.networkdevreport.com,,
高,1.2 Gbps,17 ms,7 ms,0,85 ms,2%,下一代网络研究所,http://www.nextgennetwork.org,,
高,2 Gbps,9 ms,4 ms,1,70 ms,2%,全球通讯数据中心,http://www.globaltelecomdata.org,,
中,600 Mbps,25 ms,10 ms,3,130 ms,6%,网络技术与政策,http://www.networktechpolicy.com,,
低,40 Mbps,110 ms,28 ms,6,320 ms,20%,科技创新与投资,http://www.techinnovationinvestment.com,,
高,950 Mbps,14 ms,5 ms,0,70 ms,1.5%,网络科技新闻,https://www.networktechnology.com,,
高,1.5 Gbps,11 ms,3 ms,0,90 ms,1%,TechRadar,https://www.techradar.com,,
中,300 Mbps,35 ms,10 ms,2,150 ms,4%,科技日报,http://www.stdaily.com,,
低,30 Mbps,100 ms,30 ms,8,400 ms,25%,中国通信科技,https://www.chinatelecomtech.com,,
高,2.5 Gbps,8 ms,2 ms,0,60 ms,1%,运筹与管理,http://www.journalofoperations.com,,
中,550 Mbps,20 ms,7 ms,3,130 ms,5%,信息产业部,https://www.miit.gov.cn,,
高,3 Gbps,10 ms,4 ms,1,75 ms,2%,职业网络安全协会,https://www.infosecpro.com,,
低,20 Mbps,120 ms,35 ms,6,500 ms,30%,网络安全更新,https://www.networksecurityupdate.com,,
高,4 Gbps,7 ms,3 ms,0,50 ms,0.5%,国家网络信息中心,http://www.cnnic.cn,,
中,800 Mbps,18 ms,8 ms,2,110 ms,3%,信息发布网络,https://www.infosharingnetwork.com,,
高,1.2 Gbps,19 ms,6 ms,0,85 ms,2%,通信与网络,https://www.commnet.com,,
低,15 Mbps,150 ms,40 ms,10,550 ms,35%,网络观察者,https://www.networkobserver.com,,
高,500 Mbps,13 ms,5 ms,0,65 ms,1%,国际电信联盟,https://www.itu.int,,
高,750 Mbps,16 ms,5 ms,0,80 ms,1%,网络技术振兴局,https://www.ntpc.gov.cn,,
低,40 Mbps,95 ms,20 ms,4,320 ms,15%,信息技术观察,https://www.itwatch.org,,
中,900 Mbps,28 ms,9 ms,2,125 ms,4%,电信行业协会,https://www.ict.org,,
高,1000 Mbps,25 ms,8 ms,0,100 ms,2%,全球信息网络大会,http://www.giwsummit.com,,
中,300 Mbps,40 ms,12 ms,3,200 ms,5%,科技与社会,https://www.techandsociety.com,,
高,1.5 Gbps,16 ms,5 ms,1,120 ms,2%,中国信息通信研究院,https://www.cnii.com.cn,,
中,300 Mbps,30 ms,10 ms,2,160 ms,5%,TechCrunch,https://techcrunch.com,,
低,100 Mbps,80 ms,30 ms,6,320 ms,15%,Fiber Broadband Association,https://www.fba.org,,
高,2 Gbps,12 ms,4 ms,0,90 ms,1%,国际电信联盟,https://www.itu.int,,
低,20 Mbps,100 ms,40 ms,8,400 ms,25%,Verizon Research,https://www.verizon.com,,
高,3 Gbps,9 ms,3 ms,1,70 ms,1%,IBM Research,https://www.ibm.com,,
中,500 Mbps,22 ms,8 ms,2,150 ms,4%,5G World Forum,https://www.5gworldforum.com,,
低,40 Mbps,120 ms,35 ms,10,350 ms,18%,国家广播电视总局,http://www.nrta.gov.cn,,
高,1 Gbps,17 ms,6 ms,0,110 ms,2%,MIT Technology Review,https://www.technologyreview.com,,
中,350 Mbps,28 ms,11 ms,1,180 ms,3%,Gartner,https://www.gartner.com,,
高,900 Mbps,15 ms,5 ms,0,100 ms,2%,Acamp’s Research,https://www.acamp.com,,
低,15 Mbps,85 ms,30 ms,9,290 ms,22%,aSmart City Magazine,https://www.asmartcitymagazine.com,,
中,200 Mbps,40 ms,15 ms,3,220 ms,7%,Cisco Blog,https://blogs.cisco.com,,
高,1.8 Gbps,11 ms,3 ms,0,90 ms,1%,Forrester Research,https://go.forrester.com,,
低,80 Mbps,95 ms,20 ms,7,310 ms,14%,Wired,https://www.wired.com,,
中,450 Mbps,25 ms,7 ms,2,140 ms,3%,TechTarget,https://www.techtarget.com,,
高,2.5 Gbps,13 ms,4 ms,0,85 ms,2%,ResearchGate,https://www.researchgate.net,,
中,750 Mbps,23 ms,9 ms,1,160 ms,3%,ZDNet,https://www.zdnet.com,,
高,1.5 Gbps,25 ms,7 ms,0,90 ms,2%,网络与信息安全杂志,https://www.nisj.com,,
中,300 Mbps,35 ms,15 ms,2,150 ms,5%,中国计算机网络行业协会,http://www.ccnia.org.cn,,
低,50 Mbps,100 ms,30 ms,8,350 ms,25%,信息技术研究所,https://www.itr.org,,
高,5 Gbps,11 ms,4 ms,0,70 ms,1%,IEEE Communications Magazine,https://www.ieeecommunications.org,,
高,2.5 Gbps,30 ms,8 ms,0,95 ms,2%,TechCrunch,https://techcrunch.com,,
中,400 Mbps,60 ms,20 ms,5,200 ms,8%,全球信息技术协会,https://www.gita.org,,
高,3 Gbps,16 ms,5 ms,1,80 ms,2%,NIST - 美国国家标准与技术研究院,https://www.nist.gov,,
低,5 Mbps,150 ms,50 ms,10,500 ms,35%,信息产业部,http://www.miit.gov.cn,,
中,600 Mbps,40 ms,10 ms,4,200 ms,12%,科技日报,http://www.stdaily.com,,
高,4.5 Gbps,14 ms,3 ms,1,70 ms,1%,ResearchGate,https://www.researchgate.net,,
低,20 Mbps,110 ms,35 ms,6,400 ms,30%,中国网信办,http://www.cac.gov.cn,,
高,2 Gbps,15 ms,4 ms,0,85 ms,2%,科技前沿,https://www.techfrontiers.com,,
中,800 Mbps,20 ms,6 ms,3,100 ms,7%,计算机网络与通信期刊,http://www.jcnc.com,,
高,750 Mbps,18 ms,5 ms,0,75 ms,3%,中国工程院,http://www.cae.cn,,
中,200 Mbps,45 ms,15 ms,2,150 ms,10%,北京日报,http://www.bjd.com.cn,,
低,10 Mbps,120 ms,40 ms,9,450 ms,15%,电信研究院,http://www.trc.org.cn,,
高,6 Gbps,13 ms,3 ms,1,60 ms,2%,The Economist,https://www.economist.com,,
中,350 Mbps,50 ms,15 ms,4,220 ms,6%,国际电信联盟,https://www.itu.int,,
低,15 Mbps,130 ms,45 ms,6,300 ms,28%,国家信息中心,http://www.nic.gov.cn,,
高,1.5 Gbps,14 ms,5 ms,2,80 ms,2%,工业互联网联盟,https://www.iiconsortium.org,,
中,300 Mbps,60 ms,15 ms,2,200 ms,5%,网络管理者,https://www.networkadmin.com,,
高,3 Gbps,8 ms,4 ms,1,50 ms,1%,通信与网络研究会议,http://www.cn.edu.cn,,
低,20 Mbps,120 ms,30 ms,10,400 ms,25%,低速互联网用户委员会,https://www.lowinternet.org,,
高,2.5 Gbps,11 ms,3 ms,0,70 ms,2%,科技部信息化办公室,http://www.most.gov.cn,,
中,500 Mbps,30 ms,10 ms,4,150 ms,10%,国际电信联盟,https://www.itu.int,,
低,10 Mbps,150 ms,40 ms,8,500 ms,30%,慢速网络用户协会,https://www.slownetwork.org,,
高,4 Gbps,7 ms,2 ms,1,40 ms,1%,数字经济研究院,https://www.digitaleconomy.org,,
高,450 Mbps,20 ms,5 ms,2,90 ms,2%,中国科技网,http://www.chinatech.org,,
中,1 Gbps,25 ms,7 ms,3,120 ms,8%,网络技术前沿,http://www.networkfrontier.org,,
高,6 Gbps,5 ms,1 ms,0,30 ms,1%,高效网络技术研究,http://www.efficientnetwork.org,,
中,750 Mbps,35 ms,8 ms,4,170 ms,6%,中国互联网报告,https://www.chinainternetreport.org,,
低,15 Mbps,100 ms,35 ms,9,450 ms,20%,网络稳定性研究,http://www.networkstability.org,,
高,3.5 Gbps,13 ms,4 ms,1,60 ms,2%,技术前沿研究所,http://www.frontiertech.org,,
中,550 Mbps,40 ms,9 ms,3,140 ms,10%,智能网络论坛,http://www.smartnetworkforum.org,,
高,2.8 Gbps,9 ms,2 ms,0,50 ms,1%,新兴互联网技术发展中心,http://www.emergingtech.org,,
低,30 Mbps,105 ms,20 ms,6,350 ms,15%,慢速连接观察,http://www.slowconnectivity.org,,
高,5 Gbps,6 ms,1 ms,0,35 ms,0%,未来网络技术展望,http://www.futuretech.org,,
中,900 Mbps,28 ms,10 ms,3,130 ms,7%,数字信号技术研究,http://www.digitaltech.org,,
中,300 Mbps,20 ms,5 ms,2,150 ms,5%,全球网络性能协会,https://www.gnpa.org,,
高,2.5 Gbps,10 ms,1 ms,1,85 ms,1%,科技日报,https://www.stdaily.com,,
高,600 Mbps,15 ms,3 ms,0,70 ms,2%,光纤通信论坛,https://www.occforum.org,,
低,10 Mbps,150 ms,45 ms,10,400 ms,30%,国际电信联盟,https://www.itu.int,,
高,1.5 Gbps,8 ms,2 ms,1,55 ms,1%,IEEE Transactions on Network and Service Management,https://ieeexplore.ieee.org/Xplore/home.jsp,,
中,400 Mbps,30 ms,10 ms,3,200 ms,4%,中国计算机网络专家委员会,https://www.ccn.org.cn,,
低,20 Mbps,120 ms,35 ms,8,350 ms,25%,网络技术发展报告,https://www.ntdr.org,,
高,1.8 Gbps,13 ms,4 ms,0,90 ms,2%,数字通信世界,https://www.digitalworld.com,,
中,500 Mbps,25 ms,8 ms,2,120 ms,3%,中国网络信息中心,https://www.cnnic.cn,,
低,15 Mbps,110 ms,30 ms,9,320 ms,15%,国际互联网运营商报告,https://www.iio-report.org,,
高,3 Gbps,5 ms,1 ms,0,50 ms,1%,Optical Fiber & Wireless Communications Conference,https://www.ofcconference.org,,
中,350 Mbps,28 ms,7 ms,4,175 ms,5%,中国互联网研究中心,https://www.circ.org.cn,,
高,1.2 Gbps,16 ms,3 ms,1,80 ms,2%,Journal of Network and Computer Applications,https://www.jnca.com,,
低,30 Mbps,140 ms,40 ms,6,300 ms,20%,中国信通院,https://www.cai.gov.cn,,
高,900 Mbps,12 ms,3 ms,0,60 ms,1%,International Journal of Network and Communications,https://www.ijnc.com,,
中,250 Mbps,35 ms,15 ms,3,150 ms,6%,中国网络与信息安全委员会,https://www.cniisc.net.cn,,
高,1.5 Gbps,25 ms,5 ms,2,90 ms,1%,CNET,https://www.cnet.com,,
中,500 Mbps,35 ms,10 ms,4,150 ms,8%,TechRadar,https://www.techradar.com,,
低,30 Mbps,120 ms,35 ms,9,400 ms,25%,Network World,https://www.networkworld.com,,
高,3 Gbps,8 ms,1 ms,0,50 ms,0.5%,ITU,https://www.itu.int,,
中,300 Mbps,50 ms,15 ms,3,200 ms,10%,Fiber Optic Association,https://www.foa.org,,
低,20 Mbps,110 ms,30 ms,8,350 ms,20%,Wired,https://www.wired.com,,
高,1.2 Gbps,15 ms,4 ms,1,70 ms,1%,Telecoms.com,https://www.telecoms.com,,
中,450 Mbps,40 ms,10 ms,2,160 ms,5%,Digital Trends,https://www.digitaltrends.com,,
低,35 Mbps,100 ms,20 ms,6,300 ms,15%,ZDNet,https://www.zdnet.com,,
高,2.2 Gbps,11 ms,3 ms,1,85 ms,1%,IHS Markit,https://ihsmarkit.com,,
中,240 Mbps,55 ms,14 ms,5,190 ms,4%,Light Reading,https://www.lightreading.com,,
低,60 Mbps,95 ms,23 ms,7,320 ms,18%,Computerworld,https://www.computerworld.com,,
高,1.8 Gbps,10 ms,2 ms,0,55 ms,0.5%,Fierce Telecom,https://www.fiercetelecom.com,,
中,700 Mbps,20 ms,8 ms,2,120 ms,3%,The Verge,https://www.theverge.com,,
低,15 Mbps,130 ms,40 ms,10,450 ms,30%,The Register,https://www.theregister.com,,
高,3.5 Gbps,7 ms,1 ms,0,45 ms,0.2%,ARXIV,https://arxiv.org,,
中,350 Mbps,34 ms,9 ms,2,160 ms,6%,Gizmodo,https://www.gizmodo.com,,
低,28 Mbps,115 ms,35 ms,9,360 ms,22%,The Next Web,https://thenextweb.com,,
高,1.5 Gbps,14 ms,5 ms,0,100 ms,1%,中国通信企业协会,https://www.catel.org.cn,,
