机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
光纤激光切割机,0.005,±0.01,Ra 1.0,超高,8,国家科技部,https://www.most.gov.cn,,
CO2激光切割机,0.04,±0.06,Ra 3.5,高,4,中国机床工具协会,https://www.cmtba.org.cn,,
激光水刀切割机,0.01,±0.02,Ra 1.3,高,5,中国科学技术协会,https://www.cast.org.cn,,
等离子切割机,0.11,±0.4,Ra 5.2,较低,1,中国设备工程协会,https://www.cme.org.cn,,
光纤激光切割机,0.015,±0.015,Ra 1.2,高,6,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.045,±0.08,Ra 2.8,中,3,中国机械工程学会,https://www.cmes.org.cn,,
等离子切割机,0.12,±0.4,Ra 4.5,较低,2,中国标准化研究院,https://www.sac.net.cn,,
YAG激光切割机,0.022,±0.04,Ra 2.0,高,5,中科院自动化研究所,https://www.ia.cas.cn,,
激光水刀切割机,0.018,±0.02,Ra 0.9,高,7,国际机械工程大会,https://www.imech.org,,
数控火焰切割机,0.09,±0.3,Ra 4.0,中,3,国家机械设备管理局,https://www.nmda.gov.cn,,
超高速光纤激光切割机,0.01,±0.005,Ra 0.5,非常高,10,先进制造技术研究中心,https://www.amtrc.ac.cn,,
半导体激光切割机,0.03,±0.03,Ra 1.8,高,8,中国电子科技集团公司,https://www.cetc.com.cn,,
高压水刀切割机,0.04,±0.02,Ra 1.5,中,4,国内金属加工展览会,https://www.metalworkingexpo.com,,
桌面小型激光切割机,0.05,±0.1,Ra 2.0,低,2,中国制造业协会,https://www.cmh.org.cn,,
光纤激光切割机,0.015,±0.015,Ra 1.3,高,7,设备制造商协会,https://www.equipmentassociation.com,,
CO2激光切割机,0.04,±0.07,Ra 2.9,中,3,国立标准技术院,https://www.nist.gov,,
YAG激光切割机,0.025,±0.04,Ra 2.2,高,5,国际光学学会,https://www.osn.org,,
等离子切割机,0.12,±0.25,Ra 4.8,中,2,工业技术研究院,https://www.industrialresearch.gov,,
激光水刀切割机,0.015,±0.01,Ra 0.8,高,8,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.08,±0.3,Ra 3.0,中,3,全国焊接标准化技术委员会,https://www.cswc.gov.cn,,
激光切割机器人,0.02,±0.02,Ra 1.5,高,6,上海智能制造研究院,https://www.simu.edu.cn,,
超音速切割机,0.05,±0.1,Ra 2.7,较高,4,全球机器自动化协会,https://www.globalautomationsociety.org,,
多功能激光切割机,0.03,±0.02,Ra 1.1,高,7,科技部,https://www.most.gov.cn,,
全自动切割机,0.01,±0.005,Ra 0.5,极高,10,国家科技创新中心,https://www.nstec.cn,,
光纤激光切割机,0.015,±0.015 mm,Ra 1.2,高,6,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.04,±0.08 mm,Ra 3.0,中,4,工程机械行业协会,https://www.ceh.com.cn,,
YAG激光切割机,0.025,±0.04 mm,Ra 2.2,高,5,中国机械设备工程股份有限公司,https://www.cmec.com.cn,,
等离子切割机,0.12,±0.25 mm,Ra 4.8,一般,3,中国标准化研究院,https://www.csio.org.cn,,
激光水刀切割机,0.018,±0.01 mm,Ra 0.9,高,7,深圳市工业和信息化局,https://www.sz.gov.cn/xxgk/wj/gfxwj,,
数字化火焰切割机,0.08,±0.2 mm,Ra 3.0,中,2,中国科技部,https://www.most.gov.cn,,
光纤激光切割机,0.012,±0.01 mm,Ra 1.0,高,8,中关村科技园区管理委员会,http://www.zgc.gov.cn,,
组合激光切割机,0.035,±0.05 mm,Ra 2.8,较高,5,辽宁省机械行业协会,http://www.liaoning.gov.cn,,
氩气切割机,0.09,±0.3 mm,Ra 4.5,中,2,国家工商行政管理总局,http://www.saic.gov.cn,,
水射流切割机,0.022,±0.015 mm,Ra 1.5,高,6,中国工业新闻网,https://www.cinn.cn,,
光纤激光切割机,0.008,±0.015,Ra 1.2,高,6,中国科学院,https://www.cas.cn,,
等离子切割机,0.08,±0.25,Ra 4.8,中,3,中国机械工程学会,https://www.cmes.org,,
YAG激光切割机,0.025,±0.03,Ra 2.2,高,5,国家科学技术部,https://www.most.gov.cn,,
CO2激光切割机,0.06,±0.07,Ra 3.0,低,4,中国光电行业协会,http://www.cspoa.org.cn,,
激光水刀切割机,0.015,±0.02,Ra 0.8,很高,7,中国制造网,https://www.made-in-china.com,,
数控火焰切割机,0.09,±0.4,Ra 3.1,中,3,北京机电工程研究院,http://www.bjmie.org,,
光纤激光切割机,0.005,±0.01,Ra 1.0,高,8,国际电工委员会,https://www.iec.ch,,
YAG激光切割机,0.03,±0.08,Ra 2.7,中,4,中国质量认证中心,https://www.cqc.com.cn,,
等离子切割机,0.12,±0.4,Ra 5.2,较低,2,国家消防局,http://www.cnbc.gov.cn,,
CO2激光切割机,0.07,±0.1,Ra 3.5,高,5,中国焊接学会,http://www.cws.org.cn,,
光纤激光切割机,0.008,±0.01 mm,Ra 1.2,高,7,全球激光行业协会,https://www.laserworld.com,,
等离子切割机,0.12,±0.2 mm,Ra 5.5,中,3,中国机电设备采购协会,http://www.cmecc.org,,
CO2激光切割机,0.06,±0.08 mm,Ra 2.8,中,4,中国激光技术开发中心,http://www.cltc.org.cn,,
YAG激光切割机,0.01,±0.02 mm,Ra 2.0,高,6,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.03,±0.03 mm,Ra 0.8,高,8,国家科技部,https://www.most.gov.cn,,
数控火焰切割机,0.15,±0.4 mm,Ra 4.0,中,2,中国机械工业联合会,https://www.cmia.org.cn,,
光纤激光切割机,0.009,±0.015 mm,Ra 1.4,高,5,行业市场研究机构,https://www.marketresearch.com,,
电火花切割机,0.05,±0.1 mm,Ra 3.0,较低,3,中国国家标准化管理委员会,https://www.sac.gov.cn,,
激光水刀切割机,0.025,±0.02 mm,Ra 1.5,高,7,上海科技大学,https://www.sustc.edu.cn,,
CO2激光切割机,0.07,±0.1 mm,Ra 3.0,中,4,机器视觉产业协会,https://www.visionassociation.com,,
光纤激光切割机,0.008,±0.015,Ra 1.2,高,7,中国激光产业协会,https://www.clia.org.cn,,
CO2激光切割机,0.03,±0.08,Ra 2.8,中,4,中国机械工程学会,https://www.cmes.org.cn,,
等离子切割机,0.15,±0.4,Ra 4.5,较低,3,国家能源局,https://www.nea.gov.cn,,
激光水刀切割机,0.01,±0.02,Ra 0.9,高,8,中国科学院,https://www.cas.cn,,
YAG激光切割机,0.025,±0.04,Ra 2.0,中,5,中国焊接协会,https://www.cwa.org.cn,,
数控火焰切割机,0.08,±0.2,Ra 3.0,中,3,国家质量监督局,https://www.aqsiq.gov.cn,,
光纤激光切割机,0.009,±0.015,Ra 1.5,高,6,中国机械工业联合会,https://www.cmia.org.cn,,
大型等离子切割机,0.12,±0.25,Ra 5.2,中,2,中国航空工业集团,https://www.avic.com,,
CO2激光切割机,0.04,±0.07,Ra 3.0,中,4,中国制造2025,https://www.cm2025.gov.cn,,
激光水刀切割机,0.015,±0.03,Ra 1.1,高,7,中国科技部,https://www.most.gov.cn,,
光纤激光切割机,0.008,±0.015 mm,Ra 1.3,高,6,国际激光制造协会,https://www.ilma.org,,
CO2激光切割机,0.04,±0.08 mm,Ra 2.8,中,3,中国机械设备工程股份有限公司,https://www.cmegc.com,,
水刀切割机,0.02,±0.02 mm,Ra 1.2,高,7,中国水利水电建设集团有限公司,https://www.chinawater.com,,
等离子切割机,0.1,±0.25 mm,Ra 4.5,较低,2,中国机械工业信息研究院,https://www.cmii.org.cn,,
YAG激光切割机,0.015,±0.03 mm,Ra 1.8,高,5,中国科学院,https://www.cas.cn,,
数控火焰切割机,0.12,±0.6 mm,Ra 4.0,中,2,全国机械标准化技术委员会,https://www.nss.org.cn,,
光纤激光切割机,0.009,±0.018 mm,Ra 1.5,高,5,中国焊接协会,https://www.cwa.org.cn,,
CO2激光切割机,0.045,±0.09 mm,Ra 3.0,中,4,中国机械视觉协会,https://www.cmva.org.cn,,
激光水刀切割机,0.03,±0.01 mm,Ra 0.9,高,6,中国激光技术产业发展中心,https://www.cltd.org.cn,,
等离子切割机,0.09,±0.28 mm,Ra 4.8,较低,1,国家铸造与焊接技术研究中心,https://www.ncmic.org.cn,,
光纤激光切割机,0.01,±0.015 mm,Ra 1.4,高,6,中国激光工业协会,https://www.clii.org.cn,,
等离子切割机,0.2,±0.4 mm,Ra 4.0,中,3,机器制造研究院,https://www.machinery.ac.cn,,
光纤激光切割机,0.015,±0.02 mm,Ra 1.2,极高,7,国际激光加工技术协会,https://www.ilpt.org,,
CO2激光切割机,0.06,±0.08 mm,Ra 3.0,中,4,中国机电产品进出口商会,https://www.cccme.org.cn,,
YAG激光切割机,0.025,±0.03 mm,Ra 2.0,中,5,全国标准化技术委员会,https://www.sac.gov.cn,,
激光水刀切割机,0.018,±0.01 mm,Ra 0.8,高,8,工信部电子与信息产业司,https://www.miit.gov.cn,,
数控火焰切割机,0.12,±0.6 mm,Ra 4.5,低,2,中国冶金行业协会,https://www.cmiia.com.cn,,
光纤激光切割机,0.008,±0.02 mm,Ra 1.1,高,9,国家机械设备创新与信息化网,https://www.nmeii.gov.cn,,
CO2激光切割机,0.04,±0.1 mm,Ra 3.8,中,3,科学技术部,https://www.most.gov.cn,,
等离子切割机,0.15,±0.5 mm,Ra 5.5,较低,2,国家能源局,https://www.nea.gov.cn,,
光纤激光切割机,0.01,±0.015 mm,Ra 1.2,高,5,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.04,±0.07 mm,Ra 2.8,中,4,中国机械工业科研院,https://www.cmrii.org,,
YAG激光切割机,0.015,±0.03 mm,Ra 2.0,高,5,中华全国工商业联合会,https://www.acfic.org.cn,,
等离子切割机,0.08,±0.25 mm,Ra 4.5,低,2,电气行业协会,https://www.electricalassociation.org,,
激光水刀切割机,0.03,±0.02 mm,Ra 1.5,高,6,中国水刀设备制造有限公司,https://www.cnwaterjet.com,,
数控火焰切割机,0.12,±0.4 mm,Ra 3.0,中,3,中国数控协会,https://www.cnc.org.cn,,
光纤激光切割机,0.005,±0.01 mm,Ra 0.8,高,7,国际激光技术委员会,https://www.ilta.org.cn,,
CO2激光切割机,0.06,±0.09 mm,Ra 4.0,中,3,中国机械制造业协会,https://www.cma.org.cn,,
等离子切割机,0.2,±0.4 mm,Ra 6.5,低,2,中国焊接学会,https://www.cws.org.cn,,
激光水刀切割机,0.01,±0.015 mm,Ra 1.3,高,8,中国刀具工业协会,https://www.ctiis.org.cn,,
光纤激光切割机,0.015,±0.01,Ra 1.2,高,7,中国激光技术应用协会,https://www.clta.org.cn,,
CO2激光切割机,0.06,±0.15,Ra 4.0,中,3,中国工业装备网,https://www.ciecn.com,,
YAG激光切割机,0.025,±0.04,Ra 2.0,高,5,机械科学研究总院,https://www.camsc.china,,
等离子切割机,0.08,±0.25,Ra 4.5,较低,2,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.03,±0.02,Ra 0.8,高,8,中国科学院,https://www.cas.cn,,
数控火焰切割机,0.12,±0.4,Ra 3.0,中,2.5,山东省机械工程学会,http://www.sdjxg.org.cn,,
光纤激光切割机,0.01,±0.02,Ra 1.5,高,6,中国机床工具行业协会,https://www.cmtool.org.cn,,
CO2激光切割机,0.07,±0.1,Ra 3.8,中,4,中国机械工业科学研究院,https://www.cmic.org,,
激光水刀切割机,0.02,±0.03,Ra 1.1,高,5,国际金属加工杂志,https://www.metalworking.com,,
等离子切割机,0.1,±0.3,Ra 5.5,低,2,浙江省工业技术研究院,http://www.zjitri.com,,
光纤激光切割机,0.015,±0.015,Ra 1.2,高,7,行业技术协会,https://www.technet.com,,
CO2激光切割机,0.04,±0.08,Ra 2.8,中,3.5,中国 laser 材料与技术中心,https://www.chinalaser.org,,
YAG激光切割机,0.018,±0.04,Ra 2.0,较高,6,材料科学与工程学会,https://www.mse.org.cn,,
等离子切割机,0.12,±0.25,Ra 5.5,低,1.5,中国机械工业导刊,https://www.cime.com.cn,,
激光水刀切割机,0.022,±0.03,Ra 0.8,高,5,国家科技部,https://www.most.gov.cn,,
数控火焰切割机,0.08,±0.4,Ra 3.0,中,2.8,质量技术监督局,https://www.aqsiq.gov.cn,,
激光切割机,0.03,±0.02,Ra 1.4,高,8,中国自动化学会,https://www.caa.org.cn,,
多功能激光切割机,0.02,±0.03,Ra 1.8,高,6,机械行业信息中心,https://www.mechindustry.com,,
超声波切割机,0.1,±0.5,Ra 4.0,中,2,中国焊接协会,https://www.cwa.org.cn,,
电火花切割机,0.05,±0.1,Ra 3.0,中,4,国际电气电子工程师学会,https://www.ieee.org,,
光纤激光切割机,0.015,±0.015 mm,Ra 1.2,高,5.5,中国电子技术标准化研究院,https://www.cetcc.org.cn,,
CO2激光切割机,0.06,±0.08 mm,Ra 3.0,中,3.5,国际机械工程学会,https://www.asme.org,,
水刀切割机,0.025,±0.03 mm,Ra 0.8,高,6.0,中国机械工业协会,https://www.cmia.org.cn,,
等离子切割机,0.12,±0.4 mm,Ra 4.5,中,2.5,全国金属切割技术研究中心,https://www.cmsrc.org,,
YAG激光切割机,0.018,±0.04 mm,Ra 2.0,高,5.0,全国质量监督管理局,https://www.aqsiq.gov.cn,,
数控火焰切割机,0.08,±0.2 mm,Ra 3.0,较低,1.8,全国焊接材料与技术标准化委员会,https://www.weldingstandards.org.cn,,
光纤激光切割机,0.01,±0.01 mm,Ra 1.5,高,7.0,中国先进制造技术研究院,https://www.camti.org,,
激光水刀切割机,0.03,±0.025 mm,Ra 1.5,高,6.5,国家科技部,https://www.most.gov.cn,,
CO2激光切割机,0.04,±0.06 mm,Ra 2.8,中,4.0,中国人工智能学会,https://www.iaas.org.cn,,
等离子切割机,0.1,±0.25 mm,Ra 5.2,较低,2.2,中国焊接协会,https://www.welding.org.cn,,
光纤激光切割机,0.008,±0.015 mm,Ra 1.4,高,6,中国先进制造业协会,https://www.caimma.org,,
CO2激光切割机,0.03,±0.05 mm,Ra 2.8,中,4,国家制造业创新中心,https://www.nmic.org.cn,,
YAG激光切割机,0.025,±0.03 mm,Ra 2.0,高,5,中国材料研究学会,https://www.csts.org.cn,,
等离子切割机,0.12,±0.4 mm,Ra 5.5,较低,3,中国机械工程学会,https://www.cmeng.org.cn,,
激光水刀切割机,0.015,±0.02 mm,Ra 0.8,高,7,国家工业和信息化部,https://www.miit.gov.cn,,
数控火焰切割机,0.15,±0.6 mm,Ra 4.0,中,2.5,中国机电产品进出口商会,https://www.cccme.org.cn,,
纤维激光切割机,0.009,±0.018 mm,Ra 1.1,高,8,中国制造2025,https://www.china-mfg2025.com,,
紫外激光切割机,0.02,±0.02 mm,Ra 1.5,高,7,中国高科技产业协会,https://www.chinatech.org.cn,,
数控激光切割机,0.03,±0.04 mm,Ra 2.2,中,4,中国工艺美术协会,https://www.cgma.org.cn,,
等离子切割机,0.1,±0.3 mm,Ra 4.5,较低,2,中国科学技术协会,https://www.cast.org.cn,,
光纤激光切割机,0.015,±0.015 mm,Ra 1.2,高,6,中国机床工具工业协会,https://www.cmtia.org.cn,,
CO2激光切割机,0.04,±0.1 mm,Ra 2.8,中,4,中国仪器仪表行业协会,https://www.ciiia.org.cn,,
等离子切割机,0.12,±0.25 mm,Ra 4.5,较低,3,国家能源局,https://www.nea.gov.cn,,
YAG激光切割机,0.03,±0.05 mm,Ra 2.0,高,5,中国金属学会,https://www.csm.org.cn,,
激光水刀切割机,0.01,±0.02 mm,Ra 0.8,高,7,研究与发展部,https://www.most.gov.cn,,
数控火焰切割机,0.08,±0.3 mm,Ra 3.0,中,2,行业研究中心,https://www.industryresearch.gov.cn,,
光纤激光切割机,0.009,±0.01 mm,Ra 1.1,高,8,全球激光技术大会,https://www.global-laser-tech.com,,
切割中心,0.05,±0.05 mm,Ra 2.2,中,4,国际机械制造商协会,https://www.imma.org,,
CO2激光切割机,0.06,±0.08 mm,Ra 2.9,中,3,国家工商管理总局,https://www.saic.gov.cn,,
等离子切割机,0.09,±0.2 mm,Ra 5.2,较低,2,环保部,https://www.mee.gov.cn,,
光纤激光切割机,0.015,±0.015,Ra 1.2,高,5,国际激光加工协会,https://www.ilmpa.org,,
CO2激光切割机,0.04,±0.08,Ra 2.8,中,3,中国机器工具行业协会,https://www.cmta.org.cn,,
水射流切割机,0.02,±0.04,Ra 0.9,高,6,中国科学技术协会,https://www.cast.org.cn,,
等离子切割机,0.12,±0.25,Ra 4.5,中,2,国家标准化管理委员会,https://www.sac.gov.cn,,
激光水刀切割机,0.01,±0.02,Ra 0.5,高,7,华南理工大学,https://www.scut.edu.cn,,
数控火焰切割机,0.08,±0.2,Ra 3.0,中,3,中国机械工业联合会,https://www.cmia.org.cn,,
光纤激光切割机,0.012,±0.018,Ra 1.5,高,5.5,中国质量认证中心,https://www.cqc.com.cn,,
YAG激光切割机,0.025,±0.06,Ra 2.2,中,4.5,工业和信息化部,https://www.miit.gov.cn,,
手持激光切割机,0.03,±0.05,Ra 2.0,较高,6,中国电子科技集团公司,https://www.cetc.com.cn,,
超高压水刀切割机,0.007,±0.01,Ra 0.3,极高,8,国家发展改革委员会,https://www.ndrc.gov.cn,,
光纤激光切割机,0.01,±0.015 mm,Ra 1.2,高,7,中国机械工程学会,https://www.cmes.org,,
CO2激光切割机,0.04,±0.08 mm,Ra 2.8,中,3,行业协会,http://www.industrialassociations.org,,
等离子切割机,0.12,±0.25 mm,Ra 4.0,较低,2,国家发展和改革委员会,https://www.ndrc.gov.cn,,
YAG激光切割机,0.03,±0.04 mm,Ra 2.0,中,4,中国电子技术标准化研究院,https://www.ecc.org.cn,,
激光水刀切割机,0.015,±0.01 mm,Ra 0.8,高,8,中国服务贸易协会,https://www.cfta.org.cn,,
数控火焰切割机,0.08,±0.2 mm,Ra 3.0,中,3,中国机床工具工业协会,http://www.cmtia.org.cn,,
光纤激光切割机,0.01,±0.01 mm,Ra 0.5,高,6,Productivity Press,https://www.productivitypress.com,,
CO2激光切割机,0.05,±0.1 mm,Ra 3.2,较高,4,中国机械工业出版社,http://www.cmpub.com.cn,,
等离子切割机,0.1,±0.3 mm,Ra 5.5,低,2,中国质量协会,http://www.cqn.org.cn,,
激光水刀切割机,0.02,±0.005 mm,Ra 0.9,高,7,中国科学技术协会,http://www.cast.org.cn,,
光纤激光切割机,0.015,±0.01,Ra 1.2,高,7,国际激光技术协会,https://www.ilta.org,,
光纤激光切割机,0.012,±0.02,Ra 1.5,高,6,金属加工技术杂志,https://www.metalworking.com,,
CO2激光切割机,0.07,±0.08,Ra 2.8,中,4,中国激光产业协会,https://www.clia.org.cn,,
YAG激光切割机,0.025,±0.04,Ra 2.0,高,5,中国电气工程学会,https://www.csee.org.cn,,
等离子切割机,0.12,±0.25,Ra 4.8,较低,3,机械制造与自动化期刊,https://www.jcma.org.cn,,
激光水刀切割机,0.018,±0.015,Ra 0.9,高,8,中国水处理协会,https://www.cwpa.org.cn,,
数控火焰切割机,0.09,±0.35,Ra 3.0,中,2,中国国家标准化组织,https://www.iso.org,,
激光切割机,0.04,±0.03,Ra 1.8,高,6,中国机械工程学会,https://www.cmes.org.cn,,
步进电机切割机,0.02,±0.02,Ra 2.2,中,5,中国自动化学会,https://www.caa.org.cn,,
激光斜切机,0.03,±0.01,Ra 1.4,高,7,中国材料学会,https://www.csm.org.cn,,
光纤激光切割机,0.008,±0.015,Ra 1.2,高,7,国家机器人产业发展规划,https://www.nri.gov.cn,,
水刀切割机,0.015,±0.03,Ra 2.0,中,4,国际水射流协会,https://www.awwa.org,,
等离子切割机,0.1,±0.2,Ra 4.5,较高,3,中国焊接学会,https://www.cws.org.cn,,
激光切割机,0.025,±0.02,Ra 1.8,高,6,中国机械工程学会,https://www.cmes.org.cn,,
CO2激光切割机,0.04,±0.06,Ra 3.0,中,2,国际激光学会,https://www.lasersociety.org,,
数控等离子切割机,0.08,±0.15,Ra 4.0,较低,3,国家市场监督管理总局,https://www.samr.gov.cn,,
激光水刀切割机,0.012,±0.01,Ra 0.8,高,8,中国自动化学会,https://www.caac.org.cn,,
光纤激光切割机,0.009,±0.018,Ra 1.4,极高,6,全国职业技能鉴定指导中心,https://www.osta.gov.cn,,
YAG激光切割机,0.022,±0.04,Ra 2.2,中,5,工信部智能工业发展中心,https://www.miit.gov.cn,,
数控火焰切割机,0.1,±0.3,Ra 5.5,较低,2,中国电气工程学会,https://www.csee.org.cn,,
光纤激光切割机,0.01,±0.03 mm,Ra 1.8,高,5,华南科技大学,https://www.scut.edu.cn,,
CO2激光切割机,0.04,±0.07 mm,Ra 3.0,中,4,中国工程院,https://www.cae.cn,,
YAG激光切割机,0.02,±0.04 mm,Ra 2.0,中,3,国务院发展研究中心,http://www.drc.gov.cn,,
等离子切割机,0.15,±0.25 mm,Ra 5.5,较低,2,中国机械科学研究院,http://www.csmri.cn,,
激光水刀切割机,0.015,±0.01 mm,Ra 0.8,高,7,国家科技部,http://www.most.gov.cn,,
数控火焰切割机,0.2,±0.6 mm,Ra 4.0,中,2,中国航空工业集团公司,http://www.avic.com,,
光纤激光切割机,0.008,±0.015 mm,Ra 1.2,高,6,中国科学院,http://www.cas.cn,,
CO2激光切割机,0.06,±0.1 mm,Ra 3.6,中,3,国家知识产权局,http://www.sipo.gov.cn,,
YAG激光切割机,0.025,±0.05 mm,Ra 2.3,中,4,国家行业协会,http://www.chinaindustry.org.cn,,
等离子切割机,0.12,±0.4 mm,Ra 4.8,较低,2,中国机械加工技术网,http://www.cmctech.net,,
光纤激光切割机,0.015,±0.01,Ra 1.2,高,6,中国机械设备工程股份有限公司,https://www.cmec.com.cn,,
CO2激光切割机,0.06,±0.1,Ra 2.8,中,4,河北省机械行业协会,http://www.hbme.org.cn,,
等离子切割机,0.09,±0.25,Ra 4.5,中,3,中国电器工业协会,http://www.ceia.com.cn,,
FEM激光切割机,0.02,±0.015,Ra 1.0,较高,7,国家工业和信息化部,http://www.miit.gov.cn,,
水刀切割机,0.03,±0.02,Ra 1.5,高,5,中国水利水电建设集团公司,http://www.cscec.com,,
YAG激光切割机,0.025,±0.04,Ra 2.0,中,4,国际机械制造联合会,http://www.imf.org,,
数控火焰切割机,0.12,±0.6,Ra 4.0,中,2,中国机械工业协会,http://www.cmia.org.cn,,
激光水刀切割机,0.018,±0.02,Ra 0.8,高,8,中国科研设备采购网,http://www.cqep.com,,
激光切割机,0.04,±0.08,Ra 3.0,中,3,深圳市机械工程学会,http://www.shiems.com,,
微米级激光切割机,0.005,±0.005,Ra 0.5,极高,10,中央研究院,http://www.academy.gov.cn,,
光纤激光切割机,0.01,±0.015 mm,Ra 1.2,高,5.5,机械行业协会,https://www.mechindustry.org,,
激光水刀切割机,0.03,±0.02 mm,Ra 0.8,高,6,中国制造业发展报告,https://www.cmfgov.cn,,
CO2激光切割机,0.07,±0.1 mm,Ra 3.0,中,4,国家标准局,https://www.sac.gov.cn,,
数控火焰切割机,0.15,±0.4 mm,Ra 4.0,低,1.5,行业咨询公司,https://www.industryconsultant.cn,,
等离子切割机,0.08,±0.25 mm,Ra 5.5,中,3,中国社会科学院,https://www.cssn.cn,,
YAG激光切割机,0.025,±0.03 mm,Ra 2.2,高,5,中国机床工具协会,https://www.cmt.org.cn,,
光纤激光切割机,0.012,±0.018 mm,Ra 1.4,高,6.5,工业互联网研究中心,https://www.cciiiot.com,,
高功率激光切割机,0.02,±0.04 mm,Ra 1.0,最高,7,科技前沿杂志,https://www.techfrontier.cn,,
等离子切割机,0.09,±0.3 mm,Ra 5.2,中,2.5,自动化设备年会,https://www.automatevent.com,,
数控激光切割机,0.011,±0.02 mm,Ra 1.3,高,5.8,国家科技部,https://www.most.gov.cn,,
光纤激光切割机,0.008,±0.015,Ra 1.2,高,6,国际激光及光电技术学会,https://www.ilptech.org,,
CO2激光切割机,0.04,±0.08,Ra 2.8,中,3,中国激光制造行业协会,https://www.clia.org.cn,,
