机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,采集来源,来源链接,采集时间,备注【疑问汇总】
超精密电加工机,0.002,±0.006 μm,Ra < 0.007 μm,高,9,中国电机工程学会,http://www.ceesi.org,,
超精密激光切割机,0.003,±0.002 μm,Ra < 0.004 μm,极高,10,国家大宗商品交易中心,http://www.ncinfo.com.cn,,
超精密组合机床,0.009,±0.011 μm,Ra < 0.023 μm,中,4,中国机床报社,http://www.cncnews.com.cn,,
超精密磨床,0.008,±0.013 μm,Ra < 0.019 μm,中,4.8,机械工业信息研究院,http://www.mii.org.cn,,
超精密铣床,0.007,±0.005 μm,Ra < 0.015 μm,高,6,中国制造业发展促进会,https://www.cmda.org.cn,,
超精密磨床,0.008,±0.012 μm,Ra < 0.018 μm,中,4,机械工业信息研究院,https://www.mii.gov.cn,,
激光切割机,0.005,±0.02 μm,Ra < 0.002 μm,高,7,中国光电行业协会,https://www.cpiia.org.cn,,
超精密车床,0.006,±0.009 μm,Ra < 0.028 μm,高,5,中国机械研究院,https://www.cimi.cn,,
水刀切割机,0.015,±0.04 μm,Ra < 0.005 μm,中,3,全国水刀设备行业协会,https://www.waterjet.org.cn,,
超精密光纤切割机,0.004,±0.01 μm,Ra < 0.01 μm,高,6,中国自动化与制造工程协会,https://www.camea.org.cn,,
超精密激光焊接机,0.002,±0.005 μm,Ra < 0.001 μm,高,8,国家焊接与切割标准化技术委员会,https://www.cswcc.org.cn,,
超精密电机加工中心,0.009,±0.007 μm,Ra < 0.012 μm,中,4,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密铣床,0.003,±0.008 μm,Ra < 0.020 μm,高,5,国家科技部,https://www.most.gov.cn,,
超精密数控机床,0.001,±0.003 μm,Ra < 0.001 μm,高,7,中国数控技术协会,https://www.cnctc.org.cn,,
超精密铣床,0.005,±0.005 μm,Ra < 0.02 μm,中,4,中国科学技术协会,https://www.cast.org.cn,,
超精密电火花加工机,0.002,±0.012 μm,Ra < 0.01 μm,高,5,中国电工技术学会,https://www.ces.org.cn,,
超精密磨床,0.01,±0.008 μm,Ra < 0.015 μm,高,6,工业和信息化部,https://www.miit.gov.cn,,
激光切割机,0.008,±0.02 μm,Ra < 0.007 μm,中,5,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密车床,0.003,±0.005 μm,Ra < 0.025 μm,高,6,中国机械工程学会,https://www.cmes.org,,
水刀切割机,0.015,±0.025 μm,Ra < 0.02 μm,低,3,全国机械产业信息网,http://www.mii-china.com,,
超精密铣床,0.007,±0.01 μm,Ra < 0.01 μm,高,5,中国电子技术协会,https://www.cet.org.cn,,
超精密磨床,0.006,±0.02 μm,Ra < 0.018 μm,中,4,中国制造业协会,https://www.cmmm.org.cn,,
激光切割机,0.007,±0.018 μm,Ra < 0.002 μm,高,7,国家质检总局,https://www.aqsiq.gov.cn,,
超精密电火花加工机,0.004,±0.009 μm,Ra < 0.01 μm,高,5,中国工业协会,https://www.cia.org.cn,,
超精密磨床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国工程院,https://www.cae.cn,,
超精密铣床,0.007,±0.02 μm,Ra < 0.02 μm,中,4,国际精密制造协会,https://www.ipma.org,,
超精密电加工机,0.01,±0.01 μm,Ra < 0.03 μm,高,5,国家科技部,https://www.most.gov.cn,,
纳米级加工机,0.005,±0.003 μm,Ra < 0.004 μm,高,7,中国科学院,https://www.cas.cn,,
超高精度车床,0.004,±0.015 μm,Ra < 0.02 μm,最高,8,全国机械设备标准化技术委员会,https://www.cmsc.org.cn,,
精密洗床,0.015,±0.02 μm,Ra < 0.03 μm,中,3,中国五矿集团,http://www.chinamining.org,,
超精密激光加工机,0.009,±0.012 μm,Ra < 0.01 μm,高,6,科技日报,http://www.stdaily.com,,
超精密雕刻机,0.006,±0.008 μm,Ra < 0.015 μm,高,5,中国机械工业集团,http://www.china-machinery.com,,
超高效多功能机床,0.01,±0.01 μm,Ra < 0.005 μm,高,5,电子工业出版社,http://www.eepw.com.cn,,
超精密铣削机,0.01,±0.01 μm,Ra < 0.001 μm,极高,7,中国机械设备工程股份公司,http://www.cmecc.com,,
超精密激光雕刻机,0.005,±0.008 μm,Ra < 0.015 μm,高,7,中国科学技术协会,https://www.cast.org.cn,,
超精密铣床,0.008,±0.012 μm,Ra < 0.02 μm,中,5,中国工业经济联合会,https://www.cie.org.cn,,
五轴超精密加工中心,0.003,±0.005 μm,Ra < 0.01 μm,高,6,中国机械科学研究院,https://www.camsr.org.cn,,
超精密电火花机,0.01,±0.015 μm,Ra < 0.018 μm,中,4,国家机器人产业技术创新战略联盟,https://www.robotics.org.cn,,
超精密超声波切割机,0.009,±0.02 μm,Ra < 0.012 μm,中,5,工业和信息化部,https://www.miit.gov.cn,,
超精密磨削机,0.006,±0.005 μm,Ra < 0.007 μm,高,6,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密销式磨床,0.012,±0.03 μm,Ra < 0.02 μm,中,3,中国机床工具工业协会,https://www.cmtia.org.cn,,
光纤激光切割机,0.005,±0.01 μm,Ra < 0.005 μm,高,7,国内自动化联技协,https://www.caas.org.cn,,
三维激光打印机,0.002,±0.02 μm,Ra < 0.004 μm,高,8,国家科技部,https://www.most.gov.cn,,
超精密碳纤维挤出机,0.007,±0.01 μm,Ra < 0.006 μm,中,4,中国新材料产业技术创新战略联盟,https://www.mfida.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,6,国际精密工程协会,https://www.ipea.org,,
超精密磨床,0.009,±0.01 μm,Ra < 0.018 μm,中,4,中国工程院,https://www.cae.cn,,
激光切割机,0.007,±0.012 μm,Ra < 0.008 μm,高,7,中国机械工程学会,https://www.cmes.org,,
水刀切割机,0.02,±0.025 μm,Ra < 0.015 μm,低,3,国家质量监督检验检疫局,https://www.aqsiq.gov.cn,,
超精密车床,0.004,±0.008 μm,Ra < 0.030 μm,高,5,中国机电产品进出口商会,https://www.cccme.org.cn,,
超精密刀具制造机,0.006,±0.005 μm,Ra < 0.010 μm,高,6,中国科技部,https://www.most.gov.cn,,
超精密印刷机,0.005,±0.009 μm,Ra < 0.022 μm,高,5,中国出版协会,https://www.cpa.org.cn,,
超精密激光焊接机,0.003,±0.006 μm,Ra < 0.007 μm,高,8,北京航空航天大学,https://www.buaa.edu.cn,,
组合式加工中心,0.012,±0.015 μm,Ra < 0.014 μm,中,4,中国航空工业集团公司,https://www.avic.com,,
高精度线切割机,0.008,±0.007 μm,Ra < 0.020 μm,高,5,中国材料研究学会,https://www.csm.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,7,中国科学院,https://www.cas.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,4.5,中国国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
超精密车床,0.004,±0.007 μm,Ra < 0.02 μm,高,6,中国机械工业联合会,https://www.cmia.org.cn,,
农业专用超精密机床,0.015,±0.02 μm,Ra < 0.03 μm,中,5,农业农村部,https://www.moa.gov.cn,,
超精密激光切割机,0.007,±0.005 μm,Ra < 0.004 μm,高,8,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密水刀切割机,0.02,±0.035 μm,Ra < 0.01 μm,中,4,工业和信息化部,https://www.miit.gov.cn,,
超精密电子疲劳试验机,0.01,±0.008 μm,Ra < 0.02 μm,高,5.5,国家市场监督管理总局,https://www.samr.gov.cn,,
超精密冲压机,0.003,±0.004 μm,Ra < 0.006 μm,高,7.5,国家能源局,https://www.nea.gov.cn,,
超精密微加工机,0.002,±0.001 μm,Ra < 0.003 μm,高,9,中国电子技术标准化研究院,http://www.cesi.ac.cn,,
超精密激光焊接机,0.01,±0.006 μm,Ra < 0.007 μm,中,6,中国激光协会,http://www.clspa.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国电子技术标准化研究院,https://www.cesi.cn,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,4,国际机床协会,https://www.cimt.org,,
超精密车床,0.004,±0.007 μm,Ra < 0.02 μm,高,5,上海市质量技术监督局,https://www.sqs.gov.cn,,
铣削加工中心,0.015,±0.03 μm,Ra < 0.04 μm,低,3,中华人民共和国工业和信息化部,https://www.miit.gov.cn,,
激光切割机,0.02,±0.010 μm,Ra < 0.004 μm,高,7,德国工程师协会,https://www.vdi.de,,
水刀切割机,0.03,±0.025 μm,Ra < 0.005 μm,中,2,日本工具工业会,https://www.toolcouncil.or.jp,,
超高精密镗床,0.006,±0.008 μm,Ra < 0.012 μm,高,5,中央政府科技发展办公室,https://www.gov.cn,,
超精密切削机,0.007,±0.009 μm,Ra < 0.01 μm,高,4,中国数字化制造技术研究院,https://www.cmmt.org.cn,,
超精密激光设备,0.01,±0.02 μm,Ra < 0.003 μm,中,6,国际激光技术协会,https://www.laserworld.com,,
超精密电机,0.005,±0.004 μm,Ra < 0.008 μm,高,7,国家机械创新中心,https://www.innovation.org.cn,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,中国机械研究院,https://www.cami.org.cn,,
超精密旋压机,0.015,±0.02 μm,Ra < 0.04 μm,中,4,中国科学院,https://www.cas.cn,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.008 μm,高,7,工业和信息化部,https://www.miit.gov.cn,,
超精密电加工机,0.004,±0.012 μm,Ra < 0.02 μm,高,5,中国电子科技集团,https://www.cetc.com.cn,,
超精密磨床,0.006,±0.015 μm,Ra < 0.018 μm,中,3,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密铣刀,0.007,±0.007 μm,Ra < 0.012 μm,高,6,中国金属加工协会,https://www.cmma.org.cn,,
超精密数控车床,0.002,±0.005 μm,Ra < 0.02 μm,中,5,机械工业出版社,https://www.mepub.com,,
超精密喷射加工机,0.01,±0.020 μm,Ra < 0.02 μm,高,7,中国科学院机械研究所,https://www.imech.cas.cn,,
微纳米精密铣床,0.003,±0.003 μm,Ra < 0.005 μm,高,8,国家发改委,https://www.ndrc.gov.cn,,
超精密多功能加工中心,0.012,±0.01 μm,Ra < 0.01 μm,高,6,质量监督检验局,https://www.aqsiq.gov.cn,,
超精密磨床,0.008,±0.008 μm,Ra < 0.015 μm,高,5,中国电器工业协会,https://www.ceia.org.cn,,
超精密铣床,0.012,±0.009 μm,Ra < 0.020 μm,中,4,中国产品质量监督管理局,https://www.cqsi.gov.cn,,
激光切割机,0.007,±0.016 μm,Ra < 0.004 μm,高,7,中国科学院,https://www.cas.cn,,
水刀切割机,0.03,±0.025 μm,Ra < 0.012 μm,中,3,国家知识产权局,https://www.cnipa.gov.cn,,
超精密车床,0.006,±0.007 μm,Ra < 0.027 μm,高,6,中国机械工程学会,https://www.cmes.org.cn,,
超精密铣床,0.009,±0.011 μm,Ra < 0.022 μm,中,4,中国计算机协会,https://www.cac.gov.cn,,
激光切割机,0.01,±0.014 μm,Ra < 0.006 μm,高,8,国家能源局,https://www.nea.gov.cn,,
超精密磨床,0.005,±0.005 μm,Ra < 0.018 μm,高,5,中国科学技术协会,https://www.cast.org.cn,,
