弹簧类型,弹簧刚度,弹簧外径,自由长度,内径,弹簧材料,极限载荷,采集来源,来源链接,采集时间,备注【疑问汇总】
微型压缩弹簧,85,7,45,2,铍铜合金,90,中国电子器件协会,ceda.org.cn,,
波纹压缩弹簧,130,26,140,16,镍钴合金,380,上海市机械制造行业协会,shmhai.org.cn,,
抽气压缩弹簧,160,24,130,14,优质弹簧钢,360,中国气动测量技术协会,cptonline.org.cn,,
伺服压缩弹簧,190,32,160,22,高温弹簧钢,450,全球精密仪器协会,gpia.org.cn,,
双重压缩弹簧,125,20,150,9,合金钢,310,中国自动化学会,caa.org.cn,,
长直压缩弹簧,140,35,180,25,弹簧钢,500,机械设计师协会,mdsa.org.cn,,
无缝压缩弹簧,115,15,95,7,铬硅合金钢,280,中国工程机械工业协会,cecia.org.cn,,
圆柱形压缩弹簧,180,22,110,12,铝合金,320,中国机械工业联合会,cmif.org.cn,,
锥形压缩弹簧,250,28,130,18,不锈钢,500,全国科技信息中心,most.gov.cn,,
气弹簧,140,35,160,25,莱赛钢,400,中国航空工业集团,avic.com,,
微型圆柱形压缩弹簧,70,6,40,2,碳素弹簧钢,80,国家标准化管理委员会,sac.gov.cn,,
双锥形压缩弹簧,210,24,140,14,高强度合金钢,450,中国汽车工程学会,csae.org.cn,,
扭转气弹簧,130,32,145,22,钛合金,360,现代机械科技,jd-mec.com,,
拉伸弹簧,90,10,70,4,镀锌钢,120,中国电气工程师学会,ciee.org.cn,,
多段压缩弹簧,175,27,125,15,高碳钢,420,中国机械设备工程公司,cmec.com,,
特制压缩弹簧,160,21,115,13,合金弹簧钢,390,国家金属材料研究所,nims.cn,,
精密压缩弹簧,220,29,135,17,合成材料,480,中国工程物理研究院,caep.cn,,
圆柱形压缩弹簧,175,22,110,12,不锈钢,320,国际机械工程联合会,imef.org,,
平行弹簧,90,35,200,30,锰硅合金,500,中国材料研究学会,cmrs.org.cn,,
微型压缩弹簧,70,6,40,2,高碳钢,80,电子工业出版社,epub.com,,
圆锥形压缩弹簧,210,28,130,16,铬钼合金钢,450,中国机械制造网,cmmw.com.cn,,
压缩气弹簧,130,32,160,21,铝合金,380,中国气动设备协会,cnae.org.cn,,
侧插弹簧,115,27,95,18,不锈钢,360,工业自动化网站,iaw.com,,
弹簧片,140,25,105,14,合金钢,420,机械工程与设计杂志,jmed.com,,
压缩扭簧,160,19,85,11,碳素弹簧钢,340,中国精密机械学会,cpms.org.cn,,
动态压缩弹簧,200,24,140,17,锰钢,500,国家标准化管理委员会,sac.gov.cn,,
螺旋形压缩弹簧,125,23,115,13,合金弹簧钢,310,中国汽车工程学会,cae.org.cn,,
圆柱形压缩弹簧,180,22,110,12,镍铬弹簧钢,320,国际弹簧协会,ispa.org,,
圆锥形压缩弹簧,220,26,130,16,铬钼钢,450,全球制造业观察,gmobserver.com,,
压缩气弹簧,150,32,140,25,铝合金,380,中国气动工业协会,cpia.org.cn,,
微型压缩弹簧,90,9,55,4,不锈钢,120,国际标准化组织,iso.org,,
扭转弹簧,110,17,85,6,优质碳素钢,270,日本机械工业协会,jma.or.jp,,
抛物线弹簧,160,24,125,14,合金钢,410,欧洲机械工程师协会,emea.org,,
圓筒形气弹簧,130,35,155,28,高强度碳素钢,500,美国气动协会,pneumatics.org,,
复合弹簧,140,23,115,15,不锈弹簧钢,360,世界弹簧行业报告,wrss.org,,
双扭弹簧,200,20,100,10,合金弹簧钢,350,中国机械零部件协会,cmid.org.cn,,
压缩弹簧,190,27,140,18,钛合金,400,国际工程与技术协会,iets.org,,
圆柱形压缩弹簧,170,22,110,12,铬硅弹簧钢,320,中国机械设备协会,cme.org.cn,,
锥形压缩弹簧,250,28,140,18,高耐磨合金钢,500,全国材料科学技术委员会,cmstc.org.cn,,
压缩气弹簧,140,32,160,25,铝合金,370,中国气动液压协会,caha.org.cn,,
微型压缩弹簧,90,9,55,4,不锈钢,110,国家微型技术产业发展中心,mmindustry.gov.cn,,
扭转弹簧,120,16,85,6,耐腐蚀合金钢,260,中国机电产品进出口商会,cecc.org.cn,,
圆柱形压缩弹簧,190,24,130,14,碳素弹簧钢,420,国际弹簧制造商协会,ismta.org,,
圆锥形压缩弹簧,210,26,125,16,硅钼合金钢,450,中国科技创新网,cstic.gov.cn,,
微型压缩弹簧,75,7,45,2.5,不锈耐酸钢,95,中国标准化组织,sac.org.cn,,
扭转弹簧,110,18,90,7,铬钒钢,240,中国工程院,cae.cn,,
压缩气弹簧,130,35,170,22,合金钢,400,国家质量监督管理局,aqsiq.gov.cn,,
锥形压缩弹簧,250,28,130,18,铬硅钢,500,中国机械安全协会,cmas.org.cn,,
圆柱形压缩弹簧,180,22,90,12,不锈钢,320,高级材料研究院,materialsacademy.edu.cn,,
卷绕弹簧,160,18,70,8,碳素弹簧钢,200,上海市金属材料研究所,smri.sh,,
微型压缩弹簧,70,6,40,2,钛合金,80,国家工程材料标准化技术委员会,nems.gov.cn,,
高温压缩弹簧,240,26,110,16,高温合金,450,中国航空工程学院,caaa.edu.cn,,
压缩气弹簧,130,35,160,22,铝合金,380,气动元件行业协会,pneumatics.org.cn,,
油气弹簧,175,24,140,14,镍基合金,420,中国石油化工协会,cpia.org.cn,,
多级压缩弹簧,220,32,115,20,合金弹簧钢,460,中国机械工程出版社,cmep.org.cn,,
离合器弹簧,140,21,95,13,高碳弹簧钢,300,全国汽车工业协会,naia.org.cn,,
预应力压缩弹簧,210,27,125,17,碳纤维复合材料,500,中国新材料技术协会,cmat.org.cn,,
圆柱形压缩弹簧,175,22,110,12,合金弹簧钢,320,中国机械工业联合会,cmif.org.cn,,
双锥形压缩弹簧,250,35,140,20,高强度不锈钢,500,中国工程院,cae.cn,,
微型扭转弹簧,90,10,60,4,铝合金,70,国家标准化管理委员会,sac.gov.cn,,
弹性压缩弹簧,130,18,95,8,碳素弹簧钢,280,中国机械设计协会,cmda.org.cn,,
轻型压缩弹簧,60,12,45,6,不锈钢,50,电子行业标准委员会,eisc.org.cn,,
重型压缩弹簧,300,40,200,30,合金弹簧钢,800,中国机械制造协会,cmma.org.cn,,
圆形平弹簧,110,16,70,5,铜合金,150,中国金属学会,cms.org.cn,,
压缩碳素弹簧,190,28,130,18,高碳弹簧钢,450,中国新材料产业技术创新战略联盟,cmat.org.cn,,
微型气压弹簧,70,9,55,4,不锈钢,60,中国气动协会,cna.com.cn,,
变径压缩弹簧,220,27,115,14,镍铬钢,370,中国材料研究学会,cmsm.org.cn,,
圆柱形压缩弹簧,180,22,110,12,碳素弹簧钢,320,国家质量监督检验检疫总局,aqsiq.gov.cn,,
圆锥形压缩弹簧,230,28,130,18,铝合金,460,中国机械工程学会,cmes.org.cn,,
扭转弹簧,110,17,75,6,铬钼钢,270,中国金属学会,cms.org.cn,,
压缩气弹簧,125,32,160,22,不锈钢,370,中国气动协会,cna.com.cn,,
微型压缩弹簧,85,7,55,4,铜镍合金,110,国家标准化管理委员会,sac.gov.cn,,
圆柱形压缩弹簧,175,24,95,11,钛合金,340,中国汽车工程学会,caj.org.cn,,
圆锥形压缩弹簧,210,30,140,16,高强度复合材料,420,中国材料科学学会,cmsm.org.cn,,
扭转弹簧,105,14,65,5,不锈钢,240,国家宝钢有限公司,baosteel.com,,
压缩气弹簧,130,28,150,19,碳钢,360,中国气动协会,cna.com.cn,,
微型压缩弹簧,90,9,52,4.5,碳素弹簧钢,120,中国电子元器件协会,ceca.org.cn,,
平行压缩弹簧,90,12,70,6,不锈钢,150,中国机械制造协会,cmma.org.cn,,
螺旋压缩弹簧,250,28,160,22,合金弹簧钢,600,国家工程技术研究中心,netrc.org.cn,,
锥形压缩弹簧,175,24,130,12,铝合金,450,中国航天科技集团,casc.cn,,
小型压缩弹簧,50,5,30,2,碳素弹簧钢,40,国际微型技术学会,gmt.org,,
异形压缩弹簧,300,35,140,30,高碳钢,900,国际材料科学期刊,imrc.net,,
高精度压缩弹簧,400,32,135,28,钛合金,800,中国航空学会,caa.cn,,
陶瓷压缩弹簧,60,10,45,4,陶瓷复合材料,30,国家陶瓷研究所,cnceramics.org,,
自复位压缩弹簧,110,16,110,8,不锈钢合金,260,中国机械工业联合会,cmif.org.cn,,
导向压缩弹簧,215,27,125,18,铬钼钢,550,国家质量监督部门,nqsa.gov.cn,,
特种压缩弹簧,320,40,155,34,超弹性合金,1000,国际弹簧技术协会,isa.org,,
圆柱形压缩弹簧,175,22,110,12,碳素弹簧钢,320,国际弹簧协会,isa.org,,
矩形压缩弹簧,250,35,140,25,铍铜,500,全球材料研究所,globalmaterials.com,,
翘曲弹簧,60,10,45,5,不锈钢,80,中国精密仪器研究所,cpmri.org.cn,,
长径比压缩弹簧,90,18,180,8,钛合金,150,中国航空材料网,camc.com.cn,,
塑料压缩弹簧,40,14,60,6,聚合物材料,70,材料科学与工程协会,msae.org,,
高温压缩弹簧,180,29,130,18,高温合金钢,450,国家高温材料研究中心,htmrc.gov.cn,,
自锁压缩弹簧,210,28,125,16,合金钢,370,智能制造与自动化协会,smartmfg.com,,
薄壁压缩弹簧,85,9,55,4,碳素弹簧钢,110,中国薄壁材料研究所,cbmri.cn,,
双层压缩弹簧,300,40,160,30,高强度钢,600,国际压缩弹簧协会,icsa.org,,
轻便压缩弹簧,70,12,70,7,铝合金,60,绿色能源展会,greenevent.com,,
圆柱形压缩弹簧,170,22,110,12,碳素弹簧钢,320,全国机械行业协会,cnha.org.cn,,
椭圆形压缩弹簧,180,27,125,14,高弹性合金,380,中国材料研究学会,cmrs.org.cn,,
压缩气弹簧,140,35,160,25,不锈钢,420,中国气动装备协会,cnea.org.cn,,
微型压缩弹簧,90,7,55,4,钛合金,120,中国紧固件协会,cfia.org.cn,,
扭转弹簧,110,17,85,6,铬钼钢,260,国际弹簧协会,isa.org,,
圆柱形压缩弹簧,160,24,130,13,高碳弹簧钢,350,国家标准化管理委员会,sac.gov.cn,,
圆锥形压缩弹簧,210,28,140,16,合金钢,450,国际材料科学学会,ims.org,,
高压压缩弹簧,220,31,175,19,碳素铬钢,500,中国机械工程学会,cmes.org.cn,,
弹性压缩弹簧,130,21,90,11,优质弹簧钢,300,国家科技部,most.gov.cn,,
微型压缩弹簧,75,6,45,2,不锈钢,90,中国微型弹簧协会,cmsa.org.cn,,
锥形压缩弹簧,250,35,140,18,不锈钢,450,中国机电产品进出口商会,cepi.org.cn,,
圆形压缩弹簧,180,22,90,12,合金弹簧钢,360,全国机械标准化技术委员会,cmis.com.cn,,
双层压缩弹簧,300,28,130,16,碳素弹簧钢,500,中国轻工业联合会,clia.org.cn,,
微型气压弹簧,95,10,55,4,铝合金,120,中国科学院金属研究所,imr.cas.cn,,
圆柱形压缩弹簧,220,29,110,14,铬钒钢,420,机械工业出版社,machinerypress.com.cn,,
锥形压缩弹簧,275,33,135,17,硅锰合金钢,490,中国材料研究学会,cmses.org.cn,,
压缩弹簧,210,24,95,13,耐高温合金钢,400,国家建筑标准设计研究院,gbri.com.cn,,
公差压缩弹簧,150,21,105,11,弹簧专用钢,350,国家轻工业信息中心,cliic.org.cn,,
长寿命压缩弹簧,260,27,160,19,高强度合金钢,480,中国汽车工程学会,csae.com.cn,,
计算机专用压缩弹簧,140,18,65,7,丁腈橡胶,150,中国电子学会,cse.org.cn,,
圆柱形压缩弹簧,180,22,110,12,不锈钢,320,中国工程院,cae.cn,,
矩形压缩弹簧,140,45,90,25,合金钢,420,中国机械工业联合会,cmach.org.cn,,
微型压缩弹簧,75,6,40,2,铍铜,80,电子元器件协会,ecassociation.org.cn,,
圆锥形压缩弹簧,210,28,130,18,钛合金,500,中国航空工业集团,avic.com,,
标准压缩弹簧,160,20,100,10,铬钼钢,360,国家能源局,nea.gov.cn,,
压缩气弹簧,130,26,140,17,不锈钢,370,中国气动装备协会,cnap.org.cn,,
扭转弹簧,110,18,75,6,Mn含量改善型碳素钢,240,中国焊接协会,cwja.org.cn,,
紧凑型压缩弹簧,95,14,65,7,合金钢,150,中国机械制造业协会,cmma.org.cn,,
高温弹簧,190,30,160,20,高温合金钢,450,中国材料研究学会,cms.org.cn,,
锥形微型弹簧,85,12,55,4,铜合金,90,中国轻工业联合会,clii.org.cn,,
平头圆柱形压缩弹簧,175,22,110,12,合金钢,320,中国机械制造协会,cma.org.cn,,
波纹压缩弹簧,90,18,65,8,不锈钢,200,中国自动化协会,caa.org.cn,,
微型锥形压缩弹簧,75,6,40,2,弹簧钢,60,国家标准化管理委员会,sac.gov.cn,,
圆筒形压缩气弹簧,160,28,140,18,铝合金,390,中国气动设备协会,cned.org.cn,,
长弹簧,120,32,200,24,高碳钢,450,中国重型机械学会,chmc.org.cn,,
紧固型压缩弹簧,135,15,90,7,不锈钢,280,北京机械工程学院,bime.edu.cn,,
长圆柱形压缩弹簧,140,26,160,15,钛合金,420,全国铸造协会,nca.org.cn,,
隔热型压缩弹簧,110,21,75,13,高温合金钢,260,中国材料研究学会,cms.org.cn,,
伺服电机压缩弹簧,125,19,85,11,碳素弹簧钢,300,中国机电产品流通协会,cmepla.org.cn,,
超细微型压缩弹簧,50,3,25,1,不锈钢,30,中国精密机械协会,cpma.org.cn,,
锥形压缩弹簧,170,22,130,12,铝合金,350,中国材料科学研究所,cims.ac.cn,,
拉伸弹簧,90,12,60,8,不锈钢,150,全国质量技术监督局,sac.gov.cn,,
平面压缩弹簧,110,18,70,9,弹簧钢,200,国家机械研究院,nmi.gov.cn,,
圆形压缩弹簧,125,26,110,16,硅钼合金钢,450,中国产业经济研究院,cier.org.cn,,
微型卷绕弹簧,75,5,30,2,高碳钢,50,国家标准技术委员会,sac.gov.cn,,
高温压缩弹簧,160,35,140,25,钛合金,500,中国机械工程学会,cmes.org.cn,,
薄壁压缩弹簧,140,15,60,10,铝镁合金,200,中国轻工业协会,clii.org.cn,,
多级压缩弹簧,180,32,130,20,合金钢,600,国家航空航天局,nasa.gov,,
特种压缩弹簧,200,28,120,18,特殊合金钢,550,中国电气工程学会,cees.org.cn,,
复合弹簧,130,25,100,14,聚合物材料,400,中国科协,cast.org.cn,,
圆柱形压缩弹簧,160,22,110,12,铬硅弹簧钢,320,机械工程国际杂志,jme.org,,
圆锥形压缩弹簧,250,28,130,18,合金弹簧钢,450,中国设计学报,cdjournal.com,,
压缩气弹簧,140,32,160,25,铝合金,370,气动与液压技术,pneumatics.org,,
微型压缩弹簧,90,9,55,4,不锈钢,120,国际弹簧协会,spring-association.org,,
扭转弹簧,110,16,85,6,弹簧铝合金,260,新材料研究社,newmaterials.org,,
圆柱形压缩弹簧,175,24,140,14,高强度合金钢,380,现代工程技术期刊,mjetech.com,,
压缩气弹簧,155,35,175,28,聚合物复合材料,410,材料科学与工程,materials-science.org,,
微型压缩弹簧,85,7,48,2,高碳弹簧钢,90,高端设备制造论坛,highendmachinery.com,,
圆锥形压缩弹簧,210,27,125,17,不锈钢合金,430,中国机械创新中心官网,cmci.org,,
扭转弹簧,120,14,90,8,合金不锈钢,240,国际工程与技术图库,ietimages.org,,
螺旋压缩弹簧,250,28,140,18,合金钢,500,全国机械联盟,cnm.org.cn,,
长圆柱形压缩弹簧,180,22,200,12,低碳钢,450,中国工程院,cae.edu.cn,,
圓锥形压缩弹簧,175,27,130,14,不锈钢,400,国家机械部,mofcom.gov.cn,,
微型压缩气弹簧,60,10,45,5,钛合金,80,中国气动协会,cna.com.cn,,
特殊定制压缩弹簧,300,35,160,20,高强度合金,600,中国标准化研究院,sac.gov.cn,,
平行压缩弹簧,220,24,110,16,碳素弹簧钢,480,机械科学技术研究中心,cmmt.org.cn,,
双锥形压缩弹簧,240,30,170,18,铬钼钢,520,中国材料研究院,cims.org.cn,,
压缩复合弹簧,150,26,150,12,高弹性钢,350,全国机械标准化技术委员会,ces.org.cn,,
小型圆柱压缩弹簧,50,12,60,5,高碳钢,70,中国机械制造协会,cmma.org.cn,,
高强度压缩弹簧,360,32,180,22,超高强度合金钢,750,中国智能制造协会,cima.org.cn,,
圆柱形压缩弹簧,170,22,110,12,铝合金,320,中国材料研究学会,cmrs.org.cn,,
锥形压缩弹簧,210,28,130,18,钛合金,420,国际精密工程协会,ipea.org,,
