量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
绝缘电阻测试仪,电池/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合户外使用,手动切换,≤250 A/m,≤20 V/m,<4秒,400 Hz,±(1.0% + 1),0.1 MΩ 至 15 GΩ,中国电子学会,cecc.org.cn,,
数字万用表,交流/直流电源,-20°C至55°C,0%至85%,有,有,IP67,高准确度，多功能,自动切换,≤150 A/m,≤25 V/m,<1.5秒,1 kHz,±(0.5% + 1),0.01 Ω 至 30 MΩ,中国科学院,cas.cn,,
电桥,外部供电,-15°C至75°C,5%-95%,有,有,IP50,高稳定性，适合实验室使用,手动切换,≤280 A/m,≤60 V/m,<2秒,500 Hz,±(0.3% + 1),0.001 Ω 至 5 GΩ,国家测量中心,nmi.org.cn,,
绝缘电阻测试仪,充电电池,-10°C至50°C,5%至90%,有,无,IP54,数字化，自动记录,自动切换,≤120 A/m,≤15 V/m,<3秒,60 Hz,±(2.0% + 3),0.001 MΩ 至 8 GΩ,电工仪器仪表行业协会,eia.org.cn,,
数字万用表,USB供电,-5°C至45°C,0%至75%,有,无,IP67,适用于工业现场,自动切换,≤250 A/m,≤20 V/m,<1秒,2 kHz,±(1.2% + 2),0.01 Ω 至 10 MΩ,中国国际电子展,cied.org.cn,,
电桥,电池供电,-20°C至60°C,10%-90%,有,有,IP68,小型，高便携性,手动切换,≤150 A/m,≤40 V/m,<4秒,400 Hz,±(1.5% + 1),0.01 Ω 至 20 GΩ,国家电气院,nea.cn,,
绝缘电阻测试仪,外部供电,-15°C至55°C,5%至95%,有,无,IP53,右手操作，有握把,手动切换,≤300 A/m,≤50 V/m,<3秒,100 Hz,±(2.5% + 3),0.02 MΩ 至 5 GΩ,中国工程院,cae.cn,,
数字万用表,太阳能供电,-10°C至55°C,0%至80%,有,有,IP67,环保设计，适合户外,自动切换,≤180 A/m,≤25 V/m,<2秒,1 kHz,±(0.8% + 2),0.01 Ω 至 15 MΩ,绿色科学技术研究所,gsti.org.cn,,
电桥,外部但可充电,-20°C至70°C,0%-90%,有,无,IP56,工业级，高精度,手动切换,≤500 A/m,≤70 V/m,<3秒,200 Hz,±(1.0% + 2),0.01 Ω 至 10 GΩ,中国计量研究院,nimi.cn,,
红外绝缘电阻测试仪,交流供电,-20°C至60°C,0%至90%,有,有,IP65,便携式，适合现场使用,自动切换,≤250 A/m,≤20 V/m,<4秒,10 Hz - 1 kHz,±(2.5% + 3),0.01 MΩ 至 15 GΩ,中国电力设备管理中心,sgcc.com.cn,,
智能数字万用表,USB充电,-10°C至50°C,20%至80%,有,无,IP67,多功能，蓝牙连接,自动切换,≤150 A/m,≤25 V/m,<1秒,1 kHz,±(1% + 1),0.001 Ω 至 30 MΩ,电气与电子工程师协会,ieee.org,,
高压绝缘电阻测试仪,电池供电,-10°C至70°C,5%至95%,有,有,IP54,工业级，耐用,手动切换,≤400 A/m,≤50 V/m,<3秒,60 Hz,±(2% + 5),0.02 MΩ 至 20 GΩ,中国电力朋友网,electricfriends.com,,
工业电阻测量仪,外部供电,-20°C至55°C,0%至85%,有,无,IP40,固定安装，适用于生产线,自动切换,≤350 A/m,≤40 V/m,<2秒,50 Hz,±(1% + 3),0.1 Ω 至 10 GΩ,中国机电产品进出口商会,ccap.org.cn,,
便携式数字电阻仪,太阳能＋电池,-15°C至55°C,0%至90%,有,有,IP68,轻巧便携，具有防水功能,自动切换,≤100 A/m,≤5 V/m,<6秒,1 kHz,±(2% + 2),0.001 MΩ 至 50 MΩ,绿色能源研究所,renewableenergy.org,,
自动化电阻测量系统,交流/直流电源,-20°C至60°C,10%至95%,有,无,IP30,适用于实验室，支持数据记录,自动切换,≤300 A/m,≤60 V/m,<3秒,100 Hz - 1 kHz,±(0.5% + 1),0.01 Ω 至 5 GΩ,国际电工委员会,iec.ch,,
手持式高精度电阻测量仪,可充电电池,-10°C至40°C,0%至85%,有,无,IP44,小巧设计，适合户外使用,手动切换,≤80 A/m,≤10 V/m,<2秒,50 Hz,±(2.5% + 1),0.1 Ω 至 25 MΩ,中国科技大学研究所,ustc.edu.cn,,
高灵敏度电阻传感器,直流电源,0°C至50°C,0%至90%,有,无,IP67,微型设计，适于高精度测量,自动切换,≤150 A/m,≤20 V/m,<2秒,1 kHz - 10 kHz,±(1% + 1),0.01 Ω 至 1 GΩ,国家仪器仪表标准化技术委员会,standardization.org.cn,,
智能网络电阻测试仪,插电式,-10°C至60°C,0%至90%,有,有,IP55,支持Wi-Fi连接，适用于远程监控,自动切换,≤300 A/m,≤30 V/m,<5秒,100 Hz - 1 kHz,±(1% + 2),0.01 MΩ 至 50 GΩ,中国信息服务网,cisp.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适用于户外工作,手动切换,≤500 A/m,≤15 V/m,<4秒,60 Hz - 300 Hz,±(1.8% + 3),0.1 MΩ 至 15 GΩ,中国电力行业协会,ceia.org.cn,,
数字万用表,可充电电池,-5°C至55°C,0%至85%,有,有,IP67,多用途，工业级,自动切换,≤150 A/m,≤20 V/m,<1秒,1 kHz,±(1.2% + 1),0.001 Ω 至 30 MΩ,仪器仪表技术交流网,instrumenttech.org,,
电桥,USB供电,-10°C至50°C,0%至95%,有,无,IP55,高精度，适用于实验室,手动切换,≤250 A/m,≤25 V/m,<2秒,200 Hz,±(0.5% + 0.5),0.001 Ω 至 2 GΩ,国家计量测试中心,nmts.gov.cn,,
绝缘电阻测试仪,电池/外部电源,-20°C至65°C,0%至100%,有,有,IP68,高强度，防水设计,自动切换,≤600 A/m,≤12 V/m,<3秒,100 Hz,±(2.0% + 5),0.01 MΩ 至 20 GΩ,中国科技部,most.gov.cn,,
数字万用表,太阳能供电,0°C至40°C,10%至70%,有,无,IP54,轻便，适合户外活动,自动切换,≤100 A/m,≤10 V/m,<1秒,500 Hz,±(0.8% + 1),0.001 Ω 至 10 MΩ,气象局技术研究中心,cma.gov.cn,,
电桥,电池供电,-15°C至60°C,5%至90%,有,有,IP65,坚固耐用，适合工业环境,手动切换,≤400 A/m,≤30 V/m,<4秒,50 Hz,±(1.5% + 2),0.01 Ω 至 5 GΩ,国家电网公司,sgcc.com.cn,,
绝缘电阻测试仪,外部电源,-20°C至70°C,0%至90%,有,无,IP56,实验室专用，精度高,自动切换,≤350 A/m,≤20 V/m,<6秒,400 Hz,±(0.7% + 1),0.1 MΩ 至 50 GΩ,中国科学院,cas.cn,,
数字万用表,铅酸电池,-10°C至55°C,0%至85%,无,无,IP44,低成本，适合学校使用,手动切换,≤250 A/m,≤15 V/m,<3秒,1 kHz,±(2.5% + 3),0.01 Ω 至 5 MΩ,教育部科技发展中心,moe.gov.cn,,
电桥,电池/外部电源,-5°C至45°C,10%至75%,有,无,IP50,体积小，便于携带,自动切换,≤200 A/m,≤25 V/m,<2秒,300 Hz,±(1.0% + 2),0.001 Ω 至 1 GΩ,电力设备管理局,peim.gov.cn,,
绝缘电阻测试仪,电池供电,-30°C至60°C,5%至90%,有,无,IP65,紧凑型，适合狭小空间,自动切换,≤500 A/m,≤20 V/m,<4秒,60 Hz - 1 kHz,±(1.5% + 5),0.001 MΩ 至 15 GΩ,国际电气委员会,iec.ch,,
数字万用表,交流/直流电源,-10°C至45°C,0%至70%,有,无,IP54,手持式，抗摔设计,手动切换,≤150 A/m,≤25 V/m,<3秒,500 Hz,±(2.0% + 2),0.01 Ω 至 30 MΩ,中国电子技术标准化研究院,cesi.cn,,
电桥,电池供电,-20°C至50°C,20%-80%,有,有,IP67,便携式，适合现场测试,自动切换,≤250 A/m,≤30 V/m,<1秒,200 Hz,±(0.5% + 1),0.1 Ω 至 5 GΩ,IEEE电气电子工程师协会,ieee.org,,
绝缘电阻测试仪,外部供电,0°C至55°C,0%至95%,有,无,IP40,机架式，适合实验室使用,手动切换,≤200 A/m,≤15 V/m,<6秒,50 Hz - 200 Hz,±(3.0% + 4),0.1 MΩ 至 20 GΩ,中国国家标准化管理委员会,sac.gov.cn,,
数字万用表,太阳能/电池,-10°C至60°C,10%至85%,有,有,IP66,防水防尘设计,自动切换,≤350 A/m,≤10 V/m,<2秒,1 kHz,±(1.0% + 3),0.002 Ω 至 50 MΩ,中国科学技术协会,cast.org.cn,,
电桥,内置电池,-25°C至70°C,15%-90%,有,无,IP55,桌面型，适合精密测量,手动切换,≤500 A/m,≤20 V/m,<2秒,50 Hz - 1 kHz,±(0.5% + 1),0.01 Ω 至 10 GΩ,中国计量院,nim.com.cn,,
绝缘电阻测试仪,电池供电,-40°C至60°C,0%至100%,有,有,IP68,防水，可在极端环境下使用,自动切换,≤600 A/m,≤25 V/m,<5秒,50 Hz - 500 Hz,±(2.0% + 3),0.5 MΩ 至 30 GΩ,国际电工委员会,iec.ch,,
数字万用表,太阳能/交流电,-20°C至55°C,0%至75%,有,无,IP64,多功能，适合家庭和工业使用,自动切换,≤300 A/m,≤50 V/m,<3秒,2 kHz,±(1.5% + 2),0.01 Ω 至 25 MΩ,中国工业和信息化部,miit.gov.cn,,
电桥,外部供电,-10°C至60°C,5%-95%,有,无,IP50,高精度测试仪器，适合实验室,手动切换,≤400 A/m,≤40 V/m,<4秒,100 Hz,±(1.0% + 2),0.1 Ω 至 3 GΩ,中国科学院,cas.cn,,
绝缘电阻测试仪,直流电源,-15°C至60°C,5%至90%,有,有,IP65,便携式，适合户外使用,自动切换,250,25,<4秒,60 Hz - 500 Hz,+(2% + 2),0.1 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,内置锂电池,-5°C至45°C,0%至85%,有,无,IP54,紧凑型，适合实验室使用,自动切换,150,20,<1秒,1.5 kHz,+(1.0% + 1),0.01 Ω 至 30 MΩ,中国仪器制造商协会,cma.org.cn,,
电桥,交流电源,-10°C至80°C,0%至95%,有,有,IP40,实验室级，功能强大,手动切换,350,15,<2秒,120 Hz,+(0.5% + 0.5),0.001 Ω 至 2 GΩ,中国科学技术协会,cast.org.cn,,
绝缘电阻测试仪,直流电池,-30°C至50°C,0%至70%,无,有,IP68,超耐用，适合户外恶劣环境,自动切换,300,10,<8秒,40 Hz - 600 Hz,+(2.5% + 5),0.01 MΩ 至 5 GΩ,中国科技部,most.gov.cn,,
数字万用表,交流/直流电源,-20°C至60°C,0%至95%,有,无,IP67,防水防尘，适合各种工地条件,自动切换,100,5,<2.5秒,500 Hz,+(1.2% + 3),0.001 Ω 至 25 MΩ,全球电气设备标准化组织,iec.ch,,
电桥,内置电源,-25°C至75°C,5%至90%,无,无,IP30,手动操作，适合教育和科研使用,手动切换,200,25,<4秒,250 Hz,+(1.5% + 2),0.01 Ω 至 500 MΩ,中国教育部,moe.gov.cn,,
绝缘电阻测试仪,双电源,-15°C至45°C,0%至75%,有,有,IP66,坚固耐用，适用于工业环境,自动切换,150,20,<6秒,50 Hz - 400 Hz,+(3% + 3),0.1 MΩ 至 10 GΩ,国防科学技术局,most.gov.cn,,
数字万用表,塑料电池,-10°C至55°C,0%至90%,有,无,IP54,易于操控，专为学生设计,手动切换,300,35,<3秒,2 kHz,+(2% + 1),0.01 Ω 至 20 MΩ,中国低压电器研究所,cnsme.org.cn,,
电桥,交流电,-20°C至60°C,0%至100%,有,无,IP34,多功能，配备多种附件,自动切换,100,40,<5秒,500 Hz,+(0.8% + 1),0.01 Ω 至 1 GΩ,中国电子技术标准化研究院,cetd.org.cn,,
绝缘电阻测试仪,开关电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合户外使用,自动切换,250,20,<4秒,60,±(2% + 4),0.1 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
手持多功能测试仪,充电式锂电池,-15°C至55°C,0%至95%,有,有,IP68,多功能，高精度,手动切换,300,10,<3秒,2000,±(1.0% + 1),0.01 Ω 至 30 MΩ,中国质量认证中心,cqc.com.cn,,
数字电桥,外部供电,-20°C至80°C,5%-85%,有,无,IP54,高稳定性，适合实验室使用,自动切换,200,50,<2秒,1000,±(0.5% + 0.5),0.001 Ω 至 5 GΩ,国际电器测量协会,iem.org,,
高精度绝缘电阻测试仪,电池和交流电供电,-10°C至50°C,0%至90%,有,无,IP65,便携，适合多个测试环境,自动切换,150,15,<7秒,50,±(2% + 1),0.1 MΩ 至 20 GΩ,福建省计量科学研究院,fjqm.org.cn,,
便携式数字万用表,干电池供电,-10°C至40°C,0%至70%,有,无,IP67,轻量化设计，便于操作,手动切换,180,20,<1秒,1000,±(2% + 3),0.001 Ω 至 15 MΩ,国家质量监督检验检疫总局,aqsiq.gov.cn,,
云联接电阻测试仪,内置可充电电池,-20°C至60°C,10%至95%,有,有,IP54,云数据交互功能,自动切换,250,30,<2秒,500,±(1.0% + 2),0.01 Ω 至 10 GΩ,中国自动化仪器仪表协会,caia.org.cn,,
高压绝缘电阻测量仪,交流电源,-5°C至45°C,0%至90%,有,有,IP65,抗冲击，适合恶劣环境,自动切换,220,5,<8秒,50,±(2% + 5),1 MΩ 至 50 GΩ,中国电力科学研究院,cepri.com.cn,,
多功能绝缘电阻仪,电池和交流电供电,-15°C至55°C,0%至80%,有,无,IP67,多种电气测试功能,自动切换,300,25,<6秒,120,±(0.5% + 1),0.1 Ω 至 12 GΩ,上海电气工程设计院,see.edu.cn,,
无线电阻监测仪,可充电锂电池,-10°C至55°C,0%至100%,有,有,IP65,实时监测，适合工业用途,手动切换,160,20,<3秒,300,±(1.0% + 3),0.01 Ω 至 25 GΩ,中国电子企业联合会,cecia.org.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,有,IP65,便于携带，适用于现场测试,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 450 Hz,±(2% + 5),0.001 MΩ 至 5 GΩ,电子产品行业协会,eca.org.cn,,
数字万用表,交流/直流电源,-20°C至50°C,0%至85%,有,无,IP54,紧凑型，多功能,自动切换,≤100 A/m,≤25 V/m,<2.5秒,1 kHz,±(1.0% + 1),0.01 Ω 至 10 MΩ,全国仪器仪表检测中心,nmic.cn,,
电桥,电池供电,-30°C至80°C,10%-95%,无,无,IP40,高精度，适合实验室使用,手动切换,≤350 A/m,≤60 V/m,<2秒,200 Hz,±(0.5% + 0.5),0.1 Ω 至 2 GΩ,中国计量科学研究院,nims.cn,,
高阻抗电阻测量仪,交流电源,0°C至70°C,0%至100%,有,有,IP68,便于操作，适用于高精度测量,自动切换,≤400 A/m,≤20 V/m,<1秒,50 Hz - 1 kHz,±(3.0% + 10),0.001 MΩ 至 100 GΩ,国际电子技术委员会,iec.ch,,
数字绝缘电阻表,电池供电,-10°C至60°C,5%至90%,有,无,IP67,轻巧，适合现场使用,手动切换,≤150 A/m,≤40 V/m,<3秒,1 kHz,±(1.5% + 3),0.01 MΩ 至 20 GΩ,中国电工技术协会,cet.org.cn,,
超精密电阻计,外部供电,-20°C至75°C,5%-95%,有,无,IP30,实验室专用，灵敏度高,手动切换,≤200 A/m,≤50 V/m,<2秒,100 Hz,±(0.2% + 0.1),0.001 Ω 至 1 GΩ,国家实验室标准化管理委员会,slab.gov.cn,,
工业电阻测量仪,交流/直流电源,-30°C至65°C,0%至95%,有,有,IP66,坚固耐用，适合工业环境,自动切换,≤450 A/m,≤25 V/m,<10秒,200 Hz,±(1% + 4),0.01 Ω 至 50 GΩ,中国工业仪器仪表公司,cicm.org.cn,,
微型电阻测量仪,电池供电,-10°C至65°C,0%至80%,有,无,IP54,方便携带，适合日常使用,手动切换,≤150 A/m,≤15 V/m,<2.5秒,1 kHz,±(2% + 2),0.1 Ω 至 5 MΩ,中国国家计量局,cnca.gov.cn,,
便携式电阻测量仪,内置锂电池,-15°C至50°C,0%至95%,有,无,IP67,轻便，适合野外测试,自动切换,≤300 A/m,≤20 V/m,<3秒,50 Hz,±(1.5% + 3),0.001 MΩ 至 10 GΩ,中国电气工程学会,csee.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合野外测试,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(2.5% + 4),0.001 MΩ 至 15 GΩ,北京电气产品检测中心,bepc.org.cn,,
数字万用表,直流电池,-20°C至55°C,0%至85%,有,有,IP67,轻量，多功能设计,手动切换,≤100 A/m,≤20 V/m,<1秒,1 kHz,±(2% + 3),0.01 Ω 至 30 MΩ,华东电力大学,sepu.edu.cn,,
电桥,外部AC/DC适配器,-15°C至65°C,0%-100%,有,无,IP44,紧凑型设计，适合实验室使用,自动切换,≤400 A/m,≤40 V/m,<2秒,50 Hz,±(1.5% + 1),0.1 Ω 至 200 MΩ,中国科学院物理研究所,iphy.ac.cn,,
高精度绝缘电阻测试仪,交流/直流电源,-20°C至50°C,0%至80%,有,无,IP54,多功能，工业级,自动切换,≤350 A/m,≤10 V/m,<6秒,50 Hz - 600 Hz,±(0.5% + 3),0.01 MΩ 至 30 GΩ,国家标准器具中心,cnas.org.cn,,
腕式数字万用表,电池供电,-5°C至45°C,0%至60%,有,有,IP68,便捷，适合现场测试,自动切换,≤150 A/m,≤25 V/m,<3秒,500 Hz,±(1% + 5),0.001 Ω 至 10 MΩ,中国仪器仪表协会,cimta.org.cn,,
高压绝缘电阻测试仪,外部交流电源,-25°C至55°C,10%至95%,有,无,IP40,工业级别，稳定性高,手动切换,≤300 A/m,≤50 V/m,<5秒,50 Hz,±(1% + 2),1 MΩ 至 1000 GΩ,中国电力设备管理公司,cegm.cn,,
低电阻测量仪,电池供电,-10°C至40°C,20%至90%,有,有,IP67,便携，适合野外测试,自动切换,≤100 A/m,≤15 V/m,<2秒,1 kHz,±(1% + 2),0.001 Ω 至 2 Ω,国际电工委员会,iec.ch,,
手持式绝缘电阻计,可充电电池,-15°C至50°C,0%至90%,有,无,IP64,手持式，设计紧凑,手动切换,≤300 A/m,≤20 V/m,<3秒,100 Hz,±(2% + 1),0.1 MΩ 至 5 GΩ,中国电信设备鉴定中心,cetec.cn,,
数字绝缘电阻测量仪,直流电源,-20°C至60°C,0%至95%,有,有,IP55,工业级，易于操作,自动切换,≤400 A/m,≤10 V/m,<4秒,200 Hz,±(1.5% + 3),0.01 MΩ 至 20 GΩ,中国质量认证中心,cqc.com.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,是,IP65,紧凑型，工业适用,自动切换,≤150 A/m,≤15 V/m,<4秒,60 Hz - 1 kHz,±(2% + 1),0.01 MΩ 至 5 GΩ,电气设备研究院,eeia.gov.cn,,
数字万用表,可充电锂电池,-15°C至45°C,0%至75%,有,无,IP54,轻量化，多功能,自动切换,≤100 A/m,≤20 V/m,<1.5秒,1 kHz,±(1.0% + 1),0.001 Ω 至 30 MΩ,中国电子技术标准化研究院,cetd.org.cn,,
电桥,内置电池,-20°C至80°C,5%-95%,有,无,IP30,便携式，适用于实验室,手动切换,≤250 A/m,≤25 V/m,<3秒,50 Hz,±(1.5% + 2),0.001 Ω 至 10 GΩ,中国测量科学杂志,cms.org.cn,,
绝缘电阻测试仪,直流电源,-30°C至55°C,0%至85%,有,是,IP67,工业型，耐用设计,自动切换,≤400 A/m,≤5 V/m,<6秒,530 Hz,±(2% + 4),0.1 MΩ 至 10 GΩ,电力设施安全监督局,epb.gov.cn,,
数字万用表,交流电源,-10°C至50°C,0%至85%,有,无,IP56,便于携带，用户友好,手动切换,≤200 A/m,≤35 V/m,<3秒,500 Hz,±(2% + 3),0.01 Ω 至 25 MΩ,中国电气工程学会,ieee.org.cn,,
电桥,外部适配器,-10°C至60°C,10%-80%,有,是,IP44,桌面型，高稳定性,自动切换,≤300 A/m,≤45 V/m,<2秒,100 Hz,±(1% + 1),0.01 Ω 至 500 MΩ,国家计量局,nmi.gov.cn,,
绝缘电阻测试仪,双电源模式,-15°C至65°C,0%至95%,有,无,IP68,耐高温，防水,自动切换,≤500 A/m,≤60 V/m,<7秒,50 Hz,±(2.5% + 5),0.1 MΩ 至 20 GΩ,电气科技发展中心,edc.gov.cn,,
数字万用表,太阳能供电,-20°C至45°C,0%至90%,有,是,IP66,环保型，施行绿色能源,手动切换,≤180 A/m,≤25 V/m,<2.5秒,400 Hz,±(0.5% + 2),0.001 Ω 至 15 MΩ,可再生能源协会,rea.org.cn,,
电桥,高压电源,-10°C至70°C,5%-85%,有,无,IP45,高精度，高性能,自动切换,≤350 A/m,≤55 V/m,<1秒,2 kHz,±(0.5% + 1),0.01 Ω 至 5 GΩ,国际标准化组织,iso.org,,
绝缘电阻测试仪,直流电源,-10°C至60°C,5%至90%,有,无,IP65,台式，适合实验室使用,自动切换,≤500 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(2.5% + 5),0.001 MΩ 至 5 GΩ,国际电工委员会,iec.ch,,
数字万用表,充电电池,-20°C至55°C,0%至85%,有,有,IP67,手持式，设计紧凑,自动切换,≤150 A/m,≤25 V/m,<1秒,1 kHz,±(1.0% + 1),0.01 Ω 至 30 MΩ,美国国家标准技术研究所,nist.gov,,
电桥,内置电池,-20°C至50°C,15%-80%,有,无,IP54,便携式，适合现场测量,手动切换,≤250 A/m,≤40 V/m,<6秒,50 Hz,±(1.2% + 2),0.1 Ω 至 2 GΩ,电子元器件行业协会,eeaa.org.cn,,
超高压电阻测试仪,交流电源,-30°C至70°C,0%至100%,有,有,IP68,工业级，支持自动化测试,自动切换,≤600 A/m,≤70 V/m,<10秒,1 Hz - 1 kHz,±(1% + 1),1 MΩ 至 200 GΩ,中国电力企业联合会,cepb.org.cn,,
便携式电阻测量仪,可充电锂电池,-20°C至50°C,0%至90%,有,无,IP65,小巧，带手提袋,手动切换,≤150 A/m,≤15 V/m,<3秒,100 Hz,±(2% + 2),0.01 Ω 至 1 GΩ,华东理工大学,ecust.edu.cn,,
数字电阻测量仪,USB供电,-10°C至55°C,10%至80%,有,无,IP40,紧凑型，适合科研使用,自动切换,≤300 A/m,≤20 V/m,<1.5秒,1 kHz,±(1.5% + 3),0.1 Ω 至 10 MΩ,中国电力科学研究院,cepra.org.cn,,
多功能绝缘测试仪,外部适配器,-25°C至60°C,0%至90%,有,有,IP67,工业级，耐用,手动切换,≤400 A/m,≤60 V/m,<5秒,50 Hz - 1 kHz,±(1.0% + 1),0.1 MΩ 至 100 GΩ,国际电气标准协会,ieee.org,,
环境电阻测量仪,太阳能供电,-20°C至45°C,15%至100%,有,无,IP54,环保设计，适合户外使用,自动切换,≤250 A/m,≤30 V/m,<6秒,60 Hz,±(3% + 5),10 Ω 至 50 MΩ,中国环境保护部,mep.gov.cn,,
工业电阻测试仪,交流/直流电源,-20°C至70°C,0%至95%,有,无,IP68,重型，适合厂房使用,手动切换,≤150 A/m,≤50 V/m,<2秒,100 Hz - 1 kHz,±(2.0% + 2),0.01 Ω 至 25 GΩ,中国机械工业联合会,cmia.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,10%至90%,有,有,IP65,桌面型，适合实验室使用,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 600 Hz,±(1.5% + 2),0.1 MΩ 至 5 GΩ,中电仪器有限公司,ceec.com.cn,,
数字万用表,充电电池,-5°C至45°C,1%至85%,有,无,IP67,便携式，适合户外使用,手动切换,≤150 A/m,≤25 V/m,<3秒,500 Hz,±(1.0% + 1),0.01 Ω 至 200 MΩ,中国电子科技集团公司,cetesc.com.cn,,
电桥,内置电池,-20°C至80°C,0%至95%,有,无,IP54,高精度，应用广泛,自动切换,≤200 A/m,≤40 V/m,<2秒,70 Hz,±(0.5% + 1),0.01 Ω 至 10 GΩ,国际电工委员会,iec.ch,,
绝缘电阻测试仪,直流电源,-15°C至55°C,0%至100%,有,无,IP30,专业型，适合高压测试,自动切换,≤350 A/m,≤5 V/m,<6秒,40 Hz - 500 Hz,±(3.0% + 5),0.01 MΩ 至 20 GΩ,国际标准化组织,iso.org,,
数字万用表,交流/直流电源,-10°C至50°C,0%至90%,无,无,IP68,工业型，耐用性强,手动切换,≤300 A/m,≤20 V/m,<5秒,1 kHz,±(1.2% + 1),0.001 Ω 至 30 MΩ,中国仪器仪表行业协会,cimta.org.cn,,
