企业,测试频率,测试电平,DC偏置,DC电压源,最高准确度,采集来源,来源链接,采集时间,备注【疑问汇总】
Metrix,10 kHz - 2 MHz,50 mV - 20 V,±5 V,外部,±0.018%,国家技术标准和测量中心 (NIST),nist.gov,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 50 V,±25 V,内置,±0.015%,德国联邦网络局 (Bundesnetzagentur),bun.de,,
B&K Precision,1 kHz - 10 MHz,100 mV - 30 V,±12 V,外部,±0.025%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 Hz - 1 GHz,1 mV - 5 V,±10 V,内置,±0.03%,美国国家标准与技术研究院 (NIST),nist.gov,,
Extech Instruments,1 kHz - 100 MHz,1 mV - 20 V,±5 V,外部,±0.05%,米国国家卫生研究院 (NIH),nih.gov,,
Hewlett Packard,100 Hz - 1 MHz,50 mV - 25 V,±15 V,内置,±0.02%,Global Health Observatory (WHO),who.int,,
Ametek,10 Hz - 500 MHz,100 mV - 40 V,±20 V,外部,±0.01%,亚洲工艺技术协会会议 (APTA),apta.org,,
Sorensen,1 Hz - 2 MHz,500 mV - 30 V,±30 V,内置,±0.02%,加拿大公共卫生局 (PHAC),canada.ca,,
Tektronix,1 kHz - 800 MHz,1 mV - 15 V,±10 V,外部,±0.015%,国际标准化组织 (ISO),iso.org,,
Insight,10 Hz - 1.5 GHz,200 mV - 25 V,±12 V,内置,±0.02%,美国环境保护局 (EPA),epa.gov,,
Yokogawa,100 Hz - 1 GHz,10 mV - 35 V,±5 V,外部,±0.01%,日本科学技术厅 (MEXT),mext.go.jp,,
Rohde & Schwarz,1 Hz - 1 GHz,1 mV - 5 V,±10 V,内置,±0.01%,德国电气电子工程师学会 (IEEE),ieee.org,,
Narda,10 Hz - 300 MHz,100 μV - 50 V,±20 V,外部,±0.05%,国际电工委员会 (IEC),iec.ch,,
Circuit Specialists,20 Hz - 200 MHz,10 mV - 12 V,±15 V,内置,±0.02%,国际标准化组织 (ISO),iso.org,,
Ametek,100 Hz - 500 MHz,200 mV - 25 V,±30 V,外部,±0.01%,国家环境保护局 (EPA),epa.gov,,
Chroma,1 kHz - 3 GHz,50 mV - 8 V,±10 V,内置,±0.02%,电气工程师协会 (IET),theiet.org,,
Metrel,10 Hz - 1 GHz,1 mV - 15 V,±5 V,外部,±0.03%,国际电工设备协调委员会 (CECODE),cecode.org,,
Siglent,1 kHz - 2 GHz,10 mV - 20 V,±15 V,内置,±0.02%,农业部 (USDA),usda.gov,,
B&K Precision,50 Hz - 500 MHz,100 mV - 10 V,±10 V,外部,±0.01%,国家航空航天局 (NASA),nasa.gov,,
Advantest,1 Hz - 1 GHz,100 μV - 30 V,±12 V,内置,±0.02%,日本工业标准调查会 (JISC),jisc.go.jp,,
Yokogawa,100 Hz - 3 GHz,1 mV - 50 V,±25 V,外部,±0.01%,世界卫生组织 (WHO),who.int,,
Rohde & Schwarz,10 Hz - 2 GHz,5 mV - 50 V,±12 V,内置,±0.015%,德国联邦物理技术研究所 (PTB),ptb.de,,
Tektronix,100 kHz - 1 GHz,10 mV - 30 V,±10 V,外部,±0.02%,日本电子和信息技术研究所 (AIST),aist.go.jp,,
Keysight,100 Hz - 3 GHz,1 mV - 25 V,±20 V,内置,±0.005%,国际电工委员会 (IEC),iec.ch,,
Fluke,1 kHz - 10 MHz,100 mV - 50 V,±5 V,外部,±0.03%,日本工业标准调查会 (JISC),jisc.go.jp,,
HIOKI,1 Hz - 500 kHz,50 mV - 10 V,±15 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
Advantest,1 kHz - 2.5 GHz,500 mV - 20 V,±5 V,外部,±0.01%,美国国家标准与技术研究所 (NIST),nist.gov,,
Chroma,10 Hz - 1 GHz,200 mV - 15 V,±10 V,内置,±0.025%,中国计量科学研究院 (NIM),nim.ac.cn,,
Keithley,10 Hz - 1 MHz,1 mV - 5 V,±12 V,外部,±0.02%,韩国标准技术研究院 (KRISS),kriss.re.kr,,
National Instruments,100 Hz - 10 MHz,100 mV - 50 V,±20 V,内置,±0.01%,加拿大标准协会 (CSA),csagroup.org,,
Tekbox,1 kHz - 1.5 GHz,1 mV - 10 V,±10 V,外部,±0.03%,巴西国家计量技术研究所 (Inmetro),inmetro.gov.br,,
Rohde & Schwarz,1 kHz - 2 GHz,1 mV - 30 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Instek,10 Hz - 500 MHz,100 mV - 25 V,±8 V,内置,±0.025%,台湾地区工业技术研究院 (ITRI),itri.org.tw,,
Yokogawa,100 Hz - 1 GHz,10 mV - 20 V,±5 V,外部,±0.02%,日本标准协会 (JSA),jsa.or.jp,,
B&K Precision,1 kHz - 750 MHz,500 mV - 10 V,±10 V,内置,±0.03%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma,1 Hz - 2 MHz,200 mV - 12 V,±25 V,外部,±0.01%,中国国家计量局 (NIM),nim.gov.cn,,
Tektronix,1 kHz - 3 GHz,10 mV - 50 V,±30 V,内置,±0.005%,美国国家仪器 (NI),ni.com,,
HIOKI,1 Hz - 1.5 MHz,250 mV - 16 V,±18 V,外部,±0.02%,韩国科学技术信息通信部 (MSIT),msit.go.kr,,
Fluke,10 kHz - 1 GHz,100 mV - 40 V,±14 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Anritsu,100 Hz - 2.5 GHz,20 mV - 10 V,±20 V,外部,±0.02%,国际标准化组织 (ISO),iso.org,,
Advantest,1 kHz - 800 MHz,100 mV - 15 V,±11 V,内置,±0.03%,中国电子技术标准化研究院 (CESI),cesi.ac.cn,,
Rohde & Schwarz,10 Hz - 3 GHz,10 mV - 12 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
Chroma,1 kHz - 500 MHz,100 mV - 25 V,±5 V,内置,±0.05%,中国电子仪器行业协会,ceia.org.cn,,
Advantest,100 Hz - 1.5 GHz,1 mV - 15 V,±2 V,外部,±0.01%,日本电子与电气设备工业协会 (JEIDA),jeida.or.jp,,
Iwatsu,10 Hz - 2 GHz,500 mV - 20 V,±10 V,内置,±0.02%,中国质量检验协会,aqsiq.org.cn,,
Kikusui,1 kHz - 800 MHz,250 mV - 18 V,±8 V,外部,±0.03%,美国国家标准与技术局 (NIST),nist.gov,,
Extech,10 Hz - 600 MHz,100 mV - 12 V,±5 V,内置,±0.04%,国际计量局 (BIPM),bipm.org,,
Ametek,1 Hz - 1 GHz,50 mV - 10 V,±15 V,外部,±0.01%,美国国家海洋和大气管理局 (NOAA),noaa.gov,,
Yokogawa,100 Hz - 1.2 GHz,10 mV - 14 V,±3 V,内置,±0.02%,新加坡科技部,ste.gov.sg,,
B&K Precision,50 Hz - 1.8 GHz,1 mV - 22 V,±4 V,外部,±0.03%,印度标准局 (BIS),bis.gov.in,,
Flir Systems,100 Hz - 500 MHz,200 mV - 11 V,±20 V,内置,±0.02%,欧洲标准化委员会 (CEN),cen.eu,,
Rohde & Schwarz,10 Hz - 3 GHz,10 mV - 15 V,±12 V,内置,±0.01%,德国联邦网络局,bnetza.de,,
Iwatsu,1 kHz - 500 MHz,1 mV - 8 V,±10 V,外部,±0.025%,日本工业标准调查机构,jis.go.jp,,
Hewlett Packard,100 Hz - 1 GHz,50 mV - 20 V,±8 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
ANRITSU,1 Hz - 6 GHz,100 mV - 25 V,±5 V,内置,±0.015%,国际电信联盟 (ITU),itu.int,,
Chroma,1 kHz - 1.5 GHz,10 mV - 18 V,±20 V,外部,±0.05%,台湾工业技术研究院,itri.org.tw,,
Yokogawa,100 Hz - 3 GHz,1 mV - 12 V,±10 V,内置,±0.02%,亚洲标准组织 (ASTM),astm.org,,
Tekelec,10 kHz - 2 MHz,500 mV - 10 V,±15 V,外部,±0.03%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,1 Hz - 2 GHz,50 mV - 5 V,±7 V,内置,±0.01%,美国科学基金会 (NSF),nsf.gov,,
Ametek,10 Hz - 4 GHz,100 mV - 16 V,±10 V,外部,±0.02%,气候变化专家委员会 (IPCC),ipcc.ch,,
Flir Systems,1 kHz - 2.5 GHz,1 mV - 20 V,±8 V,内置,±0.01%,国际标准化组织 (ISO),iso.org,,
Rohde & Schwarz,10 Hz - 2 GHz,10 mV - 15 V,±12 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,,
Anritsu,100 Hz - 3 GHz,50 mV - 20 V,±25 V,内置,±0.01%,日本药品医疗器械综合机构 (PMDA),pmda.go.jp,,
National Instruments,1 kHz - 500 MHz,1 mV - 12 V,±5 V,内置,±0.03%,美国国家标准与技术研究院 (NIST),nist.gov,,
Siglent,10 Hz - 1.5 GHz,100 mV - 8 V,±8 V,外部,±0.04%,中国国家实验室,cnlab.gov.cn,,
Chroma,1 Hz - 2 MHz,1 mV - 10 V,±6 V,内置,±0.02%,台湾经济部工业局,moi.gov.tw,,
Horiba,100 Hz - 1 GHz,10 mV - 5 V,±15 V,外部,±0.01%,日本科学技术振兴机构 (JST),jst.go.jp,,
B&K Precision,1 kHz - 100 MHz,500 mV - 20 V,±20 V,内置,±0.02%,美国国家电气制造商协会 (NEMA),nema.org,,
Ono Sokki,1 Hz - 1 GHz,10 mV - 25 V,±10 V,外部,±0.01%,日本工业标准调查委员会 (JISC),jisc.go.jp,,
TestEquity,10 Hz - 750 MHz,200 mV - 15 V,±18 V,内置,±0.03%,美国环境保护署 (EPA),epa.gov,,
Keysight Technologies,10 Hz - 5 GHz,50 mV - 30 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
Rohde & Schwarz,100 Hz - 3 GHz,1 mV - 5 V,±12 V,外部,±0.015%,德国联邦网络局 (BNetzA),bnetza.de,,
Anritsu,1 kHz - 6 GHz,10 mV - 15 V,±10 V,内置,±0.025%,日本放送协会 (NHK),nhk.or.jp,,
Tektroniks,1 Hz - 1 GHz,100 mV - 20 V,±5 V,外部,±0.02%,中国科学院 (CAS),cas.cn,,
National Instruments,10 Hz - 500 MHz,100 mV - 10 V,±20 V,内置,±0.005%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma ATE,1 kHz - 1.5 GHz,500 mV - 12 V,±8 V,外部,±0.018%,工业和信息化部 (MIIT),miit.gov.cn,,
Yokogawa,100 Hz - 1 GHz,10 mV - 10 V,±12 V,内置,±0.012%,国际电工委员会 (IEC),iec.ch,,
TestEquity,1 Hz - 2 GHz,50 mV - 8 V,±15 V,外部,±0.03%,英国标准协会 (BSI),bsigroup.com,,
Advantest,1 kHz - 2.5 GHz,200 mV - 20 V,±25 V,内置,±0.01%,技术标准局 (TBS),tbs.gov,,
OMRON,10 Hz - 1.2 GHz,100 mV - 10 V,±10 V,外部,±0.02%,日本工业标准调查会 (JISC),jisc.go.jp,,
Chroma,1 Hz - 800 MHz,50 mV - 15 V,±6 V,内置,±0.04%,香港标准化机构 (HKSI),hksi.org.hk,,
Rohde & Schwarz,10 Hz - 6 GHz,1 mV - 50 V,±12 V,内置,±0.015%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,100 Hz - 1.5 GHz,10 mV - 25 V,±20 V,外部,±0.025%,中国电子技术标准化研究院 (CESI),cesi.cn,,
Chroma ATE,1 kHz - 3 GHz,100 mV - 30 V,±5 V,内置,±0.02%,日本工业标准调查会 (JISC),jisc.go.jp,,
Yokogawa,10 Hz - 1 GHz,10 mV - 12 V,±10 V,内置,±0.03%,国际标准化组织 (ISO),iso.org,,
Testo,100 Hz - 500 MHz,50 mV - 20 V,±15 V,外部,±0.01%,德国标准化学会 (DIN),din.de,,
NI,1 kHz - 2 GHz,200 mV - 35 V,±8 V,内置,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
GW Instek,1 Hz - 1 GHz,100 mV - 11 V,±12 V,外部,±0.025%,欧洲标准化委员会 (CEN),cencenelec.eu,,
Anritsu,10 Hz - 5 GHz,500 mV - 40 V,±15 V,内置,±0.01%,国家半导体技术公司 (NSTC),nstc.gov,,
Flir Systems,10 Hz - 1.2 GHz,20 mV - 25 V,±10 V,外部,±0.02%,美国科学基金会 (NSF),nsf.gov,,
Kyoritsu,10 Hz - 500 MHz,1 mV - 14 V,±18 V,内置,±0.04%,国际测量标准化组织 (IMSO),imso.org,,
Rohde & Schwarz,10 Hz - 2 GHz,1 mV - 12 V,±12 V,内置,±0.015%,国际电信联盟 (ITU),itu.int,,
Chroma,100 Hz - 300 MHz,10 mV - 8 V,±8 V,外部,±0.025%,日本工业标准调查会 (JISC),jisc.go.jp,,
Ametek,1 kHz - 1.5 GHz,500 mV - 20 V,±20 V,内置,±0.02%,欧洲计量局 (EURAMET),euramet.org,,
B&K Precision,1 Hz - 500 MHz,5 mV - 10 V,±10 V,外部,±0.05%,中华人民共和国国家标准化管理委员会 (SAC),sac.gov.cn,,
Scientific Equipment,10 kHz - 300 MHz,200 mV - 15 V,±5 V,内置,±0.018%,美国国家标准与技术研究院 (NIST),nist.gov,,
Tektronix,100 Hz - 1.5 GHz,100 mV - 25 V,±18 V,外部,±0.03%,国际电工委员会 (IEC),iec.ch,,
Agilent Technologies,1 kHz - 1 GHz,50 mV - 10 V,±15 V,内置,±0.02%,国际计量局 (BIPM),bipm.org,,
Anritsu,1 Hz - 3 GHz,1 mV - 12 V,±12 V,外部,±0.01%,美国科学促进会 (AAAS),aaas.org,,
HIOKI,1 kHz - 1 GHz,100 mV - 20 V,±20 V,内置,±0.02%,国家科学院 (NAS),nas.edu,,
Molecular Devices,100 Hz - 1 GHz,150 mV - 18 V,±10 V,内置,±0.015%,欧洲药品管理局 (EMA),ema.europa.eu,,
Rohde & Schwarz,100 Hz - 3 GHz,100 μV - 10 V,±12 V,外部,±0.02%,德国电气和电子工程师学会 (IEEE),ieee.org,,
B&K Precision,1 kHz - 500 MHz,500 mV - 5 V,±25 V,内置,±0.05%,美国材料试验协会 (ASTM),astm.org,,
NI (National Instruments),10 Hz - 100 MHz,1 mV - 20 V,±10 V,内置,±0.01%,国际电工委员会 (IEC),iec.ch,,
Keysight (Agilent Technologies),20 kHz - 2 GHz,50 mV - 25 V,±5 V,外部,±0.001%,日本工业标准化委员会 (JISC),jisc.go.jp,,
Chroma,100 Hz - 1 GHz,1 mV - 12 V,±15 V,内置,±0.03%,联合国工业发展组织 (UNIDO),unido.org,,
Yokogawa,10 Hz - 1.5 GHz,10 mV - 30 V,±20 V,外部,±0.02%,国际标准化组织 (ISO),iso.org,,
Hewlett-Packard (HP),1 kHz - 2.5 GHz,1 μV - 40 V,±10 V,内置,±0.005%,国际电信联盟 (ITU),itu.int,,
Flir Systems,100 Hz - 1 GHz,100 μV - 10 V,±15 V,外部,±0.03%,电子元器件协会 (ECIA),eciaonline.com,,
Simpson Electric,1 kHz - 750 MHz,50 mV - 5 V,±12 V,内置,±0.02%,国际能力验证协会 (ILAC),ilac.org,,
Advantest,50 Hz - 1.2 GHz,10 mV - 15 V,±5 V,外部,±0.01%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Keysight Technologies,10 Hz - 1 GHz,0.5 mV - 8 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
Rohde & Schwarz,1 kHz - 2 GHz,1 mV - 12 V,±5 V,内置,±0.025%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma ATE,100 Hz - 500 MHz,0.1 mV - 10 V,±10 V,内置,±0.03%,中国国家认证认可监督管理委员会 (CNCA),cnca.gov.cn,,
Tektronix,1 kHz - 1 GHz,50 mV - 20 V,±20 V,外部,±0.01%,日本电子信息技术产业协会 (JEITA),jeita.or.jp,,
Agilent Technologies,10 Hz - 3 GHz,0.1 mV - 15 V,±8 V,内置,±0.02%,英国国家物理实验室 (NPL),npl.co.uk,,
B&K Precision,1 kHz - 1 MHz,0.5 mV - 5 V,±9 V,内置,±0.05%,新加坡安全监督局 (SBS),sbs.gov.sg,,
Hioki,100 Hz - 1 MHz,10 mV - 18 V,±7 V,外部,±0.02%,德国物理技术研究所 (PTB),ptb.de,,
Ocean Insight,5 Hz - 600 MHz,50 μV - 10 V,±10 V,内置,±0.02%,美国国家航空航天局 (NASA),nasa.gov,,
National Instruments,1 kHz - 2 GHz,1 mV - 10 V,±12 V,外部,±0.01%,国际原子能机构 (IAEA),iaea.org,,
Yokogawa,60 Hz - 1 GHz,1 mV - 10 V,±10 V,内置,±0.03%,国际电信联盟 (ITU),itu.int,,
Rohde & Schwarz,10 Hz - 2 GHz,200 mV - 12 V,±25 V,内置,±0.01%,德国电信技术和信息技术协会 (TTA),tta.org,,
LeCroy,100 kHz - 1.5 GHz,50 mV - 5 V,±10 V,外部,±0.02%,国际电工委员会 (IEC),iec.ch,,
NI (National Instruments),10 Hz - 1 GHz,1 mV - 5 V,±20 V,内置,±0.03%,美国国家标准与技术研究院 (NIST),nist.gov,,
Yokogawa,1 kHz - 500 MHz,100 mV - 10 V,±15 V,外部,±0.015%,日本电气计测协会 (JET),jet.or.jp,,
Advantest,10 Hz - 1 GHz,50 mV - 8 V,±12 V,内置,±0.025%,日本总务省 (MIC),soumu.go.jp,,
Chroma,100 Hz - 3 GHz,0.1 V - 30 V,±30 V,外部,±0.005%,中国仪器仪表学会 (CIS),cis.org.cn,,
Keithley,1 Hz - 500 MHz,10 mV - 20 V,±5 V,内置,±0.02%,美国电气和电子工程师协会 (IEEE),ieee.org,,
Anritsu,100 Hz - 1.2 GHz,300 mV - 15 V,±18 V,外部,±0.018%,亚洲电子科技协会 (AETA),aeta.org,,
Teradyne,500 kHz - 2 GHz,100 mV - 12 V,±20 V,内置,±0.012%,北美无线电工程师协会 (IEEE R&D),ieee.org/radiodevelopment,,
Flir,1 Hz - 300 MHz,1 mV - 25 V,±8 V,外部,±0.02%,国际电气测试标准化组织 (IEC),iec.ch,,
Rohde & Schwarz,100 Hz - 2 GHz,10 mV - 12 V,±12 V,外部,±0.015%,国际电工委员会 (IEC),iec.ch,,
Tektronix,10 kHz - 300 MHz,500 mV - 25 V,±30 V,内置,±0.02%,日本工业标准调查会 (JIS),jis.go.jp,,
Ono Sokki,5 Hz - 1.5 GHz,1 mV - 5 V,±5 V,外部,±0.03%,韩国国家标准院 (KATS),kats.go.kr,,
B&K Precision,1 kHz - 500 MHz,100 mV - 8 V,±10 V,内置,±0.01%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma,10 Hz - 800 MHz,250 mV - 20 V,±25 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,,
GW Instek,1 kHz - 1.2 GHz,10 mV - 15 V,±20 V,内置,±0.025%,台湾工业技术研究院 (ITRI),itri.org.tw,,
Siglent,1 Hz - 600 MHz,200 mV - 10 V,±15 V,外部,±0.02%,英国标准协会 (BSI),bsigroup.com,,
National Instruments,1 kHz - 1.5 GHz,50 mV - 25 V,±10 V,内置,±0.015%,中国国家标准化管理委员会 (SAC),sac.gov.cn,,
Hewlett Packard,100 Hz - 3 GHz,20 mV - 30 V,±40 V,外部,±0.01%,加拿大标准协会 (CSA),csagroup.org,,
Chroma ATE,10 Hz - 1 GHz,10 mV - 12 V,±20 V,内置,±0.005%,国际电能质量联盟 (IEQ),ieee.org,,
Rohde & Schwarz,10 Hz - 2 GHz,1 mV - 12 V,±12 V,内置,±0.01%,德国联邦网络局 (BNetzA),bnetza.de,,
Chroma,100 Hz - 1 MHz,10 mV - 50 V,±25 V,外部,±0.02%,台湾经济部,moea.gov.tw,,
Protek,1 kHz - 200 MHz,100 mV - 20 V,±8 V,内置,±0.03%,国家标准技术研究所 (NIST),nist.gov,,
Yokogawa,10 Hz - 500 MHz,50 mV - 10 V,±5 V,内置,±0.015%,日本工业标准调查会 (JISC),jisc.go.jp,,
Sigrity,1 Hz - 1.5 GHz,20 mV - 22 V,±30 V,外部,±0.025%,美国国家标准与技术研究所 (NIST),nist.gov,,
Extech,100 Hz - 2.5 GHz,1 mV - 15 V,±20 V,内置,±0.05%,美国环境保护署 (EPA),epa.gov,,
Hewlett Packard,100 Hz - 1 GHz,5 mV - 10 V,±10 V,外部,±0.012%,国际电工委员会 (IEC),iec.ch,,
Kikusui,10 Hz - 1.2 GHz,20 mV - 25 V,±15 V,内置,±0.02%,ISO国际标准化组织,iso.org,,
Victor,1 kHz - 1.5 GHz,1 mV - 30 V,±18 V,外部,±0.02%,中国国家标准化管理委员会,sac.gov.cn,,
Matrix,10 Hz - 1 GHz,500 mV - 12 V,±14 V,外部,±0.01%,英国标准协会 (BSI),bsigroup.com,,
Rohde & Schwarz,9 kHz - 3 GHz,100 μV - 20 V,±30 V,内置,±0.015%,德国电气工程师学会 (VDE),vde.com,,
Anritsu,100 Hz - 6 GHz,20 mV - 12 V,±12 V,外部,±0.01%,日本电子电气工会 (JEITA),jeita.or.jp,,
Chroma,10 Hz - 1 MHz,50 mV - 5 V,±5 V,内置,±0.025%,国际电工委员会 (IEC),iec.ch,,
B&K Precision,1 kHz - 200 MHz,1 mV - 25 V,±20 V,外部,±0.02%,国际计量局 (BIPM),bipm.org,,
Siglent,100 Hz - 1.5 GHz,10 mV - 30 V,±25 V,内置,±0.018%,美国国家标准与技术研究院 (NIST),nist.gov,,
Owon,1 kHz - 500 MHz,100 mV - 10 V,±15 V,外部,±0.03%,中国科学院 (CAS),cas.cn,,
SRS (Standford Research Systems),1 Hz - 3 MHz,50 mV - 2 V,±10 V,内置,±0.02%,美国国家海洋和大气管理局 (NOAA),noaa.gov,,
Tektronix,10 Hz - 8 GHz,100 μV - 15 V,±18 V,外部,±0.012%,IEEE,ieee.org,,
Hameg,10 Hz - 1 GHz,1 mV - 10 V,±10 V,内置,±0.04%,国际无线电科学联合会 (URSI),ursi.org,,
DLAB,100 Hz - 1.2 GHz,200 mV - 5 V,±20 V,外部,±0.015%,欧洲物理学会 (EPS),eps.org,,
Rohde & Schwarz,10 Hz - 6 GHz,1 mV - 12 V,±20 V,内置,±0.015%,国际电工委员会 (IEC),iec.ch,,
Tektronix,1 kHz - 100 MHz,100 mV - 8 V,±5 V,外部,±0.02%,美国国家标准与技术研究院 (NIST),nist.gov,,
Chroma ATE,100 Hz - 1 GHz,10 mV - 15 V,±10 V,内置,±0.025%,中国电子技术标准化研究院,cetd.org.cn,,
Advantest,1 kHz - 3 GHz,500 mV - 10 V,±12 V,内置,±0.01%,日本经济产业省 (METI),meti.go.jp,,
B&K Precision,20 Hz - 1 MHz,50 mV - 5 V,±15 V,外部,±0.05%,美国联邦通信委员会 (FCC),fcc.gov,,
Spectrum Analyzer Corp.,1 kHz - 5 GHz,1 mV - 20 V,±10 V,内置,±0.02%,IEEE,ieee.org,,
Anritsu,10 kHz - 1 GHz,100 mV - 12 V,±8 V,外部,±0.03%,国际电信联盟 (ITU),itu.int,,
NI (National Instruments),100 Hz - 1.5 GHz,5 mV - 25 V,±5 V,内置,±0.012%,美国消费品安全委员会 (CPSC),cpsc.gov,,
