批准文号/注册证号（字符型）,人工智能系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,是否通过一致性（字符型）,人工智能系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
AI-012-2023,智能文档审查系统,V1.0,字节跳动,2023-06-18,字节跳动法律,字节跳动,是,法律咨询,Legal Tech Weekly,https://www.legaltechweekly.com,2024-10-11,,,,,,,,
AI-015-2023,农业智能害虫预测系统,V1.0,华为,2023-05-30,华为农业,华为农业科技,是,农业,AgriTech Insights,https://www.agritechinsights.com,2024-10-11,,,,,,,,
AI-019-2023,自动化仓储管理系统,V1.0,京东,2023-07-15,京东物流,京东物流科技,是,物流,Logistics Tech News,https://www.logisticstechnews.com,2024-10-11,,,,,,,,
AI-024-2023,个性化推荐系统,V2.0,美团点评,2023-09-01,美团科技,美团科技,是,商业服务,E-Commerce Insights,https://www.ecommerceinsights.com,2024-10-11,,,,,,,,
AI-028-2023,金融智能信贷系统,V1.0,中国银行,2023-10-05,中国银行科技,中国银行,是,金融服务,FinTech Times,https://fintechtimes.com,2024-10-11,,,,,,,,
AI-033-2023,智能检测系统,V1.3,深圳南方科技大学,2023-09-28,南方科技大学智能研究,南方科技大学,是,教育研究,University Tech Review,https://www.universitytechreview.com,2024-10-11,,,,,,,,
AI-038-2023,AI语言翻译助手,V1.2,腾讯,2023-05-15,腾讯科技,腾讯科技,是,语言服务,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-045-2023,智能城市监控系统,V1.0,华为,2023-06-30,华为技术,华为技术,是,安全监控,AI Magazine,https://www.aimagazine.com/,2024-10-11,,,,,,,,
AI-005-2023,智能诊断系统,V2.1,百度健康,2023-07-20,百度健康科技,百度健康科技,是,医疗健康,Wired,https://www.wired.com/,2024-10-11,,,,,,,,
AI-012-2023,智能股票分析师,V1.0,阿里巴巴,2023-08-05,阿里金融,阿里金融,否,金融服务,Bloomberg,https://www.bloomberg.com/,2024-10-11,,,,,,,,
AI-019-2023,情绪分析系统,V1.0,字节跳动,2023-09-12,字节跳动科技,字节跳动科技,是,市场营销,Hacker News,https://news.ycombinator.com/,2024-10-11,,,,,,,,
AI-027-2023,智慧旅游推荐系统,V1.3,携程网,2023-10-01,携程旅游科技,携程旅游科技,是,旅游服务,TripAdvisor,https://www.tripadvisor.com/,2024-10-11,,,,,,,,
AI-034-2023,个性化健身教练系统,V1.0,Fitbit,2023-09-25,Fitbit科技,Fitbit科技,是,健康生活,Healthline,https://www.healthline.com/,2024-10-11,,,,,,,,
AI-041-2023,智能公共交通调度系统,V2.2,滴滴出行,2023-09-15,滴滴科技,滴滴科技,是,交通运输,Mass Transit,https://www.masstransitmag.com/,2024-10-11,,,,,,,,
AI-048-2023,智能农业管理系统,V1.0,中农联,2023-08-18,中农联科技,中农联科技,是,农业,Farm Progress,https://www.farmprogress.com/,2024-10-11,,,,,,,,
AI-056-2023,智能健康监测系统,V1.5,华为,2023-08-01,华为技术有限公司,华为技术有限公司,是,医疗健康,OpenAI研究,https://openai.com/research/,2024-10-11,,,,,,,,
AI-063-2023,自动驾驶数据分析系统,V2.0,滴滴出行,2023-09-20,滴滴科技有限公司,滴滴科技有限公司,是,交通运输,CSDN,https://www.csdn.net/,2024-10-11,,,,,,,,
AI-072-2023,语言翻译助手,V1.2,腾讯,2023-10-05,腾讯科技有限公司,腾讯科技有限公司,是,语言服务,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-005-2023,虚拟购物顾问,V1.0,阿里巴巴,2023-07-15,阿里巴巴集团,阿里巴巴集团,是,电子商务,OpenText,https://www.opentext.com/,2024-10-11,,,,,,,,
AI-012-2023,智能财务助手,V1.3,北京理工大学,2023-08-15,北京理工大学科技,北京理工大学,是,金融服务,Tsinghua University,http://www.tsinghua.edu.cn/,2024-10-11,,,,,,,,
AI-019-2023,智能家居安全系统,V1.0,海康威视,2023-07-30,海康威视安全科技,海康威视,是,家居生活,CSDN,https://www.csdn.net/,2024-10-11,,,,,,,,
AI-027-2023,社会舆情分析系统,V2.1,字节跳动,2023-09-10,字节跳动科技,字节跳动,否,大数据分析,Financial Times,https://www.ft.com/,2024-10-11,,,,,,,,
AI-033-2023,企业智能助理,V1.1,华大基因,2023-08-25,华大基因科技,华大基因,是,生物科技,MIT Technology Review,https://www.technologyreview.com/,2024-10-11,,,,,,,,
AI-041-2023,个人健康管理平台,V1.0,美团,2023-09-30,美团健康科技,美团,是,医疗健康,eMarketer,https://www.emarketer.com/,2024-10-11,,,,,,,,
AI-048-2023,AI驱动的内容推荐系统,V1.4,京东,2023-09-05,京东科技,京东,是,电子商务,Reuters,https://www.reuters.com/,2024-10-11,,,,,,,,
AI-056-2023,智能投资顾问,V1.2,平安集团,2023-07-20,平安金融科技,平安金融科技,是,金融服务,财经网,https://www.caixin.com/,2024-10-11,,,,,,,,
AI-062-2023,在线心理咨询平台,V2.0,心理健康科技,2023-08-05,心理健康科技有限公司,心理健康科技有限公司,是,医疗健康,新京报,https://www.bjnews.com.cn/,2024-10-11,,,,,,,,
AI-078-2023,智能预测分析系统,V1.1,阿里云,2023-09-10,阿里巴巴,阿里云智能,是,大数据分析,CSDN,https://www.csdn.net/,2024-10-11,,,,,,,,
AI-007-2023,智慧教育评估系统,V1.0,腾讯教育,2023-06-15,腾讯科技,腾讯教育科技,是,教育行业,腾讯新闻,https://www.tencent.com/,2024-10-11,,,,,,,,
AI-023-2023,智能安防系统,V2.1,海康威视,2023-05-30,海康威视科技,海康安全,是,安防监控,大公网,http://www.takungpao.com/,2024-10-11,,,,,,,,
AI-015-2023,智能农业管理系统,V1.3,大北农,2023-08-20,大北农科技,大北农,是,农业,中国农业网,http://www.chinaagris.com/,2024-10-11,,,,,,,,
AI-034-2023,机器人客服系统,V1.0,网易,2023-09-25,网易云客服,网易科技,是,客户服务,Infosys,https://www.infosys.com/,2024-10-11,,,,,,,,
AI-042-2023,健康监测预测系统,V1.0,华为,2023-07-18,华为技术有限公司,华为健康,是,医疗健康,科技日报,http://www.stdaily.com/,2024-10-11,,,,,,,,
AI-056-2023,智慧制造平台,V1.0,中车集团,2023-08-30,中车智能制造,中车,是,工业自动化,新华社,http://www.xinhuanet.com/,2024-10-11,,,,,,,,
AI-078-2023,智能供应链管理系统,V1.4,京东,2023-09-12,京东科技,京东物流,是,物流管理,北京日报,http://www.bjd.com.cn/,2024-10-11,,,,,,,,
AI-089-2023,智能健康监测系统,V1.0,阿里健康,2023-03-20,阿里健康科技,阿里健康科技,是,医疗健康,Alizila,https://www.alizila.com/,2024-10-11,,,,,,,,
AI-014-2023,动态城市规划助手,V1.0,腾讯,2023-05-15,腾讯城市科技,腾讯城市科技,是,城市管理,Tencent News,https://news.tencent.com/,2024-10-11,,,,,,,,
AI-067-2023,个性化学习助手,V1.2,网易,2023-04-12,网易教育,网易教育,是,教育行业,EDUCA,https://www.edu.org/,2024-10-11,,,,,,,,
AI-012-2023,智慧法务平台,V2.0,京东法律,2023-06-20,京东法务科技,京东法务科技,是,法律服务,LegalTech,https://www.legaltech.com/,2024-10-11,,,,,,,,
AI-045-2023,智能零售助手,V1.0,美团,2023-02-28,美团科技,美团科技,是,零售,RetailDive,https://www.retaildive.com/,2024-10-11,,,,,,,,
AI-078-2023,气象数据分析系统,V1.0,中央气象台,2023-04-30,中央气象数据中心,中央气象数据中心,是,气象服务,Weather.com,https://www.weather.com/,2024-10-11,,,,,,,,
AI-023-2023,智能旅行推荐系统,V1.0,携程网,2023-07-01,携程旅行科技,携程旅行科技,是,旅游服务,TripAdvisor,https://www.tripadvisor.com/,2024-10-11,,,,,,,,
AI-091-2023,智能投资顾问,V1.0,恒生银行,2023-05-22,恒生科技,恒生科技,是,金融服务,Financial Times,https://www.ft.com/,2024-10-11,,,,,,,,
AI-034-2023,智能网络安全系统,V1.0,360安全科技,2023-04-05,360网络安全,360网络安全,是,网络安全,Cybersecurity Insiders,https://www.cybersecurity-insiders.com/,2024-10-11,,,,,,,,
AI-056-2023,金融市场预测系统,V1.0,中信证券,2023-06-25,中信金融科技,中信金融科技,是,金融服务,Bloomberg,https://www.bloomberg.com/,2024-10-11,,,,,,,,
AI-087-2023,健康监测平台,V1.0,阿里健康,2023-08-05,阿里健康科技,阿里健康科技,是,医疗健康,Medical News Today,https://www.medicalnewstoday.com/,2024-10-11,,,,,,,,
AI-014-2023,智能金融顾问,V1.2,平安科技,2023-09-10,平安科技集团,平安科技集团,是,金融服务,金融时报,https://www.ft.com/,2024-10-11,,,,,,,,
AI-067-2023,智慧城市管理系统,V2.0,华为,2023-08-20,华为技术有限公司,华为技术有限公司,是,智慧城市,中国日报,http://www.chinadaily.com.cn/,2024-10-11,,,,,,,,
AI-003-2023,在线教育助手,V1.1,腾讯教育,2023-06-15,腾讯教育科技,腾讯教育科技,是,教育行业,腾讯新闻,https://news.qq.com/,2024-10-11,,,,,,,,
AI-007-2023,智慧法律咨询系统,V1.0,京东法律,2023-08-01,京东法律科技,京东法律科技,是,法律服务,新华网,http://www.xinhuanet.com/,2024-10-11,,,,,,,,
AI-012-2023,农业产量预测系统,V1.0,农业科技部,2023-07-12,农业科技部,农业科技部,是,农业,农业部官网,http://www.moa.gov.cn/,2024-10-11,,,,,,,,
AI-015-2023,个性化健身教练系统,V1.1,阿里体育,2023-09-15,阿里体育科技,阿里体育科技,是,健康与健身,网易新闻,https://www.163.com/,2024-10-11,,,,,,,,
AI-019-2023,智慧物流系统,V1.0,顺丰科技,2023-10-05,顺丰控股,顺丰控股,是,物流与运输,物流时代,https://www.logisticsweek.com/,2024-10-11,,,,,,,,
AI-024-2023,网络安全监测系统,V1.1,中兴通讯,2023-10-12,中兴科技,中兴科技,是,网络安全,安全世界,http://www.secursafe.com/,2024-10-11,,,,,,,,
AI-029-2023,智能语音助手,V1.0,科大讯飞,2023-10-01,科大讯飞科技,科大讯飞科技,是,语音识别,今日头条,https://www.toutiao.com/,2024-10-11,,,,,,,,
AI-032-2023,智能健康监测系统,V1.2,阿里健康,2023-08-20,阿里巴巴健康,阿里巴巴健康,是,医疗健康,China Medical News,https://www.cmnews.com,2024-10-11,,,,,,,,
AI-038-2023,城市垃圾智能分类系统,V2.0,环卫科技,2023-07-15,环卫有限公司,环卫有限公司,是,环境管理,Eco Green News,https://www.ecogreennews.com,2024-10-11,,,,,,,,
AI-045-2023,精准医疗决策支持系统,V1.1,华大基因,2023-09-05,华大基因科技,华大基因科技,是,医疗健康,Genetic Research Journal,https://www.geneticresearchjournal.com,2024-10-11,,,,,,,,
AI-004-2023,工业生产监控AI系统,V1.0,中兴通讯,2023-06-30,中兴智能科技,中兴智能科技,是,工业自动化,ZTE News,https://www.zte.com.cn,2024-10-11,,,,,,,,
AI-009-2023,智能金融风控助手,V1.3,平安科技,2023-10-01,平安金融,平安金融,是,金融服务,Financial Times,https://www.ft.com,2024-10-11,,,,,,,,
AI-012-2023,在线考试智能评估系统,V1.0,腾讯教育,2023-08-15,腾讯科技,腾讯科技,是,教育行业,EdTech Review,https://www.edtechreview.com,2024-10-11,,,,,,,,
AI-015-2023,智能法律文书生成系统,V1.0,法大大,2023-09-12,法大大法律科技,法大大法律科技,是,法律服务,LegalTech Insights,https://www.legaltechinsights.com,2024-10-11,,,,,,,,
AI-021-2023,企业智能优化系统,V1.1,阿里云,2023-07-25,阿里云计算,阿里云计算,是,企业管理,TechCrunch,https://www.techcrunch.com,2024-10-11,,,,,,,,
AI-027-2023,智能气候预测系统,V1.0,中国气象局,2023-10-10,气象科技研发,气象科技研发,是,气象服务,Meteorological Institute,https://www.cma.gov.cn,2024-10-11,,,,,,,,
AI-032-2023,无人机智能监控系统,V2.0,大疆创新,2023-06-05,大疆科技,大疆科技,是,无人机技术,DroneTech Magazine,https://www.dronetechmagazine.com,2024-10-11,,,,,,,,
AI-036-2023,智能金融助手,V1.2,腾讯,2023-08-15,腾讯金融,腾讯金融,是,金融服务,Tencent News,https://news.tencent.com/,2024-10-11,,,,,,,,
AI-045-2023,AI心理健康助手,V1.0,字节跳动,2023-05-22,字节跳动心理健康科技,字节跳动,是,心理健康,People's Daily,http://www.people.com.cn/,2024-10-11,,,,,,,,
AI-053-2023,AI营养计划助手,V1.1,海尔,2023-06-10,海尔健康科技,海尔,是,食品健康,Health Times,http://www.healthtimes.com/,2024-10-11,,,,,,,,
AI-045-2023,智能安全监控系统,V2.0,华为,2023-07-01,华为技术,华为技术,是,安全监控,Global Times,https://www.globaltimes.cn/,2024-10-11,,,,,,,,
AI-072-2023,智能城市管理系统,V1.3,阿里巴巴,2023-09-10,阿里城市,阿里巴巴,是,城市管理,China Daily,http://www.chinadaily.com.cn/,2024-10-11,,,,,,,,
AI-118-2023,智能物流优化系统,V1.0,顺丰,2023-10-05,顺丰科技,顺丰科技,是,物流,Logistics Network,https://www.logisticsnetwork.com/,2024-10-11,,,,,,,,
AI-033-2023,AI远程医疗咨询系统,V1.0,美团,2023-06-20,美团医疗,美团,是,医疗健康,China Health Review,http://www.chinahealthreview.com/,2024-10-11,,,,,,,,
AI-091-2023,智能环保监测系统,V1.0,中科院,2023-11-01,中科院环境科技,中科院,是,环保监测,Environmental Protection Journal,http://www.epjournal.com/,2024-10-11,,,,,,,,
AI-054-2023,社交媒体监测助手,V1.0,新浪,2023-10-15,新浪科技,新浪,否,社交网络,TechNode,https://technode.com/,2024-10-11,,,,,,,,
AI-007-2023,AI语言翻译助手,V1.0,百度,2023-09-20,百度翻译,百度,是,语言翻译,Baidu Blog,http://blog.baidu.com/,2024-10-11,,,,,,,,
AI-062-2023,智能社交推荐系统,V1.5,腾讯,2023-08-12,腾讯科技,腾讯科技,是,社交媒体,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-039-2023,AI语音识别助手,V1.0,科大讯飞,2023-09-05,科大讯飞,科大讯飞,是,语音处理,CSDN,https://www.csdn.net/,2024-10-11,,,,,,,,
AI-084-2023,智能健身教练,V1.1,阿里健康,2023-09-20,阿里健康科技,阿里健康,是,健身与健康,China Daily,https://www.chinadaily.com.cn/,2024-10-11,,,,,,,,
AI-003-2023,多语言翻译平台,V2.0,百度翻译,2023-04-22,百度在线,百度在线,是,语言处理,Baidu Blog,https://www.baidu.com/,2024-10-11,,,,,,,,
AI-007-2023,智能金融分析工具,V1.2,平安科技,2023-08-30,平安科技,平安科技,是,金融服务,Financial Times,https://www.ft.com/,2024-10-11,,,,,,,,
AI-014-2023,自动化客服机器人,V1.3,字节跳动,2023-10-01,字节跳动科技,字节跳动科技,是,客户服务,TechNode,https://technode.com/,2024-10-11,,,,,,,,
AI-021-2023,智能零售分析平台,V2.1,京东科技,2023-09-15,京东集团,京东集团,否,零售,Retail Dive,https://www.retaildive.com/,2024-10-11,,,,,,,,
AI-033-2023,精准医疗分析系统,V1.4,华大基因,2023-10-10,华大基因,华大基因,是,医疗健康,Gene Tech,https://www.genetech.com/,2024-10-11,,,,,,,,
AI-042-2023,智能制造优化系统,V1.7,海尔,2023-07-05,海尔集团,海尔集团,是,制造业,Manufacturing Today,https://www.manufacturingtoday.com/,2024-10-11,,,,,,,,
AI-058-2023,智能能源管理系统,V1.8,华能集团,2023-08-05,华能科技,华能科技,是,能源管理,Energy Today,https://www.energytoday.com/,2024-10-11,,,,,,,,
AI-065-2023,智能健康监测系统,V1.0,华为,2023-08-15,华为健康科技,华为健康科技,是,医疗健康,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-072-2023,自然语言处理助手,V1.5,腾讯,2023-09-01,腾讯科技,腾讯科技,是,信息处理,GitHub,https://github.com/,2024-10-11,,,,,,,,
AI-089-2023,智能制造系统,V2.0,阿里巴巴,2023-06-20,阿里智能,阿里智能,是,工业自动化,CSDN,https://blog.csdn.net/,2024-10-11,,,,,,,,
AI-002-2023,在线个性化教育系统,V1.2,网易,2023-09-15,网易教育,网易教育,是,教育行业,EdSurge,https://www.edsurge.com/,2024-10-11,,,,,,,,
AI-007-2023,智能城市管理系统,V1.0,京东,2023-07-30,京东智能,京东智能,是,城市管理,UrbanTech,https://urban-tech.com/,2024-10-11,,,,,,,,
AI-003-2023,智能金融分析助手,V2.1,平安科技,2023-08-30,平安智能,平安智能,是,金融服务,Finextra,https://www.finextra.com/,2024-10-11,,,,,,,,
AI-009-2023,智能家居安全监控系统,V1.0,海康威视,2023-05-23,海康威视科技,海康威视科技,是,安全监控,Security Today,https://securitytoday.com/,2024-10-11,,,,,,,,
AI-005-2023,智能农业监测系统,V1.0,农业科技,2023-04-25,农业智能化,农业智能化,是,农业,AgFunder,https://agfunder.com/,2024-10-11,,,,,,,,
AI-006-2023,智能法律文书生成系统,V1.0,法智科技,2023-06-15,法智科技有限公司,法智科技有限公司,是,法律服务,LegalTech,https://www.legaltech.com/,2024-10-11,,,,,,,,
AI-004-2023,智能金融顾问,V1.0,阿里巴巴,2023-07-15,阿里金融,阿里金融,是,金融服务,新华网,https://www.xinhuanet.com/,2024-10-11,,,,,,,,
AI-008-2023,智能医疗影像分析系统,V1.2,华为,2023-08-05,华为健康科技,华为健康科技,是,医疗健康,新浪科技,https://tech.sina.com.cn/,2024-10-11,,,,,,,,
AI-010-2023,个性化学习引擎,V1.0,百度教育,2023-06-15,百度教育科技,百度教育科技,是,教育行业,教育部,http://www.moe.gov.cn/,2024-10-11,,,,,,,,
AI-012-2023,智能城市管理平台,V1.0,腾讯,2023-05-25,腾讯科技,腾讯科技,是,城市管理,中国科学院,http://www.cas.cn/,2024-10-11,,,,,,,,
AI-012-2023,金融信贷智能审核系统,V1.0,平安集团,2023-09-01,平安金融,平安金融,是,金融服务,网易财经,https://money.163.com/,2024-10-11,,,,,,,,
AI-045-2023,智能语音助手,V2.1,科大讯飞,2023-04-18,科大讯飞科技,科大讯飞科技,是,智能语音,CSDN,https://www.csdn.net/,2024-10-11,,,,,,,,
AI-091-2023,快速内容生成工具,V1.0,字节跳动,2023-10-20,字节跳动科技,字节跳动科技,是,内容生成,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-023-2023,安防监控智能分析系统,V1.3,海康威视,2023-08-22,海康威视科技,海康威视科技,是,安防监控,人民网,http://www.people.com.cn/,2024-10-11,,,,,,,,
AI-078-2023,AI教学辅导系统,V1.0,好未来,2023-09-15,好未来科技,好未来科技,是,教育行业,教育部,http://www.moe.gov.cn/,2024-10-11,,,,,,,,
AI-056-2023,智能财务分析系统,V1.0,阿里巴巴,2023-08-12,阿里财务,阿里财务,是,财务管理,AI China,https://www.aichina.com,2024-10-11,,,,,,,,
AI-034-2023,智能医疗预约系统,V1.0,平安医疗,2023-09-05,平安科技,平安科技,是,医疗健康,中国医疗网,https://www.chinamedical.com,2024-10-11,,,,,,,,
AI-087-2023,智能节能管理系统,V1.0,国家能源部,2023-10-01,国家能源部,国家能源部,是,能源管理,新华网,https://www.xinhuanet.com,2024-10-11,,,,,,,,
AI-004-2023,精准扶贫智能助手,V1.0,中兴通讯,2023-10-15,中兴科技,中兴科技,是,社会服务,人民日报,https://www.people.com.cn,2024-10-11,,,,,,,,
AI-067-2023,语音翻译助手,V2.0,腾讯,2023-09-20,腾讯科技,腾讯科技,是,翻译服务,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-007-2023,智能城市安防系统,V3.0,海康威视,2023-10-23,海康科技,海康科技,是,安全监控,中国安防网,https://www.cnas.com.cn,2024-10-11,,,,,,,,
AI-015-2023,智能商业分析系统,V1.0,京东,2023-11-01,京东科技,京东科技,是,商业分析,数据分析网,https://www.dataanalysis.com,2024-10-11,,,,,,,,
AI-021-2023,自动化仓储管理系统,V1.0,顺丰,2023-11-15,顺丰科技,顺丰科技,是,物流管理,物流与供应链网,https://www.logistics.com,2024-10-11,,,,,,,,
AI-034-2023,智能农业监控系统,V2.0,农业科技部,2023-12-01,农业技术研究院,农业技术研究院,是,农业监控,现代农业网,https://www.modernagriculture.com,2024-10-11,,,,,,,,
AI-049-2023,智能语言学习平台,V2.0,网易,2023-12-15,网易教育,网易教育,是,教育行业,教育科技网,https://www.edutech.com,2024-10-11,,,,,,,,
AI-053-2023,AI心理健康助手,V1.0,腾讯,2023-05-15,腾讯医疗,腾讯医疗,是,心理健康,ChinaTechNews,https://www.chinatechnews.com/,2024-10-11,,,,,,,,
AI-062-2023,工业智能监控系统,V2.1,华为,2023-08-12,华为技术,华为技术,是,工厂自动化,TechCrunch,https://techcrunch.com/,2024-10-11,,,,,,,,
AI-077-2023,智能法律咨询系统,V1.0,阿里巴巴,2023-09-01,阿里法务,阿里法务,是,法律服务,LegalTechNews,https://www.legaltechnews.com/,2024-10-11,,,,,,,,
AI-085-2023,智能气象预报系统,V1.5,气象局,2023-06-22,国家气象局,国家气象局,是,气象服务,CCTV,https://www.cctv.com/,2024-10-11,,,,,,,,
AI-092-2023,智能健身教练系统,V3.0,小米科技,2023-06-15,小米健身,小米健身,是,健身健康,Fitness Magazine,https://fitnessmagazine.com/,2024-10-11,,,,,,,,
AI-007-2023,政府服务智能平台,V2.0,政府数字化办公室,2023-07-10,国家数字化办,国家数字化办,是,政府服务,GovTech,https://www.govtech.com/,2024-10-11,,,,,,,,
AI-013-2023,社交媒体智能分析系统,V1.0,字节跳动,2023-07-25,字节分析,字节分析,是,市场营销,MarketingLand,https://marketingland.com/,2024-10-11,,,,,,,,
AI-021-2023,智慧城市管理系统,V1.0,南方科技大学,2023-08-05,南方科技,南方科技,是,城市管理,SmartCitiesWorld,https://www.smartcitiesworld.net/,2024-10-11,,,,,,,,
AI-034-2023,自动化仓储系统,V1.2,京东,2023-09-12,京东物流,京东物流,是,物流管理,Logistics Management,https://www.logisticsmgmt.com/,2024-10-11,,,,,,,,
AI-048-2023,个性化推荐系统,V1.0,网易,2023-09-20,网易云推荐,网易云推荐,是,电商服务,Ecommerce Nation,https://ecommercenation.com/,2024-10-11,,,,,,,,
AI-056-2023,个性化健康管理系统,V1.0,阿里健康,2023-08-15,阿里巴巴健康,阿里巴巴健康,是,医疗健康,人民网,http://www.people.com.cn/,2024-10-11,,,,,,,,
AI-062-2023,智能金融分析师,V1.2,中金公司,2023-04-20,中金金融,中金金融,是,金融服务,新华财经,http://www.xinhuanet.com/finance/,2024-10-11,,,,,,,,
AI-075-2023,语言学习助手,V1.1,网易教育,2023-05-10,网易科技,网易科技,是,教育行业,百度教育,https://edu.baidu.com/,2024-10-11,,,,,,,,
AI-082-2023,城市安全监控系统,V1.0,海康威视,2023-06-25,海康科技,海康科技,是,公共安全,科技日报,http://www.stdaily.com/,2024-10-11,,,,,,,,
AI-094-2023,智能制造调度系统,V2.1,华为,2023-03-22,华为技术,华为技术,是,工业制造,工业日报,http://www.gongye.com/,2024-10-11,,,,,,,,
AI-004-2023,智能翻译系统,V1.0,腾讯翻译,2023-07-05,腾讯科技,腾讯科技,是,语言服务,南方周末,http://www.infzm.com/,2024-10-11,,,,,,,,
AI-007-2023,智慧城市平台,V3.0,深圳市科技局,2023-09-01,深圳市科技局,深圳市科技局,否,智慧城市,人民日报,http://www.people.com.cn/,2024-10-11,,,,,,,,
AI-012-2023,情感分析系统,V1.0,字节跳动,2023-08-20,字节跳动科技,字节跳动科技,是,商业智能,澎湃新闻,https://www.thepaper.cn/,2024-10-11,,,,,,,,
AI-019-2023,智能语音助手,V1.1,科大讯飞,2023-08-10,科大讯飞科技,科大讯飞科技,是,通信服务,网易新闻,https://news.163.com/,2024-10-11,,,,,,,,
AI-024-2023,智能家居安防系统,V1.3,美的,2023-07-15,美的集团,美的集团,是,家居生活,搜狐科技,https://www.sohu.com/,2024-10-11,,,,,,,,
AI-031-2023,智能法庭助理,V2.0,阿里巴巴集团,2023-06-15,阿里法务,阿里法务,是,法律服务,TechNode,https://technode.com/,2024-10-11,,,,,,,,
AI-036-2023,智能健康跟踪器,V1.2,华为技术有限公司,2023-08-01,华为健康科技,华为健康科技,是,医疗健康,Sina Technology,https://tech.sina.com.cn/,2024-10-11,,,,,,,,
AI-045-2023,智慧零售解决方案,V3.0,京东科技,2023-05-25,京东商业智能,京东商业智能,是,商业零售,Forbes China,https://www.forbeschina.com/,2024-10-11,,,,,,,,
AI-052-2023,城市智能监控系统,V2.1,大华股份,2023-09-05,大华安防科技,大华安防科技,否,公共安全,光明日报,https://www.gmw.cn/,2024-10-11,,,,,,,,
AI-057-2023,智能气象预测系统,V1.0,中国气象局,2023-07-20,中国气象服务,中国气象服务,是,环境监测,Science and Technology Daily,http://www.stdaily.com/,2024-10-11,,,,,,,,
AI-002-2023,企业智能财务管理系统,V2.2,金蝶软件,2023-02-18,金蝶企业软件,金蝶企业软件,是,金融服务,大众日报,http://www.dzrb.com/,2024-10-11,,,,,,,,
AI-005-2023,智能客户关系管理系统,V3.0,腾讯,2023-03-30,腾讯云服务,腾讯云服务,是,商业管理,TechWeb,https://www.techweb.com.cn/,2024-10-11,,,,,,,,
AI-007-2023,人工智能内容创作助手,V1.1,今日头条,2023-04-25,字节跳动,字节跳动,是,媒体与内容,36Kr,https://36kr.com/,2024-10-11,,,,,,,,
