试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
AI驱动的房地产市场预测模型,,智能房地产分析助手,房地产,企业,Zillow,学术机构,哥伦比亚大学,市场研究,已完成,2,北美,加拿大,2022-09-15,2022-12-01,2023-05-30,2023-11-20,包括市场趋势分析、客户数据挖掘,Real Estate Insights,https://www.realestateinsights.com,2024-10-10,
智能语言学习系统开发,,多语种学习助手,语言教育,企业,Duolingo,大学,牛津大学,教育研究,招募中,1,欧洲,英国,2023-07-10,2023-09-15,2024-03-30,2024-09-15,包括语法分析、互动学习,EdTech Review,https://edtechreview.in,2024-10-10,
人工智能驱动的气候变化预测,,气候AI预测系统,气候科学,政府,美国环境保护局,科研机构,国家气候数据中心,理论研究,招募中,1,北美,美国,2023-08-01,2023-10-01,2025-08-30,2024-10-20,包括数据采集及模型构建,EPA,https://www.epa.gov,2024-10-10,
社交媒体情感分析系统研究,,AI社交情绪监测,社会媒体分析,企业,Buffer,大学,洛杉矶大学,应用研究,招募中,1,北美,美国,2023-07-22,2023-09-10,2024-10-15,2024-11-01,包括语义分析、用户行为监测,MarketingProfs,https://www.marketingprofs.com,2024-10-10,
AI辅助的在线心理健康咨询,,心理健康助手,心理健康,企业,BetterHelp,科研机构,哈佛医学院,应用研究,招募中,1,北美,美国,2023-08-18,2023-10-01,2024-12-15,2024-10-10,包括情感监测、自动化反馈,Mental Health Resources,https://www.mentalhealthresources.com,2024-10-10,
自动驾驶汽车安全性研究,,自动驾驶AI系统,汽车工程,企业,特斯拉,大学,加州大学伯克利分校,安全研究,进行中,1,北美,美国,2023-09-12,2023-11-01,2025-01-30,2024-09-30,包括传感器集成、实时监控,Engineering News,https://www.engineeringnews.com,2024-10-10,
区块链在医疗数据管理中的应用,,医疗数据区块链系统,医疗健康,企业,IBM,大学,斯坦福大学,技术开发,招募中,1,北美,美国,2023-08-01,2023-09-15,2024-06-30,2024-10-05,包括数据加密、身份验证机制和用户交互,Harvard University,https://www.hbs.edu,2024-10-10,
人工智能辅助的气候变化研究,,气候监测AI系统,环境科学,科研机构,国家气象局,企业,微软,应用研究,进行中,1,欧洲,瑞士,2023-07-10,2023-08-20,2024-12-15,2024-11-01,包括数据收集、分析模型和预测工具,Climate Central,https://www.climatecentral.org,2024-10-10,
基于AI的语言处理系统开发,Shandong-ZuoZhe-20241023 S0006,智能翻译助手,信息技术,企业,百度,大学,清华大学,应用研究,招募中,1,亚洲,中国,2023-09-15,2023-10-10,2025-03-31,2024-10-15,包括深度学习、语义分析和人机交互,CNBC,https://www.cnbc.com,2024-10-10,
人工智能在个性化教育中的应用,Hubei-YunXing-20241024 S0007,个性化学习系统,教育行业,企业,阿里巴巴,学校,复旦大学,教育研究,进行中,2,亚洲,中国,2023-06-20,2023-07-15,2025-01-01,2024-09-01,包括学习路径捕捉、评估和反馈机制,EDUCAUSE,https://www.educause.edu,2024-10-10,
智能农业决策支持系统研究,Anhui-XingFu-20241025 S0008,农业数据分析平台,农业,政府,农业科技部,企业,字节跳动,应用研究,已完成,2,亚洲,中国,2022-05-05,2022-06-15,2023-05-10,2023-12-01,包括气象数据分析、土壤质量监测和作物预测,The Economist,https://www.economist.com,2024-10-10,
AI在城市规划中的应用,,智能城市规划系统,城市管理,政府,城市发展部,大学,慕尼黑工业大学,技术开发,招募中,1,欧洲,德国,2023-10-05,2023-11-01,2024-12-31,2024-09-30,包括数据建模、可视化和预测分析,Urban Studies,https://www.tandfonline.com/journals/rurb20,2024-10-10,
智能零售管理系统实验,,零售智能助手,零售,企业,沃尔玛,大学,纽约大学,商业研究,进行中,1,北美,美国,2023-03-15,2023-04-20,2024-07-10,2024-10-15,包括客户数据分析、库存管理和销售预测,Retail Dive,https://www.retaildive.com,2024-10-10,
基于AI的社交媒体情感分析,,社交媒体分析平台,市场营销,企业,Facebook,科研机构,麻省理工学院,应用研究,招募中,1,北美,美国,2023-04-01,2023-05-05,2024-08-01,2024-09-10,包括文本分析、用户行为分析和趋势预测,Marketing Week,https://www.marketingweek.com,2024-10-10,
基于AI的早期癌症检测技术研究,,癌症筛查助手,医疗健康,企业,辉瑞,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-09-01,2024-01-10,2024-12-01,2024-10-01,包括数据分析、影像处理与机器学习,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
AI驱动的老年痴呆症监测系统开发,,智能记忆助手,医疗健康,科研机构,麻省理工学院,企业,英特尔,技术开发,进行中,1,北美,美国,2023-06-15,2023-08-01,2024-07-01,2024-10-02,包括实时监測、数据分析和用户交互,NIA,https://www.nia.nih.gov,2024-10-10,
智能邮件分类与响应系统研究,Shaanxi-HuaZhong-20241031 S0014,邮件智能助手,信息技术,企业,微软,研究机构,中国科学院,应用研究,已完成,2,亚洲,中国,2023-03-01,2023-05-01,2023-09-15,2023-10-01,包括邮件分析与调整响应策略,TechCrunch,https://www.techcrunch.com,2024-10-10,
智能能源管理系统实验,Guangxi-ShengXing-20241101 S0015,智能电网助手,能源,企业,国家电网公司,大学,清华大学,应用研究,招募中,1,亚洲,中国,2023-08-01,2023-10-01,2024-03-01,2024-09-10,包括负载预测、能耗监测与优化措施,Energy Watch,https://www.energywatch.com,2024-10-10,
基于AI的顾客行为分析系统实验,Yunnan-ZhiHui-20241102 S0016,顾客分析助手,商业管理,企业,阿里巴巴,大学,复旦大学,市场研究,进行中,1,亚洲,中国,2023-05-25,2023-07-01,2024-06-01,2024-10-03,包括数据挖掘、行为预测和个性化推送,Business Insider,https://www.businessinsider.com,2024-10-10,
智能医疗记录分析与预测系统,Fujian-SuShi-20241103 S0017,医疗记录助手,医疗健康,企业,腾讯,科研机构,中国医学科学院,技术开发,招募中,1,亚洲,中国,2023-02-28,2023-03-15,2024-02-15,2024-09-05,包括自然语言处理、数据聚合与分析,Health Affairs,https://www.healthaffairs.org,2024-10-10,
基于AI的气候变化预测系统实验,,气候预测助手,环境科学,政府,环保署,研究机构,瑞士联邦理工学院,基础研究,进行中,1,欧洲,瑞士,2023-04-15,2023-06-15,2024-05-15,2024-10-05,包括模型生成、数据分析和可视化,Nature,https://www.nature.com,2024-10-10,
机器人与人类互动研究,Jilin-QingKe-20241105 S0019,智能助手机器人,机器人技术,企业,亚马逊,大学,东京大学,应用研究,招募中,1,亚太地区,日本,2023-01-15,2023-03-01,2024-02-01,2024-09-09,包括语言识别、传感技术与交互设计,IEEE Spectrum,https://spectrum.ieee.org,2024-10-10,
AI在老年护理中的应用,Ningxia-JiZhi-20241106 S0020,老年人智能护理助手,医疗健康,企业,阿里健康,大学,北京师范大学,临床研究,招募中,1,亚洲,中国,2023-06-15,2023-07-01,2024-06-30,2024-10-01,包括健康监测、情感支持和日常管理,HealthTech,https://www.healthtech.com,2024-10-10,
AI在零售行业的应用研究,,智能零售助手,商业零售,企业,亚马逊,研究机构,斯坦福大学,市场研究,已完成,2,北美,美国,2022-08-10,2022-09-01,2023-05-15,2023-09-12,包括顾客分析、库存管理和销售预测,Forrester Research,https://go.forrester.com,2024-10-10,
智能农业监控系统研究,Guangdong-HuaWei-20241019 S0003,农业智能监控平台,农业,科研机构,中国农业科学院,企业,阿里农业,技术开发,招募中,1,亚洲,中国,2023-07-05,2023-08-01,2024-05-01,2024-10-01,包括作物监测、气象分析和数据可视化,AgFunder Network Partners,https://agfunder.com,2024-10-10,
智能语音助手在教育中的应用,Zhejiang-BaiDu-20241021 S0004,学习语音助手,教育行业,企业,百度,学校,复旦大学,教育研究,招募中,1,亚洲,中国,2023-04-15,2023-06-01,2024-03-30,2024-09-20,包括语音识别、个性化学习与互动反馈,EdSurge,https://www.edsurge.com,2024-10-10,
人工智能在心理健康中的应用,Henan-JunJian-20241022 S0005,智能心理咨询系统,心理健康,企业,腾讯,大学,上海交通大学,应用研究,已完成,2,亚洲,中国,2023-03-25,2023-05-15,2023-12-15,2024-09-10,包括情感分析、在线咨询和数据安全,Psychology Today,https://www.psychologytoday.com,2024-10-10,
智能法律顾问的开发,,法律智能助理,法律服务,企业,律法科技,机构,法学院,技术开发,招募中,1,欧洲,法国,2023-08-30,2023-09-15,2024-06-15,2024-11-01,包括合规审核、合同分析和法律研究,Legal Tech News,https://www.legaltechnews.com,2024-10-10,
人工智能增强现实应用研究,,AR智能平台,游戏娱乐,企业,Nvidia,大学,加州大学洛杉矶分校,技术开发,已完成,2,北美,美国,2023-01-12,2023-02-01,2023-11-20,2023-09-20,包括图形处理、用户互动和环境模拟,TechCrunch,https://techcrunch.com,2024-10-10,
智能能源管理系统开发,,能源智能助手,能源管理,政府,能源部,企业,施耐德电气,应用研究,招募中,1,欧洲,德国,2023-04-20,2023-05-15,2024-01-05,2024-10-01,包括用电监测、需求预测和优化控制,EU Commission,https://ec.europa.eu,2024-10-10,
智能环境监测系统研究,Jiangxi-QiXiang-20241026 S0009,环保智能监测平台,环境保护,政府,环境部,科研机构,中国科学院,应用研究,招募中,1,亚洲,中国,2023-05-25,2023-06-20,2024-03-01,2024-09-15,包括空气质量监测、数据分析和趋势预测,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-10,
物联网在智能城市中的应用研究,Liaoning-YuanChuang-20241027 S0010,城市智联系统,城市管理,政府,新加坡城市发展局,企业,阿里巴巴,应用研究,招募中,1,亚洲,新加坡,2023-03-22,2023-06-01,2024-05-01,2024-10-01,包括流量监测、公共设施管理等,SmartCity.gov,https://www.smartcity.gov.sg/,2024-10-10,
基于AI的个性化健康管理,,智能健康管理系统,医疗健康,企业,IBM,医院,梅奥诊所,临床研究,招募中,2,北美,美国,2023-04-12,2023-08-10,2025-02-20,2024-11-01,包括数据分析、健康监测和用户反馈,HealthTech Insights,https://www.healthtechinsights.com/,2024-10-10,
AI驱动的个性化学习平台开发,,AI教育助手,教育行业,企业,EduTech Solutions,研究机构,剑桥大学,技术开发,已完成,1,欧洲,英国,2022-12-05,2023-02-01,2023-12-01,2024-06-30,包括课程推荐、学习路径设计,EdTechReview,https://edtechreview.in/,2024-10-10,
人工智能在气候变化研究中的应用,,气候预测AI,环境科学,科研机构,NASA,大学,斯坦福大学,基础研究,招募中,1,北美,美国,2023-01-28,2023-04-01,2024-04-01,2024-07-15,包括气候模拟、数据分析,NASA Research,https://www.nasa.gov/,2024-10-10,
智能制造系统优化研究,,AI制造助手,制造业,企业,西门子,企业,福特汽车,应用研究,招募中,1,欧洲,德国,2023-04-25,2023-06-15,2025-01-30,2024-10-20,包括生产监测、质量控制和数据分析,IndustryWeek,https://www.industryweek.com/,2024-10-10,
深度学习在金融市场分析中的应用,Guangxi-ShengXing-20241101 S0015,金融AI分析系统,金融服务,企业,摩根士丹利,大学,东京大学,应用研究,招募中,1,亚洲,日本,2023-05-10,2023-08-01,2024-07-15,2024-09-30,包括数据挖掘、市场预测和风险评估,FinTechNews,https://fintechnews.com/,2024-10-10,
AI驱动的个性化金融服务研究,,智能金融顾问,金融服务,企业,花旗银行,科研机构,亚利桑那大学,应用研究,进行中,3,北美,美国,2023-06-05,2023-09-01,2025-06-15,2024-12-01,包括客户关系管理、个性化推荐,American Banker,https://www.americanbanker.com/,2024-10-10,
人工智能在自然语言处理中的应用研究,Fujian-SuShi-20241103 S0017,NLP助手,信息技术,企业,微软,大学,复旦大学,技术开发,进行中,1,亚洲,中国,2023-02-28,2023-05-15,2024-06-30,2024-09-01,包括语音识别、文本生成和情感分析,AI Research Journal,https://www.airesearchjournal.com/,2024-10-10,
人工智能在药物研发中的应用,,AI药物发现平台,制药,企业,辉瑞,大学,斯坦福大学,基础研究,招募中,1,北美,美国,2023-09-01,2023-10-15,2024-06-01,2024-10-01,结合机器学习和生物信息学,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
智能气候监测系统研究,Jilin-QingKe-20241105 S0019,AI气候助手,环境保护,政府,环保署,企业,阿里巴巴,应用研究,进行中,2,亚洲,中国,2023-03-20,2023-04-25,2024-12-31,2024-10-01,包括传感器网络、数据分析和绿色技术,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-10,
智能教育系统应用实验,,个性化学习助手,教育行业,企业,Khan Academy,学校,剑桥大学,教育研究,招募中,1,欧洲,英国,2023-08-05,2023-09-10,2024-05-20,2024-09-20,集成个性化学习和智能推荐系统,EdTech Magazine,https://edtechmagazine.com/,2024-10-10,
智能健康监测系统研究,Sichuan-XinTian-20241020 S0002,AI健康监测系统,医疗健康,企业,IBM,科研机构,国家卫健委,临床研究,招募中,1,亚洲,中国,2023-06-15,2023-07-20,2024-04-30,2024-10-01,集成生物监测和数据分析,Nature,https://www.nature.com/,2024-10-10,
智能城市管理实验,Guangdong-HuaWei-20241019 S0003,城市智能管理平台,城市规划,地方政府,上海市政府,企业,腾讯,应用研究,进行中,2,亚洲,中国,2023-04-05,2023-05-15,2024-11-01,2024-10-01,包括大数据分析和智能决策支持,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-10,
智能制造系统优化实验,Zhejiang-BaiDu-20241021 S0004,AI生产助手,制造业,企业,西门子,大学,东京大学,技术开发,已完成,2,亚洲,日本,2023-01-10,2023-02-15,2023-12-20,2023-09-30,包括智能设备联动和流程优化,Manufacturing.net,https://www.manufacturing.net/,2024-10-10,
智能体育分析系统实验,Henan-JunJian-20241022 S0005,AI运动分析平台,体育,机构,国际奥委会,企业,耐克,应用研究,招募中,1,全球,美国,2023-05-30,2023-07-01,2024-06-15,2024-10-01,结合实时数据分析和运动员反馈,Sports Technology,https://www.sportstechnology.com/,2024-10-10,
智能金融服务系统研究,,AI财务顾问,金融服务,企业,摩根大通,大学,芝加哥大学,应用研究,进行中,1,北美,美国,2023-08-20,2023-09-15,2024-03-30,2024-10-01,包括智能咨询和数据分析,Forbes,https://www.forbes.com/,2024-10-10,
AI在疾病诊断中的应用研究,,AI疾病识别系统,医疗健康,企业,IBM,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-06-01,2023-07-15,2024-06-01,2024-10-01,包括图像处理、数据挖掘和预后评估,Medline,https://pubmed.ncbi.nlm.nih.gov/,2024-10-10,
基于AI的个性化教育平台实验,Anhui-XingFu-20241025 S0008,智能教学助手,教育行业,企业,Khan Academy,学校,清华大学,教育研究,进行中,1,亚洲,中国,2023-05-10,2023-06-15,2024-01-10,2024-09-10,包括适应性学习、智能评估和反馈机制,Education Week,https://www.edweek.org/,2024-10-10,
智能城市管理系统研究,Jiangxi-QiXiang-20241026 S0009,智慧城市平台,城市规划,地方政府,新加坡市政府,企业,阿里巴巴,应用研究,筹备中,1,亚洲,新加坡,2023-08-01,2023-09-20,2025-01-01,2024-10-01,集成传感器、数据分析和实时监控,Smart City Journal,https://www.smartcityjournal.com/,2024-10-10,
AI驱动的气候变化分析系统,,气候智能引擎,环境科学,科研机构,世界气象组织,大学,伦敦大学学院,政策研究,招募中,1,国际,瑞士,2023-03-15,2023-04-20,2025-06-30,2024-09-15,气象数据分析、预测模型和风险评估,UN Environment Program,https://www.unep.org/,2024-10-10,
AI在网络安全中的应用实验,,智能安全防护系统,网络安全,企业,赛门铁克,科研机构,清华大学,技术开发,进行中,1,北美,美国,2023-09-01,2023-10-10,2024-05-15,2024-10-01,包含入侵检测、用户行为分析与风险管理,Cybersecurity & Infrastructure Security Agency,https://www.cisa.gov/,2024-10-10,
AI在交通优化中的应用,,智能交通调度系统,交通运输,地方政府,洛杉矶市政府,企业,Uber,应用研究,已完成,2,北美,美国,2022-10-10,2022-12-01,2023-11-15,2023-10-01,包含流量分析、路径优化和实时监控,Transport Topics,https://www.ttnews.com/,2024-10-10,
智能农业决策支持系统实验,Tianjin-JinXing-20241030 S0013,智慧农业平台,农业,科研机构,中国农业科学院,企业,华为,技术开发,招募中,1,亚洲,中国,2023-04-20,2023-05-25,2024-04-20,2024-09-30,包括土壤分析、作物监测和决策支持,农业科技周刊,http://www.agri.gov.cn/,2024-10-10,
AI辅助金融分析系统实验,,智能金融助手,金融服务,企业,摩根士丹利,大学,纽约大学,应用研究,进行中,2,北美,美国,2023-01-25,2023-03-10,2025-02-01,2024-10-01,包括市场分析、风险评估和投资建议,Fintech Magazine,https://www.fintechmagazine.com/,2024-10-10,
人工智能在气候变化预测中的应用,,气候预测AI系统,环境科学,非营利组织,气候行动网络,大学,斯坦福大学,理论研究,招募中,1,北美,美国,2023-02-25,2023-06-01,2025-02-01,2024-09-01,包括气象数据处理、模型预测等功能,Nature,https://www.nature.com/,2024-10-10,
智能化养老系统研究,Yunnan-ZhiHui-20241102 S0016,智慧养老助手,老年护理,企业,阿里巴巴,大学,复旦大学,应用研究,进行中,1,亚洲,中国,2023-04-15,2023-07-01,2024-12-30,2024-11-01,包括健康监测、居家安全和社交互动,AI News,https://www.ainews.com/,2024-10-10,
智能建筑能源管理实验,Fujian-SuShi-20241103 S0017,能源智能管理系统,建筑工程,科研机构,清华大学,企业,腾讯,技术开发,已完成,2,亚洲,中国,2023-01-20,2023-02-10,2023-12-15,2024-01-10,包括智能监控、能源分析和优化功能,Energy International,https://www.energyinternational.com/,2024-10-10,
智能法律顾问系统试验,,AI法律助手,法律服务,企业,IBM,大学,剑桥大学,应用研究,招募中,1,欧洲,英国,2023-02-15,2023-05-15,2024-12-15,2024-08-01,包括法律文书生成、案例分析和咨询服务,LegalTech,https://www.legaltech.com/,2024-10-10,
数字人类学研究实验,Jilin-QingKe-20241105 S0019,数字人类社会系统,人文学科,大学,北京大学,科研机构,中国社会科学院,理论研究,进行中,1,亚洲,中国,2023-03-10,2023-06-01,2025-03-01,2024-09-01,包括数据分析、文化挖掘和社会模拟,Anthropology Today,https://www.anthropologytoday.com/,2024-10-10,
智能人体运动分析系统,,运动智能分析助手,体育科学,企业,耐克,大学,洛杉矶大学,应用研究,招募中,1,北美,美国,2023-05-01,2023-08-01,2024-09-15,2024-10-01,包括动作捕捉、数据分析和训练优化,SportTechie,https://www.sporttechie.com/,2024-10-10,
智能语音翻译系统实验,Sichuan-XinTian-20241020 S0002,AI翻译助手,语言交流,企业,微软,科研机构,语言学研究所,技术开发,已完成,2,全球,国际,2022-12-01,2023-01-20,2023-10-20,2023-11-01,包括自然语言处理、实时翻译和用户交互,TechCrunch,https://techcrunch.com/,2024-10-10,
智能零售系统开发实验,,智能购物助手,零售行业,企业,亚马逊,大学,康奈尔大学,市场研究,招募中,1,北美,美国,2023-06-15,2023-09-01,2024-11-15,2024-10-10,包括用户行为分析、个性化推荐和库存管理,Retail Dive,https://www.retaildive.com/,2024-10-10,
人工智能在药物研发中的应用,,AI药物发现平台,制药,企业,辉瑞制药,研究机构,斯坦福大学,实验研究,进行中,1,北美,美国,2023-03-10,2023-06-15,2025-01-30,2024-11-05,包括基因组分析和蛋白质折叠预测,PubMed,https://pubmed.ncbi.nlm.nih.gov/,2024-10-10,
无人机在农业中的智能应用,Henan-JunJian-20241022 S0005,农业无人机监测系统,农业,政府,农业科技局,企业,大疆创新,应用研究,招募中,2,亚洲,中国,2023-08-12,2023-09-20,2024-11-15,2024-10-20,包括图像识别、数据分析和作物健康评估功能,Journal of Agricultural Sciences,https://www.agriculturalsciencesjournal.com/,2024-10-10,
智能制造系统优化实验,,AI制造优化平台,制造业,企业,西门子,大学,慕尼黑工大,技术开发,进行中,1,欧洲,德国,2023-02-25,2023-07-01,2024-12-31,2024-01-10,包括物联网连接、实时监测和生产优化工具,Manufacturing Technology Journal,https://www.manufacturingtechnologyjournal.com/,2024-10-10,
精准医疗的AI应用研究,Hubei-YunXing-20241024 S0007,AI精准医疗平台,医疗健康,科研机构,中国科学院,医院,协和医院,临床研究,已完成,2,亚洲,中国,2022-05-30,2022-08-01,2023-03-15,2023-09-01,包括基因组数据分析、患者健康预测,AI in Healthcare,https://www.ahealthcarejournal.com/,2024-10-10,
智能教育平台研究,Anhui-XingFu-20241025 S0008,智能教育助手,教育行业,企业,字节跳动,学校,香港科技大学,教育研究,招募中,1,亚洲,中国,2023-04-10,2023-07-15,2024-09-10,2024-08-12,包括个性化学习路径、在线评估和互动功能,EdTech Magazine,https://edtechmagazine.com/,2024-10-10,
人工智能支持的心理健康研究,Jiangxi-QiXiang-20241026 S0009,心理健康AI助手,心理健康服务,非营利组织,心理健康协会,大学,复旦大学,临床试验,进行中,1,亚洲,中国,2023-09-01,2023-10-10,2024-12-15,2024-11-20,包括情感分析、个性化干预和用户反馈分析,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
智能城市管理系统实验,Liaoning-YuanChuang-20241027 S0010,城市AI管理平台,智能城市,地方政府,上海市政府,企业,腾讯,应用研究,已完成,2,亚洲,中国,2022-12-10,2023-02-01,2023-11-30,2023-12-05,包括交通流量监测、公共安全分析和环境管理,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-10,
智能机器人土地利用研究,Beijing-ZhiNeng-20241028 S0011,土地利用AI评估系统,土地管理,科研机构,中国农业大学,企业,阿里巴巴,物联网研究,招募中,1,亚洲,中国,2023-01-22,2023-05-10,2024-04-30,2024-03-15,包括土地监测、作物预测和决策支持,Land Use Policy,https://www.journals.elsevier.com/land-use-policy,2024-10-10,
智能法律咨询系统试验,,AI法律助手,法律服务,企业,IBM,大学,斯坦福大学,技术开发,招募中,1,北美,美国,2023-03-10,2023-06-15,2024-02-28,2024-10-10,包括智能合约生成、法条查询和案件分析,Harvard Law Review,https://www.harvardlawreview.org/,2024-10-10,
智能气候监测系统实验,Tianjin-JinXing-20241030 S0013,气候智慧助手,环境科学,非营利组织,绿色和平,政府,国家气象局,应用研究,已完成,2,亚洲,印度,2022-12-05,2023-01-10,2023-11-20,2024-09-01,包括实时数据采集、气候模式分析和报警系统,World Resources Institute,https://www.wri.org/,2024-10-10,
智能零售系统优化实验,Shaanxi-HuaZhong-20241031 S0014,智能购物助手,零售,企业,阿里巴巴,科技公司,Salesforce,市场研究,招募中,1,亚洲,中国,2023-04-20,2023-07-01,2024-01-20,2024-09-20,包括销售数据分析、消费者行为预测和库存管理,TechCrunch,https://techcrunch.com/,2024-10-10,
智能能源管理系统实验,,能源优化助手,能源,企业,埃克森美孚,科研机构,清华大学,应用研究,招募中,1,北美,美国,2023-05-25,2023-08-10,2024-04-15,2024-10-01,包括能耗监测、需求响应和智能调度,Energy Information Administration,https://www.eia.gov/,2024-10-10,
