标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
AVS2,视频压缩标准,60.0,fps,10bit,超高清晰度,16:09,2022-12-15,中国,中国国家广播电视总局,http://www.nrta.gov.cn,,
H.273,视频合成标准,30.0,fps,10bit,高清晰度,16:09,2023-03-20,全球,ITU,https://www.itu.int/en,,
ITU-T H.662,音视频传输标准,30.0,fps,8bit,高画质,16:09,2023-10-01,全球,ITU,https://www.itu.int/en,,
DVB-S2,卫星数字视频广播标准,50.0,fps,10bit,超高清晰度,16:09,2022-08-01,欧洲,DVB,https://www.dvb.org,,
ITU-T H.661,下一代视频传输标准,30.0,fps,10bit,高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播地面标准,50.0,fps,8bit,高画质,16:09,2019-01-20,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体内容传输更新标准,60.0,fps,12bit,超高清晰度,21:09,2022-06-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效率视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2013-04-25,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVC-264,高清视频编码标准,59.94,fps,8bit,高清晰度,16:09,2004-06-10,全球,MPEG,https://www.mpeg.org,,
SMPTE ST 2022,媒体传输标准,60.0,fps,10bit,高品质,16:09,2016-02-15,全球,SMPTE,https://www.smpte.org,,
AVS3,中国视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2021-09-20,中国,AVS,https://www.avs.org.cn,,
H.661,新一代视频标准,24.0,fps,10bit,高画质,16:09,2023-10-10,全球,ITU,https://www.itu.int,,
EMB 4K,4K嵌套格式标准,60.0,fps,12bit,超高清晰度,16:09,2022-07-12,亚洲,EHN,https://www.ehn.org,,
HEVC-HDR,高效率视频编码HDR标准,30.0,fps,10bit,高画质,16:09,2023-01-25,全球,ITU,https://www.itu.int,,
H.266,视频编码标准VVC,120.0,fps,10bit,超高清晰度,21:09,2020-11-15,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AV1.1,开放视频编解码标准更新,60.0,fps,12bit,超高清晰度,16:09,2022-04-05,全球,Alliance for Open Media,https://aomediacodec.github.io,,
DASH-AVC,动态自适应流媒体传输标准,30.0,fps,8bit,高清晰度,16:09,2022-08-18,全球,ISO,https://www.iso.org,,
JCS 4K,4K视频编码规范,50.0,fps,12bit,超高清晰度,21:09,2023-07-15,日本,JC,https://www.jc.com,,
NAB 8K,8K视频广播标准,30.0,fps,12bit,超高清晰度,32:09,2023-05-09,北美,NAB,https://www.nab.org,,
H.264/AVC2,AVC升级标准,120.0,fps,10bit,超高清晰度,16:09,2019-06-01,全球,IEEE,https://www.ieee.org,,
SMPTE ST 2110-10,媒体流格式标准,60.0,fps,10bit,高品质,16:09,2018-12-01,全球,SMPTE,https://www.smpte.org,,
ITU-T H.661,视频传输优化标准,30.0,fps,10bit,高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
DVB-T2,第二代数字视频广播标准,50.0,fps,10bit,超高清晰度,16:09,2022-01-10,亚洲,DVB,https://www.dvb.org,,
N11,新一代视频传输标准,90.0,fps,12bit,超高清晰度,21:09,2024-04-25,全球,Digital Video Alliance,http://www.digitalvideoalliance.org,,
ITU-R BT.2100,高动态范围视频标准,60.0,fps,12bit,超高清晰度,16:09,2020-07-15,全球,ITU,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
ATSC 3.0,高级电视系统委员会标准,120.0,fps,10bit,超高清晰度,16:09,2018-11-01,北美,ATSC,https://www.atsc.org,,
HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2016-01-01,全球,ISO/IEC,https://www.iso.org/standard/67378.html,,
RFC 7991,视频流媒体传输标准,30.0,fps,10bit,高清晰度,16:09,2022-03-20,全球,IETF,https://www.ietf.org,,
AVC+,高级视频编码增强标准,60.0,fps,8bit,高清晰度,16:09,2021-11-01,欧洲,European Broadcasting Union,https://www.ebu.ch,,
ISO/IEC 23091,视频性能标准,120.0,fps,10bit,超高清晰度,21:09,2019-03-15,全球,ISO,https://www.iso.org,,
SMPTE ST 2094,动态范围简要标准,60.0,fps,10bit,超高清晰度,16:09,2021-10-24,全球,SMPTE,https://www.smpte.org,,
AVC-HR,高效视频编码高清标准,30.0,fps,8bit,高清晰度,16:09,2022-02-10,亚洲,Japan Broadcasting Corporation,https://www.nhk.or.jp,,
HEVC-Enhanced,增强型高效视频编码标准,90.0,fps,12bit,超高清晰度,21:09,2023-05-30,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ISO/IEC 15838,视频内容传输队列标准,60.0,fps,10bit,超高清晰度,21:09,2022-08-15,全球,ISO,https://www.iso.org,,
AVS3,第三代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2023-01-20,中国,国家标准化管理委员会,http://www.sac.gov.cn,,
ITU-R BT.2020,色域和图像标准,60.0,fps,10bit,超高清晰度,21:09,2015-08-30,全球,ITU,https://www.itu.int,,
EVC,增强视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,European Telecommunications Standards Institute,https://www.etsi.org,,
ITU-T H.661,新一代视频传输标准,30.0,fps,10bit,高画质,16:09,2024-01-15,全球,ITU,https://www.itu.int/en/ITU-T,,
DVB-S2X,卫星视频广播标准,50.0,fps,12bit,超高清晰度,16:09,2023-07-01,全球,DVB,https://www.dvb.org,,
IEC 61937,多媒体内容传输标准,70.0,fps,12bit,超高清晰度,16:09,2022-12-01,全球,IEC,https://www.iec.ch,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-10-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.267/HEVC2,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2025-03-15,全球,ITU,https://www.itu.int/en/ITU-T,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,10bit,超高清晰度,16:09,2021-06-01,全球,SMPTE,https://www.smpte.org,,
AVS3,音频视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2023-05-01,中国,中国国家标准化管理委员会,http://www.sac.gov.cn,,
ETSI TS 103 433,视频广播标准,50.0,fps,10bit,高画质,16:09,2022-11-01,欧洲,ETSI,https://www.etsi.org,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-02-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ISO/IEC 23008-2,视频编码及传输标准,30.0,fps,10bit,高清晰度,16:09,2023-09-15,全球,ISO,https://www.iso.org,,
CIE 1931,视频颜色标准,60.0,fps,10bit,高画质,16:09,2023-02-01,全球,CIE,https://cie.co.at,,
ISO/IEC 4970,音视频媒体标准,120.0,fps,12bit,超高清晰度,21:09,2024-05-20,全球,ISO,https://www.iso.org,,
DASH-AVC,动态自适应流媒体标准,50.0,fps,10bit,高画质,16:09,2021-11-01,全球,MPEG,https://mpeg.chiariglione.org,,
H.263,视频编码标准,30.0,fps,8bit,标准清晰度,4:3,1996-06-01,全球,ITU,https://www.itu.int/en/ITU-T,,
AVS3-PH,视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2025-04-10,中国,中国国家标准化管理委员会,http://www.sac.gov.cn,,
HEVC Main10,高清视频编码标准,60.0,fps,10bit,高画质,16:09,2023-04-01,全球,ITU,https://www.itu.int/en/ITU-T,,
SMPTE ST 2110-30,专业视频流标准,60.0,fps,10bit,高画质,16:09,2023-05-07,全球,SMPTE,https://www.smpte.org,,
ITU-T H.765,超高清视频传输标准,60.0,fps,12bit,超高清晰度,16:09,2023-06-01,全球,ITU,https://www.itu.int,,
DVB-S2X,第二代数字视频广播标准,30.0,fps,10bit,高清晰度,16:09,2022-10-15,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体交互标准,50.0,fps,12bit,超高清晰度,21:09,2021-08-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,超高清晰度,16:09,2013-01-01,全球,ITU,https://www.itu.int,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,10bit,高品质,16:09,2014-09-01,全球,SMPTE,https://www.smpte.org,,
AVS3,中国视频编解码标准,120.0,fps,10bit,超高清晰度,16:09,2022-05-01,中国,中国音像与数字出版协会,http://www.caj.com.cn,,
H.667/FVC,未来视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2025-12-01,全球,ITU,https://www.itu.int,,
HFR-120,高帧率视频传输标准,120.0,fps,10bit,超高清晰度,16:09,2024-10-10,全球,国际数字电视联盟,https://www.itu.int,,
ISO/IEC 21000,媒体内容描述标准,25.0,fps,8bit,高清晰度,16:09,2016-01-01,全球,ISO,https://www.iso.org,,
DVB-T2,二代数字视频广播地面接收标准,30.0,fps,8bit,高清晰度,16:09,2022-03-15,欧洲,DVB,https://www.dvb.org,,
H.264/AVC,标准化视频编码通用标准,30.0,fps,8bit,高清晰度,16:09,2005-06-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
CAVS 2.0,中国视频编码标准2.0,50.0,fps,10bit,高清晰度,16:09,2021-11-01,中国,中国音像与数字出版协会,http://www.caj.com.cn,,
H.265/HEVC,高效视频编解码标准,60.0,fps,10bit,超高清晰度,21:09,2014-09-01,全球,ITU,https://www.itu.int,,
AV1,开放视频编码标准V1,120.0,fps,10bit,超高清晰度,16:09,2018-01-31,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
H.366,下一代视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2025-01-15,全球,ITU,https://www.itu.int,,
IEEE 1857.3,高效视频编解码标准3,120.0,fps,12bit,超高清晰度,21:09,2023-09-01,全球,IEEE,https://www.ieee.org,,
ITU-T H.661,超高清视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播第二代标准,50.0,fps,10bit,高清晰度,16:09,2020-12-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体信息传递标准,30.0,fps,12bit,高画质,4:3,2022-07-08,全球,ISO,https://www.iso.org,,
HEVC,高效视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2021-05-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies,,
AVC,高级视频编码标准,30.0,fps,8bit,高清晰度,16:09,2019-03-20,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
SMPTE ST 2022,实时媒体流标准,60.0,fps,10bit,高品质,16:09,2016-11-01,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码新标准,60.0,fps,12bit,超高清晰度,16:09,2022-06-01,中国,中国信息产业部,https://www.miit.gov.cn,,
JPEG XS,超压缩视频编码标准,120.0,fps,10bit,高画质,16:09,2023-01-15,全球,JPEG,https://jpeg.org,,
IMF,国际媒体包标准,24.0,fps,10bit,超高清晰度,21:09,2020-02-01,全球,EBU,https://www.ebu.ch,,
ITU-R BT.2100,高动态范围和宽色域视频标准,60.0,fps,10bit,超高清晰度,16:09,2018-04-10,全球,ITU,https://www.itu.int,,
DASH,动态自适应流媒体标准,30.0,fps,8bit,高清晰度,16:09,2017-09-15,全球,MPEG,https://mpeg.chiariglione.org,,
4K UHD,超高清晰度视频标准,60.0,fps,10bit,超高清晰度,16:09,2021-01-20,全球,Consumer Technology Association,https://www.cta.tech,,
H.265,HEVC视频编码标准,30.0,fps,10bit,高清视频,16:09,2022-12-31,全球,ITU,https://www.itu.int,,
HLS,HTTP Live Streaming标准,30.0,fps,8bit,高清晰度,16:09,2023-03-12,全球,Apple,https://developer.apple.com/streaming/,,
MPEG-2,第二代视频编码标准,25.0,fps,8bit,标准画质,4:3,1995-11-01,全球,Wikipedia,https://en.wikipedia.org/wiki/MPEG-2,,
HE-AAC,高效自适应流媒体音频编码标准,30.0,fps,8bit,高清晰度,16:09,2018-06-18,全球,3GPP,https://www.3gpp.org,,
AVS+,中国音视频编码标准,50.0,fps,10bit,高画质,16:09,2023-07-01,中国,中国音视频编解码标准化委员会,https://www.avs.org.cn,,
SCAP,可扩展视频编码分析与传输标准,60.0,fps,12bit,超高清晰度,32:9,2023-10-10,全球,Global Video Coding Consortium,https://www.gvcode.org,,
ITU-T H.661,视频内容传输标准,60.0,fps,12bit,超高清晰度,16:09,2023-10-10,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-T2,数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2014-12-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23008,媒体内容传输架构,120.0,fps,10bit,超高清晰度,21:09,2022-05-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,30.0,fps,8bit,高清晰度,16:09,2016-11-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.267/VVC,视听内容新编码标准,24.0,fps,12bit,超高清晰度,21:09,2021-09-15,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AVS3,新一代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-04-01,中国,中国电子技术标准化研究院,https://www.cesi.cn,,
SMPTE ST 2094,视频内容动态映射标准,60.0,fps,12bit,超高清晰度,16:09,2022-02-20,全球,SMPTE,https://www.smpte.org,,
IEEE 802.11ac,高速视频传输标准,30.0,fps,10bit,高清晰度,16:09,2020-06-15,全球,IEEE,https://www.ieee.org,,
H.264/MPEG-4 AVC,视频编码标准,30.0,fps,8bit,高清晰度,16:09,2014-07-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2018-11-01,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
DASH,动态自适应流媒体传输,25.0,fps,8bit,高清晰度,16:09,2015-05-04,全球,ISO,https://www.iso.org,,
H.265,高级视频编码,60.0,fps,10bit,超高清晰度,16:09,2016-01-15,亚洲,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
ETSI EN 303 288,广播和互联网传输视频编码,50.0,fps,10bit,超高清晰度,21:09,2023-05-01,欧洲,ETSI,https://www.etsi.org,,
SMPTE ST 2084,高动态范围视频标准,50.0,fps,12bit,超高清晰度,16:09,2018-09-15,全球,SMPTE,https://www.smpte.org,,
ITU-T H.682,基于互联网的视频交互标准,24.0,fps,10bit,高清晰度,16:09,2024-01-01,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
ISO/IEC 23090-1,可扩展视频编码标准,24.0,fps,12bit,超高清晰度,21:09,2022-06-01,全球,ISO,https://www.iso.org,,
H.264/AVC-SVC,扩展视频编码标准,30.0,fps,10bit,高清晰度,16:09,2017-03-20,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVS2-P2,高效率视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-05-01,中国,中国科学院计算技术研究所,https://www.ict.cas.cn,,
ITU-T H.670,先进视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-10-15,全球,ITU,https://www.itu.int,,
DVB-S2X,卫星广播标准,25.0,fps,10bit,高清晰度,16:09,2022-06-12,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23090-5,媒体传输和储存标准,60.0,fps,12bit,超高清晰度,16:09,2021-09-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2018-03-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2117,流媒体审计标准,60.0,fps,10bit,高品质,16:09,2022-02-15,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,90.0,fps,10bit,超高清晰度,16:09,2022-11-01,中国,中国视频编码标准,https://www.avs.org.cn,,
MPEG-DASH,动态自适应流式传输标准,30.0,fps,8bit,高清晰度,16:09,2020-01-01,全球,MPEG,https://mpeg.chiariglione.org,,
HEIF,高效图像文件格式标准,60.0,fps,12bit,超高清晰度,16:09,2019-08-15,全球,MPEG,https://mpeg.chiariglione.org/technologies/mpeg-heif,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,高清晰度,16:09,2020-05-01,全球,ITU,https://www.itu.int,,
FAPAV,快速自适应视频传输标准,60.0,fps,10bit,高画质,21:09,2023-02-10,北美,VESA,https://www.vesa.org,,
H.261,视频压缩标准,30.0,fps,8bit,中画质,4:3,1990-12-01,全球,ITU,https://www.itu.int,,
H.279,视频编解码与传输标准,120.0,fps,12bit,超高清晰度,21:9,2024-01-01,全球,ITU,https://www.itu.int/en/ITU-T,,
AV2,新一代视频编码标准,60.0,fps,10bit,高清晰度,16:09,2023-12-20,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ATSC 3.0,下一代电视标准,120.0,fps,12bit,超高清晰度,16:09,2019-06-01,北美,ATSC,https://www.atsc.org,,
JPEG XS,高效低延迟视频压缩标准,60.0,fps,10bit,高画质,16:09,2021-10-30,全球,JPEG,https://jpeg.org,,
ITU-T H.671,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-15,全球,ITU,https://www.itu.int/en/ITU-T/,,
DVB-S2X,增强数字视频广播标准,30.0,fps,12bit,高清晰度,16:09,2022-05-10,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,多媒体内容传输标准,24.0,fps,8bit,高画质,16:09,2023-06-20,全球,ISO,https://www.iso.org,,
H.265/HEVC,高级视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2020-08-15,全球,ITU,https://www.itu.int/en/ITU-T/technology/,,
AVS3,视频编码新标准,60.0,fps,12bit,超高清晰度,21:09,2021-11-01,中国,中国视频编码标准,https://www.avs.org.cn,,
SMPTE ST 2022,视频传输标准,30.0,fps,10bit,高清晰度,16:09,2019-03-17,全球,SMPTE,https://www.smpte.org,,
HEIF/HEVC,高效图像文件格式,25.0,fps,12bit,超高清晰度,16:09,2022-12-10,全球,MPEG,https://www.mpeg.org,,
VP9,开源视频编解码标准,60.0,fps,10bit,超高清晰度,16:09,2018-02-26,全球,Google,https://www.webmproject.org/vp9/,,
H.264/AVC,高级视频编码标准,30.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
AV1,开放视频编码标准,144.0,fps,10bit,超高清晰度,16:09,2022-10-31,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
H.264/AVC 4K,4K视频编码标准,30.0,fps,10bit,超高清晰度,21:09,2020-04-01,全球,ITU,https://www.itu.int/en/ITU-T/,,
MPEG-DASH,动态自适应流式传输标准,60.0,fps,10bit,超高清晰度,16:09,2019-02-15,全球,MPEG,https://mpeg.chiariglione.org,,
SCTE 35,信号切换标准,25.0,fps,8bit,高清晰度,16:09,2021-05-05,北美,SCTE,https://www.scte.org,,
ITU-R BT.2100,超高清电视标准,50.0,fps,12bit,超高清晰度,16:09,2020-12-20,全球,ITU,https://www.itu.int/en/ITU-R/,,
JPEG XL,图像压缩标准,30.0,fps,12bit,高画质,16:09,2021-03-10,全球,JPEG,https://jpeg.org,,
H.276,下一代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2025-06-01,全球,ITU,https://www.itu.int/en/ITU-T/,,
ITU-T H.661,高清视频传输标准,50.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-S2,二代卫星广播标准,30.0,fps,8bit,高清晰度,16:09,2022-03-10,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体数据传输标准,24.0,fps,10bit,高画质,16:09,2023-06-20,全球,ISO,https://www.iso.org,,
H.262/MPEG-2,视频压缩标准,25.0,fps,8bit,标准清晰度,4:3,1995-11-01,全球,ITU,https://www.itu.int,,
H.265/HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2019-01-15,全球,ITU,https://www.itu.int/en/ITU-T/,,
VVC (H.266),视频压缩编码标准,120.0,fps,10bit,超高清晰度,21:9,2020-12-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
SMPTE ST 2110-20,视频流标准,50.0,fps,10bit,高品质,16:09,2018-04-01,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-01-15,中国,国家广播电视总局,http://www.nrta.gov.cn,,
AV1.1,改进版开放视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2023-02-28,全球,Alliance for Open Media,https://aomediacodec.github.io,,
HEVC-Lite,简化版高效视频编码,30.0,fps,8bit,高清晰度,16:09,2021-07-01,东南亚,ITU,https://www.itu.int,,
IEEE 1857.1,视频编码标准的扩展,48.0,fps,10bit,超高清晰度,21:9,2020-10-01,全球,IEEE,https://www.ieee.org,,
H.264.1,H.264标准改进版,30.0,fps,8bit,高清晰度,16:09,2023-05-17,全球,ITU,https://www.itu.int/en/ITU-T/,,
CAVLC,内容自适应变长码,60.0,fps,10bit,高清晰度,16:09,2021-11-11,全球,Wikipedia,https://en.wikipedia.org/wiki/CAVLC,,
高效率视频编码,HEVC综合标准,120.0,fps,12bit,超高清晰度,21:9,2019-04-10,全球,ITU-T,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
BCP,广播流应用标准,25.0,fps,8bit,标准清晰度,4:3,2022-08-05,北美,NAB,https://www.nabshow.com,,
DVB-T2,二代地面广播标准,30.0,fps,10bit,高清晰度,16:09,2020-06-01,全球,DVB,https://www.dvb.org,,
ITU-T H.673,高效视频传输标准,60.0,fps,12bit,超高清晰度,16:09,2023-09-15,ITU,https://www.itu.int,全球,,
DASH-AVC,动态自适应流标准,25.0,fps,10bit,高清晰度,16:09,2022-05-20,MPEG-DASH,https://dashif.org,全球,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,高清晰度,16:09,2013-01-01,ITU,https://www.itu.int/en/ITU-T/H.265,全球,,
AVS3,视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2021-11-01,中国数字视频标准组织,http://www.avs.org.cn,中国,,
H.261,视频会议编码标准,30.0,fps,8bit,标准清晰度,4:3,1990-12-01,ITU,https://www.itu.int/en/ITU-T/H.261,全球,,
SMPTE ST 2022,专业视频传输标准,60.0,fps,12bit,高品质,16:09,2016-07-25,SMPTE,https://www.smpte.org,全球,,
VMF/2021,虚拟媒体格式标准,120.0,fps,12bit,超高清晰度,16:09,2021-03-10,VESA,https://www.vesa.org,全球,,
H.269,下一代视频编码标准,240.0,fps,12bit,超高清晰度,21:09,2024-02-14,ITU,https://www.itu.int/en/ITU-T/H.269,全球,,
VP9,开放的视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-06-17,Google,https://www.webmproject.org/vp9/,全球,,
AVS2-P2,视频编码扩展标准,60.0,fps,10bit,超高清晰度,16:09,2022-05-10,中国数字视频标准组织,http://www.avs.org.cn,中国,,
H.702,音视频同步标准,30.0,fps,8bit,标准清晰度,4:3,2016-09-29,ITU,https://www.itu.int/en/ITU-T/H.702,全球,,
AV1.1,视频编码标准修订版,120.0,fps,12bit,超高清晰度,16:09,2023-01-25,Alliance for Open Media,https://aomediacodec.github.io/,全球,,
H.265-SVC,可伸缩视频编码标准,30.0,fps,10bit,高清晰度,16:09,2018-07-01,ETSI,https://www.etsi.org,欧洲,,
DVB-T2,数字视频广播技术,25.0,fps,10bit,高清晰度,16:09,2016-09-15,DVB,https://www.dvb.org,欧洲,,
H.664,下一代视频传输标准,60.0,fps,12bit,超高清晰度,21:09,2023-05-10,ITU,https://www.itu.int/en/ITU-T/H.664,全球,,
EVC,高效视频编码,120.0,fps,10bit,超高清晰度,16:09,2023-12-01,ITU,https://www.itu.int/en/ITU-T/evc,全球,,
HEVC-2,高效视频编码标准升级版,60.0,fps,12bit,超高清晰度,21:9,2024-03-15,ITU,https://www.itu.int/en/ITU-T/H.265,全球,,
ITU-T H.661,增强视频传输标准,30.0,fps,10bit,高画质,21:09,2023-09-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-X,下一代数字视频广播标准,50.0,fps,12bit,超高清晰度,16:09,2022-11-10,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,新媒体内容传输标准,60.0,fps,12bit,超高清晰度,16:09,2023-01-20,全球,ISO,https://www.iso.org,,
H.267/VVC,视频编码新一代标准,120.0,fps,10bit,超高清晰度,21:09,2023-06-30,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,高清晰度,16:09,2023-02-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.265,,
SMPTE ST 2110-40,专业视频流传输标准,30.0,fps,12bit,高质量,16:09,2021-09-15,全球,SMPTE,https://www.smpte.org,,
AVS3,第三代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2023-03-15,中国,智能视频技术,https://www.ivt.org.cn,,
AV1.0,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-05-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
IEEE 1857.1,高效视频编解码第二版,120.0,fps,12bit,超高清晰度,21:09,2022-07-01,全球,IEEE,https://www.ieee.org,,
ITU-T H.662,下一代视频传输标准,25.0,fps,8bit,高画质,16:09,2023-11-01,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-T2,数字视频广播标准,25.0,fps,8bit,标清晰度,16:09,2020-01-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23090-3,动态媒体内容传输标准,50.0,fps,10bit,高画质,16:09,2023-04-20,全球,ISO,https://www.iso.org,,
