品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注
人流量传感器,红外线元件 + 数据处理单元,感知层、统计层,智能交通技术,集成式,交通管理部门,http://www.trafficmanagement.gov,,
脉搏传感器,光学敏感元件 + 信号处理模块,健康监测层、数据层,可穿戴技术公司,集成式,健康科技界,http://www.wearabletechs.com,,
智能门禁传感器,敏感元件 + 通讯模块 + 安全处理单元,安防层、控制层,安全科技公司,集成式,安防技术期刊,http://www.securitytechjournal.com,,
海洋传感器,敏感元件 + 数据记录模块 + 传输单元,环境层、研究层,海洋研究所,模块式,海洋科技网站,http://www.oceanresearch.org,,
光谱传感器,光学元件 + 数据分析单元,分析层、输出层,光谱分析科技,集成式,实验室设备供应商,http://www.labdevices.com,,
热释电传感器,热敏元件 + 信号处理单元,感知层、应用层,家居自动化公司,模块式,智能家居介绍,http://www.smarthomeintro.com,,
疲劳监测传感器,加速度计 + 数据处理单元,监测层、反馈层,运动科技公司,集成式,体育科技报告,http://www.sportstechreport.com,,
智能晾衣传感器,湿度传感元件 + 烘干反馈模块,应用层、反馈层,智能家电制造商,集成式,家电科技期刊,http://www.appliance-innovation.com,,
树木健康检测传感器,土壤湿度感应元件 + 数据分析模块,监测层、分析层,农业科技研究院,模块式,农业生态会议,http://www.agriculturalconference.com,,
儿童健康传感器,生理信号元件 + 数据监控单元,监测层、反馈层,儿童医疗科技,集成式,儿童健康研究网,https://www.childhealthresearch.com,,
运动强度传感器,加速度计 + 心率监测模块,感知层、应用层,运动健康科技,集成式,健康及运动报告,http://www.healthandfitnessreport.com,,
室内空气质量传感器,多种气体敏感元件 + 数据处理与显示模块,监测层、展示层,室内环境科技,集成式,室内环境研究中心,http://www.indoorresearch.com,,
气体传感器,敏感元件 + 信号处理器 + 数据传输单元,检测层、分析层,清华环境科技,集成式,环境监测中心,https://www.emc.tsinghua.edu.cn,,
辐射传感器,探测器 + 信号调理电路 + 数据输出模块,传感层、分析层、监管层,核能安全科技,模块式,核能协会,http://www.nuclearassociation.com,,
光伏电量传感器,敏感元件 + 数据处理单元 + 能量管理模块,采集层、处理层、云层,新能源解决方案,集成式,清洁能源网,https://www.cleanenergy.com,,
侧向移动传感器,敏感元件 + 虚拟处理器 + 传输接口,感知层、控制层,机器人技术实验室,集成式,机器人技术公会,http://www.robotics.org,,
雨量传感器,传感元件 + 数据记录模块,监测层、记录层,气象局,模块式,气象科学,https://www.weather.gov,,
产量监测传感器,敏感元件 + 数据采集单元 + 通信模块,感知层、数据管理层,农业智能化研究院,集成式,农业科技论坛,https://www.agri-tech.com,,
电流传感器,敏感元件 + 信号调理电路 + 数据处理单元,采集层、处理层、输出层,电力科技公司,集成式,电力行业发展报告,http://www.electricityreports.com,,
雷达传感器,发射器 + 接收器 + 信号处理单元,探测层、分析层,交通运输部,模块式,交通安全研究中心,http://www.transportation.gov,,
心率传感器,敏感元件 + 信号调理模块 + 数据接口,健康监控层、数据传输层,智慧健康公司,集成式,健康科技资讯,https://www.healthtechnews.com,,
电压传感器,敏感元件 + 模拟电路 + 数据记录单元,采集层、监测层,电子科技大学,集成式,电子工程技术平台,https://www.electronicengineering.com,,
声波传感器,敏感元件 + 处理单元 + 通信模块,探测层、反馈层,声学研究所,模块式,声学技术网,https://www.acoustics.org,,
气压传感器,敏感元件 + 处理器 + 输出接口,监测层、采集层,航空航天技术公司,集成式,航空航天科技网站,http://www.aerospace.com,,
动能传感器,敏感元件 + 数据处理器 + 通信单元,采集层、分析层,智能科技研究院,集成式,科技前沿,https://www.techfrontier.com,,
湿度传感器,敏感元件 + 转换器 + 数据传输单元,感知层、反馈层,建筑科技公司,模块式,建筑材料研究所,https://www.buildmaterial.com,,
穿戴式健康传感器,敏感元件 + 数据处理单元 + 移动接口,监控层、传输层、应用层,创新科技有限公司,小型化,健康科技展会,https://www.innovhealth.com,,
温室气体监测传感器,气体传感器 + 数据分析单元 + 通信模块,感知层、分析层、决策层,农业气候研究所,集成式,环境评估报告,https://www.environmentalassessments.com,,
气体泄漏传感器,敏感元件 + 信号处理单元 + 通信模块,检测层、监控层、报警层,安全监测科技,模块式,工业安全网,https://www.safetyindustrial.com,,
光照传感器,光敏元件 + 模拟信号处理单元,感知层、响应层,智能建筑设计团队,集成式,建筑技术杂志,https://www.architecturetech.com,,
动作捕捉传感器,敏感元件 + 处理器 + 存储单元,数据采集层、处理层、应用层,动作科技坊,模块式,运动科学期刊,https://www.sportscijournal.com,,
环境温度传感器,敏感元件 + 信号转换器 + 处理电路,监测层、记录层、反馈层,清洁能源技术,集成式,清洁能源论坛,https://www.cleanenergyforum.com,,
水位传感器,压力敏感元件 + 数据处理单元,变量监测层、安全报警层,城市水务公司,模块式,水务科技网,https://www.watertechnology.com,,
风向传感器,风敏元件 + 信号计算单元,感知层、处理层、传输层,气象监测科技,集成式,气象科技中心,https://www.meteotechnology.com,,
血压监测传感器,传感器 + 显示模块 + 数据接口,健康监测层、分析层、存储层,健康监控集团,模块式,医疗科技文章,https://www.healthtechexplore.com,,
气候监测传感器,气象敏感元件 + 数据处理单元 + 通讯模块,监测层、分析层、报告层,全球气候监测机构,集成式,环境监测网,https://www.climatecheck.org,,
生物气体传感器,生物敏感元件 + 信号处理单元 + 网络接口,采集层、处理层、展示层,生命科学技术公司,集成式,生物技术期刊,https://www.biotechjournal.com,,
地下水监测传感器,压力传感器 + 存储单元 + 通讯模块,探测层、分析层、纪录层,环境评估服务,模块式,地下水管理服务,https://www.groundwatermanagement.com,,
人体姿态传感器,敏感元件 + 数据处理单元 + 通信接口,数据采集层、控制层、反馈层,机器人科技研究院,集成式,机器人技术杂志,https://www.roboticstech.com,,
火灾烟雾传感器,烟雾敏感元件 + 信号调理电路 + 通讯模块,检测层、警报层、响应层,消防科技研发公司,模块式,消防技术论坛,https://www.firetechforum.com,,
仓库温湿度传感器,温湿敏感元件 + 数据处理单元,监测层、控制层,供应链管理科技,集成式,物流技术杂志,https://www.logisticsmag.com,,
城市噪声传感器,音频感知器 + 数字信号处理器 + 数据传输单元,采集层、记录层、分析层,城市规划与发展局,模块式,城市发展研究,https://www.urbanplanningresearch.com,,
食物安全检测传感器,敏感元件 + 数据处理模块 + 通讯设备,检测层、记录层、安全层,食品安全科技,集成式,食品安全网,https://www.foodsafety.com,,
智能手环传感器,生物监测元件 + 无线传输模块 + 处理电路,数据采集层、分析层、应用层,健康科技公司,模块式,穿戴设备论坛,https://www.wearabletechforum.com,,
智慧农业传感器,土壤检测元件 + 数据处理单元 + 实时监控模块,监测层、反馈层、优化层,农业智能化研究所,集成式,农业科技网,https://www.agritech.com,,
电池状态监测传感器,电压传感器 + 信号处理单元 + 显示模块,监测层、警报层、响应层,电力科技,模块式,能源管理平台,https://www.energy-management.org,,
光照传感器,敏感元件 + 信号调理模块 + 数据分析单元,感知层、应用层,智能环境系统,集成式,智能家居科技,https://www.smarthome.com,,
气体泄漏传感器,敏感元件 + 测量单元 + 报警系统,探测层、警报层,安全科技有限公司,模块式,工业安全协会,http://www.industrialsafety.org,,
PM2.5传感器,敏感元件 + 分析电路 + 数据接口,监测层、控制层,环境科技公司,集成式,空气质量监测平台,https://www.airqualitymonitor.com,,
压力传感器,敏感元件 + 信号调理单元 + 输出接口,感知层、传输层,传感器技术有限公司,模块式,自动化技术新闻,https://www.automationnews.net,,
转速传感器,敏感元件 + 信号处理模块,识别层、反馈层,工业自动化集团,集成式,工业设备管理,http://www.industrialmanagement.com,,
电流传感器,敏感元件 + 安全检测单元,监控层、报警层,电源管理系统,模块式,电气工程期刊,https://www.electricalengineering.org,,
定位传感器,GPS模块 + 数据通讯单元,侦测层、处理层、应用层,导航科技,集成式,定位技术论坛,http://www.localizationtech.com,,
消防烟雾传感器,光学敏感元件 + 警报系统,探测层、报警层,消防安全技术,模块式,消防安全局,https://www.fire-safety.gov,,
水压传感器,敏感膜 + 测量电路 + 输出模块,监测层、反馈层,水务科技,集成式,水研究机构,https://www.waterresearch.org,,
室内温度传感器,NTC温度传感器 + 脉冲调理器,采集层、应用层,智能家电开发公司,集成式,智能家居新闻,https://www.smarthomeupdates.com,,
颗粒物传感器,激光探测器 + 处理单元,监测层、分析层,环境监护科技,集成式,环境与健康期刊,https://www.ehjournal.org,,
电子能量传感器,敏感元件 + 数据采集器,监控层、应用层,能源管理有限公司,模块式,可再生能源技术,http://www.renewableenergytech.com,,
运动监测传感器,加速度传感器 + 存储模块,监测层、分析层,运动科技创新,集成式,运动科技网,https://www.sportstech.com,,
流量传感器,涡轮流量传感器 + 测量单元,监测层、反馈层,流体工程技术,模块式,流体动力期刊,https://www.fluidpowerjournal.com,,
冰点传感器,热敏材料 + 数据处理模块,感知层、控制层,冰雪科技公司,集成式,低温技术研究,https://www.coldtechresearch.com,,
水位传感器,浮筒敏感元件 + 电子模块,监测层、反馈层,水利工程公司,模块式,水资源管理平台,https://www.waterresource.com,,
气温传感器,热电偶 + 数据传输模块,感知层、应用层,气象科技,集成式,天气研究机构,https://www.weatherresearch.com,,
震动监测传感器,压电元件 + 处理电路,探测层、分析层,建筑监测技术,模块式,建设科学研究,https://www.constructionresearch.org,,
光照传感器,敏感元件 + 信号处理模块 + 数据传输单元,感知层、分析层、应用层,照明技术研究所,集成式,智能照明论坛,https://www.smartlightingforum.com,,
气体传感器,敏感元件 + 数据处理单元 + 传输模块,检测层、响应层,气体检测科技公司,模块式,环境监测协会,https://www.environmentalmonitoring.org,,
压力传感器,敏感元件 + 信号调理电路 + 数字接口,采集层、处理层,流体动力研究院,集成式,流体动力学期刊,https://www.fluidmechanicsjournal.com,,
转速传感器,敏感元件 + 数据处理单元 + 显示模块,传感层、反馈层,高性能传感器公司,模块式,机械工程杂志,https://www.mechanicalengineering.com,,
加速度传感器,敏感元件 + 信号调理单元 + 嵌入式控制器,感知层、分析层、输出层,移动技术研究所,集成式,传感器技术网,https://www.sensortechnews.com,,
辐射传感器,敏感元件 + 数据记录单元 + 显示接口,监测层、报告层,辐射安全科学中心,模块式,国际辐射防护委员会,https://www.irpa.net,,
位移传感器,敏感元件 + 信号处理器 + 数据通信模块,采集层、分析层,自动化技术公司,集成式,自动化与控制杂志,https://www.automationandcontroljournal.com,,
赛事感应器,敏感元件 + 数据处理单元 + 接口模块,监控层、应用层,运动科技研究所,集成式,运动科技趋势网,https://www.sportstechnologytrends.com,,
交通流量传感器,敏感元件 + 流量处理单元 + 连接模块,监测层、分析层,交通工程研究中心,模块式,城市交通学会,https://www.urbantransportation.org,,
进口电压监测器,敏感元件 + 信号调制电路 + 数据接口,监测层、控制层,电气工程技术研究院,集成式,电气工程论坛,https://www.electricalengineersforum.com,,
生物识别传感器,敏感元件 + 数据处理芯片 + 通讯接口,感知层、应用层,生物工程实验室,集成式,生物技术报告,https://www.biotechreports.com,,
海洋温度传感器,敏感元件 + 数据采集单元 + 卫星通信模块,监测层、传输层,海洋研究院,模块式,海洋科学杂志,https://www.ocean-science.com,,
耐腐蚀传感器,敏感元件 + 特殊涂层 + 数据传输单元,工业监测层、控制层,材料科学研究所,集成式,材料科技平台,https://www.materialsci.com,,
智能家居红外传感器,敏感元件 + 信号处理单元 + Wi-Fi模块,感知层、控制层,智能家居协会,集成式,智能家居技术网,https://www.smarthometechnology.com,,
食物温度传感器,敏感元件 + 数据处理单元 + 显示界面,采集层、监控层,食品安全科技中心,模块式,食品科学期刊,https://www.foodsafetyjournal.com,,
生物反应传感器,敏感元件 + 信号解调器 + 处理模块,数据获取层、分析层,生物监测技术研究所,集成式,生物监测网,https://www.biomedicalmonitoring.com,,
音频传感器,敏感元件 + 信号处理器 + 泛音调试模块,捕捉层、分析层,音响工程公司,模块式,音频技术论坛,https://www.audiotechforum.com,,
氢气传感器,敏感元件 + 数据处理模块 + 电源供给单元,采集层、报警层,清洁能源研究院,集成式,清洁能源网络,https://www.cleanenergy.com,,
气体泄漏传感器,敏感元件 + 通信接口 + 数据处理单元,检测层、传输层、监控层,安防科技有限公司,集成式,安防网,https://www.securitytech.com,,
辐射传感器,敏感元件 + 数字逻辑电路 + 数据接口,监测层、数据层、响应层,核安全研究所,模块式,核能数据网,https://www.nucleardata.org,,
紫外线传感器,敏感元件 + 信号调理单元 + 输出接口,感知层、应用层,光学科技集团,集成式,光学在线杂志,https://www.opticsjournal.com,,
压力传感器,敏感元件 + 模拟信号处理电路,感知层、处理层、输出层,机械工程技术研究院,集成式,机械工程网,https://www.mechengineer.org,,
电流传感器,敏感元件 + 处理电路 + 通信模块,采集层、处理层、传输层,电气技术研究中心,模块式,电气技术论坛,https://www.electricaltech.com,,
气象传感器,敏感元件 + 微控制器 + 存储模块,感知层、数据处理层,气象局,集成式,气象科技网,https://www.metech.com,,
动能传感器,敏感元件 + 能量回收单元,发电层、储存层,可再生能源科技,模块式,能源科技平台,https://www.renewableenergy.com,,
流量传感器,敏感元件 + 信号调理电路 + 输出器,测量层、传输层、监控层,流体控制技术公司,集成式,流体动力技术,http://www.fluidcontrol.com,,
烟雾传感器,敏感元件 + 处理单元 + 警报系统,探测层、响应层,消防设备公司,集成式,消防安全网,https://www.fire-safety.com,,
光照强度传感器,敏感元件 + 数据采集电路 + 显示单元,感知层、展示层,智能光控科技,模块式,光控技术论坛,https://www.lightcontrol.com,,
糖尿病监测传感器,敏感元件 + 数据传输模块 + 显示单元,健康监测层、数据分析层,健康科技,集成式,智慧医疗网,https://www.healthtech.com,,
流动温度传感器,敏感元件 + 传输电路 + 云平台连接,采集层、处理层、云层,物联网技术中心,集成式,物联网会议,https://www.iotconference.org,,
结构健康监测传感器,敏感元件 + 数据分析平台 + 警报系统,监测层、分析层,土木工程研究院,模块式,结构健康监测网,https://www.structuralmonitoring.com,,
智能家居传感器,敏感元件 + 控制单元 + 通信接口,控制层、应用层,智能家居科技,集成式,智能生活网络,https://www.smartliving.com,,
航空器监测传感器,敏感元件 + 传输模块 + 分析单元,传感层、分析层、展示层,航空科学技术公司,集成式,航空技术网,https://www.aerotech.com,,
无障碍传感器,敏感元件 + 控制单元 + 反馈机制,传感层、执行层,无障碍设计协会,集成式,无障碍生活新闻,https://www.accessibledesign.com,,
氢气监测传感器,敏感元件 + 数字处理单元 + 警报系统,探测层、响应层,氢能技术中心,模块式,氢能研究网,https://www.hydrogenres.com,,
光纤传感器,敏感元件 + 光电子模块 + 数据接口,感知层、传输层、应用层,光纤技术研究所,集成式,光纤维护网,https://www.fibertech.com,,
光照传感器,敏感元件 + 模拟信号处理单元,感知层、采集层,智能农业科技,模块式,现代农业科技,https://www.modernagriculture.com,,
气体泄漏传感器,敏感元件 + 数据处理单元 + 故障报警单元,监测层、控制层,安全技术公司,集成式,安全行业报告,https://www.safetyreport.com,,
氧气传感器,敏感元件 + 模拟信号处理单元 + 通讯接口,采集层、上报层,气体检测技术,模块式,环境保护公司,https://www.environmentalprotection.com,,
雷达传感器,传感元件 + 信号处理系统,探测层、信息层,雷达科技,集成式,国防科技研究院,https://www.defense-tech.com,,
压力传感器,敏感元件 + 能量转换单元 + 通讯接口,监测层、数据分析层,机械工程科技,模块式,机械工业协会,https://www.mechanicalengineering.org,,
声波传感器,敏感元件 + 信号响应电路,声学层、分析层,智能交通技术,集成式,交通管理局,https://www.trafficmanagement.org,,
人体接触传感器,敏感元件 + 数据馈送单元,监测层、响应层,智能安全科技,模块式,智慧安防期刊,https://www.smartsecurityjournal.com,,
电流传感器,敏感元件 + 处理单元 + 通讯模块,监测层、数据分析层,电气技术公司,集成式,电气工程协会,https://www.electricalassociation.org,,
风速传感器,敏感元件 + 信号处理单元,气象层、数据层,气象科学,模块式,气象局,https://www.weatherbureau.gov,,
烟雾传感器,敏感元件 + 报警单元,安全层、反应层,火灾安全科技,模块式,消防安全局,https://www.fireprotection.gov,,
风波传感器,敏感元件 + 监测电路,采集层、处理层,海洋技术公司,集成式,海洋研究协会,https://www.oceanresearch.com,,
电磁场传感器,敏感元件 + 信号处理电路,监测层、分析层,电磁设备科技,集成式,电磁行业委员会,https://www.electromagnetics.org,,
运动传感器,敏感元件 + 数据处理单元 + 通讯模块,监测层、分析层,运动科技有限公司,模块式,运动和健康期刊,https://www.sportandhealthjournal.com,,
水位传感器,敏感元件 + 数据处理单元 + 报警模块,监测层、控制层,水资源管理局,集成式,水务工程协会,https://www.waterengineering.org,,
温室气体传感器,敏感元件 + 信号调理电路 + 数据上传模块,监测层、数据层,绿色科技公司,集成式,气候变化研究所,https://www.climatechangescience.org,,
生物氧气传感器,敏感元件 + 微处理器 + 通信模块,监测层、反馈层,生态系统科研,模块式,环境监测平台,https://www.environmentalmonitoring.org,,
表面温度传感器,敏感元件 + 温控电路 + 报警单元,感知层、输出层,热能技术公司,集成式,电子测量行业,https://www.electronicmeasuring.org,,
智能光谱传感器,光敏元件 + 数字信号处理器 + 通讯模块,感知层、数据处理层、云层,光谱科技有限公司,集成式,光谱技术平台,https://www.spectroscopy.com,,
气体分析传感器,气体敏感元件 + 数据处理单元 + 在线监测接口,监测层、分析层、报警层,气体安全研究所,模块式,气体安全网,https://www.gassafety.com,,
智能贴身心率传感器,光电传感元件 + 处理器 + 蓝牙模块,健康监测层、通讯层,健康生活科技,集成式,智能健康网,https://www.smarthealth.com,,
土壤养分传感器,灵敏元件 + 模拟处理单元 + 数据传输模块,数据采集层、分析层,农业科技研究院,集成式,现代农业杂志,https://www.modernagriculture.com,,
建筑物能耗传感器,能量敏感元件 + 数据记录器 + 监测接口,采集层、能效分析层,建筑节能科技公司,模块式,建筑能源研究所,https://www.buildenergy.com,,
气象站传感器,风速传感元件 + 气压传感器 + 数字信号处理单元,感知层、数据分析层,气象科技中心,集成式,气象数据耕作平台,https://www.meteordata.com,,
空气质量传感器,多种气体敏感元件 + 样本分析单元 + 报警模块,监测层、分析层、反馈层,空气研究所,模块式,环境监测网,https://www.environmentmonitors.com,,
智能温湿度传感器,温度传感器 + 湿度传感器 + 控制模块,控制层、数据展示层,智能环境科技,集成式,智能环境平台,https://www.smartenvironment.com,,
便携式噪声传感器,声敏元件 + 信号处理模块 + 显示单元,采集层、显示层,声学科技公司,模块式,声学研究平台,https://www.acousticresearch.com,,
热成像传感器,红外传感元件 + 像素阵列 + 信号处理单元,感知层、输出层,红外技术有限公司,集成式,红外科技,https://www.infraredtech.com,,
智能家电测试传感器,电流传感器 + 电压传感器 + 控制模块,监测层、报告层,消费电子研究所,模块式,电子产品测试平台,https://www.electronicstesting.com,,
食物新鲜度传感器,气体敏感元件 + 处理单元 + 通讯接口,感知层、数据传输层,食品科技协会,集成式,食品安全网,https://www.foodsafetytech.com,,
无线电能量传感器,磁敏元件 + 转换单元 + 收集模块,能量采集层、传输层,无线电能公司,模块式,无线电能平台,https://www.radiopower.com,,
感应式智能锁传感器,压力传感器 + 认证模块 + 通信接口,安全层、逻辑处理层,智能锁科技,集成式,安全科技研究所,https://www.securitytech.com,,
智能水表传感器,流量传感器 + 数据处理单元 + 无线模块,水位监测层、数据分析层,水务技术有限公司,集成式,水务管理平台,https://www.watermanagement.com,,
紧急报警传感器,压力敏感元件 + 消息处理单元 + 通讯模块,报警层、响应层,紧急响应科技,模块式,紧急服务网,https://www.emergencyservices.com,,
智能家禽监测传感器,温度传感器 + 湿度传感器 + 数据上传模块,健康监测层、数据记录层,农业智能科技,集成式,农业科技网站,https://www.agritech.com,,
城市交通流量传感器,流量传感元件 + 数据存储单元 + 连接模块,监测层、流量控制层,交通管理局,模块式,交通科技平台,https://www.traffictech.com,,
空气质量传感器,敏感元件 + 数据处理单元 + 通信接口,检测层、分析层、反馈层,空气监测公司,集成式,环境监测平台,https://www.airqualitymonitor.com,,
光照强度传感器,光敏元件 + 模拟信号处理单元,感应层、输出层,太阳能技术研究所,模块式,光伏产业网,https://www.photovoltaicindustry.org,,
心率监测传感器,生物传感元件 + 数据分析单元,感知层、数据层、决策层,康乐医疗科技,集成式,医疗健康网站,https://www.healthcaretech.com,,
土壤温度传感器,温控元件 + 处理电路,环境层、传输层,农业气象局,模块式,农业科技期刊,https://www.agriculturaltechjournal.com,,
气压传感器,压力传递元件 + 信号处理单元,感应层、处理层、显示层,气象科学中心,集成式,气象监测网,http://www.weather-monitoring.com,,
流量传感器,流体传感元件 + 数据计算单元,感知层、控制层,工业自动化科技,模块式,自动化技术杂志,https://www.automationmagazine.com,,
声纳传感器,声波元件 + 信号处理单元 + 影响层,探测层、分析层,遥感科技研究机构,集成式,海洋科学平台,https://www.oceanoscience.org,,
电流传感器,电流测量元件 + 信号处理单元,监控层、反馈层,电力科技研究所,模块式,电力行业报,https://www.electricityjournal.com,,
湿度传感器,敏感元件 + 数码显示器 + 处理器,监测层、展现层、数据层,气候变化研究所,集成式,气候和环境研讨会,https://www.climateconference.com,,
火灾检测传感器,热敏元件 + 数据传输单元,探测层、警报层、响应层,消防安全科技,集成式,消防安全研究中心,https://www.firesafetyresearch.org,,
骑行监测传感器,GPS模块 + 加速度计 + 通信单元,感知层、分析层,智能交通公司,模块式,交通技术期刊,https://www.transportationtech.com,,
接触传感器,红外元件 + 控制单元,感知层、响应层,智能家居科技,集成式,家居自动化产品案例,https://www.smart-home-automation.com,,
水位传感器,弹性元件 + 数据处理单元,感知层、输出层,水利工程公司,模块式,水资源管理平台,https://www.waterresourcesmanagement.org,,
触觉传感器,力反馈元件 + 数据分析模块,感知层、反馈层,机器人技术实验室,集成式,机器人创新论坛,https://www.roboticsforum.com,,
气体泄漏传感器,气体探测元件 + 监控系统,感知层、报警层、处理层,安全技术研究所,模块式,安全技术杂志,https://www.safetytechjournal.com,,
噪声监测传感器,敏感元件 + 数据分析单元,监测层、反馈层、展示层,噪声污染控制中心,集成式,环境监测研究,https://www.noisepollutionresearch.com,,
气体传感器,敏感元件 + 信号调理电路 + 警报单元,检测层、反应层、报告层,安全监测科技,模块式,安全生产协会,https://www.safetyassociation.org,,
光照传感器,敏感元件 + 信号调理单元 + 输出接口,感知层、反馈层、应用层,智能建筑公司,集成式,建筑智能化研究院,https://www.smartbuildingassociation.com,,
气象传感器,敏感元件 + 数字处理单元 + 数据传输模块,环境层、分析层、展示层,气象局,集成式,国家气象局,http://www.nmc.cn,,
 RFID 传感器,标签 + 读取器 + 信号处理组件,数据收集层、分析层,物联网技术公司,模块式,物联网世界,https://www.iotworld.com,,
压力传感器,敏感元件 + 信号调理单元 + 数据单位,监测层、输入层、应用层,工业传感技术,集成式,工业技术平台,https://www.industrialtech.com,,
触觉传感器,敏感元件 + 处理器 + 输出模块,感知层、处理层、反馈层,机器人技术研究中心,集成式,机器人前沿,https://www.roboticfrontier.com,,
消毒监测传感器,光敏元件 + 数据分析模块 + 输出系统,监测层、警告层、报告层,公共卫生局,模块式,公共卫生研究,https://www.publichealthresearch.com,,
人流监测传感器,红外传感器 + 数据处理单元 + 连接模块,检测层、分析层、应用层,安全科技研究院,集成式,安全监控协会,https://www.securitymonitoring.com,,
能耗监测传感器,电流传感器 + 数据记录模块 + 通信系统,采集层、分析层、反馈层,能源监测公司,模块式,新能源论坛,https://www.newenergyforum.com,,
废气传感器,气体探测元件 + 信号输出模块 + 数据处理单元,检测层、反馈层、输出层,城市环境研究院,集成式,环境研究杂志,http://www.environmentjournal.com,,
噪声监测传感器,麦克风 + 信号处理电路 + 储存单元,采集层、分析层、输出层,噪声控制技术,模块式,噪声控制协会,https://www.noisecontrol.org,,
红外传感器,红外敏感元件 + 处理模块 + 通信接口,感知层、分析层、应用层,智能安防公司,集成式,安防行业论坛,https://www.secforum.com,,
热传感器,热敏元件 + 处理单元 + 输出模块,感知层、反馈层、应用层,气候监测技术,集成式,气候技术论坛,https://www.climatetechforum.com,,
电机监测传感器,电流传感器 + 频率分析单元 + 数据处理模块,监测层、分析层、反馈层,机械工程院,模块式,机械工程杂志,http://www.mechengineeringjournal.com,,
生物安全传感器,生物敏感元件 + 电信号处理单元 + 报警模块,监测层、警报层、报告层,生物技术研究所,集成式,生物技术观察,https://www.biotechnews.com,,
流量传感器,流量敏感元件 + 数字信号处理器 + 输出接口,监测层、反应层、输出层,水利技术研究所,模块式,水利科技新闻网,https://www.waterscience.com,,
运动传感器,加速度传感器 + 处理单元 + 数据传输模块,监测层、分析层、输出层,运动科技公司,集成式,运动科技平台,https://www.sportstech.com,,
光伏发电监测传感器,敏感元件 + 数据采集器 + 通讯模块,采集层、处理层、云层,绿色能源科技,集成式,新能源开发网,https://www.newenergydevelopment.org,,
气体泄漏传感器,敏感元件 + 信号处理单元 + 报警模块,监测层、安全层,安全科技公司,模块式,工业安全网,https://www.industrialsafety.com,,
