年份,国家,能源类型,消耗单位,消耗量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023,德国,太阳能,千瓦时,12000,亿,德国可再生能源协会,https://www.bee.de,2024-09-19,,,,,,,,,,,,
2021,印度,可再生能源,吨标准煤,7.5,亿,印度能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,300,万,中国氢能联盟,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2023,日本,电池储能,吨,9,万,日本能源企业协会,https://www.japanspace.com,2024-09-19,,,,,,,,,,,,
2024,法国,太阳能,千瓦时,10700,亿,法国可再生能源联合会,https://www.solar-france.fr,2024-09-19,,,,,,,,,,,,
2024,欧洲联盟,风能,吨标准煤,8.5,亿,欧洲环境署,https://www.eea.europa.eu,2024-09-19,,,,,,,,,,,,
2027,巴西,生物质能,千瓦时,5500,亿,巴西农业部,http://www.agricultura.gov.br,2024-09-19,,,,,,,,,,,,
2024,加拿大,电池储能,吨,12.5,万,加拿大可再生能源协会,https://www.canrea.ca,2024-09-19,,,,,,,,,,,,
2024,世界,核能,吨标准煤,4.2,亿,国际原子能机构,https://www.iaea.org,2024-09-19,,,,,,,,,,,,
2022,德国,风能,千瓦时,25000,亿,德国能源协会,https://www.dena.de,2024-09-19,,,,,,,,,,,,
2024,美国,太阳能,千瓦时,35000,亿,国家可再生能源实验室,https://www.nrel.gov,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,8.5,万,中国氢能协会,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2021,印度,生物质能,吨标准煤,5,亿,印度可再生能源部,http://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2023,日本,核能,千瓦时,18000,亿,日本能源厅,https://www.enecho.meti.go.jp,2024-09-19,,,,,,,,,,,,
2022,中国,电池储能,吨,10.5,万,中国电池产业网,http://www.batteryworld.com.cn,2024-09-19,,,,,,,,,,,,
2023,巴西,水力发电,千瓦时,22000,亿,巴西电力研究所,http://www.epe.gov.br,2024-09-19,,,,,,,,,,,,
2024,加拿大,太阳能,吨,4,万,加拿大太阳能产业协会,http://www.cansia.ca,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,风能,千瓦时,30000,亿,澳大利亚可再生能源局,https://www.renewableenergy.gov.au,2024-09-19,,,,,,,,,,,,
2022,南非,可再生能源,吨标准煤,7.2,亿,南非能源部,http://www.energy.gov.za,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,20000,亿,中国氢能网,http://www.chinahydrogen.com,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,16000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,德国,太阳能,千瓦时,9000,亿,德国联邦能源事务局,https://www.bmwi.de,2024-09-19,,,,,,,,,,,,
2022,印度,生物能,吨标准煤,5.2,亿,印度可再生能源发展局,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,吨,12.5,万,新能源产业发展报告,http://www.newenergyreport.cn,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,7500,亿,巴西电力协会,https://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2024,日本,储能材料,吨,300,万,日本能源经济研究所,http://www.rieti.go.jp,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,地热能,吨标准煤,1.5,亿,澳大利亚地热能源协会,https://www.geothermal.org.au,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,中国材料科学学会,http://www.cscm.org.cn,2024-09-19,,,,,,,,,,,,
2023,俄罗斯,核能,千瓦时,5000,亿,俄罗斯核能部门,http://www.minatom.ru,2024-09-19,,,,,,,,,,,,
2022,日本,氢能,千瓦时,12000,亿,日本能源经济研究所,https://www.japanenergy.org/,2024-09-19,,,,,,,,,,,,
2023,德国,生物质能,吨标准煤,5.2,亿,德国可再生能源协会,https://www.bee-ev.de/,2024-09-19,,,,,,,,,,,,
2024,美国,太阳能,千瓦时,20000,亿,美国能源部,https://www.energy.gov/,2024-09-19,,,,,,,,,,,,
2024,中国,地热能,吨,300,万,中国地热能源协会,http://www.geothermal.org.cn/,2024-09-19,,,,,,,,,,,,
2021,印度,风能,千瓦时,11000,亿,印度可再生能源开发署,https://www.seci.co.in/,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,45000,亿,法国核能峰会,https://www.edf.fr/,2024-09-19,,,,,,,,,,,,
2022,加拿大,水能,千瓦时,15000,亿,加拿大水电协会,https://www.hydropower.ca/,2024-09-19,,,,,,,,,,,,
2024,韩国,电池储能,吨,15,万,韩国能源管理局,http://www.koreaenergy.or.kr/,2024-09-19,,,,,,,,,,,,
2020,巴西,生物燃料,吨,20,万,巴西可再生能源报告,https://www.brazilrenewableenergy.org/,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,吨标准煤,4.5,亿,澳大利亚可再生能源局,https://www.cleanenergyregulator.gov.au/,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,12500,亿,德国联邦统计局,https://www.destatis.de/,2024-09-19,,,,,,,,,,,,
2024,美国,太阳能,千瓦时,22000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2020,全球,生物能,吨标准煤,4.5,亿,国际可再生能源署,https://www.irena.org/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,300,万,中国氢能产业联盟,http://www.china-hydrogen.com/,2024-09-19,,,,,,,,,,,,
2023,印度,电池储能,吨,10,万,印度可再生能源协会,https://www.ireda.in/,2024-09-19,,,,,,,,,,,,
2023,英国,可再生能源,吨标准煤,5.7,亿,英国能源与气候变化办公室,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-19,,,,,,,,,,,,
2022,日本,太阳能,千瓦时,13500,亿,日本太阳能协会,https://www.jpea.gr.jp/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,中国材料研究学会,https://www.china-mat.com/,2024-09-19,,,,,,,,,,,,
2023,加拿大,水能,千瓦时,16000,亿,加拿大水电协会,https://www.hydro.mb.ca/,2024-09-19,,,,,,,,,,,,
2023,韩国,氢能,吨,150,万,韩国氢能技术协会,http://www.khnia.or.kr/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,13050,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,9800,亿,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2021,德国,可再生能源,吨标准煤,7.5,亿,德国联邦环境局,https://www.umweltbundesamt.de,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,12,万,阿里研究院,https://www.aliyun.com,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,千瓦时,17000,亿,加拿大自然资源部,https://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2023,巴西,生物能,吨标准煤,5.2,亿,巴西可再生能源协会,https://www.abeb.it,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,千瓦时,11000,亿,澳大利亚能源市场办公室,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,10,万,中国氢能产业网,https://www.hydrogen-china.com,2024-09-19,,,,,,,,,,,,
2022,瑞典,水能,千瓦时,36000,亿,瑞典能源局,https://www.energimyndigheten.se,2024-09-19,,,,,,,,,,,,
2023,日本,核能,吨标准煤,3.4,亿,日本能源经济研究所,https://www.izenr.com,2024-09-19,,,,,,,,,,,,
2022,德国,风能,千瓦时,7200,亿,德国联邦电力网,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2023,美国,太阳能,千瓦时,9500,亿,美国家能源信息管理局,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2021,印度,生物质能,吨标准煤,5.5,亿,印度可再生能源发展规划,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2023,中国,氢能,吨,200,万,《中国氢能发展报告2023》,https://www.chinacarnews.com,2024-09-19,,,,,,,,,,,,
2024,巴西,水能,千瓦时,13000,亿,巴西国家电力局,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2022,加拿大,可再生能源,吨标准煤,4,亿,加拿大环境与气候变化部,https://www.canada.ca/en/environment-climate-change.html,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,电池储能,吨,12,万,澳大利亚能源市场运营商,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,日本,太阳能,千瓦时,11500,亿,日本能源经济研究所,https://www.enecho.meti.go.jp,2024-09-19,,,,,,,,,,,,
2023,欧洲联盟,地热能,兆瓦时,3000,亿,欧洲可再生能源联合会,https://www.erec.org,2024-09-19,,,,,,,,,,,,
2024,亚洲,新材料,吨,800,万,亚洲新材料技术研究所,http://www.asiamaterials.org,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,20000,亿,中国可再生能源学会,http://www.creia.org.cn,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,12000,亿,德国联邦网络局,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2024,美国,太阳能,千瓦时,5000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,日本,电池储能,吨,10,万,日本电气信息技术产业协会,https://www.jeita.or.jp,2024-09-19,,,,,,,,,,,,
2022,全球,可再生能源,吨标准煤,5.6,亿,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2024,中国,生物质能,千瓦时,15000,亿,中国生物质能源协会,http://www.chinabiomass.org,2024-09-19,,,,,,,,,,,,
2023,英国,潮汐能,千瓦时,2500,亿,英国可再生能源协会,https://www.r-e-a.net,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,吨,15,万,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,8000,亿,巴西电网管理公司,http://www.ons.org.br,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,中国材料研究学会,http://www.cmri.cn,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,12500,亿,美国能源部,https://www.energy.gov/eere/wind/annual-wind-report,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,11000,亿,德国可再生能源协会,https://www.bee-ev.de/en/renewable-energies/solar-energy/,2024-09-19,,,,,,,,,,,,
2021,全球,可再生能源,吨标准煤,7.2,亿,国际能源署,https://www.iea.org/reports/world-energy-outlook,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,200,万,中国氢能产业发展报告,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2023,印度,电池储能,吨,10,万,印度可再生能源部,https://mnre.gov.in,2024-09-19,,,,,,,,,,,,
2022,日本,新材料,吨,300,万,日本新能源产业促进机构,https://www.nedo.go.jp/english,2024-09-19,,,,,,,,,,,,
2023,法国,电池储能,千瓦时,9500,亿,法国能源监管委员会,https://www.cre.fr,2024-09-19,,,,,,,,,,,,
2024,英国,可再生能源,吨标准煤,5.5,亿,英国气候变化委员会,https://www.theccc.org.uk,2024-09-19,,,,,,,,,,,,
2023,中国,生物质能源,吨,1000,万,中国农业部,http://www.moa.gov.cn,2024-09-19,,,,,,,,,,,,
2022,加拿大,风能,千瓦时,8500,亿,加拿大可再生能源协会,https://www.cansia.ca,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,6200,亿,美国能源部,https://www.energy.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,5950,亿,德国联邦能源署,https://www.bee.de,2024-09-19,,,,,,,,,,,,
2022,印度,可再生能源,吨标准煤,10.5,亿,印度能源研究所,https://www.ierf.in,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,15,万,中国电力网,http://www.chinapower.com.cn,2024-09-19,,,,,,,,,,,,
2024,巴西,生物能,千瓦时,2200,亿,巴西国家电力局,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2023,澳大利亚,太阳能,千瓦时,3500,亿,澳大利亚能源市场运营商,http://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2024,英国,风能,千瓦时,1800,亿,英国气象局,http://www.metoffice.gov.uk,2024-09-19,,,,,,,,,,,,
2022,日韩,氢能,吨标准煤,4.2,亿,亚洲能源协会,http://www.aea.org,2024-09-19,,,,,,,,,,,,
2023,中国,新材料,吨,800,万,华东科技大学,http://www.ecust.edu.cn,2024-09-19,,,,,,,,,,,,
2024,新加坡,电池储能,吨,20,万,新加坡国立大学,http://www.nus.edu.sg,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,18200,亿,德国能源与水电协会,https://www.bdew.de,2024-09-19,,,,,,,,,,,,
2023,美国,太阳能,千瓦时,15000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2021,日本,可再生能源,吨标准煤,5.5,亿,日本国际合作机构,https://www.jica.go.jp,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,800,万,中国材料研究学会,http://www.csm.org.cn,2024-09-19,,,,,,,,,,,,
2023,巴西,生物质能,吨,4.2,万,巴西能源部,https://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2024,印度,电池储能,吨,10,万,印度可再生能源发展局,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2022,法国,核能,千瓦时,11500,亿,法国原子能与替代能源委员会,https://www.cea.fr,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,风能,千瓦时,22000,亿,澳大利亚能源市场组织,https://www.aemo.com.au,2024-09-19,,,,,,,,,,,,
2023,英国,太阳能,千瓦时,9000,亿,英国可再生能源协会,https://www.r-e-a.net,2024-09-19,,,,,,,,,,,,
2023,新加坡,可再生能源,吨标准煤,1.2,亿,新加坡能源市场管理局,https://www.ema.gov.sg,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,20000,亿,能源经济研究所,http://www.energy-economics.com/,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,10500,亿,印度可再生能源发展部,http://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,德国,风能,千瓦时,4500,亿,德国能源署,http://www.dena.de/,2024-09-19,,,,,,,,,,,,
2022,全球,地热能,吨标准煤,1.2,亿,国际能源署,http://www.iea.org/,2024-09-19,,,,,,,,,,,,
2023,美国,电池储能,吨,15,万,美国能源部,https://www.energy.gov/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,750,万,中国材料研究学会,http://www.cms.org.cn/,2024-09-19,,,,,,,,,,,,
2024,巴西,生物质能,千瓦时,9000,亿,巴西农业部,http://www.agricultura.gov.br/,2024-09-19,,,,,,,,,,,,
2023,日本,核能,千瓦时,33000,亿,日本原子能委员会,http://www.jaecc.go.jp/,2024-09-19,,,,,,,,,,,,
2024,南非,水能,吨标准煤,2.5,亿,南非能源部,http://www.energy.gov.za/,2024-09-19,,,,,,,,,,,,
2023,中国,氢能,吨,5,万,中国氢能产业协会,http://www.chinahydrogen.org/,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千瓦时,30000,亿,中国氢能产业协会,http://www.chinahydrogen.org.cn,2024-09-19,,,,,,,,,,,,
2024,美国,风能,千瓦时,18000,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,9000,亿,德国可再生能源协会,https://www.bee-ev.de,2024-09-19,,,,,,,,,,,,
2023,印度,生物质能,吨标准煤,9.5,亿,印度能源部,http://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2022,巴西,水能,千瓦时,25000,亿,巴西电力企业协会,http://www.aneel.gov.br,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,15,万,中国电池行业协会,http://www.china-batteries.org.cn,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,12000,亿,澳大利亚可再生能源机构,https://www.energymatters.com.au,2024-09-19,,,,,,,,,,,,
2024,欧洲联盟,可再生能源,吨标准煤,15,亿,欧洲环保署,https://www.eea.europa.eu,2024-09-19,,,,,,,,,,,,
2023,日本,氢能,吨,8.5,万,日本氢能协会,https://www.hyogen.org,2024-09-19,,,,,,,,,,,,
2023,加拿大,电池储能,吨,10,万,加拿大电池协会,http://www.cbc.ca,2024-09-19,,,,,,,,,,,,
2023,德国,风能,千瓦时,12500,亿,德国能源网,https://www.energiewende.de/,2024-09-19,,,,,,,,,,,,
2024,日本,太阳能,千瓦时,9800,亿,日本太阳能协会,https://www.solar-japan.com/,2024-09-19,,,,,,,,,,,,
2024,美国,可再生能源,吨标准煤,7.5,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,750,万,中国科学院,http://www.cas.cn/,2024-09-19,,,,,,,,,,,,
2023,印度,电池储能,吨,12,万,印度新能源与可再生能源部,https://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,法国,氢能,千瓦时,3000,亿,法国可再生能源理事会,https://reseau-hydrogene.org/,2024-09-19,,,,,,,,,,,,
2023,巴西,生物能,千瓦时,6700,亿,巴西可再生能源协会,http://www.abbioenergia.org.br/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,8200,亿,澳大利亚能源市场运营商,https://www.aemo.com.au/,2024-09-19,,,,,,,,,,,,
2022,俄罗斯,水能,千瓦时,15000,亿,俄罗斯电力部,https://www.minenergo.gov.ru/,2024-09-19,,,,,,,,,,,,
2023,韩国,风能,千瓦时,4000,亿,韩国电力公司,https://www.kepco.co.kr/,2024-09-19,,,,,,,,,,,,
2023,印度,生物质能,千瓦时,3000,亿,印度能源局,https://www.cea.nic.in/,2024-09-19,,,,,,,,,,,,
2024,美国,氢能,吨,15,万,美国能源部,https://www.energy.gov/,2024-09-19,,,,,,,,,,,,
2022,德国,潮汐能,千瓦时,1200,亿,德国可再生能源协会,https://www.bee-ev.de/,2024-09-19,,,,,,,,,,,,
2023,巴西,风能,千瓦时,8500,亿,巴西国家电力公司,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,800,万,中国新材料产业技术创新战略联盟,http://www.cntic.com/,2024-09-19,,,,,,,,,,,,
2023,日本,太阳能,千瓦时,18700,亿,日本可再生能源中心,https://www.renewable-ei.org/,2024-09-19,,,,,,,,,,,,
2023,加拿大,水能,千瓦时,20000,亿,加拿大水力电力协会,https://www.hydro.ca/,2024-09-19,,,,,,,,,,,,
2022,澳大利亚,电池储能,吨,3.5,万,澳大利亚能源市场组织,https://www.aemo.com.au/,2024-09-19,,,,,,,,,,,,
2023,法国,地热能,千瓦时,5000,亿,法国可再生能源组织,https://reseau-energie.fr/,2024-09-19,,,,,,,,,,,,
2024,韩国,氢能,吨,10,万,韩国能源经济研究院,http://www.keei.re.kr/,2024-09-19,,,,,,,,,,,,
2023,印度,太阳能,千瓦时,9500,亿,印度可再生能源协会,https://www.ireda.in,2024-09-19,,,,,,,,,,,,
2024,美国,风能,千瓦时,17500,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2024,德国,生物质能,吨标准煤,3.2,亿,德国联邦环境局,https://www.umweltbundesamt.de,2024-09-19,,,,,,,,,,,,
2024,日本,氢能,吨,1000,万,日本能源经济研究所,https://www.ier.go.jp,2024-09-19,,,,,,,,,,,,
2023,巴西,水电,千瓦时,2000,亿,巴西电力部,http://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,电池储能,吨,15,万,澳大利亚可再生能源署,https://www.cleanenergy.gov.au,2024-09-19,,,,,,,,,,,,
2023,南非,风能,千瓦时,3000,亿,南非可再生能源协会,https://www.sare.org.za,2024-09-19,,,,,,,,,,,,
2024,加拿大,潮汐能,吨标准煤,1.5,亿,加拿大自然资源部,https://www.nrcan.gc.ca,2024-09-19,,,,,,,,,,,,
2023,英国,地热能,千瓦时,4000,亿,英国能源和净零排放办公室,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-19,,,,,,,,,,,,
2024,俄罗斯,新能源材料,吨,250,万,俄罗斯土地资源部,https://www.mnr.gov.ru,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,25300,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2022,德国,太阳能,千瓦时,12900,亿,德国可再生能源协会,https://www.bee-ev.de/,2024-09-19,,,,,,,,,,,,
2021,印度,水能,千瓦时,6800,亿,印度水资源部,http://wrmin.gov.in/,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,15,万,中国新能源网,https://www.cea.nic.in/,2024-09-19,,,,,,,,,,,,
2023,加拿大,生物能,千瓦时,4900,亿,加拿大能源局,https://www.nrcan.gc.ca/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,18000,亿,澳大利亚可再生能源局,https://www.renewables.gov.au/,2024-09-19,,,,,,,,,,,,
2023,巴西,风能,吨标准煤,3.7,亿,巴西电力监管局,https://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2022,日本,氢能,吨,12,万,日本能源经济研究所,https://www.enecho.meti.go.jp/,2024-09-19,,,,,,,,,,,,
2024,英国,新材料,吨,400,万,英国气候变化办公室,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-19,,,,,,,,,,,,
2024,法国,地热能,千瓦时,2000,亿,法国家能源管理局,https://www.developpement-durable.gouv.fr/,2024-09-19,,,,,,,,,,,,
2023,美国,风能,千瓦时,20000,亿,美国能量部,https://www.energy.gov/news/,2024-09-19,,,,,,,,,,,,
2022,印度,太阳能,千瓦时,12000,亿,印度可再生能源部,http://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2023,欧盟,氢能,吨,300,万,欧盟能源安全报告,https://ec.europa.eu/energy/home_en,2024-09-19,,,,,,,,,,,,
2021,中国,电池储能,吨,10,万,中国电力报,http://www.cpnn.com.cn/,2024-09-19,,,,,,,,,,,,
2020,全球,可再生能源,吨标准煤,8.5,亿,全球能源统计报告,https://www.iea.org/statistics,2024-09-19,,,,,,,,,,,,
2024,巴西,生物能,千瓦时,9000,亿,巴西国家电力公司,https://www.eletrobras.com/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,600,万,新材料发展趋势报告,http://www.nm-info.gov.cn/,2024-09-19,,,,,,,,,,,,
2022,澳大利亚,太阳能,千瓦时,15000,亿,澳大利亚可再生能源机构,https://www.renewablesaustralia.com.au/,2024-09-19,,,,,,,,,,,,
2023,德国,风能,吨,450,万,德国能源转型报告,https://www.energytransition.org/,2024-09-19,,,,,,,,,,,,
2024,南非,太阳能,千瓦时,5000,亿,南非能源部,https://www.energy.gov.za/,2024-09-19,,,,,,,,,,,,
2022,印度,风能,千瓦时,12000,亿,印度可再生能源发展部,https://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,9800,亿,德国联邦能源局,https://www.bfe.bund.de/,2024-09-19,,,,,,,,,,,,
2024,美国,电池储能,吨,10,万,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,氢能,吨,120,万,澳大利亚清洁能源委员会,https://www.cleanenergycouncil.org.au/,2024-09-19,,,,,,,,,,,,
2021,日本,可再生能源,吨标准煤,4.5,亿,日本可再生能源学会,https://www.renewables.org.jp/,2024-09-19,,,,,,,,,,,,
2023,挪威,水力发电,千瓦时,7500,亿,挪威水资源和能源局,https://www.nve.no/,2024-09-19,,,,,,,,,,,,
2024,英国,生物能,吨,77,万,英国可再生能源协会,https://www.r-e-a.net/,2024-09-19,,,,,,,,,,,,
2022,加拿大,太阳能,千瓦时,6500,亿,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-19,,,,,,,,,,,,
2021,南非,风能,吨标准煤,2.5,亿,南非可再生能源局,https://www.energy.gov.za/,2024-09-19,,,,,,,,,,,,
2024,巴西,新材料,吨,1.5,万,巴西国家电力局,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
