年份,国家,重点城市,万元GDP能耗,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2021,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,http://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,苏州,0.79,吨标准煤/万元GDP,苏州市统计局,http://www.suzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.82,吨标准煤/万元GDP,天津市统计局,http://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.88,吨标准煤/万元GDP,青岛市统计局,http://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,沈阳,0.96,吨标准煤/万元GDP,辽宁省统计局,http://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,佛山,0.85,吨标准煤/万元GDP,佛山市统计局,http://www.foshan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.81,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.76,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.84,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.9,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,福州,0.77,吨标准煤/万元GDP,福建省统计局,https://www.fujian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,合肥,0.85,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,哈尔滨,0.92,吨标准煤/万元GDP,黑龙江省统计局,https://www.hlj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.8,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.79,吨标准煤/万元GDP,山东省统计局,https://www.sd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.91,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.87,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,郑州,0.85,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,合肥,0.82,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,昆明,0.89,吨标准煤/万元GDP,云南省统计局,https://www.yn.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,福州,0.84,吨标准煤/万元GDP,福建省统计局,https://www.fujian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.76,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/jjxx/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.81,吨标准煤/万元GDP,南京市统计局,http://tjj.nanjing.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,http://tjj.cq.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.84,吨标准煤/万元GDP,武汉市统计局,http://tjj.wuhan.gov.cn/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.92,吨标准煤/万元GDP,西安市统计局,http://tjj.xa.gov.cn/,2024-09-20,,,,,,,,,,,,,
2021,中国,沈阳,0.87,吨标准煤/万元GDP,沈阳市统计局,http://www.shenyang.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,青岛,0.83,吨标准煤/万元GDP,青岛市统计局,http://tjj.qd.gov.cn/,2024-09-20,,,,,,,,,,,,,
2020,中国,杭州,0.77,吨标准煤/万元GDP,浙江省统计局,https://www.zj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,福州,0.8,吨标准煤/万元GDP,福州市统计局,http://www.fuzhou.gov.cn/ztj/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.86,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/xxgk/tjsj/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.87,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.92,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.79,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.88,吨标准煤/万元GDP,陕西省统计局,https://www.sx.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,大连,0.91,吨标准煤/万元GDP,大连市统计局,https://www.dl.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,福州,0.8,吨标准煤/万元GDP,福州市统计局,https://www.fz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,沈阳,0.89,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.91,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.76,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2024,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2024,中国,沈阳,0.87,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,福州,0.75,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,合肥,0.8,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.87,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.83,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.85,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.79,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.91,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.77,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,郑州,0.82,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.8,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,哈尔滨,0.86,吨标准煤/万元GDP,哈尔滨市统计局,https://www.harbin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,沈阳,0.84,吨标准煤/万元GDP,沈阳市统计局,https://www.shenyang.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.76,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.8,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.86,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,厦门,0.79,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,成都,0.93,吨标准煤/万元GDP,四川省统计局,https://www.sc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,珠海,0.77,吨标准煤/万元GDP,珠海市统计局,https://www.zh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,福州,0.81,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.83,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/zfxxgk/ztzl/stats/,2024-09-20,,,,,,,,,,,,,
2021,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,http://tjj.cq.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.8,吨标准煤/万元GDP,青岛市统计局,http://tjj.qd.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.84,吨标准煤/万元GDP,天津市统计局,http://www.tj.stats.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.86,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/ztjd/stats/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.79,吨标准煤/万元GDP,厦门市统计局,http://tjj.xm.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,合肥,0.75,吨标准煤/万元GDP,合肥市统计局,http://www.hf.stats.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,苏州,0.81,吨标准煤/万元GDP,苏州市统计局,http://tjj.suzhou.gov.cn/,2024-09-20,,,,,,,,,,,,,
2021,中国,大连,0.92,吨标准煤/万元GDP,大连市统计局,http://www.dlstats.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南京,0.84,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.8,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.86,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,沈阳,0.92,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.75,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,福州,0.83,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,郑州,0.88,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.79,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.76,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.89,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.jssb.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.75,吨标准煤/万元GDP,厦门市统计局,http://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.85,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.91,吨标准煤/万元GDP,天津市统计局,http://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.84,吨标准煤/万元GDP,西安市统计局,http://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,沈阳,0.92,吨标准煤/万元GDP,沈阳市统计局,http://www.sy.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,哈尔滨,0.87,吨标准煤/万元GDP,黑龙江省统计局,http://www.hlj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,福州,0.79,吨标准煤/万元GDP,福州市统计局,http://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.76,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,厦门,0.79,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,沈阳,0.92,吨标准煤/万元GDP,辽宁省统计局,https://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.83,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.77,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.84,吨标准煤/万元GDP,安徽省统计局,https://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,济南,0.73,吨标准煤/万元GDP,济南市统计局,https://www.jinan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,长春,0.91,吨标准煤/万元GDP,吉林省统计局,https://www.jl.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,拉萨,0.96,吨标准煤/万元GDP,西藏自治区统计局,https://www.xz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,福州,0.8,吨标准煤/万元GDP,福建省统计局,https://www.fujian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,天津,0.81,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.79,吨标准煤/万元GDP,江苏省统计局,https://www.jssjt.gov.cn/,2024-09-20,,,,,,,,,,,,,
2021,中国,重庆,0.93,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.87,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2022,中国,合肥,0.83,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.88,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,福州,0.77,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,南昌,0.91,吨标准煤/万元GDP,南昌市统计局,https://www.nc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.87,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.79,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.91,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,青岛,0.84,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.8,吨标准煤/万元GDP,南京市统计局,https://www.nj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,福州,0.83,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,天津,0.86,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,哈尔滨,0.92,吨标准煤/万元GDP,哈尔滨市统计局,https://www.hrbb.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,杭州,0.81,吨标准煤/万元GDP,浙江省统计局,https://www.zj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,合肥,0.85,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,重庆,0.83,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,武汉,0.79,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,南京,0.87,吨标准煤/万元GDP,江苏省统计局,https://www.jss.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
