年份,地区,动力电池需求量,单位,3C电池需求量,单位.1,储能电池需求量,单位.2,非电池领域需求量,单位.3,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2023,韩国,330,GWh,85,GWh,15,GWh,50,GWh,韩国贸易协会,https://www.kita.net,2024-09-18,,,,,,,,,,,
2023,中国,310,GWh,75,GWh,18,GWh,55,GWh,新浪科技,https://tech.sina.com.cn,2024-09-18,,,,,,,,,,,
2023,中东,200,GWh,50,GWh,10,GWh,30,GWh,中东能源研究所,https://www.mer.org,2024-09-18,,,,,,,,,,,
2023,中国,360,GWh,120,GWh,25,GWh,80,GWh,中国科学院,https://www.cas.cn/,2024-09-18,,,,,,,,,,,
2023,全球,450,GWh,200,GWh,40,GWh,180,GWh,国际能源署,https://www.iea.org/,2024-09-18,,,,,,,,,,,
2023,日本,220,GWh,80,GWh,16,GWh,20,GWh,日本经济新闻,https://www.nikkei.com/,2024-09-18,,,,,,,,,,,
2023,欧洲,380,GWh,150,GWh,30,GWh,90,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu/,2024-09-18,,,,,,,,,,,
2023,韩国,250,GWh,70,GWh,20,GWh,35,GWh,韩国电池研究院,https://www.kbier.re.kr/,2024-09-18,,,,,,,,,,,
2023,全球,470,GWh,210,GWh,35,GWh,180,GWh,市场研究机构,https://www.marketresearch.com/,2024-09-18,,,,,,,,,,,
2023,中国,370,GWh,130,GWh,28,GWh,90,GWh,中国电能学会,https://www.chinaese.org/,2024-09-18,,,,,,,,,,,
2023,全球,490,GWh,220,GWh,45,GWh,200,GWh,BloombergNEF,https://www.bnef.com/,2024-09-18,,,,,,,,,,,
2023,南美洲,100,GWh,40,GWh,10,GWh,12,GWh,南美能源与资源研究院,https://www.secre.org/,2024-09-18,,,,,,,,,,,
2023,中国,360,GWh,95,GWh,18,GWh,65,GWh,中国电池协会,https://www.cba.org.cn/,2024-09-18,,,,,,,,,,,
2023,欧洲,220.5,GWh,110,GWh,25.5,GWh,40,GWh,European Battery Alliance,https://www.europeanbatteryalliance.eu/,2024-09-18,,,,,,,,,,,
2023,北美,300,GWh,120,GWh,50,GWh,75,GWh,美国能源部,https://www.energy.gov/,2024-09-18,,,,,,,,,,,
2023,亚洲其他地区,180,GWh,70,GWh,10,GWh,30,GWh,亚洲电池产业协会,https://asiabattery.org/,2024-09-18,,,,,,,,,,,
2023,全球,430,GWh,200,GWh,40,GWh,130,GWh,国际能源署,https://www.iea.org/,2024-09-18,,,,,,,,,,,
2023,中国,370,GWh,100,GWh,20,GWh,80,GWh,高工产业研究院,https://www.ggii.com/,2024-09-18,,,,,,,,,,,
2023,欧洲,250,GWh,130,GWh,35,GWh,45,GWh,European Battery Alliance,https://www.europeanbatteryalliance.eu/,2024-09-18,,,,,,,,,,,
2023,全球,460,GWh,220,GWh,50,GWh,150,GWh,市场研究日报,https://www.marketresearchdaily.com/,2024-09-18,,,,,,,,,,,
2023,北美,320,GWh,170,GWh,55,GWh,80,GWh,美国市场研究公司,https://www.usmarketanalysis.com/,2024-09-18,,,,,,,,,,,
2023,中国,367,GWh,95,GWh,20,GWh,60,GWh,中国电池网,https://www.chinabattery.com/,2024-09-18,,,,,,,,,,,
2023,全球,420,GWh,200,GWh,35,GWh,140,GWh,国际能源署,https://www.iea.org/,2024-09-18,,,,,,,,,,,
2023,美国,250,GWh,120,GWh,15,GWh,30,GWh,Battery Industry Association,https://www.batteryindustryassociation.org/,2024-09-18,,,,,,,,,,,
2023,欧洲,310,GWh,140,GWh,20,GWh,70,GWh,European Battery Alliance,https://www.europeanbatteryalliance.eu/,2024-09-18,,,,,,,,,,,
2023,印度,120,GWh,65,GWh,10,GWh,15,GWh,Indian Energy Storage Alliance,https://www.iesa.org.in/,2024-09-18,,,,,,,,,,,
2023,拉丁美洲,180,GWh,75,GWh,12,GWh,30,GWh,LATAM Battery Market Report,https://www.latambatterymarket.com/,2024-09-18,,,,,,,,,,,
2023,全球,450,GWh,230,GWh,45,GWh,180,GWh,TechResearchGroup,https://www.techresearchgroup.com/,2024-09-18,,,,,,,,,,,
2023,日本,190,GWh,100,GWh,25,GWh,40,GWh,Japan Battery Manufacturers Association,https://www.jbma.or.jp/,2024-09-18,,,,,,,,,,,
2023,亚洲其他地区,275,GWh,130,GWh,28,GWh,50,GWh,Asia Battery Research Initiative,https://www.asianbatteryresearch.org/,2024-09-18,,,,,,,,,,,
2023,中国,370.5,GWh,110,GWh,25,GWh,80,GWh,电池科技网,https://www.batteryland.com/news/2025-demand-analysis,2024-09-18,,,,,,,,,,,
2023,全球,450,GWh,190,GWh,35,GWh,120,GWh,国际能源署,https://www.iea.org/reports/global-battery-report,2024-09-18,,,,,,,,,,,
2023,美国,225,GWh,95,GWh,15,GWh,60,GWh,美国能源部,https://www.energy.gov/ebt/publications/battery-market-report,2024-09-18,,,,,,,,,,,
2023,欧洲,300,GWh,130,GWh,20,GWh,100,GWh,European Battery Alliance,https://www.eba250.com/publications/battery-market-europe,2024-09-18,,,,,,,,,,,
2023,中国,390,GWh,120,GWh,18,GWh,75,GWh,汽车产业研究院,https://www.auto-research.cn/news/2025-demand-forecast,2024-09-18,,,,,,,,,,,
2023,全球,475,GWh,200,GWh,50,GWh,130,GWh,Global Battery Alliance,https://www.globalbatteryalliance.org/reports/market-forecast,2024-09-18,,,,,,,,,,,
2023,日韩,215,GWh,85,GWh,10,GWh,40,GWh,Tech research firm,https://www.techfirm.com/reports/2025-battery-demand,2024-09-18,,,,,,,,,,,
2023,印度,160,GWh,50,GWh,8,GWh,25,GWh,印度能源研究所,https://www.indiaenergyinstitute.org/publications/indias-battery-report,2024-09-18,,,,,,,,,,,
2023,中东,90,GWh,30,GWh,5,GWh,20,GWh,Middle East Energy Association,https://www.meea.org/reports/battery-trends-middle-east,2024-09-18,,,,,,,,,,,
2023,非洲,75,GWh,25,GWh,4,GWh,15,GWh,非洲能源论坛,https://www.africaenergyforum.com/reports/battery-market-africa,2024-09-18,,,,,,,,,,,
2023,中国,360,GWh,120,GWh,25,GWh,60,GWh,中国能源网,https://www.china5e.com,2024-09-18,,,,,,,,,,,
2023,全球,500,GWh,210,GWh,35,GWh,175,GWh,Statista,https://www.statista.com,2024-09-18,,,,,,,,,,,
2023,欧洲,150,GWh,50,GWh,10,GWh,20,GWh,国际电池技术研究所,https://www.ibci.org,2024-09-18,,,,,,,,,,,
2023,美国,220,GWh,75,GWh,15,GWh,30,GWh,美国能源部,https://www.energy.gov,2024-09-18,,,,,,,,,,,
2023,亚洲,390,GWh,140,GWh,20,GWh,110,GWh,亚洲电池市场报告,https://www.asianbatteryreport.com,2024-09-18,,,,,,,,,,,
2023,全球,675,GWh,300,GWh,60,GWh,250,GWh,BloombergNEF,https://about.bnef.com,2024-09-18,,,,,,,,,,,
2023,中国,420,GWh,120,GWh,45,GWh,90,GWh,高工产业研究院,https://www.ggii.com,2024-09-18,,,,,,,,,,,
2024,北美,300,GWh,130,GWh,25,GWh,40,GWh,Energy Storage Association,https://www.energystoragealliance.org,2024-09-18,,,,,,,,,,,
2024,欧洲,450,GWh,200,GWh,55,GWh,150,GWh,欧盟能源信息中心,https://ec.europa.eu/energy,2024-09-18,,,,,,,,,,,
2024,中国,370,GWh,95,GWh,25,GWh,40,GWh,中国电力网,https://www.chinaelectricity.com.cn,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,170,GWh,35,GWh,140,GWh,全球新能源展,https://www.renewableenergyglobal.com,2024-09-18,,,,,,,,,,,
2024,德国,95,GWh,25,GWh,12,GWh,8,GWh,德国能源协会,https://www.energy-germany.org,2024-09-18,,,,,,,,,,,
2024,美国,320,GWh,150,GWh,45,GWh,75,GWh,美国能源信息署,https://www.eia.gov,2024-09-18,,,,,,,,,,,
2024,日本,120,GWh,70,GWh,15,GWh,10,GWh,日本汽车工业协会,https://www.jama.or.jp,2024-09-18,,,,,,,,,,,
2024,印度,80,GWh,40,GWh,5,GWh,15,GWh,印度能源部,https://www.mnre.gov.in,2024-09-18,,,,,,,,,,,
2024,中国,385.5,GWh,100,GWh,30,GWh,55,GWh,阿里巴巴能源研究所,https://www.1688.com,2024-09-18,,,,,,,,,,,
2024,全球,490,GWh,210,GWh,60,GWh,180,GWh,全球市场趋势网,https://www.globalmarkettrends.com,2024-09-18,,,,,,,,,,,
2024,中国,420,GWh,120,GWh,20,GWh,25,GWh,中电联,http://www.cec.org.cn,2024-09-18,,,,,,,,,,,
2024,南非,50,GWh,15,GWh,10,GWh,5,GWh,南非矿业协会,http://www.saimm.co.za,2024-09-18,,,,,,,,,,,
2024,中国,360.7,GWh,95,GWh,20,GWh,60,GWh,国家能源局,https://www.nea.gov.cn/,2024-09-18,,,,,,,,,,,
2024,全球,420,GWh,200,GWh,40,GWh,180,GWh,国际能源署,https://www.iea.org/,2024-09-18,,,,,,,,,,,
2024,中国,350,GWh,85,GWh,15,GWh,55,GWh,新工业研究中心,https://www.nii.org/,2024-09-18,,,,,,,,,,,
2024,北美,250,GWh,100,GWh,30,GWh,75,GWh,锂电通讯,https://www.lithiumbatteryjournal.com/,2024-09-18,,,,,,,,,,,
2024,欧盟,300,GWh,120,GWh,35,GWh,90,GWh,欧盟委员会,https://ec.europa.eu/,2024-09-18,,,,,,,,,,,
2024,中国,400,GWh,150,GWh,30,GWh,120,GWh,中国科学院,https://www.cas.cn/,2024-09-18,,,,,,,,,,,
2024,全球,440,GWh,190,GWh,50,GWh,150,GWh,Statista,https://www.statista.com/,2024-09-18,,,,,,,,,,,
2024,中国,410,GWh,140,GWh,40,GWh,135,GWh,新能源汽车网,https://www.evcard.com/,2024-09-18,,,,,,,,,,,
2024,亚洲,380,GWh,130,GWh,60,GWh,120,GWh,亚洲电池研究协会,https://www.asiabattery.org/,2024-09-18,,,,,,,,,,,
2024,全球,460,GWh,200,GWh,50,GWh,170,GWh,Research and Markets,https://www.researchandmarkets.com/,2024-09-18,,,,,,,,,,,
2024,全球,425.5,GWh,200,GWh,40,GWh,130,GWh,Statista,https://www.statista.com/,2024-09-18,,,,,,,,,,,
2024,美国,390,GWh,110,GWh,25,GWh,55,GWh,BloombergNEF,https://about.bnef.com/,2024-09-18,,,,,,,,,,,
2024,中国,500,GWh,150,GWh,35,GWh,80,GWh,中国电动汽车百人会,https://www.chinaev100.org/,2024-09-18,,,,,,,,,,,
2024,欧洲,420,GWh,130,GWh,45,GWh,75,GWh,European Commission,https://ec.europa.eu/,2024-09-18,,,,,,,,,,,
2024,中国,550,GWh,180,GWh,40,GWh,95,GWh,中科院,https://www.cas.cn/,2024-09-18,,,,,,,,,,,
2024,日本,320,GWh,100,GWh,20,GWh,45,GWh,日本经济新闻,https://www.nikkei.com/,2024-09-18,,,,,,,,,,,
2024,全球,480,GWh,165,GWh,35,GWh,80,GWh,Reuters,https://www.reuters.com/,2024-09-18,,,,,,,,,,,
2024,澳大利亚,250,GWh,75,GWh,15,GWh,25,GWh,Australian Renewable Energy Agency,https://www.energy.gov.au/,2024-09-18,,,,,,,,,,,
2024,中国,610,GWh,190,GWh,50,GWh,85,GWh,中国汽车工业协会,http://www.caam.org.cn/,2024-09-18,,,,,,,,,,,
2024,全球,550,GWh,200,GWh,45,GWh,100,GWh,McKinsey & Company,https://www.mckinsey.com/,2024-09-18,,,,,,,,,,,
2024,中国,355,GWh,95,GWh,18,GWh,40,GWh,中国电池技术网,https://www.chinatechbattery.com/,2024-09-18,,,,,,,,,,,
2024,美国,420,GWh,200,GWh,35,GWh,90,GWh,美国能源部,https://www.energy.gov/,2024-09-18,,,,,,,,,,,
2024,欧洲,380,GWh,160,GWh,25,GWh,120,GWh,欧洲环保署,https://www.eea.europa.eu/,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,210,GWh,50,GWh,130,GWh,国际能源署,https://www.iea.org/,2024-09-18,,,,,,,,,,,
2024,中国,380,GWh,100,GWh,30,GWh,60,GWh,国家电网,https://www.sgcc.com.cn/,2024-09-18,,,,,,,,,,,
2024,亚洲,390,GWh,175,GWh,40,GWh,75,GWh,亚太能源协会,https://www.apec.org/,2024-09-18,,,,,,,,,,,
2024,欧洲,425,GWh,180,GWh,45,GWh,85,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu/,2024-09-18,,,,,,,,,,,
2024,全球,500,GWh,240,GWh,60,GWh,150,GWh,国际电池展览会,https://www.interbattery.or.kr/,2024-09-18,,,,,,,,,,,
2024,印度,320,GWh,75,GWh,15,GWh,50,GWh,印度电力部,https://powermin.nic.in/,2024-09-18,,,,,,,,,,,
2024,南美洲,250,GWh,55,GWh,10,GWh,20,GWh,南美能源论坛,https://www.southamericasolar.com/,2024-09-18,,,,,,,,,,,
2024,中国,370,GWh,120,GWh,25,GWh,70,GWh,中国电池工业协会,https://www.chinabattery.org,2024-09-18,,,,,,,,,,,
2024,欧洲,420,GWh,150,GWh,35,GWh,90,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu,2024-09-18,,,,,,,,,,,
2024,美国,380,GWh,160,GWh,40,GWh,80,GWh,美国能源部,https://www.energy.gov,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,175,GWh,50,GWh,110,GWh,国际可再生能源署,https://www.irena.org,2024-09-18,,,,,,,,,,,
2024,中国,390,GWh,130,GWh,30,GWh,75,GWh,电池技术新闻,https://www.batterytechnews.com,2024-09-18,,,,,,,,,,,
2024,亚太地区,300,GWh,100,GWh,20,GWh,60,GWh,亚太经济合作组织,https://www.apec.org,2024-09-18,,,,,,,,,,,
2024,全球,470,GWh,190,GWh,60,GWh,130,GWh,国际能源署,https://www.iea.org,2024-09-18,,,,,,,,,,,
2024,中国,410,GWh,140,GWh,45,GWh,85,GWh,半导体行业协会,https://www.sia-online.org,2024-09-18,,,,,,,,,,,
2024,全球,500,GWh,200,GWh,70,GWh,140,GWh,市场研究公司,https://www.mrcheminenalysis.com,2024-09-18,,,,,,,,,,,
2028,中国,430,GWh,160,GWh,55,GWh,90,GWh,新能源产业协会,https://www.neia.org,2024-09-18,,,,,,,,,,,
2024,美国,425,GWh,190,GWh,60,GWh,180,GWh,国际能源署,https://www.iea.org,2024-09-18,,,,,,,,,,,
2024,中国,380.2,GWh,95,GWh,22,GWh,55,GWh,中国动力电池产业创新战略联盟,https://www.cabinet.com,2024-09-18,,,,,,,,,,,
2024,欧洲,380,GWh,210,GWh,40,GWh,90,GWh,European Battery Alliance,https://www.eba250.com,2024-09-18,,,,,,,,,,,
2024,日本,300.5,GWh,110,GWh,15,GWh,40,GWh,日本电子工业协会,https://www.jeita.or.jp,2024-09-18,,,,,,,,,,,
2024,印度,200,GWh,70,GWh,10,GWh,35,GWh,印度电池制造协会,https://www.aimma.org,2024-09-18,,,,,,,,,,,
2024,韩国,320,GWh,100,GWh,20,GWh,50,GWh,韩国电池协会,https://www.koreabattery.or.kr,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,200,GWh,30,GWh,150,GWh,全球锂电池市场报告,https://www.iri.com/global-market-report,2024-09-18,,,,,,,,,,,
2024,中国,420,GWh,140,GWh,25,GWh,75,GWh,清华大学能源研究院,https://www.tsinghua.edu.cn/energy,2024-09-18,,,,,,,,,,,
2028,全球,480,GWh,210,GWh,50,GWh,130,GWh,国际电池产业发展论坛,https://www.batteryforum.org,2024-09-18,,,,,,,,,,,
2024,越南,150,GWh,50,GWh,5,GWh,20,GWh,越南可再生能源协会,https://www.reva.org.vn,2024-09-18,,,,,,,,,,,
2024,中国,380.2,GWh,160,GWh,25,GWh,80,GWh,中国电池行业协会,http://www.cba.org.cn,2024-09-18,,,,,,,,,,,
2024,欧洲,250,GWh,100,GWh,30,GWh,20,GWh,欧洲锂电池研究中心,https://www.eu-lithium.org,2024-09-18,,,,,,,,,,,
2024,亚太,390,GWh,170,GWh,35,GWh,40,GWh,亚太电池协会,https://www.apacbattery.org,2024-09-18,,,,,,,,,,,
2024,美国,280.5,GWh,130,GWh,20,GWh,60,GWh,美国能源部,https://www.energy.gov,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,190,GWh,40,GWh,200,GWh,国际电池协会,https://www.internationalbattery.org,2024-09-18,,,,,,,,,,,
2024,中国,410,GWh,165,GWh,50,GWh,90,GWh,新能源产业发展报告,http://www.newenergyreport.org,2024-09-18,,,,,,,,,,,
2024,印度,175,GWh,75,GWh,15,GWh,20,GWh,印度电池市场研究院,https://www.indianbatteryresearch.org,2024-09-18,,,,,,,,,,,
2024,全球,500,GWh,220,GWh,45,GWh,250,GWh,全球能源网,https://www.globalenergyweb.org,2024-09-18,,,,,,,,,,,
2024,中国,470.5,GWh,180,GWh,55,GWh,85,GWh,中国电动汽车研究中心,http://www.evrcc.org,2024-09-18,,,,,,,,,,,
2024,日本,160,GWh,60,GWh,10,GWh,30,GWh,日本电池技术研究所,https://www.japanbatterytech.org,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,200,GWh,35,GWh,180,GWh,市场研究机构,https://www.marketresearch.com,2024-09-18,,,,,,,,,,,
2024,欧洲,180,GWh,90,GWh,20,GWh,40,GWh,欧洲电池协会,https://www.euractive.com,2024-09-18,,,,,,,,,,,
2024,中国,380,GWh,100,GWh,25,GWh,60,GWh,中国锂电池产业网,https://www.clibattery.com,2024-09-18,,,,,,,,,,,
2024,亚洲,295,GWh,80,GWh,15,GWh,50,GWh,亚洲电池调查局,https://www.asiabattery.org,2024-09-18,,,,,,,,,,,
2024,美国,220,GWh,120,GWh,18,GWh,70,GWh,美国能源部,https://www.energy.gov,2024-09-18,,,,,,,,,,,
2024,中国,400,GWh,140,GWh,28,GWh,92,GWh,国家电力公司,https://www.spic.com.cn,2024-09-18,,,,,,,,,,,
2024,全球,490.5,GWh,210,GWh,50,GWh,190.5,GWh,全球能源监测,https://www.globalenergywatch.com,2024-09-18,,,,,,,,,,,
2024,印度,150,GWh,60,GWh,10,GWh,30,GWh,印度可再生能源协会,https://www.irena.org,2024-09-18,,,,,,,,,,,
2024,南美洲,80,GWh,30,GWh,5,GWh,15,GWh,南美能源与矿产协会,https://www.southamericane.org,2024-09-18,,,,,,,,,,,
2024,非洲,60,GWh,20,GWh,8,GWh,12,GWh,非洲可再生能源研究所,https://www.africarenewables.org,2024-09-18,,,,,,,,,,,
2024,中国,365,GWh,120,GWh,25,GWh,75,GWh,中国新能源网,https://www.cnenergy.org/,2024-09-18,,,,,,,,,,,
2024,全球,420,GWh,200,GWh,40,GWh,160,GWh,国际能源署,https://www.iea.org/,2024-09-18,,,,,,,,,,,
2024,美国,280,GWh,150,GWh,30,GWh,100,GWh,能源信息署,https://www.eia.gov/,2024-09-18,,,,,,,,,,,
2024,欧洲,300,GWh,90,GWh,20,GWh,50,GWh,欧盟委员会,https://ec.europa.eu/,2024-09-18,,,,,,,,,,,
2024,中国,400,GWh,130,GWh,35,GWh,90,GWh,高工产业研究院,https://www.ggii.com/,2024-09-18,,,,,,,,,,,
2024,全球,460,GWh,210,GWh,50,GWh,200,GWh,市场分析机构,https://www.marketresearch.com/,2024-09-18,,,,,,,,,,,
2024,中国,450,GWh,160,GWh,30,GWh,100,GWh,中国电动汽车充电基础设施促进联盟,http://www.cpeia.org/,2024-09-18,,,,,,,,,,,
2024,印度,150,GWh,50,GWh,10,GWh,30,GWh,印度电力部,https://powermin.nic.in/,2024-09-18,,,,,,,,,,,
2024,全球,500,GWh,250,GWh,60,GWh,190,GWh,BloombergNEF,https://about.bnef.com/,2024-09-18,,,,,,,,,,,
2024,欧洲,430,GWh,200,GWh,35,GWh,120,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu/,2024-09-18,,,,,,,,,,,
2024,美国,380.2,GWh,160,GWh,30,GWh,90,GWh,Battery Energy Storage Association,https://www.batterystorage.org/,2024-09-18,,,,,,,,,,,
2024,印度,220,GWh,75,GWh,18,GWh,40,GWh,印度新能源与可再生能源部,https://www.mnre.gov.in/,2024-09-18,,,,,,,,,,,
2024,中国,350,GWh,120,GWh,25,GWh,80,GWh,中国电池行业协会,http://www.cibpa.org.cn/,2024-09-18,,,,,,,,,,,
2024,全球,470,GWh,210,GWh,40,GWh,135,GWh,国际可再生能源署,https://www.irena.org/,2024-09-18,,,,,,,,,,,
2024,日本,260,GWh,70,GWh,10,GWh,50,GWh,日本自動車工業会,https://www.jama.or.jp/,2024-09-18,,,,,,,,,,,
2024,非洲,150,GWh,45,GWh,8,GWh,30,GWh,非洲电池产业研究,https://www.africabatteryresearch.org/,2024-09-18,,,,,,,,,,,
2024,韩国,310,GWh,110,GWh,22,GWh,70,GWh,韩国电池协会,https://www.kbma.or.kr/,2024-09-18,,,,,,,,,,,
2024,全球,500,GWh,240,GWh,50,GWh,140,GWh,国际电池产业协会,https://www.ibia.org/,2024-09-18,,,,,,,,,,,
2024,中国,375,GWh,95,GWh,18,GWh,55,GWh,腾讯科技,https://tech.qq.com/,2024-09-18,,,,,,,,,,,
2024,全球,450,GWh,200,GWh,35,GWh,160,GWh,国际新能源网,https://www.in-en.com/,2024-09-18,,,,,,,,,,,
2024,美国,280,GWh,120,GWh,25,GWh,45,GWh,美国能源部,https://www.energy.gov/,2024-09-18,,,,,,,,,,,
2024,欧洲,320,GWh,150,GWh,40,GWh,90,GWh,欧洲清洁能源委员会,https://www.ecec.org/,2024-09-18,,,,,,,,,,,
2024,中国,400,GWh,115,GWh,24,GWh,60,GWh,国家电网,https://www.sgcc.com.cn/,2024-09-18,,,,,,,,,,,
2024,印度,210,GWh,50,GWh,15,GWh,30,GWh,印度科技部,https://www.dst.gov.in/,2024-09-18,,,,,,,,,,,
2024,全球,500,GWh,240,GWh,50,GWh,190,GWh,Bloomberg新能源财经,https://about.bnef.com/,2024-09-18,,,,,,,,,,,
2024,拉丁美洲,150,GWh,40,GWh,10,GWh,25,GWh,拉美能源研究所,https://www.latinenergy.org/,2024-09-18,,,,,,,,,,,
2024,中国,390,GWh,130,GWh,28,GWh,70,GWh,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-18,,,,,,,,,,,
2024,亚洲,460,GWh,190,GWh,38,GWh,120,GWh,亚洲新能源网,https://www.asianrenewable.com/,2024-09-18,,,,,,,,,,,
2024,全球,420,GWh,190,GWh,35,GWh,155,GWh,国际能源署,https://www.iea.org,2024-09-18,,,,,,,,,,,
2024,中国,380.1,GWh,85,GWh,25,GWh,70,GWh,中国电动汽车百人会,http://www.chinaev100.com,2024-09-18,,,,,,,,,,,
2024,欧洲,300,GWh,100,GWh,20,GWh,80,GWh,欧洲电池联盟,https://www.europeanbatteryalliance.eu,2024-09-18,,,,,,,,,,,
2024,中国,460,GWh,120,GWh,30,GWh,80,GWh,华尔街见闻,https://wallstreetcn.com,2024-09-18,,,,,,,,,,,
2024,亚太地区,295,GWh,75,GWh,18,GWh,60,GWh,亚太市场研究所,https://apac-research.com,2024-09-18,,,,,,,,,,,
