年份,地区,能源类型,能源消费总量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2023,全国,电力,9.5,亿吨,国家能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,山东,可再生能源,3.2,亿吨,山东省能源局,https://www.sdenergy.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,27.5,亿吨,中国煤炭工业协会,http://www.chinacoal.net/,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,16.2,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,5.5,亿吨,国家能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,北京,电力,10,亿吨,北京市统计局,https://www.bjstats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,4,亿吨,中国可再生能源学会,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,28.9,亿吨,中国能源局,http://www.cea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,西南,天然气,5,亿吨,国家统计局,http://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,华北,电力,9.5,亿吨,国家电网公司,http://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,东北,原油,15.2,亿吨,中国石油天然气集团公司,http://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,西部,可再生能源,1.2,亿吨,国际可再生能源机构,http://www.irena.org,2024-09-19,,,,,,,,,,,,,
2022,全国,煤炭,29,亿吨,中国煤炭工业协会,http://www.chinacoal.org,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,10.1,亿吨,国家电力公司,http://www.spic.com.cn,2024-09-19,,,,,,,,,,,,,
2023,南方,原油,16.5,亿吨,中国海洋石油总公司,http://www.cnooc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,西南,天然气,6.1,亿吨,阿斯彭能源研究所,http://www.aspeninstitute.org,2024-09-19,,,,,,,,,,,,,
2024,东部,可再生能源,2.5,亿吨,中国可再生能源学会,http://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2023,华东地区,煤炭,28.5,亿吨,中国能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南地区,原油,19.8,亿吨,国家统计局,http://www.stats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,华北地区,天然气,5.3,亿吨,国家发改委,http://www.ndrc.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北地区,电力,9.8,亿吨,电力行业协会,http://www.cec.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,7.1,亿吨,可再生能源发展协会,http://www.china-renergy.org/,2024-09-19,,,,,,,,,,,,,
2023,西部地区,生物质能,2.5,亿吨,中国可再生能源学会,http://www.cres.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,南方地区,液化天然气,3.9,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,华中地区,核能,6.2,亿吨,国家核安全局,http://www.nns.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,风能,8.4,亿吨,中国风能协会,http://www.cwea.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,太阳能,10,亿吨,中国光伏行业协会,http://www.cpv.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,东部地区,煤炭,28,亿吨,中国煤炭工业协会,http://www.chinacoal.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,南方地区,原油,15.5,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn,2024-09-19,,,,,,,,,,,,,
2023,西部地区,天然气,5.2,亿吨,中国天然气集团公司,http://www.cnooc.com,2024-09-19,,,,,,,,,,,,,
2023,华北地区,电力,9,亿吨,中国电力企业联合会,http://www.chinaepri.com,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,6,亿吨,国家能源局,http://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,27.5,亿吨,国际能源署,http://www.iea.org,2024-09-19,,,,,,,,,,,,,
2024,东北地区,原油,16.8,亿吨,中国石化,http://www.sinopec.com,2024-09-19,,,,,,,,,,,,,
2024,西南地区,天然气,6.5,亿吨,中国气象局,http://www.cma.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,华东地区,电力,10.5,亿吨,电力发展规划研究中心,http://www.cepri.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,7.2,亿吨,绿盟科技,http://www.greennetwork.cn,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,29.2,亿吨,中国经济网,http://www.ce.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东,原油,18.5,亿吨,中国能源网,http://www.cec.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南,天然气,5.2,亿吨,国家能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,北方,电力,9.1,亿吨,中国电力新闻网,http://www.cpnn.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,东南,可再生能源,11.4,亿吨,世界自然基金会,http://www.wwf.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,华北,煤炭,32,亿吨,国家统计局,http://www.stats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北,原油,15.8,亿吨,中国石油和化工网,http://www.cpcia.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,全国,天然气,6.4,亿吨,国家发改委,http://www.ndrc.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,港澳台,电力,10.5,亿吨,香港电力公司,http://www.hkelectric.com/,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,12,亿吨,中国可再生能源学会,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东地区,煤炭,28.6,亿吨,中国能源网,https://www.cena.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,华南地区,原油,15.4,亿吨,国家统计局,https://www.stats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,西北地区,天然气,5.3,亿吨,中国天然气网,https://www.cngas.com/,2024-09-19,,,,,,,,,,,,,
2023,东北地区,电力,10.2,亿吨,电力行业分析网,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,15.5,亿吨,中国可再生能源学会,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,西南地区,煤炭,26.1,亿吨,西南能源局,http://www.cner.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,华北地区,原油,18.3,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,东北地区,天然气,6,亿吨,中国天然气行业协会,http://www.cnga.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,11.5,亿吨,国际能源署 (IEA),https://www.iea.org/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,18.9,亿吨,碳中和研究中心,http://www.carbonneutrality.org/,2024-09-19,,,,,,,,,,,,,
2023,华东地区,煤炭,28.5,亿吨,中国能源网,https://www.energynews.com.cn,2024-09-19,,,,,,,,,,,,,
2023,西南地区,原油,15,亿吨,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2022,东北地区,天然气,5.2,亿吨,中国国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华南地区,电力,9.05,亿吨,中国电力企业联合会,http://www.chinaepri.com,2024-09-19,,,,,,,,,,,,,
2023,西北地区,可再生能源,2.8,亿吨,中国可再生能源学会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,氢能,1.2,亿吨,中国氢能产业协会,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,,
2024,全国,核能,6,亿吨,国家核安全局,https://www.nsr.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,华北地区,生物质能,3.6,亿吨,中国生物质能源技术协会,http://www.cbaq.org,2024-09-19,,,,,,,,,,,,,
2022,华东地区,电力,10.2,亿吨,中国国家电网公司,http://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,风能,3,亿吨,中国风能协会,http://www.chinawea.org,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,28.5,亿吨,中国能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华南,原油,18.3,亿吨,中国石油天然气集团公司,https://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,华北,天然气,5.3,亿吨,中国天然气集团公司,https://www.cnogc.com,2024-09-19,,,,,,,,,,,,,
2023,西南,电力,10.1,亿吨,中国电力企业联合会,http://www.chinaep.org,2024-09-19,,,,,,,,,,,,,
2023,东北,可再生能源,3.2,亿吨,国家可再生能源中心,https://www.nrec.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,27,亿吨,国家统计局,http://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,16.8,亿吨,国家发改委,https://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,6,亿吨,国家统计局,http://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,11.5,亿吨,中国电力企业联合会,http://www.chinaep.org,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,4.9,亿吨,国家可再生能源中心,https://www.nrec.org.cn,2024-09-19,,,,,,,,,,,,,
2023,东部地区,煤炭,28.5,亿吨,中国能源网,https://www.chinaenergynews.com,2024-09-19,,,,,,,,,,,,,
2023,西部地区,原油,15.3,亿吨,中国石油和化学工业联合会,https://www.cpcia.org,2024-09-19,,,,,,,,,,,,,
2023,南方地区,天然气,5.2,亿吨,国家发改委,https://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,北方地区,电力,9.5,亿吨,电力公司报告,https://www.spic.com.cn,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,10.8,亿吨,中国可再生能源学会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,27,亿吨,国际能源机构,https://www.iea.org,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,16.1,亿吨,中国石油天然气集团公司,https://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,6,亿吨,中国天然气协会,https://www.cnga.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,10.5,亿吨,电力市场监管机构,https://www.cnem.com,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,12.2,亿吨,全球绿色能源发展联合会,https://www.renewablefuture.org,2024-09-19,,,,,,,,,,,,,
2023,华北,煤炭,29.5,亿吨,国家能源局,http://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华东,原油,16.8,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn,2024-09-19,,,,,,,,,,,,,
2023,华南,天然气,5.3,亿吨,中国天然气运输公司,http://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,西南,电力,9.2,亿吨,国家电网公司,http://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,东北,可再生能源,1.8,亿吨,中国可再生能源学会,http://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,28,亿吨,国家统计局,http://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,18.5,亿吨,中国石油天然气集团公司,http://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,6.2,亿吨,国家发改委,http://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,10.5,亿吨,中国电力公司,http://www.cec.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,3.2,亿吨,国际可再生能源署,http://www.irena.org,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,28.9,亿吨,中国能源局,https://www.chinaenergy.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华北,原油,15.3,亿吨,中国石油天然气集团,https://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,西南,天然气,5.7,亿吨,环境保护部,https://www.epa.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华南,电力,9.5,亿吨,国家电网公司,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,东北,可再生能源,1.2,亿吨,国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,风能,0.8,亿吨,中国可再生能源协会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,太阳能,1.5,亿吨,中国国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,核能,2.3,亿吨,中国核电工程有限公司,https://www.cgnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,生物质能,3.4,亿吨,中国农业科学院,https://www.caas.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,氢能,0.6,亿吨,中国氢能联盟,https://www.china-hydrogen.org,2024-09-19,,,,,,,,,,,,,
2023,华北地区,煤炭,29.5,亿吨,中国能源局,https://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东地区,原油,16.3,亿吨,中国石油天然气集团有限公司,http://www.cnpc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,华南地区,天然气,4.8,亿吨,中国天然气公司,http://www.cnooc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北地区,电力,9.12,亿吨,国家电网公司,http://www.sgcc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,5.1,亿吨,中国可再生能源学会,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南地区,水电,8.75,亿吨,中国水利部,http://www.mwr.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,氢能,1.2,亿吨,中国氢能联盟,http://www.hydrogen.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,中南地区,生物质能,3.4,亿吨,中国农业部,http://www.moa.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,东南亚地区,太阳能,6,亿吨,国际可再生能源署,https://www.irena.org/,2024-09-19,,,,,,,,,,,,,
2024,全国,风能,3.9,亿吨,中国风能协会,http://www.cwea.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,东部地区,煤炭,29.2,亿吨,中国能源研究院,https://www.ceri.com.cn,2024-09-19,,,,,,,,,,,,,
2023,东部地区,原油,15.8,亿吨,中国国际经济交流中心,https://www.ciie.org,2024-09-19,,,,,,,,,,,,,
2023,中部地区,天然气,5.9,亿吨,国家能源局,http://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,南部地区,电力,10.8,亿吨,电力市场监管机构,http://www.spb.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,北部地区,可再生能源,4.2,亿吨,中国可再生能源协会,http://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,西部地区,煤炭,25.6,亿吨,西部资源开发公司,http://www.westresources.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,18.9,亿吨,中国石油天然气集团,http://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,6.5,亿吨,中国天然气公司,http://www.cngc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,南部地区,电力,12.3,亿吨,中国电力公司,http://www.spcc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,东部地区,可再生能源,5.7,亿吨,中国绿色能源基金,http://www.cgef.org.cn,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,29,亿吨,中国能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华南,原油,16.5,亿吨,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,西北,天然气,5,亿吨,中国能源经济研究中心,https://www.ceei.org.cn,2024-09-19,,,,,,,,,,,,,
2023,西南,电力,10.05,亿吨,中国电力公司,https://www.spic.com.cn,2024-09-19,,,,,,,,,,,,,
2023,东北,可再生能源,3.8,亿吨,国家可再生能源中心,https://www.nrec.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,28.2,亿吨,联合国能源署,https://www.un.org/en/sections/issues-depth/energy/,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,18,亿吨,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,6.1,亿吨,亚太能源研究中心,https://www.aperc.ieej.or.jp,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,11.25,亿吨,中国电力网,http://www.chinaelectricity.com,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,5.2,亿吨,国际可再生能源机构,https://www.irena.org,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,28.2,亿吨,中国能源统计年鉴,https://www.cec.org.cn,2024-09-19,,,,,,,,,,,,,
2023,华南,原油,19.5,亿吨,全国油气平台,https://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,东北,天然气,6.2,亿吨,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,西北,电力,10.8,亿吨,电力市场信息中心,https://www.chinaelectricity.com.cn,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,9.3,亿吨,可再生能源协会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,西南,煤炭,25.4,亿吨,中国煤炭工业协会,https://www.coalchina.org,2024-09-19,,,,,,,,,,,,,
2024,华北,原油,15.2,亿吨,国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,7.1,亿吨,中国天然气协会,https://www.cngas.org.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,12.4,亿吨,中国电力公司,https://www.sge.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,11.6,亿吨,绿色能源研究所,https://www.greenenergy.cn,2024-09-19,,,,,,,,,,,,,
2023,华东地区,煤炭,28.2,亿吨,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,东北地区,原油,15.6,亿吨,国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,西南地区,天然气,5.1,亿吨,中国石油天然气集团有限公司,https://www.cnpc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,南方地区,电力,9.2,亿吨,电力公司年报,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,12.3,亿吨,中国可再生能源学会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,华北地区,煤炭,27.8,亿吨,中国煤炭工业协会,https://www.china-coal.org,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,18.2,亿吨,国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
2024,中部地区,天然气,6.3,亿吨,中国天然气协会,https://www.cn-gas.org,2024-09-19,,,,,,,,,,,,,
2024,西北地区,电力,10.5,亿吨,国家电网公司,https://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,15,亿吨,中华人民共和国生态环境部,https://www.mee.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,华北,煤炭,28.9,亿吨,中国能源局,https://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北,原油,15.3,亿吨,中国石油天然气集团,https://www.cnpc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南,天然气,5.2,亿吨,环保部,http://www.mee.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东,电力,9.5,亿吨,国网公司,http://www.sgcc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,西北,可再生能源,2.8,亿吨,可再生能源发展协会,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,29.1,亿吨,统计局,http://www.stats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,原油,16.2,亿吨,中国海洋石油,http://www.cnooc.com.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,天然气,5.7,亿吨,中石油,http://www.petrochina.com.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,10.2,亿吨,中国电力公司,http://www.chinaelectricity.com/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,3.5,亿吨,可持续发展协会,http://www.sustainabledevelopment.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,28.3,亿吨,中国统计年鉴,http://www.stats.gov.cn/tjsj/ndsj/,2024-09-19,,,,,,,,,,,,,
2023,华北,原油,15.6,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南,天然气,5.2,亿吨,国家能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,东南沿海,电力,9.1,亿吨,国家电网,http://www.sgcc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北,可再生能源,2.8,亿吨,可再生能源发展报告,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,南方,煤炭,25.9,亿吨,国际能源署,https://www.iea.org/,2024-09-19,,,,,,,,,,,,,
2024,华南,原油,14.3,亿吨,中国能源网,http://www.cec.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,西北,天然气,6.7,亿吨,中国天然气行业协会,http://www.cgc.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,电力,10.5,亿吨,电力运营报告,http://www.epo.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,5.5,亿吨,能源政策研究,http://www.energyresearch.org/,2024-09-19,,,,,,,,,,,,,
2023,华东地区,煤炭,28,亿吨,中国能源局,https://www.cea.cn/,2024-09-19,,,,,,,,,,,,,
2023,华南地区,原油,18.9,亿吨,国家统计局,https://www.stats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北地区,天然气,6.3,亿吨,中国石油天然气集团,https://www.cnpc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南地区,电力,10.5,亿吨,国家电网公司,https://www.sgcc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,3.2,亿吨,中国可再生能源学会,http://www.creia.org.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,27.5,亿吨,生态环境部,http://www.mee.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,华北地区,原油,20.4,亿吨,国家能源局,https://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,西北地区,天然气,8,亿吨,中国海洋石油总公司,http://www.cnooc.com.cn/,2024-09-19,,,,,,,,,,,,,
2024,东南沿海,电力,12.3,亿吨,中国能源研究会,http://www.cner.org/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,5.4,亿吨,国际可再生能源署,https://www.irena.org/,2024-09-19,,,,,,,,,,,,,
2023,华东,煤炭,29.8,亿吨,中国煤炭工业协会,https://www.coalchina.org,2024-09-19,,,,,,,,,,,,,
2023,华南,原油,18.5,亿吨,国家能源局,http://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
2023,东北,天然气,5.3,亿吨,中国天然气协会,http://www.cnga.org.cn,2024-09-19,,,,,,,,,,,,,
2022,西南,电力,9.2,亿吨,国家电网公司,http://www.sgcc.com.cn,2024-09-19,,,,,,,,,,,,,
2023,全国,可再生能源,6.7,亿吨,中国可再生能源学会,https://www.creia.org.cn,2024-09-19,,,,,,,,,,,,,
2024,华北,煤炭,27.4,亿吨,国家统计局,https://www.stats.gov.cn,2024-09-19,,,,,,,,,,,,,
