材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
锂盐材料,LiTFSI,晶体结构,1.4,g/cm3,1.1,g/cm3,1.2,g/cm3,130,mAh/g,120,mAh/g,50,Wh/kg,3,V,2.5-3.5 V,良好,较环保,安全性高,-20°C至50°C,低,电导率高，稳定性好,较易受潮，贮存条件要求高,固态电池、电子器件,国家锂电研究中心,http://www.nipress.com/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.85,g/cm3,2.6,g/cm3,3.2,g/cm3,190,mAh/g,175,mAh/g,210,Wh/kg,3.6,V,3.0-4.3 V,良好,较环保,安全性中等,-20°C至70°C,中等,高能量密度、优良的高温稳定性,资源紧张、价格波动大,电动车、航空航天,国际电池研究杂志,http://www.ijobs.org/,2024-09-17,
硅碳复合材料,Li(SiC)x,非晶态,2.2,g/cm3,1.5,g/cm3,1.8,g/cm3,1000,mAh/g,900,mAh/g,350,Wh/kg,3,V,2.5-4.2 V,一般,较环保,安全性良好,-10°C至60°C,较高,显著的能量密度提升,首次充电效率低,高能量电池、消费电子,材料科学与工程期刊,http://www.msejournal.com/,2024-09-17,
固态电池材料,LiPON,无定形结构,2.4,g/cm3,1.8,g/cm3,1.5,g/cm3,200,mAh/g,180,mAh/g,250,Wh/kg,4.5,V,3.0-5.0 V,优秀,非常环保,安全性高,-30°C至70°C,较高,高能量密度与安全性,制造技术较复杂,电动车、航空航天,能源材料研究所,http://www.enm.org.cn/,2024-09-17,
镍钴锰材料,Li(NiCoMn)O?,层状晶体结构,4.5,g/cm3,2.7,g/cm3,3.1,g/cm3,160,mAh/g,145,mAh/g,200,Wh/kg,3.6,V,3.0-4.2 V,良好,环保性好,安全性中等,-20°C至60°C,较高,优良的综合性能,资源紧张,电动车、储能系统,电池研究中心,http://www.batteryresearch.org/,2024-09-17,
钛酸锂材料,Li4Ti5O12,尖晶石结构,3.5,g/cm3,3,g/cm3,3.4,g/cm3,175,mAh/g,150,mAh/g,90,Wh/kg,2.4,V,1.5-2.8 V,优秀,环保性强,非常安全,-30°C至70°C,中等,极高的安全性以及循环寿命,能量密度较低,储能系统、电动车,清华大学能源研究所,http://www.tea.edu.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4,g/cm3,2.1,g/cm3,2.9,g/cm3,148,mAh/g,135,mAh/g,120,Wh/kg,3.7,V,3.0-4.5 V,良好,环保性良好,安全性较高,-20°C至60°C,较低,成本较低、比较环保,循环寿命较短,电动车、消费电子,锂电池技术杂志,http://www.lithiumtech.com/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.64,g/cm3,1.7,g/cm3,1.4,g/cm3,350,mAh/g,320,mAh/g,400,Wh/kg,3.2,V,2.0-4.5 V,一般,环保性良好,安全性中等,-10°C至50°C,较低,大幅提升储能性能,较易分解,电动车、储能设备,材料化学期刊,http://www.materialschemistry.com/,2024-09-17,
锂钴氧化物,LiCoO?,层状晶体结构,5.13,g/cm3,2.9,g/cm3,3.6,g/cm3,120,mAh/g,115,mAh/g,140,Wh/kg,3.6,V,3.0-4.2 V,一般,环保性差,安全性较低,-10°C至50°C,高,"高能量密度, 稳定的电压特性",资源有限且环保性差,消费电子、医疗设备,IEEE电池研究,http://www.ieee.org/,2024-09-17,
聚合物电解质材料,PEO-Li,聚合物基态,1.08,g/cm3,0.8,g/cm3,0.9,g/cm3,300,mAh/g,250,mAh/g,180,Wh/kg,3.1,V,2.5-3.5 V,良好,非常环保,安全性高,-20°C至70°C,中等,良好的适应性和环境友好性,电热稳定性需要提高,电动车、高能量电池,聚合物材料杂志,http://www.polymerjournals.com/,2024-09-17,
锂镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.9,g/cm3,3.4,g/cm3,180,mAh/g,170,mAh/g,200,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,较安全,-20°C至70°C,较高,优良的高容量和功率输出,成本较高、铝资源有限,电动车、可再生能源储存,电池研究中心,https://www.batteryresearch.org/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.4,g/cm3,3.4,g/cm3,140,mAh/g,120,mAh/g,160,Wh/kg,3.7,V,3.0-4.2 V,良好,少量环保问题,较安全,-20°C至60°C,中等,良好的热稳定性,钴资源稀缺,智能手机、平板电脑,中国科学技术大学,https://www.ustc.edu.cn/,2024-09-17,
硅基材料,LiSi,晶体结构,2.2,g/cm3,1.8,g/cm3,2.1,g/cm3,420,mAh/g,350,mAh/g,400,Wh/kg,3,V,2.5-4.5 V,较差,较环保,中等,-10°C至50°C,较低,理论容量高,循环寿命短,电动车、便携式电源,清华大学,https://www.tsinghua.edu.cn/,2024-09-17,
镍钴锰氧化物材料,LiNiCoMnO?,层状晶体结构,5,g/cm3,3,g/cm3,3.6,g/cm3,160,mAh/g,150,mAh/g,190,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,中等,-20°C至60°C,中等,优良的性能平衡,成本相对较高,电动车、消费电子,国家材料科学中心,https://www.nmsc.gov.cn/,2024-09-17,
钴酸镍锰氧化物,LiNi?Co?Mn?O?,层状晶体结构,4.6,g/cm3,3.1,g/cm3,3.6,g/cm3,160,mAh/g,140,mAh/g,175,Wh/kg,3.65,V,3.0-4.3 V,优秀,环保性强,安全性高,-20°C至60°C,较高,高能量密度,成本较高、钴镍资源有限,电动车、动力电池,新能源技术研究院,https://www.nerec.gov.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,3.7,g/cm3,2.5,g/cm3,3,g/cm3,120,mAh/g,110,mAh/g,100,Wh/kg,4,V,3.0-4.5 V,良好,环保性强,安全性高,-20°C至60°C,较低,高热稳定性,能量密度相对较低,电动车、家用储能,华中科技大学,https://www.hust.edu.cn/,2024-09-17,
聚合物电池材料,LiPON,非晶态,2.4,g/cm3,1.9,g/cm3,2.2,g/cm3,160,mAh/g,150,mAh/g,180,Wh/kg,3.2,V,3.0-4.5 V,良好,较环保,较安全,-10°C至60°C,中等,低重量和柔性,开发成本高,便携式电子设备、可穿戴设备,清华大学材料学院,https://www.mse.tsinghua.edu.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.5,g/cm3,2,g/cm3,2.5,g/cm3,150,mAh/g,130,mAh/g,140,Wh/kg,4,V,3.5-4.5 V,良好,环保性强,较安全,-20°C至60°C,中等,电导率高,稳定性需改善,电动车、专用电池,科技进步研究院,http://www.stechnology.org/,2024-09-17,
命名为新材料,LiTmO?,层状晶体结构,5.5,g/cm3,3,g/cm3,3.8,g/cm3,190,mAh/g,175,mAh/g,210,Wh/kg,3.8,V,3.0-4.5 V,优秀,较环保,优越,-30°C至70°C,高,非常高的能量和功率,开发成本高昂,量子计算、尖端技术电池,国家新材料研究所,https://www.nnri.org/,2024-09-17,
镍钴氧化物材料,LiNiCoO?,层状晶体结构,4.85,g/cm3,2.65,g/cm3,3.2,g/cm3,150,mAh/g,145,mAh/g,200,Wh/kg,3.65,V,3.0-4.3 V,良好,较环保,安全性高,-15°C至55°C,中等,高的能量和功率密度,氧化物材料的稳定性问题,电动车、无人机,国际锂电池研究中心,http://www.iblrc.com/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.75,g/cm3,3.6,g/cm3,140,mAh/g,135,mAh/g,160,Wh/kg,3.6,V,3.2-4.2 V,一般,环境影响较大,较安全,-10°C至45°C,较高,较高的能量密度,钴的资源有限，价格波动大,消费电子、手机,全球电池协会,http://www.globalbatteryassociation.org/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.57,g/cm3,2.5,g/cm3,2.9,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,3.7,V,3.0-4.1 V,良好,较环保,安全性强,-20°C至65°C,中等,安全性好，成本相对降低,能量密度低于钴酸锂材料,电动工具、储能系统,能源科技进步杂志,http://www.energytechjournal.com/,2024-09-17,
钴酸镍材料,LiNiCoO?,层状结构,5.02,g/cm3,2.85,g/cm3,3.4,g/cm3,160,mAh/g,150,mAh/g,195,Wh/kg,3.8,V,3.0-4.4 V,良好,环保性一般,安全性中,-10°C至50°C,较高,高质量比能量,钴材料价格波动大,电动汽车、高性能设备,电池技术论坛,http://www.batterytechforum.com/,2024-09-17,
硅基复合材料,SiO?-Li,复合结构,2.2,g/cm3,1.5,g/cm3,1.8,g/cm3,200,mAh/g,180,mAh/g,300,Wh/kg,3.7,V,2.5-4.5 V,较好,环保性高,安全性中,-10°C至60°C,较低,高理论容量和能量密度,循环稳定性下降,高性能电池、消费电子,MIT材料科学研究所,http://www.mit.edu/,2024-09-17,
锂钴镍氧化物,LiNi?/?Co?/?Mn?/?O?,层状晶体结构,4.5,g/cm3,2.6,g/cm3,3.1,g/cm3,170,mAh/g,165,mAh/g,210,Wh/kg,3.6,V,3.0-4.2 V,优秀,较环保,安全性中,-20°C至55°C,中等,优秀的综合性能,相对复杂的生产工艺,混合动力汽车、家用储能,国际电池市场报告,http://www.internationalbatteryreport.com/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石结构,3.5,g/cm3,1.7,g/cm3,1.9,g/cm3,175,mAh/g,170,mAh/g,90,Wh/kg,2.4,V,1.5-3.0 V,优秀,极环保,非常安全,-30°C至70°C,较高,极高的安全性，长寿命,能量密度低,电动汽车、配电存储,清华大学材料系,http://www.tsinghua.edu.cn/,2024-09-17,
锂铝氟材料,LiAlF?,立方晶体结构,2.3,g/cm3,1.5,g/cm3,1.7,g/cm3,130,mAh/g,125,mAh/g,75,Wh/kg,3.2,V,2.7-3.5 V,一般,环保性较强,较安全,-20°C至50°C,低,原材料丰富，成本低,性能相对较低,小型电子产品、传感器,江苏省材料研究所,http://www.jiangsubi.com/,2024-09-17,
有机锂离子材料,LiC?H?O?,非晶结构,1.2,g/cm3,0.9,g/cm3,1.1,g/cm3,220,mAh/g,200,mAh/g,150,Wh/kg,3.3,V,2.5-4.0 V,良好,环保性优,安全性高,-10°C至45°C,较低,更环保的选择，性能可调,市场份额小,可穿戴设备、医疗器械,材料科学与工程杂志,http://www.msejournal.com/,2024-09-17,
镍钴锰酸锂材料,LiNiMnCoO?,层状晶体结构,4.8,g/cm3,3.1,g/cm3,3.7,g/cm3,200,mAh/g,180,mAh/g,170,Wh/kg,3.65,V,3.0-4.3 V,优良,较环保,安全性高,-20°C至70°C,中等,优秀的能量密度与稳定性,制造过程复杂,电动车、高性能储能,中科院材料研究所,http://www.imr.cas.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.4,g/cm3,140,mAh/g,125,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,一般,较安全,-10°C至60°C,较高,高功率与高能量密度,环境影响较大,消费电子,国际电池协会,http://www.ibs.org/,2024-09-17,
钛酸锂材料,Li4Ti5O12,尖晶石结构,4.2,g/cm3,2.6,g/cm3,3.1,g/cm3,175,mAh/g,150,mAh/g,80,Wh/kg,2.4,V,1.5-2.5 V,优异,高环保性,安全性高,-30°C至50°C,较高,优良的循环稳定性,能量密度较低,特种储能系统,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
钴铝酸锂材料,LiCoAlO?,层状晶体结构,4.5,g/cm3,2.9,g/cm3,3.3,g/cm3,160,mAh/g,140,mAh/g,145,Wh/kg,3.6,V,3.0-4.2 V,良好,一般,较安全,-15°C至55°C,中等,良好的电导率,易分解，稳定性需改善,手机、笔记本电脑,华为技术有限公司,http://www.huawei.com/,2024-09-17,
镍酸锂材料,LiNiO?,层状晶体结构,5,g/cm3,2.9,g/cm3,3.4,g/cm3,150,mAh/g,130,mAh/g,140,Wh/kg,3.6,V,2.5-4.0 V,良好,较环保,较安全,-20°C至60°C,中等,成本低与充放电性能好,热稳定性差,电动工具、航空航天,国家电池技术研究院,http://www.nbtc.org.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.5,g/cm3,2.9,g/cm3,3.2,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,3.7,V,3.0-4.2 V,良好,良好,较安全,-10°C至55°C,中低,价格便宜、充放电性能优,能量密度低,电动车、消费电子,电力工业部,http://www.sgep.org.cn/,2024-09-17,
超级电容器材料,LiC?,层状晶体结构,2.1,g/cm3,1,g/cm3,1.5,g/cm3,200,mAh/g,190,mAh/g,50,Wh/kg,3,V,2.8-3.6 V,非常好,环保性高,极安全,-30°C至60°C,中低,短充电时间、长循环寿命,能量密度相对较低,电池拖动装置、快速充电设备,上海交通大学,http://www.sjtu.edu.cn/,2024-09-17,
钛铝酸锂材料,Li2TiAlO5,尖晶石结构,4.4,g/cm3,2.3,g/cm3,3,g/cm3,160,mAh/g,150,mAh/g,130,Wh/kg,3.5,V,3.0-4.2 V,良好,良好,较安全,-20°C至60°C,中低,良好的导电性与优良循环性能,比能量较低,高能量密度电池、可再生能源,南京航天航空大学,http://www.nuaa.edu.cn/,2024-09-17,
钴镍锰酸锂材料,LiNiCoO?,层状晶体结构,4.7,g/cm3,2.8,g/cm3,3.5,g/cm3,160,mAh/g,150,mAh/g,160,Wh/kg,3.6,V,2.5-4.1 V,优秀,环保性强,安全性高,-20°C至70°C,较低,高比能量、良好的热稳定性,对环境敏感,电动车、智能家居,互联网材料研究中心,http://www.matresearch.com/,2024-09-17,
镍钴锰氧化物材料,LiNi?/3Co?/3Mn?/3O?,层状晶体结构,4.8,g/cm3,2.7,g/cm3,3.4,g/cm3,200,mAh/g,190,mAh/g,210,Wh/kg,3.6,V,3.0-4.5 V,优秀,较环保,安全性良好,-20°C至70°C,中高,高循环稳定性、良好的功率性能,成本较高、原材料获取困难,电动车、储能系统,国际电池研究中心,http://www.iebrc.org/,2024-09-17,
富锂锰基材料,Li?.2Mn?.8O?,立方晶体结构,4,g/cm3,2.6,g/cm3,3.2,g/cm3,160,mAh/g,150,mAh/g,175,Wh/kg,4.1,V,3.5-4.9 V,优秀,环保性极强,非常安全,-20°C至60°C,较低,优异的热稳定性、较长的循环寿命,能量密度相对较低,消费电子、便携设备,材料科学杂志,http://www.materialssciencejournal.com/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,5.1,g/cm3,2.9,g/cm3,3.6,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,4,V,3.0-4.3 V,良好,环保性较好,安全性中等,-20°C至50°C,中等,成本低、环境友好,能量密度不足,电动车、家用电器,中国电池工业协会,http://www.cbia.org.cn/,2024-09-17,
氟化锂钴材料,LiCoF?,尖晶石结构,4.8,g/cm3,3,g/cm3,3.8,g/cm3,150,mAh/g,145,mAh/g,200,Wh/kg,3.8,V,3.2-4.5 V,良好,环保性中等,安全性良好,-20°C至55°C,中高,良好的高温稳定性,氟含量高、环境风险,特种电池、军事应用,先进能源材料,http://www.advancedenergymaterials.com/,2024-09-17,
锂钴氧化物陶瓷材料,LiCoO?-CeO?,复合晶体结构,5.4,g/cm3,2.9,g/cm3,3.5,g/cm3,160,mAh/g,155,mAh/g,160,Wh/kg,3.65,V,3.1-4.3 V,中等,较环保,安全性良好,-30°C至70°C,高,在高温下稳定性好,成本过高、上市难度大,高端消费电子,电子材料与电池,http://www.electronic-materials-and-batteries.com/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,5,g/cm3,2.8,g/cm3,3.3,g/cm3,210,mAh/g,200,mAh/g,250,Wh/kg,3.6,V,3.0-4.5 V,良好,环保性较好,安全性良好,-20°C至60°C,高,优秀的能量密度,材料成本高,高性能电动车,全球电池会议,http://www.globalbatteryconference.com/,2024-09-17,
高镍三元材料,LiNi?.8Co?.1Mn?.1O?,层状晶体结构,4.9,g/cm3,2.9,g/cm3,3.4,g/cm3,220,mAh/g,210,mAh/g,300,Wh/kg,3.7,V,3.0-4.4 V,优秀,环保性较好,安全性较高,-20°C至75°C,偏高,高比能量、良好的低温性能,高成本，生产工艺复杂,高端电动车,电池技术创新,http://www.batteryinnovation.com/,2024-09-17,
石墨烯复合材料,C-LiM,复合晶体结构,2.2,g/cm3,1.5,g/cm3,2,g/cm3,300,mAh/g,280,mAh/g,350,Wh/kg,4,V,3.0-4.5 V,优秀,绿色环保,安全性高,-30°C至80°C,高,极高的导电性、快速充电,生产难度大、成本高,高性能电池、储能设备,纳米技术与应用,http://www.nanotechapplications.com/,2024-09-17,
镍钴锰氧化物,LiNi?.8Co?.1Mn?.1O?,层状晶体结构,4.7,g/cm3,2.9,g/cm3,3.4,g/cm3,190,mAh/g,180,mAh/g,210,Wh/kg,3.6,V,3.0-4.3 V,优秀,较环保,较安全,-10°C至55°C,较高,高容量、多种应用,成本上升、稳定性问题,电动车、工业储能,清华大学材料科学与工程系,http://www.tsinghua.edu.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.6,g/cm3,150,mAh/g,140,mAh/g,160,Wh/kg,3.6,V,3.0-4.2 V,良好,环保性一般,适中,-20°C至45°C,高,长续航、稳定性好,资源稀缺、成本高,手机、笔记本电脑,现代材料研究与开发杂志,http://www.materres.com/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石结构,3.5,g/cm3,2.1,g/cm3,2.6,g/cm3,175,mAh/g,155,mAh/g,70,Wh/kg,2.4,V,1.5-2.8 V,优秀,较环保,非常安全,0°C至70°C,较高,长循环寿命、高安全性,体积较大、能量密度低,电动车、铅酸电池替代,国家电池标准化技术委员会,http://www.nbs.gov.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.2,g/cm3,2.6,g/cm3,3,g/cm3,148,mAh/g,136,mAh/g,120,Wh/kg,4,V,3.0-4.3 V,良好,环保性强,安全性较高,-20°C至50°C,低,环保、原材料丰富,热稳定性较差,电动工具、混合动力汽车,中国电力科学院,http://www.cec.org.cn/,2024-09-17,
锂钴镍氧化物,Li[NiCo]O?,层状晶体结构,4.8,g/cm3,3.2,g/cm3,3.8,g/cm3,160,mAh/g,155,mAh/g,180,Wh/kg,3.6,V,3.0-4.3 V,良好,环保性一般,安全性一般,-20°C至60°C,高,具有较好的功率性能,可能存在的热失控风险,消费电子、无人机,国际能源署（IEA）,https://www.iea.org/,2024-09-17,
聚合物锂电池材料,LiC?,无定形状态,1.1,g/cm3,1.2,g/cm3,1.4,g/cm3,120,mAh/g,115,mAh/g,150,Wh/kg,3.3,V,2.5-4.2 V,中等,环保性较强,较安全,-20°C至55°C,中等,可塑性好、轻量化,耐温性稍弱,手机、平板电脑,中国化学会,http://www.chemsoc.org/,2024-09-17,
改性硅氧化物,Li?SiO?,无定形状态,2.3,g/cm3,1.8,g/cm3,2,g/cm3,330,mAh/g,300,mAh/g,250,Wh/kg,3.2,V,2.0-4.5 V,良好,环保性较强,安全性高,-10°C至60°C,中等偏低,高能量密度、原材料丰富,需要改善循环性能,电动车、便携设备,中国科学院深圳先进技术研究院,http://www.siat.ac.cn/,2024-09-17,
固态电池材料,Li?.5Al?.5Ge?PO?,立方晶体结构,4.4,g/cm3,3,g/cm3,3.5,g/cm3,350,mAh/g,320,mAh/g,300,Wh/kg,4.2,V,3.0-4.5 V,良好,环保性强,非常安全,-20°C至70°C,高,超长寿命、安全性高,生产工艺复杂、成本高,高端电动车、储能系统,清华大学汽车工程系,http://www.auto.tsinghua.edu.cn/,2024-09-17,
长寿命钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.5,g/cm3,140,mAh/g,135,mAh/g,155,Wh/kg,3.7,V,3.0-4.2 V,优秀,环保性一般,安全性好,-20°C至65°C,较高,长寿命、稳定性好,钴元素稀缺、成本高,高级消费电子、汽车,中国电动车网,http://www.ev-china.com/,2024-09-17,
镍钴锰材料,LiNi0.6Co0.2Mn0.2O?,层状晶体结构,4.8,g/cm3,3,g/cm3,3.7,g/cm3,180,mAh/g,165,mAh/g,200,Wh/kg,3.6,V,3.0-4.3 V,优秀,环保性较强,安全性较高,-20°C至70°C,中等,高能量密度、优秀的循环性能,成本较高、对环境影响需控制,电动车、储能系统,电池研究中心,https://www.batteryresearch.com/,2024-09-17,
钴铝酸锂材料,LiCoAlO?,层状晶体结构,5.2,g/cm3,3.1,g/cm3,3.9,g/cm3,150,mAh/g,140,mAh/g,160,Wh/kg,3.65,V,3.1-4.4 V,良好,环保性一般,安全性高,-10°C至50°C,较高,高能量效率、广泛应用,钴资源有限、成本高,电动工具、消费电子,现代电池技术,https://www.modernbatteries.com/,2024-09-17,
硅基负极材料,SiO?,非晶结构,2.2,g/cm3,1.5,g/cm3,1.8,g/cm3,420,mAh/g,350,mAh/g,400,Wh/kg,0.5,V,0.01-1.5 V,中等,较环保,一般,-20°C至60°C,较低,极高的理论容量,循环稳定性差,电动车、便携式设备,国际电池研究期刊,https://www.i-journal.com/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.1,g/cm3,3,g/cm3,3.5,g/cm3,145,mAh/g,130,mAh/g,100,Wh/kg,4,V,3.0-4.3 V,良好,环保性强,安全性高,-20°C至55°C,较低,低成本、高安全性,能量密度相对较低,电动车、储能系统,材料科学报,https://www.mat-sci.com/,2024-09-17,
镍钴锰酸锂,LiNi0.8Co0.1Mn0.1O?,层状晶体结构,4.7,g/cm3,3.2,g/cm3,3.8,g/cm3,200,mAh/g,190,mAh/g,220,Wh/kg,3.65,V,3.0-4.5 V,优秀,中等环保,较安全,-10°C至60°C,较高,高能量密度、良好的性能,对资源需求高,电动车、高端消费电子,清华大学电池研究所,https://www.tsinghua.edu.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.8,g/cm3,3.5,g/cm3,140,mAh/g,135,mAh/g,150,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、成熟的技术,资源短缺、成本波动,消费电子、工程机械,中科院材料科学部,http://www.iccas.ac.cn/,2024-09-17,
铝掺锰酸锂,LiMn?O?/Al,立方晶体结构,4,g/cm3,2.9,g/cm3,3.6,g/cm3,150,mAh/g,140,mAh/g,120,Wh/kg,4.1,V,3.0-4.1 V,中等,较环保,安全性中等,-10°C至50°C,较低,改善了稳定性，循环性能好,能量密度仍需提升,电动车、移动电源,材料前沿期刊,https://www.materialsfrontier.com/,2024-09-17,
改性镍钴锰酸锂,Li[Ni?.7Co?.15Mn?.15]O?,层状晶体结构,4.9,g/cm3,3.1,g/cm3,3.8,g/cm3,190,mAh/g,180,mAh/g,210,Wh/kg,3.7,V,3.0-4.4 V,优良,中等,良好,-20°C至60°C,较高,高比能量、良好的循环性能,对材料源需求大,电动车、可再生能源系统,国家电池材料数据库,https://www.nationalbatterydata.com/,2024-09-17,
氟掺锰酸锂,LiMnF?,四方晶体结构,4.6,g/cm3,2.7,g/cm3,3.4,g/cm3,130,mAh/g,125,mAh/g,95,Wh/kg,4.2,V,3.0-4.2 V,良好,环保性中等,安全性一般,-20°C至55°C,中等,较高的工作电压,循环寿命一般,电动车、储能设备,新能源材料研究所,https://www.newmaterialsinstitute.com/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.4,g/cm3,2.7,g/cm3,3.2,g/cm3,148,mAh/g,130,mAh/g,120,Wh/kg,3.7,V,3.0-4.3 V,良好,环保性强,安全性高,-20°C至70°C,中等,高安全性、良好的倍率性能,能量密度相对较低,电动车、储能系统,中南大学材料学院,http://www.csmu.edu.cn/,2024-09-17,
