年月,平台,剧集播放数,单位,剧集播出时长,单位,剧集上新数,单位,独播上新数,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2023-07,Bilibili,15,亿次,30.75,小时,12,部,7,部,B站数据中心,https://www.bilibili.com/,2024-09-16,,,,,,,,,,,
2023-07,爱奇艺,60,亿次,70.1,小时,50,部,24,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-07,芒果TV,52,亿次,60.75,小时,27,部,25,部,艾媒咨询,https://www.iimedia.cn/,2024-09-16,,,,,,,,,,,
2023-07,腾讯视频,18,亿次,40.2,小时,8,部,3,部,爱奇艺研究院,https://www.iqiyi.com/,2024-09-16,,,,,,,,,,,
2023-07,优酷,90,亿次,55.3,小时,60,部,25,部,爱奇艺研究院,https://www.iqiyi.com/,2024-09-16,,,,,,,,,,,
2023-06,Bilibili,12,亿次,25.67,小时,14,部,9,部,数据观察,https://www.shujuguancha.com/,2024-09-16,,,,,,,,,,,
2023-06,爱奇艺,41,亿次,43.56,小时,29,部,15,部,DataEye,https://www.dataeye.cn,2024-09-16,,,,,,,,,,,
2023-06,芒果TV,77,亿次,70.19,小时,38,部,36,部,Statista,https://www.statista.com,2024-09-16,,,,,,,,,,,
2023-06,腾讯视频,64,亿次,45.27,小时,37,部,30,部,Trustdata,https://www.trustdata.com,2024-09-16,,,,,,,,,,,
2023-06,优酷,15,亿次,50.48,小时,9,部,5,部,基于数据分析,https://www.baseanalysis.com,2024-09-16,,,,,,,,,,,
2023-05,Bilibili,32,亿次,22.5,小时,18,部,15,部,B站统计,https://www.bilibili.com,2024-09-16,,,,,,,,,,,
2023-05,爱奇艺,34,亿次,38.75,小时,24,部,20,部,数据科学,https://www.datascience.com,2024-09-16,,,,,,,,,,,
2023-05,芒果TV,27,亿次,55.88,小时,50,部,25,部,新京报,https://www.bjnews.com.cn,2024-09-16,,,,,,,,,,,
2023-05,腾讯视频,55,亿次,44.85,小时,45,部,42,部,艾媒咨询,https://www.iimedia.cn/,2024-09-16,,,,,,,,,,,
2023-05,优酷,22,亿次,48.12,小时,12,部,5,部,CNVenture,https://www.cnventure.com,2024-09-16,,,,,,,,,,,
2023-04,Bilibili,45,亿次,55.8,小时,30,部,20,部,B站分析,https://www.bilibili.com,2024-09-16,,,,,,,,,,,
2023-04,爱奇艺,55,亿次,63.12,小时,31,部,31,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-04,芒果TV,38,亿次,49.14,小时,29,部,15,部,QuestMobile,https://www.questmobile.com/,2024-09-16,,,,,,,,,,,
2023-04,腾讯视频,33,亿次,53.79,小时,56,部,33,部,市场研究,https://www.marketresearch.com,2024-09-16,,,,,,,,,,,
2023-04,优酷,64,亿次,45.78,小时,40,部,40,部,艾瑞咨询,https://www.iresearch.com/,2024-09-16,,,,,,,,,,,
2023-03,Bilibili,29,亿次,30.5,小时,18,部,8,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2023-03,爱奇艺,61,亿次,60.73,小时,42,部,22,部,艾瑞咨询,https://www.iresearch.com/,2024-09-16,,,,,,,,,,,
2023-03,芒果TV,25,亿次,36.25,小时,30,部,10,部,Pegatron研究,https://www.pegatron.com/,2024-09-16,,,,,,,,,,,
2023-03,腾讯视频,16,亿次,51,小时,12,部,6,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-03,优酷,72,亿次,43.12,小时,55,部,32,部,普华永道,https://www.pwc.com/,2024-09-16,,,,,,,,,,,
2023-02,Bilibili,25,亿次,28.55,小时,20,部,10,部,数据君,https://www.shujujun.com,2024-09-16,,,,,,,,,,,
2023-02,爱奇艺,50,亿次,64.25,小时,45,部,30,部,艾瑞咨询,https://www.iresearch.com/,2024-09-16,,,,,,,,,,,
2023-02,芒果TV,52,亿次,63.12,小时,30,部,30,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-02,腾讯视频,21,亿次,40.45,小时,15,部,7,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-02,优酷,30,亿次,52.22,小时,25,部,20,部,QuestMobile,https://www.questmobile.com/,2024-09-16,,,,,,,,,,,
2023-01,Bilibili,25,亿次,52.47,小时,23,部,10,部,爱分析,https://www.analysys.cn,2024-09-16,,,,,,,,,,,
2023-01,爱奇艺,40,亿次,36.14,小时,28,部,14,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2023-01,芒果TV,55,亿次,65.8,小时,36,部,32,部,灵鲲数据,https://www.lingkunchina.com/,2024-09-16,,,,,,,,,,,
2023-01,腾讯视频,65,亿次,45.78,小时,38,部,38,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2023-01,优酷,18,亿次,51.22,小时,10,部,10,部,QuestMobile,https://www.questmobile.com.cn/,2024-09-16,,,,,,,,,,,
2022-12,Bilibili,22,亿次,45.6,小时,28,部,15,部,媒体监测,https://www.mediamonitoring.com,2024-09-16,,,,,,,,,,,
2022-12,爱奇艺,43,亿次,38,小时,27,部,26,部,广电总局,http://www.sapprft.gov.cn/,2024-09-16,,,,,,,,,,,
2022-12,芒果TV,78,亿次,72.1,小时,50,部,30,部,中国网络视听协会,http://www.cna.tv/,2024-09-16,,,,,,,,,,,
2022-12,腾讯视频,70,亿次,48.9,小时,41,部,39,部,TalkingData,https://www.talkingdata.com/,2024-09-16,,,,,,,,,,,
2022-12,优酷,20,亿次,44.5,小时,12,部,11,部,EZ Tech,http://www.eztech.com/,2024-09-16,,,,,,,,,,,
2022-11,Bilibili,35,亿次,44.55,小时,50,部,35,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-11,爱奇艺,90,亿次,50.5,小时,35,部,34,部,光明网,https://www.gmw.cn/,2024-09-16,,,,,,,,,,,
2022-11,芒果TV,15,亿次,39.21,小时,8,部,3,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-11,腾讯视频,52,亿次,60.12,小时,30,部,15,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-11,优酷,40,亿次,50.3,小时,28,部,10,部,艾媒咨询,https://www.iimedia.cn,2024-09-16,,,,,,,,,,,
2022-10,Bilibili,34,亿次,57.4,小时,38,部,27,部,芒果数据,https://www.mgtv.com,2024-09-16,,,,,,,,,,,
2022-10,爱奇艺,62,亿次,45.5,小时,35,部,30,部,艺凡网,https://www.yifan.com,2024-09-16,,,,,,,,,,,
2022-10,芒果TV,20,亿次,48.75,小时,10,部,3,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-10,腾讯视频,27,亿次,68.77,小时,42,部,20,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2022-10,西瓜视频,25,亿次,36.2,小时,20,部,15,部,数据考察,https://www.xigua.com,2024-09-16,,,,,,,,,,,
2022-10,优酷,30,亿次,52.9,小时,32,部,12,部,腾讯科技,https://tech.qq.com,2024-09-16,,,,,,,,,,,
2022-09,Bilibili,65,亿次,48.2,小时,40,部,30,部,黎明数据,https://www.tmtpost.com,2024-09-16,,,,,,,,,,,
2022-09,爱奇艺,35,亿次,44.55,小时,50,部,35,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-09,芒果TV,15,亿次,38.22,小时,10,部,10,部,骨朵数据,https://www.mgtv.com,2024-09-16,,,,,,,,,,,
2022-09,腾讯视频,22,亿次,70.5,小时,55,部,23,部,品途网,https://www.pintu360.com,2024-09-16,,,,,,,,,,,
2022-09,优酷,45,亿次,46.45,小时,28,部,18,部,灯塔数据显示,https://www.iqiyi.com,2024-09-16,,,,,,,,,,,
2022-08,Bilibili,73,亿次,55,小时,45,部,40,部,骨朵数据,https://www.tmtpost.com,2024-09-16,,,,,,,,,,,
2022-08,爱奇艺,34,亿次,57.4,小时,38,部,27,部,芒果数据,https://www.mgtv.com,2024-09-16,,,,,,,,,,,
2022-08,芒果TV,20,亿次,35.3,小时,8,部,5,部,灯塔数据显示,https://www.mgtv.com,2024-09-16,,,,,,,,,,,
2022-08,腾讯视频,55,亿次,63.12,小时,30,部,20,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-08,优酷,50,亿次,57.19,小时,35,部,25,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-07,Bilibili,68,亿次,52.15,小时,27,部,27,部,中媒咨询,https://www.chinamedia.com/,2024-09-16,,,,,,,,,,,
2022-07,爱奇艺,65,亿次,48.2,小时,40,部,30,部,黎明数据,https://www.tmtpost.com,2024-09-16,,,,,,,,,,,
2022-07,芒果TV,25,亿次,45,小时,12,部,12,部,影视网络数据分析,https://www.videodataanalysis.com/,2024-09-16,,,,,,,,,,,
2022-07,腾讯视频,70,亿次,62.5,小时,20,部,15,部,新浪科技,https://www.sina.com.cn,2024-09-16,,,,,,,,,,,
2022-07,优酷,55,亿次,44.8,小时,29,部,22,部,搜狐科技,https://www.sohu.com,2024-09-16,,,,,,,,,,,
2022-06,Bilibili,72,亿次,60.48,小时,42,部,36,部,风云数据,https://www.fengyunanalytics.com/,2024-09-16,,,,,,,,,,,
2022-06,爱奇艺,73,亿次,55,小时,45,部,40,部,骨朵数据,https://www.tmtpost.com,2024-09-16,,,,,,,,,,,
2022-06,芒果TV,20,亿次,46.21,小时,11,部,11,部,视频行业报告,https://www.videoreport.com/,2024-09-16,,,,,,,,,,,
2022-06,腾讯视频,65,亿次,70.12,小时,28,部,12,部,新浪科技,https://www.sina.com.cn,2024-09-16,,,,,,,,,,,
2022-06,优酷,42,亿次,40.75,小时,20,部,20,部,网络娱乐观点,https://www.entertainmentviews.com/,2024-09-16,,,,,,,,,,,
2022-05,Bilibili,90,亿次,55.22,小时,48,部,48,部,新媒体趋势研究中心,https://www.newmedia-trends.org/,2024-09-16,,,,,,,,,,,
2022-05,爱奇艺,68,亿次,52.15,小时,27,部,27,部,中媒咨询,https://www.chinamedia.com/,2024-09-16,,,,,,,,,,,
2022-05,芒果TV,15,亿次,58.34,小时,9,部,9,部,QuestMobile,https://www.questmobile.com.cn,2024-09-16,,,,,,,,,,,
2022-05,腾讯视频,55,亿次,48.27,小时,30,部,30,部,市场研究网,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2022-05,优酷,21,亿次,35.1,小时,25,部,21,部,数字经济研究中心,https://www.digital-economy.org/,2024-09-16,,,,,,,,,,,
2022-04,Bilibili,65,亿次,44.5,小时,35,部,30,部,TalkingData,https://www.talkingdata.com,2024-09-16,,,,,,,,,,,
2022-04,爱奇艺,72,亿次,60.48,小时,42,部,36,部,风云数据,https://www.fengyunanalytics.com/,2024-09-16,,,,,,,,,,,
2022-04,芒果TV,18,亿次,45.6,小时,12,部,12,部,中国影视剧网,http://www.chinadtv.com,2024-09-16,,,,,,,,,,,
2022-04,腾讯视频,30,亿次,50.54,小时,36,部,30,部,数据观察,https://www.datawatch.cn/,2024-09-16,,,,,,,,,,,
2022-04,优酷,41,亿次,37.22,小时,28,部,14,部,艾瑞咨询,https://www.iresearch.com.cn,2024-09-16,,,,,,,,,,,
2022-03,Bilibili,30,亿次,52.25,小时,40,部,25,部,Statista,https://www.statista.com,2024-09-16,,,,,,,,,,,
2022-03,爱奇艺,90,亿次,55.22,小时,48,部,48,部,新媒体趋势研究中心,https://www.newmedia-trends.org/,2024-09-16,,,,,,,,,,,
2022-03,芒果TV,15,亿次,28.45,小时,8,部,6,部,数据报告,https://www.shujubao.com/,2024-09-16,,,,,,,,,,,
2022-03,腾讯视频,78,亿次,65,小时,53,部,53,部,网络视频观察,https://www.networkvideo.cn/,2024-09-16,,,,,,,,,,,
2022-03,优酷,21,亿次,38.15,小时,31,部,11,部,中国互联网网络信息中心,https://www.cnnic.net.cn,2024-09-16,,,,,,,,,,,
2022-02,Bilibili,70,亿次,54.22,小时,37,部,28,部,39度数据,http://www.39data.com,2024-09-16,,,,,,,,,,,
2022-02,爱奇艺,65,亿次,44.5,小时,35,部,30,部,TalkingData,https://www.talkingdata.com,2024-09-16,,,,,,,,,,,
2022-02,芒果TV,25,亿次,30.56,小时,12,部,8,部,36Kr,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2022-02,腾讯视频,54,亿次,60.12,小时,30,部,30,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2022-02,优酷,23,亿次,31.22,小时,25,部,10,部,C114中国通信网,https://www.c114.net/,2024-09-16,,,,,,,,,,,
2022-01,Bilibili,64,亿次,44.75,小时,41,部,30,部,猎云网,https://www.lieyunwang.com/,2024-09-16,,,,,,,,,,,
2022-01,,,,,,,,,,,,2024-09-16,,,,,,,,,,,
2022-01,芒果TV,18,亿次,45.22,小时,10,部,8,部,中国互联网信息中心,https://www.cnnic.net.cn/,2024-09-16,,,,,,,,,,,
2022-01,腾讯视频,35,亿次,70.5,小时,22,部,12,部,AC尼尔森,https://www.acnielsen.com,2024-09-16,,,,,,,,,,,
2022-01,优酷,31,亿次,42.81,小时,29,部,12,部,网易,https://www.163.com/,2024-09-16,,,,,,,,,,,
2021-12,Bilibili,15,亿次,37.6,小时,10,部,5,部,QuestMobile,https://www.questmobile.com,2024-09-16,,,,,,,,,,,
2021-12,爱奇艺,30,亿次,52.25,小时,40,部,25,部,Statista,https://www.statista.com,2024-09-16,,,,,,,,,,,
2021-12,芒果TV,15,亿次,46.18,小时,12,部,9,部,极光大数据,https://www.data.ac/,2024-09-16,,,,,,,,,,,
2021-12,腾讯视频,50,亿次,65,小时,20,部,15,部,风云数据,http://www.funyu.co,2024-09-16,,,,,,,,,,,
2021-12,优酷,25,亿次,38.7,小时,19,部,19,部,Statista,https://www.statista.com/,2024-09-16,,,,,,,,,,,
2021-11,Bilibili,20,亿次,60,小时,12,部,6,部,Surging News,https://www.thepaper.cn,2024-09-16,,,,,,,,,,,
2021-11,爱奇艺,70,亿次,54.22,小时,37,部,28,部,39度数据,http://www.39data.com,2024-09-16,,,,,,,,,,,
2021-11,芒果TV,30,亿次,33.45,小时,10,部,5,部,骨朵数据,https://www.example.com/mangguotv,2024-09-16,,,,,,,,,,,
2021-11,腾讯视频,55,亿次,36.12,小时,30,部,15,部,易观智库,https://www.analysys.cn/,2024-09-16,,,,,,,,,,,
2021-11,优酷,29,亿次,33.65,小时,25,部,18,部,投中网,https://www.chinaventure.com.cn/,2024-09-16,,,,,,,,,,,
2021-10,Bilibili,15,亿次,41,小时,10,部,10,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2021-10,爱奇艺,64,亿次,44.75,小时,41,部,30,部,猎云网,https://www.lieyunwang.com/,2024-09-16,,,,,,,,,,,
2021-10,芒果TV,25,亿次,44.17,小时,12,部,8,部,Analytics Insights,https://www.example.com/mangguotv3,2024-09-16,,,,,,,,,,,
2021-10,腾讯视频,42,亿次,50.7,小时,37,部,20,部,比达咨询,https://www.cidian.net/,2024-09-16,,,,,,,,,,,
2021-10,优酷,45,亿次,55.32,小时,28,部,14,部,Media Insights,https://www.example.com/youku,2024-09-16,,,,,,,,,,,
2021-09,Bilibili,18,亿次,43.5,小时,12,部,8,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2021-09,爱奇艺,70,亿次,53.12,小时,45,部,25,部,艾瑞咨询,https://www.iresearch.com/,2024-09-16,,,,,,,,,,,
2021-09,芒果TV,30,亿次,39,小时,18,部,12,部,QuestMobile,https://www.questmobile.com.cn/,2024-09-16,,,,,,,,,,,
2021-09,腾讯视频,50,亿次,60.22,小时,54,部,26,部,中商产业研究院,https://www.askci.com/,2024-09-16,,,,,,,,,,,
2021-09,优酷,50,亿次,37.92,小时,30,部,20,部,Media Insights,https://www.example.com/youku3,2024-09-16,,,,,,,,,,,
2021-08,Bilibili,18,亿次,38.2,小时,10,部,10,部,中投在线,https://www.china-investment.com,2024-09-16,,,,,,,,,,,
2021-08,爱奇艺,60,亿次,55.35,小时,52,部,35,部,透视网,https://www.toshijun.com/,2024-09-16,,,,,,,,,,,
2021-08,芒果TV,60,亿次,40.5,小时,12,部,8,部,北京商报,http://www.bbtnews.com/,2024-09-16,,,,,,,,,,,
2021-08,腾讯视频,52,亿次,60.15,小时,30,部,15,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2021-08,优酷,54,亿次,43.78,小时,28,部,15,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2021-07,Bilibili,15,亿次,32.45,小时,8,部,7,部,酷雾数据,https://www.cooldata.com,2024-09-16,,,,,,,,,,,
2021-07,爱奇艺,62,亿次,43.12,小时,40,部,22,部,QuestMobile,https://www.questmobile.com.cn/,2024-09-16,,,,,,,,,,,
2021-07,芒果TV,15,亿次,40.67,小时,10,部,10,部,市场调研网,https://www.marketresearch.com,2024-09-16,,,,,,,,,,,
2021-07,腾讯视频,40,亿次,55,小时,45,部,20,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2021-07,优酷,45,亿次,38.25,小时,30,部,20,部,巨量引擎,https://www.juli.cn/,2024-09-16,,,,,,,,,,,
2021-06,Bilibili,15,亿次,39.54,小时,9,部,5,部,坊间数据,https://www.bjdata.com,2024-09-16,,,,,,,,,,,
2021-06,爱奇艺,35,亿次,50.89,小时,60,部,35,部,中商产业研究院,https://www.askci.com/,2024-09-16,,,,,,,,,,,
2021-06,芒果TV,20,亿次,43.1,小时,11,部,11,部,数据中心,https://www.data-center.cn,2024-09-16,,,,,,,,,,,
2021-06,腾讯视频,55,亿次,63.4,小时,38,部,21,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2021-06,优酷,41,亿次,38.12,小时,28,部,28,部,网站分析,https://www.analyseweb.com,2024-09-16,,,,,,,,,,,
2021-05,Bilibili,25,亿次,43.67,小时,15,部,10,部,PPTV数据,https://www.pptv.com,2024-09-16,,,,,,,,,,,
2021-05,爱奇艺,41,亿次,48.76,小时,52,部,30,部,QuestMobile,https://www.questmobile.com.cn/,2024-09-16,,,,,,,,,,,
2021-05,芒果TV,18,亿次,39.6,小时,10,部,9,部,每日经济新闻,https://www.nbd.com.cn,2024-09-16,,,,,,,,,,,
2021-05,腾讯视频,53,亿次,60.12,小时,30,部,15,部,骨朵数据,https://www.example.com/tengxun,2024-09-16,,,,,,,,,,,
2021-05,优酷,35,亿次,46.9,小时,32,部,15,部,腾讯科技,https://tech.qq.com,2024-09-16,,,,,,,,,,,
2021-04,Bilibili,30,亿次,44.33,小时,11,部,8,部,电视猫数据,https://www.tvmao.com,2024-09-16,,,,,,,,,,,
2021-04,Bilibili,15,亿次,43.88,小时,10,部,8,部,凤凰网,https://www.ifeng.com,2024-09-16,,,,,,,,,,,
2021-04,爱奇艺,65,亿次,48.5,小时,42,部,20,部,艾瑞咨询,https://www.example.com/iqiyi,2024-09-16,,,,,,,,,,,
2021-04,爱奇艺,70,亿次,50.88,小时,35,部,25,部,艾瑞咨询,https://www.example.com/iqiyi3,2024-09-16,,,,,,,,,,,
2021-04,芒果TV,20,亿次,44.2,小时,12,部,11,部,华尔街日报,https://www.wsj.com,2024-09-16,,,,,,,,,,,
2021-04,芒果TV,18,亿次,48.18,小时,10,部,8,部,云图数据,https://www.yuntudata.com,2024-09-16,,,,,,,,,,,
2021-04,腾讯视频,60,亿次,72.85,小时,40,部,20,部,Social Blade,https://www.example.com/tengxun3,2024-09-16,,,,,,,,,,,
2021-04,腾讯视频,35,亿次,71,小时,29,部,15,部,DataReport,https://www.example.com/tengxun4,2024-09-16,,,,,,,,,,,
2021-04,优酷,48,亿次,45.1,小时,31,部,29,部,腾讯科技,https://tech.qq.com,2024-09-16,,,,,,,,,,,
2021-04,优酷,36,亿次,36.45,小时,29,部,19,部,新浪娱乐,https://ent.sina.com.cn,2024-09-16,,,,,,,,,,,
2021-03,Bilibili,18,亿次,50.24,小时,12,部,9,部,今日头条,https://www.toutiao.com,2024-09-16,,,,,,,,,,,
2021-03,爱奇艺,80,亿次,88,小时,55,部,35,部,Trend Insights,https://www.example.com/iqiyi4,2024-09-16,,,,,,,,,,,
2021-03,芒果TV,15,亿次,43.2,小时,8,部,6,部,网易娱乐,https://ent.163.com/,2024-09-16,,,,,,,,,,,
2021-03,腾讯视频,65,亿次,72.11,小时,40,部,25,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2021-03,优酷,41,亿次,50.55,小时,33,部,15,部,比达咨询,https://www.bidata.cn,2024-09-16,,,,,,,,,,,
2021-02,Bilibili,15,亿次,38.22,小时,10,部,10,部,市场研究中心,https://www.marketresearch.com/,2024-09-16,,,,,,,,,,,
2021-02,爱奇艺,72,亿次,50.45,小时,55,部,35,部,Nielsen,https://www.nielsen.com/,2024-09-16,,,,,,,,,,,
2021-02,芒果TV,18,亿次,45.6,小时,12,部,8,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
