机器人类型,前进速度,倒退速度,加速速度,减速速度,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
教育机器人,1.1,0.3,1.7,0.5,字符型,中国教育技术协会,https://www.cetcedu.org,,
探测机器人,2.5,0.9,3.5,1.8,字符型,中国科学院,https://www.cas.cn,,
娱乐机器人,0.7,0.2,1.0,0.4,字符型,国家广播电视总局,https://www.sapprft.gov.cn,,
无人驾驶汽车,3.5,1.2,5.0,2.5,字符型,交通运输部,https://www.mot.gov.cn,,
家庭机器人,1.0,0.4,1.5,0.7,字符型,中国家电协会,https://www.cea.org.cn,,
灌溉机器人,2.2,0.6,3.2,1.3,字符型,农业农村部,https://www.moa.gov.cn,,
助老机器人,1.4,0.5,2.0,0.8,字符型,国家民政部,https://www.mca.gov.cn,,
移动机器人,1.8,0.6,2.5,1.2,字符型,中国智能制造研究院,https://www.cime.org.cn,,
服务机器人,1.2,0.4,1.8,0.9,字符型,上海市人工智能协会,https://www.shanghaiai.org,,
工业机器人,2.5,1.0,3.2,1.8,字符型,中国机器人产业技术创新战略联盟,https://www.robotics.org.cn,,
医疗机器人,0.7,0.3,1.2,0.5,字符型,国际机器人协会,https://www.ifr.org,,
农业机器人,3.5,1.5,5.0,2.5,字符型,农业科技发展中心,https://www.moa.gov.cn,,
特种机器人,1.4,0.7,2.1,1.0,字符型,国家应急管理部,https://www.mem.gov.cn,,
教育机器人,1.0,0.5,1.5,0.6,字符型,教育部科技司,https://www.moe.gov.cn,,
家庭机器人,1.3,0.4,1.9,0.7,字符型,家电协会,https://www.appliance.org.cn,,
无人驾驶机器人,4.0,1.2,6.0,2.8,字符型,无人驾驶研究院,https://www.driverless.org,,
清扫机器人,0.9,0.3,1.2,0.4,字符型,中国清洁协会,https://www.china-clean.org,,
物流机器人,1.8,0.7,2.3,1.2,字符型,中国电子技术标准化研究院,https://www.cesi.cn,,
家庭机器人,0.9,0.4,1.2,0.5,字符型,腾讯科技,https://tech.qq.com,,
探测机器人,2.5,1.0,3.5,1.8,字符型,中国科学院,https://www.cas.cn,,
教育机器人,1.2,0.6,1.8,0.9,字符型,新华网,https://www.xinhuanet.com,,
建筑机器人,1.7,0.5,2.4,1.3,字符型,中国建筑科学研究院,https://www.cabr.org.cn,,
巡逻机器人,1.4,0.7,2.0,1.0,字符型,公安部,https://www.mps.gov.cn,,
娱乐机器人,0.8,0.3,1.0,0.4,字符型,游戏产业协会,http://www.cgigames.org,,
运输机器人,2.2,0.9,3.0,1.6,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
养老机器人,0.6,0.2,0.8,0.3,字符型,国家老龄办,http://www.cnand.gov.cn,,
水下机器人,1.9,0.8,2.5,1.4,字符型,中国海洋科技网,http://www.cmt.gov.cn,,
教育机器人,1.8,0.7,2.5,1.3,字符型,教育部,https://www.moe.gov.cn,,
探索机器人,1.0,0.4,1.8,0.9,字符型,深圳市科技创新委员会,https://www.sz.gov.cn,,
家庭机器人,0.9,0.3,1.2,0.5,字符型,中国家用电器协会,https://www.cheaa.com,,
物流机器人,2.2,0.9,3.2,1.6,字符型,国家邮政局,https://www.spb.gov.cn,,
清扫机器人,1.6,0.5,2.0,1.0,字符型,消费者协会,https://www.cca.org.cn,,
巡逻机器人,1.4,0.6,2.1,1.0,字符型,公安部,https://www.mps.gov.cn,,
娱乐机器人,1.1,0.4,1.5,0.7,字符型,中国玩具和婴童用品协会,https://www.cttia.org.cn,,
安防机器人,1.9,0.8,2.4,1.2,字符型,国家安全生产监督管理总局,https://www.chinasafety.gov.cn,,
医疗辅助机器人,0.7,0.3,1.2,0.4,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
救援机器人,2.5,1.0,3.5,1.8,字符型,国家应急管理部,https://www.mem.gov.cn,,
物流机器人,2.5,1.0,3.5,1.8,字符型,阿里巴巴集团,https://www.alibaba.com,,
安防机器人,1.8,0.7,2.5,1.3,字符型,腾讯科技,https://tech.qq.com,,
服务机器人,1.6,0.4,2.1,0.9,字符型,百度人工智能研究院,https://ai.baidu.com,,
清洁机器人,1.2,0.5,1.8,0.7,字符型,京东科技,https://www.jd.com,,
教育机器人,0.8,0.3,1.2,0.6,字符型,高等教育出版社,http://www.hep.com.cn,,
探测机器人,3.2,1.2,4.5,2.5,字符型,军事科学院,https://www.plaas.org.cn,,
家庭机器人,1.1,0.4,1.7,0.5,字符型,消费电子协会,https://www.cec.org.cn,,
救援机器人,1.4,0.5,2.0,1.0,字符型,国家消防救援局,https://www.nfsa.gov.cn,,
农业无人机,4.0,1.5,5.0,2.5,字符型,中国农业科学院,http://www.caas.cn,,
娱乐机器人,1.0,0.2,1.5,0.5,字符型,中国文化产业协会,http://www.ccia.org.cn,,
物流机器人,1.8,0.7,2.5,1.3,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
巡逻机器人,1.6,0.5,2.1,1.0,字符型,公安部,https://www.mps.gov.cn,,
家庭服务机器人,0.8,0.4,1.2,0.6,字符型,家电协会,https://www.ceac.org.cn,,
教育机器人,1.0,0.2,1.8,0.5,字符型,中国智能教育研究中心,https://www.edutech.org.cn,,
清扫机器人,0.9,0.3,1.5,0.7,字符型,市政管理局,https://www.citymanagement.gov.cn,,
运输机器人,2.2,0.9,3.0,1.5,字符型,全国运输协会,https://www.transportation.org.cn,,
面向老年人的照护机器人,1.4,0.7,2.0,0.9,字符型,老龄办,https://www.ageing.gov.cn,,
救援机器人,1.9,0.8,2.8,1.2,字符型,中国地震局,https://www.csi.gov.cn,,
餐饮机器人,1.3,0.5,1.9,0.8,字符型,餐饮行业联合会,https://www.restaurantech.org.cn,,
社交陪伴机器人,1.1,0.4,1.7,0.6,字符型,心理健康协会,https://www.psychology.org.cn,,
移动机器人,1.8,0.7,2.4,1.2,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,1.2,0.4,1.8,0.9,字符型,市场研究机构,https://www.marketresearch.com,,
工业机器人,3.5,1.5,4.0,2.5,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
医疗机器人,0.7,0.3,1.2,0.6,字符型,医学科技杂志,https://www.medicaljournal.com,,
农业机器人,2.5,0.9,3.5,1.8,字符型,国家农业信息网,http://www.chinaagri.com,,
特种机器人,1.6,0.5,2.1,1.0,字符型,科学技术部,http://www.most.gov.cn,,
清洁机器人,0.9,0.4,1.5,0.7,字符型,家电协会,https://www.cnas.org.cn,,
餐饮服务机器人,1.1,0.5,1.6,0.8,字符型,中国饭店协会,https://www.chinahotel.org.cn,,
巡逻机器人,2.0,0.8,2.8,1.3,字符型,城市安全研究中心,https://www.citysecurity.org.cn,,
物流机器人,1.7,0.6,2.3,1.1,字符型,全球物流网,https://www.globallogistics.com,,
巡逻机器人,2.5,1.0,3.5,2.0,字符型,公安部,https://www.mps.gov.cn,,
清洁机器人,1.8,0.7,2.2,1.1,字符型,城市管理委员会,https://www.cities.gov.cn,,
物流机器人,3.0,1.5,4.0,1.8,字符型,国家邮政局,https://www.spb.gov.cn,,
家庭助手机器人,0.8,0.4,1.2,0.6,字符型,中华全国工商业联合会,https://www.acfic.org.cn,,
探测机器人,2.2,0.9,3.0,1.3,字符型,中国科学院,https://www.cas.cn,,
建设机器人,1.6,0.5,2.5,1.0,字符型,中华人民共和国住房和城乡建设部,https://www.mohurd.gov.cn,,
娱乐机器人,1.4,0.6,1.8,0.7,字符型,文化和旅游部,https://www.mct.gov.cn,,
教育机器人,1.7,0.6,2.4,1.1,字符型,教育部,https://www.moe.gov.cn,,
医疗辅助机器人,0.7,0.3,1.2,0.5,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
灾后救援机器人,2.0,0.75,3.0,1.5,字符型,国家应急管理部,https://www.mem.gov.cn,,
物流机器人,1.8,0.7,2.3,1.3,字符型,国际物流协会,https://www.international-logistics.org,,
搜索与救援机器人,1.6,0.4,2.1,0.9,字符型,国家地震局,https://www.cea.gov.cn,,
智能清洁机器人,1.3,0.5,1.9,0.7,字符型,清洁行业协会,https://www.cleaning-association.org,,
探测机器人,0.9,0.3,1.2,0.5,字符型,科技部,https://www.most.gov.cn,,
家庭辅助机器人,1.0,0.2,1.5,0.6,字符型,家庭机器人产业协会,https://www.home-robotics.org,,
巡逻机器人,2.2,0.9,2.8,1.7,字符型,保安服务协会,https://www.security-services.org,,
教育机器人,1.1,0.4,1.7,0.8,字符型,中国教育部,https://www.moe.gov.cn,,
娱乐机器人,1.4,0.6,2.0,1.1,字符型,文化和旅游部,https://www.mct.gov.cn,,
建筑机器人,2.5,1.0,3.5,1.8,字符型,国家建筑标准设计研究院,https://www.mohurd.gov.cn,,
采矿机器人,2.0,0.5,3.0,1.4,字符型,国家矿业局,https://www.mnr.gov.cn,,
移动机器人,1.8,0.7,2.5,1.0,字符型,清华大学机器人实验室,https://www.tsinghua.edu.cn,,
服务机器人,1.3,0.4,1.8,0.9,字符型,北京大学智能科学中心,https://www.pku.edu.cn,,
工业机器人,2.5,1.0,3.5,2.0,字符型,工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,0.8,0.3,1.2,0.5,字符型,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,3.5,1.2,4.5,2.5,字符型,中国农业科学院,https://www.caas.cn,,
特种机器人,1.6,0.5,2.0,1.1,字符型,国防科技大学,https://www.nudt.edu.cn,,
智能巡逻机器人,2.2,0.9,3.1,1.4,字符型,公安部,https://www.mps.gov.cn,,
清洁机器人,1.0,0.4,1.5,0.7,字符型,环境保护部,https://www.mee.gov.cn,,
教育机器人,0.9,0.3,1.6,0.5,字符型,教育部,https://www.moe.gov.cn,,
无人配送机器人,1.9,0.6,2.7,1.3,字符型,中国快递协会,https://www.chinacourier.org.cn,,
移动机器人,1.8,0.7,2.5,1.2,字符型,中国科技大学,https://www.ustc.edu.cn,,
送餐机器人,1.3,0.4,1.8,0.9,字符型,北京食品研究院,https://www.bjfood.org.cn,,
工业机器人,2.5,1.0,3.5,1.8,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
农业机器人,3.5,1.5,4.5,2.5,字符型,人民日报,http://www.people.com.cn,,
医用机器人,0.8,0.3,1.2,0.5,字符型,中国医学科学院,http://www.cams.ac.cn,,
教育机器人,1.0,0.2,1.6,0.7,字符型,教育部信息中心,http://www.moe.gov.cn/s78/A08/,,
清扫机器人,1.5,0.6,2.0,0.9,字符型,智能家居协会,http://www.smarthome.org.cn,,
特种机器人,1.4,0.9,2.1,1.1,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
无人机,5.0,2.0,6.0,3.0,字符型,中国民用航空局,http://www.caac.gov.cn,,
巡逻机器人,1.6,0.5,2.3,1.0,字符型,公安部,http://www.mps.gov.cn,,
配送机器人,2.5,0.7,3.5,1.5,字符型,京东科技,https://www.jd.com,,
拾取机器人,1.8,0.4,2.2,1.0,字符型,中国人工智能学会,https://www.caai.cn,,
仓储机器人,3.2,0.9,4.5,1.8,字符型,阿里巴巴研究院,https://www.alibaba.com,,
家居清扫机器人,0.8,0.2,1.0,0.6,字符型,小米科技,https://www.xiaomi.com,,
救援机器人,1.4,0.5,2.0,1.2,字符型,国家科技部,https://www.most.gov.cn,,
防疫机器人,1.1,0.3,1.7,0.9,字符型,中国公共卫生协会,https://www.china-phc.org,,
无人机机器人,15.0,5.0,20.0,10.0,字符型,中国航空工业集团,https://www.avic.com,,
教学机器人,0.6,0.2,0.8,0.4,字符型,国家教育部,https://www.moe.gov.cn,,
检验机器人,1.6,0.5,2.2,1.0,字符型,国家市场监督管理总局,https://www.samr.gov.cn,,
探测机器人,2.0,0.8,3.0,1.5,字符型,中国科学院,https://www.cas.cn,,
移动机器人,1.8,0.7,2.4,1.2,字符型,IEEE国际会议,https://www.ieee.org,,
服务机器人,1.2,0.4,1.8,0.6,字符型,中国人工智能学会,https://www.caai.cn,,
工业机器人,2.5,1.0,3.5,1.8,字符型,中国机械工业联合会,https://www.cmif.org.cn,,
医疗机器人,0.8,0.3,1.2,0.5,字符型,世界卫生组织,https://www.who.int,,
农业机器人,3.5,1.2,5.0,2.5,字符型,全国农业技术推广服务中心,https://www.natpsc.gov.cn,,
特种机器人,1.5,0.5,2.0,1.0,字符型,中国应急管理部,https://www.cema.gov.cn,,
家庭机器人,1.0,0.2,1.6,0.7,字符型,CES科技展,https://www.ces.tech,,
无人驾驶机器人,4.0,1.5,6.0,3.0,字符型,中国交通运输部,https://www.mot.gov.cn,,
探索机器人,2.2,0.9,3.0,1.4,字符型,国际空间站网站,https://www.nasa.gov/mission_pages/station/main/index.html,,
快递机器人,2.0,0.6,3.2,1.5,字符型,阿里巴巴集团,https://www.alibaba.com,,
物流机器人,2.5,1.0,3.5,1.8,字符型,中国电子技术标准化研究院,https://www.cesi.cn,,
教育机器人,0.8,0.4,1.2,0.6,字符型,国家教育部,https://www.moe.gov.cn,,
娱乐机器人,1.6,0.7,2.2,1.0,字符型,中国文化和旅游部,https://www.mct.gov.cn,,
家庭清洁机器人,1.2,0.5,1.5,0.7,字符型,中国家电协会,https://www.cec.org.cn,,
安全巡逻机器人,1.8,0.9,2.5,1.3,字符型,国家公安部,https://www.mps.gov.cn,,
建筑机器人,2.2,1.1,3.0,1.5,字符型,中华人民共和国住房和城乡建设部,http://www.mohurd.gov.cn,,
救援机器人,1.5,0.6,2.0,0.9,字符型,国家应急管理部,https://www.mem.gov.cn,,
餐饮服务机器人,1.1,0.4,1.6,0.8,字符型,中国餐饮协会,https://www.cra.org.cn,,
物流无人机,5.0,2.0,6.0,3.0,字符型,中国民用航空局,http://www.caac.gov.cn,,
老年护理机器人,0.7,0.3,1.0,0.5,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
移动机器人,1.8,0.6,2.5,1.2,字符型,中国科学院,https://www.cas.cn,,
服务机器人,1.2,0.4,1.8,0.9,字符型,中国服务机器人产业技术创新战略联盟,https://www.csra.org.cn,,
工业机器人,2.5,0.9,3.2,1.7,字符型,中国自动化学会,https://www.china-aai.org,,
农业机器人,3.5,1.2,4.5,2.1,字符型,中国农机化协会,http://www.cama.org.cn,,
医疗机器人,0.8,0.3,1.2,0.5,字符型,中国医疗器械行业协会,http://www.camdi.org.cn,,
特种机器人,1.5,0.7,2.8,1.4,字符型,中国消防救援局,https://www.119.gov.cn,,
教育机器人,0.9,0.4,1.3,0.6,字符型,教育部科技司,https://www.moe.gov.cn/s78/A15,,
娱乐机器人,1.0,0.5,1.5,0.7,字符型,中国机器人产业协会,https://www.robomaker.cn,,
居家机器人,1.4,0.2,1.9,1.0,字符型,中国家电协会,http://www.cheaa.com,,
物流机器人,2.0,0.8,3.0,1.5,字符型,中国物流与采购联合会,http://www.clp.org.cn,,
仓储机器人,2.5,1.0,3.5,1.2,字符型,京东物流,https://www.jd.com,,
教育机器人,1.6,0.4,2.1,1.0,字符型,教育部,https://www.moe.gov.cn,,
清洁机器人,0.8,0.3,1.2,0.5,字符型,中国清洁行业协会,https://www.chinaclean.org.cn,,
采矿机器人,2.0,0.7,2.8,1.3,字符型,中国矿业联合会,https://www.cico.org.cn,,
安防机器人,1.4,0.5,2.0,1.0,字符型,国家公安部,https://www.mps.gov.cn,,
美食机器人,1.3,0.6,1.9,0.9,字符型,中国餐饮协会,https://www.china-catering.org,,
探测机器人,1.8,0.5,2.5,1.4,字符型,国家自然资源部,https://www.mnr.gov.cn,,
送货机器人,2.2,0.9,3.0,1.1,字符型,阿里巴巴集团,https://www.alibaba.com,,
物流机器人,1.9,0.4,2.8,1.2,字符型,中国物流与采购联合会,https://www.chinawuliu.org,,
无人机,10.0,5.0,12.0,3.5,字符型,中国航空工业集团,https://www.avic.com,,
移动机器人,1.8,0.6,2.5,1.2,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,1.4,0.5,1.8,0.9,字符型,中国人工智能产业发展联盟,https://www.caai.cn,,
农业机器人,2.5,0.9,3.5,1.8,字符型,中国农业科学院,https://www.caas.cn,,
工业机器人,2.8,1.0,3.5,1.4,字符型,国家发展和改革委员会,https://www.ndrc.gov.cn,,
医疗机器人,0.7,0.3,1.2,0.5,字符型,中国医学科学院,https://www.cams.org.cn,,
特种机器人,1.5,0.7,2.2,1.1,字符型,应急管理部,https://www.mem.gov.cn,,
探索机器人,2.0,0.5,3.0,1.2,字符型,中国科学院,https://www.cas.cn,,
物流机器人,1.6,0.4,2.4,1.0,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
清洁机器人,1.2,0.4,1.6,0.8,字符型,环境保护部,http://www.mee.gov.cn,,
教育机器人,1.0,0.2,1.5,0.6,字符型,国家教育部,https://www.moe.gov.cn,,
无人驾驶出租车,1.8,0.7,2.2,1.1,字符型,中国交通运输部,https://www.mot.gov.cn,,
物流机器人,1.6,0.4,2.1,1.0,字符型,国家邮政局,https://www.spb.gov.cn,,
巡检机器人,1.0,0.5,1.4,0.9,字符型,中国电力行业联合会,http://www.cei.gov.cn,,
消防机器人,1.3,0.5,2.0,1.0,字符型,中华人民共和国应急管理部,https://www.mem.gov.cn,,
家庭服务机器人,1.1,0.3,1.6,0.7,字符型,中国家用电器协会,http://www.cec.org.cn,,
送餐机器人,1.7,0.4,2.3,1.2,字符型,中国餐饮行业协会,http://www.cra.org.cn,,
安保机器人,1.4,0.6,1.9,0.8,字符型,公安部,http://www.mps.gov.cn,,
救援机器人,1.0,0.2,1.7,0.6,字符型,国家自然灾害救助中心,http://www.ndrcc.gov.cn,,
教育机器人,0.8,0.3,1.2,0.5,字符型,教育部,http://www.moe.gov.cn,,
清洁机器人,1.5,0.4,2.0,0.9,字符型,国家市场监督管理总局,http://wwwSAMR.gov.cn,,
物流机器人,2.5,1.0,3.5,1.2,字符型,深圳智能技术研究院,https://www.szrobotics.com,,
教育机器人,1.0,0.4,1.8,0.6,字符型,中国科学院,https://www.cas.cn,,
家庭机器人,0.8,0.2,1.0,0.5,字符型,家庭科技论坛,https://www.hometechforum.com,,
探测机器人,1.8,0.5,2.4,1.0,字符型,国家地质局,https://www.ngc.gov.cn,,
防疫机器人,1.2,0.7,1.6,0.9,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
环保机器人,2.0,0.9,3.0,1.5,字符型,生态环境部,https://www.mee.gov.cn,,
救援机器人,1.6,0.8,2.2,1.1,字符型,中国消防救援队,https://www.cghj.gov.cn,,
个人助理机器人,1.4,0.4,2.0,0.7,字符型,人工智能行业协会,https://www.aiassn.org,,
无人驾驶车辆,3.5,1.2,4.5,2.0,字符型,交通运输部,https://www.mot.gov.cn,,
餐饮服务机器人,1.0,0.3,1.7,0.8,字符型,中国餐饮协会,https://www.catering.org.cn,,
配送机器人,1.8,0.4,2.3,1.1,字符型,阿里巴巴研究院,https://www.alibabastudies.com,,
清洁机器人,0.9,0.5,1.4,0.6,字符型,全国清洁机器人技术中心,https://www.cleanrobot.tech,,
物流机器人,2.5,0.7,3.2,1.4,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
仓储机器人,2.0,0.6,3.0,1.2,字符型,物流技术与应用杂志,https://www.wuliu-tech.com,,
娱乐机器人,1.3,0.4,1.8,0.9,字符型,中国机器人产业研究院,https://www.robotics.cn,,
建筑机器人,1.7,0.5,2.1,1.0,字符型,建筑行业协会,https://www.buildingassociation.org.cn,,
教育机器人,1.2,0.3,1.6,0.7,字符型,教育部科技发展中心,https://www.moe-science.gov.cn,,
探险机器人,2.2,0.5,3.5,1.6,字符型,科学探索基金会,https://www.science-exploration.org,,
矿山机器人,1.9,0.4,2.4,1.3,字符型,矿业安全与技术研究所,https://www.mining-tech.gov.cn,,
农业无人机,4.0,1.5,5.0,2.5,字符型,农业机器化技术研究院,https://www.agri-tech.com.cn,,
物流机器人,2.5,0.7,3.5,1.8,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
探索机器人,1.8,0.6,2.3,0.9,字符型,中国科学院,https://www.cas.cn,,
教育机器人,1.0,0.4,1.2,0.5,字符型,教育部,https://www.moe.gov.cn,,
安防机器人,1.6,0.5,2.1,0.8,字符型,公安部,https://www.gov.cn/zhengce/zhengceku/2021-03/01/7430457/files/7430457.pdf,,
清洁机器人,1.2,0.4,1.5,0.6,字符型,中国清洁技术协会,https://www.chinaclean.com,,
无人驾驶汽车,3.2,1.0,4.5,2.3,字符型,中国智能交通协会,https://www.citaa.org.cn,,
空间机器人,0.9,0.3,1.1,0.4,字符型,中国航天科技集团公司,https://www.casc.com.cn,,
服务机器人,1.4,0.5,1.8,0.9,字符型,中国服务机器人产业联盟,https://www.csr-ic.org,,
智能陪伴机器人,1.1,0.4,1.3,0.6,字符型,人工智能发展组织,https://www.ai.org.cn,,
水下机器人,1.3,0.4,1.6,0.7,字符型,中国海洋大学,https://www.ouc.edu.cn,,
清洁机器人,1.8,0.7,2.5,1.2,字符型,中国家电协会,https://www.cheaa.org,,
物流机器人,2.2,0.9,3.5,1.3,字符型,中国物流与采购联合会,http://www.clp.org.cn,,
建筑机器人,1.0,0.4,1.8,0.6,字符型,国家建筑材料局,http://www.moc.gov.cn,,
娱乐机器人,3.0,1.0,4.0,2.5,字符型,中国智能玩具协会,http://www.cctoy.org.cn,,
探测机器人,2.5,0.5,3.2,1.0,字符型,国防科技大学,http://www.nudt.edu.cn,,
无人机,15.0,3.0,20.0,8.0,字符型,中国民用航空局,http://www.caac.gov.cn,,
家庭辅助机器人,0.9,0.3,1.2,0.5,字符型,国家发展和改革委员会,https://www.ndrc.gov.cn,,
农业无人车,4.0,1.5,5.0,2.0,字符型,中国农业科学院,http://www.caas.cn,,
安防巡逻机器人,1.6,0.4,2.2,1.0,字符型,公安部,http://www.mps.gov.cn,,
单轨列车机器人,5.5,1.5,7.0,3.0,字符型,国家铁路局,http://www.nra.gov.cn,,
探测机器人,1.8,0.7,2.2,1.1,字符型,国际机器人联合会,https://www.ifr.org,,
教育机器人,1.3,0.5,1.7,0.9,字符型,教育部,https://www.moe.gov.cn,,
无人机,10.0,2.0,15.0,5.0,字符型,中国民用航空局,https://www.caac.gov.cn,,
物流机器人,2.5,1.0,3.0,1.5,字符型,阿里巴巴集团,https://www.alibaba.com,,
巡逻机器人,1.6,0.4,2.1,1.0,字符型,国家公安部,https://www.mps.gov.cn,,
娱乐机器人,0.9,0.3,1.2,0.5,字符型,中国玩具和婴童用品协会,https://www.ctta.org.cn,,
