机器人类型,主要结构,特点,常见应用,数据类型,采集来源,来源链接,采集时间,备注【疑问汇总】
工业机器人,并联机器人,高速、高精度,包装、装配,字符型,工业机器人网,https://www.robotics.cn,,
服务机器人,轮式导航系统,语音识别、智能对话,迎宾、信息查询,字符型,智能机器人研究院,https://www.robotica.com,,
救援机器人,履带式底盘,轮胎防滑、坚固耐用,灾害救援、搜索,字符型,国家自然灾害应急救援中心,https://www.ndms.gov.cn,,
教育机器人,模块化装置,可编程、趣味性,STEM教育、编程学习,字符型,教育机器人研究协会,https://www.erra.org,,
医疗机器人,混合机械臂,智能化、微创手术,康复治疗、精准手术,字符型,国际医疗机器人协会,https://www.imra.org,,
农业机器人,无人驾驶拖拉机,智能感知、自动播种,农业生产、播种施肥,字符型,中国农业科学院,https://www.caas.cn,,
娱乐机器人,亲和外型,情感表达、互动性强,陪伴、教育,字符型,华人智能科技公司,https://www.chinasmarttech.com,,
物流机器人,移动自主平台,高效路径规划、自动充电,仓库管理、配送,字符型,中国物流与采购联合会,https://www.clp.org.cn,,
特种机器人,多功能无人机,高空作业、实时监控,农业监测、环境评估,字符型,国家无人机监管局,https://www.uav.gov.cn,,
家庭机器人,智能清扫器,自动导航、智能清扫,家庭清洁、自动化,字符型,家居智能化研究中心,https://www.smart-home.org,,
物流机器人,自主导航小车,高效配送、实时定位,仓储、商业配送,字符型,物流行业协会,https://www.logisticsassociation.cn,,
娱乐机器人,人形外观,语音识别、互动娱乐,家庭娱乐、儿童教育,字符型,中国人工智能产业发展联盟,https://www.caiia.org,,
维护机器人,多功能手臂,远程操控、精细作业,设备维修、工业维护,字符型,工业自动化协会,https://www.industrialautomation.org,,
家庭护理机器人,轮式移动平台,老年人监护、健康监测,居家护理、健康管理,字符型,中国老龄工作委员会,https://www.cnag.org,,
扫地机器人,圆盘设计,智能清扫、路径规划,家庭清洁,字符型,智能家居产业联盟,https://www.smart-home.org,,
农业无人机,多旋翼设计,精准喷洒、实时监控,农田监控、作物喷洒,字符型,无人机行业协会,https://www.uavassociation.cn,,
清理机器人,水下操作臂,深海作业、高度耐压,海洋清理、考古探测,字符型,海洋与水利部,https://www.mwr.gov.cn,,
防疫机器人,移动消毒设备,自动化清洁、远程控制,公共卫生领域,字符型,国家公共卫生部门,https://www.nhc.gov.cn,,
协作机器人,轻量级机械臂,人机协作、安全有效,生产线辅助,字符型,工业和信息化部,https://www.miit.gov.cn,,
战术机器人,全地形车架,多功能支持、环境适应性,军事及救援任务,字符型,国家军工局,https://www.dia.gov.cn,,
工业机器人,并联机器人,高速度、高精确度,组件装配、包装,字符型,中国机械工业联合会,https://www.cmifu.com,,
服务机器人,导航系统与机械臂结合,语音识别、环境感知,酒店服务、陪伴老人,字符型,中国科学院自动化研究所,http://www.ia.ac.cn,,
教育机器人,开源硬件平台,可定制、互动性强,编程教育、课外活动,字符型,科学技术部,http://www.most.gov.cn,,
医疗机器人,远程系统与监控平台,实时监测、控制精确,远程医疗、健康监测,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
农业机器人,无人机与传感器融合,精准施肥、病虫害监测,无人机喷洒、智能植保,字符型,中国农业科学院,http://www.caas.cn,,
特种机器人,机器人手臂与平台组合,抗压、可拆卸,军事侦察、危险区域探索,字符型,中国兵器工业集团,http://www.casic.com,,
家庭机器人,智能移动底盘,家庭管理、设备控制,家居智能化、安防监控,字符型,互联网家居协会,http://www.homelife.org,,
维修机器人,模块化系统与交互界面,自主维修、故障检测,工业设备维护、家庭电器修理,字符型,智能制造在线,https://www.automation.com,,
无人驾驶汽车,传感器与AI引擎结合,实时导航、安全规避,智能交通、共享出行,字符型,交通运输部,http://www.mot.gov.cn,,
巡逻机器人,四轮驱动与监控系统,智能监控、自主巡逻,公共安全、企业园区,字符型,公安部,http://www.mps.gov.cn,,
物流机器人,移动导航系统,智能配送、实时定位,仓库管理、快速配送,字符型,中国智能物流协会,https://www.chinawuliu.gov.cn,,
娱乐机器人,四足步态,可玩性、交互性强,家庭娱乐、展示,字符型,中国机器人发展报告,https://www.roboticsreport.cn,,
建筑机器人,多功能抓取臂,高效施工、环境适应性,建筑施工、安全检查,字符型,中国建筑科学研究院,https://www.csg.org.cn,,
水下机器人,潜水器结构,深海勘探、实时传输,海洋科学研究、石油勘探,字符型,国家海洋局,https://www.soa.gov.cn,,
安防机器人,全景监控系统,实时监控、自动预警,公共安全、财产保护,字符型,公安部,https://www.mps.gov.cn,,
救援机器人,多轮驱动底盘,复杂地形适应、远程控制,灾害救援、搜寻工作,字符型,中国应急管理部,https://www.mem.gov.cn,,
虚拟助手,云计算服务,个性化服务、语音识别,客户服务、日常事务,字符型,人工智能研究中心,https://www.aisource.cn,,
空间机器人,模块化组件,远程操作、耐极端环境,外太空探索、卫星修复,字符型,中国载人航天工程办公室,https://www.cmse.gov.cn,,
家庭陪伴机器人,人形设计,情感互动、学习能力,儿童陪伴、老年照护,字符型,中国老龄事业发展基金会,https://www.clf.org.cn,,
扫地机器人,圆形底盘,自动清洁、智能路径规划,家庭清洁、办公室保洁,字符型,中国家电协会,https://www.cheaa.org,,
物流机器人,移动平台,智能调度、高效搬运,仓库管理、配送,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
巡逻机器人,自主导航系统,实时监控、动作灵活,公共安全、企业安防,字符型,全国公共安全技术防范协会,http://www.sctpa.org,,
人形机器人,仿生设计,情感交流、社交能力,陪伴、展览,字符型,中国智能机器人产业发展报告,https://www.robotreport.com,,
清洁机器人,轮式底盘,自动清理、环境感知,家庭清扫、商业清洁,字符型,中国家电协会,http://www.chea.org.cn,,
救援机器人,四轮驱动,野外工作、负重能力强,灾难救援、应急响应,字符型,中国应急局,http://www.mem.gov.cn,,
娱乐机器人,多媒体交互系统,游戏互动、音视频播放,儿童娱乐、社交活动,字符型,中国玩具协会,http://www.ctia.com.cn,,
养老机器人,交互界面,健康监测、陪伴交流,养老院、家庭照护,字符型,中国老龄事业发展报告,http://www.cnage.org.cn,,
军事机器人,遥控装备,战场适应、数据收集,侦察、后勤支持,字符型,中国国防科技信息网,http://www.miit.gov.cn,,
海洋机器人,水下推进系统,深海探测、环境监测,科学研究、资源勘探,字符型,中国海洋局,http://www.sea.gov.cn,,
护理机器人,多功能臂,精准护理、数据记录,医院护理、老人照护,字符型,国家医学中心,http://www.nhc.gov.cn,,
工业机器人,协作机械臂,易于部署、安全性高,小型企业生产线,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,智能移动车辆,实时数据处理、语音交互,酒店接待、送餐服务,字符型,中国服务机器人产业技术创新战略联盟,https://www.crsia.org,,
医疗机器人,远程手术平台,网络连接、实时协作,远程医疗、手术指导,字符型,医学机器人事业部,https://www.medrobotics.com,,
农业机器人,无人驾驶喷洒机,智能识别、精准施肥,农田管理、作物监测,字符型,中国农业科学院,http://www.caas.cn,,
教育机器人,机器人教育平台,多样化编程、合作学习,课堂教学、STEM教育,字符型,中国机器人教育研究会,http://www.rcer.org.cn,,
特种机器人,水下探测机器人,深水作业、可抗风浪,海洋探测、环境监测,字符型,国家海洋局,http://www.soa.gov.cn,,
物流机器人,自动搬运车,高效搬运、适应多环境,仓储配送、工厂管理,字符型,中国物流与采购联合会,http://www.clp.org.cn,,
家庭机器人,智能家居助手,语音控制、家庭安全监控,家庭安全、智能家居集中管理,字符型,智能家居网,https://www.smart-home.net,,
巡检机器人,全地形移动平台,自主导航、实时监测,电力巡检、交通监控,字符型,中国电力部,http://www.sgcc.com.cn,,
娱乐机器人,互动表演机器人,人机交互、娱乐体验,主题公园、活动娱乐,字符型,中国机器人产业协会,http://www.cria.org.cn,,
物流机器人,移动平台,自动导航、负载能力强,仓储管理、配送,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
家庭机器人,小型移动平台,语音识别、情感交互,个人助手、家庭安防,字符型,美国消费者技术协会,https://www.cta.tech,,
巡检机器人,多轮驱动底盘,实时监控、远程控制,工业设施检修,字符型,国际机器人与自动化协会,https://www.robotics.org,,
娱乐机器人,高度灵活的机械手臂,表演能力、舞蹈功能,舞台表演、展会活动,字符型,机器人市场研究中心,https://www.robotmarketresearch.com,,
石油勘探机器人,重载多功能平台,耐高温、耐腐蚀,油田勘探、平台监控,字符型,能源局,https://www.nea.gov.cn,,
探测机器人,四足移动结构,越障能力强、环境适应性好,搜索与救援,字符型,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
智能清洁机器人,旋转刷和吸尘装置,自清洁、智能路径规划,家庭清洁、商用场所,字符型,中国清洁行业协会,https://www.chinaclean.com,,
测绘机器人,遥控多轮车,高精度测量、图像采集,地质勘探、工程测量,字符型,国家测绘局,https://www.nasg.gov.cn,,
无人机,四旋翼结构,远程控制、高清影像,农业监测、城市管理,字符型,民用无人机产业技术创新战略联盟,http://www.cmua.org.cn,,
人形机器人,仿生结构,拟人行为、自主行走,社交互动、老年陪伴,字符型,中国机器人产业发展报告,https://www.cntrobotics.com,,
物流机器人,自动导航系统,高效配送、实时监控,仓储管理,字符型,物流技术网,https://www.logistics-tech.com,,
清洁机器人,旋转刷和吸尘系统,智能路径规划、自动回充,家庭和商业清洁,字符型,家庭电器协会,https://www.appliance.org,,
娱乐机器人,人形外观,情感交互、游戏功能,陪伴与交互,字符型,中国玩具和婴童用品协会,https://www.toy.org.cn,,
无人机,多旋翼设计,实时视频传输、高空监控,农业监测、灾后评估,字符型,全球无人机产业协会,https://www.globaldrone.org,,
微型机器人,微型驱动器与传感器,高灵活性、精准定位,生物医学和微观制造,字符型,国际机器人技术会议,https://www.robotics-conference.org,,
探测机器人,模块化平台,环境探索、数据采集,空间探索、海洋探测,字符型,中国科学技术协会,https://www.cast.org.cn,,
救援机器人,全地形底盘,高承载能力、远程控制,自然灾害响应,字符型,中国救援协会,https://www.chinarescue.org,,
生物医学机器人,智能探头,细胞操作、基因编辑,科学研究与医疗,字符型,中国医学科学院,https://www.cams.ac.cn,,
自助售货机,电子支付系统,24小时运营、智能库存管理,公共场所商品售卖,字符型,中国自动售货机协会,https://www.vending.org.cn,,
建筑机器人,自动施工臂,精确构建、节能环保,建筑施工与维修,字符型,中国建筑业协会,https://www.cab.org.cn,,
工业机器人,并联机器人,高速、准确性高,电子装配、包装,字符型,国际机器人联盟,https://www.ifr.org,,
服务机器人,移动服务平台,智能导航、语音识别,餐饮服务、导览,字符型,中国服务机器人协会,https://www.csra.org.cn,,
医疗机器人,微创手术机器人,高灵活性、远程操作,远程手术、病人监控,字符型,中国医师协会,http://www.cma.org.cn,,
农业机器人,智能喷洒系统,精准施肥、节水,农田灌溉、作物监测,字符型,农业科技网,https://www.agri-tech.net,,
教育机器人,自主学习机器人,人工智能、游戏互动,青少年编程教育,字符型,中国青少年科技创新大赛,http://www.cqti.org,,
特种机器人,遥控无人机,多用途、灵活机动,环境监测、救援行动,字符型,中国航空器运输协会,http://www.cata.org.cn,,
家居机器人,吸尘和清洗设备,自主工作、智能调度,家庭清洁,字符型,家电产品研究中心,http://www.appliance.org,,
安全机器人,监视巡逻系统,实时监控、智能识别,公共场所安全巡检,字符型,全国公安机关,http://www.mps.gov.cn,,
物流机器人,自动引导车,高效搬运、降低成本,仓库自动化、配送,字符型,中国物流与采购联合会,http://www.clc.org.cn,,
 रेचन机器人,柔性机械臂,适应多种作业环境,无人工厂、定制化生产,字符型,中国机器人产业发展报告,http://www.robot-report.cn,,
家庭服务机器人,滑轮移动平台,远程控制、智能语音,智能家居、清洁服务,字符型,智能家居科技,https://www.homeautomation.com,,
教育机器人,多功能拼插组件,增强学习、自适应,学校教学、编程教育,字符型,中国教育科研网,http://www.edu.cn,,
工业机器人,并联机械手臂,高负载、快速响应,汽车制造、组装,字符型,国际机器人联合会,https://www.ifr.org,,
救援机器人,全地形移动系统,传感器融合、远程操作,灾害救援、搜救任务,字符型,国家灾害救援中心,https://www.ndrc.gov.cn,,
无人驾驶合成,自动驾驶系统,实时监测、路径规划,物流运输、城市配送,字符型,交通运输部,https://www.mot.gov.cn,,
医疗机器人,智能微创手术系统,实时影像、精细操作,微创手术、康复治疗,字符型,中国医疗机器人协会,https://www.cmra.org,,
农业机器人,无人机喷洒系统,精准施药、数据分析,农业监控、作物管理,字符型,农业科技进步年鉴,http://www.agritech.gov.cn,,
服务机器人,移动服务平台,人机协作、安全交互,餐饮服务、接待,字符型,中国机器人认证中心,https://www.crrc.com,,
情感陪伴机器人,柔性外壳设计,情感交流、智能陪伴,老年人关怀、儿童陪伴,字符型,社会学研究中心,http://www.sociology-research.org,,
特种机器人,模块化应用平台,多任务能力、快速部署,环境监测、军事侦察,字符型,国家科技部,http://www.most.gov.cn,,
服务机器人,移动平台,语音识别、情感互动,智慧餐厅,字符型,中国人工智能产业发展联盟,https://www.caict.ac.cn,,
制造机器人,直线运动机械臂,高速度、高负载,汽车制造,字符型,国际机器人联合会,https://www.ifr.org,,
物流机器人,自主导航系统,高效配送、路径优化,仓储管理,字符型,中国物流与采购联合会,http://www.clp.org.cn,,
防疫机器人,无人机平台,高空喷洒、监控,疫情防控,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
改造型机器人,模块化可拆卸,灵活组装、功能扩展,家庭多功能,字符型,家庭科技协会,http://www.homesci.org,,
救援机器人,全地形底盘,多传感器融合、实时通信,灾害救援,字符型,中国科学院,https://www.cas.cn,,
教育机器人,互动终端,编程教育、趣味学习,校外培训,字符型,国家教育部,https://www.moe.gov.cn,,
医疗服务机器人,灵活臂式,患者监护、医务助理,医院护理,字符型,中国医疗器械行业协会,http://www.cmi.org.cn,,
家庭助手机器人,人形设计,智能家居控制、陪伴功能,老年人护理,字符型,智联招聘,https://www.zhaopin.com,,
农业数据采集机器人,四轮驱动,图像处理、土壤分析,智能农业,字符型,农业农村部,https://www.moa.gov.cn,,
物流机器人,自主移动平台,智能调度、路径优化,仓储管理、快递配送,字符型,中国物流与采购联合会,https://www.chinawuliu.com,,
焊接机器人,关节型机械臂,高速度、高精度,汽车制造,字符型,中国机器人产业联盟,https://www.robotics.org.cn,,
娱乐机器人,轮式移动平台,互动性强、娱乐性高,家庭娱乐、展览展示,字符型,科技日报,https://www.stdaily.com,,
医药配送机器人,移动运输车,智能识别、导航,医院药房配送,字符型,国家卫健委,https://www.nhc.gov.cn,,
探索机器人,全地形底盘,环境适应能力强、远程控制,环境调查、空间探索,字符型,中国科学技术协会,http://www.cast.org.cn,,
安防机器人,移动监控平台,实时监控、数据分析,公共安全,字符型,公安部,http://www.mps.gov.cn,,
清洁机器人,自动吸尘底盘,智能清扫、拖地,智能家居,字符型,中国家电协会,http://www.cheaa.com,,
陪伴机器人,人形设计,情感交互、学习能力,老年人陪护、儿童教育,字符型,中国人工智能产业发展报告,https://www.ai.gov.cn,,
建筑机器人,多功能臂,自动化施工、提升效率,建筑工地,字符型,中国建设新闻网,http://www.cnaib.com,,
下载机器人,服务器机器人,高效处理、智能分类,数据采集与整理,字符型,信息产业部,http://www.miit.gov.cn,,
物流机器人,自动导引车(AGV),高效运输、实时定位,仓储管理、配送,字符型,物流科技网,https://www.logistics-tech.cn,,
娱乐机器人,人形机器人,情感交互、语音识别,陪伴、教育,字符型,中国智能机器人研究中心,https://www.crobotics.org.cn,,
清扫机器人,平板设计,智能规划、抗干扰,家庭清洁、商用,字符型,家电协会,https://www.cheaa.com,,
移动机器人,四轮驱动,高机动性、环境适应,巡逻、安保,字符型,国家安全委员会,https://www.nsc.gov.cn,,
助行机器人,机械支架,人机协作、稳定性强,老年人辅助,字符型,老龄化社会研究中心,https://www.ageingresearch.cn,,
无人机,多旋翼设计,高空监测、长续航,农业监测、快递配送,字符型,航空航天研究所,https://www.aerospace.ac.cn,,
水下机器人,潜水器,深水作业、高清成像,海洋探索、环境监测,字符型,海洋与淡水生态研究中心,https://www.oceanecology.cn,,
合作机器人,轻量化设计,安全协作、智能识别,生产线协作,字符型,中国工业机器人协会,https://www.cira.org.cn,,
无人驾驶汽车,智能传感器系统,全自动驾驶、路径规划,自动驾驶出行服务,字符型,智能交通研究联合会,https://www.smarttransportation.org,,
宠物机器人,生活伴侣设计,情感模拟、互动游戏,家庭娱乐,字符型,宠物科技协会,https://www.pettech.org.cn,,
服务机器人,滑行底盘,智能识别、环境感知,餐饮服务、酒店接待,字符型,中国人工智能产业发展联盟,https://www.caai.cn,,
教育机器人,格斗模块,竞争性、协作,STEM 教育赛事,字符型,全国青少年科技创新大赛,https://www.cys.com.cn,,
医疗机器人,远程操控系统,实时数据监控、远程手术,远程医疗,字符型,中国医学科学院,https://www.cams.ac.cn,,
工业机器人,直角坐标机械臂,高负载、重复精准,汽车制造,字符型,中国机器人产业发展报告,https://www.robotics.org.cn/report,,
农业机器人,无人拖拉机,自动导航、精准播种,大田作物种植,字符型,农业部精准农业中心,https://www.moa.gov.cn/agricultural-research,,
特种机器人,水下导航平台,深海探测、环境适应性,海洋科研、救援,字符型,中国海洋科技发展中心,https://www.cnosm.gov.cn,,
宅配机器人,电动配送车,自动驾驶、路径规划,城市配送,字符型,城市物流研究院,https://www.urbanlogistics.org,,
救援机器人,爬行机器人,穿越狭小空间、实时监控,灾后搜救,字符型,中国应急管理学院,https://www.cem.edu.cn,,
娱乐机器人,自定义外壳,社交互动、可个性化,家庭陪伴,字符型,中国家庭机器人产业协会,https://www.chinarobot.org,,
清洁机器人,旋转刷系统,自动充电、智能控制,家庭、商业空间清洗,字符型,中国清洁设备协会,https://www.cleaningindustry.cn,,
物流机器人,自动导引车,自主避障、路径规划,仓储、配送中心,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
无人驾驶汽车,电动平台,智能驾驶、远程控制,公共交通、共享出行,字符型,智能交通研究院,https://www.its.org.cn,,
对抗机器人,重型机身,强抗撞击、快速反应,军事训练、比赛,字符型,中国军事科学院,http://www.cass.cn,,
娱乐机器人,可移动平台,情感互动、语音识别,家庭娱乐、展会展示,字符型,机器人技术与应用协会,http://www.robotics.org.cn,,
研究机器人,复合材料结构,高灵活性、可定制,科学研究、数据采集,字符型,中国科学院,http://www.cas.cn,,
餐饮服务机器人,移动平台,智能点餐、移动服务,餐厅、酒店,字符型,中国餐饮协会,https://www.caterings.org.cn,,
建筑机器人,高强度机械手,施工精度高、耐用,建筑施工、维修,字符型,国家建筑工程质量监督,http://www.mohurd.gov.cn,,
清洁机器人,自动行走设备,环境感知、智能规划,商业俱乐部、家庭,字符型,中国智能家居产业发展协会,http://www.csia.org.cn,,
救援机器人,伸缩臂设计,遥控操作、应急救援,消防、救援行动,字符型,国家消防救援局,http://www.msa.gov.cn,,
航空机器人,多旋翼机体,高空监测、航拍,农田监测、城市管理,字符型,中国无人机产业研究中心,http://www.uav-cn.org,,
工业机器人,直角坐标机械手,高效、稳定性强,包装和仓储,字符型,国家机器人技术创新中心,https://www.robotinnovation.gov.cn,,
服务机器人,人形设计,智能识别、情感交互,餐饮、接待服务,字符型,人工智能研究所,https://www.ai-research.org.cn,,
农业机器人,无人机集成系统,精准喷洒、作业效率高,农田监测、施肥,字符型,农业技术推广中心,https://www.agritech.gov.cn,,
教育机器人,增强现实模块,互动性强、模拟实验,STEM教育,字符型,教育装备行业协会,https://www.educationequipment.org.cn,,
医疗机器人,视觉导航系统,高效能、自动药物配送,医院自动化,字符型,中国医疗机器人产业发展联盟,https://www.cmric.org.cn,,
特种机器人,模块化移动平台,轻量、适应性强,军事侦查、救援,字符型,国防科技局,https://www.mod.gov.cn,,
物流机器人,自动配送车,路径规划、动态避障,城市快递、商场配送,字符型,中国物流与采购联合会,https://www.chinawuliu.org,,
救援机器人,遥控操作系统,强大的越野能力,灾难现场搜救,字符型,国家灾害应急中心,https://www.safetydisaster.gov.cn,,
家庭机器人,功能模块组装,多功能、个性化设定,日常家务、助老助残,字符型,社会福利部,https://www.socialwelfare.gov.cn,,
娱乐机器人,高度智能化平台,学习能力强、趣味交互,游戏、陪伴,字符型,文化和旅游部,https://www.mct.gov.cn,,
服务机器人,人形设计,情感互动、自适应学习,老年人照护、陪伴,字符型,中国机器人产业联合会,https://www.cria.org.cn,,
教育机器人,可编程模块,多语种支持、游戏化学习,STEM教育、编程启蒙,字符型,教育部,https://www.moe.gov.cn,,
智能家居机器人,智能传感器,家庭环境感知、语音控制,安全监控、家电控制,字符型,良品智能,https://www.lp.com,,
农业机器人,无人机平台,高效精准、数据采集,农作物监测、喷洒农药,字符型,农业科技新闻网,https://www.agritechnews.com,,
工业机器人,伺服驱动系统,高复用性、精准焊接,汽车制造、电子组装,字符型,智能制造与信息化,https://www.imint.com,,
医疗机器人,远程操作机械臂,远程手术、精准定位,复杂手术、远程医护,字符型,中国医疗机器人产业联盟,https://www.cmra.org.cn,,
特种机器人,液压驱动平台,高承载能力、多任务处理,紧急救援、探测作业,字符型,国家消防救援局,https://www.fire.gov.cn,,
物流机器人,自动导航系统,智能路径规划、快速搬运,仓储自动化、分拣配送,字符型,智慧物流研究中心,https://www.smartlogistics.org,,
娱乐机器人,全方位移动底盘,实时互动、动态表演,主题公园、展览展示,字符型,中国玩具协会,https://www.ctoy.org.cn,,
无人驾驶汽车,高级感应系统,全自动驾驶、实时学习,货运、乘车服务,字符型,交通运输部,https://www.mot.gov.cn,,
家庭清洁机器人,圆形底盘,智能导航、自动充电,家庭清洁,字符型,家电技术协会,https://www.appliance.org.cn,,
军事机器人,履带式底盘,遥控操作、耐环境,侦查与排雷,字符型,中国军事科学研究院,https://www.casr.org.cn,,
自动驾驶机器人,电动滑轮,无人驾驶、实时定位,道路运输,字符型,智能交通研究中心,https://www.itrc.cn,,
物流机器人,AGV小车,路径优化、负载能力强,仓库管理,字符型,电子商务研究中心,https://www.ec.org.cn,,
情感陪伴机器人,人形结构,情感交互、学习能力,老年陪护,字符型,智慧养老协会,https://www.smartcare.org.cn,,
水下机器人,流线型机身,深水探测、高清摄像,海洋研究,字符型,国家海洋局,https://www.soa.gov.cn,,
无人机,四旋翼结构,高灵活性、实时数据传输,测绘与监控,字符型,航空航天工业总公司,https://www.aia.com.cn,,
辅助行走机器人,外骨骼设计,助力行走、减轻负担,康复治疗,字符型,中国康复医学会,https://www.crma.org.cn,,
农业无人机,多旋翼装置,植保喷洒、作业效率高,农作物喷洒,字符型,农业航空协会,https://www.agriaviation.org.cn,,
演艺机器人,可移动关节,互动表演、自动化舞蹈,文娱演出,字符型,文化和旅游部,https://www.mct.gov.cn,,
工业机器人,平行机械手,高速度、高负载,装配线,字符型,中国智能制造产业协会,https://www.cimra.org,,
服务机器人,轮式移动平台,智能语音交互、可远程控制,餐饮行业、酒店服务,字符型,机器人与智能装备产业创新中心,https://www.roboticsinnovation.cn,,
医疗机器人,超声波导航手臂,精准操作、实时监控,癌症手术辅助,字符型,中国医疗机器人研究所,https://www.cmri.org,,
农业机器人,无人驾驶拖拉机,智能耕作、气象感知,大田作物种植,字符型,中国农业大学,https://www.cau.edu.cn,,
教育机器人,可编程机器人套件,模块化、激励学习,STEM教育,字符型,中国科技教育网,https://www.stemedu.cn,,
特种机器人,水下操控系统,抗压强、远程操作,海洋探索、救援,字符型,中国海洋开发研究中心,https://www.codc.cn,,
家用机器人,多功能清洁底座,智能路径规划、自动充电,家庭清洁,字符型,家电产业协会,https://www.cheaa.org,,
物流机器人,移动自动化小车,自主导航、负载优化,仓储配送,字符型,物流科技与管理研究所,https://www.logisticsresearch.cn,,
巡逻机器人,四轮移动平台,视频监控、异常报警,安保、公共安全,字符型,中国安防科技协会,https://www.security.org.cn,,
食品制造机器人,注塑成型系统,高效生产、稳定性强,包装食品生产,字符型,中国食品机械协会,https://www.cfma.org.cn,,
工业机器人,平行机械手,高速度、稳定性,电池组装,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,轮式移动平台,语音识别、远程控制,酒店接待、配送,字符型,中国服务机器人产业协会,https://www.csria.org.cn,,
医疗机器人,多关节手臂,图像处理、实时反馈,康复治疗,字符型,中国医学科学院,http://www.cma.org.cn,,
农业机器人,自主驾驶拖拉机,精准播种、土壤监测,智能农业,字符型,中国农业大学,https://www.cau.edu.cn,,
特种机器人,水下探测平台,深水适应、抗压强,海洋勘探,字符型,中国海洋大学,http://www.ouc.edu.cn,,
教育机器人,模块化机器人,编程趣味性、互动性强,科学教育及编程教学,字符型,清华大学机器人研究所,http://www.tsinghua.edu.cn,,
家务机器人,吸尘轨迹导航,智能路径规划、噪音低,家庭清洁,字符型,科技日报,http://www.stdaily.com,,
无人驾驶汽车,硬件集成平台,自动驾驶、交通监测,智能出行,字符型,中国汽车工程学会,http://www.sae-china.org,,
安防机器人,固定监控塔,24小时监控、无人值守,公共安全监控,字符型,公安部,http://www.mps.gov.cn,,
物流机器人,移动AGV,自主充电、路径优化,仓储物流,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
物流机器人,移动车载平台,高效配送、抗干扰,仓库管理、快递配送,字符型,中国物流与采购联合会,https://www.clp.org.cn,,
清扫机器人,扫地机器人,自动清理、声控,家庭清洁、酒店服务,字符型,中国家用电器协会,https://www.cheaa.com,,
餐饮机器人,嵌入式系统,智能点餐、自动配菜,餐厅服务、自助餐厅,字符型,行业观察,https://www.hangye118.com,,
娱乐机器人,人形机器人,情感交互、娱乐功能,博物馆导览、活动互动,字符型,中国人工智能产业发展报告,https://www.ai.gov.cn,,
防暴机器人,履带式底盘,高抗击打能力、作战功能,公共安全、抗暴突击,字符型,国家安全部,https://www.mps.gov.cn,,
个人陪伴机器人,社交互动平台,情感陪伴、学习能力,老年人陪伴、儿童教育,字符型,中国老龄产业协会,https://www.cphse.com,,
