产品名称（字符型）,产品类型（字符型）,产品规格（字符型）,员工数量（数值型）,单位,评估标准名称（字符型）,评估标准类型（字符型）,实施日期（日期型）,责任单位（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
空天应急通信系统,通信设备,覆盖范围：300公里,180,人,应急通信评估标准,安全标准,2023-10-25,应急管理研究院,中国应急管理部,https://www.mem.gov.cn/,2024-10-08,,,,,,,,,
空天信息安全系统,安全软件,加密强度：256位,70,人,信息安全评估标准,安全标准,2024-04-01,网络安全技术公司,国家互联网信息办公室,https://www.cac.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测精度：±1°C,95,人,气象性能评估标准,气象标准,2023-12-12,气象科技集团,中国气象局,http://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天数据实时传输系统,传输设备,传输速率：1Gbps,120,人,传输性能评估标准,通信标准,2024-02-20,数据传输公司,国际电信联盟,https://www.itu.int/,2024-10-08,,,,,,,,,
空天生物特征识别系统,识别设备,识别范围：100米,65,人,生物识别评估标准,测量标准,2024-05-10,生物识别科技公司,信息与技术研究院,https://www.itri.org.cn/,2024-10-08,,,,,,,,,
空天智能导航系统,导航软件,精度：±2米,110,人,导航性能评估标准,技术标准,2023-11-05,智能导航研究院,全国测绘局,https://www.ngcc.gov.cn/,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,监测深度：50米,140,人,环境监测评估标准,环境标准,2024-06-12,环境科技公司,国家环保局,http://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天物流支持系统,支持软件,处理能力：500件/小时,200,人,物流评估标准,性能标准,2024-01-12,物流科技公司,国际物流门户,https://www.iata.org/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：ZY-650,175,人,气象数据评估标准,环境标准,2023-10-10,中国气象局,气象科学研究所,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天协同操作平台,操作软件,支持10个用户并发,250,人,操作效率评估标准,软件标准,2024-03-01,信息技术中心,科技创新研究院,https://www.techinnovation.cn/platform,2024-10-08,,,,,,,,,
空天遥感数据融合系统,数据处理软件,融合能力：5TB/day,65,人,数据融合评估标准,数据标准,2024-06-15,遥感与数据融合研究所,遥感能力发展中心,https://www.rsc.cn/fusion,2024-10-08,,,,,,,,,
空天无人驾驶航天器,无人机,航程：200公里,300,人,飞行性能评估标准,性能标准,2024-08-30,航空科技有限公司,民用航空管理局,https://www.caac.gov.cn/drone,2024-10-08,,,,,,,,,
空天安全管理系统,安全管理软件,支持多层次安全评估,120,人,安全合规性评估标准,合规标准,2023-12-05,安全科技公司,国家安全生产监督管理局,https://www.chinasafety.gov.cn/safety,2024-10-08,,,,,,,,,
空天中央控制系统,控制设备,反应时间：<300ms,110,人,控制系统评估标准,技术标准,2023-11-20,空天科技有限公司,航空航天研究所,https://www.aerospace.cn/control,2024-10-08,,,,,,,,,
空天多功能展示平台,展示设备,显示分辨率：4K,90,人,展示效果评估标准,视觉标准,2023-09-25,展示技术公司,科技展览委员会,https://www.techshow.cn/design,2024-10-08,,,,,,,,,
空天能源管理系统,能源管理软件,智能监控：10个区域,140,人,能源效率评估标准,效率标准,2024-01-15,能源科技公司,国家能源局,https://www.nea.gov.cn/energy,2024-10-08,,,,,,,,,
空天任务调度系统,调度软件,支持100个任务并行,85,人,调度准确性评估标准,任务标准,2024-05-10,航空调度管理中心,中央空天局,https://www.spacecontrol.gov.cn/scheduling,2024-10-08,,,,,,,,,
空天数据安全系统,安全软件,防火墙强度：高,70,人,信息安全评估标准,安全标准,2024-07-18,数据安全技术公司,网络安全局,https://www.cybersecurity.gov.cn,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,型号：EM-600,175,人,环境影响评估标准,环境标准,2023-11-15,空间环境科技公司,https://www.mep.gov.cn/environment,环境保护部,2024-10-08,,,,,,,,,
空间数据分析平台,数据分析软件,分析能力：2TB/day,95,人,数据分析效率标准,性能标准,2024-03-22,数据分析创新中心,https://www.dari.org.cn,数据分析研究所,2024-10-08,,,,,,,,,
空天多功能通信系统,通信设备,频率范围：1GHz-6GHz,210,人,网络安全评估标准,安全标准,2024-07-10,国家宽频技术中心,https://www.stdaily.com,科技日报,2024-10-08,,,,,,,,,
空天地图生成系统,地图生成软件,分辨率：1cm,65,人,地图精度评估标准,测绘标准,2023-12-01,数字地理科技有限公司,https://www.ngcc.cn,国家测绘局,2024-10-08,,,,,,,,,
空天即时回传系统,传输设备,反馈延时：200ms,120,人,实时性评估标准,实时标准,2023-08-17,快速通信科技公司,http://www.nrta.gov.cn,国家广播电视总局,2024-10-08,,,,,,,,,
空天科技研发平台,研发软件,处理能力：500GB/day,45,人,研发效率标准,研发标准,2024-04-12, aerospace研发中心,https://www.most.gov.cn,科技创新委员会,2024-10-08,,,,,,,,,
空天安全监测设备,监测设备,通道数：8,135,人,安全监测标准,安全标准,2024-09-28,国家安全监测局,https://www.mps.gov.cn,公安部,2024-10-08,,,,,,,,,
空天卫星导航设备,导航设备,精度：±3米,160,人,导航精度评估标准,测量标准,2024-01-31,导航科技集团,https://www.cnsa.gov.cn,国家航天局,2024-10-08,,,,,,,,,
空天监控系统,监控设备,监控范围：500km,110,人,监控精度标准,监控标准,2023-10-22,监控技术有限公司,https://www.mps.gov.cn,国家安全部,2024-10-08,,,,,,,,,
空天气象观测系统,观测设备,观测精度：±2°C,70,人,气象观测标准,气象标准,2024-02-18,气象科技研究院,http://www.cma.gov.cn,中国气象局,2024-10-08,,,,,,,,,
空天监控系统,监测设备,型号：KJ-600,180,人,性能评估标准,技术标准,2023-08-15,华北空天科技公司,行业协会报告,https://www.spaceassociations.cn/,2024-10-08,,,,,,,,,
空天信息共享平台,软件平台,响应时间：<200ms,250,人,响应能力评估标准,性能标准,2023-11-20,信息技术发展研究院,国家信息中心,https://www.nic.gov.cn/,2024-10-08,,,,,,,,,
空天信号处理器,处理设备,处理速度：1.5Gbps,70,人,性能评估标准,技术标准,2024-03-12,信号处理科技公司,电子科技协会,https://www.electronics.org.cn/,2024-10-08,,,,,,,,,
空天卫星通讯系统,通信设备,频率：2GHz,300,人,协议兼容性评估标准,兼容性标准,2023-10-24,卫星通信研究所,国家科技业发展局,https://www.nstd.gov.cn/,2024-10-08,,,,,,,,,
空天智能监测系统,监测设备,智能算法集成,160,人,智能评估标准,技术标准,2024-01-15,智能科技公司,科技创新论坛,https://www.techinnovation.org/,2024-10-08,,,,,,,,,
空天无人机系统,无人机设备,最大飞行时长：3小时,220,人,飞行性能评估标准,性能标准,2024-02-28,无人机技术公司,航空航天协会,https://www.aerospace.gov.cn/,2024-10-08,,,,,,,,,
空天电磁干扰系统,干扰设备,覆盖半径：500km,100,人,干扰效果评估标准,技术标准,2023-12-01,电磁技术研究院,国家安全局,https://www.nsa.gov.cn/,2024-10-08,,,,,,,,,
空天气象卫星,卫星设备,分辨率：10米,130,人,气象数据质量评估标准,数据标准,2024-05-05,气象科技公司,国家气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天安防系统,安防设备,监控范围：400米,140,人,安全性评估标准,安全标准,2024-03-01,安防科技公司,社会安全网,https://www.securitiesafety.org/,2024-10-08,,,,,,,,,
空天安全监控设备,监控设备,监控范围：100km,130,人,安全性评估标准,安全标准,2023-08-15,安全科技有限公司,国家安全部,https://www.mps.gov.cn/security,2024-10-08,,,,,,,,,
空天云计算平台,计算平台,存储容量：10PB,220,人,性能评估标准,技术标准,2023-11-01,云计算研究院,中国互联网协会,https://www.isc.org.cn/cloud,2024-10-08,,,,,,,,,
空天智能传感系统,传感器,传感器完成率：98%,75,人,智能化评估标准,技术标准,2023-10-12,智能科技公司,人工智能协会,https://www.ai.org.cn/sensors,2024-10-08,,,,,,,,,
空天数据分析系统,数据分析软件,分析能力：分析100TB数据,140,人,数据质量评估标准,质量标准,2024-03-01,大数据科技公司,行业分析报告,https://www.bigdata.com.cn/analysis,2024-10-08,,,,,,,,,
空天无人机监控系统,无人机,飞行高度：5000米,180,人,飞行安全评估标准,安全标准,2023-12-20,无人机科技有限公司,民航局,https://www.caac.gov.cn/drone,2024-10-08,,,,,,,,,
空天火箭发射系统,发射系统,发射能力：10吨,300,人,发射效率评估标准,效率标准,2024-04-18,航天发射中心,国家航天局,https://www.cnsa.gov.cn/launch,2024-10-08,,,,,,,,,
空天遥测数据系统,遥测设备,精度：±10米,95,人,遥测精度评估标准,技术标准,2024-02-28,遥测科技有限公司,格罗博通信,https://www.grabocomm.com/remote-sensing,2024-10-08,,,,,,,,,
空天多目标跟踪系统,跟踪设备,跟踪目标数：150个,110,人,跟踪精度评估标准,技术标准,2024-05-05,跟踪技术公司,卫星监测局,https://www.satellitemonitor.org.cn,2024-10-08,,,,,,,,,
空天环境监测平台,监测平台,监测指标：PM2.5,160,人,环境监测评估标准,环境标准,2023-07-25,环境科技公司,国家环境保护局,https://www.mee.gov.cn/environment,2024-10-08,,,,,,,,,
空天情报交流系统,通信设备,传输速率：1Gbps,300,人,传输效能评估标准,性能标准,2024-03-15,情报科技有限公司,国家情报局,https://www.nis.gov.cn/intelligence,2024-10-08,,,,,,,,,
空天任务调度系统,调度软件,调度效率：95%,180,人,任务执行评估标准,效率标准,2023-11-05,任务调度研究所,国际空天组织,https://www.iaf.org/space-scheduling,2024-10-08,,,,,,,,,
空天生态监测平台,监测设备,监测范围：500km,75,人,生态评估标准,环境标准,2024-01-25,生态科技公司,环境保护部,https://www.mee.gov.cn/monitoring,2024-10-08,,,,,,,,,
空天物联终端,传感器,传感精度：±0.1%,100,人,数据收集标准,精度标准,2024-04-10,物联网技术研究中心,全国传感技术协会,https://www.iot.org.cn/,2024-10-08,,,,,,,,,
空天预测分析系统,分析软件,预测精确度：85%,60,人,分析有效性标准,性能标准,2024-05-19,预测科学公司,大数据发展委员会,https://www.dddc.gov.cn/,2024-10-08,,,,,,,,,
空天应急响应平台,应急设备,响应时间：30分钟,120,人,应急效果评估标准,安全标准,2023-12-12,应急管理局,国家应急事务中心,https://www.nema.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测参数：气温、压力、湿度,140,人,气象监测标准,气象标准,2023-10-22,气象科技公司,中国气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天农业遥感系统,遥感设备,分辨率：10米,65,人,农业应用评估标准,应用标准,2024-02-28,农业遥感技术研究院,农业部门,https://www.moa.gov.cn/,2024-10-08,,,,,,,,,
空天空间安全平台,安全设备,监测范围：1000km,90,人,安全监测标准,安全标准,2024-08-01,空间安全研究中心,国家安全委员会,https://www.nsc.gov.cn/,2024-10-08,,,,,,,,,
空天监测卫星,卫星设备,轨道高度：600km,250,人,卫星性能评估标准,技术标准,2023-08-15,中国航天科技集团,行业峰会,https://www.spacechina.com/,2024-10-08,,,,,,,,,
空天数据共享平台,数据平台,支持用户数：5000,60,人,数据共享与隐私标准,安全标准,2023-10-10,数据科技发展中心,政府报告,https://www.most.gov.cn/,2024-10-08,,,,,,,,,
空天情报处理系统,情报处理设备,处理能力：5TB/day,120,人,情报分析性能标准,性能标准,2024-03-01,国家安全局,国际动态,https://www.nsa.gov/,2024-10-08,,,,,,,,,
空天模拟训练系统,模拟设备,用户界面：增强现实,75,人,训练效果评估标准,教育标准,2023-11-05,空军航空大学,技术交流,https://www.airforce.edu/,2024-10-08,,,,,,,,,
空天测绘系统,测绘设备,数据精度：±3厘米,100,人,测绘数据质量标准,测量标准,2024-02-20,国家测绘局,科研出版物,https://www.ngcc.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：全球,180,人,气象数据质量标准,气象标准,2023-12-01,气象科学研究所,气象年鉴,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天无人机系统,无人机设备,飞行时间：10小时,140,人,无人机飞行安全标准,安全标准,2023-09-10,无人机技术公司,技术指南,https://www.drone-tech.com/,2024-10-08,,,,,,,,,
空天人工智能分析系统,AI分析软件,算法类型：深度学习,65,人,AI性能评估标准,技术标准,2024-01-15,人工智能研究院,科技论坛,https://www.ai-research.org/,2024-10-08,,,,,,,,,
空天信号探测系统,信号探测设备,探测精度：±2dB,55,人,信号质量评估标准,性能标准,2024-04-22,电磁技术研究中心,专业咨询,https://www.ems-research.org/,2024-10-08,,,,,,,,,
空天精准打击系统,精确打击武器,打击精度：±1米,200,人,精确打击性能标准,军事标准,2024-05-05,军事科技公司,国防部,https://www.mod.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,测量范围：-40°C to 60°C,75,人,气象数据精度标准,气象标准,2023-10-12,气象科技发展公司,国家气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天应急响应系统,应急设备,反应时间：≤15秒,200,人,应急响应评估标准,应急管理标准,2023-08-25,应急管理研究院,应急管理部,https://www.mem.gov.cn/,2024-10-08,,,,,,,,,
空天资源管理系统,数据管理软件,存储容量：5TB,120,人,资源利用效率标准,管理标准,2024-03-15,资源科技公司,国家资源部,https://www.mnr.gov.cn/,2024-10-08,,,,,,,,,
空天信号处理系统,信号处理设备,处理延迟：<1毫秒,90,人,信号处理性能标准,性能标准,2024-02-20,信号科技研究院,信息产业部,https://www.miit.gov.cn/,2024-10-08,,,,,,,,,
空天无人机系统,无人机设备,航程：100 km,300,人,无人机操作标准,操作标准,2023-11-05,无人机科技公司,中国民用航空局,https://www.caac.gov.cn/,2024-10-08,,,,,,,,,
空天图像识别系统,图像处理软件,识别准确率：95%,60,人,图像识别准确性标准,图像标准,2024-05-10,图像科技公司,图像处理协会,https://www.imageassociation.cn/,2024-10-08,,,,,,,,,
空天安全监控系统,监控设备,监控范围：5000平方米,150,人,安全监控标准,安全标准,2023-12-01,安全科技公司,国家安全监管局,https://www.safety.gov.cn/,2024-10-08,,,,,,,,,
空天卫星通信系统,通信设备,频段：Ka频段,225,人,通信性能评估标准,技术标准,2023-09-15,卫星通信公司,中国卫星网,https://www.casm.gov.cn/,2024-10-08,,,,,,,,,
空天轨道预测系统,预测软件,预测精度：±10米,80,人,轨道预测准确性标准,预测标准,2024-02-25,轨道科技公司,国家航天局,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空天数据分析平台,数据分析软件,分析能力：2TB/day,95,人,分析效率评估标准,性能标准,2024-03-15,数据分析科技公司,中国信息产业部,https://www.miit.gov.cn,2024-10-08,,,,,,,,,
空天目标识别系统,识别设备,识别精度：95%,70,人,识别性能标准,技术标准,2024-05-01,智能识别技术研究院,人工智能协会,https://www.aaai.org,2024-10-08,,,,,,,,,
空天互联网接入系统,通信设备,接入速率：1Gbps,130,人,通信可靠性标准,安全标准,2023-12-10,新世纪通信有限公司,全国通信管理局,https://www.miit.gov.cn/hangye,2024-10-08,,,,,,,,,
空天气象预报系统,气象设备,预报精度：90%,110,人,气象预报评估标准,技术标准,2024-02-28,国家气象局,中国气象科研院,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天安全监控系统,监控设备,监控范围：500km,140,人,安全监控标准,安全标准,2023-11-25,安全技术中心,国家安全部,https://www.mps.gov.cn,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,监测范围：1000km,85,人,环境监测评估标准,环境标准,2024-04-10,环境保护局,中国环境科学研究院,https://www.careeriq.org,2024-10-08,,,,,,,,,
空天资源管理系统,管理软件,处理速度：5000条/s,60,人,资源管理评估标准,管理标准,2023-10-12,资源管理科技公司,国土资源部,https://www.mnr.gov.cn,2024-10-08,,,,,,,,,
空天交通监测系统,监测设备,监测范围：300km,100,人,交通监测标准,交通标准,2023-08-19,交通运输研究院,国家交通部,https://www.mot.gov.cn,2024-10-08,,,,,,,,,
空天防灾响应系统,应急设备,响应时间：≤5分钟,75,人,应急响应标准,应急管理标准,2024-06-05,应急管理局,中国应急管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,传感器类型：多波段,170,人,气象数据评估标准,性能标准,2023-11-01,气象科技有限公司,气象局官网,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天导航服务平台,通信设备,实时定位精度：±2米,250,人,服务可用性评估标准,质量标准,2023-08-21,导航服务集团,行业协会,https://www.navigation.org/,2024-10-08,,,,,,,,,
空天图像分析系统,数据处理软件,分析速度：500张/分钟,65,人,图像分析效率标准,性能标准,2023-10-15,图像科技有限公司,国际图像协会,https://www.imageassociation.org/,2024-10-08,,,,,,,,,
空天资源管理系统,管理软件,用户容量：1000用户,90,人,资源利用效率标准,经济标准,2024-03-12,资源管理研究所,国家资源局,https://www.nra.gov.cn/,2024-10-08,,,,,,,,,
空天应急响应系统,应急设备,响应时间：≤5分钟,45,人,响应速度评估标准,安全标准,2023-12-18,应急管理部,中国应急网,https://www.chinaemergency.gov.cn/,2024-10-08,,,,,,,,,
空天无人机监控系统,无人机设备,飞行时间：15小时,300,人,飞行性能评估标准,技术标准,2024-04-01,无人机科技公司,航空器协会,https://www.avianation.org/,2024-10-08,,,,,,,,,
空天空间数据共享平台,云服务,存储空间：10TB,130,人,共享效率评估标准,服务标准,2023-07-25,数据共享联盟,科技信息网,https://www.techinfo.gov.cn/,2024-10-08,,,,,,,,,
空天政策研究系统,分析软件,报告生成速度：每日3次,40,人,政策分析标准,研究标准,2024-02-20,政策研究院,政策信息网,https://www.policyinfo.gov.cn/,2024-10-08,,,,,,,,,
空天智能监控系统,监控设备,监控范围：500km,110,人,监控效果评估标准,技术标准,2023-09-30,智能监控公司,技术发展局,https://www.techdev.gov.cn/,2024-10-08,,,,,,,,,
空天地理信息系统,GIS软件,更新频率：每小时,160,人,信息更新标准,标准规范,2024-03-30,地理信息公司,国家地理局,https://www.ngsb.gov.cn/,2024-10-08,,,,,,,,,
空天智能决策系统,数据分析工具,处理量：500GB/day,70,人,智能决策评估标准,智能标准,2024-03-01,智能科技创新公司,行业协会,https://www.industryassociation.cn/decision,2024-10-08,,,,,,,,,
空天环境监测系统,环境监测设备,监测范围：500km,100,人,环境评估标准,环境标准,2023-12-20,环境技术中心,国家环保部,https://www.mee.gov.cn/environment,2024-10-08,,,,,,,,,
空天数据传输系统,传输设备,传输速度：1Gbit/s,150,人,传输性能评估标准,网络标准,2024-04-15,数据传输技术公司,科技发展论坛,https://www.techforum.cn/data-transfer,2024-10-08,,,,,,,,,
空天虚拟现实视图系统,虚拟现实设备,分辨率：4K,90,人,虚拟现实性能评估标准,性能标准,2024-05-10,虚拟科技公司,虚拟现实协会,https://www.vrassociation.cn/,2024-10-08,,,,,,,,,
空天地面控制系统,控制系统,响应时间：<50ms,60,人,控制系统评估标准,控制标准,2024-06-25,航空控制研究院,国家航空局,https://www.caha.gov.cn/control,2024-10-08,,,,,,,,,
空天导航卫星系统,卫星设备,发射重量：500kg,200,人,卫星性能评估标准,航天标准,2024-07-30,卫星技术有限公司,国家航天局,https://www.cnsa.gov.cn/satellites,2024-10-08,,,,,,,,,
空天激光测距系统,测距设备,测距距离：10km,75,人,测距精度评估标准,精度标准,2024-08-15,激光科技公司,科学技术部,https://www.most.gov.cn/laser,2024-10-08,,,,,,,,,
空天人工智能分析系统,人工智能工具,分析效率：98%,130,人,AI分析评估标准,AI标准,2024-09-05,人工智能科技公司,人工智能发展委员会,https://www.aidevelopment.cn/,2024-10-08,,,,,,,,,
空天智能监测无人机,无人机设备,飞行时长：3小时,85,人,无人机性能评估标准,无人机标准,2024-10-12,无人机科技公司,无人机协会,https://www.dronetech.cn/,2024-10-08,,,,,,,,,
空天战术指挥系统,指挥控制系统,兼容设备：10种,110,人,指挥系统评估标准,军事标准,2024-11-22,指挥科技公司,军事科技局,https://www.militarytech.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：WX-300,110,人,气象数据质量评估标准,数据标准,2023-08-01,气象科学研究院,气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天监控与预警系统,安全设备,最大覆盖范围：500km,250,人,反应能力评估标准,响应标准,2023-11-15,公共安全技术公司,国家安全办,https://www.nsa.gov.cn/,2024-10-08,,,,,,,,,
空天智能导航系统,导航设备,精度：±3米,140,人,导航信号可靠性评估标准,测量标准,2024-03-10,智能导航科技公司,全国导航委员会,https://www.nav.gov.cn/,2024-10-08,,,,,,,,,
空天资源监测设备,监测设备,分辨率：0.2米,200,人,资源数据质量评估标准,数据标准,2024-05-01,资源科技公司,国家资源局,https://www.mnr.gov.cn/,2024-10-08,,,,,,,,,
空天实验平台,实验设备,实验能力：2000试验/年,90,人,实验可靠性评估标准,实验标准,2024-04-21,航空实验室,航空航天协会,https://www.aerospace.org.cn/,2024-10-08,,,,,,,,,
空天智能城市监测系统,综合监测设备,监测区域：城市范围内,300,人,城市数据整合评估标准,科技标准,2024-02-15,智能城市科技公司,城市发展规划局,https://www.udcp.gov.cn/,2024-10-08,,,,,,,,,
空天实时数据传输系统,通信设备,传输速率：1Gbps,130,人,传输效率评估标准,性能标准,2024-06-30,数据通信公司,国家通信管理局,https://www.miit.gov.cn/,2024-10-08,,,,,,,,,
空天智慧监测与分析系统,分析软件,分析能力：10TB/day,60,人,分析效率评估标准,效率标准,2024-08-10,智能分析科技公司,数据分析协会,https://www.dataanalysis.org.cn/,2024-10-08,,,,,,,,,
空天遥感图像处理系统,处理软件,处理能力：5TB/day,85,人,图像处理速度评估标准,性能标准,2024-09-05,遥感图像研究所,中国遥感行业协会,https://www.crsa.org.cn/,2024-10-08,,,,,,,,,
无人机空域管理系统,管理系统,覆盖范围：50km,160,人,空域使用评估标准,管理标准,2023-04-15,空天运营公司,民用航空局,https://www.caac.gov.cn/airspace,2024-10-08,,,,,,,,,
空天资源调度平台,调度平台,处理能力：500请求/min,220,人,资源调度评估标准,调度标准,2023-08-01,调度技术研究院,科技创新部,https://www.most.gov.cn/scheduling,2024-10-08,,,,,,,,,
空天观测卫星,卫星,轨道高度：600km,350,人,卫星性能评估标准,性能标准,2023-10-10,航天科技发展公司,国家卫星测量局,https://www.nsat.gov.cn/satellite,2024-10-08,,,,,,,,,
地面控制系统,控制系统,控制范围：100个卫星,180,人,控制效率评估标准,响应标准,2024-03-01,卫星控制技术公司,国际宇航联合会,https://www.iafastro.org/control,2024-10-08,,,,,,,,,
空天用户体验优化平台,优化平台,响应时间：<1秒,140,人,用户体验评估标准,用户标准,2024-05-20,用户体验研究中心,UX设计协会,https://www.uxdesign.org/space,2024-10-08,,,,,,,,,
遥感数据共享平台,数据共享,支持1000+用户同时访问,130,人,数据访问评估标准,访问标准,2023-11-05,遥感数据平台公司,科技部数据中心,https://www.most.gov.cn/data-sharing,2024-10-08,,,,,,,,,
气象数据分析系统,分析系统,分析速度：10秒/数据集,95,人,气象数据评估标准,分析标准,2024-07-01,气象科技公司,中国气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
深空探测通信设备,通信设备,通讯距离：跨越数百万公里,210,人,长期稳定性评估标准,稳定性标准,2024-08-15,深空通信技术公司,国家航天局,https://www.cnsa.gov.cn/communication,2024-10-08,,,,,,,,,
地球观测卫星系统,卫星系统,帧率：2 fps,300,人,卫星观测能力评估标准,观测标准,2024-09-10,卫星技术开发公司,国家空间局,https://www.cnsa.gov.cn/earth-observation,2024-10-08,,,,,,,,,
空天监测卫星系统,监测设备,型号：KJ-600,180,人,数据准确性评估标准,技术标准,2024-03-10,卫星技术公司,科技创新网,https://www.innovation.gov.cn/monitoring,2024-10-08,,,,,,,,,
空天智能通信系统,通信设备,带宽：200MHz,220,人,性能稳定性评估标准,性能标准,2023-12-05,智能通信公司,中国电子信息产业部,https://www.miit.gov.cn/spacecom,2024-10-08,,,,,,,,,
空天大数据分析平台,数据处理软件,处理能力：2TB/day,95,人,分析效率评估标准,性能标准,2024-04-15,大数据科技公司,数据智能协会,https://www.dataintelligence.org.cn/analysis,2024-10-08,,,,,,,,,
空天精准导航系统,导航设备,精度：±2米,130,人,导航精度评估标准,测量标准,2023-09-15,导航科技有限公司,国家导航局,https://www.ngc.gov.cn/navigation,2024-10-08,,,,,,,,,
空天遥感成像系统,遥感设备,分辨率：0.3米,160,人,成像质量评估标准,图像标准,2024-01-25,遥感技术开发公司,国际遥感联盟,https://www.internationalrs.org,2024-10-08,,,,,,,,,
