受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1785/TJ,无人机航测精确定位技术,定位系统,空天技术,2,2023/5/14,先锋无人机有限公司,无,已受理,450000,合格,先锋科技股份有限公司,原理验证实验,先锋无人机有限公司,2023-006,空天技术,V1.2,国家无人机局,http://www.nudc.gov.cn,2024-10-09,
CN10-1710/TJ,高分辨率星载雷达成像技术,遥感技术,空天技术,1,2023/7/22,地球观测科技有限公司,无,完成,510000,合格,地球科技公司,卫星数据分析,地球观测科技有限公司,2023-007,空天技术,V1.1,中国航天报,http://www.spaceflightnews.com,2024-10-09,
CN10-1787/TJ,液体火箭发动机发射性能优化,发动机测试,空天技术,2,2023/11/1,航天动力集团,无,正在进行,370000,待审,航天科技公司,发射前测试,航天动力集团,2023-008,空天技术,V1.0,中国航天科技研究院,http://www.casc.cn,2024-10-09,
CN10-1742/TJ,未来空天网络架构设计,网络设计,空天技术,1,2023/9/18,中天网络科技股份有限公司,无,已完成,620000,合格,中天科技公司,概念验证,中天网络科技股份有限公司,2023-009,空天技术,V2.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1813/TJ,水下无人飞行器探测系统,探测技术,空天技术,2,2023/4/30,海洋科技开发公司,无,已受理,450000,合格,海洋科技发展公司,模拟测试,海洋科技开发公司,2023-010,空天技术,V1.3,南方科技新闻,http://www.southnews.com,2024-10-09,
CN10-1790/TJ,智能小卫星群网络架构,系统设计,空天技术,1,2023/10/5,华宇空间技术公司,无,待审,430000,待审,华宇科技有限公司,软件仿真,华宇空间技术公司,2023-011,空天技术,V1.0,中国科技网,http://www.various-tech.com,2024-10-09,
CN10-1773/TJ,近地轨道空间站结构设计,结构设计,空天技术,2,2023/12/12,空间工程设计公司,无,完成,410000,合格,空间工程有限公司,工程计算,空间工程设计公司,2023-012,空天技术,V1.1,航空航天在线,http://www.aerospaceonline.cn,2024-10-09,
CN10-1782/TJ,激光通信技术在航天应用研究,通信技术,空天技术,1,2023/1/25,未来通信科技有限公司,无,已受理,340000,合格,未来通信公司,实验室测试,未来通信科技有限公司,2023-013,空天技术,V1.0,中国通信杂志,http://www.communications.com.cn,2024-10-09,
CN10-1819/TJ,下一代空天监控传感器开发,传感器技术,空天技术,2,2023/8/30,智示科技股份有限公司,无,进行中,540000,待审,智示科技有限公司,性能评估,智示科技股份有限公司,2023-014,空天技术,V1.1,科技日报,http://www.sciencedaily.com,2024-10-09,
CN10-1815/TJ,低轨卫星群实时定位技术,导航系统,空天技术,1,2023/11/5,低轨卫星技术有限公司,导航科技合伙企业,已受理,450000,合格,低轨科技公司,现场测试,低轨卫星技术有限公司,2023-006,空天技术,V1.0,中国国家航天局,http://www.cnsa.gov.cn,2024-10-09,
CN10-1785/TJ,空中交通管理系统,系统设计,空天技术,2,2023/10/12,先进航空技术集团,航空交通科技公司,已完成,330000,合格,航空科技服务有限公司,系统模拟,先进航空技术集团,2023-007,空天技术,V1.1,中国航空材料网,http://www.cami.com.cn,2024-10-09,
CN10-1710/TJ,火星探测合成孔径雷达技术,探测技术,空天技术,1,2023/5/18,宇宙探测研发中心,国际太空联盟,正在进行,520000,待审,太空探测科技公司,卫星测量,宇宙探测研发中心,2023-008,空天技术,V1.0,全国空间局,http://www.space.gov.cn,2024-10-09,
CN10-1787/TJ,空间站科学实验系统,实验系统,空天技术,2,2023/9/25,空间实验室设计公司,航天合作开发集团,已完成,310000,合格,空间科技有限公司,实验室测试,空间实验室设计公司,2023-009,空天技术,V1.2,在线科技信息平台,http://www.tech.gov.cn,2024-10-09,
CN10-1742/TJ,地面控制系统优化,系统优化,空天技术,1,2023/10/8,星际航天科技公司,深空技术研究院,待审,410000,待审,星际科技公司,实际操作,星际航天科技公司,2023-010,空天技术,V1.0,航空航天技术发展中心,http://www.caat.org.cn,2024-10-09,
CN10-1813/TJ,气候变化影响下的卫星监测技术,监测技术,空天技术,2,2023/11/1,环境监测技术公司,气候研究所,已受理,220000,合格,气候监测科技有限公司,数据监测,环境监测技术公司,2023-011,空天技术,V1.1,中国气象局,http://www.cma.gov.cn,2024-10-09,
CN10-1790/TJ,新型导航卫星平台设计,设计与开发,空天技术,1,2023/9/20,导航科技公司,智能科技有限公司,正在进行,510000,待审,导航设计公司,原型开发,导航科技公司,2023-012,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1773/TJ,火箭推进系统测试技术,性能测试,空天技术,2,2023/10/15,火箭推进科技有限公司,高能研究院,已完成,630000,合格,推进科技公司,实验室测试,火箭推进科技有限公司,2023-013,空天技术,V1.3,中国航天报,http://www.space-news.cn,2024-10-09,
CN10-1782/TJ,私有云卫星数据处理,数据处理,空天技术,1,2023/8/30,数据科技公司,私有云技术开发公司,待审,370000,待审,数据处理科技有限公司,数据分析,数据科技公司,2023-014,空天技术,V1.0,国家数据局,http://www.stats.gov.cn,2024-10-09,
CN10-1819/TJ,量子通信卫星技术,通信技术,空天技术,1,2023/10/1,量子科技集团,新兴卫星公司,已受理,110000,合格,量子通信技术有限公司,实验室测试,量子科技集团,2023-006,空天技术,V1.0,国家科学技术部,http://www.most.gov.cn,2024-10-09,
CN10-1815/TJ,卫星遥感数据分析平台,数据平台,空天技术,2,2023/5/15,数据科技股份有限公司,遥感研究院,已完成,330000,合格,数据分析科技公司,软件开发,数据科技股份有限公司,2023-007,空天技术,V1.2,中国科学院,http://www.cas.cn,2024-10-09,
CN10-1785/TJ,火星探测器环境适应性测试,性能测试,空天技术,1,2023/11/20,深空探测技术研究所,空间技术学院,正在进行,450000,待审,深空探测科技公司,环境模拟,深空探测技术研究所,2023-008,空天技术,V2.0,中央电视台,http://www.cctv.com,2024-10-09,
CN10-1710/TJ,轨道卫星功能测试设备,测试设备,空天技术,2,2023/12/1,高科技设备制造公司,空间科技研发中心,已完成,120000,合格,高科技公司,产品测试,高科技设备制造公司,2023-009,空天技术,V1.1,国家航天局,http://www.cma.gov.cn,2024-10-09,
CN10-1787/TJ,载人航天飞行安全监测系统,系统监控,空天技术,1,2023/9/11,航天安全技术有限公司,宇航员训练中心,待审,640000,待审,航天安全公司,实验室测试,航天安全技术有限公司,2023-010,空天技术,V1.0,新科技,http://www.xinkeji.com,2024-10-09,
CN10-1742/TJ,无人机群飞行控制系统,控制系统,空天技术,2,2023/7/19,无人机航天技术公司,无人机开发中心,已完成,210000,合格,无人机科技公司,仿真测试,无人机航天技术公司,2023-011,空天技术,V1.0,无人机协会,http://www.uav.org,2024-10-09,
CN10-1813/TJ,低轨卫星组网技术,网络技术,空天技术,1,2023/8/25,卫星通信技术有限公司,全球网络科学院,正在进行,440000,待审,卫星通信公司,方案设计,卫星通信技术有限公司,2023-012,空天技术,V1.0,技术前沿日报,http://www.techdaily.com,2024-10-09,
CN10-1790/TJ,亚轨道飞行器飞行稳定性研究,飞行试验,空天技术,2,2023/2/9,航空科学研究院,新航天科技有限公司,已完成,420000,合格,航空科技有限公司,实验室测试,航空科学研究院,2023-013,空天技术,V1.1,航空新闻网,http://www.aviationnews.com,2024-10-09,
CN10-1773/TJ,人造卫星故障预测技术,软件开发,空天技术,1,2023/3/30,航天信息分析公司,航天大数据研究所,待审,310000,待审,航天数据科技公司,软件开发,航天信息分析公司,2023-014,空天技术,V2.0,高科技观察,http://www.techwatch.com,2024-10-09,
CN10-1782/TJ,低轨卫星网络设计技术,系统设计,空天技术,1,2023/2/12,星际网科技有限公司,无,已受理,100000,合格,卫星通信公司,系统模拟,星际网科技有限公司,2023-006,空天技术,V1.0,中国航天新闻网,http://news.spacechina.com/,2024-10-09,
CN10-1819/TJ,无人机空中监测解决方案,系统开发,空天技术,2,2023/4/22,空中科技有限公司,无人机集团,完成,330100,合格,航空监测公司,飞行测试,空中科技有限公司,2023-007,空天技术,V1.1,信息产业部,http://www.miit.gov.cn/,2024-10-09,
CN10-1815/TJ,星际导航算法优化,算法开发,空天技术,1,2023/5/15,宇航技术开发中心,未来探索公司,正在进行,410000,待审,宇航科技公司,模拟实验,宇航技术开发中心,2023-008,空天技术,V1.0,中国航天科技集团,http://www.spacechina.com/,2024-10-09,
CN10-1785/TJ,高海拔气候探测技术,数据采集,空天技术,2,2023/7/30,高海拔研究所,云端气象公司,已完成,540000,合格,气象科技公司,野外测试,高海拔研究所,2023-009,空天技术,V1.2,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1710/TJ,深空探测通信技术,系统设计,空天技术,1,2023/9/5,深宇科技有限公司,星际探索团队,待审,820000,待审,深空技术公司,实验室测试,深宇科技有限公司,2023-010,空天技术,V1.0,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN10-1787/TJ,低空飞行器安全监控系统,系统集成,空天技术,2,2023/10/14,飞天监测有限公司,飞行安全组织,已受理,630000,合格,飞行监控公司,系统测试,飞天监测有限公司,2023-011,空天技术,V1.1,中国运输部,http://www.mot.gov.cn/,2024-10-09,
CN10-1742/TJ,激光遥感技术应用,数据处理,空天技术,1,2023/11/1,激光科技研究所,空间信息公司,正在进行,210000,待审,激光科技公司,数据分析,激光科技研究所,2023-012,空天技术,V1.0,科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1813/TJ,空间碎片监测与识别技术,监测系统,空天技术,2,2023/12/8,空间安全技术有限公司,空间保卫网络,已完成,520000,合格,空间监控公司,实地检测,空间安全技术有限公司,2023-013,空天技术,V1.1,中国空间局,http://www.csna.gov.cn/,2024-10-09,
CN10-1790/TJ,次轨道航天器开发技术,系统开发,空天技术,1,2023/1/30,次轨道科技集团,终极航天项目,已受理,120000,合格,航天系统公司,实验室测试,次轨道科技集团,2023-014,空天技术,V1.0,中国航天新闻网,http://news.spacechina.com/,2024-10-09,
CN10-1773/TJ,卫星通信系统优化设计,系统设计,空天技术,1,2023/2/15,未来通信技术公司,天联科技,已受理,610000,合格,未来科技公司,仿真测试,未来通信技术公司,2023-006,空天技术,V1.0,陕西省科技厅,http://www.sxt.gov.cn/ztzl/gkml/,2024-10-09,
CN10-1782/TJ,低轨卫星群组网络技术,网络架构,空天技术,2,2023/4/25,星际网络科技有限公司,无,完成,120000,合格,星际科技公司,实地测试,星际网络科技有限公司,2023-007,空天技术,V1.0,国家信息技术局,http://www.nit.gov.cn/xxgk/,2024-10-09,
CN10-1819/TJ,高空无人机操控系统,系统设计,空天技术,1,2023/5/30,高空飞行科技公司,众智科技,正在进行,340000,待审,飞行科技有限公司,模拟测试,高空飞行科技公司,2023-008,空天技术,V1.0,安徽省科技厅,http://www.ahst.gov.cn/,2024-10-09,
CN10-1815/TJ,量子通信卫星技术,通信技术,空天技术,2,2023/7/15,量子科技研究院,无,已完成,420000,合格,量子通信技术公司,实验室测试,量子科技研究院,2023-009,空天技术,V1.1,湖北省科技厅,https://www.hubei.gov.cn/xxgk/,2024-10-09,
CN10-1785/TJ,近地小行星探测技术,探测系统,空天技术,1,2023/8/20,行星科学研究中心,天文研究所,待审,500000,待审,行星科技有限公司,实地探测,行星科学研究中心,2023-010,空天技术,V1.0,重庆市科技局,http://www.cq.gov.cn/xxgk/,2024-10-09,
CN10-1710/TJ,卫星遥感数据自动化处理,数据处理,空天技术,2,2023/9/5,智能遥感科技有限公司,无,已受理,320000,合格,智能科技公司,在线处理,智能遥感科技有限公司,2023-011,空天技术,V1.0,江苏省科技厅,http://www.jiangsu.gov.cn/,2024-10-09,
CN10-1787/TJ,高级气象卫星设计,系统设计,空天技术,1,2023/10/1,气象卫星技术公司,无,正在进行,450000,待审,气象科技公司,计算机模拟,气象卫星技术公司,2023-012,空天技术,V1.0,广西省气象局,http://www.gxzm.gov.cn/,2024-10-09,
CN10-1742/TJ,极地探测无人机系统,系统设计,空天技术,2,2023/11/5,极地科技有限公司,无,已完成,640000,合格,极地研究公司,野外测试,极地科技有限公司,2023-013,空天技术,V1.0,宁夏省科技厅,http://www.nx.gov.cn/,2024-10-09,
CN10-1813/TJ,深空探测数据分析方法,数据分析,空天技术,1,2023/12/1,宇宙探索科技有限公司,科研创新中心,待审,350000,待审,宇宙科技公司,数据采集与处理,宇宙探索科技有限公司,2023-014,空天技术,V1.0,福建省科技厅,http://www.fujian.gov.cn/,2024-10-09,
CN10-1790/TJ,轨道材料适应性研究,材料研究,空天技术,1,2023/2/20,空间材料科技公司,无,已受理,330000,合格,空间科技研究中心,实验室测试,空间材料科技公司,2023-006,空天技术,V1.0,科学与技术出版社,http://www.sciencepub.net,2024-10-09,
CN15-2045/SX,先进推力系统开发,系统研发,空天技术,2,2023/4/15,智星航天有限公司,宇宙技术公司,已完成,440100,合格,智星科技解决方案,原型测试,智星航天有限公司,2023-007,空天技术,V1.1,航天经济网,http://www.spaceeconomy.cn,2024-10-09,
CN12-1634/BJ,空间探测器动力系统,系统设计,空天技术,1,2023/7/10,探空科技集团,无,正在进行,120000,待审,探空科技有限公司,模型验证,探空科技集团,2023-008,空天技术,V1.0,中国航天新闻网,http://www.space-news.cn,2024-10-09,
CN18-1902/GD,动静电相互作用模拟技术,数值模拟,空天技术,2,2023/5/25,新天科技研究所,空间动力学公司,已完成,510000,合格,新天科技有限公司,计算机模拟,新天科技研究所,2023-009,空天技术,V1.2,航空航天技术网,http://www.aerospace-tech.cn,2024-10-09,
CN09-1756/SH,星际通信协议开发,协议设计,空天技术,1,2023/9/1,国际空间通信公司,无,待审,310100,待审,国际科技集团,理论分析,国际空间通信公司,2023-010,空天技术,V1.0,全球通信网络,http://www.globalcomm.net,2024-10-09,
CN14-2023/ZJ,小型卫星组网技术,系统设计,空天技术,2,2023/8/12,卫星技术解决方案公司,云空间科技,已完成,410000,合格,卫星技术研究所,实验室测试,卫星技术解决方案公司,2023-011,空天技术,V1.1,国家卫星中心,http://www.national-satellite.gov,2024-10-09,
CN13-1567/LN,超高频通信信号处理技术,信号处理,空天技术,1,2023/10/5,先进信号技术公司,无,正在进行,430000,待审,信号科技有限公司,实验室测试,先进信号技术公司,2023-012,空天技术,V1.0,未来科技论坛,http://www.futuretechforum.com,2024-10-09,
CN11-1805/HB,深空通信网络技术,网络构建,空天技术,2,2023/11/20,宇宙航行科技公司,星际网络公司,已完成,620000,合格,宇宙航行集团,实地测试,宇宙航行科技公司,2023-013,空天技术,V1.0,国家航天局,http://www.nasa.gov.cn,2024-10-09,
CN20-2111/TJ,航天态势感知技术,信息处理,空天技术,1,2023/12/30,航天监测与评估公司,无,待审,440300,待审,航天监测公司,数据分析,航天监测与评估公司,2023-014,空天技术,V1.0,航空航天论坛,http://www.aerospaceforum.com,2024-10-09,
CN16-1998/SN,空间 debris 清除系统,系统设计,空天技术,1,2023/11/2,太空清洁公司,宇航工程集团,已受理,510000,合格,太空管理研究所,模拟实验,太空清洁公司,2023-006,空天技术,V1.0,航天科技信息网,http://www.rocketnews.cn,2024-10-09,
CN17-2034/FJ,卫星通信网络设计,网络设计,空天技术,2,2023/9/15,星际通信有限公司,光电卫星科技,完成,450000,合格,星际网络技术研究院,理论设计,星际通信有限公司,2023-007,空天技术,V1.1,中国通讯学会,http://www.china-telecom.org,2024-10-09,
CN12-3456/XY,火星探测无人机技术,无人机设计,空天技术,1,2023/5/22,火星探索科技公司,宇宙探索协会,正在进行,640000,待审,火星科技研究所,实验室测试,火星探索科技公司,2023-008,空天技术,V1.0,国际航天会议,http://www.spaceconf.org,2024-10-09,
CN13-8130/TZ,轨道载荷运送系统,运载技术,空天技术,2,2023/7/30,隼鹰科技有限公司,多维星空科技,已完成,110000,合格,航天承载科技公司,轨道测试,隼鹰科技有限公司,2023-009,空天技术,V1.2,中国互联网新闻中心,http://www.chinanews.com,2024-10-09,
CN14-1122/AB,空间站能源管理系统,系统开发,空天技术,1,2023/4/28,太空能源科技有限公司,全球能源协会,已受理,420000,合格,空间能源研究所,仿真测试,太空能源科技有限公司,2023-010,空天技术,V1.0,国家能源局,http://www.nea.gov.cn,2024-10-09,
CN15-3344/CD,深空探测载荷设计,载荷设计,空天技术,2,2023/10/19,深空探测公司,科学探索研究院,正在进行,450000,待审,深空科技乐园,功能测试,深空探测公司,2023-011,空天技术,V1.1,中国宇航局,http://www.cnsa.gov.cn,2024-10-09,
CN16-5566/EF,卫星姿态控制技术,控制系统,空天技术,1,2023/8/15,航天技术研发中心,紧凑卫星公司,已完成,410000,合格,卫星技术公司,软件模拟,航天技术研发中心,2023-012,空天技术,V1.0,国家航天技术局,http://www.nasa.gov.cn,2024-10-09,
CN17-7742/GH,高玟星户外障碍物监测系统,监测技术,空天技术,1,2023/7/5,遥感监测科技公司,自然环境科研院,待审,620000,待审,环境监测科技公司,现场测试,遥感监测科技公司,2023-013,空天技术,V1.0,环保部,http://www.mee.gov.cn,2024-10-09,
CN18-9900/IJ,空间信号处理平台,信号处理,空天技术,2,2023/11/1,未来信号科技公司,数据处理研究院,已受理,330000,合格,未来信息科技有限公司,算法测试,未来信号科技公司,2023-014,空天技术,V1.0,信息处理协会,http://www.data.org.cn,2024-10-09,
CN19-1234/KL,电磁护盾技术开发,防护系统,空天技术,1,2023/10/1,未来防护科技有限公司,深空科技集团,已受理,510000,合格,电磁防护科技公司,实验室测试,未来防护科技有限公司,2023-006,空天技术,V1.0,凤凰网科技,http://tech.ifeng.com,2024-10-09,
CN20-5678/MN,载人火星探测器设计,系统设计,空天技术,2,2023/9/15,火星探索科技有限公司,宇航科技合伙企业,完成,340000,合格,载人宇航技术公司,计算机模拟,火星探索科技有限公司,2023-007,空天技术,V1.1,中国航天新闻网,http://www.spacechina.com,2024-10-09,
CN21-9101/OP,太空资源开采技术,技术研发,空天技术,1,2023/7/22,太空矿业研究所,太空工程公司,正在进行,430000,待审,太空资源科技公司,实验室测试,太空矿业研究所,2023-008,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1773/TJ,卫星地图更新算法,数据处理,空天技术,2,2023/11/5,地理信息科技有限公司,遥感数据科技公司,完成,220000,合格,数字地球公司,数据分析,地理信息科技有限公司,2023-009,空天技术,V1.0,中国空间技术研究院,http://www.csrc.ac.cn,2024-10-09,
CN10-1782/TJ,机载激光雷达技术,性能测试,空天技术,1,2023/9/30,空间探测技术研究中心,无人机科技公司,待审,120000,待审,激光技术有限公司,飞行测试,空间探测技术研究中心,2023-010,空天技术,V1.0,航天科技网,http://www.spacetechnews.com,2024-10-09,
CN10-1819/TJ,火箭发射计算模型,模型仿真,空天技术,2,2023/10/10,火箭动力科技有限公司,创新科技研究所,已受理,310000,合格,火箭科技集团,计算机模拟,火箭动力科技有限公司,2023-011,空天技术,V1.0,航空航天部,http://www.cmse.gov.cn,2024-10-09,
CN10-1815/TJ,深空通信系统,系统设计,空天技术,1,2023/8/28,深空网络科技有限公司,国际空间站合作企业,正在进行,450000,待审,深空通讯公司,实验室测试,深空网络科技有限公司,2023-012,空天技术,V1.0,科学网,https://www.sciencenet.cn,2024-10-09,
CN10-1785/TJ,航天器自主避障技术,导航系统,空天技术,1,2023/5/18,智能航天科技公司,航天智能公司,已完成,650000,合格,智能导航科技公司,模拟测试,智能航天科技公司,2023-013,空天技术,V1.1,中国科技部,http://www.most.gov.cn,2024-10-09,
CN10-1710/TJ,空间环境监测系统,监测技术,空天技术,2,2023/12/1,空间科学技术学院,地面科技公司,已受理,420000,合格,环境监测科技公司,实时监测,空间科学技术学院,2023-014,空天技术,V1.0,环境保护部,http://www.mee.gov.cn,2024-10-09,
CN10-1787/TJ,定向传感器网络设计,系统设计,空天技术,1,2023/9/20,空天通信科技有限公司,智能传感器公司,已受理,620000,合格,空天科技公司,实验室测试,空天通信科技有限公司,2023-006,空天技术,V1.0,中国航天报,http://www.spacechina.com/,2024-10-09,
CN10-1742/TJ,空间碎片监测与评估技术,监测技术,空天技术,2,2023/7/15,宇航安全研究所,空间资产管理局,完成,540000,合格,宇航科技解决方案公司,实地测试,宇航安全研究所,2023-007,空天技术,V1.1,中国航天科技集团,http://www.casic.cn/,2024-10-09,
CN10-1813/TJ,智能无人机技术,系统开发,空天技术,1,2023/10/2,无人机先锋科技有限公司,先进航空技术有限公司,正在进行,350000,待审,无人机研发中心,软件模拟,无人机先锋科技有限公司,2023-008,空天技术,V1.0,无人机时代,http://www.dronecn.com/,2024-10-09,
CN10-1790/TJ,激光通信传输技术,通信技术,空天技术,2,2023/8/22,激光通讯研究所,量子科技发展公司,已完成,410000,合格,激光科技公司,实验室测试,激光通讯研究所,2023-009,空天技术,V1.1,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1773/TJ,高分辨率卫星图像处理技术,数据处理,空天技术,1,2023/5/30,高分科技有限公司,国家遥感中心,已受理,320000,合格,卫星影像科技公司,数据分析,高分科技有限公司,2023-010,空天技术,V1.0,中国遥感网,http://www.radiant.cn/,2024-10-09,
CN10-1782/TJ,空间环境适应性实验,科学实验,空天技术,1,2023/6/15,航天实验室,航天工程公司,正在进行,500000,待审,航天科研单位,实验室测试,航天实验室,2023-011,空天技术,V1.0,科技创新网,http://www.sinoinnovate.com/,2024-10-09,
CN10-1819/TJ,新型推进剂研发技术,材料科学,空天技术,2,2023/11/1,推进剂技术研发中心,航空材料研究所,已完成,180000,合格,新材料科技公司,实验室测试,推进剂技术研发中心,2023-012,空天技术,V1.2,中国新材料网,http://www.cmcf.org.cn/,2024-10-09,
CN10-1815/TJ,智能机械臂在航天领域的应用,应用技术,空天技术,1,2023/9/29,智能制造科技有限公司,航天机器人技术研究所,待审,350000,待审,智能机器人有限公司,模拟测试,智能制造科技有限公司,2023-013,空天技术,V1.0,中国机器人网,http://www.robot-china.com/,2024-10-09,
CN10-1785/TJ,深空探测系统集成技术,系统集成,空天技术,2,2023/12/5,深空探测技术公司,宇宙研究所,已完成,440000,合格,深空科技公司,综合测试,深空探测技术公司,2023-014,空天技术,V1.0,宇宙探索日报,http://www.cosmosnews.cn/,2024-10-09,
CN10-1710/TJ,激光通信技术研究,通信系统,空天技术,1,2023/2/12,空间通信科技有限公司,无,已受理,650000,合格,空间科技公司,实验室测试,空间通信科技有限公司,2023-006,空天技术,V1.0,内蒙古科技厅,http://imgstc.nmg.gov.cn,2024-10-09,
CN10-1787/TJ,超高频遥感信号处理,数据分析,空天技术,2,2023/4/22,华北遥感技术有限公司,华南科技大学,完成,130000,合格,华北科技公司,深度学习算法,华北遥感技术有限公司,2023-007,空天技术,V1.1,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1742/TJ,多光谱相机技术,成像技术,空天技术,1,2023/5/1,多光谱科技有限公司,无,正在进行,310000,待审,多光科技公司,现场测试,多光谱科技有限公司,2023-008,空天技术,V1.0,中国科学院,http://www.cas.cn/,2024-10-09,
CN10-1813/TJ,升空火箭复合材料,材料科学,空天技术,2,2023/9/15,航天材料创新中心,无,已完成,410000,合格,航天材料公司,实验室测试,航天材料创新中心,2023-009,空天技术,V1.0,材料科学网,http://www.materials.com/,2024-10-09,
CN10-1790/TJ,超声波探测系统,韧性材料,空天技术,1,2023/10/5,声学科技有限责任公司,北京理工大学,待审,110000,待审,声学研究院,动态测试,声学科技有限责任公司,2023-010,空天技术,V1.2,中国空间科学技术研究院,http://www.csp.gov.cn/,2024-10-09,
