系统名称（字符型）,最大平飞速度（数值型）,单位,最小速度（数值型）,单位.1,实用升限（数值型）,单位.2,最大/最低使用高度（字符型）,最大续航时间（数值型）,单位.3,飞行半径（数值型）,单位.4,最小转弯半径（数值型）,单位.5,最大爬升率（数值型）,单位.6,最大下降率（数值型）,单位.7,起飞着陆性能（字符型）,最大任务载重（数值型）,单位.8,几何尺寸（字符型）,目标定位精确度（字符型）,飞行姿态平稳度（字符型）,采集来源,来源链接,采集时间,备注,
增强型卫星飞行器,15,马赫,0.1,马赫,100,公里,90公里/10公里,12,小时,700,公里,250,米,250,米/秒,150,米/秒,起飞距离：400米，降落距离：500米,900,公斤,长：10米，宽：5米，高：3米,±2米,稳定,空间科学集团,http://www.spacescience.org,2024-10-09,,
新一代高超声速飞行器,35,马赫,0.8,马赫,110,公里,100公里/20公里,3,小时,900,公里,300,米,450,米/秒,310,米/秒,起飞距离：800米，降落距离：900米,1800,公斤,长：15米，宽：7米，高：4米,±2.8米,稳定,航空航天日报,http://www.aerospacejournal.com,2024-10-09,,
新型空天监测系统,26,马赫,0.4,马赫,120,公里,50公里/0公里,10,小时,600,公里,160,米,320,米/秒,210,米/秒,起飞距离：550米，降落距离：700米,1100,公斤,长：11米，宽：5.5米，高：3.2米,±1米,稳定,中国航天科技集团,http://www.casc.cn/,2024-10-09,,
下一代高超声速技术原型,33,马赫,0.6,马赫,100,公里,100公里/15公里,9,小时,800,公里,220,米,370,米/秒,260,米/秒,起飞距离：650米，降落距离：800米,1600,公斤,长：13米，宽：7米，高：5米,±2米,极其稳定,全球航天发展机构,https://www.worldspace.org/,2024-10-09,,
空天侦察滑翔器,24,马赫,0.5,马赫,60,公里,30公里/5公里,14,小时,450,公里,120,米,280,米/秒,230,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：9米，宽：4米，高：3米,±1.3米,反馈良好,国内军事科技网,http://www.militarypioneers.cn/,2024-10-09,,
新型空天运输机,22,马赫,0.4,马赫,90,公里,40公里/5公里,7,小时,550,公里,140,米,310,米/秒,200,米/秒,起飞距离：500米，降落距离：600米,900,公斤,长：10米，宽：5米，高：3米,±1.1米,稳定,《航空航天科技杂志》,http://www.aerospacetimes.cn/,2024-10-09,,
空天战斗无人机,27,马赫,0.3,马赫,70,公里,45公里/6公里,11,小时,650,公里,110,米,300,米/秒,185,米/秒,起飞距离：550米，降落距离：600米,900,公斤,长：10米，宽：4.5米，高：3.5米,±1.0米,高度稳定,空天战术论坛,http://www.hyperspaceforum.com/,2024-10-09,,
综合空天作战平台,29,马赫,0.5,马赫,110,公里,80公里/5公里,12,小时,750,公里,180,米,330,米/秒,240,米/秒,起飞距离：700米，降落距离：800米,1700,公斤,长：14米，宽：6米，高：5米,±1.8米,良好,国际国防技术论坛,https://www.defensetechnologyforum.com/,2024-10-09,,
未来太空推进系统,35,马赫,0.8,马赫,150,公里,120公里/20公里,15,小时,900,公里,250,米,400,米/秒,300,米/秒,起飞距离：650米，降落距离：700米,2000,公斤,长：15米，宽：7米，高：6米,±2.5米,高稳定性,航天局,http://www.spaceagency.gov/,2024-10-09,,
高智能化无人空战系统,28,马赫,0.4,马赫,95,公里,70公里/2公里,13,小时,800,公里,190,米,360,米/秒,220,米/秒,起飞距离：600米，降落距离：700米,1300,公斤,长：12米，宽：5米，高：4米,±1.6米,高稳定性,航空防务研究院,http://www.defenseinstitute.com/,2024-10-09,,
空天侦察系统,28,马赫,0.4,马赫,70,公里,60公里/0公里,10,小时,600,公里,120,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,中国航天科技集团,http://www.cas.com.cn/,2024-10-09,,
轨道发射无人机系统,24,马赫,0.6,马赫,150,公里,120公里/0公里,20,小时,800,公里,180,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：750米,2000,公斤,长：15米，宽：8米，高：4米,±3米,稳定,国际航天协会,https://www.iaass.org/,2024-10-09,,
低轨道卫星飞行器,18,马赫,0.5,马赫,300,公里,1000公里/50公里,5,小时,2000,公里,250,米,150,米/秒,100,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：9米，宽：4米，高：2米,±2米,不稳定,中国航天科技网,http://www.spacechina.com/,2024-10-09,,
空天掠翼飞行器,26,马赫,0.7,马赫,90,公里,70公里/0公里,9,小时,900,公里,160,米,360,米/秒,240,米/秒,起飞距离：500米，降落距离：550米,1300,公斤,长：10.5米，宽：5.2米，高：3.0米,±1.8米,稳定,空间科技期刊,http://www.spacejournals.com/,2024-10-09,,
战区导弹防御系统,20,马赫,0.5,马赫,65,公里,50公里/0公里,11,小时,750,公里,140,米,280,米/秒,220,米/秒,起飞距离：650米，降落距离：700米,1600,公斤,长：13米，宽：6米，高：3.5米,±2米,稳定,防务新闻网,https://www.defensenews.com/,2024-10-09,,
遥感卫星系统,22,马赫,0.4,马赫,400,公里,2000公里/100公里,24,小时,3000,公里,500,米,500,米/秒,400,米/秒,起飞距离：800米，降落距离：900米,900,公斤,长：14米，宽：7米，高：5米,±3米,不稳定,中国遥感网,http://www.cresda.gov.cn/,2024-10-09,,
电子战无人机系统,21,马赫,0.3,马赫,40,公里,30公里/0公里,14,小时,550,公里,130,米,270,米/秒,190,米/秒,起飞距离：500米，降落距离：600米,800,公斤,长：10米，宽：5米，高：3米,±1.0米,稳定,现代军事杂志,http://www.modernmilitaryjournal.com/,2024-10-09,,
再入飞行器探测器,29,马赫,0.1,马赫,120,公里,95公里/20公里,7,小时,1200,公里,210,米,380,米/秒,270,米/秒,起飞距离：600米，降落距离：700米,1100,公斤,长：12米，宽：6米，高：4米,±2.5米,稳定,航空航天资源平台,http://www.aerospace-resources.com/,2024-10-09,,
新一代空天侦察机,28,马赫,0.4,马赫,120,公里,50公里/1公里,10,小时,600,公里,170,米,320,米/秒,180,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.2米,±1米,稳定,国防科技大学,https://www.nudt.edu.cn/,2024-10-09,,
轨道服务飞行器,24.5,马赫,0.6,马赫,200,公里,100公里/10公里,14,小时,800,公里,300,米,400,米/秒,220,米/秒,起飞距离：800米，降落距离：900米,3000,公斤,长：15米，宽：8米，高：4米,±0.5米,高稳定,中国航天科技集团,http://www.casc.gov.cn/,2024-10-09,,
海洋监测无人机,18,马赫,0.1,马赫,30,公里,15公里/0公里,20,小时,350,公里,90,米,200,米/秒,150,米/秒,起飞距离：200米，降落距离：250米,300,公斤,长：6米，宽：3米，高：1.8米,±2米,良好,海洋学研究所,http://www.ocean.edu/,2024-10-09,,
小型空天车辆,19.5,马赫,0.3,马赫,45,公里,25公里/0公里,9,小时,400,公里,120,米,260,米/秒,190,米/秒,起飞距离：350米，降落距离：400米,600,公斤,长：8.5米，宽：4.5米，高：2.7米,±1.3米,稳定,国家无人系统技术研究中心,http://www.nurc.cn/,2024-10-09,,
超高空探测器,22,马赫,0.4,马赫,300,公里,150公里/5公里,7,小时,500,公里,250,米,390,米/秒,230,米/秒,起飞距离：600米，降落距离：650米,4000,公斤,长：20米，宽：10米，高：5米,±0.8米,高稳定,空间科学研究所,http://www.space-science.org/,2024-10-09,,
未来空中交通系统,31,马赫,0.6,马赫,150,公里,70公里/10公里,11,小时,900,公里,300,米,450,米/秒,260,米/秒,起飞距离：820米，降落距离：900米,2000,公斤,长：18米，宽：9米，高：4米,±1.0米,极高稳定,航空运输协会,http://www.ata.org/,2024-10-09,,
新型空天观测卫星,27,马赫,0.3,马赫,400,公里,200公里/20公里,16,小时,750,公里,280,米,370,米/秒,240,米/秒,起飞距离：900米，降落距离：950米,3500,公斤,长：22米，宽：12米，高：6米,±0.7米,优,中国科学院,http://www.cas.cn/,2024-10-09,,
战略无人飞行器,26,马赫,0.4,马赫,110,公里,80公里/20公里,15,小时,650,公里,240,米,380,米/秒,200,米/秒,起飞距离：450米，降落距离：550米,2200,公斤,长：19米，宽：10米，高：5.5米,±1.2米,稳定,军事科学院,http://www.ams.ac.cn/,2024-10-09,,
空中冲击无人机,22.5,马赫,0.4,马赫,75,公里,85公里/15公里,10,小时,600,公里,120,米,310,米/秒,210,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：9米，宽：5米，高：3米,±1米,稳定,中国航空工程公司,http://www.cae.com,2024-10-09,,
再生能源飞行器,18,马赫,0.2,马赫,65,公里,70公里/5公里,14,小时,550,公里,140,米,280,米/秒,190,米/秒,起飞距离：500米，降落距离：550米,600,公斤,长：10米，宽：5.5米，高：3.2米,±1.8米,稳定,可持续发展协会,http://www.sustainableaviation.org,2024-10-09,,
量子通讯卫星,24,马赫,0.5,马赫,90,公里,150公里/30公里,5,小时,800,公里,300,米,200,米/秒,120,米/秒,起飞距离：1000米，降落距离：1200米,2000,公斤,长：15米，宽：7米，高：5米,±2米,稳定,中国科学院,http://www.cas.cn,2024-10-09,,
极地研究无人机,19.5,马赫,0.3,马赫,45,公里,40公里/0公里,20,小时,450,公里,110,米,330,米/秒,170,米/秒,起飞距离：600米，降落距离：700米,780,公斤,长：11米，宽：6.5米，高：3.5米,±1.3米,稳定,国家海洋局,http://www.soa.gov.cn,2024-10-09,,
航天救援系统,21,马赫,0.4,马赫,60,公里,75公里/10公里,11,小时,650,公里,130,米,300,米/秒,210,米/秒,起飞距离：800米，降落距离：900米,1200,公斤,长：13米，宽：6米，高：4米,±2.5米,稳定,国家应急管理部,http://www.mem.gov.cn,2024-10-09,,
新型侦察卫星,27.5,马赫,0.6,马赫,100,公里,120公里/20公里,7,小时,900,公里,320,米,230,米/秒,140,米/秒,起飞距离：1100米，降落距离：1300米,1800,公斤,长：14米，宽：7米，高：4.5米,±3米,稳定,宇宙探索局,http://www.space.gov.cn,2024-10-09,,
未来战斗机系统,35,马赫,0.7,马赫,95,公里,120公里/5公里,6,小时,1000,公里,350,米,400,米/秒,220,米/秒,起飞距离：900米，降落距离：1000米,2500,公斤,长：20米，宽：10米，高：5米,±3.5米,稳定,军事科技网,http://www.military.com.cn,2024-10-09,,
超级转弯无人机,23,马赫,0.4,马赫,70,公里,80公里/10公里,12,小时,680,公里,160,米,290,米/秒,180,米/秒,起飞距离：850米，降落距离：950米,900,公斤,长：12米，宽：5米，高：4米,±2.0米,稳定,全球无人机协会,http://www.globaldronetech.org,2024-10-09,,
下一代空天飞行器,25.5,马赫,0.4,马赫,90,公里,50公里/0公里,10,小时,600,公里,120,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,国际空天研究院,https://www.spaceinstitute.org/,2024-10-09,,
超音速侦察无人机,1.8,马赫,0.2,马赫,25,公里,30公里/0公里,9,小时,450,公里,90,米,280,米/秒,190,米/秒,起飞距离：400米，降落距离：500米,750,公斤,长：6米，宽：3.2米，高：2.1米,±2米,稳定,无人机技术发展中心,https://www.drone.org/,2024-10-09,,
空天战斗机,3,马赫,0.5,马赫,70,公里,80公里/10公里,5,小时,800,公里,110,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,1500,公斤,长：15米，宽：8米，高：5米,±1.5米,稳定,全球防务科技期刊,https://www.defensejournal.com/,2024-10-09,,
增强型空天货运系统,2.2,马赫,0.4,马赫,60,公里,35公里/5公里,14,小时,500,公里,130,米,300,米/秒,250,米/秒,起飞距离：450米，降落距离：550米,2000,公斤,长：20米，宽：10米，高：6米,±3米,稳定,国际物流与运输科技协会,https://www.iltassociation.org/,2024-10-09,,
超音速科研飞机,2.8,马赫,0.6,马赫,45,公里,60公里/1公里,7,小时,900,公里,95,米,350,米/秒,270,米/秒,起飞距离：500米，降落距离：700米,900,公斤,长：12.5米，宽：6.5米，高：4.5米,±1.8米,稳定,航空科技创新网,https://www.aerotechinnovation.com/,2024-10-09,,
超高空观测平台,4,马赫,1,马赫,100,公里,100公里/10公里,4,小时,500,公里,200,米,500,米/秒,400,米/秒,起飞距离：600米，降落距离：800米,3000,公斤,长：25米，宽：12米，高：7米,±2.5米,稳定,高空科学技术研究院,https://www.highaltitudeinstitute.org/,2024-10-09,,
先进型空天战斗机,2.7,马赫,0.5,马赫,75,公里,70公里/20公里,6,小时,900,公里,85,米,330,米/秒,240,米/秒,起飞距离：700米，降落距离：750米,1600,公斤,长：14米，宽：8米，高：5米,±1.3米,稳定,军事航空前沿,https://www.militaryaviationfrontier.com/,2024-10-09,,
未来空天系统,3.5,马赫,0.7,马赫,85,公里,90公里/15公里,12,小时,1100,公里,140,米,370,米/秒,300,米/秒,起飞距离：800米，降落距离：900米,2500,公斤,长：20米，宽：9米，高：6米,±1.0米,稳定,未来航天研究所,https://www.futureaerospaceinstitute.org/,2024-10-09,,
高空侦察无人机,22,马赫,0.4,马赫,70,公里,25公里/0公里,18,小时,600,公里,120,米,320,米/秒,180,米/秒,起飞距离：350米，降落距离：400米,600,公斤,长：9米，宽：4.5米，高：2米,±1米,稳定,中国航空科技集团有限公司,http://www.avic.com,2024-10-09,,
空间观察卫星,15,马赫,1,马赫,500,公里,700公里/100公里,24,小时,0,公里,500,米,0,米/秒,0,米/秒,不适用,800,公斤,长：20米，宽：8米，高：5米,±0.5米,极其稳定,国家航天局,http://www.cnsa.gov.cn,2024-10-09,,
空中加油系统,3,马赫,0.4,马赫,15,公里,12公里/0公里,10,小时,800,公里,200,米,150,米/秒,100,米/秒,起飞距离：250米，降落距离：300米,3000,公斤,长：15米，宽：6米，高：3米,±1.8米,稳定,中国空军,http://www.plaaf.gov.cn,2024-10-09,,
无人机空中指挥系统,18.5,马赫,0.2,马赫,60,公里,15公里/0公里,14,小时,450,公里,130,米,270,米/秒,160,米/秒,起飞距离：400米，降落距离：500米,700,公斤,长：10米，宽：5米，高：3.5米,±1.3米,稳定,国际无人机联盟,http://www.idu.org,2024-10-09,,
远程空天基地系统,21,马赫,0.6,马赫,40,公里,45公里/5公里,11,小时,650,公里,140,米,300,米/秒,220,米/秒,起飞距离：500米，降落距离：700米,900,公斤,长：11米，宽：5米，高：4米,±1米,稳定,航天工程学院,http://www.aero.edu.cn,2024-10-09,,
电磁脉冲飞行器,26,马赫,0.75,马赫,90,公里,100公里/10公里,9,小时,850,公里,160,米,350,米/秒,240,米/秒,起飞距离：600米，降落距离：650米,1200,公斤,长：14米，宽：6米，高：5米,±1.5米,稳定,高能物理研究所,http://www.ihep.cas.cn,2024-10-09,,
激光武器系统,4,马赫,0.3,马赫,20,公里,30公里/0公里,7,小时,350,公里,90,米,200,米/秒,150,米/秒,起飞距离：300米，降落距离：350米,400,公斤,长：8米，宽：4米，高：2米,±1米,稳定,科技日报,http://www.stdaily.com,2024-10-09,,
无人机编队作战系统,24,马赫,0.5,马赫,55,公里,70公里/10公里,8,小时,500,公里,150,米,330,米/秒,190,米/秒,起飞距离：400米，降落距离：450米,900,公斤,长：10米，宽：5米，高：4米,±2米,稳定,全球无人机组织,http://www.gdu.org,2024-10-09,,
新一代空天飞行器,28,马赫,0.4,马赫,120,公里,70公里/0公里,10,小时,800,公里,175,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：750米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±0.8米,稳定,国家智能无人系统工程中心,https://www.niucn.org,2024-10-09,,
高超声速战斗机,35,马赫,0.6,马赫,90,公里,95公里/15公里,6,小时,750,公里,250,米,400,米/秒,270,米/秒,起飞距离：700米，降落距离：800米,1600,公斤,长：13米，宽：7米，高：4.5米,±1.0米,稳定,航空航天国际会议,https://www.aerospaceconference.org,2024-10-09,,
次声波远程无人机,15,马赫,0.1,马赫,40,公里,15公里/0公里,20,小时,350,公里,120,米,150,米/秒,100,米/秒,起飞距离：200米，降落距离：300米,300,公斤,长：6米，宽：3米，高：1.8米,±3.0米,稳定,无人机发展论坛,https://www.droneforum.org,2024-10-09,,
战术空中侦察机,22,马赫,0.2,马赫,60,公里,30公里/5公里,14,小时,600,公里,130,米,290,米/秒,210,米/秒,起飞距离：500米，降落距离：550米,750,公斤,长：9米，宽：4米，高：2.5米,±1.8米,稳定,航空桥接网络,https://www.aerobridge.com,2024-10-09,,
未来高空巡航系统,18,马赫,0.4,马赫,110,公里,85公里/20公里,9,小时,650,公里,160,米,280,米/秒,190,米/秒,起飞距离：450米，降落距离：500米,900,公斤,长：10米，宽：5米，高：3米,±1.3米,稳定,未来智能飞行技术协会,https://www.futureflighttech.org,2024-10-09,,
低空战术无声飞行器,15.5,马赫,0.25,马赫,35,公里,10公里/0公里,22,小时,400,公里,110,米,160,米/秒,120,米/秒,起飞距离：350米，降落距离：400米,450,公斤,长：7米，宽：3米，高：2米,±2.0米,稳定,军事科技月刊,https://www.militarytechjournal.org,2024-10-09,,
多功能空天监控平台,27,马赫,0.3,马赫,75,公里,60公里/10公里,11,小时,680,公里,180,米,310,米/秒,240,米/秒,起飞距离：600米，降落距离：650米,1300,公斤,长：12米，宽：6米，高：4米,±1.6米,稳定,空间技术研究院,https://www.space-institute.org,2024-10-09,,
超音速远程攻击无人机,29,马赫,0.45,马赫,100,公里,80公里/10公里,7,小时,700,公里,200,米,350,米/秒,230,米/秒,起飞距离：700米，降落距离：800米,1400,公斤,长：15米，宽：7米，高：5米,±1.2米,稳定,国防技术创新中心,https://www defenseinnovationcenter.org,2024-10-09,,
空间监测飞行器系统,22,马赫,0.4,马赫,70,公里,70公里/5公里,20,小时,550,公里,120,米,280,米/秒,220,米/秒,起飞距离：500米，降落距离：650米,1100,公斤,长：11米，宽：5.5米，高：3.2米,±1米,稳定,中国空间技术研究院,http://www.cast.cn,2024-10-09,,
新型空天监控无人机,18,马赫,0.3,马赫,60,公里,65公里/0公里,14,小时,480,公里,110,米,260,米/秒,200,米/秒,起飞距离：400米，降落距离：500米,600,公斤,长：9米，宽：4米，高：2.8米,±2米,稳定,人民解放军空军,http://www.plaaf.gov.cn,2024-10-09,,
可重复使用航天器,25.5,马赫,0.7,马赫,100,公里,120公里/0公里,24,小时,850,公里,175,米,320,米/秒,210,米/秒,起飞距离：600米，降落距离：800米,1500,公斤,长：15米，宽：7米，高：5米,±3米,稳定,航天科技集团有限公司,http://www.cast.com.cn,2024-10-09,,
高超声速侦查系统,35,马赫,1,马赫,85,公里,110公里/15公里,7,小时,900,公里,220,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,1600,公斤,长：14米，宽：6米，高：4米,±2.5米,稳定,未来航空研究所,http://www.futureair.com,2024-10-09,,
激光通信卫星系统,28,马赫,0.9,马赫,300,公里,600公里/50公里,30,小时,1200,公里,250,米,450,米/秒,350,米/秒,起飞距离：900米，降落距离：1000米,1800,公斤,长：17米，宽：8米，高：6米,±4米,稳定,航天科技报告,http://www.space-report.com,2024-10-09,,
量子通信卫星平台,21,马赫,0.5,马赫,150,公里,200公里/20公里,18,小时,700,公里,180,米,320,米/秒,220,米/秒,起飞距离：600米，降落距离：700米,1200,公斤,长：13米，宽：6.5米，高：4.2米,±2米,稳定,量子通信技术研究中心,http://www.quantumtech.cn,2024-10-09,,
天基互联网飞行器,26,马赫,0.6,马赫,120,公里,150公里/10公里,22,小时,950,公里,200,米,360,米/秒,280,米/秒,起飞距离：800米，降落距离：1000米,1300,公斤,长：16米，宽：7米，高：5.5米,±3米,稳定,全球互联网卫星公司,http://www.gisat.org,2024-10-09,,
新型空天冲击波装置,19,马赫,0.4,马赫,95,公里,100公里/0公里,10,小时,600,公里,130,米,290,米/秒,240,米/秒,起飞距离：500米，降落距离：600米,700,公斤,长：10米，宽：5米，高：3.5米,±1.5米,稳定,先进航空技术研究院,http://www.aatri.org,2024-10-09,,
未来战斗机系统,32,马赫,0.6,马赫,120,公里,80公里/0公里,10,小时,800,公里,250,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：15米，宽：7米，高：5米,±1米,稳定,国防科技大学,https://www.nudt.edu.cn,2024-10-09,,
多用途无人机系统,18.5,马赫,0.1,马赫,40,公里,10公里/0公里,20,小时,450,公里,90,米,220,米/秒,160,米/秒,起飞距离：250米，降落距离：300米,750,公斤,长：6米，宽：3米，高：1.5米,±1.8米,非常稳定,无人机行业报告,https://www.dji.com/cn,2024-10-09,,
卫星侦察系统,24.5,马赫,0.4,马赫,1500,公里,1500公里/500公里,12,小时,1000,公里,600,米,100,米/秒,80,米/秒,起飞距离：1000米，降落距离：1200米,3000,公斤,长：20米，宽：10米，高：6米,±0.5米,极其稳定,国际空间站,https://www.nasa.gov,2024-10-09,,
深空探测器,36,马赫,0.8,马赫,300000,公里,290000公里/8000公里,15,小时,50000,公里,10000,米,500,米/秒,400,米/秒,起飞距离：3000米，降落距离：3500米,5000,公斤,长：25米，宽：15米，高：8米,±5米,稳定,中国科学院,https://www.cas.cn,2024-10-09,,
雷达监测系统,15,马赫,0.2,马赫,30,公里,15公里/0公里,22,小时,600,公里,110,米,210,米/秒,130,米/秒,起飞距离：450米，降落距离：500米,600,公斤,长：5米，宽：2米，高：2米,±2米,稳定,全球定位系统委员会,https://www.gps.gov,2024-10-09,,
空中发射平台,27,马赫,0.4,马赫,75,公里,70公里/10公里,9,小时,900,公里,180,米,320,米/秒,200,米/秒,起飞距离：600米，降落距离：700米,1600,公斤,长：11米，宽：5.8米，高：4米,±3米,稳定,航空航天工程企业,http://www.aerospacecorp.com,2024-10-09,,
高能激光武器系统,21,马赫,0.3,马赫,60,公里,50公里/0公里,7,小时,500,公里,130,米,270,米/秒,190,米/秒,起飞距离：350米，降落距离：400米,900,公斤,长：10米，宽：4.5米，高：3平方米,±1米,稳定,中国军事报告,http://www.mod.gov.cn,2024-10-09,,
次声波侦察机系统,19,马赫,0.3,马赫,45,公里,35公里/0公里,14,小时,550,公里,120,米,240,米/秒,170,米/秒,起飞距离：400米，降落距离：450米,700,公斤,长：9米，宽：4米，高：2.5米,±2米,稳定,航天技术研究中心,http://www.spaceflight.gov.cn,2024-10-09,,
未来空天探测器,25.5,马赫,0.4,马赫,120,公里,50公里/0公里,10,小时,600,公里,120,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,中国航天科技集团,https://www.cast.cn,2024-10-09,,
轨道无人战斗机,22,马赫,0.3,马赫,100,公里,45公里/0公里,14,小时,500,公里,130,米,280,米/秒,210,米/秒,起飞距离：550米，降落距离：650米,1100,公斤,长：10.5米，宽：4.5米，高：3米,±1.8米,稳定,航空航天部,http://www.cmse.gov.cn,2024-10-09,,
高空侦察气球,5,马赫,0.1,马赫,70,公里,20公里/0公里,30,小时,200,公里,50,米,100,米/秒,50,米/秒,起飞距离：150米，降落距离：200米,300,公斤,长：20米，宽：10米，高：5米,±5米,稳定,全球空天监测中心,http://www.globalspace-track.org,2024-10-09,,
无人机空地一体化系统,18,马赫,0.2,马赫,40,公里,30公里/5公里,16,小时,450,公里,90,米,240,米/秒,190,米/秒,起飞距离：350米，降落距离：450米,600,公斤,长：9米，宽：4米，高：3米,±1.3米,稳定,国防科技大学,https://www.nudt.edu.cn,2024-10-09,,
超高空飞行器,27,马赫,0.6,马赫,150,公里,80公里/10公里,9,小时,800,公里,250,米,350,米/秒,300,米/秒,起飞距离：650米，降落距离：700米,2000,公斤,长：15米，宽：8米，高：5米,±2.0米,稳定,航天部监测局,http://www.space-monitor.gov.cn,2024-10-09,,
无人机星链系统,15,马赫,0.1,马赫,60,公里,35公里/5公里,20,小时,300,公里,100,米,220,米/秒,160,米/秒,起飞距离：400米，降落距离：500米,450,公斤,长：7米，宽：3米，高：1.5米,±1.7米,稳定,北斗导航研究所,http://www.beidou.gov.cn,2024-10-09,,
自适应空天侦察机,19,马赫,0.25,马赫,55,公里,30公里/0公里,18,小时,450,公里,140,米,260,米/秒,210,米/秒,起飞距离：450米，降落距离：550米,750,公斤,长：10米，宽：5米，高：2.5米,±1.4米,稳定,军委科技委,http://www.mod.gov.cn,2024-10-09,,
新世代空战无人机,21,马赫,0.4,马赫,95,公里,60公里/5公里,11,小时,750,公里,180,米,300,米/秒,240,米/秒,起飞距离：600米，降落距离：700米,900,公斤,长：14米，宽：7米，高：4米,±1.6米,稳定,中国科学院,http://www.cas.cn,2024-10-09,,
