试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
大气层回归模拟实验,京公网安备11010802032372号,GB/T 76558,回归舱,返回器,完成,第一阶段,性能测试,王磊,返回器研究所,国家航天中心,2024-01-05,2024-01-15,2024-02-01,2024-02-05,京公网安备11010802032372号,930875,科研项目,空间飞行科技公司,实验室数据,中国,科技日报,https://www.ncsti.gov.cn,2024-10-09,
深海探测器水下通信实验,京公网安备11010802032373号,GB/T 85123,深海探测器,探测器系统,进行中,第二阶段,技术验证,于刚,海洋技术研究院,深海探测实验室,2024-02-10,2024-02-20,待定,待定,京公网安备11010802032373号,930875,科研项目,深海科技集团,实地测试数据,中国,科学网,https://www.sciencenet.cn,2024-10-09,
空天侦察卫星技术测试,京公网安备11010802032374号,GB/T 40312,侦察卫星系统,侦查系统,完成,第三阶段,性能测试,吴杰,航天侦察局,国家卫星测试力,2024-03-01,2024-03-10,2024-03-30,2024-04-01,京公网安备11010802032374号,930875,项目申报,侦查科技有限公司,实验室数据,中国,航天科技网,https://www.space-tech.cn,2024-10-09,
智能空地一体化调度系统实验,京公网安备11010802032375号,GB/T 39709,空地调度系统,调度系统,完成,第一阶段,系统集成,朱小哲,智能科技研究院,空地一体化实验室,2024-04-01,2024-04-15,2024-04-30,2024-05-01,京公网安备11010802032375号,930875,科研项目,智能科技有限公司,模拟测试数据,中国,人民网,http://www.people.com.cn,2024-10-09,
新材料空天器抗辐射能力测试,京公网安备11010802032376号,GB/T 03789,辐射防护系统,实验材料,正在进行,第二阶段,材料测试,赵强,材料科学与工程研究院,国家实验室,2023-06-15,2023-07-10,待定,2023-08-10,京公网安备11010802032376号,930875,科研项目,新材料科技有限公司,实验室数据,中国,新材料网,http://www.newmaterials.cn/,2024-10-09,
空天光电系统性能优化实验,空天技术备案号11010802032367,GB/T 34512,卫星光电系统,光电方案,完成,第一阶段,技术测试,周丽,空间光电研究院,中国科学院航天技术研究所,2023-09-01,2023-09-05,2023-09-20,2023-09-25,空天技术备案号11010802032367,930875,项目申报,光电科技有限公司,科研数据平台,中国,光电行业协会,http://www.optoelectronics.cn/,2024-10-09,
流体力学模型在高超音速实验中的应用,空天技术备案号11010802032368,GB/T 67812,超音速流动模拟系统,流体力学实验,完成,第三阶段,模型仿真,黄哲,空气动力学研究中心,国家流体力学实验室,2023-08-20,2023-09-01,2023-09-15,2023-09-30,空天技术备案号11010802032368,930875,科研项目,流体动力有限公司,实验数据,中国,流体力学期刊,http://www.aerodynamicsjournal.com/,2024-10-09,
月球采样技术验证试验,空天技术备案号11010802032369,GB/T 89172,月球探测器,探测系统,正在进行,第一阶段,技术验证,于磊,月球探测开发中心,中国探月工程办公室,2023-10-05,2023-10-20,待定,2023-11-10,空天技术备案号11010802032369,930875,项目申报,探月科技公司,现场测试数据,中国,探月科研信息网,http://www.china-moonexploration.com/,2024-10-09,
低轨道卫星通信链路测试,空天技术备案号11010802032370,GB/T 58970,低轨卫星通信系统,通信系统,正在进行,第二阶段,系统性能测试,李飞,卫星通信研究所,国家通信研究中心,2023-11-01,2023-11-15,待定,2023-12-05,空天技术备案号11010802032370,930875,项目申报,卫星科技公司,实验室测试数据,中国,卫星网,http://www.satelliteworld.com/,2024-10-09,
新型可重复使用空天飞行器试验,空天技术备案号11010802032371,GB/T 03789,可重复使用飞行器,飞行器系统,完成,第一阶段,系统验证,李晓东,新兴航天公司,国家航空实验室,2023-09-12,2023-10-01,2023-10-20,2023-10-25,空天技术备案号11010802032371,930875,科研项目,航天新技术有限公司,实验室记录数据,中国,中国航天报,http://www.cnbc.com/space-news,2024-10-09,
量子通信卫星系统实验,空天技术备案号11010802032372,GB/T 67891,量子通信卫星,通信系统,正在进行,第二阶段,技术验证,周敏,量子通信研究院,国家卫星通信中心,2023-11-05,2023-12-01,待定,2024-01-05,空天技术备案号11010802032372,930875,项目申报,量子科技有限公司,现场测试数据,中国,中科院新闻网,https://www.cas.cn/,2024-10-09,
自动飞行系统响应测试,空天技术备案号11010802032373,GB/T 78121,自动飞行控制系统,控制系统,完成,第三阶段,性能评估,莫刚,智能航天科技公司,国家自动化研究中心,2023-10-10,2023-10-15,2023-11-01,2023-11-05,空天技术备案号11010802032373,930875,科技创新项目,智能科技有限公司,测试记录,中国,科技日报,https://www.stdaily.com/,2024-10-09,
未来火箭推进实验,空天技术备案号11010802032374,GB/T 81212,未来火箭技术,推进系统,正在进行,第四阶段,推进测试,于琦,长征航天科技公司,国家航天推进实验室,2023-11-20,2023-12-01,待定,2024-02-01,空天技术备案号11010802032374,930875,技术研发项目,长征科技有限公司,实验室数据,中国,航天科技网,http://www.spacechina.com/,2024-10-09,
空间站模块对接实验,空天技术备案号11010802032375,GB/T 12172,空间站对接装置,对接系统,完成,第一阶段,系统集成,王刚,空间站技术研究中心,国家宇航研究所,2023-12-05,2023-12-15,2024-01-05,2024-01-10,空天技术备案号11010802032375,930875,科研试验,宇航技术有限公司,实验记录,中国,航天信息网,http://www.spaceinformation.com/,2024-10-09,
空天无人的飞行测试,空天技术备案号11010802032376,GB/T 17281,无人机空天系统,无人系统,正在进行,第二阶段,操作测试,李强,无人航天实验室,国家无人机研究所,2023-12-10,2024-01-01,待定,2024-01-05,空天技术备案号11010802032376,930875,技术试验,无人航天科技公司,现场测试数据,中国,无人机飞行网,http://www.uavnews.com/,2024-10-09,
新型材料在真空环境下的性能测试,京公网安备11010802032367号,GB/T 72457,真空环境材料测试系统,材料测试系统,完成,第三阶段,材料研究,孙力,材料科学研究院,国家材料测试中心,2023-12-15,2023-12-20,2024-01-15,2024-01-20,京公网安备11010802032367号,930875,科研项目,材料科技有限公司,实验室数据,中国,科技前沿网,http://www.techfrontier.com/,2024-10-09,
火星探测器工程测试,京公网安备11010802032368号,GB/T 34038,火星探测器,探测系统,正在进行,第四阶段,工程验证,岳飞,火星探测计划组,国家探测器实验室,2023-12-30,2024-01-10,待定,2024-02-10,京公网安备11010802032368号,930875,国家重点项目,探测技术有限公司,测试记录,中国,火星探索网,http://www.marsexploration.com/,2024-10-09,
电磁干扰模拟实验,京公网安备11010802032369号,GB/T 40379,电磁干扰系统,电子系统,完成,第一阶段,系统测试,钟丽,电子技术研究院,国家电子实验室,2024-01-05,2024-01-10,2024-01-20,2024-01-25,京公网安备11010802032369号,930875,科技项目,电子科技有限公司,实验室记录数据,中国,电子工程网,http://www.electronengineering.com/,2024-10-09,
新型大气层飞行器测试,京公网安备11010802032370号,GB/T 03789,大气层探测器,探测器系统,完成,第一阶段,性能测试,赵晨,未来航天科技股份有限公司,国家航天局,2023-09-01,2023-09-15,2023-09-30,2023-10-05,京公网安备11010802032370号,930875,科研项目,未来科技公司,实验室数据,中国,中国航天新闻网,https://www.spacechina.com,2024-10-09,
超高速飞行器自动控制实验,京公网安备11010802032371号,GB/T 67891,自主飞行控制系统,控制系统,正在进行,第二阶段,技术验证,李晓,航空航天工程学院,航天航空实验室,2023-10-01,2023-10-10,待定,2024-01-05,京公网安备11010802032371号,930875,项目申报,航空控制科技有限公司,实地测试数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
低轨卫星通讯性能测试,京公网安备11010802032372号,GB/T 78121,低轨道卫星系统,通讯系统,完成,第三阶段,性能评估,周勇,智能卫星研究所,国家卫星通信中心,2023-07-15,2023-08-01,2023-09-01,2023-09-10,京公网安备11010802032372号,930875,科研项目,卫星应用技术公司,数据分析报告,中国,新浪科技,https://tech.sina.com.cn,2024-10-09,
深空探测重力影响实验,京公网安备11010802032373号,GB/T 81212,深空探测载具,探测器系统,正在进行,第一阶段,科学实验,于浩,深空探测研究所,国家深空探索中心,2023-11-01,2023-11-15,待定,2024-02-20,京公网安备11010802032373号,930875,项目申报,深空科技公司,实验室数据,中国,互联网科学平台,https://www.sciencenet.cn,2024-10-09,
卫星轨道精确预测实验,京公网安备11010802032374号,GB/T 12172,轨道预测系统,预测系统,完成,第二阶段,数据分析,何俊,轨道研究院,空间科学研究中心,2023-04-20,2023-05-10,2023-06-01,2023-06-15,京公网安备11010802032374号,930875,科研项目,轨道科技有限公司,数据模拟,中国,航天部官网,http://www.cmic.gov.cn,2024-10-09,
空间站生命维持系统测试,京公网安备11010802032375号,GB/T 72457,空间站生命支持系统,实验系统,正在进行,第三阶段,科学实验,林梅,航天医学研究所,航天科技研究院,2023-09-05,2023-10-01,待定,2024-03-01,京公网安备11010802032375号,930875,项目申报,航空生命支持科技公司,实验室数据,中国,航空医学杂志,https://www.aviationmedicine.com,2024-10-09,
极地卫星通讯技术验证,京公网安备11010802032376号,GB/T 01724,极地通讯卫星,通讯系统,完成,第一阶段,技术验证,汪涛,极地研究中心,北极航天局,2023-12-01,2024-01-01,2024-01-20,2024-01-25,京公网安备11010802032376号,930875,科研项目,极地科技公司,实地测试数据,中国,极地科学协会,https://www.polar-science.com,2024-10-09,
航天器材料测试实验,京公网安备11010802012345号,GB/T 17281,航天器材料测试系统,实验系统,正在进行,第二阶段,材料测试,孙杰,航天材料研究院,国家材料科学研究院,2023-11-10,2023-11-20,待定,2024-02-10,京公网安备11010802012345号,930875,项目申报,航天材料科技有限公司,实验室记录,中国,科学网,https://www.sciencenet.cn,2024-10-09,
航天器抗辐射测试实验,京公网安备11010802067890号,GB/T 40379,抗辐射航天器,实验系统,完成,第三阶段,性能测试,江雪,辐射防护技术研究所,国家航天局,2023-01-05,2023-02-10,2023-03-20,2023-04-05,京公网安备11010802067890号,930875,科研项目,航天辐射科技有限公司,实验室数据,中国,中国新闻网,http://www.chinanews.com,2024-10-09,
太空通信技术验证试验,京公网安备11010802098765号,GB/T 03789,激光通信系统,通信系统,完成,第一阶段,技术验证,赵勇,空间通信研究所,国家通信研究院,2023-05-15,2023-06-01,2023-06-30,2023-07-05,京公网安备11010802098765号,930875,科研项目,激光科技有限公司,测试实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
低轨卫星集群组网实验,京公网安备11010802054321号,GB/T 67891,卫星网络系统,卫星系统,正在进行,第二阶段,系统集成,孙健,卫星应用研究中心,航天科技集团,2023-08-01,2023-09-01,待定,2024-01-15,京公网安备11010802054321号,930875,项目申报,宇航卫星有限公司,现场测试数据,中国,新华社,http://www.xinhua.org/,2024-10-09,
空间探测器抗辐射能力评估,京公网安备11010802034567号,GB/T 78121,辐射防护系统,测试系统,完成,第三阶段,性能测试,周媛,空间科学研究所,国家辐射实验室,2023-09-05,2023-10-10,2023-11-05,2023-11-10,京公网安备11010802034567号,930875,科研项目,辐射科技有限公司,实验室数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
液体推进剂性能优化实验,京公网安备11010802076543号,GB/T 12172,推进剂优化系统,实验系统,正在进行,第一阶段,研究测试,李刚,航天动力研究院,动力系统测试中心,2023-05-30,2023-08-20,待定,2023-12-01,京公网安备11010802076543号,930875,项目申报,推进剂科技股份有限公司,实验室记录,中国,航天技术网,http://www.spaceinfo.com.cn/,2024-10-09,
智能机器人在空间的应用实验,京公网安备11010802023456号,GB/T 34038,空间机器人系统,应用系统,完成,第二阶段,技术应用,于超,自动化研究院,机器人技术中心,2023-02-20,2023-03-15,2023-04-10,2023-04-15,京公网安备11010802023456号,930875,科研项目,智能科技有限公司,实验室数据,中国,科研前沿,http://www.researchfrontier.com.cn/,2024-10-09,
高超声速燃料喷射技术研究,京公网安备11010802087654号,GB/T 58970,高超声速推进系统,推进系统,正在进行,第一阶段,技术研究,王涛,航天动力技术研究所,临近空间实验室,2023-04-12,2023-05-20,待定,2023-10-18,京公网安备11010802087654号,930875,项目申报,推进动力股份有限公司,研究数据集,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
太空生物实验舱环境适应性测试,京公网安备11010802034567号,GB/T 17245,生物实验舱,实验舱,完成,第二阶段,环境适应性测试,徐晓,生物技术研究所,国家太空生物中心,2023-06-15,2023-07-01,2023-07-30,2023-08-05,京公网安备11010802034567号,930875,科研项目,生物科技公司,实验室记录,中国,中国科学院,http://www.cas.cn/,2024-10-09,
航天大气物理数据收集,京公网安备11010802045678号,GB/T 67892,大气监测系统,监测系统,正在进行,第一阶段,数据收集,吴珊,大气科学研究院,国家大气监测中心,2023-05-22,2023-07-10,待定,2024-01-12,京公网安备11010802045678号,930875,项目申报,大气科技有限公司,监测数据,中国,国家气象局,http://www.cma.gov.cn/,2024-10-09,
火星探测新型材料测试,京公网安备11010802012345号,GB/T 78122,火星探测器,探测系统,完成,第三阶段,材料测试,高东,航天材料研究所,国家火星研发实验室,2023-03-25,2023-04-15,2023-05-10,2023-05-20,京公网安备11010802012345号,930875,科研项目,航天材料科技有限公司,实验室报告,中国,中国航天科技集团,http://www.spacechina.com/,2024-10-09,
次轨道飞行器稳定性分析,京公网安备11010802067890号,GB/T 101112,次轨道飞行器,飞行测试,完成,第一阶段,性能测试,郑刚,航空动力研究所,国家飞行测试中心,2023-08-01,2023-08-10,2023-08-25,2023-08-26,京公网安备11010802067890号,930875,科研项目,飞行器科技公司,实验室数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
深空立体探测技术验证,京公网安备11010802054321号,GB/T 17247,深空探测器,探测系统,正在进行,第一阶段,技术验证,王磊,深空科技研究中心,国家航天局,2023-09-05,2023-09-15,待定,2023-10-20,京公网安备11010802054321号,930875,项目申报,空间探索科技有限公司,实时数据监测,中国,科学网,https://www.sciencenet.cn,2024-10-09,
太阳能卫星通信技术试验,京公网安备11010802098765号,GB/T 78121,太阳能通信卫星,通信系统,完成,第二阶段,性能测试,林雪,通信技术研究院,中国卫星通信集团,2023-06-15,2023-07-01,2023-07-20,2023-07-25,京公网安备11010802098765号,930875,科研项目,卫星通信科技公司,实验室测试数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
高频雷达技术地面实验,京公网安备11010802045678号,GB/T 91011,高频雷达系统,监测系统,正在进行,第一阶段,技术验证,白云,雷达技术研究所,国家雷达实验室,2023-09-12,2023-09-20,待定,2023-10-05,京公网安备11010802045678号,930875,项目申报,雷达科技有限公司,现场测试记录,中国,技术日报,http://www.tech-daily.com,2024-10-09,
气候变化影响的航天材料研究,京公网安备11010802013579号,GB/T 34588,气候变化航天材料,材料研究,正在进行,第二阶段,基础研究,赵红,材料科学研究院,国家航天局,2023-10-05,2023-10-10,待定,待定,京公网安备11010802013579号,930875,科研项目,航天材料科技公司,实验室数据,中国,材料网,http://www.materials.com,2024-10-09,
太阳能航天器热控系统实验,京公网安备11010802086420号,GB/T 83765,太阳能轨道飞行器,航天器,完成,第一阶段,热控测试,赵强,航天能源研究所,国家宇航科技实验室,2023-09-01,2023-09-15,2023-09-30,2023-10-01,京公网安备11010802086420号,930875,科研项目,宇航能源公司,环境测试数据,中国,中国航天新闻网,,2024-10-09,
太空站生物实验室系统测试,京公网安备11010802024680号,GB/T 55897,空间生物实验舱,实验舱,正在进行,第二阶段,生物实验,李华,航空航天医学研究院,生命科学实验室,2023-10-05,2023-10-20,待定,2023-10-25,京公网安备11010802024680号,930875,项目申报,太空生物科技有限公司,实地实验数据,中国,新华网,,2024-10-09,
月球表面探测器模块测验,京公网安备11010802035791号,GB/T 13579,月球探测器,探测系统,完成,第一阶段,性能测试,王晨,国家航天局月球研究中心,国际月球实验室,2023-08-15,2023-09-01,2023-09-15,2023-09-20,京公网安备11010802035791号,930875,科研项目,月球科技公司,实验室分析数据,中国,中国航天网,,2024-10-09,
空天网络系统优化试验,京公网安备11010802097531号,GB/T 28180,卫星通信系统,通信系统,正在进行,第二阶段,系统优化,王刚,航天信息技术研究院,卫星通信实验室,2023-09-28,2023-10-12,待定,2023-10-30,京公网安备11010802097531号,930875,项目申报,航天通信公司,网络性能测试,中国,电子科技大学,,2024-10-09,
高质量卫星成像技术实验,京公网安备11010802012345号,GB/T 34522,高分辨率成像卫星,成像系统,完成,第一阶段,成像测试,周杰,遥感技术应用中心,卫星图像处理部门,2023-08-25,2023-09-06,2023-09-20,2023-09-25,京公网安备11010802012345号,930875,科研项目,高分科技有限公司,图像处理数据,中国,中国科学技术协会,,2024-10-09,
智能无人机飞行试验,京公网安备11010802067890号,GB/T 78121,智能无人机,无人机系统,进行中,第三阶段,动态测试,于宇,无人机研发实验室,国家无人机中心,2023-10-15,2023-10-18,待定,2023-10-20,京公网安备11010802067890号,930875,项目申报,无人机技术有限公司,飞行性能记录,中国,全球无人机网,,2024-10-09,
火星探测器极端环境适应性试验,京公网安备11010802023456号,GB/T 15975,火星探测器,探测系统,完成,第一阶段,适应性测试,郑哲,国家火星探测中心,极端环境实验室,2023-09-12,2023-09-15,2023-09-29,2023-10-02,京公网安备11010802023456号,930875,科研项目,火星探索科技有限公司,环境适应数据,中国,天文科学协会,,2024-10-09,
空天环境测量系统测试,京公网安备11010802034567号,GB/T 28189,空天环境监测系统,监测系统,正在进行,第二阶段,环境监测,李梅,空间环境研究所,环境监测实验室,2023-10-10,2023-10-15,待定,2023-10-20,京公网安备11010802034567号,930875,项目申报,空间监测科技有限公司,环境监测报告,中国,国家气象局,,2024-10-09,
卫星精确轨道控制试验,京公网安备11010802045678号,GB/T 76558,卫星轨道控制系统,控制系统,完成,第一阶段,控制优化,周璐,卫星导航中心,国际航天数据中心,2023-09-20,2023-09-25,2023-10-05,2023-10-06,京公网安备11010802045678号,930875,科研项目,卫星控制科技有限公司,控制系统测试,中国,中国卫星导航网,,2024-10-09,
高超声速导弹气动特性分析,京公网安备11010802054321号,GB/T 17267,高超声速导弹,作战系统,完成,第二阶段,性能测试,赵雷,战略导弹研究院,国防科技大学,2023-09-15,2023-10-01,2023-10-10,2023-10-20,京公网安备11010802054321号,930875,科研项目,军工科技公司,实验室数据,中国,国防科技报,,2024-10-09,
太空电力系统实验,京公网安备11010802098765号,GB/T 78121,电力管理系统,电力系统,正在进行,第一阶段,技术验证,李华,空间电力研究院,极地科研中心,2023-08-25,2023-09-10,待定,2024-01-15,京公网安备11010802098765号,930875,项目申报,宇航电力公司,实地测试数据,中国,物联网网,,2024-10-09,
小型卫星轨道控制试验,京公网安备11010802043210号,GB/T 85247,小型卫星控制系统,卫星系统,完成,第二阶段,轨道测试,于建,卫星技术研究所,国家卫星实验室,2023-05-30,2023-06-20,2023-07-10,2023-07-15,京公网安备11010802043210号,930875,科研项目,卫星科技有限公司,实验室数据,中国,科技链,,2024-10-09,
空间站生命支持系统验证,京公网安备11010802054678号,GB/T 83765,生命支持系统,支持系统,正在进行,第三阶段,环境测试,高远,空间医学研究中心,航天医疗基地,2023-11-05,2023-12-01,待定,2024-01-05,京公网安备11010802054678号,930875,项目申报,空间生物技术公司,实地测试记录,中国,航天报,,2024-10-09,
光学遥感系统的性能评估,京公网安备11010802087654号,GB/T 65582,光学遥感监测系统,监测系统,完成,第一阶段,性能测试,冯刚,遥感应用研究院,国家遥感中心,2023-03-04,2023-03-15,2023-04-25,2023-05-01,京公网安备11010802087654号,930875,科研项目,遥感科技有限公司,实验室数据,中国,中华科技报,,2024-10-09,
航天器抗干扰性能测试,京公网安备11010802032367号,GB/T 34037,航天器防护系统,防护系统,正在进行,第二阶段,安全评估,李强,航天防护研究中心,国家防护科技实验室,2023-07-20,2023-08-15,待定,2024-02-01,京公网安备11010802032367号,930875,项目申报,航天设防公司,现场测试数据,中国,安全科技网,,2024-10-09,
空间机器人操控系统测试,京公网安备11010802032368号,GB/T 85729,空间机器人,操作系统,完成,第一阶段,功能测试,周慧,航天机器人研究所,国家机器人实验室,2023-09-30,2023-10-05,2023-10-20,2023-10-25,京公网安备11010802032368号,930875,科研项目,机器人技术公司,实验室记录,中国,机器人网,,2024-10-09,
太空环境适应性测试,京公网安备11010802032369号,GB/T 99999,航天器适应系统,适应系统,正在进行,第三阶段,环境适应,马超,空间适应性科学研究所,航天技术研究院,2023-04-15,2023-05-01,待定,2024-02-25,京公网安备11010802032369号,930875,项目申报,航天工程公司,实验室测试,中国,科技前沿,,2024-10-09,
空天通信系统兼容性测试,京公网安备11010802032370号,GB/T 11111,空天通信网络,通信系统,完成,第二阶段,兼容性验证,董刚,通信与信息技术研究所,国家通信实验室,2023-02-10,2023-02-20,2023-03-15,2023-04-01,京公网安备11010802032370号,930875,科研项目,通信科技有限公司,实验室数据,中国,信息时报,,2024-10-09,
低轨卫星通信系统性能验证,京公网安备11010802032371号,GB/T 03789,低轨卫星系统,通信系统,完成,第一阶段,性能测试,赵强,北京航天科技集团,国家卫星通信实验室,2023-09-12,2023-09-20,2023-10-05,2023-10-10,京公网安备11010802032371号,930875,科研项目,卫星通信科技有限公司,实地测试数据,中国,中国航天报,http://www.spacechina.com/,2024-10-09,
复杂环境下无人机导航测试,京公网安备11010802032372号,GB/T 67891,无人机导航系统,系统验证,正在进行,第二阶段,技术验证,刘涛,无人机技术研究院,国家无人机实验室,2023-10-01,2023-10-15,待定,2024-01-12,京公网安备11010802032372号,930875,项目申报,无人机科技股份有限公司,现场测试记录,中国,科技日报,https://www.stdaily.com/,2024-10-09,
亚轨道飞行器复合材料测试,京公网安备11010802032373号,GB/T 89172,亚轨道飞行器,材料测试,完成,第一阶段,材料测试,周敏,先进材料研究所,国家航天材料中心,2023-11-05,2023-11-15,2023-12-01,2023-12-05,京公网安备11010802032373号,930875,科研项目,材料科技有限公司,实验室测试数据,中国,国家科技部,http://www.most.gov.cn/,2024-10-09,
新型火箭发动机燃烧实验,京公网安备11010802032374号,GB/T 34038,火箭发动机样机,发动机实验,完成,第二阶段,性能验证,马斯克,火箭科技公司,中国航天科技集团,2023-12-01,2023-12-10,2024-01-05,2024-01-10,京公网安备11010802032374号,930875,项目申报,航天火箭制造有限公司,实验室数据,中国,新华社,http://www.xinhuanet.com/,2024-10-09,
智能化地面控制系统开发,京公网安备11010802032375号,GB/T 83765,地面控制系统,控制系统,正在进行,第一阶段,系统测试,张刚,航天控制研究所,国家航天技术中心,2023-11-20,2023-12-01,待定,2024-01-05,京公网安备11010802032375号,930875,科研项目,航天智能科技有限公司,测试记录,中国,科技部网站,http://www.most.gov.cn/,2024-10-09,
高级气动特性测试舱配置实验,京公网安备11010802032376号,GB/T 72457,气动测试舱,实验舱,完成,第三阶段,动态测试,李华,航空设计研究院,国家气动特性实验室,2023-12-15,2024-01-05,2024-01-20,2024-01-21,京公网安备11010802032376号,930875,项目申报,航空气动科技有限公司,实地测试数据,中国,航空航天新闻网,http://www.aerospace-news.com/,2024-10-09,
量子通信卫星系统测试,京公网安备11010802032367号,GB/T 87654,量子通信卫星,通信系统,正在进行,第二阶段,技术验证,徐莉,量子技术研究所,国家量子通信实验室,2024-01-01,2024-01-10,待定,2024-01-20,京公网安备11010802032367号,930875,科研项目,量子科技公司,现场测试数据,中国,中国科学院,http://www.cas.cn/,2024-10-09,
下一代高能激光器测试,京公网安备11010802032368号,GB/T 34039,高能激光器,激光系统,完成,第一阶段,性能测试,于强,激光技术研究所,国家激光实验室,2024-01-05,2024-01-15,2024-02-05,2024-02-10,京公网安备11010802032368号,930875,科研项目,激光科技有限公司,实验室测试记录,中国,科技部,http://www.most.gov.cn/,2024-10-09,
空间碎片监测系统验证,京公网安备11010802032369号,GB/T 83766,空间碎片监测系统,监测系统,完成,第三阶段,应用测试,杨俊,空间监测研究所,国家空间安全实验室,2024-01-20,2024-02-01,2024-02-20,2024-02-22,京公网安备11010802032369号,930875,科研项目,空间监测科技有限公司,现场监测数据,中国,科学网,https://news.sciencenet.cn/,2024-10-09,
