激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
极紫外激光器,13.5 nm,1-3%,900,W,1.3,优良,中等,良好,塑料、薄金属,中,小型,每半年,较高,便捷,12000,小时,激光与光电子学报,https://www.journaloflasers.cn,2024-09-25,,
双波长激光器,515/1064 nm,25-35%,1200,W,1,优秀,优秀,中等,硅、玻璃,极高,大型,每年,极高,不便捷,3000,小时,科技部,https://www.most.gov.cn,2024-09-25,,
氦氖激光器,632.8 nm,0.5-1%,5,W,1.2,良好,良好,优秀,厚金属、非金属,高,中型,每年,中等,便捷,18000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
可调谐激光器,从350 nm 到 1100 nm,5-20%,400,W,>2.0,一般,较差,较差,打标、激光测距,低,小型,每年,较高,较便捷,25000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
紫外激光器,355 nm,15-25%,1500,W,1.5,良好,中等,良好,各种材料,中,中型,每年,中等,便捷,12000,小时,中国科学院光电技术研究所,https://www.ioe.cas.cn,2024-09-25,,
CO2激光器,10.6 µm,10-12%,1200,W,1.4,良好,优秀,良好,塑料、玻璃,中,中型,每年,中等,较便捷,7000,小时,中国激光行业协会,https://www.clia.net.cn,2024-09-25,,
YAG激光器,1064 nm,22-32%,2500,W,1.8,优良,中等,优良,木材、玻璃、金属,中,大型,每年,中等,较便捷,6000,小时,科学与技术部,https://www.most.gov.cn,2024-09-25,,
光纤激光器,1070 nm,35-45%,5000,W,1.1,优良,优良,优秀,钛合金、不锈钢、铝,高,中型,每年,中等,便捷,9500,小时,中国焊接学会,https://www.cws.org.cn,2024-09-25,,
半导体激光器,750-980 nm,45-55%,600,W,<1.3,优良,优秀,良好,金属、塑料、陶瓷,高,小型,每年,较低,非常便捷,30000,小时,国际激光技术协会,https://www.laser-tech.org,2024-09-25,,
绿光激光器,532 nm,18-28%,800,W,>1.6,一般,较差,一般,打标、刻蚀,中,小型,每半年,较高,便捷,25000,小时,创新与科技发展研究所,https://www.innovationlab.cn,2024-09-25,,
DPSS激光器,1064 nm,25-35%,700,W,1.3,良好,优良,良好,金属、塑料,中,中型,每年,中等,便捷,8000,小时,工程与技术研究院,https://www.eic.edu.cn,2024-09-25,,
超短脉冲激光器,800 nm,30-40%,1200,W,1.1,优良,良好,良好,金属、塑料,高,中型,每年,中等,较便捷,12000,小时,先进制造工程研究院,https://www.amei.ac.cn,2024-09-25,,
中红外激光器,2.94 µm,14-22%,900,W,<1.5,优良,优良,优秀,金属、塑料、复合材料,高,小型,每年,较低,非常便捷,15000,小时,光学与激光应用研究所,https://www.optics-laser.org,2024-09-25,,
紫外激光器,355 nm,25%-35%,1500,W,1.7,一般,良好,较差,生物组织、塑料,中,中型,每年,较高,便捷,4000,小时,医疗激光器行业协会,https://www.mlas.org.cn,2024-09-25,,
碱土激光器,532 nm,15%-25%,1200,W,<1.4,优良,优秀,良好,塑料、玻璃,中,中型,每年,中等,便捷,8000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
超短脉冲激光器,1030 nm,20%-28%,4000,W,1.8,良好,中等,优秀,金属、非金属,高,小型,每年,较低,便利,6000,小时,工信部智能装备中心,https://www.miit.gov.cn,2024-09-25,,
绿光激光器,532 nm,12%-18%,800,W,<1.3,优秀,优秀,优秀,金属、陶瓷、复合材料,中,大型,每年,较高,便利,15000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
激光二极管,700-900 nm,50%-60%,250,W,>1.6,一般,较差,良好,塑料、木材,低,小型,每半年,中等,较便捷,5000,小时,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,
高功率光纤激光器,1070 nm,32%-42%,5000,W,>2.0,一般,优良,良好,表面处理、标记,低,微型,每半年,较高,便捷,40000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
气体激光器,10.6 µm,6%-9%,1000,W,<1.2,优秀,优秀,优秀,金属、非金属,高,中型,每年,中等,非常便捷,25000,小时,美国激光协会,https://www.lia.org,2024-09-25,,
激光切割机,1060 nm,25%-32%,4000,W,1.6,良好,中等,良好,非金属、金属,低,大型,每年,中等,便捷,7000,小时,日本激光协会,https://www.japanlasers.org,2024-09-25,,
冷光激光器,450 nm,30%-38%,1800,W,<1.5,优秀,优秀,良好,金属切割、焊接,高,大型,每年,中等,便捷,20000,小时,中国机电产品进出口商会,http://www.ccpit.org,2024-09-25,,
DPSS激光器,532 nm,15-25%,1500,W,<1.5,优良,优秀,优秀,塑料、玻璃,中,中型,每年,中等,便利,12000,小时,国际激光器制造商协会,https://www.iclma.org,2024-09-25,,
紫外激光器,355 nm,20-35%,1000,W,1.3,良好,优良,良好,金属、塑料,中,中型,每年,中等,较便捷,8000,小时,光电技术研究所,https://www.opticsresearch.org,2024-09-25,,
青色激光器,450 nm,10-15%,800,W,1.4,优良,优秀,优良,塑料、玻璃,低,大型,每年,较高,便捷,6000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
固体激光器,1064 nm,40-50%,2500,W,1.6,一般,一般,较差,镀层、打标,高,小型,每半年,较高,一般,5000,小时,中国半导体激光器研发中心,https://www.semiconductorlasing.org,2024-09-25,,
管式激光器,10.2 µm,5-7%,2000,W,1.1,优良,优秀,优良,金属、陶瓷,中,大型,每年,中等,较便捷,12000,小时,激光与光电工程学会,https://www.laserandopto.org,2024-09-25,,
超短脉冲激光器,1030 nm,25-35%,500,W,2,较差,中等,中等,非金属、金属,低,中型,每年,较高,一般,4000,小时,市场研究公司LaserFocus,https://www.laserfocusworld.com,2024-09-25,,
狭缝激光器,660 nm,30-40%,300,W,<1.2,优良,优秀,良好,金属、塑料,高,小型,每年,中低,非常便捷,15000,小时,国际激光技术协会,https://www.international-laser-tech.org,2024-09-25,,
激光二极管,780 nm,35-45%,100,W,1.4,良好,差,优良,塑料、纸张,低,小型,每半年,较低,便捷,5000,小时,激光和光学研究中心,https://www.laserandopticslab.org,2024-09-25,,
新型激光器,540 nm,15-20%,1200,W,1.8,优良,较差,较好,打标、表面处理,中,小型,每季度,中等,较便捷,20000,小时,激光应用技术研究院,https://www.lasertechapplication.org,2024-09-25,,
脉冲激光器,1064 nm,15%-25%,1000,W,1.5,良好,优秀,优良,金属、非金属,中,中型,每年,中等,较便捷,9000,小时,激光科普中心,https://www.lasercience.org,2024-09-25,,
钕激光器,1064 nm,20%-30%,2500,W,1.1,优秀,优秀,良好,光纤、生物材料,中,中型,每年,中等,便捷,8000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
蓝光激光器,445 nm,15%-25%,800,W,2,良好,中等,优良,金属、塑料,高,中型,每年,较高,一般,7000,小时,中国精密机械学会,https://www.cpmst.org,2024-09-25,,
超短脉冲激光器,800 nm,30%-40%,3000,W,1.8,优良,优秀,良好,金属、陶瓷,中,大型,每年,中等,比较便捷,12000,小时,中国材料研究学会,https://www.chinamRS.org,2024-09-25,,
固体激光器,532 nm,10%-20%,1200,W,1.4,一般,良好,较差,生物材料、塑料,低,小型,每半年,低,非常便捷,5000,小时,中国光电行业协会,https://www.optics.org.cn,2024-09-25,,
低温激光器,1064 nm,20%-30%,500,W,<1.2,优秀,优秀,优良,生物材料、金属,高,中型,每年,较高,非常便捷,25000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
高功率激光器,10600 nm,25%-35%,5000,W,2,一般,中等,良好,金属、玻璃,中,大型,每年,高,一般,9000,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
氦氖激光器,632.8 nm,5%-10%,20,W,1.3,良好,优良,优良,金属材料、塑料,高,小型,每年,中等,较便捷,10000,小时,中科院物理研究所,https://www.iphy.cas.cn,2024-09-25,,
超短脉冲激光器,1030 nm,20-28%,500,W,1,优秀,优秀,良好,金属切割、焊接,高,大型,每年,较低,比较便捷,15000,小时,人民政府科技发展办公室,https://www.gov.cn,2024-09-25,,
紫外激光器,355 nm,15-25%,800,W,>2.5,一般,较差,差,表面处理、打标,中,小型,每半年,中等,便捷,20000,小时,中国电子学会,https://www.cie.org.cn,2024-09-25,,
钕激光器,1064 nm,18-30%,2500,W,1,优秀,良好,较好,金属、塑料、光学材料,中,中型,每年,中等,较便捷,12000,小时,中国科学院光电技术研究所,https://www.ioe.cas.cn,2024-09-25,,
双波长激光器,1064 nm / 532 nm,30-40%,2200,W,1.3,优良,优秀,优秀,金属、陶瓷、复合材料,高,小型,每年,高,便捷,15000,小时,国际激光技术协会,https://www.laserinstitute.org,2024-09-25,,
连续波激光器,940 nm,15-20%,1000,W,1.4,良好,优良,优秀,塑料、薄膜、金属,低,中型,每年,较高,较便捷,18000,小时,电子信息科学与技术部,https://www.mii.gov.cn,2024-09-25,,
高功率光纤激光器,1070 nm,25-35%,5000,W,1.6,良好,中等,良好,金属、陶瓷,中,大型,每年,中等,较便捷,8000,小时,中国激光器行业协会,https://www.clba.org.cn,2024-09-25,,
极紫外激光器,13.5 nm,35-50%,3000,W,1.1,优秀,优良,优秀,金属、塑料、玻璃,高,中型,每半年,高,非常便捷,12000,小时,中国材料研究会,https://www.cmrit.org,2024-09-25,,
环保型激光器,1050 nm,40-50%,1800,W,2,一般,较好,中等,金属、塑料,中,大型,每年,较高,便捷,7000,小时,国家能源局,https://www.nea.gov.cn,2024-09-25,,
紫外激光器,355 nm,25-35%,1500,W,<1.2,优良,优秀,优秀,金属、大厚度材料,高,中型,每年,中等,方便,25000,小时,中国激光技术应用协会,https://www.clta.org.cn,2024-09-25,,
双波长激光器,808 nm，1064 nm,22-28%,2500,W,1.5,优秀,较差,较好,特殊金属、半导体材料,极高,大型,每年,高,复杂,15000,小时,半导体制造国际组织,https://www.semi.org,2024-09-25,,
新型钛宝石激光器,700-1000 nm,35-45%,2000,W,1.2,良好,优良,优秀,金属、再生材料,中,中型,每年,中等,便捷,20000,小时,绿色激光技术研究院,https://www.greenlaser.org,2024-09-25,,
绿色激光器,532 nm,15-20%,600,W,1.1,优良,优秀,良好,金属、塑料、玻璃,中,中型,每年,较高,便捷,10000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
钕激光器,1064 nm,18-25%,1800,W,1.4,良好,优良,优秀,金属、复合材料,高,大型,每年,中等,较便捷,15000,小时,全国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
激光二极管,780-850 nm,50-60%,100,W,1.6,优秀,中等,良好,金属、陶瓷、塑料,中,中型,每年,中等,便捷,8000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
固态激光器,1064 nm,25-30%,5000,W,1.9,一般,较差,良好,塑料、纸张、皮革,低,小型,每半年,较低,较便捷,5000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
二氧化碳激光器,10.6 µm,10-12%,4000,W,1.3,良好,优良,优秀,金属、固体材料,高,大型,每年,较高,较便捷,12000,小时,中国产业链研究中心,https://www.chinacic.com,2024-09-25,,
光子晶体激光器,600 nm,30-50%,300,W,>2.0,一般,较差,一般,打标、表面处理,中,小型,每季度,较高,非常便捷,40000,小时,电气和电子工程师协会,https://www.ieee.org,2024-09-25,,
固态激光器,532 nm,25-35%,750,W,1.1,优良,优秀,优良,金属、复合材料、塑料,高,大型,每年,中等,便捷,20000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
紫外激光器,355 nm,15-25%,2000,W,1.8,良好,优良,良好,金属、非金属,中,大型,每年,中等,便捷,7000,小时,发改委,https://www.ndrc.gov.cn,2024-09-25,,
超短脉冲激光器,800 nm,10-20%,500,W,1.2,优良,优良,优秀,生物材料、金属,中,小型,每年,较低,非常便捷,10000,小时,光电科学技术研究院,https://www.cst.com.cn,2024-09-25,,
绿光激光器,515 nm,20-30%,1500,W,1.3,优良,优秀,良好,金属、塑料,高,中型,每年,较中等,较便捷,15000,小时,中国光学学会,https://www.chineseoptics.org,2024-09-25,,
高功率光纤激光器,1070 nm,35-45%,5000,W,1.1,优秀,中等,优秀,金属、陶瓷、复合材料,高,中型,每年,较高,非常便捷,12000,小时,广州激光设备协会,https://www.gzlaser.org,2024-09-25,,
长波激光器,10600 nm,6-9%,2000,W,<1.5,优良,优秀,优良,金属、塑料、薄膜,中,小型,每年,较低,非非常便捷,8000,小时,国家科学技术部,https://www.most.gov.cn,2024-09-25,,
便携式激光器,450 nm,10-15%,100,W,1.6,良好,中等,优秀,金属、木材,中,大型,每六个月,较中等,便捷,6000,小时,国际激光技术协会,https://www.laser.org,2024-09-25,,
蓝色激光器,450 nm,15-25%,800,W,<1.4,优秀,优秀,优秀,金属,高,中型,每年,较低,非常便捷,30000,小时,光电行业协会,https://www.optics.org,2024-09-25,,
脉冲激光器,1064 nm,25-35%,1200,W,1.8,一般,中等,良好,非金属、塑料,低,大型,每年,中等,较便捷,6000,小时,中国科学院激光物理研究所,https://www.ihp.ac.cn,2024-09-25,,
青光激光器,450 nm,25-35%,800,W,2,一般,差,中等,打标材料、表面处理,中,小型,每半年,较高,便捷,5000,小时,中国市场监督管理局,https://www.samr.gov.cn,2024-09-25,,
固态激光器,532 nm,15-25%,1200,W,1.9,良好,优秀,较好,金属、陶瓷,高,中型,每年,中等,便捷,12000,小时,电子行业发展研究院,https://www.electronics.org.cn,2024-09-25,,
脉冲激光器,1064 nm,25-30%,1500,W,1.4,优良,优秀,良好,金属、塑料、木材,高,中型,每年,中等,较便捷,10000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
蓝光激光器,445 nm,20-30%,700,W,<1.2,优良,良好,良好,塑料、金属,中,中型,每年,中等,较便捷,10000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
高功率光纤激光器,1050 nm,35-45%,5000,W,1.3,优良,中等,优秀,金属切割、机加工,高,大型,每年,较高,较便捷,8000,小时,国际光学工程学会,https://www.spiedigitallibrary.org,2024-09-25,,
便携式激光器,650 nm,10-15%,300,W,1.1,优良,优秀,中等,金属、陶瓷,高,小型,每半年,较低,非常便捷,7000,小时,先进制造技术研究院,https://www.amti.org.cn,2024-09-25,,
深紫外激光器,266 nm,15-20%,500,W,1.5,良好,中等,优秀,塑料、金属,高,小型,每年,中等,较便捷,15000,小时,中国科学院光电研究所,http://www.ioa.cas.cn,2024-09-25,,
超短脉冲激光器,790 nm,20-30%,4000,W,<1.1,优秀,优秀,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000,小时,现代制造技术与装备,https://www.modernmachinery.com,2024-09-25,,
纳米激光器,405 nm,15-20%,600,W,>1.5,一般,较差,良好,表面处理、打标,中,小型,每半年,较高,便捷,6000,小时,中国制造业协会,https://www.cmma.org.cn,2024-09-25,,
光纤激光器,1080 nm,35-45%,4000,W,<1.3,优良,良好,优良,塑料、陶瓷,中,中型,每年,较高,较便捷,8000,小时,全球激光器技术研讨会,http://www.lasercouncil.org,2024-09-25,,
固体激光器,532 nm,10-12%,1500,W,<1.1,优秀,优秀,优秀,金属、非金属,高,大型,每年,中等,非常便捷,15000,小时,机器人与自动化系统国际会议,https://www.icra.org,2024-09-25,,
紫外激光器,355 nm,19-25%,800,W,>1.5,一般,中等,较差,标记、印刷,中,小型,每半年,较高,便捷,5000,小时,新型激光技术研究中心,http://www.novel-laser-tech.org,2024-09-25,,
CO2激光器,10.3 µm,9-11%,1200,W,<1.5,优秀,优良,优秀,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,25000,小时,全球激光技术论坛,https://www.world-laser.com,2024-09-25,,
半导体激光器,850-1060 nm,45-55%,700,W,1.8,良好,中等,良好,金属、玻璃,中,大型,每年,高,便捷,8000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
YAG激光器,940 nm,22-32%,2500,W,1.2,优良,优秀,优良,塑料、陶瓷、金属,中,小型,每半年,中等,非常便捷,12000,小时,国家半导体激光产业技术创新战略联盟,https://www.fab.org.cn,2024-09-25,,
可调激光器,700-1100 nm,15-20%,1000,W,1.6,优良,优秀,中等,非金属,低,大型,每年,中等,较便捷,6000,小时,北京激光研究中心,http://www.bjlaser.org,2024-09-25,,
NASA激光器,1064 nm,28-34%,3500,W,>2.0,一般,较差,优秀,电子元件、打标,中,超小型,每年,中等,便捷,35000,小时,国家工业信息技术中心,https://www.miit.gov.cn,2024-09-25,,
太赫兹激光器,0.1-1 mm,5-7%,300,W,1.3,优秀,优良,优秀,金属切割、焊接,高,大型,每年,较高,较便捷,12000,小时,中国激光设备管理协会,https://www.cla.org.cn,2024-09-25,,
光纤激光器,1064 nm,25-35%,4000,W,1.5,良好,中等,良好,多种金属、塑料,中,中型,每半年,较高,一般,5000,小时,中国激光学会,http://www.chinalaser.org.cn,2024-09-25,,
CO2激光器,10.6 µm,10-12%,2000,W,1,优良,优秀,非常优秀,高强度合金,高,中型,每年,中等,便利,20000,小时,美国国家航空航天局,https://www.nasa.gov,2024-09-25,,
YAG激光器,1064 nm,18-28%,2500,W,>2.0,一般,较差,较差,非金属、半导体,低,大型,每年,较高,较便捷,2000,小时,国际激光技术研究中心,http://www.iltrc.org,2024-09-25,,
半导体激光器,780-800 nm,45-55%,300,W,1,优秀,优秀,良好,金属、塑料、陶瓷,高,中型,每年,中等,较便捷,10000,小时,工业激光杂志,https://www.laserfocusworld.com,2024-09-25,,
超短脉冲激光器,1030 nm,20-30%,1000,W,<1.2,优良,优秀,优秀,金属切割、焊接、3D打印,高,小型,每年,中等,非常便捷,25000,小时,全球激光协会,https://www.laser.org,2024-09-25,,
钕激光器,1064 nm,18-30%,1500,W,1.5,良好,优良,良好,非金属切割、雕刻,低,大型,每年,中等,较便捷,7000,小时,中国激光产业研究院,https://www.clia.org.cn,2024-09-25,,
光子晶体激光器,980 nm,30-40%,600,W,1.2,优秀,良好,优秀,金属、合金,中,中型,每年,较高,较便捷,12000,小时,中国科技部,https://www.most.gov.cn,2024-09-25,,
光声激光器,1550 nm,10-20%,800,W,>1.7,一般,中等,良好,打标、表面处理,中,小型,每半年,中等,便捷,25000,小时,中国半导体激光技术协会,https://www.slt.org.cn,2024-09-25,,
超快激光器,800 nm,15-20%,1200,W,1.1,优良,优秀,良好,电子元件、纳米材料,高,大型,每年,较高,较便捷,5000,小时,中国纳米技术研究所,https://www.nanoscience.cn,2024-09-25,,
青铜激光器,532 nm,30-40%,2500,W,1.5,良好,良好,优秀,金属、塑料,中,中型,每年,中等,较便捷,8000,小时,中国激光技术研究院,https://www.laser.radiation.cn,2024-09-25,,
高功率固态激光器,1064 nm,25-35%,5000,W,<1.4,优良,优良,良好,金属、聚合物,高,小型,每年,较低,非常便捷,15000,小时,中国电子科技集团,https://www.cetc.gov.cn,2024-09-25,,
直流激光器,616 nm,20-30%,800,W,1.4,一般,中等,良好,医疗器械、薄膜,中,大型,每年,高,便捷,6000,小时,中国生物医学工程学会,https://www.cmb.com.cn,2024-09-25,,
数字激光器,940 nm,30-45%,1000,W,1,优良,优秀,优良,塑料、金属、玻璃,中,中型,每年,较高,较便捷,7000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
高频激光器,1064 nm,35-45%,3000,W,<1.1,优秀,良好,优秀,金属、陶瓷,中,中型,每年,中等,较便捷,8000,小时,中科院光电技术研究所,https://www.ioe.ac.cn,2024-09-25,,
高亮度激光器,515 nm,20-25%,4000,W,1.3,良好,优秀,良好,金属切割、焊接,高,小型,每年,较低,非常便捷,9000,小时,国际激光研究院,https://www.laser-research.org,2024-09-25,,
微波激光器,1230 nm,28-33%,2500,W,1.1,优良,优秀,优秀,金属、合金,高,大型,每半年,较高,便捷,12000,小时,哈工大激光制造研究所,https://www.hust.edu.cn,2024-09-25,,
紫外激光器,355 nm,20%-25%,1500,W,1.5,一般,中等,良好,镀层金属、低熔点金属,中,小型,每年,中等,较便捷,6000,小时,中华全国工艺美术大师协会,https://www.craft-arts.org.cn,2024-09-25,,
氩激光器,488 nm,5%-7%,200,W,1.4,良好,优秀,优良,电子元件、光纤材料,中,中型,每年,较高,较便捷,10000,小时,国家光电技术检测中心,https://www.nemc.com.cn,2024-09-25,,
绿光激光器,532 nm,10%-15%,1000,W,1,优秀,良好,良好,碳钢、不锈钢,高,大型,每半年,较高,便捷,9000,小时,中国激光工业协会,https://www.clia.org.cn,2024-09-25,,
超快激光器,800 nm,25%-35%,500,W,1.2,优良,优秀,优秀,铝、钛合金,高,中型,每年,中等,较便捷,15000,小时,国家重大科技项目办公室,https://www.most.gov.cn,2024-09-25,,
