细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光制造,深圳华创激光科技有限公司,350,1-5000,5-400,12,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,广州星辰激光设备有限公司,250,1-3000,10-600,3,≤1.6,广州科技局,http://www.gzst.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,成都华塑激光科技有限公司,600,1-10000,10-250,6,≤1.3,成都高新技术产业开发区管理委员会,http://www.chengdu.gov.cn,2024-09-25,,,,,,,,,,
激光打标,杭州晨星激光科技有限公司,180,1-4500,5-300,4,≤1.4,浙江省科技厅,http://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光切割,南京维尔激光有限公司,800,1-7000,6-400,7,≤1.1,南京市工业和信息化局,http://www.nanjing.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉福瑞激光科技有限公司,200,1-2500,10-500,5,≤1.3,武汉市质量技术监督局,http://www.wuhan.gov.cn,2024-09-25,,,,,,,,,,
激光添加制造,天津华盛激光科技有限公司,400,1-6000,10-450,10,≤1.5,天津市科技委员会,http://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光检测,上海未来激光科技有限公司,150,1-3500,8-300,2,≤1.4,上海市市监局,http://www.shanghai.gov.cn,2024-09-25,,,,,,,,,,
激光医用,北京医疗激光科技有限公司,100,1-1250,5-250,1.8,≤1.2,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光破解,厦门乐激光科技有限公司,300,1-8000,12-400,9,≤1.7,福建省电子信息局,http://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,广州光明激光科技有限公司,250,1-3500,5-450,10,≤1.5,中国光学学会,https://www.optics.org.cn,2024-09-25,,,,,,,,,,
激光切割,深圳宇光激光科技有限公司,400,1-5000,10-250,20,<1.3,中国激光行业协会,http://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,西安精密激光有限公司,320,1-4500,8-400,12,≤1.6,陕西省科技厅,http://www.sxst.gov.cn,2024-09-25,,,,,,,,,,
激光光谱分析,天津激光系统有限公司,180,2-6000,15-500,5,≤1.4,国家科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,成都云光激光装备有限公司,100,1-2000,20-350,8,<1.5,成都市人民政府,http://www.chengdu.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,浙江佑星激光科技有限公司,600,1-7000,10-300,35,≤1.2,浙江省经济和信息化厅,http://jxj.zj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,杭州华光激光设备有限公司,250,1-4500,5-400,18,≤1.6,浙江省科技创新委员会,http://kjt.zhejiang.gov.cn,2024-09-25,,,,,,,,,,
激光处理,武汉光华激光科技有限公司,200,2-5000,15-350,7,<1.4,武汉市科技局,http://www.wuhan.gov.cn,2024-09-25,,,,,,,,,,
激光整形,南京激光科技研究所,150,1-4000,10-500,6,≤1.3,江苏省发展改革委员会,http://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光切割,无锡市激光工程有限公司,500,1-6000,10-300,25,≤1.5,无锡市科技局,http://www.wuxi.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,深圳华星激光科技有限公司,250,1-4500,10-520,12,≤1.6,中国光学学会,https://www.cmos.org.cn,2024-09-25,,,,,,,,,,
激光切割,广州光华激光设备有限公司,350,1-5000,8-400,20,≤1.3,广州市科技局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光制造,上海锐锋激光系统有限公司,300,1-3500,5-600,18,≤1.4,中国仪器仪表学会,https://www.cnis.org.cn,2024-09-25,,,,,,,,,,
激光焊接,沈阳激光科技集团,400,1-4000,15-450,10,≤1.5,辽宁省科技厅,https://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京博健激光科技,200,1-3000,2-500,8,≤1.2,江苏省发改委,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光添加制造,浙江鹰扬激光有限公司,450,1-6000,10-550,25,≤1.3,浙江省科学技术协会,https://www.zjsta.gov.cn,2024-09-25,,,,,,,,,,
激光打标,武汉激光加工技术研究院,180,1-3500,3-480,6,≤1.4,湖北省发展和改革委员会,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,北京深蓝激光科技有限公司,120,1-2500,5-300,3,≤1.4,北京市科学技术委员会,https://www.beijing.gov.cn,2024-09-25,,,,,,,,,,
激光光源,长沙光明激光技术有限公司,320,1-4200,12-500,15,≤1.25,湖南省工业和信息化厅,https://www.hunan.gov.cn,2024-09-25,,,,,,,,,,
工业激光,成都聚合激光科技公司,500,1-5000,10-400,30,≤1.3,四川省科技厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳华达激光科技有限公司,400,1-5000,5-400,20,≤1.6,中国机械工程学会,https://www.cmes.org,2024-09-25,,,,,,,,,,
激光加工,武汉光影激光设备有限公司,350,1-7000,10-300,12,≤1.4,自动化设备信息网,https://www.autoequip.com,2024-09-25,,,,,,,,,,
激光打标,广州宇航激光科技有限公司,250,1-6500,3-500,8,≤1.5,广东省质量技术监督局,https://www.gdqa.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京激光科技有限公司,200,1-2500,10-350,5,≤1.3,中国环境科学学会,https://www.cnesc.org.cn,2024-09-25,,,,,,,,,,
激光焊接,重庆锐志激光技术有限公司,600,1-3200,5-500,30,≤1.2,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光切割,郑州明宇激光科技有限公司,450,1-5500,15-450,25,≤1.1,河南省科技厅,https://www.hnkj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,上海朗扬激光科技有限公司,700,1-3000,7-400,50,≤1.5,中国激光协会,https://www.chinalaser.org.cn,2024-09-25,,,,,,,,,,
激光驱动,天津光电技术发展有限公司,550,1-4200,10-360,28,≤1.8,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洁,合肥激光清洗科技有限公司,100,1-1800,5-200,2,≤1.3,合肥市科技局,https://www.hf.gov.cn/kjj,2024-09-25,,,,,,,,,,
激光加工,青岛威达激光科技有限公司,350,1-6000,10-500,18,≤1.4,中国制造业协会,https://www.cmia.net.cn,2024-09-25,,,,,,,,,,
激光制造,武汉光电科技有限公司,350,1-5000,8-400,20,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洗,西安新星激光技术有限公司,200,1-2500,2-350,3,≤1.5,陕西省科技厅,https://www.snst.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州杰出激光器有限公司,180,1-3000,5-200,>1.8,<1.6,广州市工业和信息化局,http://gzi.gov.cn/,2024-09-25,,,,,,,,,,
激光加工,重庆瑞能激光科技有限公司,400,1-7000,1-600,>2.5,≤1.3,重庆市经济和信息化委,http://jxj.cq.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,深圳强光激光设备有限公司,480,1-3500,10-450,>6,≤1.4,深圳市科技创新委员会,http://www.szsti.gov.cn,2024-09-25,,,,,,,,,,
激光制造,浙江激光创业投资有限公司,320,1-5500,4-300,10,≤1.1,浙江省科技厅,http://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津光明激光机械装备有限公司,160,1-4000,5-500,>1.2,<1.7,天津市科学技术局,http://kst.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京蓝天科技有限公司,220,1-1800,3-400,>1.6,≤1.4,南京市科学技术局,http://www.nanjing.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,安徽新生激光设备有限公司,450,1-3000,10-500,>5.5,≤1.3,安徽省经济和信息化厅,http://jxj.ah.gov.cn,2024-09-25,,,,,,,,,,
激光加工,河南智创激光科技有限公司,280,1-4000,5-250,>2.2,≤1.5,河南省科技厅,http://www.henan.gov.cn,2024-09-25,,,,,,,,,,
激光标刻,深圳市瑞尔激光科技有限公司,250,1-3500,15-550,12,≤1.6,国家科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广东中科激光有限公司,450,1-5000,8-400,20,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉光电科技有限公司,100,1-2400,10-250,3,≤1.1,商务部,https://www.mofcom.gov.cn,2024-09-25,,,,,,,,,,
激光光加工,青岛精工激光技术有限公司,350,1-4800,12-500,18,≤1.4,中国工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,河南省激光科技研究所,600,1-3300,5-350,7,≤1.3,中国机械工业联合会,https://www.cmif.cn,2024-09-25,,,,,,,,,,
激光雕刻,浙江杰克激光科技有限公司,200,1-4200,6-200,10,≤1.5,中国电子科技集团,https://www.cetc.com.cn,2024-09-25,,,,,,,,,,
激光打孔,江苏瑞鑫激光有限公司,175,1-2900,10-300,4.5,≤1.7,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光熔覆,福建省激光技术有限公司,380,1-3700,5-450,11,≤1.2,中国材料研究学会,https://www.c-mrs.org.cn,2024-09-25,,,,,,,,,,
激光修复,四川华光激光科技有限公司,225,1-3100,8-480,6,≤1.4,中国航空工业集团,https://www.avic.com,2024-09-25,,,,,,,,,,
激光表面处理,天津维尔激光科技有限公司,300,1-3400,10-350,5.5,≤1.8,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉光谷激光技术有限公司,250,1-5000,5-450,12,≤1.6,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光加工,广东美信激光科技有限公司,350,1-6000,10-400,>3.5,<1.5,中国工业和信息化网,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光打标,深圳精创激光有限公司,180,1-4000,3-250,>2.8,≤1.4,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州新锐激光科技有限公司,120,1-1500,8-320,>1.2,≤1.1,中国环保部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安光电科技有限公司,450,1-3500,8-350,>6,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光制造,南京华光激光科技有限公司,400,1-4800,10-500,14,≤1.5,中国制造业信息网,https://www.cmiic.org,2024-09-25,,,,,,,,,,
激光加工,上海新锐激光技术有限公司,350,1-6200,5-450,>4,<1.7,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光打标,成都蓝海激光科技有限公司,250,1-5200,4-400,>2.5,≤1.6,深圳市科技局,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,青岛世博激光科技有限公司,100,1-1000,6-280,>0.9,≤1.0,中国清洁行业协会,https://www.china-clean.org,2024-09-25,,,,,,,,,,
激光焊接,南宁创新激光有限公司,600,1-4000,10-450,>7,≤1.2,广西科技厅,https://www.gxst.gov.cn,2024-09-25,,,,,,,,,,
激光科技,深圳光电科技有限公司,350,1-4500,5-600,20,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光制造,广州精科激光设备有限公司,400,1-5000,10-800,25,≤1.4,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州天毅激光科技有限公司,600,1-3500,5-300,30,≤1.5,浙江省发展和改革委员会,http://www.zjdrc.gov.cn,2024-09-25,,,,,,,,,,
激光打标,南京锐意激光科技有限公司,250,1-4000,8-500,10,≤1.3,江苏省科学技术厅,http://www.jskst.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,福州新时代激光技术有限公司,200,1-2500,5-400,12,≤1.6,福建省工业和信息化厅,http://www.fjxxgk.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津伟创激光科技股份有限公司,550,1-6000,10-350,40,≤1.3,天津市科技局,http://www.tjkj.gov.cn,2024-09-25,,,,,,,,,,
激光应用,成都新光科技有限公司,300,1-4500,20-600,15,≤1.2,四川省经济和信息化厅,http://www.scji.gov.cn,2024-09-25,,,,,,,,,,
激光制造,西安高科激光有限公司,370,1-4800,10-500,18,≤1.4,陕西省科技厅,http://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光加工,哈尔滨中创激光科技有限公司,250,1-5000,5-600,9,≤1.2,黑龙江省科学技术厅,http://www.hljst.gov.cn,2024-09-25,,,,,,,,,,
激光科研,沈阳金辉激光研究所,450,1-5000,15-700,35,≤1.3,辽宁省发展和改革委员会,http://www.lndrc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳光电技术有限公司,400,1-5000,5-250,20,≤1.1,中国光纤激光器产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光加工,杭州宇威激光科技有限公司,350,1-4500,10-400,12,<1.5,浙江省科技厅,https://www.zjst.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州智先激光有限公司,250,1-6000,1-300,5,≤1.4,广州市市场监督管理局,http://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京高能激光设备制造有限公司,200,1-3000,5-350,3,≤1.3,江苏省经济和信息化委员会,https://jxj.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津天创激光科技有限公司,600,1-7000,10-450,10,≤1.2,天津市科学技术局,https://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,成都瑞德激光技术有限公司,180,1-3500,20-300,4,≤1.6,四川省卫生健康委员会,http://www.scwst.gov.cn,2024-09-25,,,,,,,,,,
激光印刷,上海明锐激光科技有限公司,320,1-4000,10-500,8,<1.7,上海市经济和信息化委员会,http://www.shanghai.gov.cn,2024-09-25,,,,,,,,,,
激光检测,武汉高精激光科技有限公司,350,1-5000,5-200,6,≤1.5,湖北省质量技术监督局,http://www.hbqs.gov.cn,2024-09-25,,,,,,,,,,
激光切割,西安锐捷激光有限公司,550,1-6000,10-300,15,<1.4,陕西省科学技术厅,http://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光外科,福州维诺激光技术有限公司,220,1-3500,20-280,7,≤1.5,福建省医疗保障局,http://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,深圳雷科激光技术有限公司,350,1-5000,5-450,20,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光检测,杭州光智科技有限公司,180,1-4000,10-300,8,≤1.4,浙江省市场监督管理局,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,广州激光科技有限公司,250,1-6000,20-350,3,<1.5,广州市科学技术局,http://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光切割,武汉天马激光有限公司,400,1-3000,10-500,18,≤1.3,武汉市经济和信息化局,http://www.wuhan.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,上海阳光激光科技股份有限公司,220,1-7000,5-200,4,≤1.6,国家药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光涂层,成都先锋激光技术公司,320,1-3500,7-400,12,≤1.5,四川省经济和信息化厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光智能制造,宁波创星激光系统有限公司,450,1-8000,15-300,25,≤1.1,宁波市科技局,http://www.ningbo.gov.cn,2024-09-25,,,,,,,,,,
激光光通信,苏州智恒光电科技有限公司,275,1-6000,10-250,5,<1.4,苏州市信息技术局,http://www.suzhou.gov.cn,2024-09-25,,,,,,,,,,
激光自动化,沈阳天华激光材料技术有限公司,360,1-4000,8-350,10,≤1.3,辽宁省工业和信息化厅,http://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光环保,青岛海洋激光科技有限公司,200,1-5000,12-450,6,≤1.2,山东省环保局,http://www.sd.gov.cn,2024-09-25,,,,,,,,,,
激光测量,深圳创维激光科技有限公司,250,1-5000,5-400,10,≤1.6,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光切割,广州嘉锐激光设备有限公司,400,1-7000,8-350,20,<1.5,中华人民共和国国家标准化管理委员会,http://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光3D打印,杭州吉利激光技术有限公司,600,1-3000,10-450,12,≤1.7,IEEE激光与光子学杂志,https://ieeexplore.ieee.org,2024-09-25,,,,,,,,,,
激光照明,天津激翔科技有限公司,180,1-5500,6-500,14,<1.4,国际激光技术论坛,https://www.laserforum.org,2024-09-25,,,,,,,,,,
激光测距,重庆鹰潭科技股份有限公司,320,1-4500,4-300,9,≤1.5,中国科学院激光物理研究所,https://www.iap.cas.cn,2024-09-25,,,,,,,,,,
激光医疗,西安医学激光技术中心,200,1-6000,2-250,5,≤1.2,中国医学科学院,http://www.cams.cn,2024-09-25,,,,,,,,,,
激光清洗,宁波维尔激光科技有限公司,120,1-3000,5-350,3,≤1.8,中国工程院,http://www.cae.cn,2024-09-25,,,,,,,,,,
激光表面处理,无锡新翎激光科技公司,390,1-4800,10-400,35,<1.6,工业激光应用期刊,https://www.industrial-lasers.com,2024-09-25,,,,,,,,,,
激光焊接,福建德诺激光科技有限公司,450,1-3500,8-500,25,≤1.3,国家技术标准委员会,http://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光3D打印,空山云激光科技有限公司,700,1-6100,3-350,40,≤1.4,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳优创激光科技有限公司,350,1-5000,5-400,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光检测,武汉光锐科技有限公司,250,1-3500,10-450,12,≤1.5,武汉科技大学,https://www.whut.edu.cn,2024-09-25,,,,,,,,,,
激光熔化沉积,南京光机电科技有限公司,600,1-7000,15-300,8,≤1.3,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,广州激光科技股份有限公司,750,1-4500,20-600,25,≤1.4,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,哈尔滨光华激光技术有限公司,180,1-1500,5-350,3,≤1.2,黑龙江省科技厅,http://www.hljst.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,成都创意激光有限公司,400,1-6000,10-500,10,≤1.6,四川省科学技术厅,http://www.science.sichuan.gov.cn,2024-09-25,,,,,,,,,,
激光打标,北京光辉激光有限公司,220,1-4000,8-200,5,≤1.7,北京市科学技术委员会,http://www.bjkw.gov.cn,2024-09-25,,,,,,,,,,
激光切割,青岛青光激光科技有限责任公司,900,1-8000,15-400,30,≤1.3,青岛经济技术开发区,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光医学,天津医康激光科技有限公司,150,1-2500,5-200,1.5,≤1.4,天津市卫生健康委员会,http://www.tjwst.gov.cn,2024-09-25,,,,,,,,,,
激光材料处理,厦门蓝海激光科技股份有限公司,500,1-6000,10-300,20,≤1.1,厦门市科技局,http://www.xm.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,深圳激光科技有限公司,250,1-5000,8-400,3,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光打标,广州华光激光,220,1-3000,5-300,4.5,≤1.7,中国制造网,https://www.made-in-china.com,2024-09-25,,,,,,,,,,
激光焊接,杭州蓝星激光设备有限公司,450,1-3500,10-350,6,≤1.6,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光切割,宁波激光技术有限公司,400,1-6000,10-500,5,≤1.5,浙江省经济和信息化厅,http://jxj.zj.gov.cn,2024-09-25,,,,,,,,,,
激光制造,北京精华激光,350,1-4000,15-450,12,≤1.4,北京科技局,http://www.bjkw.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,成都创建光电科技有限公司,180,1-2000,5-250,2.5,≤1.1,四川省科技厅,http://www.sckj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津华耀激光科技,260,1-4500,2-400,3.8,≤1.3,天津市工信局,http://gxt.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光加工,厦门睿强激光有限公司,300,1-5500,10-350,7,≤1.4,福建省科技厅,http://kjt.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安光电科技有限公司,420,1-3000,15-500,8.5,≤1.5,陕西省科学技术厅,http://kjt.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光切割,武汉激光工业有限公司,480,1-5500,5-400,10,≤1.3,湖北省科技厅,http://kjt.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳市宏利激光科技有限公司,350,1-5000,8-400,10,≤1.5,中国激光联合会,https://www.clf.org.cn,2024-09-25,,,,,,,,,,
激光熔覆,天津天弘激光技术有限公司,450,1-7000,10-500,20,≤1.3,中国制造业信息化推进领导小组,https://www.cmmit.com,2024-09-25,,,,,,,,,,
激光增材制造,广州凯光激光科技股份有限公司,600,1-8000,15-450,30,≤1.6,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光检测,杭州红外科技有限公司,250,1-5000,7-350,8,≤1.4,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洗,南京光智激光科技有限公司,200,1-3000,10-200,5,≤1.2,中国物理学会,https://www.cps.org.cn,2024-09-25,,,,,,,,,,
激光焊接,上海国际激光科技公司,700,1-6000,15-500,35,≤1.7,中国激光产业人才网,https://www.cltalent.com,2024-09-25,,,,,,,,,,
激光穿孔,四川省激光科技有限公司,250,1-4000,5-250,3,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光微加工,珠海伟创激光技术公司,450,1-5500,10-300,12,≤1.6,中国材料研究学会,https://www.mrs.org.cn,2024-09-25,,,,,,,,,,
激光医疗,人福科技股份有限公司,125,1-8000,1-50,2,≤1.1,中国医疗器械协会,https://www.cmda.net,2024-09-25,,,,,,,,,,
激光配件,武汉光铭激光用品有限公司,120,1-2000,3-300,1.8,≤1.2,全国激光技术论坛,https://www.laserforum.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市瑞光激光科技有限公司,350,1-5000,5-400,20,≤1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,广州金辉激光设备有限公司,400,1-3500,10-450,8,≤1.6,广东省经济和信息化委员会,https://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光加工,西安光电技术研究所,250,1-6000,15-500,12,<1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光打标,杭州卫士激光科技有限公司,150,1-4000,5-200,3,≤1.3,浙江省科学技术厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,无锡明源激光科技有限公司,100,1-3000,10-300,1,<1.2,江苏省工业和信息化厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光材料加工,天津市雷博激光有限公司,600,1-7000,8-600,10,≤1.4,天津市科技局,https://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,青岛迅智激光装备有限公司,350,1-4500,10-400,6,<1.7,山东省发展改革委员会,https://www.shandong.gov.cn,2024-09-25,,,,,,,,,,
激光制造,福州博瑞激光设备有限公司,450,1-6000,15-550,14,≤1.5,福建省科技厅,https://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,重庆激光科技有限公司,200,1-2500,5-250,2,≤1.2,重庆市经济和信息化委员会,https://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光标记,沈阳新光激光设备有限公司,120,1-5000,4-300,2.5,≤1.4,辽宁省经济和信息化委员会,https://www.ln.gov.cn,2024-09-25,,,,,,,,,,
