机器人类型,前进速度,单位,倒退速度,单位,加速速度,单位,减速速度,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,,
物流机器人,2.2,m/s,0.8,m/s,3,m/s,1.5,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,2.5,m/s,1,m/s,3.2,m/s,2,m/s,字符型,北京航空航天大学,https://www.buaa.edu.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.8,m/s,0.7,m/s,2.1,m/s,1,m/s,字符型,上海科技大学,https://www.shanghaitech.edu.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.9,m/s,0.5,m/s,2.3,m/s,1.2,m/s,字符型,阿里巴巴研究院,https://www.alibabaresearch.com,2024-09-23,,,,,,,,,,,
教育机器人,1.5,m/s,0.4,m/s,1.5,m/s,0.9,m/s,字符型,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,3,m/s,1.2,m/s,4.5,m/s,1.8,m/s,字符型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,国家标准化管理委员会,http://www.sac.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,4,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,全国农业技术推广服务中心,http://www.natesc.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,1.2,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,中国卫生信息与健康医疗大数据学会,https://www.cihm.org,2024-09-23,,,,,,,,,,,
救援机器人,1.6,m/s,0.5,m/s,2.2,m/s,1,m/s,字符型,中国红十字会,http://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1,m/s,0.3,m/s,1.4,m/s,0.7,m/s,字符型,京东科技研究院,https://www.jd.com,2024-09-23,,,,,,,,,,,
移动机器人,2.1,m/s,0.7,m/s,2.8,m/s,1.4,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
清洁机器人,1.7,m/s,0.4,m/s,2.2,m/s,1.1,m/s,字符型,中国家电协会,https://www.cheaa.com,2024-09-23,,,,,,,,,,,
手术机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3.2,m/s,1.5,m/s,字符型,中国电子商会,https://www.cecc.org.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,1.3,m/s,0.5,m/s,1.6,m/s,0.9,m/s,字符型,国家市场监管总局,https://www.samr.gov.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.8,m/s,0.6,m/s,2.3,m/s,1,m/s,字符型,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
贵金属探测机器人,1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国家矿产资源监督管理,https://www.mnr.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.4,m/s,0.6,m/s,1.9,m/s,1.2,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
人工智能机器人,2.3,m/s,0.9,m/s,3,m/s,1.4,m/s,字符型,人工智能产业发展联盟,https://www.aia.org.cn,2024-09-23,,,,,,,,,,,
水下机器人,1.6,m/s,0.7,m/s,2.1,m/s,1.3,m/s,字符型,国家海洋局,http://www.sea.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,0.7,m/s,3.5,m/s,1.3,m/s,字符型,中国物流与采购联合会,https://www.cfc.org.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,4,m/s,1,m/s,6,m/s,2,m/s,字符型,国家交通部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,1.8,m/s,0.5,m/s,2.2,m/s,1,m/s,字符型,中国智能家居产业发展联盟,https://www.chinasmart.com,2024-09-23,,,,,,,,,,,
搜救机器人,1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,2.2,m/s,0.6,m/s,3,m/s,1.1,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
环保机器人,3.5,m/s,1.2,m/s,4.5,m/s,1.8,m/s,字符型,生态环境部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
建设机器人,2,m/s,0.8,m/s,3,m/s,1.5,m/s,字符型,住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
恢复机器人,1.4,m/s,0.5,m/s,2,m/s,0.8,m/s,字符型,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
农业无人机,3,m/s,1,m/s,4,m/s,2,m/s,字符型,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.8,m/s,0.7,m/s,2.4,m/s,1.2,m/s,字符型,中国智能物流产业发展促进会,https://www.clia.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,家电网,https://www.homeappliance.com.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.6,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.1,m/s,0.3,m/s,1.7,m/s,0.5,m/s,字符型,中国教育技术协会,https://www.cetcedu.org,2024-09-23,,,,,,,,,,,
探测机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,0.7,m/s,0.2,m/s,1,m/s,0.4,m/s,字符型,国家广播电视总局,https://www.sapprft.gov.cn,2024-09-23,,,,,,,,,,,
无人驾驶汽车,3.5,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,交通运输部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国家电协会,https://www.cea.org.cn,2024-09-23,,,,,,,,,,,
灌溉机器人,2.2,m/s,0.6,m/s,3.2,m/s,1.3,m/s,字符型,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
助老机器人,1.4,m/s,0.5,m/s,2,m/s,0.8,m/s,字符型,国家民政部,https://www.mca.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国智能制造研究院,https://www.cime.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,上海市人工智能协会,https://www.shanghaiai.org,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.2,m/s,1.8,m/s,字符型,中国机器人产业技术创新战略联盟,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国际机器人协会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,农业科技发展中心,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.4,m/s,0.7,m/s,2.1,m/s,1,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,教育部科技司,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1.3,m/s,0.4,m/s,1.9,m/s,0.7,m/s,字符型,家电协会,https://www.appliance.org.cn,2024-09-23,,,,,,,,,,,
无人驾驶机器人,4,m/s,1.2,m/s,6,m/s,2.8,m/s,字符型,无人驾驶研究院,https://www.driverless.org,2024-09-23,,,,,,,,,,,
清扫机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,中国清洁协会,https://www.china-clean.org,2024-09-23,,,,,,,,,,,
物流机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.2,m/s,字符型,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-23,,,,,,,,,,,
家庭机器人,0.9,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,腾讯科技,https://tech.qq.com,2024-09-23,,,,,,,,,,,
探测机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.2,m/s,0.6,m/s,1.8,m/s,0.9,m/s,字符型,新华网,https://www.xinhuanet.com,2024-09-23,,,,,,,,,,,
建筑机器人,1.7,m/s,0.5,m/s,2.4,m/s,1.3,m/s,字符型,中国建筑科学研究院,https://www.cabr.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.4,m/s,0.7,m/s,2,m/s,1,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,0.8,m/s,0.3,m/s,1,m/s,0.4,m/s,字符型,游戏产业协会,http://www.cgigames.org,2024-09-23,,,,,,,,,,,
运输机器人,2.2,m/s,0.9,m/s,3,m/s,1.6,m/s,字符型,中国物流与采购联合会,https://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
养老机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,国家老龄办,http://www.cnand.gov.cn,2024-09-23,,,,,,,,,,,
水下机器人,1.9,m/s,0.8,m/s,2.5,m/s,1.4,m/s,字符型,中国海洋科技网,http://www.cmt.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.3,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
探索机器人,1,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-23,,,,,,,,,,,
家庭机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国家用电器协会,https://www.cheaa.com,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,0.9,m/s,3.2,m/s,1.6,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,1.6,m/s,0.5,m/s,2,m/s,1,m/s,字符型,消费者协会,https://www.cca.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.4,m/s,0.6,m/s,2.1,m/s,1,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国玩具和婴童用品协会,https://www.cttia.org.cn,2024-09-23,,,,,,,,,,,
安防机器人,1.9,m/s,0.8,m/s,2.4,m/s,1.2,m/s,字符型,国家安全生产监督管理总局,https://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
医疗辅助机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,
安防机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.3,m/s,字符型,腾讯科技,https://tech.qq.com,2024-09-23,,,,,,,,,,,
服务机器人,1.6,m/s,0.4,m/s,2.1,m/s,0.9,m/s,字符型,百度人工智能研究院,https://ai.baidu.com,2024-09-23,,,,,,,,,,,
清洁机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,京东科技,https://www.jd.com,2024-09-23,,,,,,,,,,,
教育机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,高等教育出版社,http://www.hep.com.cn,2024-09-23,,,,,,,,,,,
探测机器人,3.2,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,军事科学院,https://www.plaas.org.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.5,m/s,字符型,消费电子协会,https://www.cec.org.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.4,m/s,0.5,m/s,2,m/s,1,m/s,字符型,国家消防救援局,https://www.nfsa.gov.cn,2024-09-23,,,,,,,,,,,
农业无人机,4,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1,m/s,0.2,m/s,1.5,m/s,0.5,m/s,字符型,中国文化产业协会,http://www.ccia.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.3,m/s,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.6,m/s,0.5,m/s,2.1,m/s,1,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
家庭服务机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,家电协会,https://www.ceac.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.2,m/s,1.8,m/s,0.5,m/s,字符型,中国智能教育研究中心,https://www.edutech.org.cn,2024-09-23,,,,,,,,,,,
清扫机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,市政管理局,https://www.citymanagement.gov.cn,2024-09-23,,,,,,,,,,,
运输机器人,2.2,m/s,0.9,m/s,3,m/s,1.5,m/s,字符型,全国运输协会,https://www.transportation.org.cn,2024-09-23,,,,,,,,,,,
面向老年人的照护机器人,1.4,m/s,0.7,m/s,2,m/s,0.9,m/s,字符型,老龄办,https://www.ageing.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.9,m/s,0.8,m/s,2.8,m/s,1.2,m/s,字符型,中国地震局,https://www.csi.gov.cn,2024-09-23,,,,,,,,,,,
餐饮机器人,1.3,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,餐饮行业联合会,https://www.restaurantech.org.cn,2024-09-23,,,,,,,,,,,
社交陪伴机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.6,m/s,字符型,心理健康协会,https://www.psychology.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.4,m/s,1.2,m/s,字符型,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,市场研究机构,https://www.marketresearch.com,2024-09-23,,,,,,,,,,,
工业机器人,3.5,m/s,1.5,m/s,4,m/s,2.5,m/s,字符型,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,医学科技杂志,https://www.medicaljournal.com,2024-09-23,,,,,,,,,,,
农业机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,国家农业信息网,http://www.chinaagri.com,2024-09-23,,,,,,,,,,,
特种机器人,1.6,m/s,0.5,m/s,2.1,m/s,1,m/s,字符型,科学技术部,http://www.most.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,家电协会,https://www.cnas.org.cn,2024-09-23,,,,,,,,,,,
餐饮服务机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,中国饭店协会,https://www.chinahotel.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,2,m/s,0.8,m/s,2.8,m/s,1.3,m/s,字符型,城市安全研究中心,https://www.citysecurity.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.7,m/s,0.6,m/s,2.3,m/s,1.1,m/s,字符型,全球物流网,https://www.globallogistics.com,2024-09-23,,,,,,,,,,,
巡逻机器人,2.5,m/s,1,m/s,3.5,m/s,2,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1.8,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,城市管理委员会,https://www.cities.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,3,m/s,1.5,m/s,4,m/s,1.8,m/s,字符型,国家邮政局,https://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
家庭助手机器人,0.8,m/s,0.4,m/s,1.2,m/s,0.6,m/s,字符型,中华全国工商业联合会,https://www.acfic.org.cn,2024-09-23,,,,,,,,,,,
探测机器人,2.2,m/s,0.9,m/s,3,m/s,1.3,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
建设机器人,1.6,m/s,0.5,m/s,2.5,m/s,1,m/s,字符型,中华人民共和国住房和城乡建设部,https://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.4,m/s,0.6,m/s,1.8,m/s,0.7,m/s,字符型,文化和旅游部,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.7,m/s,0.6,m/s,2.4,m/s,1.1,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
医疗辅助机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
灾后救援机器人,2,m/s,0.75,m/s,3,m/s,1.5,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.3,m/s,字符型,国际物流协会,https://www.international-logistics.org,2024-09-23,,,,,,,,,,,
搜索与救援机器人,1.6,m/s,0.4,m/s,2.1,m/s,0.9,m/s,字符型,国家地震局,https://www.cea.gov.cn,2024-09-23,,,,,,,,,,,
智能清洁机器人,1.3,m/s,0.5,m/s,1.9,m/s,0.7,m/s,字符型,清洁行业协会,https://www.cleaning-association.org,2024-09-23,,,,,,,,,,,
探测机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
家庭辅助机器人,1,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,家庭机器人产业协会,https://www.home-robotics.org,2024-09-23,,,,,,,,,,,
巡逻机器人,2.2,m/s,0.9,m/s,2.8,m/s,1.7,m/s,字符型,保安服务协会,https://www.security-services.org,2024-09-23,,,,,,,,,,,
教育机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.4,m/s,0.6,m/s,2,m/s,1.1,m/s,字符型,文化和旅游部,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
建筑机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,国家建筑标准设计研究院,https://www.mohurd.gov.cn,2024-09-23,,,,,,,,,,,
采矿机器人,2,m/s,0.5,m/s,3,m/s,1.4,m/s,字符型,国家矿业局,https://www.mnr.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1,m/s,字符型,清华大学机器人实验室,https://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,北京大学智能科学中心,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,2,m/s,字符型,工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.6,m/s,0.5,m/s,2,m/s,1.1,m/s,字符型,国防科技大学,https://www.nudt.edu.cn,2024-09-23,,,,,,,,,,,
智能巡逻机器人,2.2,m/s,0.9,m/s,3.1,m/s,1.4,m/s,字符型,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,环境保护部,https://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.9,m/s,0.3,m/s,1.6,m/s,0.5,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
无人配送机器人,1.9,m/s,0.6,m/s,2.7,m/s,1.3,m/s,字符型,中国快递协会,https://www.chinacourier.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国科技大学,https://www.ustc.edu.cn,2024-09-23,,,,,,,,,,,
送餐机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,北京食品研究院,https://www.bjfood.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.5,m/s,4.5,m/s,2.5,m/s,字符型,人民日报,http://www.people.com.cn,2024-09-23,,,,,,,,,,,
医用机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国医学科学院,http://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
教育机器人,1,m/s,0.2,m/s,1.6,m/s,0.7,m/s,字符型,教育部信息中心,http://www.moe.gov.cn/s78/A08/,2024-09-23,,,,,,,,,,,
清扫机器人,1.5,m/s,0.6,m/s,2,m/s,0.9,m/s,字符型,智能家居协会,http://www.smarthome.org.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.4,m/s,0.9,m/s,2.1,m/s,1.1,m/s,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
无人机,5,m/s,2,m/s,6,m/s,3,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,1.6,m/s,0.5,m/s,2.3,m/s,1,m/s,字符型,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,2.5,m/s,0.7,m/s,3.5,m/s,1.5,m/s,字符型,京东科技,https://www.jd.com,2024-09-23,,,,,,,,,,,
拾取机器人,1.8,m/s,0.4,m/s,2.2,m/s,1,m/s,字符型,中国人工智能学会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
仓储机器人,3.2,m/s,0.9,m/s,4.5,m/s,1.8,m/s,字符型,阿里巴巴研究院,https://www.alibaba.com,2024-09-23,,,,,,,,,,,
家居清扫机器人,0.8,m/s,0.2,m/s,1,m/s,0.6,m/s,字符型,小米科技,https://www.xiaomi.com,2024-09-23,,,,,,,,,,,
救援机器人,1.4,m/s,0.5,m/s,2,m/s,1.2,m/s,字符型,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
防疫机器人,1.1,m/s,0.3,m/s,1.7,m/s,0.9,m/s,字符型,中国公共卫生协会,https://www.china-phc.org,2024-09-23,,,,,,,,,,,
无人机机器人,15,m/s,5,m/s,20,m/s,10,m/s,字符型,中国航空工业集团,https://www.avic.com,2024-09-23,,,,,,,,,,,
教学机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,国家教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
检验机器人,1.6,m/s,0.5,m/s,2.2,m/s,1,m/s,字符型,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-23,,,,,,,,,,,
探测机器人,2,m/s,0.8,m/s,3,m/s,1.5,m/s,字符型,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.4,m/s,1.2,m/s,字符型,IEEE国际会议,https://www.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,中国人工智能学会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,世界卫生组织,https://www.who.int,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,全国农业技术推广服务中心,https://www.natpsc.gov.cn,2024-09-23,,,,,,,,,,,
