机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位,平均迭代次数,采集来源,来源链接,采集时间,备注,,,,,,,,,,
教育机器人,学校教室,2.5,米,3.1,米,0.2,米,8,教育创新合作平台,https://www.education-innovation.cn,2024-09-23,,,,,,,,,,,
配送机器人,居民小区,4.5,米,5.5,米,0.4,米,10,中国物流与采购联合会,http://www.cflp.org.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,主题公园,5,米,6.5,米,0.5,米,12,中国机器人技术与应用大会,https://www.robotics-application.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.6,米,12,中国人工智能学会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
服务机器人,老人护理家庭,2.5,米,3.8,米,0.4,米,7,北京市老龄办公室,https://www.beijing.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,高度自动化的制造车间,3,米,4.5,米,0.3,米,8,中国机械工业联合会,https://www.cmif.org,2024-09-23,,,,,,,,,,,
医疗机器人,医院急救中心,2,米,2.5,米,0.2,米,6,华大基因,https://www.genecompany.com,2024-09-23,,,,,,,,,,,
农业机器人,温室种植区,8,米,10,米,0.8,米,14,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,海洋探测场景,12,米,14,米,1.2,米,18,中国海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,1,米,1.8,米,0.1,米,4,教育部国家教育咨询服务中心,https://www.eduyuan.com.cn,2024-09-23,,,,,,,,,,,
配送机器人,商业街区,4,米,5.5,米,0.5,米,9,物流与配送协会,https://www.logistics.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,大型公共场所,7,米,8.5,米,0.6,米,11,公共安全部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
助力机器人,康复医院,1.2,米,1.5,米,0.1,米,5,中国康复医学会,https://www.crra.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外开放场地,6,米,8,米,0.6,米,9,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,4.5,米,5.5,米,0.4,米,7,中国酒店管理协会,http://www.chinahotel.org,2024-09-23,,,,,,,,,,,
工业机器人,自动化生产线,2.5,米,3.5,米,0.3,米,5,中国机械工业联合会,http://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,急救现场,2,米,2.8,米,0.2,米,6,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室栽培,8,米,10,米,0.8,米,11,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,矿山救援,7,米,8.5,米,0.6,米,14,国家矿山安全监察局,http://www.chinamm.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,公共交通站台,3,米,4,米,0.3,米,4,中国环保部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,
搜救机器人,城市灾后重建,9,米,11,米,0.9,米,16,国家应急管理部,https://www.mem.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,城市住宅区,5,米,7.5,米,0.5,米,8,物流与供应链管理协会,http://www.clc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,1.8,米,2.5,米,0.15,米,5,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外人行道,6,米,8.5,米,0.6,米,11,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
家政服务机器人,卧室环境,4,米,5.5,米,0.4,米,12,中国家用电器协会,https://www.cheaa.org,2024-09-23,,,,,,,,,,,
送餐机器人,餐厅内,3,米,4.2,米,0.3,米,9,行业观察网,https://www.hangye.com,2024-09-23,,,,,,,,,,,
扫地机器人,开放式商业空间,2.5,米,3.5,米,0.2,米,7,新华网,https://www.xinhuanet.com,2024-09-23,,,,,,,,,,,
物流机器人,仓储环境,12,米,15,米,1.2,米,14,国家物流发展白皮书,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,地震灾区,9,米,10.5,米,0.9,米,20,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,教室环境,1,米,1.5,米,0.1,米,4,教育技术研究,https://www.jyjs.net,2024-09-23,,,,,,,,,,,
巡逻警务机器人,城市街道,7,米,8,米,0.5,米,13,公安部科技信息办公室,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
农业田间机器人,小麦田,11,米,13,米,1.1,米,15,农业部发展研究中心,https://www.caas.cn,2024-09-23,,,,,,,,,,,
陪伴机器人,养老院,2,米,3,米,0.4,米,6,中国老龄事业发展基金会,https://www.clf.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,商场环境,4.5,米,5.8,米,0.4,米,9,淘宝网科技研究所,https://www.taobao.com,2024-09-23,,,,,,,,,,,
清洁机器人,酒店大堂,3,米,4.2,米,0.3,米,7,酒店行业协会,https://www.hotelindustry.org,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造工厂,2.5,米,3.5,米,0.3,米,8,中国机械工业联合会,https://www.cmif.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,医院走廊,2,米,3,米,0.2,米,6,中国医院协会,https://www.cmh.org.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,城市公园,6,米,8,米,0.6,米,12,地方公安局科技部,https://www.police.gov.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,8,米,10.5,米,0.8,米,11,中国农业大学,https://www.cau.edu.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库,5,米,6.5,米,0.5,米,10,京东技术研究院,https://www.jd.com,2024-09-23,,,,,,,,,,,
医疗机器人,老年护理中心,1.8,米,2.5,米,0.2,米,5,卫健委,https://www.nhc.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,地震救援现场,9,米,11,米,0.9,米,14,国家地震局,https://www.csm.gov.cn,2024-09-23,,,,,,,,,,,
创新型机器人,社区服务,4,米,5.5,米,0.4,米,9,上海市机器人技术研究中心,http://www.shrobot.org,2024-09-23,,,,,,,,,,,
移动机器人,室外城市街道,6,米,8,米,0.6,米,11,IEEE Xplore,https://ieeexplore.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,4,米,5.5,米,0.4,米,9,中国人工智能产业发展联盟,http://www.caia.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,制造工厂,2.5,米,3.5,米,0.3,米,7,机器人产业技术创新战略联盟,http://www.roboticsalliance.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,1.2,米,1.7,米,0.2,米,4,医学人工智能研究中心,http://www.medai.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植,7,米,9,米,0.8,米,14,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,军事训练场,9,米,10.5,米,0.9,米,20,中国人民解放军科学技术委员会,http://www.cmsc.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,3.5,米,4.8,米,0.3,米,10,教育部基础教育司,http://www.moe.gov.cn/s78/A20/,2024-09-23,,,,,,,,,,,
配送机器人,住宅小区,2,米,3,米,0.4,米,8,快递行业协会,http://www.cass.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,商场环境,3,米,4.5,米,0.5,米,6,中国服务机器人产业技术创新战略联盟,http://www.csria.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库环境,4.5,米,6,米,0.4,米,12,中国物流与采购联合会,http://www.clta.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.6,米,9,国际机器人联合会,https://ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,2.5,米,4,米,0.4,米,7,中国商务部,https://www.mofcom.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车生产线,3,米,5.5,米,0.4,米,8,中国机械工业联合会,http://www.cmichina.com,2024-09-23,,,,,,,,,,,
医疗机器人,急诊室,2,米,3.5,米,0.2,米,6,世界卫生组织,https://www.who.int,2024-09-23,,,,,,,,,,,
农业机器人,果园,15,米,18,米,1.5,米,11,农业科技网,http://www.agri-tech.net,2024-09-23,,,,,,,,,,,
特种机器人,冲突地区,12,米,14,米,1,米,18,联合国难民署,https://www.unhcr.org,2024-09-23,,,,,,,,,,,
消毒机器人,公共交通工具,4,米,6,米,0.5,米,7,国家公共卫生局,https://www.nph.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,1,米,2.2,米,0.3,米,5,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,城市商业区,5,米,7.5,米,0.7,米,10,电子商务研究中心,http://www.emarket.org.cn,2024-09-23,,,,,,,,,,,
无人机,山地救援,10,米,12.5,米,0.8,米,14,中国无人机产业技术创新战略联盟,http://www.uav.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,户外城市环境,6.5,米,8.1,米,0.6,米,12,IEEE Xplore,https://ieeexplore.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,商场环境,4,米,5.5,米,0.4,米,9,中国服务机器人产业报告,https://www.chinaservicerobot.com,2024-09-23,,,,,,,,,,,
工业机器人,自动化工厂,2.8,米,3.7,米,0.3,米,7,机械工业出版社,https://www.cmmpub.com,2024-09-23,,,,,,,,,,,
医疗机器人,康复医院,2.2,米,3,米,0.15,米,8,中国医学科学院,http://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
农业机器人,智慧农业温室,12,米,14.5,米,1.2,米,14,农业日报,http://www.nongyiribao.com,2024-09-23,,,,,,,,,,,
特种机器人,军事演习现场,10,米,11.5,米,0.9,米,18,中国国防科技信息网,http://www.dsti.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓储管理中心,3.5,米,5,米,0.25,米,10,物流科技发展研究中心,https://www.logistics-innovation.org,2024-09-23,,,,,,,,,,,
巡逻机器人,校园安全巡逻,7,米,8,米,0.4,米,11,智能安防网,http://www.smartsecurity.cn,2024-09-23,,,,,,,,,,,
无人驾驶车,城市道路,15,米,16.5,米,1,米,20,国家交通管理局,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,办公环境,1,米,1.5,米,0.1,米,5,中国家用电器研究院,http://www.appliance-research.org,2024-09-23,,,,,,,,,,,
移动机器人,商场环境,4.5,米,6,米,0.4,米,9,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,2.5,米,3.8,米,0.3,米,7,中国人工智能学会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
工业机器人,自动化生产线,1.8,米,2.5,米,0.1,米,5,中国机械工业联合会,http://www.cmwu.org,2024-09-23,,,,,,,,,,,
医疗机器人,医院急诊室,1.2,米,1.8,米,0.2,米,4,世界卫生组织,https://www.who.int,2024-09-23,,,,,,,,,,,
农业机器人,智能温室,8,米,9.5,米,0.8,米,11,国际农业发展基金,https://www.ifad.org,2024-09-23,,,,,,,,,,,
家庭机器人,住宅客厅,2,米,2.5,米,0.15,米,6,科技日报,http://www.stdaily.com,2024-09-23,,,,,,,,,,,
特种机器人,建筑工地,6.5,米,7.5,米,0.6,米,14,中国建筑科学研究院,http://www.cabr.com.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库环境,3.5,米,4.4,米,0.25,米,8,产业创新研究院,https://www.innovationinstitute.cn,2024-09-23,,,,,,,,,,,
教育机器人,小学教室,1.8,米,2.3,米,0.1,米,3,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,办公楼,2.2,米,2.9,米,0.2,米,5,国家智能装备创新中心,http://www.ncaie.com,2024-09-23,,,,,,,,,,,
移动机器人,商场环境,4.5,米,6,米,0.4,米,9,中国智能制造产业发展促进会,https://www.aimd.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,2.8,米,3.5,米,0.2,米,7,旅游局,https://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,配送中心,6,米,7.5,米,0.6,米,11,中国物流与采购联合会,http://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
特种机器人,矿井作业,9,米,10.2,米,0.8,米,18,中国煤炭工业协会,https://www.chinacoal.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,7.2,米,8,米,0.5,米,10,农业农村部,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,ICU病房,1.8,米,2.5,米,0.1,米,6,中华医学会,http://www.cma.org.cn,2024-09-23,,,,,,,,,,,
清洁机器人,校园环境,3.5,米,4.5,米,0.3,米,8,中国教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,反恐演习,6.5,米,7.9,米,0.9,米,14,国家安全局,https://www.nsa.gov.cn,2024-09-23,,,,,,,,,,,
仓储机器人,自动化仓库,4,米,5,米,0.4,米,7,中国供应链管理协会,http://www.csclm.org,2024-09-23,,,,,,,,,,,
巡逻机器人,城市街区,8,米,9.2,米,0.6,米,13,国家公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.6,米,11,中国科学院,https://www.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,4,米,5.5,米,0.4,米,9,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,3,米,4.2,米,0.3,米,7,中国机械工业联合会,https://www.cmif.net,2024-09-23,,,,,,,,,,,
医疗机器人,病房,2,米,3,米,0.2,米,4,中国医药卫生信息协会,http://www.china.org.cn/health,2024-09-23,,,,,,,,,,,
农业机器人,智能温室,12,米,14,米,0.8,米,15,国家农业科技中心,http://www.nact.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,海洋救援现场,9,米,10.5,米,0.6,米,20,中国海洋大学,https://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,
教育机器人,课堂,2.5,米,3.5,米,0.2,米,6,教育部信息中心,https://www.moe.gov.cn/s78/A05/xk/index.html,2024-09-23,,,,,,,,,,,
安防机器人,机场安检区,7,米,9,米,0.5,米,12,民航局,https://www.caac.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,社区环境,4.5,米,6,米,0.4,米,8,智能配送研究中心,http://www.deliveryrobot.org,2024-09-23,,,,,,,,,,,
物流机器人,仓储中心,5,米,7.5,米,0.5,米,10,中国物流与采购联合会,http://www.clp.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,户外公园,6.5,米,8.2,米,0.4,米,9,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,商业购物中心,3.8,米,5.1,米,0.3,米,11,中国商业联合会,https://www.ccc.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,电子制造厂,2.2,米,3.5,米,0.25,米,7,中国工信部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,重症监护室,1.2,米,1.8,米,0.05,米,4,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植区,8.5,米,10,米,0.8,米,15,现代农业研究中心,https://www.modernagri.org,2024-09-23,,,,,,,,,,,
特种机器人,矿区安全检测,9,米,10.5,米,0.9,米,14,矿业安全管理局,https://www.msa.gov.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,公共服务场所,4.2,米,6.3,米,0.35,米,12,国家安全委员会,https://www.nssc.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,城区街道,2.5,米,3.7,米,0.2,米,8,物流与交通部,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校实验室,1.8,米,2.6,米,0.15,米,6,国家教育研究院,https://www.nie.edu.cn,2024-09-23,,,,,,,,,,,
探测机器人,海洋探测平台,7,米,9,米,0.6,米,13,海洋发展研究中心,https://www.soa.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,酒店大厅,4.2,米,5.8,米,0.4,米,9,中国智能制造系统解决方案供应商,https://www.cimss.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,商场,6.5,米,8,米,0.6,米,11,电子商务与物流研究所,https://www.ecommerce-logistics.org,2024-09-23,,,,,,,,,,,
安保机器人,大型活动场所,3.5,米,4.5,米,0.3,米,7,公安部,https://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,2.8,米,3.5,米,0.2,米,6,教育技术研究中心,https://www.edutech.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库,7,米,9,米,0.8,米,12,国际物流与运输协会,https://www.ilta.org,2024-09-23,,,,,,,,,,,
巡逻机器人,商圈,4,米,5.2,米,0.5,米,10,国家城市安全技术研究所,https://www.ncsi.org.cn,2024-09-23,,,,,,,,,,,
救援机器人,城市灾区,9,米,11,米,1,米,20,中国灾害防治协会,https://www.cdpa.org.cn,2024-09-23,,,,,,,,,,,
农用植保机器人,果园,8,米,10,米,0.9,米,15,农业科技发展中心,https://www.agritech.gov.cn,2024-09-23,,,,,,,,,,,
实验室机器人,科学实验室,1.2,米,1.8,米,0.1,米,4,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,主题公园,15,米,20,米,1.5,米,18,亚洲机器人技术研究中心,https://www.artc.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.4,米,11,IEEE 机器人与自动化学会,https://www.ieee-ras.org,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,2.5,米,3.5,米,0.2,米,7,行业研究报告,https://www.industryreports.com,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,1米,米,1.8,米,0.15,米,4,教育科技协会,https://www.edtechassociation.org,2024-09-23,,,,,,,,,,,
工业机器人,高棚仓库,3.5,米,4.7,米,0.3,米,9,中国制造2025计划,https://www.china-manufacturing2025.com,2024-09-23,,,,,,,,,,,
农业机器人,温室,5米,米,7.5,米,0.6,米,10,农业科技期刊,https://www.agtjournal.org,2024-09-23,,,,,,,,,,,
医疗机器人,重症监护室,1.2,米,1.8,米,0.08,米,5,卫生和健康委员会,https://www.healthandwellbeing.gov,2024-09-23,,,,,,,,,,,
特种机器人,搜救现场,7,米,10,米,0.5,米,16,国家消防救援局,https://www.firefighting.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓库分拣区,4,米,5.5,米,0.4,米,8,智慧供应链杂志,https://www.smart-supplychain.com,2024-09-23,,,,,,,,,,,
家庭机器人,家庭厨房,1.8,米,2.3,米,0.1,米,4,机器人技术观察,https://www.roboticsobserver.com,2024-09-23,,,,,,,,,,,
移动机器人,机场候机区,4.5,米,6,米,0.3,米,12,民航管理局,https://www.caa.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外城市环境,6,米,8,米,0.4,米,11,中国人工智能协会,https://www.caai.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大堂,4,米,5.5,米,0.3,米,7,酒店管理研究中心,https://www.hotel-research.com,2024-09-23,,,,,,,,,,,
工业机器人,仓储物流中心,3,米,4.5,米,0.2,米,9,中国制造业协会,https://www.cmia.org.cn,2024-09-23,,,,,,,,,,,
医疗机器人,患者病房,2,米,3,米,0.15,米,6,中国医学科学院,https://www.cams.ac.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,8,米,10,米,0.8,米,14,农业机器人技术研究所,https://www.agrrobotics.cn,2024-09-23,,,,,,,,,,,
特种机器人,化学泄漏现场,10,米,12.5,米,0.9,米,20,中国应急管理科学研究院,https://www.cemssr.cn,2024-09-23,,,,,,,,,,,
巡逻机器人,校园环境,5,米,6.5,米,0.4,米,8,中国教育部科技发展中心,https://www.moe.gov.cn/s78/A15/,2024-09-23,,,,,,,,,,,
社交机器人,养老院,3,米,4,米,0.2,米,5,中国老龄工作委员会,https://www.cnag.org.cn,2024-09-23,,,,,,,,,,,
配送机器人,购物中心,4.5,米,5.8,米,0.3,米,10,中国电子商务研究中心,https://www.100ec.cn,2024-09-23,,,,,,,,,,,
物流机器人,快递分拣中心,2.5,米,3.5,米,0.25,米,8,中国物流与采购联合会,https://www.chinawuliu.com,2024-09-23,,,,,,,,,,,
移动机器人,商场购物环境,4.5,米,6.2,米,0.4,米,9,中国科技大学,https://www.ustc.edu.cn,2024-09-23,,,,,,,,,,,
医疗机器人,病房,2,米,3.5,米,0.2,米,4,北京大学医院,https://www.puh.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店大厅,3.2,米,5,米,0.6,米,7,中国饭店协会,http://www.chinahotel.org,2024-09-23,,,,,,,,,,,
特种机器人,极地探测环境,20,米,25.5,米,2,米,18,国家自然科学基金,http://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,1.8,米,2.5,米,0.1,米,5,中国机电产品进出口商会,http://www.cccme.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室种植,9,米,11,米,0.8,米,15,农业部科技发展中心,http://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,城市住宅区,3.5,米,5.8,米,0.3,米,6,国家邮政局,http://www.spb.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,公共办公室,2.5,米,3.5,米,0.4,米,8,中国物业管理协会,http://www.cpm.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,2.2,米,3,米,0.2,米,6,教育部基础教育司,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,展览会场,4,米,5.5,米,0.5,米,7,中国文化和旅游部,http://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外开放区域,6.2,米,8.5,米,0.6,米,9,IEEE Xplore,https://ieeexplore.ieee.org,2024-09-23,,,,,,,,,,,
服务机器人,餐饮环境,2.4,米,3.8,米,0.4,米,7,中国食品安全报,https://www.cnfood.com,2024-09-23,,,,,,,,,,,
工业机器人,组装线,4,米,5.5,米,0.3,米,8,国际工业机器人协会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,1.8,米,2.5,米,0.2,米,6,中国医疗器械网,https://www.cmda.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,果园,12.3,米,15.1,米,1.2,米,14,国家农业信息中心,https://www.nic.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,爆炸物处理现场,7,米,9,米,0.5,米,13,中国国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,公共区域,3.1,米,4.8,米,0.3,米,5,商业机器人协会,https://www.truecam.com,2024-09-23,,,,,,,,,,,
巡逻机器人,博物馆,4.5,米,6,米,0.4,米,7,国家文物局,https://www.sach.gov.cn,2024-09-23,,,,,,,,,,,
送货机器人,城市街道,8.1,米,10.3,米,0.8,米,11,城市交通管理局,https://www.mot.gov.cn,2024-09-23,,,,,,,,,,,
研究型机器人,实验室,1.2,米,2,米,0.1,米,4,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室外复杂道路,6,米,8,米,0.6,米,11,智能交通研究中心,https://www.smartraffic.org,2024-09-23,,,,,,,,,,,
服务机器人,餐厅环境,2.5,米,3.8,米,0.4,米,9,中国服务机器人研究院,https://www.csri.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,自动化生产线,3,米,5.5,米,0.3,米,7,国际机器人联合会,https://www.ifr.org,2024-09-23,,,,,,,,,,,
医疗机器人,急诊室,2,米,3.5,米,0.2,米,6,医学机器人协会,https://www.medrobotics.org,2024-09-23,,,,,,,,,,,
农业机器人,温室,5,米,6.5,米,0.8,米,10,中国农业大学,https://www.cau.edu.cn,2024-09-23,,,,,,,,,,,
特种机器人,核辐射区域,12,米,14.5,米,1.2,米,20,国家核安全局,https://www.nsr.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,仓储管理,4,米,5.9,米,0.4,米,8,中国仓储协会,https://www.cwa.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,学校教室,1.8,米,2.5,米,0.3,米,5,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
探测机器人,森林探险,9,米,11,米,1,米,15,中国科学技术大学,https://www.ustc.edu.cn,2024-09-23,,,,,,,,,,,
服务机器人,养老院,2.2,米,3.1,米,0.4,米,7,老龄事业发展中心,https://www.acl.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,室内办公环境,4.2,米,6.1,米,0.4,米,9,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
服务机器人,酒店休息区,2.5,米,4,米,0.2,米,7,中国旅游研究院,https://www.cnta.gov.cn,2024-09-23,,,,,,,,,,,
工业机器人,汽车制造厂,3,米,4.5,米,0.3,米,8,中国工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,康复中心,2,米,3.5,米,0.1,米,6,中华医学会,https://www.cma.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,温室大棚,9,米,11.5,米,0.9,米,11,中国农业科学院,https://www.caas.cn,2024-09-23,,,,,,,,,,,
特种机器人,核事故现场,7.5,米,8.9,米,0.6,米,14,国家核安全局,http://www.nsbc.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,大型仓储中心,6.5,米,8,米,0.5,米,10,全国物流与供应链标准化委员会,http://www.chinawls.com,2024-09-23,,,,,,,,,,,
教育机器人,课堂环境,2.7,米,3.8,米,0.2,米,5,教育部科技创新与发展中心,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
巡检机器人,电力设施,4,米,5.5,米,0.4,米,10,国家电力公司,http://www.sasac.gov.cn,2024-09-23,,,,,,,,,,,
