设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位,施加推力,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,
协作机器人,ABB YuMi,0.4,mm,7,±0.05,mm,20,N,字符型,深圳市机器人应用协会,http://www.szrobot.com,2024-09-24,,,,,,,,,,
并联机械手,InnoTech 机器手,0.25,mm,5,±0.12,mm,55,N,字符型,工程机械协会,http://www.ceca.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,FANUC 机器人,0.02,mm,6,±0.01,mm,80,N,字符型,清华大学机器人研究中心,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,,,
服务机器人,送餐机器人,1.2,mm,4,±0.6,mm,8,N,字符型,全国智能产业发展联盟,http://www.surveillance.org.cn,2024-09-24,,,,,,,,,,
特种机器人,海洋探测机器人,3,mm,3,±1.5,mm,65,N,字符型,国家海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.4,mm,3,±0.05,mm,55,N,字符型,IEEE Robotics and Automation Society,https://www.ieee-ras.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.2,mm,6,±0.1,mm,25,N,字符型,德国机械工程师协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK-XG,0.3,mm,4,±0.2,mm,30,N,字符型,ASME,https://www.asme.org,2024-09-24,,,,,,,,,,
协作机器人,DENSO COBOTTA,0.3,mm,6,±0.15,mm,18,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
服务机器人,Robomow,1.2,mm,5,±0.6,mm,12,N,字符型,农业农村部,https://www.moa.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,Bomb Disposal Robot,1.5,mm,4,±0.8,mm,70,N,字符型,国家反恐办,http://www.anti-terrorism.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.15,mm,6,±0.03,mm,40,N,字符型,中国机器人产业协会,http://www.rairobotics.org,2024-09-24,,,,,,,,,,
并联机械手,KUKA AGILUS,0.25,mm,3,±0.04,mm,60,N,字符型,德国科学基金会,http://www.dfg.de,2024-09-24,,,,,,,,,,
服务机器人,Puduo Smart Robot,1.5,mm,4,±1.0,mm,16,N,字符型,北京市智能科技协会,http://www.bjst.org,2024-09-24,,,,,,,,,,
特种机器人,Medical Surgical Robot,0.5,mm,5,±0.1,mm,85,N,字符型,国家药品监督管理局,https://www.nmpa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Cobra,0.4,mm,3,±0.1,mm,45,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.2,mm,6,±0.05,mm,25,N,字符型,中国机器人产业网,https://www.robot.com.cn,2024-09-24,,,,,,,,,,
SCARA机器人,MITSUBISHI RV系列,0.15,mm,4,±0.1,mm,35,N,字符型,工信部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR3,0.6,mm,6,±0.15,mm,22,N,字符型,福布斯中国,https://www.forbeschina.com,2024-09-24,,,,,,,,,,
服务机器人,Cozmo,1.5,mm,5,±0.7,mm,10,N,字符型,中国服务机器人协会,https://www.chinaservicebot.org,2024-09-24,,,,,,,,,,
特种机器人,Recon Robotics Throwbot,2,mm,3,±1.5,mm,65,N,字符型,国家军事科学院,https://www.nm.aerodef.com,2024-09-24,,,,,,,,,,
并联机械手,MOTOMAN MH5,0.3,mm,3,±0.09,mm,55,N,字符型,深圳机器人研究所,https://www.szrobotics.com,2024-09-24,,,,,,,,,,
六轴机械手,FANUC M-20iA,0.08,mm,6,±0.02,mm,48,N,字符型,上海科技大学,https://www.sas.edu.cn,2024-09-24,,,,,,,,,,
协作机器人,Rethink Robotics Sawyer,0.5,mm,7,±0.1,mm,30,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,Pepper,1,mm,5,±0.3,mm,12,N,字符型,清华大学,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,,,
并联机械手,G-Force 2000,0.3,mm,3,±0.05,mm,45,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.15,mm,6,±0.07,mm,35,N,字符型,中国机械工业联合会,https://www.cmma.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Robo-Wave SCARA,0.25,mm,4,±0.1,mm,50,N,字符型,科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Frankie 300,0.4,mm,7,±0.15,mm,25,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
服务机器人,智能陪伴机器人,1.2,mm,5,±0.6,mm,20,N,字符型,中国智能产业发展联盟,https://www.ciid.org.cn,2024-09-24,,,,,,,,,,
特种机器人,防爆机器人,1.5,mm,4,±0.8,mm,70,N,字符型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,FlexBot Pro,0.2,mm,3,±0.1,mm,55,N,字符型,机器人教育发展中心,https://www.rieducation.org,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN YR-M,0.12,mm,6,±0.04,mm,60,N,字符型,江苏省机器人协会,http://www.jsrobot.org,2024-09-24,,,,,,,,,,
服务机器人,智能外卖机器人,1,mm,5,±1.0,mm,10,N,字符型,国家信息产业部,http://www.miit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,RoboAssist 2.0,0.35,mm,7,±0.2,mm,30,N,字符型,全国自动化技术协会,http://www.caat.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Adept Viper,0.4,mm,3,±0.1,mm,45,N,字符型,中国自动化学会,https://www.caa.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.05,mm,6,±0.02,mm,35,N,字符型,国家机器人产业研究中心,https://www.nric.gov.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK-XG,0.15,mm,4,±0.05,mm,50,N,字符型,国际机械工程师协会,https://www.imeche.org,2024-09-24,,,,,,,,,,
协作机器人,TM机器人,0.3,mm,7,±0.1,mm,25,N,字符型,中国机器人物联网协会,https://www.rlrobot.org.cn,2024-09-24,,,,,,,,,,
服务机器人,家庭清洁机器人,0.8,mm,5,±0.3,mm,12,N,字符型,国家市场监管总局,https://www.samr.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防救援机器人,1.5,mm,3,±0.8,mm,70,N,字符型,国家消防救援局,https://www.msa.gov.cn,2024-09-24,,,,,,,,,,
移动机器人,Autonomous Mobile Robot (AMR),0.6,mm,4,±0.2,mm,28,N,字符型,智能制造技术研究院,https://www.imti.org.cn,2024-09-24,,,,,,,,,,
装配机器人,Fanuc M-20iA,0.1,mm,6,±0.05,mm,48,N,字符型,国家发改委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
喷涂机器人,ABB IRB 6700,0.3,mm,6,±0.1,mm,33,N,字符型,中国机械工程学会,https://www.cmec.gov.cn,2024-09-24,,,,,,,,,,
检测机器人,视觉检测机器人,0.2,mm,5,±0.03,mm,20,N,字符型,中科院机器人研究所,https://www.ia.ac.cn,2024-09-24,,,,,,,,,,
并联机械手,T-type机器人,0.3,mm,3,±0.05,mm,45,N,字符型,中国智能制造促进协会,https://www.cimpa.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.08,mm,6,±0.03,mm,35,N,字符型,中国机械工业联合会,https://www.cmif.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,多功能SCARA,0.15,mm,4,±0.07,mm,50,N,字符型,上海机器人技术研究院,https://www.sri-robotics.com,2024-09-24,,,,,,,,,,
协作机器人,Doosan协作机器人,0.6,mm,6,±0.2,mm,25,N,字符型,全球工业机器人协会,https://www.gira.org,2024-09-24,,,,,,,,,,
服务机器人,清洁服务机器人,0.9,mm,4,±0.4,mm,20,N,字符型,中华全国工商业联合会,https://www.cacms.org.cn,2024-09-24,,,,,,,,,,
特种机器人,消防救援机器人,1.5,mm,5,±0.6,mm,70,N,字符型,国家消防救援局,https://www.firesafe.gov.cn,2024-09-24,,,,,,,,,,
装配机器人,自动搬运机器人,0.4,mm,4,±0.2,mm,55,N,字符型,中国企业联合会,https://www.ceba.org.cn,2024-09-24,,,,,,,,,,
检测机器人,自动检测机器人,0.2,mm,3,±0.1,mm,40,N,字符型,国家计量局,https://www.nim.gov.cn,2024-09-24,,,,,,,,,,
焊接机器人,激光焊接机器人,0.05,mm,6,±0.02,mm,75,N,字符型,中国焊接学会,https://www.cws.org.cn,2024-09-24,,,,,,,,,,
审查机器人,深度学习审核机器人,0.4,mm,2,±0.2,mm,30,N,字符型,中国人工智能协会,https://www.aicas.org.cn,2024-09-24,,,,,,,,,,
并联机械手,Hexapod机器人,0.3,mm,6,±0.05,mm,70,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
六轴机械手,MOTOMAN-GP系列,0.15,mm,6,±0.03,mm,35,N,字符型,日本电产株式会社,https://www.nidec.com,2024-09-24,,,,,,,,,,
SCARA机器人,IRB 6700,0.25,mm,4,±0.07,mm,45,N,字符型,瑞士ABB技术公司,https://global.abb,2024-09-24,,,,,,,,,,
协作机器人,Doosan机器人,0.6,mm,6,±0.15,mm,25,N,字符型,韩国斗山集团,https://www.doosangroup.com,2024-09-24,,,,,,,,,,
服务机器人,智能清洁机器人,0.8,mm,5,±0.4,mm,20,N,字符型,中国智能家居协会,http://www.china-smart-home.org,2024-09-24,,,,,,,,,,
特种机器人,工业喷涂机器人,1.5,mm,5,±0.8,mm,80,N,字符型,国家工业和信息化部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
全方位机械手,GROVE机器人,0.4,mm,3,±0.2,mm,60,N,字符型,中国科学院自动化研究所,https://www.ai.cas.cn,2024-09-24,,,,,,,,,,
野外探测机器人,探索者1000,0.9,mm,3,±0.5,mm,85,N,字符型,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-24,,,,,,,,,,
灵活搬运机器人,ATLAS机器人,0.4,mm,7,±0.1,mm,55,N,字符型,麻省理工学院,http://www.mit.edu,2024-09-24,,,,,,,,,,
救援机器人,无人机救援系统,1,mm,4,±0.6,mm,40,N,字符型,国家灾难救助中心,http://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,HybriX机器人,0.4,mm,3,±0.1,mm,55,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc LR Mate,0.1,mm,6,±0.03,mm,45,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK系列,0.15,mm,4,±0.05,mm,35,N,字符型,中国机械工业联合会,http://www.cmif.org.cn,2024-09-24,,,,,,,,,,
协作机器人,KUKA LBR iiwa,0.2,mm,7,±0.1,mm,25,N,字符型,科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,智能家庭助理,0.8,mm,4,±0.4,mm,20,N,字符型,国家智能制造标准化技术委员会,http://www.sac.net.cn,2024-09-24,,,,,,,,,,
特种机器人,军事侦察机器人,1.5,mm,3,±0.8,mm,70,N,字符型,国防科学技术局,https://www.mod.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,UR10e,0.3,mm,6,±0.1,mm,50,N,字符型,国际自动化与机器人协会,http://www.iara.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA AGILUS,0.05,mm,6,±0.02,mm,60,N,字符型,机器人产业发展促进中心,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Denso VS系列,0.1,mm,4,±0.05,mm,30,N,字符型,机械工程学会,https://www.cmes.org.cn,2024-09-24,,,,,,,,,,
服务机器人,清洁自动机器人,0.6,mm,5,±0.3,mm,18,N,字符型,市场监督管理总局,https://www.samr.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,V-Six机器人,0.4,mm,3,±0.05,mm,55,N,字符型,北京工业大学,https://www.bjut.edu.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA IIWA,0.05,mm,6,±0.03,mm,25,N,字符型,中国自动化学会,https://www.caai.cn,2024-09-24,,,,,,,,,,
SCARA机器人,Epson G6,0.15,mm,4,±0.1,mm,35,N,字符型,深圳市机器人协会,https://www.szrobotics.org,2024-09-24,,,,,,,,,,
协作机器人,Techman机器人,0.6,mm,7,±0.2,mm,19,N,字符型,工信部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,Nuro无人车,0.8,mm,5,±0.4,mm,12,N,字符型,交通运输部,https://www.mot.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,1.5,mm,3,±0.9,mm,70,N,字符型,国家消防救援局,https://www.caf.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Panda机器人,0.3,mm,3,±0.07,mm,48,N,字符型,机器人研究院,https://www.roboticsresearch.org,2024-09-24,,,,,,,,,,
六轴机械手,Yaskawa MOTOMAN,0.07,mm,6,±0.02,mm,40,N,字符型,上海市经济和信息化委员会,https://www.sheit.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR5e,0.4,mm,6,±0.15,mm,30,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,探测机器人,2.5,mm,3,±1.2,mm,80,N,字符型,国家自然科学基金,https://www.nsfc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboArm,0.4,mm,3,±0.07,mm,55,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.15,mm,6,±0.04,mm,35,N,字符型,机器人技术研究所,https://www.roboticsinstitute.org,2024-09-24,,,,,,,,,,
SCARA机器人,Epson SCARA,0.25,mm,4,±0.08,mm,38,N,字符型,中国智能制造网,https://www.chinaims.com,2024-09-24,,,,,,,,,,
协作机器人,ABB YuMi,0.3,mm,7,±0.1,mm,25,N,字符型,中国机器人产业生态网,https://www.ric.org.cn,2024-09-24,,,,,,,,,,
服务机器人,汪汐潮家用机器人,1,mm,5,±0.6,mm,10,N,字符型,国家科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,2,mm,4,±1.5,mm,70,N,字符型,最高人民法院,https://www.court.gov.cn,2024-09-24,,,,,,,,,,
移动机器人,HomBot扫地机器人,1.5,mm,3,±0.8,mm,12,N,字符型,消费者协会,https://www.cac.gov.cn,2024-09-24,,,,,,,,,,
自动化生产线机器人,FANUC M-20iA,0.5,mm,6,±0.08,mm,50,N,字符型,国家经济和信息化委员会,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
无人机,DJI Matrice 300,1,mm,6,±0.5,mm,45,N,字符型,中国民用航空局,https://www.caac.gov.cn,2024-09-24,,,,,,,,,,
家居园艺机器人,Garden Assistant,0.8,mm,5,±0.4,mm,22,N,字符型,环境保护部,https://www.mee.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,KUKA LBR iiwa,0.3,mm,7,±0.1,mm,45,N,字符型,德国机械工程协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.05,mm,6,±0.03,mm,75,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
SCARA机器人,Yamaha YK-XG,0.2,mm,4,±0.1,mm,50,N,字符型,国际自动化协会,https://www.iaa.org,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR16e,0.4,mm,6,±0.2,mm,25,N,字符型,中国科学院机器人技术研究所,https://www.robot.ustc.edu.cn,2024-09-24,,,,,,,,,,
服务机器人,Intuition Robotics ElliQ,0.8,mm,5,±0.4,mm,10,N,字符型,以色列科技局,https://www.most.gov.il,2024-09-24,,,,,,,,,,
特种机器人,RoboCup Rescue,3,mm,4,±1.5,mm,70,N,字符型,国际机器人足球联盟,https://www.robocup.org,2024-09-24,,,,,,,,,,
并联机械手,ABB FlexPicker,0.2,mm,3,±0.05,mm,60,N,字符型,瑞士ABB集团,https://global.abb,2024-09-24,,,,,,,,,,
六轴机械手,Mitsubishi RV-6SL,0.1,mm,6,±0.04,mm,55,N,字符型,日本电气产业联合会,https://www.jema-net.or.jp,2024-09-24,,,,,,,,,,
协作机器人,Doosan Robotics M0617,0.5,mm,6,±0.3,mm,20,N,字符型,韩国机器人产业协会,https://www.k-robotics.org,2024-09-24,,,,,,,,,,
服务机器人,MaidBot,1,mm,5,±0.5,mm,12,N,字符型,美国服务机器人协会,https://www.servicerobotics.org,2024-09-24,,,,,,,,,,
并联机械手,Parallel M2,0.3,mm,3,±0.07,mm,45,N,字符型,中国科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
腕式机械手,SR系列,0.1,mm,6,±0.02,mm,35,N,字符型,国家发改委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,LBR iiwa,0.4,mm,7,±0.05,mm,25,N,字符型,中国智能制造网,https://www.imcb.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA AGILUS,0.15,mm,6,±0.03,mm,28,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
基于视觉的机器人,VisionBot,0.2,mm,4,±0.1,mm,20,N,字符型,中国人工智能学会,https://www.iachina.cn,2024-09-24,,,,,,,,,,
服务机器人,Hospitality Bot,1,mm,5,±0.5,mm,18,N,字符型,中国经济导报,https://www.cnee.org,2024-09-24,,,,,,,,,,
特种机器人,Aquatic Rescue Robot,3,mm,3,±1.5,mm,70,N,字符型,国家海洋局,http://www.soa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,RoboHand,0.6,mm,3,±0.12,mm,55,N,字符型,中国质量认证中心,http://www.cqc.com.cn,2024-09-24,,,,,,,,,,
农业机器人,AgriBot,1.5,mm,4,±0.4,mm,22,N,字符型,农业农村部,https://www.moa.gov.cn,2024-09-24,,,,,,,,,,
家庭机器人,Friendly Helper,0.8,mm,5,±0.6,mm,15,N,字符型,中国家电协会,https://www.cheaa.com,2024-09-24,,,,,,,,,,
并联机械手,Hawk机器人,0.3,mm,3,±0.05,mm,45,N,字符型,中国制造业发展报告,https://www.cmc.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.15,mm,6,±0.03,mm,25,N,字符型,深圳机器人研究所,https://www.szrobotics.org.cn,2024-09-24,,,,,,,,,,
SCARA机器人,SCARA Pro系列,0.1,mm,4,±0.08,mm,35,N,字符型,清华大学工学院,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,,,
协作机器人,Niryo One,0.4,mm,6,±0.15,mm,18,N,字符型,北京机器人市场调研中心,https://www.bjrobotics.org,2024-09-24,,,,,,,,,,
服务机器人,工业清洁机器人,0.8,mm,5,±0.4,mm,20,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
特种机器人,探测救援机器人,1.5,mm,3,±0.7,mm,70,N,字符型,国家发改委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Panda机器人,0.2,mm,3,±0.05,mm,55,N,字符型,浙江大学智能系统研究所,https://www.zju.edu.cn,2024-09-24,,,,,,,,,,
六轴机械手,ABB IRB系列,0.12,mm,6,±0.06,mm,28,N,字符型,中国工业机器人技术研究中心,https://www.cirt.org.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal Robots UR5,0.25,mm,6,±0.09,mm,23,N,字符型,南京智能制造研究院,https://www.njimm.org,2024-09-24,,,,,,,,,,
服务机器人,商用配送机器人,0.9,mm,4,±0.6,mm,17,N,字符型,上海科技发展委员会,https://www.sstdc.gov.cn,2024-09-24,,,,,,,,,,
