可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
高,800 Mbps,10 ms,4 ms,1,100 ms,1%,Telecom Compass,https://www.telecomcompass.com,,
中,600 Mbps,28 ms,7 ms,2,130 ms,3%,信息与控制,https://www.icjournal.org,,
高,1.2 Gbps,12 ms,2 ms,1,90 ms,4%,网络通信学报,https://www.journalofnetworking.com,,
中,400 Mbps,40 ms,11 ms,3,140 ms,5%,计算机网络与通信,https://www.cncjournal.com,,
高,3 Gbps,6 ms,1 ms,0,50 ms,1%,TechCrunch,https://www.techcrunch.com,,
中,500 Mbps,20 ms,9 ms,2,120 ms,3%,网络世界,http://www.networkworld.com,,
低,2.5 Gbps,75 ms,25 ms,4,300 ms,8%,Clean Code Blog,https://www.cleancode.com,,
高,1.5 Gbps,15 ms,3 ms,0,80 ms,2%,IEEE网络杂志,https://ieeexplore.ieee.org/Xplore/home.jsp,,
中,250 Mbps,40 ms,10 ms,3,150 ms,5%,中国电子学报,http://www.electronicsjournal.org.cn/,,
低,10 Mbps,70 ms,20 ms,10,200 ms,15%,网络科技周刊,https://www.networktechnologyweekly.com/,,
高,3 Gbps,5 ms,1 ms,0,50 ms,1%,WebRTC 论坛,https://webrtc.org/,,
中,750 Mbps,25 ms,6 ms,1,100 ms,4%,Wireless World,https://www.wirelessworldmag.com/,,
高,500 Mbps,15 ms,4 ms,1,90 ms,3%,Computers & Networks,https://www.journals.elsevier.com/computers-and-networks,,
中,300 Mbps,35 ms,12 ms,2,140 ms,6%,国际通信管理学会,http://www.icc-conference.org/,,
高,2 Gbps,10 ms,2 ms,0,70 ms,1%,未来网络科技实验室,https://www.futuretechnologieslab.com/,,
低,100 Mbps,60 ms,15 ms,5,180 ms,10%,网络安全与技术,https://www.networksecuritytech.com/,,
中,400 Mbps,30 ms,8 ms,1,130 ms,3%,边缘计算协会,https://www.edgecomputingassociation.org/,,
高,250 Mbps,40 ms,7 ms,1,200 ms,3%,网络通信研究院,https://www.nccre.search.cn,,
中,800 Mbps,35 ms,12 ms,3,250 ms,4%,中国通信学会,https://www.cicts.org.cn,,
高,1 Gbps,15 ms,10 ms,0,100 ms,2%,IEEE通信杂志,https://ieeexplore.ieee.org/Xplore/home.jsp,,
低,100 Mbps,80 ms,20 ms,5,300 ms,10%,网络世界,https://www.networkworld.com,,
高,500 Mbps,18 ms,8 ms,1,150 ms,3%,计算机科学与技术学报,https://www.cjcs.org.cn,,
中,450 Mbps,22 ms,9 ms,2,120 ms,5%,TechRadar,https://www.techradar.com,,
高,3 Gbps,25 ms,3 ms,0,80 ms,1%,数字通信技术,https://www.digitalcommtech.com,,
中,750 Mbps,30 ms,5 ms,2,200 ms,3%,资讯科技报,https://www.techreport.cn,,
高,2.5 Gbps,10 ms,2 ms,0,50 ms,1%,未来网络概念,https://www.futuretech.net,,
中,300 Mbps,45 ms,12 ms,4,180 ms,6%,环球财经网,https://www.globalfinance.com,,
高,250 Mbps,15 ms,6 ms,0,80 ms,2%,网络技术杂志,https://www.networktechmag.com,,
中,1.5 Gbps,35 ms,10 ms,3,90 ms,5%,IEEE通信学报,https://www.ieeexplore.ieee.org/Xplore/home.jsp,,
低,100 Mbps,75 ms,20 ms,5,300 ms,10%,华为技术白皮书,https://www.huawei.com/en/whitepapers,,
高,600 Mbps,10 ms,3 ms,1,60 ms,1%,电信行业报告,https://www.telecomreport.com,,
中,900 Mbps,40 ms,12 ms,2,120 ms,4%,通信世界,https://www.commsworld.com,,
高,300 Mbps,25 ms,9 ms,0,50 ms,3%,工信部报告,https://www.miit.gov.cn,,
低,50 Mbps,90 ms,25 ms,8,400 ms,15%,通信技术前沿,https://www.techfrontier.com,,
中,1 Gbps,20 ms,7 ms,2,100 ms,2%,中兴通讯研究院,https://www.zte.com.cn/global/about/research,,
高,800 Mbps,18 ms,4 ms,1,70 ms,1%,网络安全技术研究,https://www.networksecuritytechresearch.com,,
低,12 Mbps,150 ms,30 ms,10,500 ms,20%,低质量服务分析报告,https://www.lowqosanlysis.com,,
高,2 Gbps,15 ms,4 ms,0,90 ms,1%,华为技术,https://www.huawei.com/cn/solutions/qos,,
中,800 Mbps,45 ms,12 ms,3,150 ms,6%,清华大学,https://www.tsinghua.edu.cn/research/qos,,
高,1.5 Gbps,22 ms,3 ms,0,110 ms,2%,IEEE Communications Society,https://www.comsoc.org/publications/qos,,
低,100 Mbps,75 ms,20 ms,5,250 ms,10%,中国信息通信研究院,http://www.caict.ac.cn/specialties/qos/,,
高,5 Gbps,10 ms,2 ms,1,60 ms,0%,学术前沿,https://www.academicfrontiers.com/qos,,
中,400 Mbps,30 ms,6 ms,2,130 ms,5%,中国网络通信集团,http://www.chinaunicom.com/about/qos/,,
高,3 Gbps,18 ms,4 ms,0,80 ms,1%,阿里云,https://www.aliyun.com/product/qos,,
低,250 Mbps,65 ms,18 ms,6,200 ms,12%,腾讯云,https://cloud.tencent.com/product/qos,,
中,750 Mbps,35 ms,8 ms,2,140 ms,4%,学校网络研究中心,http://www.snn.edu.cn/qos/,,
高,6 Gbps,12 ms,1 ms,0,70 ms,0%,中兴通讯,https://www.zte.com.cn/china/solutions/qos,,
高,200 Mbps,40 ms,12 ms,0,180 ms,4%,IEEE Communications Society,https://www.comsoc.org/,,
中,750 Mbps,22 ms,7 ms,3,130 ms,6%,华为研究院,https://www.huawei.com/en/research,,
低,50 Mbps,60 ms,20 ms,5,250 ms,10%,腾讯云技术,https://cloud.tencent.com/,,
高,1.5 Gbps,15 ms,4 ms,1,90 ms,2%,ZTE技术论坛,https://www.zte.com.cn/global/home,,
中,300 Mbps,35 ms,18 ms,4,160 ms,5%,网易云信,https://cloud.163.com/,,
高,2 Gbps,10 ms,3 ms,0,75 ms,1%,工信部官方网站,http://www.miit.gov.cn/,,
中,450 Mbps,28 ms,6 ms,2,115 ms,3.5%,阿里巴巴云,https://www.aliyun.com/,,
低,20 Mbps,90 ms,25 ms,6,300 ms,12%,钛媒体,https://www.tmtpost.com/,,
非常高,3 Gbps,5 ms,1 ms,0,40 ms,0.5%,高通技术,https://www.qualcomm.com/,,
中,600 Mbps,32 ms,8 ms,2,140 ms,3%,深圳大学通信技术中心,http://www.szu.edu.cn/,,
高,2 Gbps,15 ms,4 ms,0,80 ms,1%,IEEE Communications Society,https://www.comsoc.org/,,
中,400 Mbps,35 ms,12 ms,3,150 ms,6%,网络与信息安全,http://www.cac.gov.cn/,,
高,500 Mbps,25 ms,10 ms,1,100 ms,2%,Network World,https://www.networkworld.com/,,
低,200 Mbps,60 ms,20 ms,5,200 ms,10%,TechCrunch,https://techcrunch.com/,,
高,10 Gbps,10 ms,2 ms,0,50 ms,0%,IEEE Transactions,https://ieeexplore.ieee.org/,,
中,800 Mbps,40 ms,6 ms,2,300 ms,3%,The Verge,https://www.theverge.com/,,
高,5 Gbps,18 ms,3 ms,1,90 ms,1.5%,Forrester Research,https://go.forrester.com/,,
中,600 Mbps,28 ms,11 ms,2,140 ms,12%,Gartner,https://www.gartner.com/,,
低,150 Mbps,70 ms,16 ms,6,250 ms,15%,Wired,https://www.wired.com/,,
高,3 Gbps,12 ms,3 ms,0,60 ms,0%,ZDNet,https://www.zdnet.com/,,
高,2 Gbps,10 ms,3 ms,0,100 ms,1%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,35 ms,12 ms,4,130 ms,6%,华中科技大学,http://www.hust.edu.cn,,
高,150 Mbps,15 ms,4 ms,1,90 ms,2%,Network World,https://www.networkworld.com/,,
低,300 Mbps,60 ms,25 ms,10,250 ms,15%,Tech Crunch,https://techcrunch.com/,,
高,5 Gbps,8 ms,2 ms,0,80 ms,0%,CIO Magazine,https://www.cio.com/,,
中,600 Mbps,28 ms,5 ms,3,110 ms,4%,光纤与电信网,http://www.fiberandnetwork.com/,,
高,1.5 Gbps,12 ms,6 ms,1,95 ms,2%,TechRadar,https://www.techradar.com/,,
中,300 Mbps,40 ms,10 ms,4,140 ms,8%,Frontiers in Communications,https://www.frontiersin.org/journals/communications,,
低,200 Mbps,100 ms,20 ms,7,300 ms,18%,ZTE Corporation,http://www.zte.com.cn/,,
高,800 Mbps,22 ms,7 ms,2,120 ms,3%,Telecom Review,https://telecomreview.com/,,
高,150 Mbps,45 ms,12 ms,0,250 ms,2%,IEEE Spectrum,https://spectrum.ieee.org,,
中,800 Mbps,35 ms,7 ms,1,180 ms,3%,Network World,https://www.networkworld.com,,
低,50 Mbps,60 ms,20 ms,5,300 ms,10%,TechCrunch,https://techcrunch.com,,
高,2 Gbps,15 ms,3 ms,0,80 ms,1%,Gartner,https://www.gartner.com,,
中,400 Mbps,28 ms,9 ms,3,150 ms,5%,Frost & Sullivan,https://www.frost.com,,
低,25 Mbps,80 ms,30 ms,7,350 ms,15%,PCWorld,https://www.pcworld.com,,
高,1.5 Gbps,10 ms,2 ms,1,60 ms,1%,Wired,https://www.wired.com,,
中,350 Mbps,40 ms,10 ms,2,120 ms,4%,Telecoms.com,https://telecoms.com,,
高,900 Mbps,22 ms,6 ms,0,100 ms,2%,ZDNet,https://www.zdnet.com,,
中,600 Mbps,30 ms,8 ms,3,150 ms,5%,TechRadar,https://www.techradar.com,,
高,300 Mbps,35 ms,12 ms,0,130 ms,4%,IEEE Communications Society,https://www.comsoc.org,,
低,50 Mbps,100 ms,25 ms,5,250 ms,10%,网络与信息安全学报,https://www.journal.neu.edu.cn,,
中,2 Gbps,15 ms,4 ms,1,80 ms,2%,华为技术官网,https://www.huawei.com/cn/solutions/network,,
高,5 Gbps,10 ms,3 ms,1,60 ms,1%,中国计算机网络与信息安全研究中心,https://www.cnnic.net.cn,,
中,200 Mbps,40 ms,10 ms,3,100 ms,6%,ZTE Corporation,https://www.zte.com.cn/cn,,
高,1.5 Gbps,20 ms,5 ms,0,90 ms,3%,电信学报,https://www.cjwl.com.cn,,
低,20 Mbps,150 ms,30 ms,10,300 ms,15%,小型设备研究中心,https://www.meanwell.com,,
中,600 Mbps,23 ms,6 ms,2,110 ms,4%,中兴通讯,https://www.zte.com.cn,,
高,4 Gbps,18 ms,2 ms,0,75 ms,2%,Cisco Systems,https://www.cisco.com/c/zh_cn/index.html,,
低,100 Mbps,90 ms,20 ms,6,200 ms,12%,新华网,http://www.xinhuanet.com,,
高,2 Gbps,15 ms,4 ms,1,90 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,18 ms,6 ms,3,110 ms,3%,ScienceDirect,https://www.sciencedirect.com/,,
低,100 Mbps,100 ms,20 ms,5,250 ms,15%,ACM Digital Library,https://dl.acm.org/,,
高,1.5 Gbps,22 ms,5 ms,0,80 ms,1%,ITProPortal,https://www.itproportal.com/,,
中,300 Mbps,40 ms,12 ms,2,140 ms,3%,Network World,https://www.networkworld.com/,,
高,1 Gbps,25 ms,3 ms,1,100 ms,2.5%,Telecoms.com,https://www.telecoms.com/,,
低,50 Mbps,150 ms,30 ms,6,300 ms,20%,Light Reading,https://www.lightreading.com/,,
中,400 Mbps,35 ms,7 ms,2,110 ms,3.5%,Gartner,https://www.gartner.com/,,
高,2.5 Gbps,10 ms,2 ms,0,50 ms,1%,Forbes,https://www.forbes.com/,,
中,600 Mbps,30 ms,8 ms,2,120 ms,4%,ZDNet,https://www.zdnet.com/,,
高,200 Mbps,15 ms,5 ms,1,170 ms,2%,IEEE,https://www.ieee.org/,,
中,750 Mbps,22 ms,6 ms,2,115 ms,3%,网络与信息安全杂志,http://www.nissjournal.cn/,,
低,50 Mbps,40 ms,12 ms,5,250 ms,10%,TechCrunch,https://techcrunch.com/,,
高,1 Gbps,10 ms,2 ms,0,80 ms,1%,清华大学学报,http://www.tsinghua.edu.cn/,,
中,600 Mbps,35 ms,7 ms,3,130 ms,5%,中国信息产业网,http://www.cnii.com.cn/,,
高,800 Mbps,12 ms,4 ms,1,90 ms,2%,Gartner,https://www.gartner.com/,,
中,300 Mbps,45 ms,14 ms,3,160 ms,6%,WSJ,https://www.wsj.com/,,
低,30 Mbps,60 ms,20 ms,8,300 ms,15%,Cloudflare Blog,https://blog.cloudflare.com/,,
高,1.5 Gbps,8 ms,2 ms,0,70 ms,0%,TechRadar,https://www.techradar.com/,,
中,400 Mbps,20 ms,10 ms,2,110 ms,4%,ZDNet,https://www.zdnet.com/,,
高,2 Gbps,15 ms,4 ms,0,80 ms,2%,IEEE Communications Society,https://www.comsoc.org/,,
中,800 Mbps,22 ms,6 ms,1,110 ms,3%,华为技术有限公司,https://www.huawei.com/,,
低,150 Mbps,100 ms,20 ms,5,300 ms,10%,网络安全与通信,https://www.networksecurityandcommunication.com/,,
高,5 Gbps,10 ms,3 ms,0,70 ms,1%,TechCrunch,https://techcrunch.com/,,
中,250 Mbps,35 ms,12 ms,2,130 ms,4%,中国计算机学会,http://www.ccf.org.cn/,,
高,3 Gbps,18 ms,2 ms,1,90 ms,3%,阿里巴巴云,https://www.aliyun.com/,,
低,50 Mbps,150 ms,25 ms,4,400 ms,15%,Pingdom,https://www.pingdom.com/,,
中,600 Mbps,28 ms,8 ms,2,120 ms,5%,Wired Technology,https://www.wired.com/,,
高,4 Gbps,12 ms,5 ms,0,75 ms,2%,网络世界,http://www.seow.com/,,
中,350 Mbps,21 ms,11 ms,1,100 ms,3%,网络信息中心,https://nic.gov.cn/,,
高,2 Gbps,15 ms,3 ms,0,80 ms,2%,IEEE Communications Society,https://www.comsoc.org,,
中,300 Mbps,40 ms,12 ms,1,130 ms,4%,网络技术杂志,https://www.networktechmag.com,,
高,10 Gbps,10 ms,2 ms,0,60 ms,1%,光网络论坛,https://www.lightreading.com,,
低,50 Mbps,100 ms,25 ms,5,250 ms,10%,传输技术与应用,https://www.transmission-tech.com,,
中,150 Mbps,35 ms,7 ms,2,110 ms,5%,未来网,https://www.futureinternet.org,,
高,800 Mbps,22 ms,6 ms,1,150 ms,3%,科技日报,https://www.stdaily.com,,
低,20 Mbps,200 ms,30 ms,10,300 ms,15%,中国电子技术标准化研究院,https://www.cesi.cn,,
高,1.5 Gbps,18 ms,4 ms,0,90 ms,2%,网络观察,https://www.networkobservatory.com,,
中,600 Mbps,28 ms,10 ms,3,140 ms,3%,信息产业部,https://www.miit.gov.cn,,
高,5 Gbps,12 ms,3 ms,0,70 ms,1%,全球网络技术会议,https://www.globalnetworksummit.com,,
高,2 Gbps,15 ms,6 ms,1,80 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
低,200 Mbps,100 ms,40 ms,5,300 ms,10%,网络通信期刊,https://www.nongjiexinxi.com/,,
中,750 Mbps,35 ms,7 ms,3,150 ms,4%,北大方正,https://www.pku.edu.cn/,,
高,1.5 Gbps,10 ms,2 ms,0,50 ms,1%,华为技术有限公司,https://www.huawei.com/,,
中,300 Mbps,45 ms,12 ms,2,90 ms,3%,中国通信学会,http://www.cict.ac.cn/,,
中,550 Mbps,30 ms,8 ms,1,110 ms,3.5%,网络信息研究院,http://www.wangluoyanjiuyuan.org/,,
高,1 Gbps,5 ms,1 ms,0,40 ms,1.5%,中华科技信息网,http://www.ctinfo.org/,,
高,800 Mbps,20 ms,4 ms,1,75 ms,2.5%,中国互联网协会,http://www.isc.org.cn/,,
中,400 Mbps,50 ms,15 ms,3,120 ms,5%,通信技术论坛,https://www.ictforum.com/,,
低,100 Mbps,150 ms,20 ms,6,500 ms,15%,信息与网络杂志,https://www.informationnetworkjournal.com/,,
高,200 Mbps,45 ms,12 ms,1,220 ms,3%,IEEE Xplore,https://ieeexplore.ieee.org/,,
中,750 Mbps,35 ms,10 ms,3,130 ms,4%,华为技术栈,https://support.huawei.com/,,
低,300 Mbps,100 ms,20 ms,5,300 ms,10%,中国网络技术研究院,http://www.cnnet.org.cn/,,
高,1.5 Gbps,15 ms,3 ms,1,90 ms,2%,阿里巴巴云,https://www.aliyun.com/,,
高,1 Gbps,18 ms,4 ms,1,80 ms,1%,腾讯云研究院,https://cloud.tencent.com/,,
中,400 Mbps,55 ms,15 ms,2,160 ms,5%,网络世界,https://www.networkworld.com/,,
高,2 Gbps,12 ms,7 ms,0,75 ms,1%,CNET,https://www.cnet.com/,,
低,100 Mbps,120 ms,25 ms,6,400 ms,12%,ZOL,https://www.zol.com.cn/,,
中,600 Mbps,70 ms,18 ms,4,150 ms,6%,电信研究院,http://www.ctri.cn/,,
高,800 Mbps,30 ms,6 ms,1,100 ms,3%,TechCrunch,https://techcrunch.com/,,
高,800 Mbps,15 ms,7 ms,0,90 ms,1%,网络世界,https://www.wangluoshijie.com,,
中,200 Mbps,35 ms,12 ms,3,110 ms,8%,信息技术学报,https://www.ittjournal.com,,
低,50 Mbps,75 ms,20 ms,5,300 ms,10%,财经网络,https://www.caijing.com.cn,,
高,1 Gbps,10 ms,3 ms,1,80 ms,2%,通信产业报记者,https://www.tccr.com,,
中,300 Mbps,45 ms,10 ms,4,150 ms,6%,科学网,https://www.sciencenet.cn,,
高,5 Gbps,5 ms,1 ms,0,50 ms,1%,科技日报,https://www.stdaily.com,,
低,100 Mbps,60 ms,15 ms,3,200 ms,9%,信息安全杂志,https://www.infosecurity.net,,
中,750 Mbps,20 ms,6 ms,2,135 ms,4%,数据通信,https://www.datacommunication.org,,
高,2 Gbps,8 ms,2 ms,0,60 ms,1.5%,光通信网,https://www.opticalcom.com,,
中,400 Mbps,30 ms,5 ms,2,120 ms,7%,计算机科学与网络,https://www.csnetwork.com,,
高,150 Mbps,45 ms,12 ms,1,180 ms,4%,中国网络通讯,https://www.chinanetwork.com,,
中,600 Mbps,35 ms,9 ms,3,140 ms,6%,IEEE通信杂志,https://www.ieee.org/journal,,
低,2 Gbps,60 ms,20 ms,4,250 ms,10%,网络工程师日报,https://www.networkengineeringdaily.com,,
高,1.5 Gbps,15 ms,2 ms,0,80 ms,1%,光网络年鉴,https://www.opticalnetworkyearbook.com,,
中,300 Mbps,22 ms,6 ms,1,110 ms,5%,中国通信与信息研究院,https://www.cnii.edu.cn,,
高,4 Gbps,10 ms,4 ms,0,70 ms,2%,信息技术与网络安全,https://www.itsecuritytech.com,,
中,800 Mbps,30 ms,8 ms,2,130 ms,3%,通信世界,https://www.commsworld.com,,
低,200 Mbps,100 ms,25 ms,5,300 ms,15%,网络性能研究,https://www.networkperformanceresearch.com,,
高,1 Gbps,18 ms,3 ms,1,90 ms,1%,全球网络连接,https://www.globalnetworklink.com,,
中,1.2 Gbps,40 ms,10 ms,3,150 ms,4%,未来通信大会,https://www.futurecommconference.com,,
高,2 Gbps,15 ms,7 ms,0,80 ms,1%,IEEE Communications Society,https://www.comsoc.org,,
中,750 Mbps,35 ms,12 ms,3,110 ms,6%,科技日报,http://www.stdaily.com/,,
高,1.5 Gbps,18 ms,9 ms,1,90 ms,2%,网络与信息安全学报,http://www.journal-niss.com/,,
低,100 Mbps,70 ms,20 ms,5,300 ms,15%,光纤通信网,http://www.fiberoptics.com/,,
中,300 Mbps,40 ms,11 ms,2,130 ms,4%,CNKI,https://www.cnki.net/,,
高,1.2 Gbps,22 ms,6 ms,1,85 ms,3%,网络工程师,http://www.networkengineer.com/,,
中,400 Mbps,33 ms,10 ms,4,145 ms,7%,通信世界,http://www.telecomworld.com/,,
高,3 Gbps,12 ms,4 ms,0,70 ms,1%,SIP Forum,https://www.sipforum.org/,,
低,50 Mbps,90 ms,25 ms,6,400 ms,20%,网络安全观察,http://www.networksecuritywatch.com/,,
中,600 Mbps,29 ms,13 ms,3,125 ms,5%,移动通信,http://www.mobilecommunication.com/,,
高,2 Gbps,15 ms,4 ms,0,80 ms,1%,IEEE Spectrum,https://spectrum.ieee.org,,
中,750 Mbps,35 ms,12 ms,3,160 ms,6%,华为白皮书,https://www.huawei.com/zh/solutions,,
低,300 Mbps,50 ms,20 ms,5,250 ms,15%,CCSA,https://www.ccsa.org.cn,,
高,1.5 Gbps,10 ms,3 ms,1,70 ms,2%,ITU,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
中,400 Mbps,40 ms,18 ms,4,130 ms,5%,网络世界,http://www.networkworld.com/,,
高,3 Gbps,8 ms,2 ms,0,60 ms,0.5%,Verizon Insights,https://www.verizon.com/about/investors,,
低,150 Mbps,55 ms,25 ms,6,300 ms,20%,网络技术杂志,https://www.networktechjournal.com,,
中,1 Gbps,30 ms,10 ms,2,140 ms,4%,Computer Networking Journal,https://www.journalofcomputer.net,,
高,600 Mbps,25 ms,6 ms,1,90 ms,3%,Nokia Networks,https://www.nokia.com/networks/,,
高,2.5 Gbps,12 ms,5 ms,0,50 ms,1%,Journal of Communications,https://www.joc.com,,
高,300 Mbps,15 ms,3 ms,0,80 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,,
中,700 Mbps,35 ms,12 ms,3,130 ms,6%,网络与通信学报,http://www.journalofnetwork.com,,
高,250 Mbps,10 ms,5 ms,1,90 ms,1%,TechCrunch,https://techcrunch.com,,
低,50 Mbps,60 ms,20 ms,5,250 ms,10%,Gartner,https://www.gartner.com,,
中,1.5 Gbps,18 ms,2 ms,1,110 ms,4%,下一代通信技术杂志,http://www.nextgencommtech.com,,
高,400 Mbps,22 ms,6 ms,0,75 ms,3%,光通讯技术杂志,http://www.opticalcomms.com,,
中,900 Mbps,28 ms,8 ms,4,140 ms,5%,网络世界,https://www.networkworld.com,,
低,20 Mbps,80 ms,25 ms,6,300 ms,12%,运筹与优化杂志,http://www.journalofoperationsandoptimization.com,,
高,2 Gbps,12 ms,4 ms,0,60 ms,1%,未来科技期刊,http://www.futuretechjournal.com,,
中,600 Mbps,26 ms,7 ms,2,115 ms,4%,数字通信期刊,http://www.digitalcommunicationjournal.com,,
高,2 Gbps,15 ms,4 ms,1,90 ms,1%,IEEE Communications Society,https://www.comsoc.org/,,
中,750 Mbps,35 ms,6 ms,3,110 ms,6%,China Network Communications,http://www.cncc.com.cn/,,
高,1.5 Gbps,18 ms,3 ms,0,80 ms,0%,IT World Canada,https://itworldcanada.com/,,
中,300 Mbps,40 ms,12 ms,2,140 ms,5%,Wired,https://www.wired.com/,,
高,5 Gbps,25 ms,2 ms,1,100 ms,1%,Telecoms.com,https://telecoms.com/,,
低,150 Mbps,55 ms,20 ms,4,200 ms,10%,Network World,https://www.networkworld.com/,,
高,900 Mbps,22 ms,5 ms,1,95 ms,2%,Gartner,https://www.gartner.com/,,
中,1.2 Gbps,30 ms,7 ms,2,150 ms,4%,NICT,https://www.nict.go.jp/en/,,
低,200 Mbps,60 ms,18 ms,5,220 ms,12%,Light Reading,https://www.lightreading.com/,,
高,4 Gbps,20 ms,4 ms,1,75 ms,1%,Frost & Sullivan,https://www.frost.com/,,
高,250 Mbps,45 ms,7 ms,0,170 ms,2%,IEEE Communications Society,https://www.comsoc.org,,
中,600 Mbps,15 ms,12 ms,3,130 ms,6%,传输与接收技术,https://www.ietf.org,,
高,1.5 Gbps,10 ms,4 ms,1,100 ms,1%,清华大学计算机科学与技术系,https://www.cs.tsinghua.edu.cn,,
低,100 Mbps,70 ms,20 ms,5,250 ms,10%,环球科学,https://www.sciencenet.cn,,
高,2 Gbps,8 ms,1 ms,0,80 ms,0.5%,科技日报,https://www.stdaily.com,,
中,750 Mbps,30 ms,6 ms,2,110 ms,3.5%,计算机网络与通信,https://www.cnki.net,,
高,1 Gbps,18 ms,9 ms,1,90 ms,2.5%,华为技术社区,https://community.huawei.com,,
中,400 Mbps,22 ms,14 ms,3,150 ms,5%,中国工程院,https://www.cae.cn,,
低,50 Mbps,90 ms,25 ms,8,300 ms,15%,科学技术信息研究所,https://www.istic.ac.cn,,
高,1.2 Gbps,12 ms,3 ms,0,75 ms,0.8%,中国互联网协会,https://www.isc.org.cn,,
高,200 Mbps,45 ms,12 ms,0,180 ms,2%,IEEE Xplore,https://ieeexplore.ieee.org/,,
低,50 Mbps,100 ms,25 ms,5,300 ms,10%,网络与信息安全,http://www.networksecurity.org/,,
中,750 Mbps,18 ms,7 ms,1,150 ms,3%,技术评论,https://www.techreview.com/,,
高,1.5 Gbps,10 ms,4 ms,0,90 ms,1%,中国计算机网,http://www.ccidnet.com/,,
中,300 Mbps,35 ms,15 ms,3,160 ms,5%,边缘计算技术,https://www.edgecomputingtech.com/,,
高,800 Mbps,20 ms,6 ms,1,110 ms,4%,网络世界,https://www.networld.com/,,
低,25 Mbps,150 ms,30 ms,10,400 ms,15%,信息技术杂志,https://www.technologyjournal.com/,,
中,600 Mbps,28 ms,9 ms,2,130 ms,6%,计算机科学通讯,https://www.cscomm.com/,,
高,1 Gbps,15 ms,5 ms,0,100 ms,2%,科技日报,http://www.sciencenews.com/,,
中,400 Mbps,22 ms,3 ms,2,140 ms,3%,技术资讯,https://www.technews.com/,,
高,2 Gbps,15 ms,6 ms,1,120 ms,2%,IEEE Communications Society,https://www.comsoc.org/,,
中,750 Mbps,35 ms,10 ms,3,150 ms,5%,Signal Processing Magazine,https://sps.ieee.org/,,
低,200 Mbps,100 ms,20 ms,5,300 ms,10%,Network World,https://www.networkworld.com/,,
高,5 Gbps,10 ms,3 ms,0,80 ms,1%,Telecommunication Journal,https://www.telecomjournal.com/,,
中,300 Mbps,45 ms,12 ms,4,200 ms,6%,China Communications,http://www.chinacommunications.org/,,
高,1.5 Gbps,25 ms,8 ms,1,90 ms,2%,ACM Transactions on Networking,https://dl.acm.org/journal/ton,,
