基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
卫星宽带,25 Mbps,150 Mbps,中,航天通信,https://www.spacecom.com/,,
无处不在的光纤技术,7 Gbps,18 Gbps,高,新科技发展,https://www.newtechdev.com/,,
光纤接入,2 Gbps,20 Gbps,高,阿里云,https://www.aliyun.com/,,
数字用户线（VDSL）,80 Mbps,100 Mbps,中,网易云,https://cloud.163.com/,,
光纤同轴电缆混合网 (HFC),20-200 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
5G网络,150 Mbps,1 Gbps,高,北京日报,https://www.bjd.com.cn/,,
光纤到户 (FTTH),500 Mbps,5 Gbps,高,新浪科技,https://tech.sina.com.cn/,,
卫星互联网,25 Mbps,75 Mbps,中,国际电信联盟,https://www.itu.int/,,
宽带无线接入 (WLAN),1 Mbps,50 Mbps,低,调研公司,https://www.research.com/,,
固定无线接入 (FWA),30 Mbps,400 Mbps,中,TechCrunch,https://techcrunch.com/,,
以太网接入,100 Mbps,1 Gbps,高,网络世界,https://www.networkworld.com/,,
MBR网络,40 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
FTTN（光纤到节点）,20 Mbps,500 Mbps,中,国防科技大学,https://www.nudt.edu.cn/,,
移动宽带,10 Mbps,200 Mbps,低,人民网,https://www.people.com.cn/,,
PLC技术宽带,5 Mbps,100 Mbps,中,电力公司,https://www.spd.com.cn/,,
SkyFiber接入,1 Gbps,8 Gbps,高,华为,https://www.huawei.com/,,
VDSL2技术,100 Mbps,500 Mbps,中,SoftBank,https://www.softbank.com/,,
Mesh网络,150 Mbps,1.5 Gbps,高,Cisco,https://www.cisco.com/,,
光纤网络扩展,400 Mbps,4 Gbps,高,新华网,http://www.xinhuanet.com/,,
点对点光纤,2 Gbps,10 Gbps,高,腾讯科技,https://tech.qq.com/,,
5G网络,1 Gbps,10 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤接入（FTTH）,500 Mbps,1 Gbps,高,网易科技,https://tech.163.com/,,
卫星网络,2 Mbps,25 Mbps,低,电信研究院,http://www.ctr.com.cn/,,
固定无线接入,20 Mbps,50 Mbps,中,华为,https://www.huawei.com/zh/,,
热带光纤网络,150 Mbps,600 Mbps,高,阿里云,https://www.aliyun.com/,,
数字用户线（VDSL）,35 Mbps,100 Mbps,中,搜狐科技,https://www.sohu.com/,,
光纤到楼（FTTB）,200 Mbps,800 Mbps,高,腾讯云,https://cloud.tencent.com/,,
城市光网,300 Mbps,1.5 Gbps,高,TechCrunch,https://techcrunch.com/,,
网状网络,10 Mbps,100 Mbps,中,ZOL,https://www.zol.com/,,
长距离光纤传输,800 Mbps,4 Gbps,高,环球网,https://www.huanqiu.com/,,
光纤接入,2 Gbps,20 Gbps,高,阿里云,https://www.aliyun.com/product/oss,,
宽带移动网络（5G）,150 Mbps,1 Gbps,高,艾瑞咨询,https://report.iresearch.cn/,,
卫星互联网,20 Mbps,100 Mbps,低,SpaceX,https://www.spacex.com/,,
光纤同轴电缆混合网 (HFC),30 Mbps,800 Mbps,中,中国电信,https://www.chinatelecom.com.cn/,,
数字用户线（VDSL2）,100 Mbps,200 Mbps,中,京东云,https://www.jdcloud.com/,,
宽带移动网络（4G）,30 Mbps,150 Mbps,中,腾讯云,https://cloud.tencent.com/,,
光纤接入（GPON）,1 Gbps,10 Gbps,高,华为,https://www.huawei.com/,,
固定无线接入,50 Mbps,200 Mbps,低,中兴通讯,https://www.zte.com.cn/,,
宽带光纤到户（FTTH）,1 Gbps,2 Gbps,高,检验网,https://www.jianyanwang.com/,,
电力线宽带,25 Mbps,100 Mbps,中,光纤在线,https://www.guangfenzx.com/,,
5G NR网络,100 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤到户 (FTTH),2 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
卫星互联网,25 Mbps,100 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
混合光纤同轴电缆网 (HFC),20-200 Mbps,500 Mbps,高,网络世界,https://www.nw-wz.com/,,
数字用户线 (VDSL),50 Mbps,200 Mbps,中,百度云,https://cloud.baidu.com/,,
超级宽带 (Super-fast Broadband),1 Gbps,5 Gbps,高,阿里云,https://www.aliyun.com/,,
Wi-Fi 6 (802.11ax),150 Mbps,600 Mbps,中,TechRadar,https://www.techradar.com/,,
工业以太网,1 Gbps,1 Gbps,高,工业贸易网,https://www.industrytrade.com/,,
电力线通信 (PLC),30 Mbps,90 Mbps,中,电力公司,https://www.powercompany.com/,,
故障转移宽带,100 Mbps,1 Gbps,高,多伦多技术新闻,https://www.torontotechnews.com/,,
光纤接入,2 Gbps,20 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
4G LTE Advanced,150 Mbps,600 Mbps,中,联通网络,https://www.chinaunicom.com/,,
数字用户线（VDSL）,100 Mbps,1 Gbps,中,网易科技,https://tech.163.com/,,
卫星宽带,10 Mbps,50 Mbps,低,新浪科技,https://tech.sina.com.cn/,,
光纤接入 (GPON),1 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
5G NR,500 Mbps,1.5 Gbps,中,高通,https://www.qualcomm.com/,,
有线电视互联网服务 (DOCSIS 3.1),1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com/,,
光纤到户 (FTTH),2 Gbps,20 Gbps,高,阿里云,https://www.aliyun.com/,,
固定无线接入 (FWA),100 Mbps,300 Mbps,中,IT之家,https://www.ithome.com/,,
光纤同轴电缆混合网 (HFC),50-200 Mbps,800 Mbps,高,人民邮电,https://www.ptpress.com.cn/,,
卫星互联网,20 Mbps,150 Mbps,高,Starlink,https://www.starlink.com,,
5G网络,250 Mbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn,,
固定无线接入,10 Mbps,100 Mbps,中,阿里云,https://www.aliyun.com,,
以太网光纤接入,2 Gbps,10 Gbps,高,网宿科技,https://www.wangsu.com,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
DOCSIS 3.1,200 Mbps,1 Gbps,中,康卡斯特,https://www.comcast.com,,
移动宽带（3G）,1.5 Mbps,21 Mbps,低,中国移动,https://www.chinamobileltd.com,,
极地互联网,5 Mbps,50 Mbps,高,探极科技,https://www.polartech.com,,
Wi-Fi 6,300 Mbps,1.2 Gbps,中,博通,https://www.broadcom.com,,
网络覆蓋,100 Mbps,500 Mbps,高,思科网络,https://www.cisco.com,,
光纤接入,2 Gbps,20 Gbps,高,华为,https://www.huawei.com,,
数字用户线（VDSL）,1 Mbps,100 Mbps,中,阿里云,https://www.aliyun.com,,
无线路由网络,20 Mbps,150 Mbps,低,京东云,https://www.jdcloud.com,,
5G网络,200 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobileltd.com,,
光纤同轴电缆混合网 (HFC),30 Mbps,500 Mbps,高,中国电信,https://www.chinatelecom.com.cn,,
卫星互联网,10 Mbps,25 Mbps,中,SpaceX,https://www.spacex.com/starlink,,
城市光网,5 Gbps,5 Gbps,高,光纤之城,https://www.guangfanzhicheng.com,,
短距离无线网络 (WiFi 6),1 Gbps,1.2 Gbps,高,Netgear,https://www.netgear.com/wifi-6/,,
光纤接入（FTTB）,1.5 Gbps,30 Gbps,高,AT&T,https://www.att.com/business/solutions/fiber.html,,
移动宽带（4G）,10 Mbps,50 Mbps,中,执惠,https://www.zhiwei.com,,
光纤接入,2 Gbps,20 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
数字用户线（VDSL）,1 Mbps,35 Mbps,中,中国电信,https://www.chinatelecom-h.com/,,
5G网络,100 Mbps,1 Gbps,高,工信部,http://www.miit.gov.cn/,,
WiMAX,5 Mbps,40 Mbps,中,ZDNet,https://www.zdnet.com/,,
光纤到户（FTTH）,10 Gbps,10 Gbps,高,信息产业部,http://www.miit.gov.cn/,,
HFC网络,2-50 Mbps,500 Mbps,高,美国有线电视协会,https://www.ncta.com/,,
以太网接入,1 Mbps,1 Gbps,中,Cisco,https://www.cisco.com/,,
IOT网络,200 kbps,1 Mbps,高,IEEE,https://www.ieee.org/,,
卫星互联网,3 Mbps,25 Mbps,中,SpaceX,https://www.spacex.com/,,
数字广播技术,10 Mbps,100 Mbps,低,国际电信联盟,https://www.itu.int/,,
5G无线网络,1 Gbps,10 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤到户（FTTH）,2 Gbps,20 Gbps,高,阿里云,https://www.aliyun.com/,,
VDSL（非常高速度数字用户线路）,100 Mbps,300 Mbps,中,京东云,https://www.jdcloud.com/,,
卫星互联网,10 Mbps,50 Mbps,中,腾讯云,https://cloud.tencent.com/,,
固定无线接入（FWA）,150 Mbps,500 Mbps,高,NetEase云,https://cloud.163.com/,,
光纤相干接入网络,10 Gbps,40 Gbps,高,华为技术,https://www.huawei.com/,,
DSL（数字用户线）,1 Mbps,15 Mbps,低,长城宽带,https://www.gdwl.net/,,
MPLS网络,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
Wi-Fi 6网络,100 Mbps,1 Gbps,中,小米科技,https://www.mi.com/,,
可再生能源驱动的基站网络,300 Mbps,1.5 Gbps,高,搜狐科技,https://www.sohu.com/,,
卫星互联网,25 Mbps,100 Mbps,高,全球卫星通信,https://www.globalstar.com/,,
IPv6网络,500 Mbps,1 Gbps,高,互联网工程任务组,https://www.ietf.org/,,
数字用户线（VDSL),80 Mbps,200 Mbps,中,中国联通,https://www.chinaunicom.com/,,
固定无线接入,10 Mbps,30 Mbps,中,华信通信,https://www.huaxtel.com/,,
5G网络,100 Mbps,1 Gbps,高,工信部,https://www.miit.gov.cn/,,
光纤接入 (FTTH),2 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com/,,
光纤到户 (FTTP),1 Gbps,5 Gbps,高,南方电网,https://www.csg.cn/,,
以太网,100 Mbps,1 Gbps,中,CISCO,https://www.cisco.com/,,
铜线网络 (POTS),64 kbps,56 kbps,低,电信研究院,https://www.crc.gov.cn/,,
网状无线网络,50 Mbps,200 Mbps,中,无锡网络公司,https://www.wuxinet.com/,,
光纤接入,2 Gbps,20 Gbps,高,新加坡电信,https://www.singtel.com,,
卫星互联网,100 Mbps,300 Mbps,中,SpaceX,https://www.spacex.com,,
WiMAX,5 Mbps,20 Mbps,低,国际电联,https://www.itu.int,,
光纤同轴电缆（DOCSIS 3.1）,200 Mbps,1 Gbps,高,Comcast,https://www.comcast.com,,
LTE Advanced网络,100 Mbps,400 Mbps,中,中国联通,https://www.chinaunicom.com,,
以太网接入,1 Gbps,1 Gbps,高,阿里云,https://www.aliyun.com,,
5G网络,500 Mbps,5 Gbps,高,华为,https://www.huawei.com,,
短距离无线接入（Wi-Fi 6）,1 Gbps,9.6 Gbps,高,IEEE,https://www.ieee.org,,
固定无线接入,50 Mbps,200 Mbps,中,AT&T,https://www.att.com,,
电力线通信（PLC）,10 Mbps,30 Mbps,中,电力公司咨询,https://www.energy.gov,,
5G网络,1500,2000,中,人民网,http://www.people.com.cn/,,
Wi-Fi 6,2400,9600,高,中国信息产业网,http://www.cnii.com.cn/,,
光纤接入,2,20,高,阿里云,https://www.aliyun.com/,,
固定无线接入（FWA）,100,500,中,中科院光电研究所,http://www.ioa.ac.cn/,,
卫星互联网,25,100,低,航天信息网,http://www.spaceinfo.com/,,
混合光纤电缆网络 (HFC),30,800,中,IT之家,https://www.ithome.com/,,
光纤到户 (FTTH),1,100,高,搜狐科技,https://www.sohu.com/tech/,,
DSL (VDSL),50,100,中,网易科技,https://tech.163.com/,,
全光网络 (EON),10,40,高,光纤网,https://www.fiberoptics.com.cn/,,
移动宽带 (4G),20,150,中,财经网,http://www.caijing.com.cn/,,
光纤接入,2 Gbps,15 Gbps,高,阿里云,https://www.aliyun.com/,,
无线局域网（WLAN）,150 Mbps,600 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
4G移动网络,20 Mbps,150 Mbps,低,中国移动,https://www.10086.cn/,,
超宽带接入（UWB）,500 Mbps,5 Gbps,高,京东云,https://www.jd.com/,,
5G移动网络,100 Mbps,1 Gbps,中,移动互联网研究院,https://www.miit.gov.cn/,,
卫星网络,20 Mbps,50 Mbps,低,美国国家航空航天局,https://www.nasa.gov/,,
电力线通信（PLC）,10 Mbps,30 Mbps,中,国际电信联盟,https://www.itu.int/,,
光纤增强型同步光网络 (ASON),200 Mbps,1.5 Gbps,高,思科系统,https://www.cisco.com/,,
微波点对点网络,150 Mbps,400 Mbps,中,英特尔,https://www.intel.cn/,,
边缘计算网络,300 Mbps,3 Gbps,高,亚马逊云计算,https://aws.amazon.com/,,
卫星宽带,5 Mbps,25 Mbps,中,中国航天科技,https://www.casc.cn/,,
光纤接入网 (FTTx),10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
微波链路,30 Mbps,150 Mbps,中,联通网络,https://www.chinaunicom.com/,,
5G NR网络,100 Mbps,1 Gbps,高,移动互联网观察,https://www.mobiewatch.com/,,
Cable Modem (CM),2 Mbps,100 Mbps,中,搜狐科技,https://www.sohu.com/,,
固定无线接入 (FWA),20 Mbps,100 Mbps,中,国际电信联盟,https://www.itu.int/,,
城域网 (MAN),1 Gbps,2 Gbps,高,北京邮电大学,http://www.bupt.edu.cn/,,
LPWAN (低功耗广域网),50 kbps,10 kbps,高,华为云,https://support.huaweicloud.com/,,
光纤到户 (FTTH),1 Gbps,2 Gbps,高,信息产业部,https://www.miit.gov.cn/,,
局域网 (LAN),1 Gbps,1 Gbps,高,网易科技,https://tech.163.com/,,
卫星宽带,2 Mbps,25 Mbps,低,Starlink,https://www.starlink.com,,
微波接入,25 Mbps,100 Mbps,中,中国移动,https://www.chinamobileltd.com,,
5G NR,150 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤至楼 (FTTB),300 Mbps,1 Gbps,高,华为,https://www.huawei.com,,
光纤接入网 (PON),1 Gbps,10 Gbps,高,网宿科技,https://www.wangsu.com,,
DSL光纤混合网,1.5 Mbps,12 Mbps,中,阿里云,https://www.aliyun.com,,
网状网络,10 Mbps,40 Mbps,中,电信研究院,http://www.tei.ac.cn,,
长距离光纤传输,2 Gbps,8 Gbps,高,美国通信委员会,https://www.fcc.gov,,
混合光纤/铜线接入,100 Mbps,500 Mbps,中,AT&T,https://www.att.com,,
光电子接入网,500 Mbps,2 Gbps,高,思科,https://www.cisco.com,,
5G网络,200,2000,高,中兴通讯,https://www.zte.com.cn,,
光纤到户 (FTTH),1,10,高,中国联通,https://www.chinaunicom.com,,
Cable Modem,80,1,中,美国宽带协会,https://www.broadbandassociation.org,,
DSL (VDSL),200,1000,中,AT&T,https://www.att.com,,
卫星互联网,10,25,低,全球卫星网络,https://www.globalsatellitenetworks.com,,
Wimax,1,10,中,清华大学网络研究中心,https://www.tsinghua.edu.cn,,
光纤架构 (PON),1,2,高,华为技术有限公司,https://www.huawei.com,,
LTE-Advanced,150,1000,高,诺基亚,https://www.nokia.com,,
Fiber Channel,16,16,高,国际光纤网络协会,https://www.ofcconference.org,,
公用电缆网络,5,50,中,地方电信公司,https://www.localtelco.com,,
光纤接入,2 Gbps,20 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
卫星宽带,1 Mbps,25 Mbps,低,Starlink,https://www.starlink.com/,,
固定无线接入 (FWA),20 Mbps,200 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
5G网络,100 Mbps,1 Gbps,高,爱立信,https://www.ericsson.com/,,
光纤到户 (FTTH),500 Mbps,2 Gbps,高,日本NTT,https://www.ntt.com/en/index.html,,
高速电缆接入,5 Mbps,100 Mbps,中,康宁,https://www.corning.com/,,
光纤射频 (RFoG),300 Mbps,1.5 Gbps,高,诺基亚,https://www.nokia.com/,,
电力线通信 (PLC),1 Mbps,50 Mbps,低,德州仪器,https://www.ti.com/,,
无线局域网 (WiFi 6),1.2 Gbps,9.6 Gbps,中,WiFi联盟,https://www.wi-fi.org/,,
微波回传,40 Mbps,400 Mbps,中,中国联通,https://www.chinaunicom.com/,,
5G网络,150 Mbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤接入,2 Gbps,20 Gbps,高,北京电信,https://www.chinatelecom.com.cn/,,
卫星互联网,20 Mbps,500 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
数字用户线（VDSL）,100 Mbps,1 Gbps,中,华为,https://www.huawei.com/,,
光纤同轴电缆混合网 (HFC),50 Mbps,600 Mbps,高,Netflix,https://www.netflix.com/,,
固定无线接入 (FWA),30 Mbps,300 Mbps,高,英国电信,https://www.bt.com/,,
LTE网络,75 Mbps,150 Mbps,中,Orange France,https://www.orange.com/,,
光纤接入,1 Gbps,10 Gbps,高,Verizon,https://www.verizon.com/,,
光纤圆盘接入,500 Mbps,1 Gbps,高,AT&T,https://www.att.com/,,
开放接入光纤网络,200 Mbps,1 Gbps,高,日本NTT,https://www.ntt.com/,,
5G网络,1 Gbps,20 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
卫星互联网,50 Mbps,100 Mbps,中,星链,https://www.starlink.com/,,
光纤接入,200 Mbps,1 Gbps,高,电信网,https://www.chinatelecom.com.cn/,,
以太网,1 Gbps,1 Gbps,高,华为,https://www.huawei.com/zh/,,
数字用户线（VDSL）,2 Mbps,35 Mbps,中,网宿科技,https://www.wangsu.com/,,
光纤到户（FTTH）,500 Mbps,5 Gbps,高,新浪科技,https://tech.sina.com.cn/,,
DOCSIS 3.1,1 Gbps,10 Gbps,中,英特尔,https://www.intel.com/,,
无线热点网络,30 Mbps,200 Mbps,低,网易科技,https://tech.163.com/,,
IPv6网络,100 Mbps,1 Gbps,高,阿里云,https://www.aliyun.com/,,
电力线通信（PLC）,15 Mbps,25 Mbps,中,高通,https://www.qualcomm.com/,,
5G网络,1 Gbps,10 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
千兆光纤接入,1 Gbps,1 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
光纤局域网 (LAN),100 Mbps,1 Gbps,中,Cisco,https://www.cisco.com/,,
卫星互联网,2 Mbps,25 Mbps,低,Starlink,https://www.starlink.com/,,
混合光纤同轴电缆 (HFC),20 Mbps,600 Mbps,中,Comcast,https://www.comcast.com/,,
VDSL网络,20 Mbps,100 Mbps,中,英国电信,https://www.bt.com/,,
光纤入户 (FTTH),2 Gbps,2 Gbps,高,AT&T,https://www.att.com/,,
Wi-Fi 6网络,200 Mbps,1.2 Gbps,中,Netgear,https://www.netgear.com/,,
光纤以太网,10 Gbps,10 Gbps,高,华为,https://www.huawei.com/,,
移动宽带 (4G),10 Mbps,150 Mbps,中,联通,https://www.chinaunicom.com/,,
5G网络,150 Mbps,900 Mbps,高,中国移动,https://www.chinamobileltd.com/,,
光纤到户 (FTTH),2 Gbps,20 Gbps,高,新加坡电信,https://www.singtel.com/,,
卫星互联网,5 Mbps,25 Mbps,中,Starlink,https://www.starlink.com/,,
以太网接入,100 Mbps,1 Gbps,高,AT&T,https://www.att.com/,,
无线路由器网络 (Wi-Fi 6),40 Mbps,400 Mbps,中,华硕,https://www.asus.com/,,
光纤广播网 (FTTx),500 Mbps,5 Gbps,高,诺基亚,https://www.nokia.com/,,
宽带接入 (DSL),1 Mbps,10 Mbps,中,Comcast,https://www.comcast.com/,,
光纤适配器网络 (FAN),1.5 Gbps,15 Gbps,高,日本电信,https://www.ntt.com/,,
混合光纤同轴电缆 (HFC),100 Mbps,1.2 Gbps,中,风暴通讯,https://www.broadband.ca/,,
