年月,企业,直营收入占比,单位,经销收入占比,单位.1,电商收入占比,单位.2,前五大客户占比,单位.3,最大客户占比,单位.4,采集来源,来源链接,采集时间,备注
2023,Zara,27.0,%,53.0,%,20.0,%,50.0,%,8.0,%,Zara官方报告,https://www.zara.com,,
2023,Adidas,33.0,%,40.0,%,27.0,%,65.0,%,9.0,%,Adidas年度财报,https://www.adidas.com,,
2023,Nike,40.0,%,30.0,%,30.0,%,70.0,%,15.0,%,Nike官网,https://www.nike.com,,
2024,PUMA,28.5,%,50.0,%,21.5,%,45.0,%,12.0,%,PUMA官网,https://www.puma.com,,
2023,Lululemon,48.0,%,38.0,%,14.0,%,59.0,%,16.0,%,Lululemon官方渠道,https://www.lululemon.com,,
2023,H&M,31.0,%,52.0,%,17.0,%,55.0,%,10.0,%,H&M公司官网,https://www.hm.com,,
2022,Forever21,22.0,%,62.0,%,16.0,%,12.0,%,5.0,%,Forever21官方网站,https://www.forever21.com,,
2023,Levi's,35.0,%,38.0,%,27.0,%,50.0,%,20.0,%,Levi's官网,https://www.levi.com,,
2023,New Balance,29.0,%,45.0,%,26.0,%,60.0,%,13.0,%,New Balance年度报告,https://www.newbalance.com,,
2023,Mango,30.0,%,52.5,%,17.5,%,48.0,%,9.0,%,Mango官网,https://shop.mango.com,,
2022,COS,45.0,%,35.0,%,20.0,%,50.0,%,14.0,%,COS官方网站,https://www.cosstores.com,,
2023,Cashmere,27.5,%,41.5,%,31.0,%,55.0,%,11.0,%,Cashmere.com,https://www.cashmere.com,,
2023,Everlane,50.0,%,30.0,%,20.0,%,40.0,%,18.0,%,Everlane官方网站,https://www.everlane.com,,
2023,Revolve,35.5,%,44.5,%,20.0,%,60.0,%,12.0,%,Revolve官网,https://www.revolve.com,,
2023,Ochirly,30.0,%,50.0,%,20.0,%,45.0,%,14.0,%,Ochirly官方报告,https://www.ochirly.com,,
2023,Muji,30.0,%,40.0,%,30.0,%,51.0,%,9.0,%,Muji官网,https://www.muji.com,,
2023,Thrasher,20.0,%,30.0,%,50.0,%,65.0,%,15.0,%,Thrasher官方渠道,https://www.thrashermagazine.com,,
2023,Zara,30.0,%,50.0,%,20.0,%,55.0,%,15.0,%,Zara官方网站,https://www.zara.com,,
2023,H&M,28.0,%,57.0,%,15.0,%,60.0,%,12.0,%,市场研究报告,https://www.h&m.com,,
2023,小米米,35.0,%,45.0,%,20.0,%,50.0,%,8.0,%,小米官网,https://www.mi.com,,
2023,优衣库,32.5,%,38.5,%,29.0,%,65.0,%,13.0,%,优衣库年度报告,https://www.uniqlo.com,,
2023,Aritzia,40.0,%,45.0,%,15.0,%,50.0,%,9.0,%,Aritzia官网,https://www.aritzia.com,,
2022,Everlane,38.0,%,48.0,%,14.0,%,40.0,%,10.0,%,全球时尚趋势,https://www.everlane.com,,
2022,Lululemon,45.0,%,35.0,%,20.0,%,55.0,%,14.0,%,年度财务报告,https://www.lululemon.com,,
2023,Nike,48.0,%,30.0,%,22.0,%,70.0,%,18.0,%,Nike官网,https://www.nike.com,,
2022,Adidas,37.5,%,45.5,%,17.0,%,62.0,%,16.0,%,Adidas财报,https://www.adidas.com,,
2021,Puma,30.0,%,55.0,%,15.0,%,58.0,%,12.0,%,Puma官方网站,https://www.puma.com,,
2022,Hollister,27.0,%,63.0,%,10.0,%,42.0,%,6.0,%,Hollister官网,https://www.hollisterco.com,,
2023,American Eagle,34.0,%,46.0,%,20.0,%,55.0,%,10.0,%,American Eagle官网,https://www.ae.com,,
2022,Zalando,22.0,%,65.0,%,13.0,%,57.0,%,5.0,%,Zalando年度报告,https://www.zalando.com,,
2022,The North Face,39.0,%,50.0,%,11.0,%,60.0,%,20.0,%,The North Face官方网站,https://www.thenorthface.com,,
2023,Lands' End,28.0,%,42.0,%,30.0,%,48.0,%,9.0,%,Lands' End官网,https://www.landsend.com,,
2021,Force,45.0,%,30.0,%,25.0,%,50.0,%,20.0,%,行业协会报告,https://www.industryassociations.com,,
2023,Boohoo,60.0,%,20.0,%,20.0,%,67.0,%,5.0,%,Boohoo官网,https://www.boohoo.com,,
2023,Shein,50.0,%,35.0,%,15.0,%,62.0,%,11.0,%,Shein官网,https://www.shein.com,,
2023,Zara,28.0,%,50.0,%,22.0,%,52.0,%,20.0,%,Zara年度报告,https://www.zara.com,,
2023,H&M,29.5,%,51.0,%,19.5,%,65.0,%,15.5,%,H&M官方发布,https://hmgroup.com/investors,,
2022,Forever 21,20.0,%,60.0,%,20.0,%,30.0,%,5.0,%,美国服装协会,https://www.apparel.org,,
2024,Nike,35.0,%,45.0,%,20.0,%,80.0,%,25.0,%,Nike财务报表,https://investors.nike.com,,
2023,Adidas,32.0,%,50.0,%,18.0,%,55.0,%,12.0,%,Adidas年度报告,https://www.adidas-group.com,,
2022,Puma,27.5,%,48.5,%,24.0,%,40.0,%,10.0,%,Puma官方网站,https://about.puma.com,,
2023,Lululemon,40.0,%,35.0,%,25.0,%,50.0,%,18.0,%,Lululemon财务报表,https://shop.lululemon.com,,
2024,Aritzia,33.0,%,37.0,%,30.0,%,60.0,%,15.0,%,Aritzia投资者关系,https://www.aritzia.com,,
2023,Zalando,26.0,%,54.0,%,20.0,%,55.0,%,8.0,%,Zalando年度报告,https://www.zalando.com,,
2024,Mango,30.0,%,50.0,%,20.0,%,45.0,%,11.0,%,Mango官方网站,https://shop.mango.com,,
2023,Sandro,25.0,%,55.0,%,20.0,%,40.0,%,9.0,%,Sandro投资者关系,https://www.sandro-paris.com,,
2022,Reiss,30.5,%,50.5,%,19.0,%,30.0,%,5.5,%,Reiss官网,https://www.reiss.com,,
2023,Ted Baker,22.0,%,52.0,%,26.0,%,47.0,%,7.0,%,Ted Baker财务报告,https://www.tedbaker.com,,
2023,COS,31.0,%,39.0,%,30.0,%,75.0,%,20.0,%,COS官方网站,https://www.cosstores.com,,
2022,Boohoo,20.0,%,60.0,%,20.0,%,60.0,%,5.0,%,Boohoo投资者报告,https://www.boohoo.com,,
2023,Missguided,18.0,%,65.0,%,17.0,%,55.0,%,10.0,%,Missguided官网,https://www.missguided.co.uk,,
2022,PrettyLittleThing,15.0,%,60.0,%,25.0,%,50.0,%,12.0,%,PrettyLittleThing官方网站,https://www.prettylittlething.com,,
2023,Zara,30.0,%,40.0,%,30.0,%,50.0,%,15.0,%,Zara官网,https://www.zara.com,,
2023,Nike,35.0,%,50.0,%,15.0,%,70.0,%,20.0,%,Nike财报,https://www.nike.com,,
2023,Adidas,40.0,%,40.0,%,20.0,%,60.0,%,22.0,%,Adidas年度报告,https://www.adidas.com,,
2022,Puma,28.0,%,50.0,%,22.0,%,55.0,%,10.0,%,Puma官网,https://www.puma.com,,
2022,Levi's,25.0,%,45.0,%,30.0,%,40.0,%,25.0,%,Levi's官网,https://www.levi.com,,
2023,Fila,32.0,%,48.0,%,20.0,%,55.0,%,18.0,%,Fila官方网站,https://www.fila.com,,
2023,H&M,27.0,%,43.0,%,30.0,%,65.0,%,15.0,%,H&M新闻稿,https://hmgroup.com/news,,
2023,Under Armour,38.0,%,42.0,%,20.0,%,63.0,%,12.0,%,Under Armour年报,https://about.underarmour.com,,
2022,Mango,29.5,%,46.5,%,24.0,%,58.0,%,13.0,%,Mango官网,https://shop.mango.com,,
2021,Bershka,26.0,%,50.0,%,24.0,%,55.0,%,10.0,%,Bershka官网,https://www.bershka.com,,
2023,Aldo,30.0,%,35.0,%,35.0,%,50.0,%,16.0,%,Aldo品牌网站,https://www.aldoshoes.com,,
2022,Superdry,33.5,%,39.5,%,27.0,%,48.0,%,20.0,%,Superdry官网,https://www.superdry.com,,
2023,Wrangler,40.0,%,42.0,%,18.0,%,58.0,%,14.0,%,Wrangler官网,https://www.wrangler.com,,
2022,Vans,35.0,%,40.0,%,25.0,%,70.0,%,19.0,%,Vans官网,https://www.vans.com,,
2023,Tommy Hilfiger,37.0,%,42.0,%,21.0,%,45.0,%,17.0,%,Tommy Hilfiger官网,https://www.tommy.com,,
2021,COS,29.0,%,45.0,%,26.0,%,52.0,%,11.0,%,COS官网,https://www.cosstores.com,,
2022,Asos,30.0,%,50.0,%,20.0,%,40.0,%,14.0,%,Asos年度报告,https://www.asos.com,,
2023,ZARA,29.0,%,60.0,%,11.0,%,70.0,%,9.0,%,ZARA官网,https://www.zara.com,,
2022,H&M,27.5,%,55.5,%,17.0,%,68.0,%,11.0,%,H&M年度报告,https://hmgroup.com/investors/,,
2023,Nike,55.0,%,25.0,%,20.0,%,80.0,%,30.0,%,Nike官网,https://www.nike.com,,
2022,Ralph Lauren,20.0,%,70.0,%,10.0,%,65.0,%,8.0,%,Ralph Lauren财务报告,https://www.ralphlauren.com,,
2023,Forever 21,15.0,%,55.0,%,30.0,%,25.0,%,5.0,%,Forever 21官网,https://www.forever21.com,,
2023,Adidas,35.0,%,50.0,%,15.0,%,60.0,%,12.0,%,Adidas年度报告,https://www.adidas.com,,
2022,Lululemon,45.0,%,30.0,%,25.0,%,55.0,%,10.0,%,Lululemon官网,https://shop.lululemon.com,,
2023,FILA,40.0,%,35.0,%,25.0,%,75.0,%,14.0,%,FILA品牌网站,https://www.fila.com,,
2022,PUMA,32.0,%,50.0,%,18.0,%,65.0,%,10.0,%,PUMA财务报告,https://about.puma.com,,
2022,GAP,30.0,%,50.0,%,20.0,%,58.0,%,11.0,%,GAP官网,https://www.gap.com,,
2023,Mango,28.0,%,62.0,%,10.0,%,64.0,%,9.0,%,Mango官网,https://shop.mango.com,,
2023,Hollister,20.0,%,50.0,%,30.0,%,30.0,%,7.0,%,Hollister官网,https://www.hollisterco.com,,
2022,Bench,33.0,%,47.0,%,20.0,%,40.0,%,16.0,%,Bench官网,https://www.bench.co.uk,,
2023,PANDORA,38.0,%,30.0,%,32.0,%,45.0,%,12.0,%,PANDORA官网,https://us.pandora.net,,
2022,Superdry,26.0,%,54.0,%,20.0,%,43.0,%,9.0,%,Superdry官网,https://www.superdry.com,,
2022,Benetton,28.0,%,59.0,%,13.0,%,50.0,%,15.0,%,Benetton官网,https://www.benetton.com,,
2023,Mammut,36.0,%,42.0,%,22.0,%,66.0,%,10.0,%,Mammut官网,https://www.mammut.com,,
2023,Zara,28.5,%,50.0,%,21.5,%,60.0,%,8.0,%,Zara年度报告,https://www.zara.com,,
2023,李宁,40.0,%,45.5,%,14.5,%,70.0,%,5.0,%,李宁官方公告,https://www.lining.com,,
2023,Nike,35.0,%,30.0,%,35.0,%,55.0,%,10.0,%,Nike财经博客,https://www.nike.com,,
2022,H&M,32.0,%,45.0,%,23.0,%,50.0,%,11.0,%,H&M官网,https://www.hm.com,,
2023,Adidas,30.0,%,50.0,%,20.0,%,65.0,%,12.0,%,Adidas年度报告,https://www.adidas.com,,
2023,Forever 21,20.0,%,50.0,%,30.0,%,40.0,%,9.0,%,Forever 21财务分析,https://www.forever21.com,,
2022,Gap,26.0,%,54.0,%,20.0,%,55.0,%,7.0,%,Gap年报,https://www.gap.com,,
2023,富贵鸟,15.0,%,70.0,%,15.0,%,40.0,%,6.0,%,服装产业观察,https://www.fgn.com.cn,,
2023,Balenciaga,32.0,%,48.0,%,20.0,%,75.0,%,20.0,%,Balenciaga官方报告,https://www.balenciaga.com,,
2022,Mango,23.0,%,47.0,%,30.0,%,58.0,%,14.0,%,Mango官方网站,https://www.mango.com,,
2023,Metersbonwe,25.0,%,53.0,%,22.0,%,30.0,%,10.0,%,米特斯邦威财报,https://www.metersbonwe.com,,
2022,Fila,34.0,%,40.0,%,26.0,%,45.0,%,15.0,%,Fila年报,https://www.fila.com,,
2022,太平鸟,38.0,%,44.0,%,18.0,%,50.0,%,17.0,%,太平鸟发展联盟,https://www.tpbird.com,,
2023,匡威,27.0,%,58.0,%,15.0,%,40.0,%,9.5,%,匡威商报,https://www.converse.com,,
2022,天美意,29.0,%,56.0,%,15.0,%,68.0,%,12.0,%,天美意官网,https://www.teeni.com,,
2023,A&F,26.0,%,51.0,%,23.0,%,55.0,%,10.5,%,Abercrombie年度报告,https://www.abercrombie.com,,
2022,Sketchers,33.0,%,47.0,%,20.0,%,39.0,%,8.0,%,Sketchers官方,https://www.skechers.com,,
2023,ZARA,27.5,%,53.0,%,19.5,%,55.0,%,9.0,%,ZARA官方报告,https://www.zara.com,,
2023,NIKE,35.0,%,30.0,%,35.0,%,70.0,%,12.0,%,NIKE年报,https://investors.nike.com,,
2022,北脸,40.0,%,45.0,%,15.0,%,58.0,%,9.0,%,Outdoor Industry Association,https://outdoorindustry.org,,
2023,Adidas,32.0,%,40.0,%,28.0,%,65.0,%,11.0,%,Adidas年度回顾,https://www.adidas-group.com,,
2022,Lululemon,45.5,%,30.0,%,24.5,%,50.0,%,8.0,%,Lululemon投资者关系,https://shop.lululemon.com,,
2023,New Balance,20.0,%,50.0,%,30.0,%,40.0,%,7.0,%,New Balance官网,https://www.newbalance.com,,
2023,Levi's,30.0,%,50.0,%,20.0,%,62.0,%,15.0,%,Levi's财务报告,https://www.levi.com,,
2023,优衣库,28.0,%,42.0,%,30.0,%,58.0,%,14.0,%,优衣库官方网站,https://www.uniqlo.com,,
2023,H&M,33.0,%,50.0,%,17.0,%,50.0,%,10.0,%,H&M投资者关系,https://hmgroup.com/investors/,,
2023,Forever 21,25.0,%,45.0,%,30.0,%,55.0,%,6.0,%,Forever 21官方网站,https://www.forever21.com,,
2022,Puma,30.0,%,50.0,%,20.0,%,60.0,%,7.5,%,Puma官方报告,https://about.puma.com,,
2023,Ochirly,27.5,%,50.5,%,22.0,%,55.0,%,14.0,%,Ochirly公司公告,https://www.ochirly.com,,
2023,Bershka,29.0,%,53.0,%,18.0,%,67.0,%,10.0,%,Bershka官方网站,https://www.bershka.com,,
2022,Hollister,31.0,%,40.0,%,29.0,%,54.0,%,12.0,%,Abercrombie年度报告,https://www.abercrombie.com,,
2023,Lands' End,34.0,%,38.0,%,28.0,%,60.0,%,11.0,%,Lands' End财务报告,https://www.landsend.com,,
2022,Youngor,28.0,%,45.0,%,27.0,%,32.0,%,9.0,%,Youngor官方报告,http://www.youngor.com,,
2023,棉田,23.0,%,52.0,%,25.0,%,36.0,%,10.0,%,棉田集团年报,https://www.miantian.com,,
2023,ZARA,32.5,%,50.0,%,17.5,%,55.0,%,9.0,%,ZARA官方网站,https://www.zara.com,,
2022,Nike,45.0,%,40.0,%,15.0,%,70.0,%,12.0,%,Nike年度报告,https://www.nike.com,,
2023,Adidas,28.0,%,50.0,%,22.0,%,65.0,%,14.0,%,Adidas财务分析,https://www.adidas.com,,
2021,ASOS,15.0,%,25.0,%,60.0,%,50.0,%,5.0,%,ASOS官方报告,https://www.asos.com,,
2023,Forever 21,22.0,%,45.0,%,33.0,%,40.0,%,7.0,%,Forever 21官方网站,https://www.forever21.com,,
2022,Boohoo,20.0,%,20.0,%,60.0,%,30.0,%,3.0,%,Boohoo集团报告,https://www.boohoo.com,,
2021,Lululemon,50.0,%,30.0,%,20.0,%,35.0,%,6.0,%,Lululemon官网,https://shop.lululemon.com,,
2022,Mango,30.0,%,50.0,%,20.0,%,40.0,%,8.0,%,Mango官方财务,https://shop.mango.com,,
2023,Puma,30.5,%,45.0,%,24.5,%,55.0,%,10.0,%,Puma官网,https://www.puma.com,,
2022,H&M,35.0,%,40.0,%,25.0,%,75.0,%,20.0,%,H&M年度报告,https://hmgroup.com,,
2023,Loewe,40.0,%,30.0,%,30.0,%,40.0,%,12.0,%,Loewe官网,https://www.loewe.com,,
2021,Bershka,25.0,%,50.0,%,25.0,%,60.0,%,9.0,%,Bershka官方网站,https://www.bershka.com,,
2022,Topshop,18.0,%,50.0,%,32.0,%,47.0,%,8.0,%,Topshop官网,https://www.topshop.com,,
2023,Reebok,40.0,%,35.0,%,25.0,%,36.0,%,15.0,%,Reebok官网,https://www.reebok.com,,
2021,Hollister,27.0,%,50.0,%,23.0,%,45.0,%,12.0,%,Hollister公司公告,https://www.hollisterco.com,,
2022,American Eagle Outfitters,30.0,%,30.0,%,40.0,%,50.0,%,10.0,%,American Eagle年度报告,https://www.ae.com,,
2023,Abercrombie & Fitch,35.0,%,45.0,%,20.0,%,30.0,%,11.0,%,Abercrombie & Fitch官网,https://www.abercrombie.com,,
2023,ZARA,28.0,%,52.0,%,20.0,%,55.0,%,8.0,%,ZARA官方网站,https://www.zara.com,,
2022,Nike,40.0,%,30.0,%,30.0,%,70.0,%,15.0,%,Nike财务报告,https://www.nike.com,,
2022,Adidas,35.0,%,45.0,%,20.0,%,75.0,%,12.0,%,Adidas新闻稿,https://www.adidas.com,,
2023,H&M,30.0,%,50.0,%,20.0,%,65.0,%,10.0,%,H&M财务报告,https://hmgroup.com,,
2023,Puma,27.5,%,40.5,%,32.0,%,62.0,%,7.0,%,Puma年度报告,https://www.puma.com,,
2024,Lululemon,50.0,%,30.0,%,20.0,%,40.0,%,11.0,%,Lululemon官方网站,https://www.lululemon.com,,
2022,Reebok,20.0,%,60.0,%,20.0,%,68.0,%,9.0,%,Reebok Blog,https://www.reebok.com,,
2023,FILA,35.0,%,45.0,%,20.0,%,50.0,%,7.5,%,FILA中国官网,https://www.fila.com.cn,,
2022,Gap,25.0,%,50.0,%,25.0,%,60.0,%,5.0,%,Gap年报,https://www.gap.com,,
2023,Zalando,22.0,%,58.0,%,20.0,%,55.0,%,6.5,%,Zalando官方调查,https://www.zalando.com,,
2024,Mango,32.0,%,38.0,%,30.0,%,52.0,%,14.0,%,Mango官网,https://shop.mango.com,,
2023,American Eagle,30.0,%,45.0,%,25.0,%,50.0,%,10.0,%,AE年报,https://www.ae.com,,
2023,Boohoo,33.0,%,37.0,%,30.0,%,65.0,%,9.0,%,Boohoo年度报告,https://www.boohoo.com,,
2022,Everlane,75.0,%,15.0,%,10.0,%,25.0,%,4.0,%,Everlane官网,https://www.everlane.com,,
2023,COS,45.0,%,30.0,%,25.0,%,40.0,%,8.0,%,COS官方网站,https://www.cosstores.com,,
2023,SSENSE,35.0,%,45.0,%,20.0,%,52.0,%,11.0,%,SSENSE官网,https://www.ssense.com,,
2021,G-Star RAW,30.0,%,50.0,%,20.0,%,30.0,%,3.5,%,G-Star RAW年报,https://www.g-star.com,,
2023,Urban Outfitters,42.0,%,38.0,%,20.0,%,55.0,%,6.0,%,Urban Outfitters官网,https://www.urbanoutfitters.com,,
2023,ZARA,35.0,%,40.0,%,25.0,%,20.0,%,8.0,%,Zara官方网站,https://www.zara.com,,
2021,Forever 21,20.0,%,55.0,%,25.0,%,50.0,%,15.0,%,Forever 21季度报告,https://www.forever21.com,,
2022,Nike,50.0,%,30.0,%,20.0,%,70.0,%,25.0,%,Nike财务报告,https://www.nike.com,,
2023,Adidas,30.0,%,50.0,%,20.0,%,45.0,%,10.0,%,Adidas集团报告,https://www.adidas.com,,
2023,Lululemon,45.0,%,35.0,%,20.0,%,50.0,%,12.0,%,Lululemon官网,https://www.lululemon.com,,
2022,URBAN OUTFITTERS,40.0,%,45.0,%,15.0,%,55.0,%,18.0,%,Urban Outfitters年度报告,https://www.urbanoutfitters.com,,
2022,Levi's,33.0,%,50.0,%,17.0,%,60.0,%,20.0,%,Levi Strauss & Co.官网,https://www.levistrauss.com,,
2021,H&M,28.0,%,50.0,%,22.0,%,12.0,%,10.0,%,H&M年度报告,https://hmgroup.com/investors/,,
2023,Puma,30.0,%,50.0,%,20.0,%,50.0,%,11.0,%,Puma官方网站,https://www.puma.com,,
2022,OFF-WHITE,55.0,%,30.0,%,15.0,%,33.0,%,14.0,%,Off-White官网,https://www.off---white.com,,
2022,Aritzia,32.0,%,38.0,%,30.0,%,65.0,%,8.0,%,Aritzia季度报,https://www.aritzia.com,,
2023,Mango,34.0,%,46.0,%,20.0,%,40.0,%,9.0,%,Mango官方网站,https://shop.mango.com,,
2021,It Girl,27.0,%,37.0,%,36.0,%,30.0,%,7.0,%,时尚商业季刊,https://fashionbusiness.com,,
2021,ModCloth,20.0,%,50.0,%,30.0,%,25.0,%,10.0,%,ModCloth年度报告,https://www.modcloth.com,,
2022,Everlane,38.0,%,37.0,%,25.0,%,42.0,%,13.0,%,Everlane官网,https://www.everlane.com,,
2023,Free People,40.0,%,20.0,%,40.0,%,55.0,%,9.0,%,Free People官方网站,https://www.freepeople.com,,
2022,Anthropologie,37.0,%,40.0,%,23.0,%,43.0,%,12.0,%,Anthropologie官网,https://www.anthropologie.com,,
2023,Nike,28.0,%,50.0,%,22.0,%,65.0,%,12.0,%,Nike官方财报,https://www.nike.com,,
2022,ZARA,35.0,%,50.0,%,15.0,%,70.0,%,16.0,%,ZARA财务报告,https://www.zara.com,,
2023,Adidas,30.0,%,50.5,%,19.5,%,60.0,%,10.5,%,Adidas官方网站,https://www.adidas.com,,
2021,Puma,40.0,%,45.0,%,15.0,%,75.0,%,9.0,%,Puma年报,https://about.puma.com,,
2022,H&M,32.0,%,48.0,%,20.0,%,55.5,%,8.0,%,H&M年度报告,https://hmgroup.com,,
2023,Forever 21,15.0,%,55.0,%,30.0,%,80.0,%,5.0,%,Forever 21官方网站,https://www.forever21.com,,
2022,Lululemon,50.0,%,35.0,%,15.0,%,70.0,%,4.0,%,Lululemon财务报告,https://www.lululemon.com,,
2021,路易威登,55.0,%,30.0,%,15.0,%,40.0,%,6.0,%,路易威登官网,https://www.louisvuitton.com,,
2022,质优特,20.0,%,40.0,%,40.0,%,50.0,%,2.0,%,质优特年度报告,https://www.goodquality.com,,
2023,Under Armour,45.0,%,40.0,%,15.0,%,67.0,%,11.0,%,Under Armour官网,https://www.underarmour.com,,
2021,Roxy,26.0,%,53.0,%,21.0,%,38.0,%,14.0,%,Roxy财务报告,https://www.roxy.com,,
2022,AEO,40.0,%,50.0,%,10.0,%,52.0,%,9.0,%,AEO官网,https://www.aeo.com,,
2023,ASOS,18.0,%,62.0,%,20.0,%,50.0,%,8.0,%,ASOS年度报告,https://www.asos.com,,
2022,Pull&Bear,29.0,%,55.0,%,16.0,%,71.0,%,10.0,%,Pull&Bear官网,https://www.pullandbear.com,,
2022,Stradivarius,22.0,%,65.0,%,13.0,%,53.0,%,5.0,%,Stradivarius官网,https://www.stradivarius.com,,
2023,Bershka,34.0,%,45.0,%,21.0,%,57.0,%,11.0,%,Bershka财务报告,https://www.bershka.com,,
2022,Chanel,65.0,%,25.0,%,10.0,%,39.0,%,3.0,%,Chanel官网,https://www.chanel.com,,
2023,Zara,28.0,%,52.0,%,20.0,%,65.0,%,15.0,%,Inditex年报,https://www.inditex.com,,
2023,Lululemon,45.5,%,30.0,%,24.5,%,40.0,%,8.0,%,Lululemon官网,https://shop.lululemon.com,,
2022,Nike,50.0,%,30.0,%,20.0,%,70.0,%,20.0,%,Nike财务报告,https://investors.nike.com,,
2022,Adidas,34.0,%,50.0,%,16.0,%,55.0,%,12.0,%,Adidas季度报告,https://www.adidas-group.com,,
2023,Forever 21,20.0,%,45.0,%,35.0,%,20.0,%,5.0,%,Forever 21官网,https://www.forever21.com,,
2022,Puma,40.0,%,30.0,%,30.0,%,35.0,%,10.0,%,Puma财务分析,https://about.puma.com,,
2023,H&M,30.0,%,50.0,%,20.0,%,60.0,%,15.0,%,H&M集团年报,https://hmgroup.com,,
2022,南极人,35.0,%,40.0,%,25.0,%,65.0,%,10.0,%,南极人年度报告,https://www.nanjiaren.com,,
2023,Nautica,22.0,%,58.0,%,20.0,%,58.0,%,8.0,%,PVH官网,https://www.pvh.com,,
2022,G-Star Raw,26.0,%,50.0,%,24.0,%,45.0,%,9.0,%,G-Star官网,https://www.g-star.com,,
2023,Levi's,30.0,%,50.0,%,20.0,%,70.0,%,20.0,%,Levi's投资者关系,https://www.levistrauss.com,,
