细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光切割,武汉元光激光设备有限公司,650,1-4000,5-250,9,≤1.2,武汉市经济技术开发区,http://www.wuhandev.gov.cn,,
激光清洗,上海光聚激光科技有限公司,300,1-3000,8-350,8,≤1.5,上海市科学技术委员会,http://www.stcsm.gov.cn,,
激光打孔,成都锐光激光设备有限公司,400,1-4500,7-300,6,≤1.6,成都市科技局,http://www.chengdu.gov.cn,,
激光打标,长春光电科技有限责任公司,180,1-5000,6-400,4,<1.6,吉林省市场监督管理局,http://www.jl.gov.cn,,
激光精密制造,西安光源激光有限公司,500,1-6000,10-500,7,≤1.3,西安市经济与信息化局,http://www.xa.gov.cn,,
激光交联,福州新浩激光有限公司,350,1-4800,9-450,5.5,<1.8,福州市科技局,http://www.fuzhou.gov.cn,,
激光热处理,郑州光华激光科技有限公司,220,1-4600,10-500,3,≤1.5,郑州市科技局,http://www.zhengzhou.gov.cn,,
激光修边,沈阳蓝天激光科技有限责任公司,500,1-5400,15-300,12,≤1.2,沈阳市科技局,http://www.shenyang.gov.cn,,
激光动态平衡,南京亿光激光技术有限公司,450,1-6000,20-480,9,<1.4,科技日报,http://www.stdaily.com,,
激光表面处理,青岛星河激光科技有限公司,380,1-5000,12-450,6,≤1.6,山东省科技厅,http://www.shandong.gov.cn,,
激光镭射,广州未来激光科技有限公司,420,1-5300,14-400,15,<1.3,广州市科技委员会,https://www.gz.gov.cn,,
激光焊接,上海金辉激光科技有限公司,800,1-7000,8-450,11,≤1.2,上海市发展和改革委员会,http://www.sdrcg.gov.cn,,
激光光刻,北京鑫海激光设备有限公司,250,1-3000,5-150,4,<1.5,北京市科技局,http://www.beijing.gov.cn,,
激光金属沉积,南昌思源激光有限公司,750,1-8000,3-200,20,≤1.1,南昌市科技局,http://www.nanchang.gov.cn,,
激光电弧焊接,哈尔滨新信激光科技有限公司,600,1-7000,10-300,14,<1.2,黑龙江省工业和信息化厅,http://www.hl.gov.cn,,
激光清洗,广州智光激光技术有限公司,480,1-6500,6-400,7,≤1.4,广州市产业和信息化局,https://www.gz.gov.cn,,
激光超声波焊接,合肥博瑞激光科技有限公司,360,1-5000,20-450,16,<1.5,安徽省科技厅,http://www.ah.gov.cn,,
激光焊接,深圳市光辉激光科技有限公司,720,1-4200 kHz,10-400 ns,9,≤1.3,深圳市经济特区科技局,https://www.sz.gov.cn,,
激光切割,南昌激光科技有限公司,500,1-7000 kHz,6-340 ns,4,<1.5,江西省科技厅,https://www.jx.gov.cn,,
激光精密焊接,成都激光设备有限公司,480,1-3900 kHz,15-500 ns,8,<1.6,成都市科技局,https://www.chengdu.gov.cn,,
激光打孔,佛山光电设备有限公司,340,1-5500 kHz,5-250 ns,5,≤1.5,广东省制造业协会,https://www.gdmade.gov.cn,,
激光清洗,北京晨光科技有限公司,250,1-6000 kHz,12-250 ns,10,≤1.6,北京市科学技术委员会,https://www.bj.gov.cn,,
激光标记,苏州精锐激光设备有限公司,190,1-4200 kHz,8-400 ns,7,<1.4,江苏省科技厅,https://www.jssci.gov.cn,,
激光焊接,辽宁省激光技术有限公司,650,1-4000 kHz,10-480 ns,6.5,≤1.2,沈阳科技局,https://www.shenyang.gov.cn,,
激光切割,大连恒诚激光设备有限公司,350,1-5000 kHz,5-380 ns,4.5,<1.5,大连市科学技术局,https://www.dalian.gov.cn,,
激光清洗,武汉创新激光设备有限公司,300,1-5700 kHz,10-280 ns,11,≤1.4,湖北省科技厅,https://www.hubei.gov.cn,,
激光打标,厦门翔安激光设备有限公司,250,1-4500 kHz,8-410 ns,5,<1.6,厦门市市场监督局,https://www.xm.gov.cn,,
激光混合焊接,郑州麦迪激光科技有限公司,480,1-6000 kHz,3-230 ns,14,≤1.2,河南省科技厅,https://www.henan.gov.cn,,
激光镭射,西安聚焦激光科技有限公司,370,1-5200 kHz,6-500 ns,9,≤1.1,西安市科学技术局,https://www.xa.gov.cn,,
激光焊接,哈尔滨激光动力有限公司,620,1-3900 kHz,10-400 ns,11,<1.5,黑龙江省科技厅,https://www.hlj.gov.cn,,
激光切割,昆明光源激光科技有限公司,400,1-6300 kHz,2-450 ns,6,≤1.6,云南省科学技术厅,https://www.yn.gov.cn,,
激光清洗,贵阳激光科技有限公司,230,1-6800 kHz,11-300 ns,9,≤1.5,贵州省科技局,https://www.gz.gov.cn,,
激光打孔,温州精雕激光设备有限公司,210,1-4800 kHz,7-400 ns,4,<1.4,浙江省科技局,https://www.zj.gov.cn,,
激光标记,长春光电科技有限公司,150,1-3500 kHz,6-320 ns,3,<1.3,吉林省科技厅,https://www.jilin.gov.cn,,
激光精密制造,合肥智光激光科技有限公司,450,1-4000 kHz,12-450 ns,20,≤1.1,安徽省科技局,https://www.ah.gov.cn,,
激光激光增材制造,苏州先进激光科技有限公司,500,1-6000 kHz,10-450 ns,6,≤1.4,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光改性,深圳市瑞光激光科技有限公司,450,1-8000 kHz,5-300 ns,4,≤1.2,深圳市发展和 Reform Commission,http://www.sz.gov.cn,,
激光清洗,广州市光焱激光科技有限公司,350,1-6500 kHz,15-320 ns,8,≤1.5,广州市经济和信息化局,https://www.gz.gov.cn,,
激光打标,南京市精锐激光有限公司,250,1-3000 kHz,10-400 ns,7,<1.4,南京市科技局,http://www.nanjing.gov.cn,,
激光焊接,北京紫光激光技术有限公司,700,1-5000 kHz,12-450 ns,9,≤1.3,北京市科学技术委员会,http://www.beijing.gov.cn,,
激光成型,长沙激光科技股份有限公司,630,1-7500 kHz,8-250 ns,5,<1.6,长沙市科技局,http://www.changsha.gov.cn,,
激光切割,成都激光设备有限公司,500,1-6000 kHz,6-300 ns,11,≤1.5,成都市科技局,http://www.chengdu.gov.cn,,
激光标记,无锡光电激光科技有限公司,280,1-4000 kHz,4-450 ns,6,<1.3,无锡市科技局,http://www.wuxi.gov.cn,,
激光刻蚀,福州下一代激光科技有限公司,400,1-7000 kHz,13-350 ns,10,≤1.4,福州市经济和信息化局,http://www.fuzhou.gov.cn,,
激光雕刻,苏州文化创意激光有限公司,220,1-4500 kHz,6-600 ns,3,<1.2,苏州市科学技术局,https://www.suzhou.gov.cn,,
激光测量,宁波精确激光解决方案有限公司,390,1-5000 kHz,10-300 ns,8,≤1.3,宁波市发展与改革委员会,http://www.ningbo.gov.cn,,
激光自动化,深圳金指导激光股份有限公司,480,1-8000 kHz,7-250 ns,9,≤1.5,深圳市经济贸易和信息化委员会,http://www.sz.gov.cn,,
激光薄膜加工,济南光电激光科技有限公司,380,1-5500 kHz,5-400 ns,12,<1.6,济南市科技局,http://www.jinan.gov.cn,,
激光复合加工,南昌激光技术研发中心,550,1-6000 kHz,9-350 ns,15,≤1.2,南昌市科技局,http://www.nanchang.gov.cn,,
激光照明,南京光束激光科技有限公司,420,1-5000 kHz,10-290 ns,2,<1.4,南京光电研究院,http://www.nanjing.gov.cn,,
激光电子元件制造,沈阳激光集成科技有限公司,300,1-7500 kHz,12-350 ns,4,≤1.7,沈阳市科学技术局,http://www.shenyang.gov.cn,,
激光美容设备,温州光学激光设备有限公司,250,1-4000 kHz,5-320 ns,3,<1.5,温州市卫生健康委员会,http://www.wenzhou.gov.cn,,
激光医疗,青岛美光激光科技有限公司,400,1-5500 kHz,6-450 ns,10,≤1.3,青岛市卫生健康委员会,http://www.qd.gov.cn,,
激光焊接,深圳锐视激光系统有限公司,700,1-4500 kHz,8-400 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光清洗,广州洁净激光科技有限公司,250,1-6000,5-300,10,≤1.6,广东省生态环境厅,http://epb.gd.gov.cn,,
激光切割,北京宏伟激光设备有限公司,800,1-8000,4-180,12,<1.3,中国机械工业联合会,https://www.cmif.org.cn,,
激光打孔,苏州光汇激光技术有限公司,360,1-4900,7-300,6,≤1.5,国家科技创新中心,http://www.nsti.gov.cn,,
激光精密制造,武汉豪迈激光科技有限公司,500,1-7000,10-450,9,<1.4,武汉市人民政府,http://www.wh.gov.cn,,
激光打标,西安星光激光设备有限公司,180,1-5200 kHz,6-400 ns,4,<1.6,陕西省科技厅,http://www.sxt.gov.cn,,
激光镭射,成都天昊激光科技有限公司,320,1-5800,5-350,7,≤1.3,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光焊接,郑州激光技术发展有限公司,650,1-4200,15-450,11,≤1.2,郑州市科技局,http://www.zz.gov.cn,,
激光切割,南宁科瑞激光设备有限公司,550,1-7500,3-200,14,<1.1,广西壮族自治区科技厅,http://gxt.gxzf.gov.cn,,
激光精密制造,沈阳航空激光技术有限公司,480,1-6000,12-500,5,≤1.7,沈阳市政府,http://www.shenyang.gov.cn,,
激光打标,天津智芯科技有限公司,230,1-4000 kHz,9-450 ns,3,<1.4,天津市市场监管局,http://www.tianjin.gov.cn,,
激光清洗,福州新创激光股份有限公司,210,1-5700,10-300,8,≤1.5,福建省科技厅,http://www.fuzhou.gov.cn,,
激光打孔,哈尔滨光电激光科技有限公司,390,1-5300,7-400,9,≤1.2,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光混合焊接,长沙高峰激光科技有限公司,460,1-8000,6-200,13,≤1.1,湖南省发展改革委员会,http://www.hunan.gov.cn,,
激光镭射,南京久业激光有限公司,320,1-4800,5-350,15,≤1.3,南京市科技局,http://www.nanjing.gov.cn,,
激光精密制造,宁波蓝天激光技术有限公司,500,1-7500,10-300,4,≤1.8,宁波市科技局,http://www.ningbo.gov.cn,,
激光焊接,洛阳东风激光科技有限公司,700,1-8200,4-230,14,≤1.1,洛阳市科技局,http://www.ly.gov.cn,,
激光焊接,深圳市华晨激光科技有限责任公司,650,1-5000 kHz,10-400 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光清洗,北京优泽激光技术有限公司,250,1-6000 kHz,5-150 ns,10,≤1.5,北京市工业和信息化局,https://www.bj.gov.cn,,
激光打标,上海恒瑞激光设备有限公司,180,1-5000 kHz,6-300 ns,4,<1.4,上海市市场监管局,http://www.sgs.gov.cn,,
激光切割,成都锐力激光科技有限公司,700,1-8000 kHz,5-180 ns,11,≤1.3,成都市科技局,https://www.chengdu.gov.cn,,
激光镭射,武汉中光科技有限公司,500,1-4800 kHz,8-360 ns,14,<1.2,武汉市科技局,http://www.wuhan.gov.cn,,
激光打孔,宁波天通激光设备有限公司,330,1-5500 kHz,3-250 ns,4.5,≤1.5,宁波市经济和信息化局,http://www.ningbo.gov.cn,,
激光混合焊接,福州创新激光技术有限公司,480,1-4000 kHz,4-220 ns,9,≤1.8,福州市科学技术局,http://www.fuzhou.gov.cn,,
激光切割,青岛星辉激光设备有限公司,800,1-6000 kHz,7-150 ns,12,≤1.1,青岛市市场监督管理局,http://www.qd.gov.cn,,
激光精密制造,厦门凯信激光科技有限责任公司,450,1-5000 kHz,10-300 ns,6,<1.6,厦门市经济和信息化局,http://www.xiamen.gov.cn,,
激光打标,哈尔滨雷视激光设备有限公司,220,1-6000 kHz,8-300 ns,5,≤1.4,哈尔滨市科技局,https://www.hrb.gov.cn,,
激光焊接,长春维尔激光科技有限公司,720,1-6500 kHz,12-180 ns,10,≤1.3,长春市科技局,http://www.cc.gov.cn,,
激光清洗,南昌光盾激光技术有限公司,300,1-5800 kHz,10-420 ns,9,<1.6,南昌市经济和信息化局,http://www.nc.gov.cn,,
激光切割,郑州极光激光科技有限公司,550,1-7000 kHz,6-200 ns,15,≤1.25,郑州市科技局,http://www.zhengzhou.gov.cn,,
激光打标,合肥叶子激光科技有限公司,190,1-4000 kHz,9-350 ns,3,<1.7,合肥市市场监督管理局,http://www.hefei.gov.cn,,
激光打孔,银川江河激光设备有限公司,420,1-5400 kHz,5-230 ns,7,≤1.6,银川市经济和信息化局,http://www.yinchuan.gov.cn,,
激光切割,桂林梦腾激光科技有限公司,600,1-4500 kHz,5-250 ns,11,≤1.4,桂林市科技局,http://www.guilin.gov.cn,,
激光焊接,南通华锋激光科技有限公司,760,1-4800 kHz,15-300 ns,12,≤1.2,南通市市场监管局,http://www.nantong.gov.cn,,
激光混合焊接,邯郸聚光激光设备有限公司,500,1-7000 kHz,4-200 ns,13,≤1.3,邯郸市经济和信息化局,http://www.handan.gov.cn,,
激光切割,北京强光科技有限公司,720,1-6000 kHz,10-400 ns,8,≤1.2,北京市科学技术委员会,https://www.bj.gov.cn,,
激光清洗,深圳超越激光科技有限公司,250,1-5000,15-350,10,≤1.5,广东省市场监督管理局,https://www.gd.gov.cn,,
激光焊接,上海精密激光科技有限公司,650,1-4500 kHz,8-500 ns,≥5,<1.8,上海市发展改革委员会,https://www.shanghai.gov.cn,,
激光打标,武汉迅疾激光科技处,180,1-8000,5-200 ns,4,≤1.4,武汉市信息产业局,http://www.wuhan.gov.cn,,
激光成型,西安创投激光设备有限公司,500,1-7000,10-450 ns,7,≤1.1,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光打孔,南京博华激光科技有限公司,300,1-6000 kHz,8-250 ns,2,≤1.6,南京市经济和信息化委员会,http://www.nanjing.gov.cn,,
激光焊接,郑州联合激光科技有限公司,700,1-8000,12-320 ns,≥6,<1.3,河南省科技局,http://www.henan.gov.cn,,
激光清洗,天津力源激光科技有限公司,220,1-5800,15-300 ns,9,≤1.5,天津市工业和信息化局,http://www.tianjin.gov.cn,,
激光切割,长春北方激光设备有限公司,650,1-10000 kHz,5-400 ns,10,≤1.4,吉林省科技厅,http://www.jilin.gov.cn,,
激光打标,福建光辉激光科技有限公司,260,1-4000 kHz,6-470 ns,5,<1.5,福建省发改委,http://www.fujian.gov.cn,,
激光精密制造,湖南高科激光公司,500,1-4500,20-300 ns,11,<1.3,湖南省科技厅,http://www.hunan.gov.cn,,
激光切割,沈阳盛世激光科技有限公司,480,1-5000 kHz,15-400 ns,≥6,≤1.5,辽宁省科技局,http://www.liaoning.gov.cn,,
激光打孔,昆明北斗激光设备有限责任公司,350,1-6000 kHz,8-350 ns,3,≤1.6,云南省科技厅,http://www.yunnan.gov.cn,,
激光焊接,西宁光影激光科技有限公司,620,1-7000,8-320 ns,9,<1.7,青海省科技厅,http://www.qinghai.gov.cn,,
激光精密制造,南昌雷动激光科技有限公司,400,1-5500,15-500 ns,6,≤1.3,江西省发改委,http://www.jiangxi.gov.cn,,
激光打标,合肥焱光激光设备有限公司,200,1-1500 kHz,10-460 ns,3,<1.5,安徽省市场监管局,http://www.anhui.gov.cn,,
激光打孔,广州优锋激光科技有限公司,225,1-4000 kHz,6-300 ns,4,≤1.4,广州市科学技术局,https://www.gz.gov.cn,,
激光焊接,深圳光科激光有限公司,700,1-6000 kHz,10-450 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,上海优速激光科技有限公司,800,1-8000 kHz,5-300 ns,6,<1.4,上海市科学技术委员会,https://www.sh.gov.cn,,
激光打标,苏州新兴激光技术有限公司,250,1-5000 kHz,8-400 ns,7,<1.5,江苏省发展和改革委员会,https://www.jiangsu.gov.cn,,
激光清洗,西安长安激光设备有限公司,150,1-6000 kHz,20-350 ns,10,≤1.6,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光深加工,南京精密激光技术有限公司,400,1-3000 kHz,6-300 ns,5,<1.3,南京市经济和信息化委员会,https://www.nanjing.gov.cn,,
激光打孔,广州亿佳激光工程有限公司,350,1-4500 kHz,15-250 ns,4,≤1.5,广州市经济和信息化局,https://www.gz.gov.cn,,
