激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
自由电子激光器,0.1-80 µm,30-40%,10000,W,1.7,优良,优秀,卓越,金属、塑料、复合材料,高,大型,每年,较高,复杂,40000,小时,国家激光应用中心,https://www.national-laser.gov.cn,,
光纤激光器,1060 nm,40-50%,3000,W,1.1,优良,良好,优秀,金属、合金,中,中型,每半年,中等,便捷,30000,小时,机械工程学报,https://www.jmech.org,,
高能激光器,1064 nm,25-35%,2000,W,1.3,一般,中等,良好,金属、塑料,高,大型,每年,高,较便捷,15000,小时,高能物理学研究院,https://www.hprc.edu.cn,,
固态激光器,532 nm,15-25%,1200,W,1.7,优良,良好,良好,金属、塑料,中,中型,每年,中等,便捷,22000,小时,中国激光光谱学会,https://www.claser.org.cn,,
ultra-fast laser,800 nm,25-32%,370,W,1.9,良好,优良,优越,生物材料、复合材料,中,小型,每半年,中等,较复杂,30000,小时,生物医学工程研究所,https://www.biomedengr.org,,
电子束激光器,无实质波长,期间变动,5000,W,不适用,优良,优良,优秀,金属、陶瓷,高,中型,每年,高,一般,20000,小时,电子束加工技术协会,https://www.ebptech.org,,
可调谐固态激光器,400-700 nm,15-22%,800,W,1.8,良好,中等,一般,塑料、涂层,低,小型,每六个月,中等,便捷,15000,小时,全国激光制造技术指导委员会,https://www.lasermfg.cn,,
超高功率激光器,1550 nm,20-27%,7500,W,1.2,优良,优秀,卓越,金属、石材,中,大型,每年,高,复杂,40000,小时,高能激光和材料研究中心,https://www.hlmr.edu.cn,,
粉末床激光器,1064 nm,20-30%,1500,W,1.4,良好,优良,良好,金属、塑料,中,中型,每年,中等,便捷,22000,小时,增材制造与激光技术研究中心,https://www.am-laser.com,,
超声波激光器,500 nm,3-5%,200,W,2.0,一般,较差,中等,塑料、木材,低,小型,每六个月,中等,较复杂,8000,小时,声学材料与系统研究所,https://www.acousticmaterials.com,,
高压氙灯激光器,254 nm,5-10%,300,W,1.9,中等,中等,一般,金属、非金属,中,小型,每半年,中等,便捷,6000,小时,光源技术研究中心,https://www.lightbase.org,,
波长可调激光器,400 nm - 700 nm,22-30%,1500,W,1.5,优良,优秀,一流,金属、玻璃,低,中型,每年,中等,便捷,30000,小时,激光科技国际论坛,https://www.laserforum.org,,
单频激光器,1064 nm,30-35%,500,W,2.1,良好,良好,优秀,陶瓷、电子元件,中,小型,每两年,低,便捷,18000,小时,光电科技协会,https://www.photontechnology.org,,
脉冲激光器,355 nm,15-25%,2500,W,1.2,优良,优良,良好,塑料、金属、木材,中,大型,每年,中等,较便捷,20000,小时,国际激光联合会,https://www.international-laser.org,,
UV激光器,266 nm,20-30%,600,W,>1.5,良好,较好,良好,塑料、涂层,中,中型,每半年,较高,便捷,15000,小时,中国光电产业协会,https://www.coeia.org.cn,,
高强度激光器,1030 nm,35-40%,4000,W,1.0,优秀,优秀,优异,厚金属板、复合材料,高,大型,每年,高,复杂,25000,小时,激光显著研究机构,https://www.laserresearch.org,,
钕激光器,1064 nm,25-30%,750,W,1.8,良好,一般,优良,塑料、木材,低,小型,每年,中等,便捷,17000,小时,中国工程院,https://www.cae.cn,,
循环激光器,1550 nm,32-38%,1200,W,1.6,优良,优秀,良好,光纤、金属,低,小型,每两年,中等,非常便捷,30000,小时,中国电子技术研究院,https://www.cetree.com.cn,,
蓝光激光器,450 nm,20-25%,1000,W,1.4,良好,良好,优秀,塑料、金属,中,小型,每半年,较高,便捷,18000,小时,光电子研究中心,https://www.optoelectronics.org,,
高功率二氧化碳激光器,10.6 µm,12-18%,5000,W,<1.5,优秀,优秀,优秀,木材、塑料、金属,高,大型,每年,高,复杂,22000,小时,中国先进制造技术协会,https://www.camta.org.cn,,
光纤激光器,1060 nm,80-90%,3000,W,<1.0,优良,优良,优秀,金属、塑料、复合材料,中,中型,每两年,中等,便捷,50000,小时,中国光纤激光协会,https://www.fiberlaser.org.cn,,
低能量激光器,532 nm,15-20%,100,W,2.0,中等,一般,良好,涂层、塑料,低,小型,每半年,较低,便捷,5000,小时,中国激光设备行业协会,https://www.clia.org.cn,,
电子束激光器,N/A,未明,2000,W,未明,优良,优秀,优异,金属、复合材料,高,大型,每年,高,复杂,15000,小时,国家材料科学研究院,https://www.nims.go.jp,,
多波长激光器,450 nm / 532 nm / 1064 nm,20-25%,750,W,1.7,良好,优良,优秀,金属、塑料,中,中型,每年,中等,较便捷,18000,小时,激光技术研究院,https://www.lasercn.org,,
光纤激光器,1060 nm,30-38%,1200,W,1.4,优良,良好,优秀,金属、塑料,低,中型,每年,中等,较便捷,30000,小时,激光技术研究所,https://www.lasertechinstitute.org,,
钕激光器,1064 nm,20-25%,4500,W,1.5,良好,优秀,一般,金属、陶瓷,中,大型,每年,中等,便捷,20000,小时,中国光电行业协会,https://www.cboia.org.cn,,
二氧化碳激光器,10.6 µm,12-18%,1000,W,<1.5,优良,较好,较好,木材、纸张,高,小型,每半年,较高,便捷,12000,小时,中国激光装备学会,https://www.clae.org.cn,,
紫外激光器,355 nm,25-35%,600,W,1.2,优良,优良,优秀,塑料、玻璃,中,中型,每年,中等,较便捷,15000,小时,光电技术中心,https://www.optotechcenter.org,,
同轴激光器,850 nm,22-30%,700,W,1.6,一般,中等,良好,金属、塑料,中,大型,每年,较高,便捷,25000,小时,国家激光应用研究所,https://www.national-laserapp.org,,
高功率固体激光器,1030 nm,35-45%,5000,W,1.1,优良,优良,优秀,金属、复合材料,中,超大型,每年,中等,较复杂,30000,小时,国家材料研究所,https://www.nationalmaterialsinstitute.org,,
便携式激光器,780 nm,15-22%,150,W,<1.2,良好,较差,一般,纸张、木材,低,小型,每半年,中等,便捷,5000,小时,便携激光应用研究中心,https://www.portablelaserapp.org,,
可调激光器,400-800 nm,20-26%,250,W,1.5,优良,中等,良好,玻璃、陶瓷,中,中型,每年,中等,较便捷,20000,小时,科研激光中心,https://www.researchlasercenter.org,,
量子点激光器,950 nm,30-35%,500,W,1.2,优良,良好,优良,塑料、复合材料,低,中型,每半年,较低,非常便捷,10000,小时,中国量子技术研究院,https://www.quantumtech-institute.cn,,
腔内激光器,520 nm,15-20%,120,W,1.8,一般,较差,一般,木材、纸张,中,小型,每半年,高,复杂,5000,小时,国际激光市场分析协会,https://www.ilma.org,,
长脉冲激光器,700 nm,17-25%,800,W,1.5,优良,优良,优秀,金属、塑料,中,中型,每年,中等,较便捷,18000,小时,中国激光机械化制造协作组,https://www.chinalmc.org,,
超高频激光器,1.0 µm,40-50%,3000,W,1.3,优良,优良,优秀,金属、塑料,低,大型,每年,高,复杂,40000,小时,国家科学与技术委员会,https://www.stc.gov.cn,,
触发激光器,850 nm,35-45%,500,W,1.4,良好,优良,优良,金属、塑料,低,中型,每半年,中等,较便捷,15000,小时,科技与激光产业发展论坛,https://www.science-laserforum.com,,
纵向调谐激光器,1050 nm,40-55%,800,W,1.6,优良,中等,良好,塑料、金属,中,大型,每年,高,复杂,22000,小时,中国光纤激光器协会,https://www.cnfiberlaser.org,,
飞秒激光器,800 nm,25-30%,1000,W,1.2,优良,优秀,更优秀,金属、塑料、复合材料,低,小型,每半年,中等,非常便捷,30000,小时,前沿激光技术研究中心,https://www.frontierlasercenter.org,,
超短脉冲激光器,780 nm,12%-18%,950,W,1.1,良好,优良,优秀,塑料、玻璃,中,中型,每年,中等,较便捷,12000,小时,新加坡激光技术中心,https://www.singtel.com,,
紫外激光器,355 nm,25%-32%,500,W,>1.5,优良,良好,优秀,纸张、塑料,中,小型,每半年,较低,便捷,15000,小时,国际激光科学研究院,https://www.i-laser.org,,
光纤激光器,1070 nm,30%-40%,2000,W,1.2,优秀,优秀,优良,金属、陶瓷,中,中型,每年,中等,非常便捷,25000,小时,北京工程科技协会,https://www.bjengineering.org,,
单频激光器,980 nm,50%-60%,100,W,<1.0,优良,优良,良好,光纤、电路板,低,超小型,每年,较低,非常便捷,30000,小时,台湾科学技术研究院,https://www.nst.org.tw,,
高功率二氧化碳激光器,10.6 µm,20%-25%,5000,W,>2.5,一般,优秀,良好,金属、塑料、木材,高,大型,每年,高,便捷,20000,小时,激光技术与应用研究中心,https://www.lasertech.com,,
红外激光器,1550 nm,15%-22%,400,W,>1.8,一般,中等,良好,绝缘材料、金属,中,中型,每半年,中等,便捷,18000,小时,国际光电工程协会,https://www.oep.org,,
微型绿光激光器,520 nm,20%-30%,250,W,>2.2,良好,较差,中等,塑料、纸张,低,小型,每年,较高,便捷,15000,小时,全球激光技术展览会,https://www.lasersexpo.com,,
大功率半导体激光器,830 nm,45%-55%,800,W,1.4,优良,良好,优秀,金属、塑料,高,中型,每年,中等,非常便捷,10000,小时,亚洲半导体激光研究所,https://www.asia-laser.org,,
中红外激光器,9.4 µm,18%-24%,300,W,>1.3,一般,优良,良好,陶瓷、金属,中,小型,每半年,中等,便捷,15000,小时,中国材料科学研究院,https://www.msc.edu.cn,,
高亮度固体激光器,1064 nm,30%-36%,1800,W,1.2,优良,优秀,优良,金属、塑料、复合材料,中,中型,每年,中等,较便捷,22000,小时,激光应用与研究协会,https://www.laserresearch.org,,
新型多波长激光器,400 nm / 800 nm,35%-45%,600,W,1.6,良好,优良,优秀,塑料、金属、木材,中,中型,每年,较高,便捷,5000,小时,上海激光科技有限公司,https://www.shlasertech.com,,
新型可调波长激光器,500 nm - 1000 nm,20%-35%,700,W,1.9,优良,良好,良好,塑料、玻璃,中,中型,每半年,中等,便捷,22000,小时,中国激光器件开发中心,https://www.laserdevice.org,,
高效聚光激光器,1060 nm,40%-50%,900,W,<1.5,优良,优秀,优秀,金属、塑料、复合材料,中,小型,每年,中等,非常便捷,28000,小时,国家激光技术中心,https://www.nationallaser.org,,
短脉冲纤维激光器,1020 nm,25%-30%,400,W,1.3,一般,中等,中等,塑料、金属,中,中型,每年,中等,便捷,15000,小时,中国激光技术研究院,https://www.clresearch.org.cn,,
工业用高功率激光器,980 nm,15%-20%,3000,W,>2.0,优良,优良,优秀,金属、木材、塑料,高,大型,每年,高,便捷,18000,小时,国际光电制造协会,https://www.omp.org,,
钛宝石激光器,700 nm,25%-35%,1500,W,<1.2,优良,良好,优秀,金属、玻璃,中,中型,每年,较低,便捷,20000,小时,广州光电技术研究院,https://www.gdoptech.edu.cn,,
红外激光器,10600 nm,15%-20%,5000,W,>2.0,一般,优秀,一般,塑料、复合材料,低,大型,每半年,中等,稍复杂,15000,小时,华南理工大学,https://www.scut.edu.cn,,
固态激光器,808 nm,40%-50%,1200,W,1.5,优良,良好,优秀,金属、陶瓷,中,小型,每年,中等,非常便捷,30000,小时,上海激光技术发展中心,https://www.slt.org.cn,,
超快激光器,400 nm,10%-15%,900,W,1.8,良好,优良,优秀,生物材料、塑料,低,超小型,每年,较高,便捷,40000,小时,中国科学院物理研究所,https://www.iop.cas.cn,,
紫外激光器,355 nm,20%-30%,2000,W,1.0,优良,良好,良好,塑料、金属,中,小型,每半年,中等,便捷,22000,小时,国家激光技术研究院,https://www.nilt.org.cn,,
掺镱光纤激光器,1030 nm,25%-30%,1500,W,1.2,优秀,优良,优秀,金属、光纤,中,小型,每年,中等,便捷,30000,小时,沈阳光电科技公司,https://www.sytlaser.com,,
低温激光器,10.6 µm,15%-25%,800,W,>2.0,一般,较差,中等,塑料、电子元件,低,中型,每半年,较高,稍复杂,10000,小时,北京理工大学,https://www.bit.edu.cn,,
微型激光器,450 nm,35%-45%,200,W,<1.1,优良,优良,优秀,金属、非金属,高,超小型,每年,较低,非常便捷,15000,小时,中国电子科技集团,https://www.cetc.cn,,
氧化铝激光器,266 nm,20%-25%,1000,W,1.4,良好,优秀,良好,金属、陶瓷,中,大型,每半年,较高,便捷,25000,小时,中国材料研究所,https://www.cams.org.cn,,
手持式激光器,532 nm,22%-28%,500,W,1.6,优良,良好,一般,木材、非金属,低,小型,每年,中等,便捷,18000,小时,青岛激光技术研究所,https://www.qdlaser.com,,
双波长激光器,532 nm / 1064 nm,20%-35%,1200,W,1.5,优良,优良,优秀,金属、塑料、木材,中,大型,每年,中等,便捷,22000,小时,福建激光技术开发组,https://www.fujianlaser.com,,
冷激光器,810 nm,15%-25%,600,W,>2.0,一般,较差,一般,生物材料、塑料,低,小型,每半年,较高,稍复杂,8000,小时,中国科学院光电研究所,https://www.microphotonics.org,,
柔性激光器,515 nm,30%-40%,750,W,1.2,优良,良好,优秀,电子元件、金属,高,超小型,每年,中等,非常便捷,25000,小时,西北工业大学,https://www.nwpu.edu.cn,,
微阵列激光器,460 nm,40%-50%,100,W,<1.0,优良,优秀,良好,陶瓷、塑料,中,中型,每年,中等,便捷,15000,小时,中国激光产业研究中心,https://www.cli-research.org,,
多波长激光器,450 nm / 532 nm / 1064 nm,25%-35%,1800,W,1.4,优良,优秀,优秀,金属、塑料,中,大型,每年,中等,便捷,26000,小时,天津激光技术研究中心,https://www.tianjinlaser.com,,
陶瓷激光器,1064 nm,25%-35%,1500,W,1.5,良好,优良,优秀,陶瓷、金属,中,中型,每年,中等,较便捷,20000,小时,中国陶瓷技术研究院,https://www.ceramtech.cn,,
钕激光器,1064 nm,30%-40%,5000,W,2.0,一般,优良,良好,复合材料、金属,中,大型,每年,较高,便捷,30000,小时,国家激光技术研究中心,https://www.nationallasers.org,,
光纤激光器,1570 nm,35%-45%,3000,W,1.1,优良,优良,优秀,金属、陶瓷、塑料,低,小型,每半年,中等,非常便捷,40000,小时,新兴激光科技有限公司,https://www.newlasers.cn,,
紫外激光器,355 nm,20%-30%,250,W,<1.4,优良,较差,中等,塑料、玻璃,中,小型,每年,较低,便捷,15000,小时,中国激光科研院,https://www.clsr.org.cn,,
固态激光器,532 nm,18%-23%,700,W,1.6,良好,优良,优秀,塑料、金属,中,中型,每年,中等,较便捷,18000,小时,激光与光电子技术研究所,https://www.lasertech.org,,
镭射激光器,980 nm,40%-50%,600,W,1.2,一般,优良,良好,金属、塑料、木材,中,小型,每半年,较高,便捷,22000,小时,未来激光创新实验室,https://www.futurelasers.org,,
超高速激光器,515 nm,23%-30%,1200,W,1.4,良好,优良,优秀,金属、塑料,低,中型,每年,中等,较便捷,35000,小时,中国科学院物理研究所,https://www.caps.ac.cn,,
高压氙气激光器,450 nm,15%-20%,800,W,1.9,一般,中等,中等,非金属、金属,中,超大型,每年,较高,复杂,8000,小时,国际激光与光电产业联盟,https://www.laseralliance.com,,
可调激光器,600-660 nm,25%-35%,500,W,1.3,优良,优良,优秀,塑料、金属、木材,中,中型,每半年,中等,较便捷,20000,小时,前沿激光研究院,https://www.charterlasers.com,,
高功率二氧化碳激光器,10.6 µm,25%-30%,5000,W,1.8,优秀,优良,优良,金属、塑料,高,大型,每年,较高,便捷,15000,小时,激光行业发展有限公司,https://www.laserdevelopment.com,,
高能烽火激光器,1200 nm,20%-25%,3000,W,2.0,一般,较差,中等,金属、塑料,中,中型,每半年,中等,复杂,20000,小时,军事激光技术研究组,https://www.militarylasertech.org,,
多波长激光器,640 nm / 780 nm,30%-40%,2000,W,1.6,良好,优良,优良,木材、金属、塑料,中,大型,每年,较高,容易,18000,小时,激光应用技术研究院,https://www.laserapplication.org,,
新型半导体激光器,850 nm,50%-60%,900,W,1.3,优良,优秀,优秀,金属、非金属,中,中型,每年,较高,非常便捷,12000,小时,国际半导体激光技术研究中心,https://www.isemiconductor.org,,
单模激光器,1550 nm,40%-50%,600,W,1.1,优良,优秀,良好,电子元件、塑料,低,小型,每半年,中等,便捷,25000,小时,中国信息通信研究院,https://www.cai.org.cn,,
高频激光器,590 nm,28%-38%,1200,W,1.5,良好,优良,优秀,金属、塑料,高,中型,每年,较高,较便捷,13000,小时,国际激光技术与应用研究中心,https://www.lasertechapp.org,,
高能脉冲激光器,1064 nm,25-35%,5000,W,1.5,优良,优秀,优秀,金属、复合材料,高,大型,每年,中等,较便捷,30000,小时,国际激光技术协会,https://www.i-laser.org,,
低温氦氖激光器,632.8 nm,15-20%,100,W,1.4,良好,较差,中等,塑料、玻璃,低,小型,每两年,较低,非常便捷,15000,小时,中国光电子学研究院,https://www.cope.cn,,
光纤激光器,1550 nm,35-50%,1000,W,1.1,优良,优秀,良好,金属、陶瓷,高,中型,每年,中等,较便捷,40000,小时,激光工程与设计研究中心,https://www.laserengineering.org,,
合成晶体激光器,797 nm,22-28%,1500,W,1.2,良好,优良,优异,木材、金属,中,大型,每六个月,高,便捷,20000,小时,激光产业技术分析中心,https://www.laserindustry.com,,
YAG固体激光器,1064 nm,20-30%,3000,W,1.6,一般,优秀,良好,金属、塑料,高,大型,每年,中等,较便捷,25000,小时,华南激光技术研究所,https://www.southlaser.org,,
气体激光器,10.6 µm,12-18%,1200,W,1.3,优良,良好,中等,金属、塑料、木材,中,中型,每年至少两次,中等,便捷,30000,小时,中国激光器工程公司,https://www.lasercorp.cn,,
氩气激光器,514.5 nm,20-25%,400,W,1.2,良好,中等,优良,塑料、玻璃,中,小型,每年,高,便捷,8500,小时,光子学与激光技术研究所,https://www.photonics.org,,
磷光激光器,630 nm,30-40%,700,W,1.4,优良,优秀,优雅,木材、布料,低,中型,每年,较低,便捷,22000,小时,新兴光电技术中心,https://www.optotech.com,,
量子点激光器,940 nm,50-60%,500,W,1.0,优良,优异,优良,光纤、金属,低,小型,每两年,中等,非常便捷,18000,小时,中国量子技术协会,https://www.qtechnology.cn,,
超声波激光器,1500 nm,15-25%,2500,W,1.9,一般,良好,中等,金属、非金属,中,大型,每年,较高,便捷,20000,小时,超声波技术与激光研究中心,https://www.ultrasonics.org,,
直流氦氖激光器,441.6 nm,20-30%,150,W,1.6,良好,较差,中等,塑料、电子元件,低,小型,每年,低,便捷,6000,小时,清华大学激光技术研究所,https://www.tsinghua.edu.cn,,
聚焦聚合物激光器,460 nm,35-45%,1000,W,1.1,优良,优秀,优良,聚合物、金属,中,中型,每年,中等,较便捷,30000,小时,中国聚合物与激光技术协会,https://www.polymerlaser.org,,
大型激光系统,1319 nm,30-38%,8000,W,1.3,优良,优秀,优良,金属、绝缘材料,高,特大型,每两年,很高,复杂,70000,小时,全球激光尖端科技公司,https://www.global-laser-tech.com,,
探测激光器,950 nm,40-50%,200,W,1.0,优良,优秀,良好,金属、塑料、织物,中,小型,每六个月,低,较便捷,10000,小时,中国激光探测技术研究所,https://www.laser-detection.org,,
超高能激光器,800 nm,50-60%,10000,W,1.8,一般,优秀,优异,金属、碳基材料,高,特大型,每年,高,较复杂,50000,小时,全球超高能激光技术协会,https://www.ultrahighlaser.org,,
纳米激光器,680 nm,20%-25%,500,W,<1.5,优良,中等,较好,金属、陶瓷,低,小型,每年,中等,便捷,12000,小时,激光技术发展研究所,https://www.lasertech.dev.cn,,
转盘激光器,1064 nm,25%-30%,1500,W,1.4,良好,优良,优秀,金属、塑料、复合材料,中,中型,每半年,较高,较便捷,22000,小时,机械工程与技术协会,https://www.mecheng.org,,
光纤激光器,1550 nm,40%-45%,1000,W,<1.2,优良,优秀,良好,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,30000,小时,国际激光与光学协会,https://www.ifoa.org,,
紫外激光器,355 nm,22%-30%,700,W,1.6,良好,优良,优秀,电子元件、塑料,中,小型,每半年,中等,便捷,20000,小时,新材料技术研究院,https://www.newmaterials.org,,
光谱激光器,488 nm,18%-23%,800,W,1.5,良好,中等,一般,塑料、玻璃,低,小型,每年,较高,复杂,15000,小时,中国先进激光技术研究所,https://www.advancedlasers.cn,,
双波长激光器,405 nm / 980 nm,22%-28%,3000,W,1.7,优良,优良,优秀,金属、非金属,中,大型,每年,较高,便捷,60000,小时,全球激光材料协会,https://www.globallaser.org,,
伺服激光器,980 nm,30%-35%,2500,W,1.5,优良,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,18000,小时,中国自动化学会,https://www.casa.org.cn,,
铟镓氮激光器,450 nm,35%-40%,400,W,1.2,非常好,优良,中等,金属、陶瓷,低,小型,每半年,较低,非常便捷,25000,小时,中国科技部,https://www.most.gov.cn,,
红外激光器,1060 nm,20%-27%,1200,W,1.8,一般,中等,良好,金属、木材,中,中型,每年,中等,较便捷,15000,小时,中国新材料研究院,https://www.chinesenewmaterials.cn,,
气体激光器,590 nm,12%-18%,1000,W,>2.0,一般,较差,一般,非金属材料,低,大型,每年,较高,复杂,12000,小时,中国气体激光研究院,https://www.gaslaserresearch.cn,,
生态激光器,800 nm,15%-20%,900,W,1.3,良好,优良,优秀,生物材料、塑料,中,中型,每年,中等,较便捷,18000,小时,生态激光技术研究中心,https://www.ecolasers.org,,
小型激光加工系统,450 nm,35%-40%,400,W,<1.0,优良,优良,优秀,金属、塑料、玻璃,中,小型,每半年,较低,非常便捷,22000,小时,激光制造与工程协会,https://www.laserengineering.org,,
薄膜激光器,630 nm,20%-35%,600,W,1.4,良好,良好,优良,薄膜、塑料,低,大型,每年,较高,较复杂,25000,小时,中国薄膜技术研究所,https://www.filmlaser.org.cn,,
智能激光器,488 nm,25%-30%,2000,W,1.5,优良,优良,优秀,金属、陶瓷,高,小型,每半年,中等,非常便捷,30000,小时,机器人激光协会,https://www.roboticlasers.org,,
全光谱激光器,300 nm - 1100 nm,35%-45%,500,W,<1.0,优良,优良,优秀,多种材料,中,中型,每年,中等,便捷,25000,小时,全球光学激光设计中心,https://www.globalopticaldesign.com,,
光纤激光器,1064 nm,25-35%,2000,W,1.4,优良,优秀,优良,金属、塑料、复合材料,中,中型,每年,中等,便捷,30000,小时,全国激光科技协会,https://www.national-laser.org.cn,,
紫外激光器,355 nm,15-25%,500,W,2.2,一般,良好,优秀,玻璃、陶瓷、塑料,低,小型,每半年,较高,复杂,15000,小时,中国激光研究院,https://www.chinalaserinstitute.cn,,
高功率CO2激光器,10.6 µm,10-20%,4500,W,1.5,优良,优秀,优良,木材、金属、塑料,高,大型,每年,中等,非常便捷,25000,小时,激光与先进制造研究中心,https://www.laseradvanced.com,,
单波长激光器,980 nm,30-40%,700,W,1.2,优良,中等,良好,塑料、金属,中,中型,每年,中等,便捷,15000,小时,创新科技研究院,https://www.innovativetech.org,,
半导体固态激光器,450 nm,40-50%,1000,W,1.5,良好,优秀,优秀,金属、塑料、复合材料,低,小型,每年,较高,非常便捷,20000,小时,国家高新技术开发区,https://www.nationalhightech.gov.cn,,
生物医学激光器,632 nm,20-30%,250,W,1.8,良好,中等,一般,生物材料、组织,低,小型,每年,较高,较复杂,5000,小时,中国医疗激光技术研究中心,https://www.clmt.org.cn,,
超快激光器,800 nm,22-30%,600,W,1.3,一般,良好,优良,金属、合成材料,中,小型,每半年,中等,便捷,16000,小时,激光技术与材料科学研究所,https://www.lasertechmaterials.org,,
激光切割机,1064 nm,30-40%,3000,W,1.1,优良,优秀,一般,金属、木材、塑料,高,大型,每年,高,较便捷,18000,小时,中国机械工程学会,https://www.cmes.org,,
纳米激光器,400 nm,25-35%,150,W,2.1,良好,中等,良好,树脂、金属,中,小型,每一年,较高,便捷,10000,小时,国家纳米技术研究院,https://www.nationalnanotech.org,,
便携激光器,520 nm,18-28%,350,W,1.6,优良,良好,优良,塑料、布料,中,超小型,每季度,较高,非常便捷,8000,小时,便携科技有限公司,https://www.portabletech.com,,
红外激光器,1064 nm,20-25%,800,W,1.2,中等,优良,良好,金属、纸张、塑料,中,小型,每半年,中等,便捷,9000,小时,红外激光技术协会,https://www.infraredlaser.org,,
超导激光器,950 nm,55-60%,300,W,1.1,优良,中等,优良,光纤、金属,低,中型,每年,中等,便捷,12000,小时,超导研究所,https://www.superconductorscience.cn,,
高温激光器,10.2 µm,15-25%,4000,W,1.3,优良,优秀,优良,金属、陶瓷,高,大型,每年,高,较方便,21000,小时,激光研究领域专业机构,https://www.laserresearch.org,,
特种激光器,589 nm,30-40%,350,W,1.4,一般,中等,一般,塑料、玻璃,低,小型,每季度,中等,便捷,7000,小时,中国特种激光科技中心,https://www.speciallaser.cn,,
量子点激光器,640 nm,40-50%,250,W,1.3,优良,良好,良好,电子元件、塑料,中,小型,每半年,中等,便捷,12000,小时,量子技术研究中心,https://www.quantumtech.cn,,
