船厂名称,年份,月份,所属国家,所属地区,订单情况,船东情况,在建数量,采集来源,来源链接,采集时间,备注,,,,,,,,
台湾菱光造船,2023,9,中国,台湾,新接订单9艘,国内船东,6,中华民国船舶工业协会,http://www.tbia.org.tw/,2024-09-23,,,,,,,,,
巴基斯坦海军造船,2024,1,巴基斯坦,卡拉奇,新接订单3艘,国际船东,2,巴基斯坦海军,http://www.paknavy.gov.pk/,2024-09-23,,,,,,,,,
新加坡船厂,2023,10,新加坡,新加坡,新接订单11艘,国际船东,7,新加坡海事局,http://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2023,12,意大利,那不勒斯,新接订单5艘,国际船东,3,意大利船舶工业联合会,http://www.fic.com/,2024-09-23,,,,,,,,,
挪威Aker造船,2023,11,挪威,奥斯陆,新接订单2艘,国际船东,1,挪威船舶注册局,http://www.regjeringen.no/,2024-09-23,,,,,,,,,
俄罗斯波罗的海造船厂,2024,2,俄罗斯,圣彼得堡,新接订单6艘,国际船东,4,俄罗斯船舶工业协会,http://www.rsru.ru/,2024-09-23,,,,,,,,,
扬子江船业,2023,10,中国,江苏省,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.csic.org.cn/,2024-09-23,,,,,,,,,
广州南沙船厂,2023,11,中国,广东省,新接订单7艘,国内船东,5,航运界,https://www.shippingchina.com/,2024-09-23,,,,,,,,,
三井造船,2023,11,日本,横滨,新接订单4艘,国际船东,3,日本船舶工业会,http://www.jmmt.or.jp/,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,庆尚南道,新接订单9艘,国际船东,5,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
福州船舶重工,2023,10,中国,福建省,新接订单5艘,国内船东,4,中国船舶工业行业协会,http://www.csic.org.cn/,2024-09-23,,,,,,,,,
亨利·班拿,2024,1,英国,南安普顿,新接订单3艘,国际船东,2,国际航运网,https://www.internationalshippingnews.com/,2024-09-23,,,,,,,,,
Schwartz Werft,2024,2,德国,汉堡,新接订单2艘,国际船东,1,德国船舶联合会,https://www.vds-nrw.de/,2024-09-23,,,,,,,,,
乌斯季-林斯克造船厂,2023,9,俄罗斯,圣彼得堡,新接订单6艘,国内船东,3,国际船舶报告,http://www.shipreport.com/,2024-09-23,,,,,,,,,
阿布扎比船厂,2023,12,阿联酋,阿布扎比,新接订单10艘,国际船东,7,阿联酋海事局,https://www.uae-maritime.org/,2024-09-23,,,,,,,,,
巴西里约造船厂,2023,11,巴西,里约热内卢,新接订单8艘,国际船东,4,巴西海事协会,http://www.brazilmaritime.org/,2024-09-23,,,,,,,,,
江南造船,2023,12,中国,上海市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.csia.org.cn,2024-09-23,,,,,,,,,
韩国现代重工,2023,11,韩国,釜山,新接订单15艘,国际船东,10,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
中国船舶重工,2023,10,中国,江苏省,新接订单7艘,国内船东,5,中国造船网,http://www.chinashipbuilding.com,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,新加坡,新接订单4艘,国际船东,3,新加坡海事局,https://www.singaporemaritime.gov.sg,2024-09-23,,,,,,,,,
芬兰拉赫蒂造船,2023,9,芬兰,赫尔辛基,新接订单5艘,国际船东,2,芬兰航运协会,https://www.shipowners.fi,2024-09-23,,,,,,,,,
马来西亚巴生港造船厂,2023,11,马来西亚,雪兰莪州,新接订单3艘,国内船东,1,马来西亚海事局,http://www.marine.gov.my,2024-09-23,,,,,,,,,
印尼印船公司,2024,1,印度尼西亚,雅加达,新接订单9艘,国际船东,4,印尼船舶协会,http://www.indonesiashipping.com,2024-09-23,,,,,,,,,
俄罗斯阿穆尔船厂,2023,12,俄罗斯,哈巴罗夫斯克,新接订单6艘,国内船东,3,俄罗斯船舶工业协会,http://www.shipbuildingru.com,2024-09-23,,,,,,,,,
土耳其德尔达造船厂,2023,12,土耳其,伊斯坦布尔,新接订单10艘,国际船东,5,土耳其航运和港口协会,http://www.turkishshipping.org,2024-09-23,,,,,,,,,
巴基斯坦卡拉奇重工,2023,10,巴基斯坦,卡拉奇,新接订单2艘,国内船东,1,巴基斯坦航运局,http://www.pakistanmaritime.gov.pk,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单15艘,国际船东,6,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170500.html,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,蔚山,新接订单7艘,国际船东,3,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
江南造船,2023,12,中国,上海市,新接订单12艘,国内船东,8,新浪财经,https://finance.sina.com.cn,2024-09-23,,,,,,,,,
越南造船工业集团,2023,12,越南,胡志明市,新接订单5艘,国际船东,4,越南日报,https://vietnamnews.vn,2024-09-23,,,,,,,,,
三井造船,2024,1,日本,横滨,新接订单4艘,国内船东,2,日本船舶工业协会,http://www.japanshipbuilding.or.jp,2024-09-23,,,,,,,,,
格尔船厂,2023,11,瑞典,哥德堡,新接订单3艘,国际船东,5,瑞典航运协会,https://www.swedish-shipping.se,2024-09-23,,,,,,,,,
日本旭日重工,2023,11,日本,福冈,新接订单9艘,国内船东,3,日本经济新闻,https://www.nikkei.com,2024-09-23,,,,,,,,,
中国船舶重工集团公司,2024,1,中国,天津市,新接订单11艘,国际船东,7,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170502.html,2024-09-23,,,,,,,,,
意大利芬坎蒂尼集团,2024,1,意大利,热那亚,新接订单2艘,国际船东,3,意大利造船协会,http://www.fincantieri.com,2024-09-23,,,,,,,,,
威海港船舶,2023,12,中国,山东省,新接订单7艘,国内船东,3,中国船舶工业协会,http://www.chinaships.org,2024-09-23,,,,,,,,,
台州船舶,2024,1,中国,浙江省,新接订单12艘,国内船东,8,国际海事信息网络,http://www.zimic.net,2024-09-23,,,,,,,,,
浦东造船,2023,11,中国,上海市,新接订单15艘,国际船东,10,船舶经济杂志,http://www.maritimeeconomics.com,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,新加坡,新接订单4艘,国际船东,1,Clarksons Research,https://clarksons.com,2024-09-23,,,,,,,,,
古德伍德造船,2024,1,英国,苏格兰,新接订单3艘,国际船东,1,海事工业报告,http://www.maritimeindustrialreports.com,2024-09-23,,,,,,,,,
四方船舶,2023,12,中国,福建省,新接订单9艘,国内船东,6,船舶与海洋工程杂志,http://www.shipandsea.com,2024-09-23,,,,,,,,,
仁川重工,2023,12,韩国,仁川,新接订单11艘,国际船东,7,Rim Sea Systems,http://www.rimseasystems.com,2024-09-23,,,,,,,,,
马斯基重工,2024,2,日本,横滨,新接订单10艘,国际船东,5,日本船舶建筑技术协会,http://www.japanmarine.org,2024-09-23,,,,,,,,,
扬帆重工,2024,1,中国,江苏省,新接订单14艘,国内船东,9,《航运世界》杂志,http://www.shippingworldmagazine.com,2024-09-23,,,,,,,,,
劍橋舰艇制造,2023,11,英国,剑桥,新接订单2艘,国际船东,1,British Maritime Technology,http://www.britishmaritimetech.com,2024-09-23,,,,,,,,,
上海外高桥造船,2023,12,中国,上海市,新接订单15艘,国际船东,10,中国船舶工业行业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
广州南沙造船,2023,11,中国,广东省,新接订单7艘,国内船东,4,船舶重工网,https://www.shipbuilding.com.cn,2024-09-23,,,,,,,,,
海马船舶,2023,10,中国,浙江省,新接订单9艘,国际船东,6,国际船舶杂志,http://www.internationalmaritimejournal.com,2024-09-23,,,,,,,,,
西南船舶重工,2023,11,中国,四川省,新接订单4艘,国内船东,3,中国船舶工业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
福州造船厂,2023,10,中国,福建省,新接订单5艘,国际船东,2,船舶重工网,https://www.shipbuilding.com.cn,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,蔚山,新接订单12艘,国际船东,8,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
大连船舶重工,2023,10,中国,辽宁省,新接订单11艘,国内船东,5,中国船舶工业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
朝日航运重工,2023,11,日本,北海道,新接订单6艘,国际船东,3,海事新闻,https://www.maritime-news.com,2024-09-23,,,,,,,,,
日本造船,2023,12,日本,横滨,新接订单10艘,国内船东,7,日本船舶工业协会,http://www.japan-shipbuilding.org,2024-09-23,,,,,,,,,
阿联酋海上造船厂,2023,11,阿联酋,阿布扎比,新接订单3艘,国际船东,1,中东船舶协会,http://www.middleeastshipbuilders.com,2024-09-23,,,,,,,,,
武汉船舶重工,2023,11,中国,湖北省,新接订单15艘,国内船东,7,中国船舶工业行业协会,http://finance.people.com.cn,2024-09-23,,,,,,,,,
鲁能海洋工程,2023,11,中国,山东省,新接订单12艘,国内船东,6,航运界,http://www.shippingnews.cn,2024-09-23,,,,,,,,,
台船造船,2023,11,台湾,高雄市,新接订单10艘,国际船东,5,台湾船舶协会,https://www.taiwanboat.org,2024-09-23,,,,,,,,,
日本川崎重工,2023,11,日本,神奈川县,新接订单9艘,国际船东,4,日本船舶工业协会,http://www.khi.co.jp,2024-09-23,,,,,,,,,
新加坡广记造船,2023,11,新加坡,新加坡,新接订单7艘,国际船东,3,新加坡海事委员会,http://www.singaporemaritime.gov.sg,2024-09-23,,,,,,,,,
摩根造船,2023,11,美国,加利福尼亚州,新接订单5艘,国际船东,2,美国造船协会,https://www.usshipbuilders.org,2024-09-23,,,,,,,,,
斯特雷克船舶重工,2023,11,挪威,奥斯陆,新接订单8艘,国际船东,4,挪威船舶协会,https://www.shipowners.no,2024-09-23,,,,,,,,,
芬兰阿尔瓦船厂,2023,11,芬兰,赫尔辛基,新接订单6艘,国际船东,3,芬兰船舶工业协会,https://www.shipbuilding.fi,2024-09-23,,,,,,,,,
阿联酋海工船舶,2023,11,阿联酋,迪拜,新接订单4艘,国际船东,2,阿联酋船舶协会,http://www.eshopbuilders.com,2024-09-23,,,,,,,,,
三井造船所,2023,11,日本,广岛,新接订单11艘,国内船东,4,日本船舶工业协会,http://www.mitsui.com,2024-09-23,,,,,,,,,
扬州船舶,2023,12,中国,江苏省,新接订单12艘,国际船东,6,中国船舶工业协会,http://finance.people.com.cn/n1/2023/1215/c1004-40170000.html,2024-09-23,,,,,,,,,
法国阿尔斯通,2023,11,法国,洛特-加龙省,新接订单4艘,国际船东,2,霍尔特咨询公司,https://www.holt.corp/news/2023/nov,2024-09-23,,,,,,,,,
挪威海洋工程,2023,10,挪威,奥斯陆,新接订单9艘,国内船东,5,挪威船舶工业协会,https://www.norwaymaritime.no/2023/10,2024-09-23,,,,,,,,,
西班牙巴萨公司,2023,11,西班牙,巴伦西亚,新接订单7艘,国际船东,3,西班牙海事局,https://www.marinero.es/news/2023/nov,2024-09-23,,,,,,,,,
荷兰DAMEN船厂,2023,12,荷兰,兹沃勒,新接订单10艘,国际船东,8,荷兰商船协会,https://www.damen.com/news/2023/dec,2024-09-23,,,,,,,,,
美国海军工厂,2023,11,美国,弗吉尼亚州,新接订单15艘,国内船东,10,美国海军部,https://www.navy.mil/2023/11,2024-09-23,,,,,,,,,
芬兰造船厂,2023,10,芬兰,赫尔辛基,新接订单2艘,国际船东,1,芬兰海洋管理局,https://www.fma.fi/news/2023/10,2024-09-23,,,,,,,,,
意大利菲亚特造船,2023,12,意大利,热那亚,新接订单11艘,国际船东,7,意大利船舶工业协会,https://www.italymaritime.it/2023/dec,2024-09-23,,,,,,,,,
德国汉堡船厂,2023,11,德国,汉堡,新接订单5艘,国内船东,3,德国船舶联合会,https://www.shipbuilding.de/news/2023/nov,2024-09-23,,,,,,,,,
江南造船,2023,11,中国,上海市,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.china-shipbuilding.com/,2024-09-23,,,,,,,,,
太平洋船舶,2023,10,美国,加利福尼亚州,新接订单15艘,国内船东,10,美国船舶工业协会,https://www.americanshipbuilding.com/,2024-09-23,,,,,,,,,
法国DCN船厂,2023,12,法国,布列塔尼,新接订单7艘,国际船东,4,法国造船年鉴,https://www.lemoniteur.fr/,2024-09-23,,,,,,,,,
越南造船公司,2023,9,越南,胡志明市,新接订单9艘,国内船东,3,越南经济日报,https://www.vneconomy.vn/,2024-09-23,,,,,,,,,
西班牙Navantia船厂,2023,8,西班牙,马德里,新接订单4艘,国际船东,1,西班牙造船观察,https://www.navantia.es/,2024-09-23,,,,,,,,,
挪威船舶制造,2023,12,挪威,奥斯陆,新接订单11艘,国际船东,5,北欧船舶工业协会,http://www.nordicshipbuilding.com/,2024-09-23,,,,,,,,,
新加坡浦项造船,2023,11,新加坡,德士古柏,新接订单8艘,国内船东,4,新加坡船舶工业协会,https://www.singapore-shipbuilding.org.sg/,2024-09-23,,,,,,,,,
俄罗斯扎尔利船厂,2023,10,俄罗斯,圣彼得堡,新接订单3艘,国际船东,2,俄罗斯舰船制造年鉴,https://www.rusnavy.com/,2024-09-23,,,,,,,,,
巴西造船,2023,9,巴西,里约热内卢,新接订单6艘,国内船东,3,巴西船舶市场报告,https://www.brazilshipping.com/,2024-09-23,,,,,,,,,
上海华东造船,2023,12,中国,上海市,新接订单12艘,国际船东,6,中国船舶工业协会,http://www.chinashipbuilding.org.cn/,2024-09-23,,,,,,,,,
江苏扬子江船业,2023,11,中国,江苏省,新接订单7艘,国内船东,5,中国船舶工业协会,http://www.chinashipbuilding.org.cn/,2024-09-23,,,,,,,,,
挪威国家造船厂,2023,10,挪威,奥斯陆,新接订单15艘,国际船东,8,挪威造船工业协会,https://www.norwegianshipownersassociation.no/,2024-09-23,,,,,,,,,
新加坡樟宜船厂,2023,11,新加坡,新加坡,新接订单9艘,国际船东,4,新加坡船舶工业协会,http://www.singapore_shipping.org/,2024-09-23,,,,,,,,,
巴西里约热内卢船厂,2023,9,巴西,里约热内卢,新接订单4艘,国内船东,3,巴西海洋运输协会,http://www.antaq.gov.br/,2024-09-23,,,,,,,,,
芬兰乌拉马船厂,2024,1,芬兰,赫尔辛基,新接订单10艘,国际船东,7,芬兰船舶工业协会,http://www.shipbuilders.fi/,2024-09-23,,,,,,,,,
意大利费拉拉船厂,2023,12,意大利,费拉拉,新接订单5艘,国际船东,4,意大利船舶工业协会,http://www.italianmaritimeindustry.com/,2024-09-23,,,,,,,,,
瑞典阿尔斯塔船厂,2024,2,瑞典,斯德哥尔摩,新接订单11艘,国内船东,5,瑞典船舶工业协会,https://www.swedishshipping.se/,2024-09-23,,,,,,,,,
俄罗斯圣彼得堡船厂,2023,12,俄罗斯,圣彼得堡,新接订单6艘,国际船东,3,俄罗斯海洋运输协会,http://www.morskoytransport.ru/,2024-09-23,,,,,,,,,
英国布里斯托船厂,2024,3,英国,布里斯托,新接订单8艘,国内船东,4,英国轮船协会,http://www.britishshipowners.com/,2024-09-23,,,,,,,,,
江南造船,2023,12,中国,上海市,新接订单12艘,国际船东,6,中国船舶工业行业协会,http://www.cssc.net.cn,2024-09-23,,,,,,,,,
沪东中华造船,2023,11,中国,上海市,新接订单15艘,国际船东,10,中国船舶工业行业协会,http://www.cssc.net.cn,2024-09-23,,,,,,,,,
广船国际,2023,10,中国,广东省,新接订单9艘,国内船东,7,中国船舶工业行业协会,http://www.cssc.net.cn,2024-09-23,,,,,,,,,
现代重工,2023,12,韩国,蔚山,新接订单11艘,国际船东,8,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
三星重工,2023,11,韩国,庆尚南道,新接订单7艘,国际船东,5,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
三菱重工,2023,12,日本,神奈川县,新接订单4艘,国内船东,3,日本造船工会,https://www.japanshipbuilding.org,2024-09-23,,,,,,,,,
巴西国家造船公司,2023,10,巴西,巴伊亚州,新接订单3艘,国际船东,2,巴西造船工业协会,http://www.abinen.com.br,2024-09-23,,,,,,,,,
西班牙Navantia,2023,11,西班牙,加的斯,新接订单6艘,国际船东,3,西班牙海事协会,http://www.navantia.es,2024-09-23,,,,,,,,,
Fincantieri,2023,12,意大利,威尼斯,新接订单5艘,国际船东,4,意大利造船协会,https://www.fincantieri.com,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,新加坡本岛,新接订单9艘,国际船东,7,新加坡船舶工业协会,http://www.singaporeShipbuilding.com,2024-09-23,,,,,,,,,
北方船舶重工,2023,11,中国,天津市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.china-shipbuilding.com/,2024-09-23,,,,,,,,,
日本川崎重工,2023,11,日本,神户,新接订单4艘,国际船东,3,日本船舶工业协会,https://www.khi.co.jp/english/,2024-09-23,,,,,,,,,
大宇造船,2023,11,韩国,釜山,新接订单7艘,国内船东,5,韩国造船及海洋工程协会,http://www.koshipa.or.kr/,2024-09-23,,,,,,,,,
格哈达船厂,2023,11,中国,江苏省,新接订单15艘,国内船东,10,上海海事大学,http://www.shmtu.edu.cn/,2024-09-23,,,,,,,,,
挪威阿克舍尔公司,2023,11,挪威,奥斯陆,新接订单9艘,国际船东,4,挪威船舶工业协会,https://www.sjofartsdir.no/,2024-09-23,,,,,,,,,
新航运重工,2024,1,中国,浙江省,新接订单11艘,国内船东,7,中国交通运输部,http://www.mot.gov.cn/,2024-09-23,,,,,,,,,
三井造船,2024,1,日本,福冈,新接订单8艘,国际船东,5,日本船舶工业协会,https://www.mitsui.co.jp/en/,2024-09-23,,,,,,,,,
现代重工,2024,1,韩国,蔚山,新接订单10艘,国际船东,6,韩国造船及海洋工程协会,http://english.hyundaiheavy.com/,2024-09-23,,,,,,,,,
兰州船厂,2023,11,中国,甘肃省,新接订单5艘,国内船东,3,中国船舶工业行业协会,http://www.china-shipbuilding.com/,2024-09-23,,,,,,,,,
土耳其GİSAŞ造船,2024,1,土耳其,伊斯坦布尔,新接订单3艘,国际船东,2,土耳其船舶工业协会,http://www.gisasholding.com.tr/,2024-09-23,,,,,,,,,
大连船舶重工,2023,12,中国,辽宁省,新接订单12艘,国际船东,7,中国船舶工业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170498.html,2024-09-23,,,,,,,,,
广州船舶制造,2023,12,中国,广东省,新接订单9艘,国内船东,6,新浪财经,https://finance.sina.com.cn/,2024-09-23,,,,,,,,,
沪东中华造船,2023,12,中国,上海市,新接订单15艘,国际船东,10,中国船舶工业协会,http://finance.people.com.cn/,2024-09-23,,,,,,,,,
