技术名称,技术类别,产业化进度,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
水下无人机,航天技术,实验阶段,哈尔滨工业大学,http://www.hiitu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋环境监测系统,传感器技术,研发阶段,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能海洋导航,人工智能,开发中,中国科学院,http://www.cas.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料垃圾回收技术,环保技术,已实现产业化,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理技术,已实现产业化,中科院海洋研究所,http://www.ior.cas.cn,2024-09-23,,,,,,,,,,,,,,
自动化水下无人机,无人系统,研发阶段,深圳航天科技集团,https://www.szat.com,2024-09-23,,,,,,,,,,,,,,
增材制造海洋结构,制造技术,试点阶段,中国海洋大学,http://www.cou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,已实现产业化,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
微藻培养技术,农业科技,技术转让阶段,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,,,,
深海热泉能源提取,能源技术,研发阶段,国防科技大学,http://www.udst.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋生态监测,环境科技,实验阶段,武汉大学,http://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环保技术,已实现产业化,青岛科技大学,https://www.qdust.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化预测模型,气候研究,商用阶段,国家气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能养殖技术,水产养殖,研发阶段,浙江海洋学院,http://www.zjou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解技术,环境保护,试点阶段,中国科学院海洋研究所,http://www.oceanresearch.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化新技术,水资源管理,已实现产业化,北京水务集团,http://www.bjwater.com/,2024-09-23,,,,,,,,,,,,,,
应用于海洋的量子计算技术,计算机科学,研发阶段,清华大学量子计算研究中心,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物监测系统,监测技术,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋捕鱼技术,信息技术,商业化推广,深海科技公司,http://www.deepseatech.cn/,2024-09-23,,,,,,,,,,,,,,
基于区块链的海洋资源管理,金融科技,实验阶段,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,试点阶段,华东师范大学,http://www.ecnu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海水域无人机监测,无人系统,研发阶段,中科院自动化研究所,http://www.aia.cas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋热能转换技术,能源技术,已实现产业化,清华大学能源与动力工程系,http://www.oe.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋碳捕集与存储技术,环境科学,研发阶段,南开大学环境科学与工程学院,http://www.nankai.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境工程,已实现产业化,深圳环境科技公司,https://www.szhjk.com,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,自动化技术,研发阶段,中国海洋大学,http://www.comu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能发电技术,可再生能源,实验阶段,清华大学能源与动力工程系,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋酸化缓解技术,气候技术,已实现产业化,中国科学院海洋研究所,http://www.iop.ac.cn,2024-09-23,,,,,,,,,,,,,,
智能渔具,渔业科技,商业化进程中,国际海洋科学院,https://www.ioc-unesco.org,2024-09-23,,,,,,,,,,,,,,
双向海洋栅栏,海洋安全,研发阶段,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能气象预测,气象科学,已实现产业化,华东师范大学,http://www.ecnu.edu.cn,2024-09-23,,,,,,,,,,,,,,
生物降解海洋材料,材料科学,实验阶段,中国科学院化学研究所,http://www.iccas.ac.cn,2024-09-23,,,,,,,,,,,,,,
深海生物资源利用,生物技术,商业化进程中,厦门大学,https://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋运输无人机,无人技术,研发阶段,北京航空航天大学,http://www.buaa.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能监测系统,环境监测,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋能发电技术,可再生能源,研发阶段,深圳大学,https://www.szu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物医药开发,生物技术,实验阶段,中国科学院南海海洋研究所,http://www.scmor.cn,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,资源开发,已实现产业化,中海油,http://www.cnooc.com.cn,2024-09-23,,,,,,,,,,,,,,
海洋污染净化技术,环境治理,研发阶段,清华大学环境科学与工程系,https://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,已实现产业化,华中农业大学,https://www.hzau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋植物育种技术,农业科技,实验阶段,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,,,,
深海浮筒式养殖技术,渔业技术,研发阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测,气候监测,已实现产业化,国家气候中心,http://www.ncc-cma.net,2024-09-23,,,,,,,,,,,,,,
海洋碳捕集与封存技术,环保技术,研发阶段,中国石油大学,http://www.cup.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋微生物发酵技术,微生物工程,已实现产业化,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海水下机器人,海洋工程,商业化应用,深圳海洋技术研究所,http://www.szmou.com,2024-09-23,,,,,,,,,,,,,,
海洋智能传感器网络,传感技术,实验阶段,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
基于AI的海洋资源管理,人工智能技术,研发阶段,北京邮电大学,https://www.bupt.edu.cn,2024-09-23,,,,,,,,,,,,,,
新型海洋浮动风力发电机,新能源技术,已实现产业化,中山大学,https://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋污染生物修复技术,环境工程,研发阶段,中国科学院合肥物质科学研究院,https://www.hust.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化膜技术,水处理技术,已实现产业化,厦门大学,https://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工节水灌溉系统,农业技术,商业化应用,南京农业大学,https://www.njau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测系统,生态技术,实验阶段,武汉大学,https://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
可持续海洋生态修复,生态环保,研发阶段,香港科技大学,https://www.ust.hk,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解技术,环境工程,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化利用技术,水资源管理,已实现产业化,深圳水务集团,http://www.szww.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海新能源开发技术,能源技术,研发阶段,中海油,http://www.cnooc.com.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物药物研发,生物医药,实验阶段,中国科学院海洋研究所,http://www.qdio.ac.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业监控系统,物联网,已实现产业化,华大基因,https://www.bgi.com/,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测技术,气候变化,研发阶段,中国气象局,http://www.cma.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,实验阶段,清华大学环境学院,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿产资源利用技术,矿业工程,已实现产业化,中国地质调查局,http://www.cgs.gov.cn/,2024-09-23,,,,,,,,,,,,,,
蓝色经济可持续发展策略,政策研究,研发阶段,联合国开发计划署,http://www.cn.undp.org/,2024-09-23,,,,,,,,,,,,,,
液态海洋塑料回收技术,循环经济,实验阶段,中国塑料研究院,http://www.cprip.com/,2024-09-23,,,,,,,,,,,,,,
海洋塑料清除技术,环境治理,已实现产业化,国际海洋环保组织,https://www.oceanconservancy.org,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,深海资源开发,研发阶段,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化新方法,水处理技术,已实现产业化,新加坡水务管理局,https://www.pub.gov.sg,2024-09-23,,,,,,,,,,,,,,
海洋生物医药研发,生物技术,实验阶段,复旦大学,https://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业监控系统,物联网技术,开发中,阿里巴巴集团,https://www.alibaba.com,2024-09-23,,,,,,,,,,,,,,
海洋温度监测网络,气候监测,已实现产业化,国家气候中心,http://www.nccc.gov.cn,2024-09-23,,,,,,,,,,,,,,
虚拟现实海洋探索技术,虚拟现实,部分应用,北京大学,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋二氧化碳捕集技术,能源与环境,研发阶段,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋动物保护技术,生态保护,实验阶段,武汉大学,https://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能浮标系统,智能监测,研发阶段,香港科技大学,https://www.ust.hk,2024-09-23,,,,,,,,,,,,,,
海洋生态监测系统,环境监测,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业管理平台,信息技术,研发阶段,大连海洋大学,https://www.dlmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋污染治理技术,环境技术,实验阶段,复旦大学,https://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,自动化技术,已实现产业化,中国科学院海洋研究所,http://www.qdcm.org.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源发电,清洁能源,实际应用中,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,研发阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋碳捕集与储存技术,减排技术,实验阶段,中国地质大学,https://www.cug.edu.cn,2024-09-23,,,,,,,,,,,,,,
贻贝养殖新技术,水产养殖,已实现产业化,青岛农业大学,http://www.qdau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋垃圾回收系统,环境保护,实际应用中,上海交通大学,https://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化预警技术,气象技术,研发阶段,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境科技,已实现产业化,世界自然基金会,https://www.worldwildlife.org/,2024-09-23,,,,,,,,,,,,,,
深海矿物探测技术,资源探测,研发阶段,中国地质科学院,http://www.cggc.org.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能发电技术,可再生能源,实验阶段,国家能源局,https://www.nea.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能水下机器人,自动化技术,已实现产业化,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态监测系统,监测技术,研发阶段,南海研究院,http://www.nanhai.org.cn/,2024-09-23,,,,,,,,,,,,,,
鱼群行为模拟技术,计算机科学,实验阶段,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋气候预测模型,气象科技,已实现产业化,中国气象局,http://www.cma.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化设备,水处理技术,已实现产业化,深圳市水务局,http://www.szwater.gov.cn/,2024-09-23,,,,,,,,,,,,,,
水下生物多样性数据库,数据管理,研发阶段,国际自然保护联盟,https://www.iucn.org/,2024-09-23,,,,,,,,,,,,,,
海洋温室气体监测技术,环境监测,实验阶段,清华大学分析化学研究中心,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理技术,已实现产业化,国家海洋技术中心,http://www.nmtc.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔网,智能设备,应用推广中,深圳海洋大学,http://www.szu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
增材制造海洋结构,3D打印,研发阶段,中船重工,http://www.csic.com.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态监测传感器,环境监测,已实现产业化,中国科学院海洋研究所,http://www.iocas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物医药开发,生物技术,临床试验中,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿产资源开发技术,资源开发,商业化阶段,中国科学院深海研究所,http://www.soa.cas.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,机器人技术,已实现产业化,腾讯人工智能研究院,https://ai.tencent.com/,2024-09-23,,,,,,,,,,,,,,
可持续海洋养殖系统,农业技术,已实现产业化,农业农村部,http://www.moa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋污染清理技术,环境保护,实施阶段,蓝色经济研究中心,http://www.blueecoeconomy.org/,2024-09-23,,,,,,,,,,,,,,
海洋预测数据分析平台,大数据,研发阶段,阿里云,https://www.aliyun.com/,2024-09-23,,,,,,,,,,,,,,
海洋生物监测技术,环境监测,已实现产业化,中国海洋大学,http://www.cou.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,智能制造,研发阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋数据分析平台,大数据,已实现产业化,国家海洋局,http://www.nmdis.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源技术,能源技术,实验阶段,深圳市技术创新中心,https://www.szinnovation.com,2024-09-23,,,,,,,,,,,,,,
智能水质监测系统,环境监控,已实现产业化,香港科技大学,https://www.ust.hk,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,循环经济,研发阶段,清华大学生态环境学院,https://www.see.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能捕捞系统,水产养殖,实验阶段,中国科学院海洋研究所,https://www.qdio.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化监测系统,气候科学,已实现产业化,武汉大学,https://www.whu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态恢复技术,生态修复,研发阶段,厦门大学,https://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护平台,生物保护,实验阶段,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态系统监测技术,环境科学,已实现产业化,深圳湾科技园,https://www.szttp.org,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人,机器人技术,研发阶段,中国海洋大学,https://www.cdou.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源发电技术,可再生能源,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋水质净化技术,水处理,实验阶段,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔网技术,渔业科技,已实现产业化,农业农村部,http://www.moa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋灾害预警系统,信息技术,研发阶段,南京信息工程大学,http://www.nnjmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物成分提取技术,生物技术,实验阶段,华南理工大学,http://www.scut.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋防污染材料,新材料,研发阶段,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
人工智能海洋数据分析,大数据,已实现产业化,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海可穿戴设备,智能装备,实验阶段,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源发电技术,能源技术,已实现产业化,国家能源局,http://www.nea.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋水下机器人,自动化技术,研发阶段,大连理工大学,http://www.dlpu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋监测与预警系统,信息技术,实验阶段,中国海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,已实现产业化,中国生物技术集团,http://www.biotecn.com.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,研发阶段,中山大学,http://www.sysu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋垃圾清理技术,环境技术,实验阶段,环保部,http://www.mee.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,矿业技术,已实现产业化,中国科学院深海研究所,http://www.sqir.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物监测传感器,传感器技术,研发阶段,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态技术,已实现产业化,生态环境部,http://www.mee.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理技术,研发阶段,中国水利水电科学研究院,http://www.iwhr.com/,2024-09-23,,,,,,,,,,,,,,
海洋酸化探测技术,环境监测,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔网系统,智能制造,已实现产业化,青岛科技大学,http://www.qdust.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,可再生能源,研发阶段,中国科学院海洋研究所,http://www.iocas.ac.cn/,2024-09-23,,,,,,,,,,,,,,
深海矿产资源开发技术,海洋采矿,实验阶段,中国地质调查局,http://www.cgs.gov.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,智能机器人,已实现产业化,哈尔滨工程大学,http://www.hru.edu.cn/,2024-09-23,,,,,,,,,,,,,,
鱼类食性分析技术,生态研究,研发阶段,复旦大学,http://www.fudan.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下传感器网络,物联网,实验阶段,南京大学,http://www.nju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
综合海洋监测平台,数据监测,已实现产业化,厦门大学,http://www.xmu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态系统修复技术,生态修复,研发阶段,中国科学院生态环境研究中心,http://www.ihes.ac.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化新材料,材料科学,实验阶段,北京理工大学,http://www.bit.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋清洁技术,环境科学,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋高盐耐受微生物,微生物研究,研发阶段,中科院海洋研究所,http://www.ocean.csir.cn,2024-09-23,,,,,,,,,,,,,,
深海矿产资源开发技术,材料科学,实验阶段,中国科学院地质与地球物理研究所,http://www.iggps.ac.cn,2024-09-23,,,,,,,,,,,,,,
生物海藻肥料,农业科技,已实现产业化,华南农业大学,http://www.scau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态监测系统,信息技术,市场推广中,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能发电技术,新能源,已实现产业化,电力工程学院,http://www.epu.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下自动化无人机,机器人技术,研发阶段,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
综合海洋环境评估技术,政策研究,实验阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋温度调节技术,气候工程,已实现产业化,南京大学,http://www.nju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料清理机器人,环保科技,市场推广中,清华大学,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海矿物资源开发技术,矿物工程,商业化探索,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人作业技术,海洋工程,已实现产业化,深圳市水下技术研究院,http://www.szunderwatertech.com,2024-09-23,,,,,,,,,,,,,,
海洋废物处理技术,环境科技,试点阶段,环保部,http://www.mee.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋能发电系统,可再生能源,研发阶段,清华大学技术转移中心,http://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋监测系统,信息技术,已实现产业化,浙江大学,http://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,推广阶段,世界自然基金会（WWF）,http://www.worldwildlife.org,2024-09-23,,,,,,,,,,,,,,
海洋气候变化适应技术,气候科学,行之有效,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋食品安全检测技术,食品科技,已实现产业化,国家食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测技术,生物科技,研究阶段,中国科学院海洋研究所,http://www.qdio.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能运输技术,海洋运输,已实现产业化,海运科技有限公司,http://www.seatransporttech.com,2024-09-23,,,,,,,,,,,,,,
海洋碳捕集与储存技术,环境保护,规划阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋藻类生物技术,生物技术,已实现产业化,中国海洋大学,http://www.ouc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海探测技术,探测技术,研发阶段,深圳大学,http://www.szu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,机器人技术,已实现产业化,中山大学,http://www.sysu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋数据智能分析,大数据,实验阶段,清华大学,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,已实现产业化,农业农村部,http://www.moa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测技术,生态监测,研发阶段,中国科学院海洋研究所,http://www.iocas.ac.cn/,2024-09-23,,,,,,,,,,,,,,
新型海洋风能发电技术,可再生能源,规划阶段,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海类药物研发技术,医药技术,实验阶段,浙江大学,http://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
可持续海洋经济技术,经济技术,规划阶段,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋监测传感器网络,智能传感,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,能源技术,已实现产业化,清华大学水利水电工程系,http://www.thu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
高效海洋水处理系统,水处理,研发阶段,中国环境科学研究院,http://www.crae.com.cn/,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人,自动化技术,实验阶段,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,环境保护,已实现产业化,中科院生态环境研究中心,http://www.rcees.ac.cn/,2024-09-23,,,,,,,,,,,,,,
智能航运系统,运输技术,研发阶段,华东理工大学,http://www.ecust.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性监测软件,数据分析,实验阶段,中国科学院海洋研究所,http://www.qdgy.ac.cn/,2024-09-23,,,,,,,,,,,,,,
浮动风力发电平台,可再生能源,已实现产业化,中国石油大学（华东）,http://www.upc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
