时间,国家,地区,装机规模,单位,同比增长率,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2022年,意大利,-,7.1,GW,0.14,意大利可再生能源协会,https://www.energienuove.it/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,5.8,GW,0.12,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,挪威,-,2.5,GW,0.2,挪威能源局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,15.3,GW,0.21,西班牙可再生能源协会,https://www.amee.es/,2024/9/22,,,,,,,,,,,
2023年,波兰,-,6.4,GW,0.19,波兰能源部,https://www.gov.pl/web/energia,2024/9/22,,,,,,,,,,,
2023年,加拿大,-,4,GW,0.17,加拿大风能协会,https://canwea.ca/,2024/9/22,,,,,,,,,,,
2024年,美国,东部地区,25,GW,0.27,美国海洋能源协会,http://www.oea.org/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,10.5,GW,0.22,丹麦能源署,https://www.ens.dk/,2024/9/22,,,,,,,,,,,
2024年,日本,北海道,3.5,GW,0.35,日本可再生能源协会,https://www.renewable-e.energy/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,6.2,GW,0.3,挪威风能协会,https://www.norwegiansolar.no/,2024/9/22,,,,,,,,,,,
2024年,法国,诺曼底,8,GW,0.18,法国可再生能源委员会,https://reseau-energie-renouvelable.fr/,2024/9/22,,,,,,,,,,,
2024年,西班牙,加利西亚,5,GW,0.12,西班牙可再生能源协会,https://www.energiarenovable.com/,2024/9/22,,,,,,,,,,,
2024年,爱尔兰,-,4,GW,0.28,爱尔兰气候局,https://www.climate.gov.ie/,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,20.5,GW,0.3,美国风能协会,http://www.awea.org/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,7.2,GW,0.1,丹麦能源局,https://ens.dk/,2024/9/22,,,,,,,,,,,
2024年,日本,福岛,3.5,GW,0.35,日本可再生能源协会,https://www.renewable-ei.org/,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,5.8,GW,0.2,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,4.1,GW,0.12,挪威风能协会,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2024年,巴西,-,1,GW,0.5,巴西可再生能源协会,https://abeeolica.org.br/,2024/9/22,,,,,,,,,,,
2024年,法国,大西洋沿岸,10.3,GW,0.18,法国环境和能源管理局,https://www.ademe.fr/,2024/9/22,,,,,,,,,,,
2024年,意大利,亚得里亚海,2.7,GW,0.22,意大利可再生能源协会,https://www.ponte-energia.it/,2024/9/22,,,,,,,,,,,
2024年,印度,孟买沿海,0.8,GW,0.4,印度政府能源部,https://www.mnre.gov.in/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,9.4,GW,0.15,西班牙风能协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2022年,美国,-,22.5,GW,0.18,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,9.5,GW,0.1,丹麦风能协会,https://www.windpower.org/,2024/9/22,,,,,,,,,,,
2021年,法国,-,3.2,GW,0.3,法国电力公司,https://www.edf.fr/,2024/9/22,,,,,,,,,,,
2022年,日本,-,1,GW,0.2,日本可再生能源协会,https://www.renewable-ei.org/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,5.5,GW,0.22,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,挪威,-,2.6,GW,0.28,挪威水电与风能联合会,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2024年,韩国,-,6,GW,0.35,韩国能源经济研究院,https://www.keei.re.kr/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,11,GW,0.15,西班牙国家电力公司,https://www.redeia.com/,2024/9/22,,,,,,,,,,,
2023年,印度,-,4.8,GW,0.4,印度可再生能源协会,https://www.ires.org.in/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,2.3,GW,0.12,意大利可再生能源联盟,https://www.elettricitadelsole.it/,2024/9/22,,,,,,,,,,,
2023年,美国,-,23,GW,0.3,美国海洋能源协会,https://www.oceanenergy.org,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,3.5,GW,0.35,丹麦风能协会,https://www.windpower.org,2024/9/22,,,,,,,,,,,
2024年,日本,-,5.2,GW,0.5,日本可再生能源学会,https://www.japanrenewables.com,2024/9/22,,,,,,,,,,,
2023年,挪威,-,2.8,GW,0.2,挪威风能协会,https://www.norwegianwind.com,2024/9/22,,,,,,,,,,,
2023年,法国,-,12,GW,0.18,法国能源部,https://www.ecologie.gouv.fr,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,6.5,GW,0.28,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,意大利,-,7.5,GW,0.33,意大利可再生能源联盟,https://www.eru.it,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,4.9,GW,0.22,瑞典能源署,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2022年,比利时,-,3.3,GW,0.1,比利时风能协会,https://www.belgianwindenergy.eu,2024/9/22,,,,,,,,,,,
2024年,加拿大,-,9,GW,0.4,加拿大可再生能源协会,https://www.canadianrenewables.ca,2024/9/22,,,,,,,,,,,
2022年,美国,-,26.4,GW,0.3,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,17.5,GW,0.2,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2021年,瑞典,-,9.8,GW,0.35,瑞典气候与能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,日本,-,6.5,GW,0.18,日本可再生能源协会,https://www.ref.org/,2024/9/22,,,,,,,,,,,
2023年,比利时,-,8,GW,0.22,比利时风能协会,https://www.windenergybelgium.be/,2024/9/22,,,,,,,,,,,
2022年,法国,-,12.3,GW,0.28,法国可再生能源联合会,https://reseau-energie-renouvelable.fr/,2024/9/22,,,,,,,,,,,
2023年,意大利,-,4,GW,0.13,意大利风能协会,https://www.winditaly.it/,2024/9/22,,,,,,,,,,,
2021年,韩国,-,5.9,GW,0.15,韩国电力公司,https://www.kepco.co.kr/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,10,GW,0.3,挪威水利与能源局,https://www.nVE.no/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,7.5,GW,0.1,西班牙可再生能源协会,https://www.aeeolica.org/,2024/9/22,,,,,,,,,,,
2024年,美国,-,28.5,GW,0.3,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,16.5,GW,0.18,丹麦能源署,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,10,GW,0.22,瑞典风能协会,https://www SvenskVindenergi.se,2024/9/22,,,,,,,,,,,
2024年,日本,-,5.6,GW,0.4,日本可再生能源协会,https://www.renewable-ei.org,2024/9/22,,,,,,,,,,,
2024年,挪威,-,7.8,GW,0.15,挪威可再生能源协会,https://www.norwegiansolar.com,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,20,GW,0.3,美国能源部,https://www.energy.gov/eere/wind/technology,2024/9/22,,,,,,,,,,,
2024年,丹麦,北海,10.5,GW,0.1,丹麦能源署,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2024年,日本,福岛,3.2,GW,0.6,日本风能协会,https://www.jwea.or.jp/english/index.html,2024/9/22,,,,,,,,,,,
2024年,比利时,北海,5.8,GW,0.35,比利时可再生能源协会,https://www.belgianwindenergy.com/,2024/9/22,,,,,,,,,,,
2024年,法国,大西洋沿岸,6,GW,0.2,法国电力公司,https://www.edf.fr/en,2024/9/22,,,,,,,,,,,
2024年,印度,孟买,1.5,GW,0.4,印度可再生能源管理局,https://www.mnre.gov.in/,2024/9/22,,,,,,,,,,,
2024年,瑞典,波罗的海,4.2,GW,0.25,瑞典能源局,https://www.energimyndigheten.se/en/,2024/9/22,,,,,,,,,,,
2024年,挪威,北海,2.8,GW,0.3,挪威水资源与能源局,https://www.nve.no/en/,2024/9/22,,,,,,,,,,,
2024年,南非,西开普省,1,GW,0.5,南非风能协会,https://sawind.co.za/,2024/9/22,,,,,,,,,,,
2024年,加拿大,安大略,7.5,GW,0.2,加拿大可再生能源协会,https://www.canwea.ca/,2024/9/22,,,,,,,,,,,
2024年,美国,东海岸,20.5,GW,0.3,美国可再生能源协会,http://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,北海,6.2,GW,0.1,丹麦能源署,http://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,日本,海南岛,3.5,GW,0.2,日本风能协会,http://www.jwa.or.jp,2024/9/22,,,,,,,,,,,
2024年,挪威,北海,2.8,GW,0.15,挪威水能与风能协会,http://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,瑞典,波罗的海,5,GW,0.18,瑞典可再生能源联盟,http://www.svenskenergi.se,2024/9/22,,,,,,,,,,,
2024年,法国,大西洋沿岸,7.5,GW,0.22,法国电力公司,http://www.edf.fr,2024/9/22,,,,,,,,,,,
2024年,意大利,地中海,4.1,GW,0.12,意大利可再生能源协会,http://www.fer.it,2024/9/22,,,,,,,,,,,
2022年,美国,东海岸,42.5,GW,0.18,美国能源部,https://www.energy.gov/eere/wind/articles/wind-energy-technology-data-research,2024/9/22,,,,,,,,,,,
2023年,挪威,北欧,3.5,GW,0.22,挪威水利和能源署,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,法国,西北海岸,11.2,GW,0.3,法国可再生能源协会,https://reseau-rene.org/,2024/9/22,,,,,,,,,,,
2024年,日本,东海,8,GW,0.15,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2023年,印度,西海岸,2.2,GW,0.35,印度可再生能源部,https://mnre.gov.in/,2024/9/22,,,,,,,,,,,
2024年,丹麦,北海,20,GW,0.1,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2022年,瑞典,南部沿海,5.75,GW,0.2,瑞典气候与能源部,https://www.regeringen.se/,2024/9/22,,,,,,,,,,,
2023年,意大利,亚得里亚海,6.3,GW,0.12,意大利能源部,https://www.mise.gov.it/,2024/9/22,,,,,,,,,,,
2024年,巴西,东南海岸,1.5,GW,0.28,巴西可再生能源协会,http://www.abeeolica.org.br/,2024/9/22,,,,,,,,,,,
2024年,加拿大,大西洋沿岸,9,GW,0.17,加拿大能源局,https://www.canada.ca/en/services/environment/weather.html,2024/9/22,,,,,,,,,,,
2023年,日本,-,5,GW,0.3,日本风能协会,https://www.jwea.or.jp,2024/9/22,,,,,,,,,,,
2022年,美国,东海岸,12.4,GW,0.35,美国可再生能源委员会,https://www.greenbiz.com,2024/9/22,,,,,,,,,,,
2021年,挪威,-,3.5,GW,0.22,挪威能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,法国,-,10,GW,0.18,法国可再生能源协会,https://reseau-energie.com,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,20.5,GW,0.1,丹麦能源署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,6.2,GW,0.3,瑞典气候和环境部,https://www.sweden.gov.se,2024/9/22,,,,,,,,,,,
2023年,意大利,-,4.1,GW,0.15,意大利可再生能源协会,https://www.fer.it,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,8.7,GW,0.12,西班牙能源部,https://www.mitma.gob.es,2024/9/22,,,,,,,,,,,
2022年,巴西,-,2.5,GW,0.27,巴西可再生能源协会,https://www.abece.org.br,2024/9/22,,,,,,,,,,,
2022年,美国,-,28.5,GW,0.22,美国可再生能源协会,https://www.renewableenergyworld.com,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,12,GW,0.18,丹麦气候与能源部,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,6.5,GW,0.3,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,意大利,-,5,GW,0.12,意大利国家电力公司,https://www.enel.com,2024/9/22,,,,,,,,,,,
2024年,韩国,-,9,GW,0.2,韩国新再生能源协会,https://www.kreeia.or.kr,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,7.2,GW,0.19,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2023年,日本,-,4.5,GW,0.3,日本风能协会,https://www.jwea.or.jp,2024/9/22,,,,,,,,,,,
2024年,印度,-,3,GW,0.35,印度可再生能源部,https://www.mnre.gov.in,2024/9/22,,,,,,,,,,,
2022年,美国,-,20.5,GW,0.18,美国海上风能协会,https://www.boem.gov/renewable-energy/offshore-wind,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,5.2,GW,0.3,丹麦能源部,https://www.ens.dk/en,2024/9/22,,,,,,,,,,,
2023年,法国,-,9,GW,0.35,法国可再生能源联盟,https://reseau-energie.org,2024/9/22,,,,,,,,,,,
2023年,挪威,-,3.8,GW,0.22,挪威能源管理局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,7.5,GW,0.28,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,意大利,-,4.6,GW,0.32,意大利太阳能和风能协会,http://www.assolterm.it,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,16.5,GW,0.3,国际可再生能源署,https://www.irena.org,2024/9/22,,,,,,,,,,,
2023年,美国,东海岸,11.2,GW,0.35,美国能源部,https://www.energy.gov,2024/9/22,,,,,,,,,,,
2023年,挪威,-,3,GW,0.45,挪威风能协会,https://www.norwegianswind.org,2024/9/22,,,,,,,,,,,
2023年,比利时,-,2.6,GW,0.1,比利时生态部,https://www.vlaanderen.be,2024/9/22,,,,,,,,,,,
2024年,法国,-,8.2,GW,0.12,法国可再生能源联盟,https://www.environnement.gouv.fr,2024/9/22,,,,,,,,,,,
2024年,日本,-,6.7,GW,0.2,日本风能研究所,https://www.japanwind.org,2024/9/22,,,,,,,,,,,
2023年,韩国,-,5.5,GW,0.15,韩国能源管理公团,https://www.kemco.or.kr,2024/9/22,,,,,,,,,,,
2023年,印度,-,1.2,GW,0.3,印度可再生能源部,https://www.mnre.gov.in,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,7.3,GW,0.18,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,4,GW,0.28,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,美国,-,45,GW,0.3,美国风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,12.5,GW,0.2,丹麦能源署,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2024年,挪威,-,8,GW,0.18,挪威能源局,https://www.norskpetroleum.no/en/framework/norways-energy-policy/,2024/9/22,,,,,,,,,,,
2024年,法国,-,6.5,GW,0.22,法国可再生能源协会,https://reseau-repose.fr/,2024/9/22,,,,,,,,,,,
2023年,美国,-,22.5,GW,0.13,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2023年,挪威,-,3.6,GW,0.18,挪威水利与能源局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,法国,-,7.2,GW,0.1,法国可再生能源协会,https://reseau-energies-renouvelables.org/,2024/9/22,,,,,,,,,,,
2023年,丹麦,-,8.5,GW,0.22,丹麦能源署,https://ens.dk/,2024/9/22,,,,,,,,,,,
2022年,日本,-,3,GW,0.35,日本再生可能能源协会,https://www.renewable-ei.org/,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,4.4,GW,0.28,瑞典能源委员会,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,5.1,GW,0.3,意大利可再生能源联盟,https://www.renewables-italy.org/,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,9.3,GW,0.2,西班牙可再生能源机构,https://www.renovables.org/,2024/9/22,,,,,,,,,,,
2023年,波兰,-,1.8,GW,0.35,波兰风能协会,https://www.pwea.pl/,2024/9/22,,,,,,,,,,,
2024年,印度,-,2.2,GW,0.45,印度可再生能源部,https://www.mnre.gov.in/,2024/9/22,,,,,,,,,,,
2022年,美国,-,18,GW,0.3,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,4.5,GW,0.35,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,3.2,GW,0.2,瑞典电力公司,https://www.svk.se,2024/9/22,,,,,,,,,,,
2023年,挪威,-,5,GW,0.28,挪威水资源和能源管理局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2023年,日本,-,10,GW,0.18,日本可再生能源协会,https://www.j-rea.or.jp,2024/9/22,,,,,,,,,,,
2024年,法国,-,6.5,GW,0.15,法兰西能源与环境署,https://www.ecologie.gouv.fr,2024/9/22,,,,,,,,,,,
2024年,加拿大,-,7,GW,0.22,加拿大风能协会,https://canwea.ca,2024/9/22,,,,,,,,,,,
2024年,印度,-,4,GW,0.32,印度可再生能源部,https://www.mnre.gov.in,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,9,GW,0.19,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,巴西,-,2.5,GW,0.25,巴西可再生能源协会,https://www.abeeolica.org.br,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,17,GW,0.18,国际可再生能源署,https://www.irena.org/,2024/9/22,,,,,,,,,,,
2022年,美国,-,5.5,GW,0.3,美国能源部,https://www.energy.gov/,2024/9/22,,,,,,,,,,,
2021年,挪威,-,1.2,GW,0.12,挪威海洋局,https://www.kystverket.no/,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,3.9,GW,0.22,瑞典气候与能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,10,GW,0.28,西班牙可再生能源协会,https://www.unef.es/,2024/9/22,,,,,,,,,,,
2023年,法国,-,6.8,GW,0.2,法国环境与能源管理局,https://www.ademe.fr/,2024/9/22,,,,,,,,,,,
2021年,意大利,-,2.5,GW,0.15,意大利可再生能源协会,https://www.ansme.it/,2024/9/22,,,,,,,,,,,
2022年,波兰,-,1.8,GW,0.35,波兰国家能源监管局,https://www.ure.gov.pl/,2024/9/22,,,,,,,,,,,
2023年,日本,-,3.4,GW,0.27,日本可再生能源协会,https://www.jpea.gr.jp/,2024/9/22,,,,,,,,,,,
2023年,印度,-,1,GW,0.4,印度可再生能源发展局,https://www.ren21.net/,2024/9/22,,,,,,,,,,,
2022年,美国,-,30.5,GW,0.22,美国可再生能源协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2023年,法国,-,6,GW,0.18,法国可再生能源联盟,https://reseau-energie-renouvelables.org/,2024/9/22,,,,,,,,,,,
