时间,地区,装机规模,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2024年,浙江省,7,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5.5,GW,中国电力技术装备,http://www.china-equip.com/,2024/9/21,,,,,,,,,,,,,
2024年,江苏省,9,GW,能源研究所,http://www.energyresearch.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,新疆维吾尔自治区,3.2,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,甘肃省,6,GW,国家电力公司,http://www.sgcc.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,香港特别行政区,2.1,GW,香港电力公司,http://www.hkelectric.com/,2024/9/21,,,,,,,,,,,,,
2023年,Chongqing,11.2,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,5.8,GW,中国海洋能源协会,https://www.cmeea.org,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.3,GW,中国能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,4.7,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,广东省,14.1,GW,智联招聘,https://www.zhaopin.com,2024/9/21,,,,,,,,,,,,,
2024年,浙江省,7.9,GW,中国光伏行业协会,https://www.cpv.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,江苏省,9,GW,海洋资源开发研究所,http://www.marine.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,福建省,11.6,GW,中国电力公司,http://www.spd.cn,2024/9/21,,,,,,,,,,,,,
2023年,上海市,3.5,GW,可再生能源技术协会,https://www.ret.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,6,GW,海洋工程与技术研究院,http://www.oceanengineering.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,新疆维吾尔自治区,2.1,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15.3,GW,中国电力报,https://www.chinapower.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.8,GW,东北电力网,https://www.nepower.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.3,GW,中国海洋能源网,https://www.oceanenergy.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.2,GW,中国开发网,https://www.cde.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,7.9,GW,科技日报,https://www.stdaily.com,2024/9/21,,,,,,,,,,,,,
2024年,四川省,18.5,GW,中国可再生能源协会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,9.7,GW,西北电力研究院,https://www.northwestpower.org,2024/9/21,,,,,,,,,,,,,
2024年,黑龙江省,6.1,GW,中国绿色发展研究会,https://www.chinagdi.org,2024/9/21,,,,,,,,,,,,,
2024年,重庆市,11,GW,重庆日报,https://www.cq.news.cn,2024/9/21,,,,,,,,,,,,,
2024年,新疆维吾尔自治区,2.9,GW,中国能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.8,GW,中国可再生能源网,https://www.crea.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.4,GW,全国海洋局,http://www.soa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.1,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古,4.2,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,广西省,6,GW,中国海洋开发网,http://www.cmh.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,河北省,7.8,GW,风能网,http://www.windpower.com.cn/,2024/9/21,,,,,,,,,,,,,
2024年,云南省,3.5,GW,中国海洋经济网,http://www.oceaneco.cn/,2024/9/21,,,,,,,,,,,,,
2025年,四川省,10,GW,可再生能源长廊,http://www.renewableenergy.org.cn/,2024/9/21,,,,,,,,,,,,,
2025年,天津市,4.9,GW,中国环境保护部,http://www.mee.gov.cn/,2024/9/21,,,,,,,,,,,,,
2025年,黑龙江省,6.3,GW,中国水产科学研究院,http://www.cafs.ac.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.3,GW,中国风能协会,https://www.chinawea.org/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4,GW,海洋局,http://www.soa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,天津市,5.5,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,6.9,GW,中国城市发展研究院,http://www.ccud.cn/,2024/9/21,,,,,,,,,,,,,
2023年,吉林省,3.7,GW,风能科技,http://www.windtech.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,5,GW,中国能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,重庆市,6,GW,中国可再生能源研究院,https://www.creir.com/,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,4.2,GW,广西能源发展局,http://www.gxenergy.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,甘肃省,2.8,GW,甘肃省能源局,http://www.gansu.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,5,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2022年,山东省,9.3,GW,国家能源局,http://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,4.2,GW,海洋与渔业局,http://www.moa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.8,GW,能源研究所,http://www.erio.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,7.6,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,广西省,6,GW,南方网能源,http://www.southcn.com/,2024/9/21,,,,,,,,,,,,,
2023年,北京,2.5,GW,北京市发展和改革委员会,http://www.bjfgw.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,上海市,4.9,GW,上海市经信委,http://www.sheit.gov.cn/,2024/9/21,,,,,,,,,,,,,
2022年,四川省,8,GW,四川省能源局,http://www.scjnd.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,3.2,GW,重庆市发展改革委,http://www.cq.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,14.3,GW,国家能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.8,GW,中国海洋能源协会,http://www.cmoea.org/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.7,GW,中国海洋大学,https://www.shou.edu.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,4.1,GW,西安交通大学,http://www.xjtu.edu.cn/,2024/9/21,,,,,,,,,,,,,
2024年,天津市,6.9,GW,中国清洁能源协会,http://www.ccea.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,河北省,9.4,GW,中国能源报,http://www.ce.cn/,2024/9/21,,,,,,,,,,,,,
2022年,重庆市,7.6,GW,全国海洋信息中心,http://www.coi.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,8.2,GW,四川省能源局,http://www.scsy.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,浙江省,7.1,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,黑龙江省,2.9,GW,中国水产流通与加工协会,http://www.ccfmt.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.8,GW,中国海洋能源协会,https://www.comea.org,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15.4,GW,未来能源网,https://www.futureenergy.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.9,GW,专业海洋研究杂志,https://www.marinejournal.com,2024/9/21,,,,,,,,,,,,,
2023年,上海市,7.2,GW,中国能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,4.3,GW,海洋科学与工程,https://www.marineeng.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,4.1,GW,全球海洋报告,https://www.globaloceanreport.com,2024/9/21,,,,,,,,,,,,,
2023年,浙江省,6.8,GW,中国海洋经济研究中心,https://www.cnmr.org,2024/9/21,,,,,,,,,,,,,
2030年,全国,50,GW,国家能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,黑龙江省,2.3,GW,环保科技网,https://www.ept.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,9,GW,中国新能源促进会,https://www.cnepa.org,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9,GW,国家能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.4,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,15.3,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,海南省,3.2,GW,中国新能源网,http://www.newenergy.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,7.8,GW,中国科学院,http://www.cas.cn/,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,10,GW,国家电力公司,http://www.sgcc.com.cn/,2024/9/21,,,,,,,,,,,,,
2024年,河北省,6,GW,冀春资讯,http://www.jichun.com/,2024/9/21,,,,,,,,,,,,,
2023年,山西省,4.1,GW,中国电力新闻网,http://www.cpnn.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,9.5,GW,亿欧网,https://www.iyiou.com/,2024/9/21,,,,,,,,,,,,,
2024年,浙江省,6.9,GW,电力科技杂志,http://www.epst.org/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.1,GW,中国经济网,https://www.ce.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4,GW,新京报,https://www.bjnews.com.cn/,2024/9/21,,,,,,,,,,,,,
2024年,辽宁省,7.3,GW,国家海洋局,http://www.soa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,3.8,GW,中国能源网,http://www.cec.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,江苏省,9,GW,南方周末,https://www.infzm.com/,2024/9/21,,,,,,,,,,,,,
2025年,河北省,10.5,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,上海市,5.6,GW,澎湃新闻,https://www.thepaper.cn/,2024/9/21,,,,,,,,,,,,,
2024年,广西壮族自治区,8.2,GW,国家电网,http://www.sgcc.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,6.7,GW,新华网,http://www.xinhuanet.com/,2024/9/21,,,,,,,,,,,,,
2024年,北京市,4.5,GW,经济观察报,http://www.eeo.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.1,GW,山东省能源局,http://www.shandong.gov.cn/zwgk/xxgk/ptl/,2024/9/21,,,,,,,,,,,,,
2024年,海南省,3.4,GW,海南省统计局,http://www.hainan.gov.cn/statistics/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5,GW,中国电力企业联合会,http://www.cec.org.cn/,2024/9/21,,,,,,,,,,,,,
2025年,辽宁省,7.8,GW,大众网,http://www.dzwww.com/,2024/9/21,,,,,,,,,,,,,
2023年,内蒙古自治区,11.3,GW,内蒙古自治区能源局,http://www.nmg.gov.cn/nyj/,2024/9/21,,,,,,,,,,,,,
2024年,四川省,9.7,GW,四川省统计局,http://tjj.sc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2022年,宁夏回族自治区,4.2,GW,宁夏能源局,http://www.nx.gov.cn/nyj/,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,6.8,GW,湖北日报,http://www.hubeidaily.net/,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,5.9,GW,陕西省发改委,http://www.sntj.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,广西壮族自治区,8.4,GW,广西日报,http://www.gxnews.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.5,GW,国家海洋局,http://www.soa.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,山东省,9.3,GW,中国电力企业联合会,http://www.cepca.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,天津市,7,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.8,GW,中国能源研究会,http://www.nerc.org.cn,2024/9/21,,,,,,,,,,,,,
2025年,江西省,11,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,14.7,GW,南方电力网,http://www.nfpp.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,上海市,8.9,GW,上海市能源局,http://www.shec.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,6,GW,中国新能源网,http://www.ne21.com,2024/9/21,,,,,,,,,,,,,
2024年,河北省,10.5,GW,中国海洋经济发展报告,http://www.chinamaritime.com,2024/9/21,,,,,,,,,,,,,
2023年,甘肃省,3.5,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,四川省,9.1,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,7.8,GW,能源研究所,http://www.energyresearch.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,11.4,GW,中国电力企业联合会,http://www.cepra.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,辽宁省,5.3,GW,中国海洋能源协会,http://www.cmae.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.2,GW,中国海洋发展报告,https://www.chinaocean.dev,2024/9/21,,,,,,,,,,,,,
2023年,新疆维吾尔自治区,4,GW,中国可再生能源发展报告,https://www.chinare.com,2024/9/21,,,,,,,,,,,,,
2022年,上海市,8,GW,上海市能源局,http://www.shanghai.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,天津市,6,GW,天津市经济和信息化局,http://www.tianjin.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,5.5,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,4.5,GW,西北地区能源协会,http://www.snera.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,5.4,GW,中国海洋能源协会,http://www.coea.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,4.8,GW,海洋发展研究中心,http://www.mof.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.1,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2024年,海南省,3.2,GW,中国可再生能源学会,http://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,广西省,2.5,GW,中国能源网,http://www.cec.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,浙江省,7.8,GW,全国海洋技术推广中心,http://www.nmpa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,江苏省,10.6,GW,中国海洋科学技术协会,http://www.costi.gov.cn/,2024/9/21,,,,,,,,,,,,,
2025年,浙江省,11.2,GW,海洋经济发展研究所,http://www.moe.gov.cn/,2024/9/21,,,,,,,,,,,,,
2025年,广东省,15,GW,中国电力报,http://www.ceps.com.cn/,2024/9/21,,,,,,,,,,,,,
2025年,福建省,8,GW,中国电力网络,http://www.cnbc.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9,GW,中国电力企业联合会,http://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,5.5,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.2,GW,中研普华,http://www.chinairn.com,2024/9/21,,,,,,,,,,,,,
2023年,四川省,11.8,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,天津市,3,GW,中国科学院,http://www.cas.cn,2024/9/21,,,,,,,,,,,,,
2025年,重庆市,7.5,GW,智研咨询,http://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,4.8,GW,中国工程院,http://www.cae.cn,2024/9/21,,,,,,,,,,,,,
2023年,吉林省,3.3,GW,新能源智库,http://www.renewable.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,河北省,6.1,GW,全国能源信息平台,http://www.nemc.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,云南省,8.4,GW,中国电力报,http://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9,GW,中国电力新闻网,https://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,1.8,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.3,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2024年,四川省,7.4,GW,国家能源局,http://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,10.6,GW,中国电力委员会,https://www.cer.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,宁波市,4,GW,浙江省可再生能源研究中心,http://www.zjrenewable.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,南方电网,15.2,GW,南方电网公司,http://www.csg.cn,2024/9/21,,,,,,,,,,,,,
2024年,江苏省,9.8,GW,新能源网,http://www.newenergy.org,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.6,GW,天津市能源局,http://www.tianjin.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,北京,4.1,GW,北京可再生能源协会,http://www.bjrea.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,山东省,15.3,GW,中国风能协会,https://www.chinawea.org,2024/9/21,,,,,,,,,,,,,
2024年,辽宁省,9.8,GW,中国能源网,https://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,3.2,GW,中国海洋能源协会,https://www.cmec.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,广东省,13.1,GW,智研咨询,https://www.chyxx.com,2024/9/21,,,,,,,,,,,,,
2024年,江苏省,9,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,浙江省,7.4,GW,能源局,https://www.nea.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,福建省,11,GW,中国电力报,https://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,广西省,5.1,GW,广西能源局,https://www.gxny.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,河北省,10.5,GW,中国风能协会,https://www.chinawea.org,2024/9/21,,,,,,,,,,,,,
2024年,黑龙江省,4.8,GW,黑龙江电力公司,https://www.hldl.com.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,4.3,GW,海南省发展和改革委员会,https://www.hainan.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,山东省,15.8,GW,中国海洋信息网,http://www.soa.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,辽宁省,9.1,GW,中国海洋开发报,http://www.chren.com,2024/9/21,,,,,,,,,,,,,
2024年,重庆市,7.9,GW,重庆市生态环境局,http://www.cq.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,5.7,GW,陕西省能源局,http://www.shaanxi.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,江西省,6.8,GW,江西省发展改革委员会,http://www.jiangxi.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,新疆维吾尔自治区,11.4,GW,新疆能源局,http://www.xinjiang.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,上海市,14.2,GW,上海市经济和信息化委员会,http://www.shanghai.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,北京市,9.5,GW,北京市生态环境局,http://www.beijing.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,四川省,13.1,GW,四川省能源局,http://www.sc.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,5.7,GW,海南日报,https://www.hainan.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.8,GW,山东省发改委,https://www.sd.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.3,GW,中国海洋能源网,http://www.comecorp.com/,2024/9/21,,,,,,,,,,,,,
2025年,吉林省,6,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,4.2,GW,天津市统计局,http://www.tjnj.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,四川省,11.5,GW,中国能源网,http://www.chinaenergy.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,江苏省,9,GW,智研咨询,https://www.chyxx.com/,2024/9/21,,,,,,,,,,,,,
2023年,江西省,3.5,GW,江西省发改委,http://www.jxdrc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,8.8,GW,陕西省能源局,http://www.shaanxi.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,上海市,10.1,GW,上海日报,http://www.shanghai.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,山东省,9.8,GW,中国新能源网,https://www.newenergy.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,辽宁省,7.1,GW,中国可再生能源学会,https://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,海南省,4.3,GW,智慧能源,https://www.smartenergy.com,2024/9/21,,,,,,,,,,,,,
2023年,天津市,5.6,GW,中国电力建设集团,http://www.ceppe.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西省,3.9,GW,艾瑞咨询,https://www.iresearch.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,6.2,GW,中电联,https://www.cec.org.cn,2024/9/21,,,,,,,,,,,,,
2025年,重庆市,10.3,GW,中国能源研究会,https://www.cnrec.org.cn,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,8.2,GW,中国环境保护部,http://www.mep.gov.cn,2024/9/21,,,,,,,,,,,,,
2024年,四川省,11.4,GW,中国科学社,http://www.science.org.cn,2024/9/21,,,,,,,,,,,,,
2025年,吉林省,5,GW,中国电力新闻网,https://www.cpnn.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.3,GW,中国海洋能源协会,https://www.coceanenergy.org/,2024/9/21,,,,,,,,,,,,,
2024年,海南省,5.8,GW,国家能源局,https://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.4,GW,大连海事大学研究所,http://www.dlmu.edu.cn/,2024/9/21,,,,,,,,,,,,,
2025年,四川省,4.9,GW,四川省发展和改革委员会,http://fgw.sc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,天津市,3.2,GW,环境保护部,http://www.mee.gov.cn/,2024/9/21,,,,,,,,,,,,,
2025年,上海市,6,GW,上海市能源局,http://www.shdrc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,7.8,GW,湖北省水利厅,http://www.hubei.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,4.3,GW,西安交通大学能源研究中心,http://www.xjtu.edu.cn/,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,5.5,GW,重庆发展和改革委员会,http://fgw.cq.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,青海省,2.7,GW,青海省能源局,http://www.qhen.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,山东省,9.8,GW,中国能源互联网发展研究中心,http://www.ceidrc.org/,2024/9/21,,,,,,,,,,,,,
2024年,海南省,4.3,GW,国家能源局,http://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,天津市,3.9,GW,中国海洋工程咨询公司,http://www.cmecc.com/,2024/9/21,,,,,,,,,,,,,
2024年,广西省,5.6,GW,南方能源监测中心,http://www.south-energy.com/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.1,GW,辽宁省发展和改革委员会,http://www.lnDRC.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,湖北省,8,GW,中国电力研究院,http://www.cpri.cn/,2024/9/21,,,,,,,,,,,,,
2023年,四川省,11.3,GW,四川省能源局,http://www.scny.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,吉林省,3.5,GW,吉林省能源局,http://www.jilin.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,河北省,6.7,GW,河北省科学技术厅,http://www.hebstk.gov.cn/,2024/9/21,,,,,,,,,,,,,
2024年,陕西省,8.5,GW,陕西省能源局,http://www.shaanxi.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.8,GW,中国海洋能源协会,https://www.cmsea.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,海南省,3.4,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.1,GW,智能海洋网,https://www.smartocean.cn/,2024/9/21,,,,,,,,,,,,,
2024年,四川省,7.2,GW,中国科学技术协会,https://www.cast.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,新疆省,1.9,GW,新能时代网,https://www.xinnengshidai.com/,2024/9/21,,,,,,,,,,,,,
2023年,山西省,4.6,GW,全球能源互联网发展合作组织,https://www.geidco.org/,2024/9/21,,,,,,,,,,,,,
2023年,江苏省,8.1,GW,中国可再生能源协会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2024年,广东省,13,GW,投资中国网,https://www.investinchina.com/,2024/9/21,,,,,,,,,,,,,
2023年,河北省,6.3,GW,中国海洋发展报告,https://www.chinareport.org/,2024/9/21,,,,,,,,,,,,,
