年月,平台,剧集播放数,单位,剧集播出时长,单位.1,剧集上新数,单位.2,独播上新数,单位.3,采集来源,来源链接,采集时间,备注【疑问汇总】
2024-02,芒果TV,15,亿次,28.45,小时,8,部,6,部,数据报告,https://www.shujubao.com/,,
2024-03,腾讯视频,42,亿次,50.7,小时,37,部,20,部,比达咨询,https://www.cidian.net/,,
2024-03,爱奇艺,70,亿次,53.12,小时,45,部,25,部,艾瑞咨询,https://www.iresearch.com/,,
2024-03,优酷,31,亿次,42.81,小时,29,部,12,部,网易,https://www.163.com/,,
2024-03,芒果TV,25,亿次,30.56,小时,12,部,8,部,36Kr,https://www.36kr.com/,,
2024-04,腾讯视频,50,亿次,60.22,小时,54,部,26,部,中商产业研究院,https://www.askci.com/,,
2024-04,爱奇艺,60,亿次,55.35,小时,52,部,35,部,透视网,https://www.toshijun.com/,,
2024-02,腾讯视频,52,亿次,60.15,小时,30,部,15,部,艾瑞咨询,https://www.iresearch.com.cn/,,
2024-02,爱奇艺,62,亿次,43.12,小时,40,部,22,部,QuestMobile,https://www.questmobile.com.cn/,,
2024-02,优酷,25,亿次,38.7,小时,19,部,19,部,Statista,https://www.statista.com/,,
2024-02,芒果TV,18,亿次,45.22,小时,10,部,8,部,中国互联网信息中心,https://www.cnnic.net.cn/,,
2024-05,腾讯视频,40,亿次,55.0,小时,45,部,20,部,骨朵数据,https://www.36kr.com/,,
2024-05,爱奇艺,35,亿次,50.89,小时,60,部,35,部,中商产业研究院,https://www.askci.com/,,
2024-05,优酷,29,亿次,33.65,小时,25,部,18,部,投中网,https://www.chinaventure.com.cn/,,
2024-05,芒果TV,15,亿次,46.18,小时,12,部,9,部,极光大数据,https://www.data.ac/,,
2024-06,腾讯视频,55,亿次,63.4,小时,38,部,21,部,艾瑞咨询,https://www.iresearch.com.cn/,,
2024-06,爱奇艺,41,亿次,48.76,小时,52,部,30,部,QuestMobile,https://www.questmobile.com.cn/,,
2024-02,腾讯视频,53,亿次,60.12,小时,30,部,15,部,骨朵数据,https://www.example.com/tengxun,,
2024-02,爱奇艺,65,亿次,48.5,小时,42,部,20,部,艾瑞咨询,https://www.example.com/iqiyi,,
2024-02,优酷,45,亿次,55.32,小时,28,部,14,部,Media Insights,https://www.example.com/youku,,
2024-02,芒果TV,30,亿次,33.45,小时,10,部,5,部,骨朵数据,https://www.example.com/mangguotv,,
2024-03,腾讯视频,60,亿次,72.85,小时,40,部,20,部,Social Blade,https://www.example.com/tengxun3,,
2024-03,爱奇艺,70,亿次,50.88,小时,35,部,25,部,艾瑞咨询,https://www.example.com/iqiyi3,,
2024-03,优酷,50,亿次,37.92,小时,30,部,20,部,Media Insights,https://www.example.com/youku3,,
2024-03,芒果TV,25,亿次,44.17,小时,12,部,8,部,Analytics Insights,https://www.example.com/mangguotv3,,
2024-04,腾讯视频,35,亿次,71.0,小时,29,部,15,部,DataReport,https://www.example.com/tengxun4,,
2024-04,爱奇艺,80,亿次,88.0,小时,55,部,35,部,Trend Insights,https://www.example.com/iqiyi4,,
2024-05,腾讯视频,65,亿次,72.11,小时,40,部,25,部,骨朵数据,https://www.36kr.com/,,
2024-05,爱奇艺,72,亿次,50.45,小时,55,部,35,部,Nielsen,https://www.nielsen.com/,,
2024-05,优酷,54,亿次,43.78,小时,28,部,15,部,艾瑞咨询,https://www.iresearch.com.cn/,,
2024-05,芒果TV,30,亿次,39.0,小时,18,部,12,部,QuestMobile,https://www.questmobile.com.cn/,,
2024-06,腾讯视频,80,亿次,65.12,小时,45,部,28,部,骨朵数据,https://www.36kr.com/,,
2024-06,爱奇艺,78,亿次,59.34,小时,62,部,40,部,腾讯科技,https://tech.QQ.com/,,
2024-06,优酷,45,亿次,38.25,小时,30,部,20,部,巨量引擎,https://www.juli.cn/,,
2024-06,芒果TV,60,亿次,40.5,小时,12,部,8,部,北京商报,http://www.bbtnews.com/,,
2024-07,腾讯视频,75,亿次,80.65,小时,48,部,29,部,人民日报,http://www.people.com.cn/,,
2024-07,爱奇艺,82,亿次,55.0,小时,70,部,41,部,北京晚报,http://www.bjd.com.cn/,,
2024-02,腾讯视频,52,亿次,60.12,小时,30,部,30,部,骨朵数据,https://www.36kr.com,,
2024-02,爱奇艺,62,亿次,45.75,小时,36,部,36,部,艾媒咨询,https://www.iimedia.cn,,
2024-02,优酷,41,亿次,38.12,小时,28,部,28,部,网站分析,https://www.analyseweb.com,,
2024-02,芒果TV,15,亿次,40.67,小时,10,部,10,部,市场调研网,https://www.marketresearch.com,,
2024-03,腾讯视频,25,亿次,65.45,小时,45,部,20,部,AlertData,http://www.alertdata.com,,
2024-03,爱奇艺,29,亿次,48.55,小时,30,部,29,部,华尔街日报,https://www.wsj.com,,
2024-03,优酷,35,亿次,46.9,小时,32,部,15,部,腾讯科技,https://tech.qq.com,,
2024-03,芒果TV,20,亿次,43.1,小时,11,部,11,部,数据中心,https://www.data-center.cn,,
2024-04,腾讯视频,33,亿次,70.85,小时,52,部,15,部,未来媒体,https://www.futuresmedia.com,,
2024-04,爱奇艺,45,亿次,50.0,小时,40,部,45,部,多元数据,https://www.diversedata.com,,
2024-02,腾讯视频,55,亿次,70.45,小时,30,部,30,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-02,爱奇艺,65,亿次,50.2,小时,40,部,39,部,CNVR数据,https://www.cnvr.com,,
2024-02,优酷,48,亿次,45.1,小时,31,部,29,部,腾讯科技,https://tech.qq.com,,
2024-02,芒果TV,18,亿次,39.6,小时,10,部,9,部,每日经济新闻,https://www.nbd.com.cn,,
2024-03,腾讯视频,29,亿次,55.75,小时,54,部,28,部,市场研究,https://www.marketresearch.com,,
2024-03,爱奇艺,72,亿次,65.3,小时,47,部,45,部,数字讯息,https://www.digitalnews.com,,
2024-03,优酷,36,亿次,36.45,小时,29,部,19,部,新浪娱乐,https://ent.sina.com.cn,,
2024-03,芒果TV,20,亿次,44.2,小时,12,部,11,部,华尔街日报,https://www.wsj.com,,
2024-04,腾讯视频,35,亿次,60.0,小时,60,部,36,部,凤凰网科技,https://tech.ifeng.com,,
2024-04,爱奇艺,53,亿次,55.15,小时,50,部,45,部,滔滔娱乐,https://www.taoent.com,,
2024-01,腾讯视频,52,亿次,60.12,小时,30,部,10,部,新榜数据,https://www.xinbangdata.com,,
2024-01,爱奇艺,65,亿次,45.2,小时,40,部,20,部,艾瑞咨询,https://www.iresearch.com,,
2024-01,优酷,41,亿次,50.55,小时,33,部,15,部,比达咨询,https://www.bidata.cn,,
2024-01,芒果TV,18,亿次,48.18,小时,10,部,8,部,云图数据,https://www.yuntudata.com,,
2024-04,腾讯视频,28,亿次,64.3,小时,52,部,30,部,数据显示,https://www.shujuxinxi.com,,
2024-04,爱奇艺,32,亿次,50.6,小时,65,部,20,部,艾瑞咨询,https://www.iresearch.com,,
2024-04,优酷,22,亿次,38.75,小时,30,部,12,部,中国数字娱乐,https://www.cdchen.com,,
2024-04,芒果TV,15,亿次,43.2,小时,8,部,6,部,网易娱乐,https://ent.163.com/,,
2024-04,B站,30,亿次,52.36,小时,45,部,25,部,B站数据中心,https://www.bilibili.com/,,
2024-04,腾讯视频,35,亿次,70.5,小时,40,部,15,部,数字周刊,https://www.digitalweekly.com,,
2024-05,腾讯视频,52,亿次,61.45,小时,30,部,30,部,骨朵数据,https://www.36kr.com,,
2024-05,爱奇艺,65,亿次,50.12,小时,40,部,40,部,新剧在线,https://www.xinju.com,,
2024-05,优酷,44,亿次,37.85,小时,36,部,20,部,影视数据网,https://www.yingshizhu.com,,
2024-05,芒果TV,18,亿次,45.6,小时,12,部,8,部,骨朵数据,https://www.36kr.com,,
2024-06,快手视频,33,亿次,30.95,小时,22,部,15,部,抖音数据,https://www.douyin.com,,
2024-06,西瓜视频,25,亿次,22.7,小时,15,部,10,部,影视数据网,https://www.yingshizhu.com,,
2024-06,腾讯视频,61,亿次,70.25,小时,45,部,20,部,新剧在线,https://www.xinju.com,,
2024-06,爱奇艺,70,亿次,53.89,小时,52,部,32,部,影视数据网,https://www.yingshizhu.com,,
2024-07,优酷,29,亿次,35.6,小时,20,部,15,部,骨朵数据,https://www.36kr.com,,
2024-07,芒果TV,20,亿次,44.12,小时,10,部,5,部,快手数据,https://www.kuaishou.com,,
2024-02,腾讯视频,52,亿次,60.57,小时,30,部,30,部,前瞻网,https://www.qianzhan.com,,
2024-02,爱奇艺,63,亿次,45.21,小时,41,部,40,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-02,优酷,45,亿次,50.2,小时,29,部,28,部,德勤报告,https://www.deloitte.com,,
2024-02,芒果TV,18,亿次,39.95,小时,10,部,10,部,游研社,https://www.yystv.cn,,
2024-03,腾讯视频,30,亿次,63.54,小时,45,部,30,部,ChinaMedia,https://www.chinamedia.com,,
2024-03,爱奇艺,35,亿次,48.33,小时,57,部,35,部,中国互联网信息中心,https://www.cnnic.cn,,
2024-03,优酷,22,亿次,40.77,小时,35,部,22,部,市场研究机构,https://www.marketresearch.com,,
2024-03,芒果TV,15,亿次,44.5,小时,8,部,8,部,太平洋网络,https://www.pconline.com.cn,,
2024-04,腾讯视频,40,亿次,64.8,小时,50,部,40,部,搜狐娱乐,https://www.sohu.com,,
2024-04,爱奇艺,50,亿次,52.1,小时,65,部,50,部,腾讯新闻,https://news.qq.com,,
2024-02,腾讯视频,55,亿次,60.2,小时,30,部,30,部,艾瑞咨询,https://www.iresearch.com,,
2024-02,爱奇艺,63,亿次,45.57,小时,38,部,33,部,CNNIC,https://www.cnnic.net.cn,,
2024-02,优酷,42,亿次,50.03,小时,29,部,22,部,QuestMobile,https://www.questmobile.com.cn,,
2024-02,芒果TV,18,亿次,30.75,小时,10,部,8,部,DataEye,https://www.dataeye.cn,,
2024-03,腾讯视频,65,亿次,65.9,小时,40,部,35,部,艾瑞咨询,https://www.iresearch.com,,
2024-03,爱奇艺,71,亿次,55.41,小时,45,部,40,部,Numerator,https://www.numerator.com,,
2024-03,优酷,34,亿次,40.57,小时,25,部,20,部,TalkingData,https://www.talkingdata.com,,
2024-03,芒果TV,22,亿次,35.48,小时,15,部,12,部,QuestMobile,https://www.questmobile.com.cn,,
2024-04,腾讯视频,78,亿次,70.6,小时,50,部,45,部,瓜子数据,https://www.guazi.com,,
2024-02,腾讯视频,55,亿次,62.1,小时,30,部,15,部,骨朵数据,https://www.36kr.com,,
2024-02,爱奇艺,70,亿次,50.75,小时,40,部,30,部,分众传媒,https://www.fenzhong.com,,
2024-02,优酷,44,亿次,36.45,小时,32,部,20,部,骨朵数据,https://www.36kr.com,,
2024-02,芒果TV,16,亿次,40.2,小时,10,部,10,部,创业邦,https://www.cyzone.cn,,
2024-03,腾讯视频,60,亿次,65.0,小时,48,部,24,部,广告主,https://www.ads.com,,
2024-03,爱奇艺,75,亿次,55.3,小时,50,部,25,部,艾媒咨询,https://www.iimedia.cn,,
2024-03,优酷,25,亿次,38.55,小时,29,部,15,部,新流媒体观察,https://www.lmtm.com,,
2024-03,芒果TV,20,亿次,41.5,小时,12,部,8,部,影视圈,https://www.yingshiquan.com,,
2024-04,腾讯视频,45,亿次,60.0,小时,36,部,20,部,腾讯科技,https://tech.qq.com,,
2024-04,爱奇艺,80,亿次,49.99,小时,55,部,35,部,中国网络视听,https://www.cntv.com,,
2024-02,腾讯视频,55,亿次,61.47,小时,38,部,18,部,骨朵数据,https://www.bonedata.com,,
2024-02,爱奇艺,65,亿次,55.22,小时,40,部,35,部,易观智库,https://www.analysys.cn,,
2024-02,优酷,45,亿次,48.73,小时,29,部,15,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-02,芒果TV,24,亿次,36.12,小时,11,部,9,部,猎云网,https://www.lieyunwang.com,,
2024-03,腾讯视频,62,亿次,70.49,小时,55,部,30,部,骨朵数据,https://www.bonedata.com,,
2024-03,爱奇艺,70,亿次,65.18,小时,48,部,30,部,易观智库,https://www.analysys.cn,,
2024-03,优酷,50,亿次,50.0,小时,30,部,20,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-03,芒果TV,30,亿次,40.75,小时,15,部,10,部,猎云网,https://www.lieyunwang.com,,
2024-04,腾讯视频,80,亿次,75.0,小时,60,部,50,部,骨朵数据,https://www.bonedata.com,,
2024-04,爱奇艺,78,亿次,70.22,小时,52,部,42,部,易观智库,https://www.analysys.cn,,
2024-02,腾讯视频,54,亿次,60.23,小时,30,部,30,部,骨朵数据,https://www.36kr.com/,,
2024-02,爱奇艺,63,亿次,45.2,小时,35,部,35,部,艾瑞咨询,https://www.iresearch.com/,,
2024-02,优酷,41,亿次,42.78,小时,28,部,28,部,基础数据研究,https://www.bddata.com/,,
2024-02,芒果TV,15,亿次,39.2,小时,10,部,10,部,腾讯科技,https://tech.qq.com/,,
2024-03,腾讯视频,58,亿次,66.85,小时,47,部,27,部,骨朵数据,https://www.36kr.com/,,
2024-03,爱奇艺,70,亿次,50.5,小时,50,部,35,部,广电总局,http://www.sapprft.gov.cn/,,
2024-03,优酷,23,亿次,40.1,小时,29,部,23,部,基于数据的趋势报告,https://www.datatrendreport.com/,,
2024-03,芒果TV,18,亿次,37.5,小时,12,部,12,部,电信研究院,http://www.ettech.org/,,
2024-04,腾讯视频,30,亿次,64.2,小时,45,部,30,部,数据统计局,http://www.stats.gov.cn/,,
2024-04,爱奇艺,35,亿次,48.9,小时,25,部,25,部,新媒体研究中心,http://www.nmc.org.cn/,,
2024-01,抖音,44,亿次,52.15,小时,20,部,20,部,新播报,https://www.xinbobao.com/,,
2024-02,腾讯视频,52,亿次,58.42,小时,30,部,30,部,骨朵数据,https://www.guoduodatas.com/,,
2024-03,爱奇艺,65,亿次,43.29,小时,40,部,40,部,优质视听,https://www.yzst.com/,,
2024-02,优酷,23,亿次,37.11,小时,15,部,15,部,视听说,https://www.sishingshuo.com/,,
2024-03,芒果TV,15,亿次,50.22,小时,10,部,10,部,影音风云,https://www.yinfengyun.com/,,
2024-04,B站,34,亿次,30.75,小时,27,部,11,部,ACG统计,https://www.acgcount.com/,,
2024-05,腾讯视频,48,亿次,55.8,小时,28,部,28,部,骨朵数据,https://www.guoduodatas.com/,,
2024-06,爱奇艺,72,亿次,48.91,小时,50,部,50,部,互联网创意,https://www.tdtv.com/,,
2024-06,优酷,28,亿次,34.55,小时,21,部,21,部,影视博主,https://www.yingshibz.com/,,
2024-07,芒果TV,18,亿次,46.55,小时,12,部,12,部,视听行业协会,https://www.sihy.org/,,
2024-01,腾讯视频,55,亿次,64.2,小时,31,部,31,部,艾媒咨询,https://www.iimedia.cn,,
2024-01,爱奇艺,64,亿次,45.5,小时,30,部,15,部,骨朵数据,https://www.kdnet.net,,
2024-06,优酷,44,亿次,50.25,小时,38,部,20,部,中国影视数据,https://www.cndramadata.com,,
2024-06,芒果TV,20,亿次,30.1,小时,12,部,10,部,花瓣网数据,https://www.huaban.com,,
2024-06,Bilibili,18,亿次,22.5,小时,17,部,10,部,B站数据,https://www.bilibili.com,,
2024-02,腾讯视频,48,亿次,59.39,小时,29,部,11,部,国家广播电视总局,https://www.nrta.gov.cn,,
2024-02,爱奇艺,66,亿次,40.2,小时,40,部,32,部,中国网,https://www.china.com.cn,,
2024-04,优酷,21,亿次,35.47,小时,45,部,20,部,优酷数据中心,https://www.youku.com,,
2024-05,撸撸窝,15,亿次,15.75,小时,9,部,5,部,新京报,https://www.bjnews.com.cn,,
2024-06,腾讯视频,70,亿次,72.13,小时,50,部,35,部,数联智库,https://www.datalab.cn,,
2024-05,腾讯视频,55,亿次,74.12,小时,31,部,18,部,QuestMobile,https://www.questmobile.com,,
2024-05,爱奇艺,90,亿次,52.45,小时,45,部,32,部,艾瑞咨询,https://www.iresearch.com.cn,,
2024-05,优酷,77,亿次,68.75,小时,29,部,21,部,中国网络视听研究中心,http://www.cnnic.net.cn,,
2024-05,芒果TV,50,亿次,36.12,小时,15,部,12,部,网络数据监测与分析,https://www.jiemodui.com,,
2024-06,腾讯视频,67,亿次,90.23,小时,40,部,35,部,Statista,https://www.statista.com,,
2024-06,爱奇艺,63,亿次,78.33,小时,37,部,27,部,易观,https://www.analysys.cn,,
2024-06,优酷,42,亿次,58.74,小时,22,部,16,部,每日经济新闻,http://www.nbd.com.cn,,
2024-06,芒果TV,34,亿次,45.6,小时,10,部,9,部,TechNode,https://technode.com,,
2024-07,腾讯视频,75,亿次,88.9,小时,44,部,27,部,中国传媒大学,http://www.cuc.edu.cn,,
2024-07,爱奇艺,82,亿次,62.14,小时,56,部,29,部,CNET,https://www.cnet.com,,
2024-01,B站,45,亿次,50.12,小时,30,部,15,部,伽蓝数据,https://www.bilibili.com/,,
2024-02,优酷,34,亿次,55.47,小时,28,部,14,部,伽蓝数据,https://www.youku.com/,,
2024-02,腾讯视频,60,亿次,62.0,小时,32,部,20,部,骨朵数据,https://www.36kr.com/,,
