激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
冷光激光器,450 nm,30%-38%,1800,W,<1.5,优良,优秀,优秀,塑料、玻璃,中,中型,每年,中等,便利,12000,国际激光器制造商协会,https://www.iclma.org,,
DPSS激光器,532 nm,15-25%,1500,W,1.3,良好,优良,良好,金属、塑料,中,中型,每年,中等,较便捷,8000,光电技术研究所,https://www.opticsresearch.org,,
紫外激光器,355 nm,20-35%,1000,W,1.4,优良,优秀,优良,塑料、玻璃,低,大型,每年,较高,便捷,6000,中国激光行业协会,https://www.clia.org.cn,,
青色激光器,450 nm,10-15%,800,W,1.6,一般,一般,较差,镀层、打标,高,小型,每半年,较高,一般,5000,中国半导体激光器研发中心,https://www.semiconductorlasing.org,,
固体激光器,1064 nm,40-50%,2500,W,1.1,优良,优秀,优良,金属、陶瓷,中,大型,每年,中等,较便捷,12000,激光与光电工程学会,https://www.laserandopto.org,,
管式激光器,10.2 µm,5-7%,2000,W,2.0,较差,中等,中等,非金属、金属,低,中型,每年,较高,一般,4000,市场研究公司LaserFocus,https://www.laserfocusworld.com,,
超短脉冲激光器,1030 nm,25-35%,500,W,<1.2,优良,优秀,良好,金属、塑料,高,小型,每年,中低,非常便捷,15000,国际激光技术协会,https://www.international-laser-tech.org,,
狭缝激光器,660 nm,30-40%,300,W,1.4,良好,差,优良,塑料、纸张,低,小型,每半年,较低,便捷,5000,激光和光学研究中心,https://www.laserandopticslab.org,,
激光二极管,780 nm,35-45%,100,W,1.8,优良,较差,较好,打标、表面处理,中,小型,每季度,中等,较便捷,20000,激光应用技术研究院,https://www.lasertechapplication.org,,
新型激光器,540 nm,15-20%,1200,W,1.5,良好,优秀,优良,金属、非金属,中,中型,每年,中等,较便捷,9000,激光科普中心,https://www.lasercience.org,,
紫外激光器,355 nm,25%-35%,1500,W,1.1,优秀,优秀,良好,光纤、生物材料,中,中型,每年,中等,便捷,8000,中国激光行业协会,https://www.clia.org.cn,,
脉冲激光器,1064 nm,15%-25%,1000,W,2.0,良好,中等,优良,金属、塑料,高,中型,每年,较高,一般,7000,中国精密机械学会,https://www.cpmst.org,,
钕激光器,1064 nm,20%-30%,2500,W,1.8,优良,优秀,良好,金属、陶瓷,中,大型,每年,中等,比较便捷,12000,中国材料研究学会,https://www.chinamRS.org,,
蓝光激光器,445 nm,15%-25%,800,W,1.4,一般,良好,较差,生物材料、塑料,低,小型,每半年,低,非常便捷,5000,中国光电行业协会,https://www.optics.org.cn,,
超短脉冲激光器,800 nm,30%-40%,3000,W,<1.2,优秀,优秀,优良,生物材料、金属,高,中型,每年,较高,非常便捷,25000,中国科学院,https://www.cas.cn,,
固体激光器,532 nm,10%-20%,1200,W,2.0,一般,中等,良好,金属、玻璃,中,大型,每年,高,一般,9000,国家科学技术部,https://www.most.gov.cn,,
低温激光器,1064 nm,20%-30%,500,W,1.3,良好,优良,优良,金属材料、塑料,高,小型,每年,中等,较便捷,10000,中科院物理研究所,https://www.iphy.cas.cn,,
高功率激光器,10600 nm,25%-35%,5000,W,1.0,优秀,优秀,良好,金属切割、焊接,高,大型,每年,较低,比较便捷,15000,人民政府科技发展办公室,https://www.gov.cn,,
氦氖激光器,632.8 nm,5%-10%,20,W,>2.5,一般,较差,差,表面处理、打标,中,小型,每半年,中等,便捷,20000,中国电子学会,https://www.cie.org.cn,,
青光激光器,488 nm,25-35%,1500,W,1.0,优秀,良好,较好,金属、塑料、光学材料,中,中型,每年,中等,较便捷,12000,中国科学院光电技术研究所,https://www.ioe.cas.cn,,
超短脉冲激光器,1030 nm,20-28%,500,W,1.3,优良,优秀,优秀,金属、陶瓷、复合材料,高,小型,每年,高,便捷,15000,国际激光技术协会,https://www.laserinstitute.org,,
紫外激光器,355 nm,15-25%,800,W,1.4,良好,优良,优秀,塑料、薄膜、金属,低,中型,每年,较高,较便捷,18000,电子信息科学与技术部,https://www.mii.gov.cn,,
钕激光器,1064 nm,18-30%,2500,W,1.6,良好,中等,良好,金属、陶瓷,中,大型,每年,中等,较便捷,8000,中国激光器行业协会,https://www.clba.org.cn,,
双波长激光器,1064 nm / 532 nm,30-40%,2200,W,1.1,优秀,优良,优秀,金属、塑料、玻璃,高,中型,每半年,高,非常便捷,12000,中国材料研究会,https://www.cmrit.org,,
连续波激光器,940 nm,15-20%,1000,W,2.0,一般,较好,中等,金属、塑料,中,大型,每年,较高,便捷,7000,国家能源局,https://www.nea.gov.cn,,
高功率光纤激光器,1070 nm,25-35%,5000,W,<1.2,优良,优秀,优秀,金属、大厚度材料,高,中型,每年,中等,方便,25000,中国激光技术应用协会,https://www.clta.org.cn,,
极紫外激光器,13.5 nm,35-50%,3000,W,1.5,优秀,较差,较好,特殊金属、半导体材料,极高,大型,每年,高,复杂,15000,半导体制造国际组织,https://www.semi.org,,
环保型激光器,1050 nm,40-50%,1800,W,1.2,良好,优良,优秀,金属、再生材料,中,中型,每年,中等,便捷,20000,绿色激光技术研究院,https://www.greenlaser.org,,
紫外激光器,355 nm,25-35%,1500,W,1.1,优良,优秀,良好,金属、塑料、玻璃,中,中型,每年,较高,便捷,10000,中国激光产业协会,https://www.clia.org.cn,,
双波长激光器,808 nm，1064 nm,22-28%,2500,W,1.4,良好,优良,优秀,金属、复合材料,高,大型,每年,中等,较便捷,15000,全国机械工业联合会,https://www.cmif.org.cn,,
新型钛宝石激光器,700-1000 nm,35-45%,2000,W,1.6,优秀,中等,良好,金属、陶瓷、塑料,中,中型,每年,中等,便捷,8000,国家科技部,https://www.most.gov.cn,,
绿色激光器,532 nm,15-20%,600,W,1.9,一般,较差,良好,塑料、纸张、皮革,低,小型,每半年,较低,较便捷,5000,中国光学学会,https://www.cos.org.cn,,
钕激光器,1064 nm,18-25%,1800,W,1.3,良好,优良,优秀,金属、固体材料,高,大型,每年,较高,较便捷,12000,中国产业链研究中心,https://www.chinacic.com,,
激光二极管,780-850 nm,50-60%,100,W,>2.0,一般,较差,一般,打标、表面处理,中,小型,每季度,较高,非常便捷,40000,电气和电子工程师协会,https://www.ieee.org,,
固态激光器,1064 nm,25-30%,5000,W,1.1,优良,优秀,优良,金属、复合材料、塑料,高,大型,每年,中等,便捷,20000,中国科学院,https://www.cas.cn,,
二氧化碳激光器,10.6 µm,10-12%,4000,W,1.8,良好,优良,良好,金属、非金属,中,大型,每年,中等,便捷,7000,发改委,https://www.ndrc.gov.cn,,
光子晶体激光器,600 nm,30-50%,300,W,1.2,优良,优良,优秀,生物材料、金属,中,小型,每年,较低,非常便捷,10000,光电科学技术研究院,https://www.cst.com.cn,,
固态激光器,532 nm,25-35%,750,W,1.3,优良,优秀,良好,金属、塑料,高,中型,每年,较中等,较便捷,15000,中国光学学会,https://www.chineseoptics.org,,
紫外激光器,355 nm,15-25%,2000,W,1.1,优秀,中等,优秀,金属、陶瓷、复合材料,高,中型,每年,较高,非常便捷,12000,广州激光设备协会,https://www.gzlaser.org,,
超短脉冲激光器,800 nm,10-20%,500,W,<1.5,优良,优秀,优良,金属、塑料、薄膜,中,小型,每年,较低,非非常便捷,8000,国家科学技术部,https://www.most.gov.cn,,
绿光激光器,515 nm,20-30%,1500,W,1.6,良好,中等,优秀,金属、木材,中,大型,每六个月,较中等,便捷,6000,国际激光技术协会,https://www.laser.org,,
高功率光纤激光器,1070 nm,35-45%,5000,W,<1.4,优秀,优秀,优秀,金属,高,中型,每年,较低,非常便捷,30000,光电行业协会,https://www.optics.org,,
长波激光器,10600 nm,6-9%,2000,W,1.8,一般,中等,良好,非金属、塑料,低,大型,每年,中等,较便捷,6000,中国科学院激光物理研究所,https://www.ihp.ac.cn,,
便携式激光器,450 nm,10-15%,100,W,2.0,一般,差,中等,打标材料、表面处理,中,小型,每半年,较高,便捷,5000,中国市场监督管理局,https://www.samr.gov.cn,,
蓝色激光器,450 nm,15-25%,800,W,1.9,良好,优秀,较好,金属、陶瓷,高,中型,每年,中等,便捷,12000,电子行业发展研究院,https://www.electronics.org.cn,,
脉冲激光器,1064 nm,25-35%,1200,W,1.4,优良,优秀,良好,金属、塑料、木材,高,中型,每年,中等,较便捷,10000,中国机械工业联合会,https://www.cmif.org.cn,,
青光激光器,450 nm,25-35%,800,W,<1.2,优良,良好,良好,塑料、金属,中,中型,每年,中等,较便捷,10000,中国激光行业协会,https://www.clia.org.cn,,
固态激光器,532 nm,15-25%,1200,W,1.3,优良,中等,优秀,金属切割、机加工,高,大型,每年,较高,较便捷,8000,国际光学工程学会,https://www.spiedigitallibrary.org,,
脉冲激光器,1064 nm,25-30%,1500,W,1.1,优良,优秀,中等,金属、陶瓷,高,小型,每半年,较低,非常便捷,7000,先进制造技术研究院,https://www.amti.org.cn,,
蓝光激光器,445 nm,20-30%,700,W,1.5,良好,中等,优秀,塑料、金属,高,小型,每年,中等,较便捷,15000,中国科学院光电研究所,http://www.ioa.cas.cn,,
高功率光纤激光器,1050 nm,35-45%,5000,W,<1.1,优秀,优秀,优秀,金属、复合材料,高,中型,每年,中等,非常便捷,25000,现代制造技术与装备,https://www.modernmachinery.com,,
便携式激光器,650 nm,10-15%,300,W,>1.5,一般,较差,良好,表面处理、打标,中,小型,每半年,较高,便捷,6000,中国制造业协会,https://www.cmma.org.cn,,
深紫外激光器,266 nm,15-20%,500,W,<1.3,优良,良好,优良,塑料、陶瓷,中,中型,每年,较高,较便捷,8000,全球激光器技术研讨会,http://www.lasercouncil.org,,
超短脉冲激光器,790 nm,20-30%,4000,W,<1.1,优秀,优秀,优秀,金属、非金属,高,大型,每年,中等,非常便捷,15000,机器人与自动化系统国际会议,https://www.icra.org,,
纳米激光器,405 nm,15-20%,600,W,>1.5,一般,中等,较差,标记、印刷,中,小型,每半年,较高,便捷,5000,新型激光技术研究中心,http://www.novel-laser-tech.org,,
光纤激光器,1080 nm,35-45%,4000,W,<1.5,优秀,优良,优秀,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,25000,全球激光技术论坛,https://www.world-laser.com,,
固体激光器,532 nm,10-12%,1500,W,1.8,良好,中等,良好,金属、玻璃,中,大型,每年,高,便捷,8000,中国激光产业协会,https://www.clia.org.cn,,
紫外激光器,355 nm,19-25%,800,W,1.2,优良,优秀,优良,塑料、陶瓷、金属,中,小型,每半年,中等,非常便捷,12000,国家半导体激光产业技术创新战略联盟,https://www.fab.org.cn,,
CO2激光器,10.3 µm,9-11%,1200,W,1.6,优良,优秀,中等,非金属,低,大型,每年,中等,较便捷,6000,北京激光研究中心,http://www.bjlaser.org,,
半导体激光器,850-1060 nm,45-55%,700,W,>2.0,一般,较差,优秀,电子元件、打标,中,超小型,每年,中等,便捷,35000,国家工业信息技术中心,https://www.miit.gov.cn,,
YAG激光器,940 nm,22-32%,2500,W,1.3,优秀,优良,优秀,金属切割、焊接,高,大型,每年,较高,较便捷,12000,中国激光设备管理协会,https://www.cla.org.cn,,
可调激光器,700-1100 nm,15-20%,1000,W,1.5,良好,中等,良好,多种金属、塑料,中,中型,每半年,较高,一般,5000,中国激光学会,http://www.chinalaser.org.cn,,
NASA激光器,1064 nm,28-34%,3500,W,1.0,优良,优秀,非常优秀,高强度合金,高,中型,每年,中等,便利,20000,美国国家航空航天局,https://www.nasa.gov,,
太赫兹激光器,0.1-1 mm,5-7%,300,W,>2.0,一般,较差,较差,非金属、半导体,低,大型,每年,较高,较便捷,2000,国际激光技术研究中心,http://www.iltrc.org,,
紫外激光器,355 nm,25-35%,1500,W,1.0,优秀,优秀,良好,金属、塑料、陶瓷,高,中型,每年,中等,较便捷,10000,工业激光杂志,https://www.laserfocusworld.com,,
光纤激光器,1064 nm,25-35%,4000,W,<1.2,优良,优秀,优秀,金属切割、焊接、3D打印,高,小型,每年,中等,非常便捷,25000,全球激光协会,https://www.laser.org,,
CO2激光器,10.6 µm,10-12%,2000,W,1.5,良好,优良,良好,非金属切割、雕刻,低,大型,每年,中等,较便捷,7000,中国激光产业研究院,https://www.clia.org.cn,,
YAG激光器,1064 nm,18-28%,2500,W,1.2,优秀,良好,优秀,金属、合金,中,中型,每年,较高,较便捷,12000,中国科技部,https://www.most.gov.cn,,
半导体激光器,780-800 nm,45-55%,300,W,>1.7,一般,中等,良好,打标、表面处理,中,小型,每半年,中等,便捷,25000,中国半导体激光技术协会,https://www.slt.org.cn,,
超短脉冲激光器,1030 nm,20-30%,1000,W,1.1,优良,优秀,良好,电子元件、纳米材料,高,大型,每年,较高,较便捷,5000,中国纳米技术研究所,https://www.nanoscience.cn,,
钕激光器,1064 nm,18-30%,1500,W,1.5,良好,良好,优秀,金属、塑料,中,中型,每年,中等,较便捷,8000,中国激光技术研究院,https://www.laser.radiation.cn,,
光子晶体激光器,980 nm,30-40%,600,W,<1.4,优良,优良,良好,金属、聚合物,高,小型,每年,较低,非常便捷,15000,中国电子科技集团,https://www.cetc.gov.cn,,
光声激光器,1550 nm,10-20%,800,W,1.4,一般,中等,良好,医疗器械、薄膜,中,大型,每年,高,便捷,6000,中国生物医学工程学会,https://www.cmb.com.cn,,
紫外激光器,355 nm,25-35%,1500,W,1.0,优良,优秀,优良,塑料、金属、玻璃,中,中型,每年,较高,较便捷,7000,中国激光行业协会,https://www.clia.org.cn,,
超快激光器,800 nm,15-20%,1200,W,<1.1,优秀,良好,优秀,金属、陶瓷,中,中型,每年,中等,较便捷,8000,中科院光电技术研究所,https://www.ioe.ac.cn,,
青铜激光器,532 nm,30-40%,2500,W,1.3,良好,优秀,良好,金属切割、焊接,高,小型,每年,较低,非常便捷,9000,国际激光研究院,https://www.laser-research.org,,
高功率固态激光器,1064 nm,25-35%,5000,W,1.1,优良,优秀,优秀,金属、合金,高,大型,每半年,较高,便捷,12000,哈工大激光制造研究所,https://www.hust.edu.cn,,
直流激光器,616 nm,20-30%,800,W,1.5,一般,中等,良好,镀层金属、低熔点金属,中,小型,每年,中等,较便捷,6000,中华全国工艺美术大师协会,https://www.craft-arts.org.cn,,
数字激光器,940 nm,30-45%,1000,W,1.4,良好,优秀,优良,电子元件、光纤材料,中,中型,每年,较高,较便捷,10000,国家光电技术检测中心,https://www.nemc.com.cn,,
高频激光器,1064 nm,35-45%,3000,W,1.0,优秀,良好,良好,碳钢、不锈钢,高,大型,每半年,较高,便捷,9000,中国激光工业协会,https://www.clia.org.cn,,
高亮度激光器,515 nm,20-25%,4000,W,1.2,优良,优秀,优秀,铝、钛合金,高,中型,每年,中等,较便捷,15000,国家重大科技项目办公室,https://www.most.gov.cn,,
微波激光器,1230 nm,28-33%,2500,W,1.3,良好,中等,良好,特种金属、塑料,中,小型,每年,中等,便捷,8000,中国科学院物理研究所,https://www.iop.cas.cn,,
紫外激光器,355 nm,20%-25%,1500,W,1.0,优秀,优秀,良好,塑料、薄膜,中,中型,每年,较高,较便捷,8000,中国激光行业协会,https://www.clia.org.cn,,
氩激光器,488 nm,5%-7%,200,W,1.8,一般,较差,一般,光敏材料,低,小型,每六个月,较高,较便捷,5000,中国科学院,https://www.cas.cn,,
绿光激光器,532 nm,10%-15%,1000,W,1.2,优良,中等,优秀,生物材料、纸张,中,中型,每年,适中,便捷,6000,中国科技部,https://most.gov.cn,,
超快激光器,800 nm,25%-35%,500,W,<1.5,优秀,优良,优秀,金属、陶瓷,高,大型,每年,较高,便捷,10000,中国激光研究院,https://www.clri.cn,,
可调激光器,400-700 nm,15%-25%,750,W,1.3,良好,优良,良好,玻璃、金属,中,中型,每年,适中,便捷,12000,中华电力科技网,https://www.chinaelectricity.com,,
声光调制激光器,1064 nm,30%-40%,2500,W,<1.6,优良,较差,良好,金属、塑料,高,中型,每年,适中,便捷,15000,国际激光技术协会,https://www.ilta.org,,
长脉冲激光器,1064 nm,15%-20%,3500,W,2.0,一般,优良,良好,金属、塑料,中,大型,每两年,适中,稍便捷,14000,中国激光制造技术研究所,https://www.clmti.ac.cn,,
BBO激光器,400 nm,25%-30%,1200,W,1.1,优良,优秀,良好,光学材料、金属,高,中型,每年,较高,便捷,8000,中国信息产业部,https://www.miit.gov.cn,,
透明激光器,520 nm,15%-22%,1800,W,1.4,优秀,较优,一般,晶体、透明元件,低,小型,每两年,中等,便捷,5000,中国光电材料技术协会,https://www.opticalmaterials.org.cn,,
青绿激光器,532 nm,25-35%,1500,W,1.1,优良,良好,优秀,金属、木材、皮革,高,中型,每年,中等,较便捷,8000,国际激光技术研究协会,https://www.iltr.tech,,
紫外激光器,355 nm,20-28%,750,W,1.4,良好,优秀,优良,塑料、陶瓷、玻璃,低,小型,每年,较高,非常便捷,12000,科技部,https://www.most.gov.cn,,
光学频率梳激光器,1550 nm,10-15%,500,W,1.3,优良,一般,良好,高精度组件,中,中型,每半年,中等,较便捷,15000,前沿科技研究中心,https://www.frontiersci.org,,
连续波激光器,1064 nm,5-10%,2500,W,1.7,一般,中等,优秀,金属、塑料,高,大型,每年,较高,一般,10000,激光产业发展联盟,https://www.lia.org.cn,,
脉冲激光器,500 nm,30-50%,1200,W,1.2,优良,优秀,较好,陶瓷、玻璃,中,小型,每年,中等,非常便捷,16000,先进材料研究所,https://www.amri.cn,,
