品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,,,
361度,Quick Dry、Windproof,高,吸湿快干、防风、透气性好,跑步服、运动外套、运动裤,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,,,,,,,,,,,,
361度,高性能尼龙、涤纶,高,耐磨、轻便、多功能口袋,运动背包,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,,,,,,,,,,,,
361度,吸湿排汗面料,高,吸湿排汗、轻便、防晒,运动帽子,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,,,,,,,,,,,,
露露柠檬,Luon高弹性面料,高,吸汗性出色，柔软舒适,瑜伽裤、运动上衣,公司官网,https://www.staging.lululemon.cn/article-pinpaigushi_Fabric+Technology-95.html,2024-10-09,,,,,,,,,,,,
露露柠檬,Everlux、Nulux,高,吸湿排汗、快干、适合高强度运动,瑜伽裤、运动T恤、运动夹克,公司官网,https://www.lululemon.com/,2024-10-09,,,,,,,,,,,,
露露柠檬,尼龙、涤纶混纺,高,轻便、透气、时尚,运动背包,公司官网,https://www.lululemon.com/,2024-10-09,,,,,,,,,,,,
露露柠檬,Everlux,高,吸湿排汗、透气、防晒,运动帽子,公司官网,https://www.lululemon.com/,2024-10-09,,,,,,,,,,,,
亚瑟士,高性能面料,高,吸湿排汗、轻盈、弹性好,跑步鞋、综训鞋,公司官网,https://www.asics.com.cn/,2024-10-09,,,,,,,,,,,,
亚瑟士,MotionDry、DryFit,高,吸湿快干、透气性好、适合各种运动,跑步服、运动T恤、运动裤,公司官网,https://www.asics.com.cn/,2024-10-09,,,,,,,,,,,,
亚瑟士,透气网眼面料,高,吸湿排汗、轻便、防晒,运动帽子,公司官网,https://www.asics.com.cn/,2024-10-09,,,,,,,,,,,,
亚瑟士,透气网眼面料,高,吸湿排汗、轻便、减少摩擦,运动袜子,公司官网,https://www.asics.com.cn/,2024-10-09,,,,,,,,,,,,
On昂跑,CloudTec、Helion Superfoam,高,轻盈、高回弹性、能量回馈,跑步鞋,公司官网,https://www.on-running.cn/,2024-10-09,,,,,,,,,,,,
On昂跑,透气网眼面料,高,吸湿排汗、轻便、减少摩擦,运动袜子,公司官网,https://www.on-running.cn/,2024-10-09,,,,,,,,,,,,
