年月,地区,健身房人数,单位,健身工作室数量,单位,健身俱乐部数量,单位,健身渗透率,经常参加体育锻炼的人数,单位,人均体育场馆面积,单位,健身休闲产业规模,单位,马拉松参加人数,单位,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,
2023-12-01,湖北,324,万人,1963,个,1696,个,0.0223,978.94,万人,1.46,平方米,31.43,亿元,2.33,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,福建,316,万人,1912,个,1651,个,0.0221,952.85,万人,1.37,平方米,30.6,亿元,2.27,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,湖南,291,万人,1759,个,1518,个,0.0198,876.27,万人,1.44,平方米,28.14,亿元,2.09,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,上海,275,万人,1661,个,1435,个,0.019,828.56,万人,1.3,平方米,26.62,亿元,1.98,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,安徽,274,万人,1655,个,1430,个,0.019,825.24,万人,1.43,平方米,26.51,亿元,1.97,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,河北,256,万人,1548,个,1337,个,0.0176,772.29,万人,1.5,平方米,24.81,亿元,1.85,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,北京,255,万人,1542,个,1332,个,0.0176,768.98,万人,1.3,平方米,24.71,亿元,1.85,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,陕西,197,万人,1188,个,1026,个,0.013,592.32,万人,1.55,平方米,19.04,亿元,1.42,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,江西,187,万人,1129,个,975,个,0.0124,563.36,万人,1.39,平方米,18.11,亿元,1.35,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,重庆,175,万人,1056,个,912,个,0.0118,527,万人,1.32,平方米,16.94,亿元,1.26,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,辽宁,175,万人,1057,个,913,个,0.0118,527.61,万人,1.38,平方米,16.96,亿元,1.27,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,云南,174,万人,1049,个,906,个,0.0117,523,万人,1.57,平方米,16.82,亿元,1.26,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,广西,157,万人,948,个,819,个,0.0117,472.57,万人,1.53,平方米,15.19,亿元,1.13,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,山西,148,万人,895,个,773,个,0.0112,446.35,万人,1.48,平方米,14.34,亿元,1.06,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,内蒙古,143,万人,860,个,742,个,0.0106,428.69,万人,1.65,平方米,13.78,亿元,1.02,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,贵州,121,万人,728,个,628,个,0.0092,363.18,万人,1.51,平方米,11.67,亿元,0.86,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,新疆,110,万人,666,个,575,个,0.0084,332.09,万人,1.75,平方米,10.67,亿元,0.79,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,天津,97,万人,582,个,502,个,0.0074,290.4,万人,1.32,平方米,9.33,亿元,0.69,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,黑龙江,92,万人,552,个,476,个,0.0071,275.57,万人,1.62,平方米,8.85,亿元,0.65,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,吉林,78,万人,469,个,404,个,0.0061,234.33,万人,1.6,平方米,7.53,亿元,0.56,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,甘肃,68,万人,411,个,354,个,0.0054,205.03,万人,1.63,平方米,6.59,亿元,0.49,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,海南,43,万人,261,个,224,个,0.0035,130.34,万人,1.3,平方米,4.19,亿元,0.31,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,宁夏,30,万人,183,个,157,个,0.0025,91.57,万人,1.52,平方米,2.95,亿元,0.22,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,青海,22,万人,130,个,112,个,0.0018,65.46,万人,1.7,平方米,2.11,亿元,0.16,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
2023-12-01,西藏,14,万人,82,个,70,个,0.0012,41.21,万人,1.8,平方米,1.33,亿元,0.1,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,,,,,,,
