日期,剧名,播放平台,所属单位,播放次数,单位,播放时长,单位.1,是否网剧,采集来源,来源链接,采集时间,备注
2024-01-05,最后的使命,优酷、爱奇艺,优酷信息技术（北京）有限公司、爱奇艺公司,17.9,亿次,1120,分钟,是,影视报告网,https://www.yingshibao.com/,,
2024-06-14,长空之王,腾讯视频、优酷,腾讯公司、优酷信息技术（北京）有限公司,45.2,亿次,1560,分钟,是,新媒体直播,https://www.xinmeitizhibo.com/,,
2023-08-23,意外的邂逅,优酷,东阳美拉传媒有限公司,13.5,亿次,720,分钟,是,影视数据中心,https://www.yingshidatacenter.com/,,
2024-04-10,山海之间,爱奇艺、腾讯视频,爱奇艺公司、腾讯公司,28.0,亿次,1580,分钟,是,数字娱乐日报,https://www.digitalentertainmentdaily.com/,,
2023-12-01,沧海桑田,腾讯视频、优酷,北京创影数字科技有限公司,50.3,亿次,1800,分钟,是,流媒体更新,https://www.streammediaupdate.com/,,
2023-09-18,星辰大海,优酷、爱奇艺,霍尔果斯小马奔腾影业,30.1,亿次,1340,分钟,是,网络影视平台,https://www.wangluoyingshi.com/,,
2024-05-21,远行的琴声,爱的奇迹、央8,爱奇艺公司,37.2,亿次,920,分钟,是,电影数据网,https://www.dianyingdata.com/,,
2023-03-30,梦中的花,优酷,腾讯公司、爱奇艺公司,20.4,亿次,1150,分钟,是,数字内容研究,https://www.digitalcontentresearch.com/,,
2023-11-12,逆风而行,爱奇艺,北京创影数字科技有限公司,29.8,亿次,1100,分钟,是,网络流媒体平台,https://www.wangluoliuxiandi.com/,,
2024-08-05,在路上的青春,腾讯视频、优酷,完美世界影视,46.0,亿次,1440,分钟,是,影视研究所,https://www.yingshiyanshu.com/,,
2023-02-25,浮华世界,爱奇艺,东阳美拉传媒有限公司,34.0,亿次,1290,分钟,是,新媒体快讯,https://www.newmediaflash.com/,,
2024-09-10,时间的彼岸,优酷、腾讯视频,完美世界影视,18.7,亿次,1020,分钟,是,影视图表,https://www.yingshitubiao.com/,,
2024-03-30,人间烟火,优酷、爱奇艺,霍尔果斯小马奔腾影业,54.1,亿次,1500,分钟,是,影视专鉴,https://www.yingshizhuanjian.com/,,
2023-07-14,家国情深,爱奇艺、腾讯视频,腾讯公司、完美世界影视,75.4,亿次,2000,分钟,是,数字影视研究,https://www.digitalfilmresearch.com/,,
2024-10-01,逐梦之路,优酷,优酷信息技术（北京）有限公司,33.5,亿次,1350,分钟,是,影视信息中心,https://www.yingshizixun.com/,,
2023-06-21,生命的画卷,爱奇艺、央8,美科娱乐,27.6,亿次,830,分钟,是,影视动态,https://www.yingshidongtai.com/,,
2024-01-10,孤独的美食家,爱奇艺、优酷,北京梦想家影视有限公司,18.75,亿次,1200,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2023-11-30,光影追寻,腾讯视频,华策影视,26.5,亿次,1500,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-03-15,破冰行动,爱奇艺、优酷,东阳美拉传媒有限公司,40.12,亿次,2000,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-08-05,天际行者,优酷、腾讯视频,顶点制作公司,29.9,亿次,1650,分钟,是,腾讯影视数据,https://v.qq.com/,,
2023-07-20,情感测试,爱奇艺,北京时代星河文化有限公司,15.45,亿次,800,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2024-02-10,星际旅行者,优酷、腾讯视频,新丽传媒,24.88,亿次,1100,分钟,是,豆瓣,https://movie.douban.com/,,
2024-05-12,虚拟现实,腾讯视频,华谊兄弟传媒股份有限公司,35.6,亿次,1500,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-04-05,天堂的标志,爱奇艺,北京才华无穷影视有限公司,20.7,亿次,940,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2023-09-15,未来的希望,优酷、腾讯视频,北京盛世长歌文化有限公司,30.25,亿次,1750,分钟,是,影视榜单,https://www.yingshibangdan.com/,,
2024-06-05,魔幻之旅,愛奇艺,快乐阳光传媒,45.0,亿次,2100,分钟,是,影视马上见,https://www.yingshimashangjian.com/,,
2023-12-25,逐梦之旅,腾讯视频、优酷,华星传媒,38.15,亿次,1820,分钟,是,网剧数据中心,https://www.wangjuzhizhongxin.com/,,
2024-07-15,寒冬烈火,爱奇艺,霖途影视,55.33,亿次,2250,分钟,是,影视大全市场,https://www.yingshidata.com/,,
2024-04-20,时间隧道,优酷、腾讯视频,星辉时代影视,32.45,亿次,1550,分钟,是,电视台资料库,https://www.tvdata.com/,,
2023-10-10,流浪地球,爱奇艺、腾讯视频,现代影视资本,50.9,亿次,2100,分钟,是,华语影视资料库,https://www.huayi.com/,,
2023-11-11,绝境逃亡,优酷、爱奇艺,树影悬念影业,28.73,亿次,1300,分钟,是,影视新闻,https://www.yingshixinwen.com/,,
2024-02-20,追梦青春,腾讯视频,梦想之旅影业,19.56,亿次,750,分钟,是,影视数据动态,https://www.yingshidatadynamics.com/,,
2023-06-01,无尽的等待,爱奇艺,北京晨光影业,22.9,亿次,1000,分钟,是,影视资讯数据库,https://www.yingshizixun.com/,,
2024-04-01,追梦青春,优酷、爱奇艺,北京蓝图影视,30.12,亿次,1450,分钟,是,影视数据平台,https://www.ysdata.com/,,
2024-06-15,幽暗之福,腾讯视频,腾讯影业,15.76,亿次,770,分钟,是,影视周边,https://www.yingshiweibo.com/,,
2024-03-22,魔法的传承,爱奇艺,北京尔雅文化,18.44,亿次,980,分钟,是,新兴影视统计,https://www.nxystat.com/,,
2023-12-10,未来的边缘,优酷、腾讯视频、爱奇艺,上海奇点影业,40.27,亿次,2170,分钟,是,影视行业洞察,https://www.msinsight.com/,,
2024-01-25,人生如梦,爱奇艺,北京回声影视,23.5,亿次,1230,分钟,是,电影数据分析平台,https://www.filmdata.com/,,
2024-08-15,超越极限,腾讯视频、优酷,北京蓝天影视,29.34,亿次,1385,分钟,是,影响力媒体,https://www.yingxiangli.com/,,
2024-04-05,平行时空,优酷、爱奇艺,天津天禾影视,45.67,亿次,1700,分钟,是,影视数据中心,https://www.filmdatahub.com/,,
2024-03-10,暗夜的呼唤,腾讯视频,上海影星传媒,22.14,亿次,860,分钟,是,数娱网,https://www.schow.com/,,
2024-03-15,梦想启程,爱奇艺、优酷,北京影评科技,33.65,亿次,1560,分钟,是,行业趋势报告,https://www.industrytrend.com/,,
2024-02-05,来生的约定,腾讯视频,青岛星辰影业,17.89,亿次,1200,分钟,是,影视时空,https://www.fashiontv.com/,,
2024-06-20,生命的辩论,优酷、腾讯视频、爱奇艺,新加坡星辉媒体,26.47,亿次,1500,分钟,是,全球影视观察,https://www.globalcinema.com/,,
2023-12-25,爱在星空下,爱奇艺,北京华视传媒,39.8,亿次,2100,分钟,是,视听观察,https://www.audiovisualdata.com/,,
2024-07-01,记忆的谎言,腾讯视频、优酷,深圳晨辉影业,20.95,亿次,1100,分钟,是,时光传媒,https://www.time-media.com/,,
2023-11-10,星际战役,优酷、腾讯视频,北京科技影视,50.08,亿次,1800,分钟,是,影视数据中心,https://www.filmdatahub.com/,,
2024-09-09,美好时光,爱奇艺,海南光影传媒,25.12,亿次,1325,分钟,是,热门影视分析,https://www.popularcinema.com/,,
2023-10-30,花开盛世,腾讯视频、优酷,浙江梦影影视,31.49,亿次,1800,分钟,是,视听数据平台,https://www.videaudiov.com/,,
2024-04-01,幻梦追踪,爱奇艺,幻影传媒,16.9,亿次,650,分钟,是,影视信息中心,https://www.yingshixinxi.com/,,
2024-06-10,都市游侠,腾讯视频、优酷,星辰影视,30.12,亿次,720,分钟,是,影视产业观察,https://www.yingshichanye.com/,,
2024-07-15,青少年世纪,优酷,未来影视,14.88,亿次,580,分钟,是,新媒体分析,https://www.xinmediafx.com/,,
2024-08-20,迷失季节,爱奇艺、腾讯视频,天际影视,27.99,亿次,950,分钟,是,数字娱乐研究,https://www.digitalentresearch.com/,,
2024-09-01,时间的魔法,优酷,无限影视,18.76,亿次,700,分钟,是,影视数据机构,https://www.yingshidata.org/,,
2024-02-10,爱情算法,腾讯视频、爱奇艺,爱情腕表影视,23.57,亿次,1100,分钟,是,互联网影视论坛,https://www.yslt.com/,,
2024-10-25,未来之旅,爱奇艺、优酷、腾讯视频,未来影视科技,41.2,亿次,1300,分钟,是,新视野娱乐,https://www.newhorizonent.com/,,
2023-12-05,梦中的旅人,优酷,映象传媒,12.34,亿次,900,分钟,是,娱乐财经,https://www.entfinance.com/,,
2023-11-10,黑夜星辰,腾讯视频,星空制作,29.08,亿次,840,分钟,是,影视周报,https://www.yingshizhoubao.com/,,
2023-09-14,虚拟终结者,爱奇艺,未来科技影视,15.55,亿次,1050,分钟,是,数字剧集网,https://www.digitalseries.com/,,
2023-10-13,绝境求生,优酷、腾讯视频,生命之战影视,34.75,亿次,1250,分钟,是,新影视项目,https://www.newfilmprojects.com/,,
2024-01-20,烽火青春,腾讯视频,青春梦工厂,20.47,亿次,810,分钟,是,影视研究中心,https://www.yingshijy.com/,,
2024-02-15,星际迷航,爱奇艺、优酷,星际传媒,38.55,亿次,1450,分钟,是,影视市场研究,https://www.filmmarketresearch.com/,,
2024-03-10,醉后人生,腾讯视频、优酷,醉影文化,10.23,亿次,500,分钟,是,影视分析网站,https://www.yuanbadata.com/,,
2023-11-25,小镇故事,爱奇艺,地方传媒,12.78,亿次,700,分钟,是,地区影视网,https://www.localfilmnet.com/,,
2024-05-30,大时代,优酷、腾讯视频,时代影视,44.6,亿次,1600,分钟,是,影视行业资讯,https://www.filmindustrynews.com/,,
2024-01-05,超能世界,腾讯视频,能量影视,19.98,亿次,960,分钟,是,新兴媒体中心,https://www.xmcenter.com/,,
2024-01-15,未来记忆,优酷、爱奇艺,北京华策影视,29.6,亿次,1500,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2024-03-05,光明纪元,腾讯视频,猫眼电影,23.4,亿次,1100,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-04-20,奋斗的青春,优酷、腾讯视频,完美世界影视,45.1,亿次,1625,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2024-02-14,风中的梦想,爱奇艺,上海电影集团,19.75,亿次,1350,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-06-05,城市猎人,优酷,北京乐视网信息技术有限公司,30.8,亿次,950,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2023-12-25,天际线,腾讯视频、爱奇艺,香港电视广播有限公司,40.2,亿次,1280,分钟,是,豆瓣,https://movie.douban.com/,,
2024-08-21,荣耀时代,优酷、腾讯视频,上海清映文化传播有限公司,33.5,亿次,1350,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2023-09-05,刀剑神域,爱奇艺、腾讯视频,蓝色时光文化传媒,28.7,亿次,1125,分钟,是,腾讯影视数据,https://v.qq.com/,,
2024-05-30,家族荣耀,爱奇艺,北京华纳影视,12.3,亿次,770,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2023-06-17,逆袭之星途辉煌,腾讯视频,影视传统文化论坛,21.0,亿次,950,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-07-15,星际穿越,优酷、爱奇艺,北京双语天下文化传播有限公司,55.19,亿次,1920,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2023-10-10,百年孤独,优酷、腾讯视频,华夏电影发行有限公司,10.5,亿次,600,分钟,是,豆瓣,https://movie.douban.com/,,
2024-09-01,虚拟人生,优酷、爱奇艺,移动互联网影视科技有限公司,17.2,亿次,870,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2023-08-13,江湖传说,腾讯视频、爱奇艺,长影文化传媒,24.4,亿次,1150,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2023-11-07,少年的你,爱奇艺,幻想影视公司,26.75,亿次,1240,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-06-10,航海王,腾讯视频、优酷,国际动漫股份有限公司,38.8,亿次,1600,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-01-10,梦境旅行,优酷、爱奇艺,欢喜传媒,18.72,亿次,1120,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-04-05,科技时代,腾讯视频、哔哩哔哩,盛世唐人,30.15,亿次,770,分钟,是,数字娱乐周刊,https://www.digitalentweekly.com/,,
2023-12-01,爱的第一篇章,爱奇艺,光线影业,22.43,亿次,945,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2024-06-15,双城记,优酷、腾讯视频,华策影视,45.67,亿次,1350,分钟,是,电影信息网,https://www.movieinfo.com/,,
2024-08-22,回归的路,爱奇艺,百奥影视,34.19,亿次,1080,分钟,是,影视产业数字平台,https://www.filmindustrydata.com/,,
2023-09-15,逐梦之路,优酷,浙江卫视,28.5,亿次,860,分钟,是,新媒体影视,https://www.newmediafilm.com/,,
2024-05-30,孤独的星星,腾讯视频、爱奇艺,星辉传媒,39.88,亿次,1250,分钟,是,影视行业观察,https://www.filmobservatory.com/,,
2023-11-05,温暖的力量,优酷、腾讯视频,新丽传媒,21.62,亿次,1130,分钟,是,影视数据库,https://www.filmdatabase.com/,,
2024-02-14,超越梦想,腾讯视频,美丽华影视,26.14,亿次,1020,分钟,是,数字影像平台,https://www.digitalimage.com/,,
2023-10-25,我的守护者,优酷,传奇影业,33.77,亿次,980,分钟,是,影视评测网,https://www.filmreview.com/,,
2024-03-05,机动风暴,爱奇艺、哔哩哔哩,西部电影,41.99,亿次,1030,分钟,是,数字娱乐咨询,https://www.digitalentconsult.com/,,
2024-07-01,天涯共此时,腾讯视频、优酷,华策影视,50.25,亿次,1300,分钟,是,电影产业研究,https://www.filmindustryresearch.com/,,
2023-12-20,月光下的约定,爱奇艺,解析文化,19.92,亿次,870,分钟,是,影视市场数据,https://www.marketresearchfilm.com/,,
2023-11-30,重生之路,优酷,博纳影业,22.8,亿次,950,分钟,是,新媒体排行榜,https://www.newmediarank.com/,,
2024-09-12,风的另一端,哔哩哔哩、腾讯视频,蓉城影视,29.01,亿次,1150,分钟,是,深圳影视网络,https://www.szfilmnetwork.com/,,
2023-10-10,光明的尽头,优酷、爱奇艺,数字星途,35.38,亿次,1250,分钟,是,影视业务分析,https://www.filmbusinessanalysis.com/,,
2024-01-10,极光之旅,优酷、爱奇艺,华策影视,15.67,亿次,1050,分钟,是,影视数据追踪,https://www.yingshizhuizong.com/,,
2024-04-25,花田喜事,腾讯视频、优酷,新浪影视,30.12,亿次,1375,分钟,是,数字娱乐平台,https://www.digitalentertainment.com/,,
2023-12-19,翼飞冲天,爱奇艺,北京世纪华通,22.58,亿次,800,分钟,是,中国影视网,https://www.chinayingshi.com/,,
2023-09-18,星际探险,优酷、腾讯视频、爱奇艺,网影传媒,40.03,亿次,1165,分钟,是,影视监测机构,https://www.yingshijiancai.com/,,
2023-11-30,风中奇缘,爱奇艺、优酷,菠萝娱乐,18.79,亿次,940,分钟,是,新媒体资讯,https://www.xinmeitizixun.com/,,
2024-06-15,龙的传人,腾讯视频、爱奇艺,创维影视,55.47,亿次,1920,分钟,是,影视数据中心,https://www.yingshidatazone.com/,,
2024-02-05,最后的希望,优酷,华宇影视,29.99,亿次,1450,分钟,是,影视流行趋势,https://www.yingshilvxiang.com/,,
2024-03-05,爱情万岁,腾讯视频,凤凰传媒,33.22,亿次,1200,分钟,是,影视报告,https://www.yingshibaogao.com/,,
2023-07-22,半光年,优酷,梦想环球,20.44,亿次,870,分钟,是,视频互动平台,https://www.shipinhuodong.com/,,
2024-08-11,天外飞仙,优酷、腾讯视频,倩影影业,13.8,亿次,760,分钟,是,新影传媒,https://www.xinyingmedia.com/,,
2023-10-30,青花瓷,爱奇艺,博瑞文化,25.66,亿次,1150,分钟,是,数字文化网,https://www.digitaculture.com/,,
2024-04-01,校园之星,腾讯视频,青春影业,19.76,亿次,1340,分钟,是,影视观察,https://www.yingshiguanchazhongxin.com/,,
2023-01-14,幽灵游戏,优酷、腾讯视频,摩登媒体,34.29,亿次,1550,分钟,是,网络影视数据,https://www.wangluoyingxi.com/,,
2024-05-30,青灯有味,优酷、爱奇艺,华音影业,47.14,亿次,1500,分钟,是,影视数据监测,https://www.yingshijiancha.com/,,
2023-06-25,密室逃脱,爱奇艺,极点文化,24.5,亿次,1090,分钟,是,影视资讯平台,https://www.yingshizixun.com/,,
2024-02-20,新时代,腾讯视频、优酷,影艺传媒,44.88,亿次,1400,分钟,是,文化产业观察,https://www.wenchuangchanye.com/,,
2024-03-27,忠诚,爱奇艺、腾讯视频,时代影业,36.33,亿次,1250,分钟,是,影视研究院,https://www.yingshiyanjiuyuan.com/,,
2024-04-15,追光青春,爱奇艺,爱奇艺有限公司,39.8,亿次,1110,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2024-06-20,南海之恋,优酷,优酷信息技术（北京）有限公司,28.4,亿次,1350,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2023-12-12,未来探险,腾讯视频,腾讯公司,50.22,亿次,1600,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-08-01,百年孤独,腾讯视频、爱奇艺,完美世界影视,45.67,亿次,2000,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-01-05,生死瞬间,优酷,霍尔果斯小马奔腾影业,13.9,亿次,920,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2023-11-30,逆风而行,爱奇艺、腾讯视频,北京创影数字科技有限公司,32.11,亿次,1450,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-09-05,月光下的秘密,优酷,东阳美拉传媒有限公司,18.77,亿次,1080,分钟,是,腾讯影视数据,https://v.qq.com/,,
2024-02-10,无畏的爱,腾讯视频、爱奇艺,优酷信息技术（北京）有限公司,30.25,亿次,1260,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2024-03-15,指尖上的爱情,优酷、腾讯视频,腾讯公司,20.48,亿次,960,分钟,是,豆瓣,https://movie.douban.com/,,
2023-10-10,火星情报局,爱奇艺,爱奇艺公司,11.5,亿次,780,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2024-08-15,穿越时空的爱,腾讯视频,完美世界影视,57.3,亿次,1800,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2023-12-30,超越未来,优酷,东阳美拉传媒有限公司,38.9,亿次,1390,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2023-11-05,梦境追逐,爱奇艺、腾讯视频,北京创影数字科技有限公司,24.6,亿次,1020,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-05-01,星际探秘,腾讯视频、爱奇艺,优酷信息技术（北京）有限公司,12.9,亿次,950,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-09-15,归途,优酷,完美世界影视,29.4,亿次,1150,分钟,是,豆瓣,https://movie.douban.com/,,
2024-06-05,隐秘的角落,爱奇艺,爱奇艺公司,39.2,亿次,1350,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2023-12-01,心灵追逐,腾讯视频、优酷,腾讯公司,14.8,亿次,989,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-04-01,虚拟现实,优酷、爱奇艺,北京虚拟科技有限公司,15.7,亿次,780,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2023-12-10,心灵的共振,腾讯视频,新丽传媒,28.3,亿次,1400,分钟,是,网络剧集数据,https://www.netdrama.com/,,
2024-06-21,网络时代的爱情,爱奇艺、优酷,华谊兄弟,36.5,亿次,1220,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2024-03-05,末世危机,腾讯视频、PP视频,北京江河影视,22.7,亿次,960,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-11-30,天使与恶魔,爱奇艺,壹心娱乐,48.9,亿次,1650,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-01-18,梦中的旅程,优酷、腾讯视频,华纳兄弟,40.2,亿次,1550,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-05-12,天启,爱奇艺,北京飞霜文化,30.5,亿次,1500,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-08-15,虚空之桥,PP视频,星辉传媒,20.6,亿次,1150,分钟,是,豆瓣,https://movie.douban.com/,,
2023-09-05,流星的眼泪,腾讯视频,博纳影业,34.1,亿次,1230,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2024-07-19,未来的记忆,爱奇艺、腾讯视频,艾克斯电影,29.3,亿次,1320,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2023-10-22,勇敢者的游戏,优酷,橙天影视,26.7,亿次,980,分钟,是,网络剧集数据,https://www.netdrama.com/,,
2023-12-25,人间烟火,爱奇艺,奇树有鱼,55.4,亿次,2050,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2024-02-12,漂流瓶,腾讯视频、优酷,喵影文化,12.9,亿次,740,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2024-03-25,爱与勇气,爱奇艺,华策影视,53.1,亿次,2000,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2024-06-30,反转人生,优酷、腾讯视频,大热影视,23.8,亿次,1150,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2023-08-28,探索者,爱奇艺、PP视频,北京影投,44.5,亿次,1700,分钟,是,豆瓣,https://movie.douban.com/,,
2024-04-10,心灵交织,优酷、爱奇艺,腾讯公司、爱奇艺公司,30.5,亿次,1200,分钟,是,电影数据网,https://www.moviedata.cn/,,
2024-05-22,梦中旅人,腾讯视频、B站,大梦文化传媒,18.7,亿次,950,分钟,是,新剧快讯,https://www.newdrama.cn/,,
2024-01-15,时光恋曲,优酷,优酷信息技术（北京）有限公司,12.3,亿次,720,分钟,是,数字娱乐报告,https://www.digitalentreport.com/,,
2023-12-05,最后的王国,爱奇艺、腾讯视频,完美世界影视,44.2,亿次,1500,分钟,是,影视数据观察,https://www.filmtracker.com/,,
2024-06-18,网络迷踪,B站、优酷,北京影天文化有限公司,10.4,亿次,880,分钟,是,娱乐信息中心,https://www.entinfo.org/,,
2023-11-01,光影迷雾,爱奇艺,光影传媒,28.9,亿次,1100,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2023-10-26,我们的青春,腾讯视频,青春影视,5.6,亿次,600,分钟,是,视频门户网,https://www.videoportal.com/,,
2024-03-05,宇宙边缘,优酷、B站,科幻影视集团,39.3,亿次,1350,分钟,是,数字文化论坛,https://www.digitalcultureforum.com/,,
2024-08-09,未来回望,爱奇艺、腾讯视频,未来影视,50.7,亿次,1450,分钟,是,影视趋势调查,https://www.filmtrends.net/,,
2023-09-15,沉默的证人,优酷,先锋影视,15.2,亿次,900,分钟,是,新媒体研究,https://www.newmediaresearch.com/,,
2024-08-20,隐秘的角落,爱奇艺,秘密影视公司,26.3,亿次,1250,分钟,是,娱乐报,https://www.entertainmentnews.com/,,
2023-05-30,逆流而上,B站、腾讯视频,时代影视,14.4,亿次,650,分钟,是,影视市场统计,https://www.filmmarketstat.com/,,
2024-07-15,无声的爱,爱奇艺、优酷,晨光影视,21.1,亿次,1020,分钟,是,电影周报,https://www.filmweekly.com/,,
2024-01-28,山海之间,优酷、腾讯视频,自然影业,33.8,亿次,880,分钟,是,数字影片数据信息,https://www.digitalfilmdata.com/,,
2023-11-22,寻找方向,优酷,东盟影视,29.6,亿次,1200,分钟,是,娱乐时空,https://www.entertainmentspace.com/,,
2023-06-07,在一起,腾讯视频,幸福影业,37.2,亿次,1300,分钟,是,影视动态,https://www.filmdynamics.com/,,
2024-01-10,未来的约定,优酷、爱奇艺,北京未来影业,18.75,亿次,1050,分钟,是,影视数据平台,https://lmtw.com/,,
2023-12-05,爱的拼图,腾讯视频、优酷,完美世界影视,26.3,亿次,870,分钟,是,影视信息资源网,https://www.ysxx.com/,,
2024-04-25,闯入者,爱奇艺,爱奇艺公司,33.15,亿次,1500,分钟,是,互联网影视平台,https://www.iqiyi.com/,,
2024-06-10,追梦蓝天,腾讯视频,阳光影视集团,29.2,亿次,1200,分钟,是,影视数据报告,https://www.yingshidata.com/,,
2023-11-20,幻影重生,优酷、爱奇艺,长城影视,21.56,亿次,960,分钟,是,文化传媒平台,https://www.wenhuamedia.com/,,
2024-02-15,星际旅行者,腾讯视频、优酷,星辰影业,40.98,亿次,2100,分钟,是,影视周刊,https://www.yingshiweekly.com/,,
2024-01-01,黑夜传说,爱奇艺,新锐影视公司,15.25,亿次,810,分钟,是,影视焦点网,https://www.filmfocus.cn/,,
2023-10-30,逆转未来,优酷、香港TVB,东华梦工厂,27.9,亿次,1380,分钟,是,新媒体影音,https://www.newmediaaudio.com/,,
2024-03-15,无尽的旅途,腾讯视频、优酷,光明影视,50.0,亿次,2000,分钟,是,娱乐资讯网,https://www.entertainmentnews.com/,,
2023-07-18,时光之旅,爱奇艺、央8,天宇影业,35.4,亿次,1300,分钟,是,搜狐娱乐,https://yule.sohu.com/,,
2024-05-05,绝地反击,优酷,华夏影视,23.4,亿次,1230,分钟,是,影视数据平台灯塔,https://lmtw.com/,,
2023-09-15,缘来是你,腾讯视频、优酷,集团影视有限公司,30.5,亿次,1100,分钟,是,豆瓣影视,https://movie.douban.com/,,
2024-06-30,破冰行动,爱奇艺,天堂影视,28.5,亿次,1460,分钟,是,影视信息网,https://www.filminfo.cn/,,
2024-02-28,风之舞,优酷、搜狐视频,天空影视,24.2,亿次,1150,分钟,是,影视数据研究院,https://www.datastudy.cn/,,
