年份,省份,网络新闻,单位,网络音乐,单位.1,网络文学,单位.2,网络游戏,单位.3,网络视频,单位.4,网络直播,单位.5,短视频,单位.6,采集来源,来源链接,采集时间,备注
2022,辽宁,0.1614,亿人,0.1452,亿人,0.1096,亿人,0.1388,亿人,0.1867,亿人,0.1123,亿人,0.1564,亿人,奇虎360,https://www.360.cn/,,
2023,北京,0.2903,亿人,0.2801,亿人,0.1659,亿人,0.2395,亿人,0.3552,亿人,0.1806,亿人,0.2993,亿人,中青网,http://www.cyol.com/,,
2021,江苏,0.2021,亿人,0.1754,亿人,0.1308,亿人,0.1535,亿人,0.2346,亿人,0.0954,亿人,0.1976,亿人,红星新闻,https://www.redstarnews.com/,,
2023,山东,0.1452,亿人,0.1256,亿人,0.0923,亿人,0.1174,亿人,0.1758,亿人,0.0724,亿人,0.1826,亿人,艾瑞咨询,https://www.iresearch.com.cn/,,
2023,江苏,0.1573,亿人,0.1378,亿人,0.1041,亿人,0.1256,亿人,0.1897,亿人,0.0934,亿人,0.2058,亿人,QuestMobile,https://www.qm.com/,,
2022,四川,0.1824,亿人,0.1612,亿人,0.1234,亿人,0.1382,亿人,0.2023,亿人,0.0885,亿人,0.1998,亿人,数字经济研究中心,https://www.digital-economy.cn/,,
2022,浙江,0.2356,亿人,0.2154,亿人,0.1623,亿人,0.2001,亿人,0.3204,亿人,0.1994,亿人,0.3097,亿人,腾讯研究院,https://www.tencent.com/,,
2023,广东,0.1958,亿人,0.1774,亿人,0.1338,亿人,0.1593,亿人,0.2456,亿人,0.1112,亿人,0.2186,亿人,网易研究院,https://www.163.com/,,
2021,福建,0.1294,亿人,0.1134,亿人,0.0867,亿人,0.1024,亿人,0.1581,亿人,0.0532,亿人,0.1426,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2021,内蒙古,0.0751,亿人,0.0694,亿人,0.0541,亿人,0.0651,亿人,0.0936,亿人,0.0285,亿人,0.0712,亿人,艾瑞咨询,https://www.iresearch.com.cn/,,
2022,天津,0.1789,亿人,0.1628,亿人,0.1224,亿人,0.145,亿人,0.2105,亿人,0.0938,亿人,0.1962,亿人,数字中国建设峰会,https://www.digichina.org/,,
2023,湖北,0.2684,亿人,0.2516,亿人,0.1896,亿人,0.2304,亿人,0.4129,亿人,0.2396,亿人,0.3751,亿人,百度研究院,https://research.baidu.com/,,
2022,重庆,0.1472,亿人,0.1229,亿人,0.0953,亿人,0.1114,亿人,0.1574,亿人,0.0652,亿人,0.1289,亿人,中国数字娱乐产业研究院,https://www.cdipc.org/,,
2021,海南,0.0456,亿人,0.0409,亿人,0.0303,亿人,0.0377,亿人,0.0551,亿人,0.0196,亿人,0.0487,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2021,西藏,0.0124,亿人,0.0117,亿人,0.0085,亿人,0.0092,亿人,0.0133,亿人,0.0043,亿人,0.0101,亿人,国家统计局,http://www.stats.gov.cn/,,
2022,广西,0.0956,亿人,0.0864,亿人,0.0595,亿人,0.0684,亿人,0.1023,亿人,0.0385,亿人,0.0937,亿人,南宁日报,https://www.nndaily.com/,,
2023,上海,0.3106,亿人,0.2654,亿人,0.1975,亿人,0.2907,亿人,0.4556,亿人,0.2855,亿人,0.4152,亿人,行业分析报告,http://www.industryreport.com/,,
2023,北京,0.3001,亿人,0.2503,亿人,0.1988,亿人,0.2756,亿人,0.4654,亿人,0.2841,亿人,0.4124,亿人,国家网络信息中心,http://www.cnnic.net.cn/,,
2023,浙江,0.1256,亿人,0.1402,亿人,0.0925,亿人,0.1208,亿人,0.1723,亿人,0.0653,亿人,0.1932,亿人,China Internet Network Information Center,https://www.cnnic.net.cn/,,
2022,福建,0.0978,亿人,0.0845,亿人,0.0642,亿人,0.0778,亿人,0.1349,亿人,0.0354,亿人,0.1018,亿人,Statista,https://www.statista.com/,,
2023,山东,0.1434,亿人,0.1216,亿人,0.092,亿人,0.1359,亿人,0.1874,亿人,0.0711,亿人,0.1753,亿人,IResearch,https://www.iresearch.com.cn/,,
2021,河南,0.2071,亿人,0.1852,亿人,0.1438,亿人,0.1645,亿人,0.2143,亿人,0.0864,亿人,0.1991,亿人,China Mobile,https://www.chinamobileltd.com/,,
2023,广西,0.1122,亿人,0.108,亿人,0.078,亿人,0.0899,亿人,0.1605,亿人,0.0415,亿人,0.1421,亿人,Tencent Research,https://www.tencent.com/,,
2022,四川,0.1285,亿人,0.1157,亿人,0.0859,亿人,0.0923,亿人,0.1428,亿人,0.0548,亿人,0.155,亿人,QuestMobile,https://www.questmobile.com/,,
2021,陕西,0.1681,亿人,0.1511,亿人,0.1054,亿人,0.1292,亿人,0.1879,亿人,0.0738,亿人,0.1632,亿人,China Internet Watch,https://www.chinainternetwatch.com/,,
2020,重庆,0.1949,亿人,0.1776,亿人,0.1035,亿人,0.1426,亿人,0.2023,亿人,0.0987,亿人,0.1674,亿人,Nielsen,https://www.nielsen.com/,,
2020,云南,0.0865,亿人,0.0744,亿人,0.0522,亿人,0.0643,亿人,0.0856,亿人,0.0297,亿人,0.0739,亿人,China Copyright and Media,http://www.cccopyright.com/,,
2021,海南,0.0787,亿人,0.0631,亿人,0.051,亿人,0.0585,亿人,0.095,亿人,0.0458,亿人,0.0668,亿人,Data Dai,https://www.datadai.com/,,
2022,内蒙古,0.1423,亿人,0.134,亿人,0.0916,亿人,0.1023,亿人,0.1582,亿人,0.0627,亿人,0.1463,亿人,Baidu Statistics,https://tongji.baidu.com/,,
2023,天津,0.1112,亿人,0.1092,亿人,0.0705,亿人,0.085,亿人,0.1601,亿人,0.0504,亿人,0.1537,亿人,Tencent Research,https://www.tencent.com/,,
2020,北京,0.2657,亿人,0.2576,亿人,0.1853,亿人,0.2451,亿人,0.3902,亿人,0.1503,亿人,0.3879,亿人,DigiTimes,https://www.digitimes.com/,,
2022,安徽,0.1106,亿人,0.1068,亿人,0.0797,亿人,0.0824,亿人,0.1344,亿人,0.0582,亿人,0.1253,亿人,Statista,https://www.statista.com/,,
2023,江苏,0.1452,亿人,0.1394,亿人,0.1125,亿人,0.1203,亿人,0.2107,亿人,0.0753,亿人,0.1954,亿人,CNIA,https://www.cninfo.com.cn/,,
2023,浙江,0.1505,亿人,0.1458,亿人,0.0943,亿人,0.1306,亿人,0.2301,亿人,0.0829,亿人,0.2009,亿人,iResearch,https://www.iresearch.com.cn/,,
2022,安徽,0.1012,亿人,0.0973,亿人,0.0651,亿人,0.0807,亿人,0.1365,亿人,0.0494,亿人,0.1253,亿人,CNIA,https://www.cnia.org.cn/,,
2022,江西,0.0798,亿人,0.0715,亿人,0.0451,亿人,0.0599,亿人,0.1044,亿人,0.0293,亿人,0.0901,亿人,Statista,https://www.statista.com/,,
2023,四川,0.1208,亿人,0.1152,亿人,0.0914,亿人,0.0863,亿人,0.1857,亿人,0.0548,亿人,0.1686,亿人,Nielsen,https://www.nielsen.com/,,
2022,河南,0.2255,亿人,0.2181,亿人,0.1572,亿人,0.1946,亿人,0.2984,亿人,0.1431,亿人,0.2357,亿人,Tencent Research,https://www.tencent.com/,,
2021,陕西,0.0951,亿人,0.0856,亿人,0.0562,亿人,0.0754,亿人,0.1019,亿人,0.0332,亿人,0.0975,亿人,China Internet Network Information Center,https://www.cnnic.net.cn/,,
2021,贵州,0.1483,亿人,0.1203,亿人,0.0757,亿人,0.0852,亿人,0.1304,亿人,0.0609,亿人,0.1252,亿人,ZDC,https://www.zdc.com.cn/,,
2020,辽宁,0.2042,亿人,0.1806,亿人,0.1349,亿人,0.1784,亿人,0.3001,亿人,0.1073,亿人,0.1883,亿人,Datareportal,https://datareportal.com/,,
2020,湖南,0.2711,亿人,0.2484,亿人,0.1892,亿人,0.2203,亿人,0.3658,亿人,0.1202,亿人,0.3057,亿人,Statista,https://www.statista.com/,,
2021,青海,0.0642,亿人,0.0561,亿人,0.0423,亿人,0.0525,亿人,0.0713,亿人,0.0284,亿人,0.0652,亿人,iResearch,https://www.iresearch.com.cn/,,
2020,云南,0.0981,亿人,0.0857,亿人,0.0697,亿人,0.078,亿人,0.1221,亿人,0.0312,亿人,0.0915,亿人,CNIA,https://www.cnia.org.cn/,,
2021,山西,0.0896,亿人,0.0788,亿人,0.0528,亿人,0.0663,亿人,0.0521,亿人,0.0349,亿人,0.0653,亿人,Nielsen,https://www.nielsen.com/,,
2022,安徽,0.0957,亿人,0.0864,亿人,0.0671,亿人,0.0971,亿人,0.1529,亿人,0.0534,亿人,0.1082,亿人,Statista,https://www.statista.com/,,
2023,福建,0.1345,亿人,0.1207,亿人,0.0893,亿人,0.1346,亿人,0.2018,亿人,0.0715,亿人,0.1782,亿人,Datareportal,https://datareportal.com/,,
2023,江苏,0.1501,亿人,0.1355,亿人,0.1024,亿人,0.1456,亿人,0.1954,亿人,0.0712,亿人,0.1905,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2023,四川,0.0975,亿人,0.1101,亿人,0.0663,亿人,0.0808,亿人,0.1476,亿人,0.0524,亿人,0.1372,亿人,艾媒咨询,https://www.iimedia.cn/,,
2023,湖北,0.2504,亿人,0.2301,亿人,0.1765,亿人,0.2187,亿人,0.3002,亿人,0.12,亿人,0.2805,亿人,中国数字文化产业网,http://www.digitalcn.net/,,
2022,浙江,0.1985,亿人,0.1503,亿人,0.1122,亿人,0.1744,亿人,0.2803,亿人,0.0956,亿人,0.2102,亿人,网易科技,https://tech.163.com/,,
2022,广东,0.3201,亿人,0.3022,亿人,0.195,亿人,0.25,亿人,0.3906,亿人,0.2185,亿人,0.3674,亿人,腾讯科技,https://tech.qq.com/,,
2022,云南,0.0756,亿人,0.0581,亿人,0.0429,亿人,0.0603,亿人,0.0884,亿人,0.0342,亿人,0.0753,亿人,艾瑞咨询,https://www.iresearch.com.cn/,,
2021,福建,0.1865,亿人,0.1694,亿人,0.0953,亿人,0.1432,亿人,0.22,亿人,0.075,亿人,0.1508,亿人,凤凰网科技,https://tech.ifeng.com/,,
2021,海南,0.0635,亿人,0.0589,亿人,0.0376,亿人,0.0458,亿人,0.0674,亿人,0.03,亿人,0.0553,亿人,南海网,http://www.hinews.cn/,,
2020,重庆,0.1815,亿人,0.1554,亿人,0.1255,亿人,0.1356,亿人,0.1901,亿人,0.085,亿人,0.1632,亿人,今日头条,https://www.toutiao.com/,,
2020,陕西,0.1402,亿人,0.1257,亿人,0.0984,亿人,0.11,亿人,0.1701,亿人,0.0605,亿人,0.1353,亿人,搜狐科技,https://www.sohu.com/,,
2020,宁夏,0.0304,亿人,0.0268,亿人,0.0195,亿人,0.0236,亿人,0.0352,亿人,0.012,亿人,0.0299,亿人,中国青年报,http://www.ynnews.com/,,
2024,天津,0.2561,亿人,0.2184,亿人,0.1531,亿人,0.242,亿人,0.3678,亿人,0.1582,亿人,0.3045,亿人,新浪科技,http://tech.sina.com.cn/,,
2024,山西,0.0862,亿人,0.0793,亿人,0.0521,亿人,0.0645,亿人,0.1123,亿人,0.045,亿人,0.0735,亿人,中国游戏产业报告,http://www.cgig.org.cn/,,
2023,海南,0.112,亿人,0.1355,亿人,0.0923,亿人,0.1061,亿人,0.1572,亿人,0.0654,亿人,0.1458,亿人,国家统计局,https://www.stats.gov.cn/,,
2023,内蒙古,0.0813,亿人,0.0864,亿人,0.0645,亿人,0.0852,亿人,0.1351,亿人,0.0493,亿人,0.1128,亿人,艾媒咨询,https://www.iimedia.cn/,,
2023,陕西,0.0923,亿人,0.101,亿人,0.078,亿人,0.0944,亿人,0.1407,亿人,0.0535,亿人,0.1305,亿人,前瞻网,https://www.qianzhan.com/,,
2022,湖南,0.2103,亿人,0.1987,亿人,0.1659,亿人,0.1908,亿人,0.3212,亿人,0.2104,亿人,0.2797,亿人,中国互联网信息中心,https://www.cnnic.net.cn/,,
2022,安徽,0.1754,亿人,0.1581,亿人,0.1208,亿人,0.1445,亿人,0.2256,亿人,0.1432,亿人,0.2111,亿人,网易科技,https://tech.163.com/,,
2021,江西,0.0856,亿人,0.0782,亿人,0.0627,亿人,0.0798,亿人,0.1173,亿人,0.057,亿人,0.0831,亿人,搜狐科技,https://www.sohu.com/,,
2021,青海,0.0543,亿人,0.0531,亿人,0.0418,亿人,0.0525,亿人,0.085,亿人,0.0348,亿人,0.056,亿人,中国新闻网,https://www.chinanews.com/,,
2022,云南,0.1475,亿人,0.1383,亿人,0.0985,亿人,0.1252,亿人,0.1985,亿人,0.089,亿人,0.1704,亿人,媒介圈,https://www.media360.com/,,
2023,宁夏,0.0664,亿人,0.0615,亿人,0.0459,亿人,0.0657,亿人,0.0903,亿人,0.0375,亿人,0.0709,亿人,一点资讯,https://www.yidianzixun.com/,,
2023,甘肃,0.0765,亿人,0.0708,亿人,0.0641,亿人,0.0802,亿人,0.0909,亿人,0.0481,亿人,0.0845,亿人,腾讯新闻,https://news.qq.com/,,
2022,广西,0.1602,亿人,0.144,亿人,0.1164,亿人,0.1347,亿人,0.2201,亿人,0.1062,亿人,0.1943,亿人,新浪科技,https://tech.sina.com.cn/,,
2020,四川,0.2501,亿人,0.2412,亿人,0.195,亿人,0.2277,亿人,0.389,亿人,0.1426,亿人,0.2921,亿人,36氪,https://36kr.com/,,
2021,黑龙江,0.1889,亿人,0.1712,亿人,0.1401,亿人,0.1626,亿人,0.27,亿人,0.1533,亿人,0.2267,亿人,腾讯研究院,https://yq.tengxun.com/,,
2022,上海,0.3752,亿人,0.3485,亿人,0.2676,亿人,0.3098,亿人,0.4423,亿人,0.2906,亿人,0.4107,亿人,京东数科,https://www.jd.com/,,
2023,北京,0.3454,亿人,0.3117,亿人,0.2415,亿人,0.2896,亿人,0.4667,亿人,0.3203,亿人,0.4265,亿人,百度研究院,https://www.baidu.com/,,
2023,浙江,0.1502,亿人,0.1294,亿人,0.1016,亿人,0.1405,亿人,0.1837,亿人,0.0672,亿人,0.1754,亿人,Tengxun网,https://www.tencent.com/,,
2022,四川,0.1071,亿人,0.0902,亿人,0.0745,亿人,0.0898,亿人,0.1453,亿人,0.0549,亿人,0.1384,亿人,中国互联网络信息中心,https://www.cnnic.net.cn/,,
2021,云南,0.0899,亿人,0.0856,亿人,0.0612,亿人,0.0773,亿人,0.1205,亿人,0.0391,亿人,0.0847,亿人,阿里巴巴研究院,https://www.alibaba.com/,,
2022,天津,0.1805,亿人,0.1589,亿人,0.1107,亿人,0.1223,亿人,0.1895,亿人,0.0713,亿人,0.1612,亿人,百度统计,https://tongji.baidu.com/,,
2023,广东,0.2956,亿人,0.2892,亿人,0.2016,亿人,0.2578,亿人,0.4324,亿人,0.2971,亿人,0.3968,亿人,快手研究中心,https://www.kuaishou.com/,,
2022,湖南,0.1654,亿人,0.1408,亿人,0.0974,亿人,0.1325,亿人,0.1894,亿人,0.0832,亿人,0.1951,亿人,搜狐科技,https://www.sohu.com/,,
2023,安徽,0.1353,亿人,0.1065,亿人,0.0952,亿人,0.1128,亿人,0.1788,亿人,0.0604,亿人,0.1648,亿人,新浪网,https://www.sina.com.cn/,,
2021,江西,0.0912,亿人,0.0742,亿人,0.0571,亿人,0.0665,亿人,0.0828,亿人,0.0374,亿人,0.0917,亿人,网易科技,https://www.163.com/,,
2022,山西,0.1234,亿人,0.0952,亿人,0.0724,亿人,0.0801,亿人,0.1457,亿人,0.0499,亿人,0.1132,亿人,咪咕影视,https://www.migu.cn/,,
2023,宁夏,0.0635,亿人,0.0561,亿人,0.0429,亿人,0.0491,亿人,0.0755,亿人,0.0276,亿人,0.0638,亿人,中国产业互联网,https://www.cii.com.cn/,,
2021,重庆,0.1153,亿人,0.1094,亿人,0.0793,亿人,0.0875,亿人,0.1348,亿人,0.0458,亿人,0.1036,亿人,TechNode,https://technode.com/,,
2022,湖北,0.1987,亿人,0.1745,亿人,0.1308,亿人,0.1576,亿人,0.2354,亿人,0.0883,亿人,0.2129,亿人,亿邦动力,https://www.ebrun.com/,,
2023,甘肃,0.0787,亿人,0.0678,亿人,0.0543,亿人,0.0635,亿人,0.1054,亿人,0.0312,亿人,0.0886,亿人,量子涡流,https://www.quantum.com/,,
2023,陕西,0.0913,亿人,0.0876,亿人,0.0604,亿人,0.0715,亿人,0.1108,亿人,0.0353,亿人,0.0897,亿人,华为技术,https://www.huawei.com/,,
2021,西藏,0.0295,亿人,0.0254,亿人,0.0183,亿人,0.0212,亿人,0.0335,亿人,0.0122,亿人,0.0261,亿人,拉萨新闻,https://www.lasa.cn/,,
2023,四川,0.1458,亿人,0.1324,亿人,0.0961,亿人,0.1135,亿人,0.1782,亿人,0.0673,亿人,0.1764,亿人,中国互联网络信息中心,https://www.cnnic.net.cn/,,
2023,浙江,0.1649,亿人,0.1557,亿人,0.1043,亿人,0.1302,亿人,0.2105,亿人,0.0739,亿人,0.1958,亿人,艾瑞咨询,https://www.iresearch.com.cn/,,
2023,广东,0.2093,亿人,0.2014,亿人,0.1215,亿人,0.1426,亿人,0.2534,亿人,0.0952,亿人,0.2874,亿人,QuestMobile,https://www.questmobile.com.cn/,,
2022,陕西,0.1025,亿人,0.0934,亿人,0.0689,亿人,0.0861,亿人,0.1428,亿人,0.0515,亿人,0.1288,亿人,腾讯研究院,https://www.tencent.com/,,
2022,山东,0.147,亿人,0.1348,亿人,0.0847,亿人,0.1078,亿人,0.1824,亿人,0.058,亿人,0.1753,亿人,百度统计,https://tongji.baidu.com/,,
2022,江苏,0.1804,亿人,0.1746,亿人,0.1162,亿人,0.147,亿人,0.2391,亿人,0.0842,亿人,0.2155,亿人,搜狐财经,https://business.sohu.com/,,
2021,湖北,0.2543,亿人,0.2301,亿人,0.1707,亿人,0.1853,亿人,0.3026,亿人,0.1127,亿人,0.2701,亿人,人民数据,https://data.people.com.cn/,,
2021,重庆,0.1374,亿人,0.1202,亿人,0.0854,亿人,0.1095,亿人,0.1568,亿人,0.066,亿人,0.1592,亿人,联通大数据研究院,https://www.chinaunicom.com/,,
2020,海南,0.1165,亿人,0.1073,亿人,0.0708,亿人,0.0867,亿人,0.1439,亿人,0.0495,亿人,0.1346,亿人,中国国家统计局,http://www.stats.gov.cn/,,
2020,天津,0.2104,亿人,0.1843,亿人,0.0952,亿人,0.1257,亿人,0.2056,亿人,0.0758,亿人,0.1984,亿人,知乎数据研究院,https://www.zhihu.com/,,
2020,云南,0.0909,亿人,0.0821,亿人,0.0562,亿人,0.0711,亿人,0.1165,亿人,0.0422,亿人,0.0987,亿人,字节跳动数据研究院,https://www.bytedance.com/,,
2023,湖南,0.1454,亿人,0.1345,亿人,0.0958,亿人,0.1234,亿人,0.1795,亿人,0.0687,亿人,0.1422,亿人,CNNIC,https://www.cnnic.net.cn/,,
2023,山东,0.1603,亿人,0.145,亿人,0.1087,亿人,0.131,亿人,0.22,亿人,0.0725,亿人,0.1988,亿人,北京日报,https://www.bjd.com.cn/,,
2023,福建,0.1086,亿人,0.1032,亿人,0.0856,亿人,0.0954,亿人,0.1521,亿人,0.0613,亿人,0.137,亿人,国家统计局,https://www.stats.gov.cn/,,
2022,河南,0.2031,亿人,0.1947,亿人,0.1483,亿人,0.1625,亿人,0.3184,亿人,0.0952,亿人,0.241,亿人,网信办,https://www.cac.gov.cn/,,
2022,陕西,0.0919,亿人,0.0845,亿人,0.0673,亿人,0.0794,亿人,0.1217,亿人,0.0398,亿人,0.115,亿人,南方周末,https://www.infzm.com/,,
2021,四川,0.2501,亿人,0.2234,亿人,0.1578,亿人,0.192,亿人,0.3321,亿人,0.0836,亿人,0.2093,亿人,第七次全国人口普查,http://www.stats.gov.cn/tjsj/,,
2021,浙江,0.2184,亿人,0.2053,亿人,0.1476,亿人,0.1842,亿人,0.2908,亿人,0.077,亿人,0.2032,亿人,中国互联网络信息中心,https://www.cnnic.net.cn/,,
2020,云南,0.1328,亿人,0.1219,亿人,0.085,亿人,0.095,亿人,0.1434,亿人,0.054,亿人,0.1295,亿人,智联招聘,https://www.zhaopin.com/,,
2020,重庆,0.1552,亿人,0.1456,亿人,0.1173,亿人,0.1234,亿人,0.165,亿人,0.0815,亿人,0.1551,亿人,中国青年报,https://www.cyol.com/,,
2020,天津,0.1864,亿人,0.1789,亿人,0.1102,亿人,0.1391,亿人,0.2178,亿人,0.098,亿人,0.1458,亿人,新浪科技,https://tech.sina.com.cn/,,
2023,广东,0.1923,亿人,0.1734,亿人,0.1305,亿人,0.1584,亿人,0.2823,亿人,0.1054,亿人,0.246,亿人,腾讯科技,https://tech.qq.com/,,
2022,海南,0.0975,亿人,0.0922,亿人,0.0709,亿人,0.0804,亿人,0.1224,亿人,0.0382,亿人,0.102,亿人,澎湃新闻,https://www.thepaper.cn/,,
2021,西藏,0.0555,亿人,0.051,亿人,0.0404,亿人,0.0451,亿人,0.0756,亿人,0.0234,亿人,0.0525,亿人,观察者网,https://www.guancha.cn/,,
2023,吉林,0.0978,亿人,0.085,亿人,0.0651,亿人,0.0738,亿人,0.1251,亿人,0.0412,亿人,0.0853,亿人,中国日报,https://www.chinadaily.com.cn/,,
2021,黑龙江,0.1203,亿人,0.1107,亿人,0.0925,亿人,0.102,亿人,0.1341,亿人,0.0273,亿人,0.105,亿人,人民网,https://www.people.com.cn/,,
2022,内蒙古,0.0765,亿人,0.0698,亿人,0.0591,亿人,0.0642,亿人,0.1006,亿人,0.0301,亿人,0.083,亿人,搜狐科技,https://www.sohu.com/,,
2023,四川,0.1254,亿人,0.1453,亿人,0.0945,亿人,0.1301,亿人,0.1903,亿人,0.0674,亿人,0.1455,亿人,Statista,https://www.statista.com/,,
2023,南京,0.0923,亿人,0.0856,亿人,0.0653,亿人,0.0804,亿人,0.1305,亿人,0.0379,亿人,0.1154,亿人,iResearch,https://www.iresearch.com.cn/,,
2023,广西,0.0836,亿人,0.0772,亿人,0.0557,亿人,0.0724,亿人,0.1102,亿人,0.0453,亿人,0.0901,亿人,DigiTimes,https://www.digitimes.com/,,
2022,深圳,0.3003,亿人,0.2758,亿人,0.1953,亿人,0.2901,亿人,0.4207,亿人,0.3055,亿人,0.3999,亿人,TechCrunch,https://techcrunch.com/,,
2022,重庆,0.1754,亿人,0.1583,亿人,0.1201,亿人,0.1455,亿人,0.1902,亿人,0.0751,亿人,0.1625,亿人,Nanfang Daily,https://www.nfdaily.cn/,,
2022,天津,0.2205,亿人,0.2101,亿人,0.1397,亿人,0.1834,亿人,0.3206,亿人,0.0863,亿人,0.195,亿人,Sina Technology,https://tech.sina.com.cn/,,
2021,安徽,0.1502,亿人,0.1405,亿人,0.1104,亿人,0.135,亿人,0.1958,亿人,0.0849,亿人,0.142,亿人,China Daily,https://www.chinadaily.com.cn/,,
