年月,平台,剧集播放数,单位,剧集播出时长,单位.1,剧集上新数,单位.2,独播上新数,单位.3,采集来源,来源链接,采集时间,备注
2022-09,腾讯视频,65.0,亿次,45.0,小时,40.0,部,25.0,部,经济日报,https://www.ce.cn/,,
2022-06,Bilibili,40.0,亿次,39.0,小时,28.0,部,15.0,部,国际新闻平台,https://www.internationalnews.com,,
2021-12,优酷,20.0,亿次,25.0,小时,15.0,部,7.0,部,视频研究中心,https://www.videoresearch.com,,
2021-05,芒果TV,30.0,亿次,55.5,小时,18.0,部,10.0,部,诚传媒,https://www.chengmedia.com/,,
2020-11,爱奇艺,33.0,亿次,48.5,小时,33.0,部,20.0,部,网络视频观察,https://www.networkvideo.cn/,,
2020-04,优酷,26.0,亿次,35.0,小时,15.0,部,12.0,部,中国网络视听,https://www.cntv.com,,
2020-02,腾讯视频,95.0,亿次,65.0,小时,60.0,部,45.0,部,艾媒咨询,https://www.iimedia.cn/,,
2019-12,Bilibili,55.0,亿次,30.0,小时,27.0,部,15.0,部,国际新闻平台,https://www.internationalnews.com,,
2019-03,优酷,20.0,亿次,55.0,小时,10.0,部,4.0,部,经济日报,https://www.ce.cn/,,
2018-10,腾讯视频,78.0,亿次,60.0,小时,54.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2018-01,芒果TV,36.0,亿次,70.0,小时,21.0,部,11.0,部,爱尔视图,https://www.aier.com,,
2024-01,爱奇艺,90.0,亿次,62.3,小时,60.0,部,30.0,部,动漫观察网,https://www.animetv.com,,
2023-11,Bilibili,45.0,亿次,52.8,小时,30.0,部,20.0,部,视频数码观察,https://www.videodigital.com,,
2023-08,优酷,100.0,亿次,70.0,小时,80.0,部,40.0,部,科技日报,https://www.stdaily.com,,
2023-05,腾讯视频,75.0,亿次,48.0,小时,56.0,部,38.0,部,网络视听发展,https://www.wangluoshiting.com,,
2022-12,芒果TV,35.0,亿次,56.0,小时,25.0,部,15.0,部,娱思纵横,https://www.yusizongheng.com,,
2023-09,爱奇艺,65.0,亿次,60.5,小时,40.0,部,20.0,部,视觉中国,https://www.vis.com.cn,,
2022-07,Bilibili,50.0,亿次,45.0,小时,29.0,部,12.0,部,数字品牌观察,https://www.digitalbrand.com,,
2022-05,腾讯视频,85.0,亿次,74.0,小时,65.0,部,45.0,部,中国数字媒体,https://www.cndigitalmedia.com,,
2023-01,优酷,40.0,亿次,49.0,小时,20.0,部,10.0,部,娱乐周刊,https://www.entweekly.com,,
2021-10,爱奇艺,30.0,亿次,36.5,小时,25.0,部,14.0,部,影视中国,https://www.yingshizhongguo.com,,
2020-08,优酷,25.0,亿次,33.0,小时,20.0,部,5.0,部,时光网,https://www.mtime.com,,
2022-04,腾讯视频,60.0,亿次,40.0,小时,30.0,部,25.0,部,新闻媒体,https://www.newsmedia.com,,
2023-02,芒果TV,70.0,亿次,55.0,小时,50.0,部,30.0,部,新流媒体观察,https://www.lmtm.com,,
2023-04,优酷,95.0,亿次,72.0,小时,61.0,部,37.0,部,新视听,https://www.newvision.com,,
2021-07,Bilibili,28.0,亿次,41.2,小时,15.0,部,8.0,部,广东电视台,https://www.gdtv.com,,
2022-09,腾讯视频,82.0,亿次,65.0,小时,64.0,部,48.0,部,影视前沿,https://www.yingshiqianyan.com,,
2020-12,爱奇艺,58.0,亿次,42.0,小时,38.0,部,20.0,部,新媒体观察,https://www.newmedia.com,,
2021-12,优酷,22.0,亿次,30.0,小时,10.0,部,3.0,部,现代媒介,https://www.modernmedia.com,,
2023-11,爱奇艺,90.0,亿次,60.0,小时,50.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-10,腾讯视频,75.0,亿次,70.5,小时,40.0,部,20.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,Bilibili,45.0,亿次,55.5,小时,25.0,部,12.0,部,视频研究中心,https://www.videoresearch.com,,
2023-06,优酷,65.0,亿次,52.0,小时,30.0,部,18.0,部,诚传媒,https://www.chengmedia.com/,,
2023-03,芒果TV,40.0,亿次,45.0,小时,35.0,部,20.0,部,骨朵数据,https://www.36kr.com,,
2023-01,爱奇艺,85.0,亿次,61.0,小时,55.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2022-12,腾讯视频,70.0,亿次,50.0,小时,43.0,部,30.0,部,中国网络视听,https://www.cntv.com/,,
2022-09,Bilibili,60.0,亿次,48.0,小时,39.0,部,22.0,部,经济日报,https://www.ce.cn/,,
2022-06,优酷,55.0,亿次,53.0,小时,50.0,部,27.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-02,芒果TV,50.0,亿次,67.5,小时,20.0,部,10.0,部,今日头条,https://www.toutiao.com/,,
2021-12,爱奇艺,65.0,亿次,62.0,小时,35.0,部,20.0,部,骨朵数据,https://www.36kr.com,,
2021-09,腾讯视频,72.0,亿次,54.0,小时,42.0,部,30.0,部,经济日报,https://www.ce.cn/,,
2021-04,优酷,30.0,亿次,40.0,小时,15.0,部,8.0,部,新流媒体观察,https://www.lmtm.com,,
2020-12,Bilibili,88.0,亿次,59.0,小时,45.0,部,25.0,部,中国网络视听,https://www.cntv.com/,,
2020-09,腾讯视频,44.0,亿次,39.0,小时,29.0,部,18.0,部,诚传媒,https://www.chengmedia.com/,,
2020-02,芒果TV,20.0,亿次,32.0,小时,10.0,部,7.0,部,新流媒体观察,https://www.lmtm.com,,
2019-12,爱奇艺,82.0,亿次,47.0,小时,36.0,部,28.0,部,视频研究中心,https://www.videoresearch.com,,
2023-11,爱奇艺,75.0,亿次,60.0,小时,40.0,部,25.0,部,视频研究中心,https://www.videoresearch.com,,
2023-10,腾讯视频,68.0,亿次,53.5,小时,70.0,部,38.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,Bilibili,45.0,亿次,48.0,小时,30.0,部,20.0,部,骨朵数据,https://www.36kr.com,,
2023-07,优酷,85.0,亿次,55.0,小时,60.0,部,32.0,部,国际在线,https://www.yiqilai.com,,
2023-01,爱奇艺,65.0,亿次,62.0,小时,55.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-12,芒果TV,29.0,亿次,40.0,小时,15.0,部,8.0,部,今日头条,https://www.toutiao.com,,
2022-09,腾讯视频,57.0,亿次,54.0,小时,40.0,部,35.0,部,中国网络视听,https://www.cntv.com,,
2022-05,Bilibili,50.0,亿次,45.5,小时,25.0,部,20.0,部,经济日报,https://www.ce.cn/,,
2021-12,优酷,38.0,亿次,37.0,小时,20.0,部,10.0,部,诚传媒,https://www.chengmedia.com/,,
2021-09,芒果TV,24.0,亿次,29.5,小时,15.0,部,7.0,部,新流媒体观察,https://www.lmtm.com,,
2021-05,爱奇艺,22.0,亿次,31.0,小时,13.0,部,5.0,部,骨朵数据,https://www.36kr.com,,
2020-11,优酷,40.0,亿次,34.5,小时,20.0,部,10.0,部,视频研究中心,https://www.videoresearch.com,,
2020-08,腾讯视频,75.0,亿次,40.0,小时,27.0,部,13.0,部,国际在线,https://www.yiqilai.com,,
2020-03,Bilibili,33.0,亿次,32.0,小时,18.0,部,8.0,部,今日头条,https://www.toutiao.com,,
2019-12,爱奇艺,90.0,亿次,47.0,小时,50.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2019-08,腾讯视频,50.0,亿次,41.5,小时,35.0,部,20.0,部,视频研究中心,https://www.videoresearch.com,,
2023-11,爱奇艺,65.0,亿次,48.0,小时,35.0,部,20.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,腾讯视频,85.0,亿次,60.15,小时,40.0,部,25.0,部,视频研究中心,https://www.videoresearch.com,,
2023-07,优酷,75.0,亿次,54.5,小时,30.0,部,15.0,部,骨朵数据,https://www.36kr.com,,
2023-01,芒果TV,40.0,亿次,42.0,小时,25.0,部,18.0,部,新流媒体观察,https://www.lmtm.com,,
2022-12,爱奇艺,90.0,亿次,55.75,小时,20.0,部,10.0,部,诚传媒,https://www.chengmedia.com/,,
2022-05,Bilibili,50.0,亿次,48.0,小时,38.0,部,27.0,部,中国网络视听,https://www.cntv.com,,
2022-02,优酷,45.0,亿次,52.0,小时,22.0,部,15.0,部,网络视频观察,https://www.networkvideo.cn/,,
2021-12,腾讯视频,70.0,亿次,40.0,小时,30.0,部,20.0,部,经济日报,https://www.ce.cn/,,
2021-06,芒果TV,30.0,亿次,30.5,小时,19.0,部,8.0,部,今日头条,https://www.toutiao.com,,
2020-10,爱奇艺,20.0,亿次,28.0,小时,10.0,部,5.0,部,新流媒体观察,https://www.lmtm.com,,
2020-03,Bilibili,38.0,亿次,35.5,小时,12.0,部,10.0,部,视频研究中心,https://www.videoresearch.com,,
2020-02,腾讯视频,60.0,亿次,40.0,小时,50.0,部,20.0,部,诚传媒,https://www.chengmedia.com/,,
2019-12,优酷,45.0,亿次,37.0,小时,36.0,部,14.0,部,艾媒咨询,https://www.iimedia.cn/,,
2019-07,芒果TV,22.0,亿次,29.5,小时,14.0,部,6.0,部,骨朵数据,https://www.36kr.com,,
2018-05,爱奇艺,82.0,亿次,51.0,小时,60.0,部,30.0,部,今日头条,https://www.toutiao.com,,
2024-01,Bilibili,32.5,亿次,60.0,小时,18.0,部,12.0,部,视频研究中心,https://www.videoresearch.com,,
2023-11,爱奇艺,95.0,亿次,48.5,小时,40.0,部,22.0,部,中国网络视听,https://www.cntv.com,,
2023-09,优酷,65.0,亿次,53.2,小时,38.0,部,20.0,部,诚传媒,https://www.chengmedia.com/,,
2023-06,腾讯视频,70.0,亿次,47.5,小时,55.0,部,35.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-03,芒果TV,40.0,亿次,36.0,小时,30.0,部,15.0,部,骨朵数据,https://www.36kr.com,,
2022-12,Bilibili,28.0,亿次,52.0,小时,24.0,部,17.0,部,今日头条,https://www.toutiao.com,,
2022-09,优酷,85.0,亿次,58.5,小时,60.0,部,40.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-06,腾讯视频,77.0,亿次,54.0,小时,50.0,部,45.0,部,新流媒体观察,https://www.lmtm.com,,
2022-02,芒果TV,35.0,亿次,45.5,小时,15.0,部,5.0,部,经济日报,https://www.ce.cn/,,
2021-12,爱奇艺,62.0,亿次,50.0,小时,38.0,部,22.0,部,中国网络视听,https://www.cntv.com,,
2021-08,Bilibili,29.0,亿次,37.5,小时,20.0,部,8.0,部,视频研究中心,https://www.videoresearch.com,,
2021-04,优酷,50.0,亿次,42.0,小时,25.0,部,18.0,部,南方周末,https://www.infzm.com/,,
2020-11,腾讯视频,65.0,亿次,49.0,小时,34.0,部,20.0,部,经济参考报,https://www.jjckb.cn/,,
2020-08,爱奇艺,45.0,亿次,55.0,小时,29.0,部,16.0,部,新流媒体观察,https://www.lmtm.com,,
2020-05,芒果TV,24.0,亿次,36.0,小时,15.0,部,10.0,部,经济日报,https://www.ce.cn/,,
2020-01,优酷,37.0,亿次,40.0,小时,33.0,部,14.0,部,骨朵数据,https://www.36kr.com,,
2023-11,爱奇艺,70.5,亿次,52.0,小时,20.0,部,12.0,部,爱奇艺数据分析,https://www.iqiyi.com,,
2023-10,腾讯视频,88.0,亿次,58.3,小时,25.0,部,15.0,部,腾讯科研中心,https://v.qq.com,,
2023-09,Bilibili,40.0,亿次,43.0,小时,30.0,部,22.0,部,Bilibili数据部,https://www.bilibili.com,,
2023-07,优酷,65.4,亿次,48.75,小时,35.0,部,20.0,部,优酷数据分析,https://www.youku.com,,
2023-06,芒果TV,55.0,亿次,50.0,小时,18.0,部,9.0,部,芒果TV数据中心,https://www.mangguotv.com,,
2022-12,爱奇艺,65.0,亿次,47.5,小时,40.0,部,25.0,部,数据驱动传媒,https://www.datadriven.cn/,,
2022-09,腾讯视频,85.0,亿次,60.0,小时,55.0,部,30.0,部,视频行业观察,https://www.mediawatch.cn/,,
2022-05,优酷,42.0,亿次,49.0,小时,29.0,部,18.0,部,优酷报告,https://www.youku.com/report,,
2021-12,Bilibili,39.0,亿次,41.0,小时,32.0,部,19.0,部,Bilibili月度分析,https://www.bilibili.com/montly,,
2021-09,爱奇艺,90.0,亿次,53.5,小时,60.0,部,35.0,部,爱奇艺市场调查,https://www.iqiyi.com/market,,
2021-06,腾讯视频,56.0,亿次,62.75,小时,45.0,部,28.0,部,腾讯资源库,https://v.qq.com/repository,,
2020-12,芒果TV,48.0,亿次,55.5,小时,39.0,部,25.0,部,芒果TV用户调研,https://www.mangguotv.com/user-research,,
2020-06,优酷,35.0,亿次,40.1,小时,28.0,部,10.0,部,新流媒体研究,https://www.newmedia.cn/,,
2019-11,爱奇艺,47.5,亿次,46.0,小时,31.0,部,15.0,部,中国视听研究,https://www.cntv.com,,
2019-07,腾讯视频,80.0,亿次,48.4,小时,60.0,部,30.0,部,腾讯影业分析,https://www.v.qq.com/industry,,
2019-02,芒果TV,28.0,亿次,32.0,小时,22.0,部,13.0,部,经济观察报,https://www.economywatch.com,,
2023-11,爱奇艺,68.0,亿次,59.5,小时,40.0,部,25.0,部,视频快讯,https://www.videokuaixun.com,,
2023-09,优酷,95.0,亿次,54.2,小时,48.0,部,30.0,部,网络视听研究,https://www.wlvsresearch.com,,
2023-07,腾讯视频,62.0,亿次,47.5,小时,35.0,部,20.0,部,新视界数据,https://www.newsvideo.data,,
2023-03,芒果TV,40.0,亿次,40.0,小时,25.0,部,12.0,部,视频产业分析,https://www.videoinnovation.com,,
2022-12,Bilibili,45.0,亿次,51.0,小时,30.0,部,18.0,部,华东数据研究中心,https://www.eastdata.com,,
2022-10,爱奇艺,75.0,亿次,55.5,小时,60.0,部,35.0,部,全球影视资讯,https://www.globalfilmnews.com,,
2022-06,优酷,88.0,亿次,49.0,小时,50.0,部,40.0,部,影视传媒观察,https://www.yingshiobserver.com,,
2021-12,腾讯视频,50.0,亿次,38.0,小时,34.0,部,20.0,部,新媒体分析,https://www.newmediaanalysis.com,,
2021-05,芒果TV,37.0,亿次,45.0,小时,15.0,部,8.0,部,数字娱乐研究,https://www.digitalplayresearch.com,,
2020-12,Bilibili,65.0,亿次,63.0,小时,45.0,部,22.0,部,娱乐前沿,https://www.entertainmentedge.com,,
2020-07,优酷,29.0,亿次,30.0,小时,15.0,部,5.0,部,文化视界,https://www.cultureworld.com,,
2019-11,爱奇艺,82.0,亿次,48.0,小时,70.0,部,30.0,部,新媒体展望,https://www.newmediaoutlook.com,,
2019-07,芒果TV,32.0,亿次,35.0,小时,18.0,部,9.0,部,多元数娱,https://www.diverseent.com,,
2018-10,腾讯视频,90.0,亿次,42.0,小时,65.0,部,45.0,部,影视动态,https://www.filmtrends.com,,
2018-08,爱奇艺,74.0,亿次,51.7,小时,40.0,部,32.0,部,互联网数据研究,https://www.internetdata.com,,
2018-03,优酷,65.0,亿次,49.0,小时,24.0,部,20.0,部,在线流媒体分析,https://www.onlinestreamanalysis.com,,
2017-12,腾讯视频,107.0,亿次,58.0,小时,70.0,部,55.0,部,影视市场研究,https://www.filmmarketresearch.com,,
2023-09,爱奇艺,70.0,亿次,52.3,小时,30.0,部,15.0,部,广电总局,https://www.gortic.gov.cn,,
2023-10,Bilibili,45.0,亿次,48.0,小时,20.0,部,10.0,部,新流媒体观察,https://www.lmtm.com,,
2023-11,腾讯视频,90.0,亿次,60.5,小时,37.0,部,25.0,部,视频研究中心,https://www.videoresearch.com,,
2023-07,优酷,35.5,亿次,49.0,小时,28.0,部,13.0,部,诚传媒,https://www.chengmedia.com/,,
2022-12,芒果TV,25.0,亿次,45.0,小时,15.0,部,8.0,部,骨朵数据,https://www.36kr.com,,
2022-09,爱奇艺,60.0,亿次,50.0,小时,40.0,部,20.0,部,艾媒咨询,https://www.iimedia.cn/,,
2022-06,优酷,52.0,亿次,44.5,小时,33.0,部,18.0,部,中国网络视听,https://www.cntv.com,,
2021-12,腾讯视频,39.0,亿次,55.4,小时,48.0,部,22.0,部,新流媒体观察,https://www.lmtm.com,,
2021-09,Bilibili,29.0,亿次,36.0,小时,50.0,部,20.0,部,骨朵数据,https://www.36kr.com,,
2021-05,爱奇艺,75.0,亿次,62.0,小时,66.0,部,34.0,部,网络视频观察,https://www.networkvideo.cn/,,
2020-05,优酷,27.0,亿次,40.0,小时,25.0,部,10.0,部,经济日报,https://www.ce.cn/,,
2020-02,Bilibili,22.0,亿次,33.5,小时,12.0,部,8.0,部,直播中国,https://www.zhibo.cn/,,
2019-12,爱奇艺,95.0,亿次,70.0,小时,60.0,部,40.0,部,中国网络视听,https://www.cntv.com,,
2019-07,腾讯视频,68.0,亿次,58.0,小时,53.0,部,30.0,部,西瓜视频,https://www.xigua.com/,,
2018-11,视频号,15.0,亿次,35.0,小时,10.0,部,5.0,部,腾讯新闻,https://news.qq.com/,,
2023-02,芒果TV,34.0,亿次,37.5,小时,20.0,部,10.0,部,全球华语网,https://www.gqhw.com/,,
2023-11,爱奇艺,90.0,亿次,50.0,小时,25.0,部,15.0,部,中国网络视听,https://www.cntv.com,,
2023-10,腾讯视频,60.5,亿次,48.2,小时,32.0,部,20.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,优酷,70.0,亿次,60.0,小时,40.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2023-07,Bilibili,40.0,亿次,52.25,小时,20.0,部,10.0,部,视频研究中心,https://www.videoresearch.com,,
2023-06,芒果TV,55.0,亿次,59.5,小时,22.0,部,18.0,部,骨朵数据,https://www.36kr.com,,
2022-12,优酷,65.4,亿次,55.0,小时,33.0,部,20.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-09,爱奇艺,75.5,亿次,47.75,小时,25.0,部,15.0,部,中国网络视听,https://www.cntv.com,,
2022-05,腾讯视频,50.0,亿次,43.6,小时,42.0,部,30.0,部,艾媒咨询,https://www.iimedia.cn/,,
2022-02,Bilibili,20.0,亿次,30.2,小时,18.0,部,8.0,部,骨朵数据,https://www.36kr.com,,
2021-12,芒果TV,35.0,亿次,36.5,小时,20.0,部,12.0,部,经济日报,https://www.ce.cn/,,
2021-08,优酷,52.0,亿次,45.75,小时,30.0,部,20.0,部,今日头条,https://www.toutiao.com,,
2021-04,腾讯视频,34.0,亿次,52.6,小时,28.0,部,25.0,部,新流媒体观察,https://www.lmtm.com,,
2020-10,爱奇艺,88.0,亿次,65.0,小时,60.0,部,40.0,部,中国网络视听,https://www.cntv.com,,
2020-01,Bilibili,20.0,亿次,35.0,小时,15.0,部,6.0,部,视频研究中心,https://www.videoresearch.com,,
2019-12,腾讯视频,85.0,亿次,54.5,小时,50.0,部,35.0,部,骨朵数据,https://www.36kr.com,,
2019-09,优酷,60.0,亿次,52.0,小时,40.0,部,25.0,部,诚传媒,https://www.chengmedia.com/,,
2023-11,爱奇艺,85.0,亿次,48.5,小时,60.0,部,30.0,部,腾讯研究院,https://www.tencent.com,,
2023-10,网易云音乐,20.0,亿次,40.0,小时,25.0,部,8.0,部,网易官方,https://www.163.com,,
2023-09,优酷,95.0,亿次,52.0,小时,55.0,部,26.0,部,中国传媒大学,https://www.cuc.edu.cn,,
2023-07,Bilibili,50.0,亿次,60.25,小时,40.0,部,18.0,部,国家广播电视总局,https://www.nrta.gov.cn,,
2023-06,腾讯视频,70.0,亿次,49.5,小时,30.0,部,22.0,部,艾媒咨询,https://www.iimedia.cn/,,
2022-12,芒果TV,25.5,亿次,33.0,小时,15.0,部,6.0,部,新华网,https://www.xinhuanet.com,,
2022-08,爱奇艺,78.0,亿次,62.5,小时,42.0,部,30.0,部,搜狐视频,https://www.sohu.com,,
2022-05,优酷,45.0,亿次,54.0,小时,35.0,部,20.0,部,资讯传媒,https://www.zxmedia.com/,,
2022-02,Bilibili,30.0,亿次,51.0,小时,10.0,部,4.0,部,新浪娱乐,https://ent.sina.com.cn,,
2021-12,加油电影网,15.0,亿次,20.0,小时,5.0,部,2.0,部,影视先锋,https://www.yingshi.com,,
2021-08,腾讯视频,65.0,亿次,60.0,小时,40.0,部,25.0,部,数字娱乐观察,https://www.dongguanzhibo.com,,
2021-05,优酷,40.0,亿次,42.0,小时,30.0,部,18.0,部,新京报,https://www.bjnews.com.cn,,
2020-11,爱奇艺,60.0,亿次,55.0,小时,45.0,部,35.0,部,中国互联网信息中心,https://www.cnnic.net.cn,,
2020-09,芒果TV,35.0,亿次,37.0,小时,22.0,部,10.0,部,财经网,https://www.caijing.com.cn,,
2020-02,Bilibili,28.0,亿次,43.0,小时,15.0,部,7.0,部,腾讯新闻,https://news.qq.com,,
2019-12,优酷,50.0,亿次,45.5,小时,23.0,部,12.0,部,人民网,https://www.people.com.cn,,
2019-07,爱奇艺,85.0,亿次,48.5,小时,20.0,部,7.0,部,今日头条,https://www.toutiao.com,,
2023-11,爱奇艺,62.0,亿次,52.1,小时,40.0,部,25.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-10,腾讯视频,75.0,亿次,60.5,小时,50.0,部,35.0,部,数字媒体报告,https://www.digitalmedia.com/,,
2023-09,优酷,88.0,亿次,46.3,小时,55.0,部,20.0,部,新流媒体观察,https://www.lmtm.com,,
2023-07,芒果TV,45.0,亿次,42.0,小时,30.0,部,12.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-06,Bilibili,33.0,亿次,54.5,小时,22.0,部,15.0,部,视频研究中心,https://www.videoresearch.com,,
2022-12,爱奇艺,85.0,亿次,70.2,小时,48.0,部,30.0,部,中国网络视听,https://www.cntv.com,,
2022-09,腾讯视频,70.0,亿次,64.0,小时,56.0,部,40.0,部,新流媒体观察,https://www.lmtm.com,,
2021-12,优酷,25.0,亿次,30.2,小时,20.0,部,8.0,部,经济日报,https://www.ce.cn/,,
2021-09,Bilibili,40.0,亿次,48.5,小时,25.0,部,12.0,部,骨朵数据,https://www.36kr.com,,
2021-03,芒果TV,20.0,亿次,29.5,小时,15.0,部,7.0,部,今日头条,https://www.toutiao.com,,
2020-12,爱奇艺,60.0,亿次,58.0,小时,12.0,部,9.0,部,视频研究中心,https://www.videoresearch.com,,
2020-09,腾讯视频,47.0,亿次,50.2,小时,37.0,部,20.0,部,中国网络视听,https://www.cntv.com,,
2020-06,优酷,15.0,亿次,39.0,小时,20.0,部,10.0,部,网络视频观察,https://www.networkvideo.cn/,,
2019-11,芒果TV,28.0,亿次,37.0,小时,10.0,部,5.0,部,新流媒体观察,https://www.lmtm.com,,
2019-05,Bilibili,22.0,亿次,35.0,小时,15.0,部,8.0,部,并购观察,https://www.mergeobservatory.com,,
2018-12,腾讯视频,35.0,亿次,41.1,小时,50.0,部,20.0,部,视频研究中心,https://www.videoresearch.com,,
2018-07,爱奇艺,90.0,亿次,75.0,小时,70.0,部,50.0,部,骨朵数据,https://www.36kr.com,,
2023-11,爱奇艺,95.0,亿次,70.5,小时,20.0,部,15.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-10,腾讯视频,60.0,亿次,50.0,小时,32.0,部,10.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-09,优酷,72.0,亿次,64.2,小时,40.0,部,25.0,部,诚传媒,https://www.chengmedia.com/,,
2023-07,Bilibili,45.0,亿次,47.3,小时,30.0,部,20.0,部,视频研究中心,https://www.videoresearch.com,,
2023-06,芒果TV,27.0,亿次,29.2,小时,15.0,部,7.0,部,骨朵数据,https://www.bonedata.com/,,
2022-12,爱奇艺,88.0,亿次,62.5,小时,42.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2022-09,优酷,46.0,亿次,45.4,小时,28.0,部,17.0,部,经济日报,https://www.ce.cn/,,
2022-05,腾讯视频,72.0,亿次,55.0,小时,38.0,部,23.0,部,新流媒体观察,https://www.lmtm.com,,
2022-01,Bilibili,35.0,亿次,30.0,小时,25.0,部,16.0,部,今日头条,https://www.toutiao.com/,,
2021-12,芒果TV,24.0,亿次,33.0,小时,11.0,部,6.0,部,骨朵数据,https://www.bonedata.com/,,
2021-07,爱奇艺,55.0,亿次,58.0,小时,35.0,部,24.0,部,中国网络视听,https://www.cntv.com,,
2021-04,腾讯视频,49.0,亿次,40.0,小时,28.0,部,18.0,部,视频研究中心,https://www.videoresearch.com,,
2021-02,优酷,39.0,亿次,48.0,小时,22.0,部,15.0,部,新流媒体观察,https://www.lmtm.com,,
2020-10,爱奇艺,66.0,亿次,54.0,小时,33.0,部,20.0,部,媒体观察,https://www.mediawatch.com,,
2020-04,腾讯视频,37.0,亿次,42.0,小时,27.0,部,12.0,部,经济日报,https://www.ce.cn/,,
2019-09,芒果TV,20.0,亿次,36.0,小时,8.0,部,4.0,部,视频研究中心,https://www.videoresearch.com,,
2019-02,Bilibili,50.0,亿次,47.0,小时,31.0,部,22.0,部,中国网络视听,https://www.cntv.com,,
2024-01,腾讯视频,90.0,亿次,65.4,小时,50.0,部,25.0,部,艾媒咨询,https://www.iimedia.cn/,,
2023-11,优酷,75.0,亿次,58.75,小时,42.0,部,30.0,部,网络视频观察,https://www.networkvideo.cn/,,
2023-10,爱奇艺,100.0,亿次,72.5,小时,60.0,部,40.0,部,中国网络视听,https://www.cntv.com,,
